* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 23, 25 2:14:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mecha odo R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.180 -62.3770
1.015000 66.652 -63.6766
1.030000 67.112 -64.9326
1.044000 67.530 -66.0699
1.060000 67.991 -67.3326
1.075000 68.405 -68.4839
1.090000 68.799 -69.6037
1.106000 69.202 -70.7478
1.120000 69.548 -71.6787
1.138000 69.991 -72.7681
1.150000 70.286 -73.4324
1.172000 70.823 -74.5398
1.180000 71.017 -74.9120
1.206000 71.642 -76.0235
1.220000 71.974 -76.5685
1.241000 72.466 -77.3288
1.250000 72.673 -77.6367
1.265000 73.016 -78.1295
1.280000 73.352 -78.6005
1.315000 74.111 -79.6343
1.320000 74.217 -79.7762
1.340000 74.629 -80.3335
1.360000 75.027 -80.8783
1.380000 75.408 -81.4046
1.400000 75.772 -81.9227
1.430000 76.283 -82.6992
1.450000 76.597 -83.2185
1.475000 76.959 -83.8541
1.500000 77.281 -84.4325
1.525000 77.566 -84.9437
1.550000 77.818 -85.4004
1.575000 78.040 -85.8112
1.600000 78.237 -86.1835
1.625000 78.413 -86.5368
1.650000 78.572 -86.8794
1.675000 78.719 -87.2187
1.700000 78.856 -87.5608
1.725000 78.989 -87.9108
1.750000 79.122 -88.2730
1.775000 79.258 -88.6551
1.800000 79.402 -89.0637
1.825000 79.557 -89.4889
1.850000 79.718 -89.9161
1.875000 79.878 -90.3253
1.900000 80.035 -90.7118
1.925000 80.188 -91.0782
1.950000 80.338 -91.4279
1.975000 80.485 -91.7682
2.000000 80.629 -92.1061
2.030000 80.797 -92.5027
2.060000 80.963 -92.8950
2.090000 81.125 -93.2878
2.120000 81.284 -93.6853
2.140000 81.389 -93.9550
2.180000 81.596 -94.5163
2.200000 81.698 -94.8098
2.240000 81.898 -95.3912
2.270000 82.044 -95.8130
2.300000 82.187 -96.2218
2.330000 82.327 -96.6189
2.360000 82.464 -97.0062
2.400000 82.643 -97.5321
2.430000 82.773 -97.9233
2.470000 82.944 -98.4408
2.500000 83.070 -98.8288
2.540000 83.235 -99.3498
2.580000 83.396 -99.8886
2.620000 83.554 -100.4516
2.650000 83.669 -100.8684
2.690000 83.819 -101.4151
2.720000 83.929 -101.8175
2.760000 84.073 -102.3424
2.800000 84.212 -102.8846
2.850000 84.382 -103.5524
2.900000 84.546 -104.2078
2.950000 84.705 -104.8572
3.000000 84.858 -105.5315
3.040000 84.975 -106.0768
3.070000 85.061 -106.4810
3.110000 85.173 -107.0113
3.150000 85.281 -107.5297
3.200000 85.413 -108.1818
3.250000 85.540 -108.8231
3.300000 85.664 -109.4455
3.350000 85.783 -110.0589
3.400000 85.897 -110.6931
3.450000 86.007 -111.3281
3.500000 86.113 -111.9472
3.550000 86.215 -112.5444
3.600000 86.313 -113.1433
3.650000 86.409 -113.7281
3.700000 86.502 -114.2950
3.750000 86.591 -114.8542
3.820000 86.710 -115.6592
3.870000 86.791 -116.2244
3.950000 86.916 -117.0841
4.000000 86.991 -117.6131
4.060000 87.078 -118.2314
4.120000 87.162 -118.8309
4.180000 87.242 -119.4222
4.250000 87.332 -120.1227
4.310000 87.406 -120.6929
4.370000 87.479 -121.2369
4.440000 87.561 -121.8743
4.500000 87.628 -122.4017
4.550000 87.683 -122.8276
4.620000 87.758 -123.4330
4.680000 87.820 -123.9357
4.750000 87.891 -124.4920
4.820000 87.961 -125.0495
4.870000 88.010 -125.4402
4.940000 88.077 -125.9684
5.000000 88.133 -126.4211
5.080000 88.206 -127.0132
5.150000 88.269 -127.5067
5.220000 88.331 -128.0053
5.300000 88.401 -128.5635
5.380000 88.468 -129.1033
5.450000 88.526 -129.5828
5.520000 88.583 -130.0418
5.600000 88.647 -130.5632
5.700000 88.724 -131.2151
5.800000 88.799 -131.8445
5.900000 88.872 -132.4652
6.000000 88.943 -133.0672
6.080000 88.999 -133.5500
6.150000 89.046 -133.9532
6.220000 89.094 -134.3604
6.300000 89.147 -134.8107
6.400000 89.213 -135.3586
6.500000 89.278 -135.9041
6.600000 89.344 -136.4336
6.700000 89.411 -136.9590
6.800000 89.478 -137.4723
6.900000 89.546 -137.9931
7.000000 89.615 -138.5135
7.100000 89.685 -139.0442
7.200000 89.755 -139.5773
7.300000 89.826 -140.1305
7.400000 89.895 -140.6978
7.500000 89.964 -141.2885
7.620000 90.044 -142.0149
7.750000 90.124 -142.8294
7.880000 90.198 -143.6874
8.000000 90.259 -144.4830
8.120000 90.312 -145.2815
8.250000 90.358 -146.1520
8.380000 90.394 -146.9979
8.500000 90.419 -147.7476
8.620000 90.436 -148.4645
8.750000 90.447 -149.1884
8.850000 90.453 -149.6983
9.000000 90.455 -150.3811
9.120000 90.457 -150.8669
9.250000 90.463 -151.3242
9.380000 90.474 -151.7145
9.500000 90.489 -152.0491
9.620000 90.512 -152.3587
9.750000 90.544 -152.6786
9.880000 90.579 -153.0134
10.000000 90.611 -153.3404
10.150000 90.650 -153.8279
10.300000 90.685 -154.3597
10.440000 90.711 -154.9007
10.600000 90.732 -155.5491
10.750000 90.739 -156.1747
10.900000 90.736 -156.7970
11.060000 90.720 -157.4432
11.200000 90.697 -158.0011
11.380000 90.661 -158.6119
11.500000 90.634 -158.9391
11.720000 90.588 -159.3915
11.800000 90.576 -159.5117
12.060000 90.559 -159.8269
12.200000 90.569 -160.0316
12.410000 90.608 -160.3901
12.500000 90.633 -160.5880
12.650000 90.682 -160.9866
12.800000 90.733 -161.4747
13.150000 90.815 -162.9924
13.200000 90.819 -163.2406
13.400000 90.815 -164.2478
13.600000 90.775 -165.1865
13.800000 90.701 -165.9700
14.000000 90.609 -166.5230
14.300000 90.470 -166.9225
14.500000 90.403 -166.8893
14.750000 90.371 -166.6676
15.000000 90.401 -166.4496
15.250000 90.481 -166.5092
15.500000 90.576 -166.8874
15.750000 90.658 -167.5654
16.000000 90.703 -168.4328
16.250000 90.706 -169.3638
16.500000 90.674 -170.1744
16.750000 90.624 -170.7618
17.000000 90.581 -171.1242
17.250000 90.562 -171.3644
17.500000 90.577 -171.5792
17.750000 90.617 -171.8936
18.000000 90.668 -172.3810
18.250000 90.710 -173.0731
18.500000 90.727 -173.8782
18.750000 90.715 -174.6951
19.000000 90.676 -175.4273
19.250000 90.621 -176.0259
19.500000 90.567 -176.4526
19.750000 90.525 -176.7379
20.000000 90.503 -176.9524
20.299999 90.504 -177.2567
20.600000 90.520 -177.6650
20.900000 90.535 -178.1997
21.200001 90.536 -178.8348
21.400000 90.526 -179.2702
21.799999 90.485 179.9424
22.000000 90.460 179.6149
22.400000 90.415 179.0698
22.700001 90.393 178.7336
23.000000 90.383 178.4023
23.299999 90.379 178.0215
23.600000 90.376 177.5954
24.000000 90.362 176.9905
24.299999 90.343 176.5383
24.700001 90.311 176.0203
25.000000 90.288 175.7072
25.400000 90.270 175.3344
25.799999 90.263 174.9601
26.200001 90.259 174.5305
26.500000 90.250 174.1913
26.900000 90.229 173.7919
27.200001 90.214 173.5532
27.600000 90.207 173.2899
28.000000 90.219 172.9879
28.500000 90.240 172.3896
29.000000 90.228 171.6129
29.500000 90.169 170.9080
30.000000 90.099 170.4575
30.400000 90.063 170.1954
30.700001 90.049 169.9718
31.100000 90.034 169.5670
31.500000 90.007 169.0531
32.000000 89.945 168.4308
32.500000 89.871 167.9702
33.000000 89.816 167.6716
33.500000 89.791 167.3789
34.000000 89.786 166.9617
34.500000 89.779 166.3793
35.000000 89.753 165.7267
35.500000 89.702 165.1476
36.000000 89.642 164.7587
36.500000 89.596 164.5387
37.000000 89.570 164.3903
37.500000 89.557 164.2310
38.200001 89.549 163.9635
38.700001 89.549 163.6761
39.500000 89.513 162.9723
40.000000 89.443 162.5846
40.599998 89.342 162.4473
41.200001 89.284 162.5309
41.799999 89.267 162.4309
42.500000 89.231 161.9855
43.099998 89.174 161.5997
43.700001 89.121 161.3027
44.400002 89.076 160.9732
45.000000 89.052 160.6824
45.500000 89.047 160.3816
46.200001 89.048 159.7509
46.799999 89.022 159.0863
47.500000 88.959 158.4113
48.200001 88.884 157.8804
48.700001 88.820 157.5802
49.400002 88.719 157.4006
50.000000 88.656 157.4648
50.799999 88.624 157.4491
51.500000 88.596 157.1845
52.200001 88.552 156.8651
53.000000 88.509 156.3939
53.799999 88.441 155.6762
54.500000 88.334 155.0952
55.200001 88.211 154.8581
56.000000 88.121 154.9706
57.000000 88.119 154.9579
58.000000 88.125 154.3057
59.000000 88.060 153.6365
60.000000 87.988 153.2589
60.799999 87.935 152.9888
61.500000 87.881 152.7728
62.200001 87.822 152.6198
63.000000 87.758 152.5170
64.000000 87.691 152.3866
65.000000 87.632 152.1727
66.000000 87.571 151.8568
67.000000 87.503 151.4492
68.000000 87.413 151.0574
69.000000 87.327 150.8704
70.000000 87.271 150.7313
71.000000 87.225 150.4846
72.000000 87.170 150.2036
73.000000 87.104 149.9797
74.000000 87.033 149.8276
75.000000 86.965 149.7132
76.199997 86.885 149.5512
77.500000 86.799 149.3212
78.800003 86.714 149.0384
80.000000 86.636 148.7751
81.199997 86.565 148.5716
82.500000 86.496 148.3409
83.800003 86.419 148.1664
85.000000 86.351 148.0468
86.199997 86.276 147.8849
87.500000 86.202 147.7763
88.500000 86.153 147.5306
90.000000 86.031 147.2635
91.199997 85.976 147.4013
92.500000 85.952 147.1454
93.800003 85.865 146.7170
95.000000 85.757 146.6334
96.199997 85.672 146.7068
97.500000 85.606 146.6501
98.800003 85.535 146.4523
100.000000 85.461 146.3231
101.500000 85.381 146.3142
103.000000 85.313 146.3252
104.400002 85.245 146.3140
106.000000 85.162 146.2808
107.500000 85.078 146.2034
109.000000 84.994 146.1439
110.599998 84.912 146.0699
112.000000 84.841 146.0137
113.800003 84.750 145.9949
115.000000 84.695 146.0260
117.199997 84.604 146.0043
118.000000 84.568 145.9676
120.599998 84.438 145.9225
122.000000 84.363 145.9459
124.099998 84.263 146.0479
125.000000 84.225 146.0603
126.500000 84.158 146.0279
128.000000 84.080 145.9955
131.500000 83.884 146.0730
132.000000 83.857 146.0999
134.000000 83.763 146.2624
136.000000 83.677 146.5530
138.000000 83.602 147.1026
140.000000 83.559 147.7116
143.000000 83.543 148.1083
145.000000 83.558 148.1030
147.500000 83.583 147.7981
150.000000 83.530 147.3460
152.500000 83.421 147.1623
155.000000 83.314 147.1480
157.500000 83.232 147.3010
160.000000 83.161 147.4204
162.500000 83.068 147.4764
165.000000 82.963 147.5671
167.500000 82.856 147.6933
170.000000 82.752 147.8518
172.500000 82.658 148.0097
175.000000 82.579 148.1652
177.500000 82.498 148.3108
180.000000 82.408 148.4894
182.500000 82.315 148.6441
185.000000 82.234 148.7971
187.500000 82.161 148.8997
190.000000 82.080 149.0348
192.500000 81.997 149.2472
195.000000 81.916 149.4564
197.500000 81.837 149.6518
200.000000 81.762 149.8393
203.000000 81.685 150.0886
206.000000 81.615 150.3467
209.000000 81.543 150.5990
212.000000 81.473 150.8453
214.000000 81.429 151.0005
218.000000 81.345 151.3620
220.000000 81.304 151.5431
224.000000 81.223 151.8959
227.000000 81.166 152.1623
230.000000 81.110 152.4117
233.000000 81.052 152.6669
236.000000 80.995 152.9322
240.000000 80.922 153.2886
243.000000 80.865 153.5667
247.000000 80.796 153.9298
250.000000 80.747 154.2090
254.000000 80.678 154.5894
258.000000 80.609 154.9406
262.000000 80.545 155.3046
265.000000 80.496 155.5884
269.000000 80.431 155.9600
272.000000 80.382 156.2262
276.000000 80.317 156.5928
280.000000 80.260 156.9407
285.000000 80.189 157.3844
290.000000 80.113 157.8583
295.000000 80.039 158.3344
300.000000 79.970 158.7809
304.000000 79.916 159.1467
307.000000 79.876 159.4265
311.000000 79.823 159.7945
315.000000 79.771 160.1712
320.000000 79.710 160.6306
325.000000 79.653 161.0858
