* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 5:54:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mega5est 7th L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.998 -38.5044
1.015000 42.062 -39.9663
1.030000 42.138 -41.4781
1.044000 42.219 -42.9306
1.060000 42.325 -44.6341
1.075000 42.437 -46.2666
1.090000 42.563 -47.9223
1.106000 42.714 -49.6809
1.120000 42.860 -51.1672
1.138000 43.068 -52.9801
1.150000 43.219 -54.1299
1.172000 43.517 -56.1296
1.180000 43.632 -56.8257
1.206000 44.028 -58.9915
1.220000 44.255 -60.1053
1.241000 44.610 -61.7209
1.250000 44.767 -62.3964
1.265000 45.034 -63.5035
1.280000 45.308 -64.5914
1.315000 45.968 -67.0760
1.320000 46.064 -67.4266
1.340000 46.451 -68.8220
1.360000 46.842 -70.2097
1.380000 47.233 -71.5936
1.400000 47.623 -72.9761
1.430000 48.202 -75.0498
1.450000 48.580 -76.4282
1.475000 49.047 -78.1025
1.500000 49.520 -79.6239
1.525000 50.004 -80.9771
1.550000 50.498 -82.2001
1.575000 50.999 -83.3302
1.600000 51.506 -84.3984
1.625000 52.017 -85.4304
1.650000 52.529 -86.4465
1.675000 53.041 -87.4634
1.700000 53.550 -88.4937
1.725000 54.054 -89.5471
1.750000 54.552 -90.6308
1.775000 55.041 -91.7495
1.800000 55.519 -92.9049
1.825000 55.985 -94.0880
1.850000 56.441 -95.2551
1.875000 56.891 -96.3561
1.900000 57.335 -97.3872
1.925000 57.774 -98.3637
1.950000 58.208 -99.3014
1.975000 58.636 -100.2142
2.000000 59.059 -101.1140
2.030000 59.560 -102.1905
2.060000 60.053 -103.2770
2.090000 60.538 -104.3851
2.120000 61.016 -105.5242
2.140000 61.330 -106.3043
2.180000 61.946 -107.9166
2.200000 62.249 -108.7402
2.240000 62.843 -110.3573
2.270000 63.278 -111.5191
2.300000 63.705 -112.6436
2.330000 64.124 -113.7422
2.360000 64.535 -114.8253
2.400000 65.071 -116.2616
2.430000 65.466 -117.3436
2.470000 65.982 -118.8063
2.500000 66.361 -119.9261
2.540000 66.858 -121.4569
2.580000 67.345 -123.0190
2.620000 67.819 -124.5679
2.650000 68.167 -125.7083
2.690000 68.619 -127.2041
2.720000 68.952 -128.3122
2.760000 69.385 -129.7790
2.800000 69.809 -131.2423
2.850000 70.325 -133.0809
2.900000 70.827 -134.9452
2.950000 71.317 -136.8376
3.000000 71.791 -138.7296
3.040000 72.160 -140.2299
3.070000 72.430 -141.3461
3.110000 72.782 -142.8233
3.150000 73.126 -144.2899
3.200000 73.544 -146.1140
3.250000 73.951 -147.9357
3.300000 74.348 -149.7639
3.350000 74.732 -151.6003
3.400000 75.104 -153.4358
3.450000 75.463 -155.2604
3.500000 75.811 -157.0680
3.550000 76.149 -158.8563
3.600000 76.477 -160.6260
3.650000 76.796 -162.3820
3.700000 77.105 -164.1356
3.750000 77.403 -165.8932
3.820000 77.804 -168.3465
3.870000 78.079 -170.0805
3.950000 78.501 -172.8053
4.000000 78.755 -174.4743
4.060000 79.049 -176.4551
4.120000 79.330 -178.4332
4.180000 79.600 179.5952
4.250000 79.900 177.3241
4.310000 80.146 175.4181
4.370000 80.384 173.5568
4.440000 80.649 171.4264
4.500000 80.866 169.6126
4.550000 81.039 168.1116
4.620000 81.271 166.0410
4.680000 81.461 164.3077
4.750000 81.675 162.3438
4.820000 81.879 160.4274
4.870000 82.018 159.0746
4.940000 82.204 157.2054
5.000000 82.357 155.6354
5.080000 82.553 153.6029
5.150000 82.718 151.8850
5.220000 82.875 150.2080
5.300000 83.046 148.3316
5.380000 83.210 146.5050
5.450000 83.349 144.9553
5.520000 83.484 143.4527
5.600000 83.634 141.7828
5.700000 83.813 139.7562
5.800000 83.986 137.7974
5.900000 84.155 135.9084
6.000000 84.320 134.0818
6.080000 84.449 132.6588
6.150000 84.561 131.4387
6.220000 84.671 130.2404
6.300000 84.795 128.8964
6.400000 84.949 127.2518
6.500000 85.100 125.6406
6.600000 85.248 124.0562
6.700000 85.395 122.4958
6.800000 85.539 120.9578
6.900000 85.680 119.4404
7.000000 85.818 117.9402
7.100000 85.953 116.4543
7.200000 86.084 114.9842
7.300000 86.212 113.5319
7.400000 86.336 112.0955
7.500000 86.457 110.6727
7.620000 86.596 108.9884
7.750000 86.741 107.1967
7.880000 86.880 105.4342
8.000000 87.002 103.8373
8.120000 87.120 102.2733
8.250000 87.243 100.6118
8.380000 87.361 98.9860
8.500000 87.467 97.5187
8.620000 87.569 96.0804
8.750000 87.677 94.5535
8.850000 87.758 93.4007
9.000000 87.876 91.7034
9.120000 87.968 90.3702
9.250000 88.066 88.9481
9.380000 88.161 87.5468
9.500000 88.247 86.2700
9.620000 88.330 85.0070
9.750000 88.417 83.6536
9.880000 88.496 82.3168
10.000000 88.558 81.0966
10.150000 88.624 79.5911
10.300000 88.680 78.1142
10.440000 88.724 76.7616
10.600000 88.767 75.2543
10.750000 88.801 73.8849
10.900000 88.831 72.5594
11.060000 88.860 71.2020
11.200000 88.882 70.0623
11.380000 88.909 68.6617
11.500000 88.927 67.7681
11.720000 88.964 66.1989
11.800000 88.978 65.6469
12.060000 89.032 63.9025
12.200000 89.065 62.9785
12.410000 89.121 61.5971
12.500000 89.150 61.0007
12.650000 89.202 59.9985
12.800000 89.256 58.9848
13.150000 89.375 56.5756
13.200000 89.390 56.2291
13.400000 89.445 54.8436
13.600000 89.492 53.4742
13.800000 89.530 52.1345
14.000000 89.561 50.8365
14.300000 89.600 48.9773
14.500000 89.622 47.7946
14.750000 89.650 46.3682
15.000000 89.676 44.9868
15.250000 89.701 43.6392
15.500000 89.723 42.3246
15.750000 89.742 41.0482
16.000000 89.758 39.8188
16.250000 89.776 38.6395
16.500000 89.796 37.5043
16.750000 89.820 36.3975
17.000000 89.847 35.2980
17.250000 89.874 34.1903
17.500000 89.898 33.0695
17.750000 89.915 31.9484
18.000000 89.923 30.8517
18.250000 89.923 29.8082
18.500000 89.920 28.8396
18.750000 89.920 27.9474
19.000000 89.928 27.1122
19.250000 89.947 26.2924
19.500000 89.978 25.4421
19.750000 90.014 24.5260
20.000000 90.047 23.5294
20.299999 90.075 22.2499
20.600000 90.081 20.9429
20.900000 90.064 19.6914
21.200001 90.035 18.5605
21.400000 90.015 17.8850
21.799999 89.987 16.6829
22.000000 89.984 16.1195
22.400000 89.996 14.9722
22.700001 90.012 14.0505
23.000000 90.027 13.0778
23.299999 90.035 12.0823
23.600000 90.038 11.0956
24.000000 90.037 9.8179
24.299999 90.036 8.8811
24.700001 90.034 7.6410
25.000000 90.028 6.7223
25.400000 90.011 5.5541
25.799999 89.990 4.4985
26.200001 89.980 3.5461
26.500000 89.984 2.8477
26.900000 90.001 1.8521
27.200001 90.011 1.0315
27.600000 90.006 -0.1144
28.000000 89.975 -1.1974
28.500000 89.922 -2.2964
29.000000 89.896 -3.1489
29.500000 89.914 -4.0241
30.000000 89.949 -5.1380
30.400000 89.962 -6.1816
30.700001 89.956 -6.9897
31.100000 89.933 -8.0280
31.500000 89.902 -8.9839
32.000000 89.863 -10.0789
32.500000 89.830 -11.1094
33.000000 89.800 -12.1031
33.500000 89.777 -13.0844
34.000000 89.757 -14.0867
34.500000 89.732 -15.1118
35.000000 89.699 -16.1093
35.500000 89.664 -17.0420
36.000000 89.639 -17.9490
36.500000 89.619 -18.9092
37.000000 89.591 -19.9337
37.500000 89.544 -20.9301
38.200001 89.472 -22.0919
38.700001 89.443 -22.7825
39.500000 89.456 -24.0009
40.000000 89.474 -24.9716
40.599998 89.477 -26.2898
41.200001 89.449 -27.5917
41.799999 89.404 -28.7328
42.500000 89.356 -29.8599
43.099998 89.323 -30.7474
43.700001 89.290 -31.6082
44.400002 89.244 -32.5574
45.000000 89.203 -33.3285
45.500000 89.166 -33.9712
46.200001 89.106 -34.8950
46.799999 89.044 -35.6820
47.500000 88.969 -36.5651
48.200001 88.905 -37.4652
48.700001 88.866 -38.1754
49.400002 88.811 -39.2804
50.000000 88.757 -40.2647
50.799999 88.687 -41.5076
51.500000 88.642 -42.5380
52.200001 88.608 -43.5894
53.000000 88.563 -44.8020
53.799999 88.501 -45.8690
54.500000 88.450 -46.6136
55.200001 88.414 -47.3002
56.000000 88.376 -48.1785
57.000000 88.301 -49.3307
58.000000 88.217 -50.4543
59.000000 88.127 -51.6636
60.000000 88.032 -52.8683
60.799999 87.960 -53.7988
61.500000 87.904 -54.5661
62.200001 87.860 -55.3130
63.000000 87.816 -56.2130
64.000000 87.744 -57.2805
65.000000 87.678 -58.1572
66.000000 87.622 -59.1129
67.000000 87.537 -60.0952
68.000000 87.452 -60.8964
69.000000 87.400 -61.7383
70.000000 87.354 -62.8202
71.000000 87.291 -63.9937
72.000000 87.216 -65.1249
73.000000 87.136 -66.1678
74.000000 87.056 -67.0921
75.000000 86.983 -67.9355
76.199997 86.905 -68.9274
77.500000 86.818 -70.0607
78.800003 86.721 -71.1937
80.000000 86.632 -72.2233
81.199997 86.544 -73.2281
82.500000 86.453 -74.2828
83.800003 86.362 -75.3430
85.000000 86.270 -76.2595
86.199997 86.186 -77.1343
87.500000 86.095 -78.1539
88.500000 86.022 -78.9039
90.000000 85.930 -80.0238
91.199997 85.855 -80.9531
92.500000 85.767 -81.9226
93.800003 85.665 -82.7435
95.000000 85.584 -83.4191
96.199997 85.499 -84.1748
97.500000 85.416 -84.9995
98.800003 85.344 -85.9978
100.000000 85.267 -86.9631
101.500000 85.165 -88.0055
103.000000 85.060 -88.8444
104.400002 84.962 -89.4543
106.000000 84.862 -90.2830
107.500000 84.751 -91.3180
109.000000 84.642 -92.3730
110.599998 84.563 -93.4198
112.000000 84.521 -94.3088
113.800003 84.441 -95.4018
115.000000 84.362 -95.9117
117.199997 84.201 -96.8168
118.000000 84.139 -97.1033
120.599998 84.017 -98.2606
122.000000 83.950 -99.0919
124.099998 83.805 -100.1042
125.000000 83.737 -100.3828
126.500000 83.644 -100.7631
128.000000 83.573 -101.2695
131.500000 83.434 -103.0525
132.000000 83.408 -103.3492
134.000000 83.315 -104.3585
136.000000 83.264 -105.3947
138.000000 83.197 -106.2611
140.000000 83.136 -106.6884
143.000000 82.976 -107.6443
145.000000 82.811 -108.3856
147.500000 82.679 -109.3684
150.000000 82.622 -110.4068
152.500000 82.571 -111.2083
155.000000 82.499 -111.9022
157.500000 82.411 -112.7049
160.000000 82.319 -113.5233
162.500000 82.237 -114.3657
165.000000 82.137 -115.1713
167.500000 82.037 -115.8386
170.000000 81.952 -116.6124
172.500000 81.875 -117.5129
175.000000 81.805 -118.3073
177.500000 81.737 -119.0095
180.000000 81.656 -119.7084
182.500000 81.579 -120.3923
185.000000 81.513 -121.0809
187.500000 81.443 -121.7961
190.000000 81.372 -122.5105
192.500000 81.310 -123.1987
195.000000 81.255 -123.8381
197.500000 81.198 -124.4512
200.000000 81.144 -125.0879
203.000000 81.092 -125.8865
206.000000 81.049 -126.7004
209.000000 81.007 -127.5031
212.000000 80.971 -128.2653
214.000000 80.947 -128.7520
218.000000 80.899 -129.7090
220.000000 80.874 -130.1699
224.000000 80.827 -131.1299
227.000000 80.785 -131.9142
230.000000 80.745 -132.6635
233.000000 80.714 -133.3695
236.000000 80.691 -134.0819
240.000000 80.671 -135.0086
243.000000 80.652 -135.6362
247.000000 80.622 -136.5300
250.000000 80.606 -137.2356
254.000000 80.587 -138.0460
258.000000 80.564 -138.9022
262.000000 80.540 -139.8105
265.000000 80.528 -140.3612
269.000000 80.527 -141.0950
272.000000 80.530 -141.7695
276.000000 80.534 -142.7475
280.000000 80.537 -143.7331
285.000000 80.545 -144.9787
290.000000 80.544 -146.2194
295.000000 80.537 -147.3724
300.000000 80.524 -148.4504
304.000000 80.505 -149.3389
307.000000 80.494 -150.0308
