* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 5:56:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mega5est 7th R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.246 15.1923
1.015000 48.372 13.3100
1.030000 48.503 11.3950
1.044000 48.631 9.5737
1.060000 48.784 7.4463
1.075000 48.935 5.4019
1.090000 49.094 3.3044
1.106000 49.271 1.0092
1.120000 49.432 -1.0373
1.138000 49.644 -3.7018
1.150000 49.789 -5.4903
1.172000 50.062 -8.7761
1.180000 50.163 -9.9690
1.206000 50.498 -13.8217
1.220000 50.683 -15.8732
1.241000 50.965 -18.9102
1.250000 51.088 -20.1951
1.265000 51.295 -22.3127
1.280000 51.504 -24.3989
1.315000 52.001 -29.1425
1.320000 52.072 -29.8061
1.340000 52.362 -32.4264
1.360000 52.654 -34.9950
1.380000 52.948 -37.5159
1.400000 53.244 -39.9938
1.430000 53.691 -43.6412
1.450000 53.989 -46.0328
1.475000 54.366 -48.9687
1.500000 54.750 -51.8041
1.525000 55.144 -54.5178
1.550000 55.546 -57.1124
1.575000 55.955 -59.5967
1.600000 56.369 -61.9823
1.625000 56.785 -64.2813
1.650000 57.204 -66.5069
1.675000 57.622 -68.6716
1.700000 58.038 -70.7877
1.725000 58.452 -72.8665
1.750000 58.860 -74.9185
1.775000 59.261 -76.9532
1.800000 59.655 -78.9786
1.825000 60.039 -80.9978
1.850000 60.415 -82.9968
1.875000 60.787 -84.9506
1.900000 61.156 -86.8488
1.925000 61.521 -88.6906
1.950000 61.883 -90.4779
1.975000 62.240 -92.2143
2.000000 62.594 -93.9040
2.030000 63.013 -95.8770
2.060000 63.425 -97.7991
2.090000 63.831 -99.6798
2.120000 64.230 -101.5286
2.140000 64.492 -102.7478
2.180000 65.005 -105.1652
2.200000 65.257 -106.3648
2.240000 65.750 -108.7318
2.270000 66.111 -110.4667
2.300000 66.465 -112.1635
2.330000 66.812 -113.8225
2.360000 67.153 -115.4452
2.400000 67.596 -117.5568
2.430000 67.922 -119.1060
2.470000 68.348 -121.1332
2.500000 68.661 -122.6304
2.540000 69.071 -124.6044
2.580000 69.471 -126.5601
2.620000 69.860 -128.4959
2.650000 70.145 -129.9300
2.690000 70.516 -131.8133
2.720000 70.788 -133.2023
2.760000 71.142 -135.0220
2.800000 71.487 -136.8053
2.850000 71.908 -138.9866
2.900000 72.318 -141.1218
2.950000 72.716 -143.2238
3.000000 73.102 -145.3051
3.040000 73.401 -146.9523
3.070000 73.620 -148.1742
3.110000 73.906 -149.7816
3.150000 74.185 -151.3621
3.200000 74.524 -153.2974
3.250000 74.855 -155.1880
3.300000 75.178 -157.0394
3.350000 75.492 -158.8668
3.400000 75.795 -160.6768
3.450000 76.089 -162.4637
3.500000 76.374 -164.2207
3.550000 76.651 -165.9426
3.600000 76.922 -167.6262
3.650000 77.187 -169.2717
3.700000 77.446 -170.8877
3.750000 77.697 -172.4847
3.820000 78.036 -174.6878
3.870000 78.271 -176.2329
3.950000 78.636 -178.6465
4.000000 78.858 179.8842
4.060000 79.119 178.1566
4.120000 79.372 176.4568
4.180000 79.619 174.7819
4.250000 79.898 172.8620
4.310000 80.131 171.2483
4.370000 80.360 169.6648
4.440000 80.621 167.8512
4.500000 80.839 166.3194
4.550000 81.016 165.0576
4.620000 81.260 163.3143
4.680000 81.463 161.8417
4.750000 81.696 160.1476
4.820000 81.924 158.4744
4.870000 82.083 157.2894
4.940000 82.300 155.6453
5.000000 82.483 154.2512
5.080000 82.719 152.4146
5.150000 82.920 150.8251
5.220000 83.116 149.2451
5.300000 83.333 147.4513
5.380000 83.543 145.6774
5.450000 83.720 144.1458
5.520000 83.892 142.6307
5.600000 84.081 140.9088
5.700000 84.307 138.7750
5.800000 84.522 136.6813
5.900000 84.725 134.6343
6.000000 84.916 132.6147
6.080000 85.062 131.0226
6.150000 85.184 129.6562
6.220000 85.301 128.3199
6.300000 85.430 126.8235
6.400000 85.582 124.9887
6.500000 85.726 123.2025
6.600000 85.864 121.4776
6.700000 85.996 119.8099
6.800000 86.122 118.1904
6.900000 86.244 116.6204
7.000000 86.364 115.1027
7.100000 86.481 113.6338
7.200000 86.596 112.2054
7.300000 86.710 110.8110
7.400000 86.824 109.4483
7.500000 86.937 108.1158
7.620000 87.073 106.5445
7.750000 87.218 104.8627
7.880000 87.363 103.2000
8.000000 87.494 101.6776
8.120000 87.621 100.1592
8.250000 87.755 98.5172
8.380000 87.883 96.8858
8.500000 87.994 95.3900
8.620000 88.100 93.9026
8.750000 88.207 92.3145
8.850000 88.283 91.1150
9.000000 88.390 89.3483
9.120000 88.469 87.9739
9.250000 88.548 86.5327
9.380000 88.622 85.1376
9.500000 88.688 83.8931
9.620000 88.753 82.6926
9.750000 88.820 81.4369
9.880000 88.882 80.2204
10.000000 88.933 79.1297
10.150000 88.992 77.8030
10.300000 89.046 76.5020
10.440000 89.095 75.3056
10.600000 89.149 73.9525
10.750000 89.198 72.6903
10.900000 89.244 71.4356
11.060000 89.290 70.1093
11.200000 89.325 68.9603
11.380000 89.365 67.5121
11.500000 89.387 66.5688
11.720000 89.421 64.8946
11.800000 89.432 64.3068
12.060000 89.463 62.4700
12.200000 89.480 61.5255
12.410000 89.510 60.1551
12.500000 89.527 59.5792
12.650000 89.561 58.6307
12.800000 89.599 57.6877
13.150000 89.691 55.4755
13.200000 89.704 55.1568
13.400000 89.751 53.8743
13.600000 89.791 52.5886
13.800000 89.824 51.3091
14.000000 89.849 50.0508
14.300000 89.874 48.2223
14.500000 89.886 47.0496
14.750000 89.898 45.6287
15.000000 89.909 44.2449
15.250000 89.917 42.8821
15.500000 89.920 41.5364
15.750000 89.916 40.2188
16.000000 89.905 38.9543
16.250000 89.891 37.7729
16.500000 89.878 36.6924
16.750000 89.874 35.7106
17.000000 89.885 34.7928
17.250000 89.916 33.8840
17.500000 89.964 32.9213
17.750000 90.022 31.8546
18.000000 90.079 30.6685
18.250000 90.124 29.3807
18.500000 90.150 28.0441
18.750000 90.154 26.7267
19.000000 90.139 25.4948
19.250000 90.113 24.3983
19.500000 90.087 23.4510
19.750000 90.070 22.6349
20.000000 90.069 21.9032
20.299999 90.089 21.0563
20.600000 90.125 20.1699
20.900000 90.167 19.2101
21.200001 90.202 18.1932
21.400000 90.219 17.5062
21.799999 90.240 16.1705
22.000000 90.245 15.5386
22.400000 90.255 14.3474
22.700001 90.264 13.4934
23.000000 90.273 12.6489
23.299999 90.280 11.8043
23.600000 90.282 10.9650
24.000000 90.277 9.8745
24.299999 90.271 9.0859
24.700001 90.262 8.0610
25.000000 90.256 7.2936
25.400000 90.246 6.2540
25.799999 90.230 5.2050
26.200001 90.206 4.1789
26.500000 90.187 3.4395
26.900000 90.165 2.4880
27.200001 90.153 1.7819
27.600000 90.142 0.8204
28.000000 90.132 -0.1742
28.500000 90.112 -1.4316
29.000000 90.085 -2.6460
29.500000 90.060 -3.7950
30.000000 90.040 -4.9037
30.400000 90.026 -5.7784
30.700001 90.016 -6.4277
31.100000 90.000 -7.2801
31.500000 89.984 -8.1150
32.000000 89.962 -9.1349
32.500000 89.935 -10.1208
33.000000 89.907 -11.0571
33.500000 89.882 -11.9545
34.000000 89.863 -12.8619
34.500000 89.842 -13.8132
35.000000 89.810 -14.7723
35.500000 89.772 -15.6714
36.000000 89.740 -16.5065
36.500000 89.722 -17.3609
37.000000 89.705 -18.3027
37.500000 89.673 -19.2893
38.200001 89.606 -20.5389
38.700001 89.564 -21.3016
39.500000 89.521 -22.5200
40.000000 89.490 -23.3274
40.599998 89.442 -24.2335
41.200001 89.403 -25.0370
41.799999 89.385 -25.8788
42.500000 89.365 -27.0567
43.099998 89.326 -28.1481
43.700001 89.274 -29.2031
44.400002 89.212 -30.4060
45.000000 89.151 -31.4473
45.500000 89.090 -32.2697
46.200001 89.002 -33.2434
46.799999 88.947 -33.9446
47.500000 88.910 -34.7817
48.200001 88.877 -35.7241
48.700001 88.845 -36.4164
49.400002 88.789 -37.3268
50.000000 88.736 -38.0204
50.799999 88.670 -38.8344
51.500000 88.620 -39.4929
52.200001 88.580 -40.1663
53.000000 88.538 -41.0037
53.799999 88.493 -41.9119
54.500000 88.449 -42.7408
55.200001 88.400 -43.5758
56.000000 88.339 -44.5055
57.000000 88.265 -45.6094
58.000000 88.196 -46.6917
59.000000 88.123 -47.7730
60.000000 88.042 -48.8120
60.799999 87.974 -49.6077
61.500000 87.915 -50.2857
62.200001 87.858 -50.9608
63.000000 87.794 -51.7456
64.000000 87.712 -52.7354
65.000000 87.629 -53.6967
66.000000 87.550 -54.6173
67.000000 87.474 -55.5110
68.000000 87.399 -56.3558
69.000000 87.331 -57.1367
70.000000 87.273 -57.9553
71.000000 87.208 -58.8174
72.000000 87.139 -59.6564
73.000000 87.071 -60.5099
74.000000 86.997 -61.3646
75.000000 86.921 -62.1917
76.199997 86.829 -63.1635
77.500000 86.730 -64.1647
78.800003 86.634 -65.1529
80.000000 86.544 -66.0600
81.199997 86.452 -66.9315
82.500000 86.354 -67.8408
83.800003 86.258 -68.7339
85.000000 86.171 -69.5505
86.199997 86.084 -70.3811
87.500000 85.987 -71.2469
88.500000 85.918 -71.8890
90.000000 85.817 -72.8529
91.199997 85.735 -73.6082
92.500000 85.643 -74.3640
93.800003 85.560 -75.0685
95.000000 85.481 -75.7804
96.199997 85.395 -76.4720
97.500000 85.300 -77.1871
98.800003 85.211 -77.8358
100.000000 85.142 -78.4564
101.500000 85.055 -79.3584
103.000000 84.942 -80.2256
104.400002 84.843 -80.8602
106.000000 84.747 -81.6088
107.500000 84.659 -82.3075
109.000000 84.580 -83.0052
110.599998 84.492 -83.7878
112.000000 84.410 -84.4285
113.800003 84.310 -85.2183
115.000000 84.245 -85.7545
117.199997 84.122 -86.6943
118.000000 84.077 -87.0130
120.599998 83.934 -88.0320
122.000000 83.853 -88.5881
124.099998 83.734 -89.4019
125.000000 83.685 -89.7391
126.500000 83.611 -90.2908
128.000000 83.541 -90.8381
131.500000 83.383 -92.0560
132.000000 83.361 -92.2264
134.000000 83.273 -92.9105
136.000000 83.187 -93.5797
138.000000 83.102 -94.2228
140.000000 83.021 -94.8291
143.000000 82.904 -95.7184
145.000000 82.828 -96.3391
147.500000 82.736 -97.0352
150.000000 82.656 -97.7964
152.500000 82.559 -98.5731
155.000000 82.459 -99.2018
157.500000 82.370 -99.7627
160.000000 82.302 -100.3735
162.500000 82.231 -101.1215
165.000000 82.149 -101.7596
167.500000 82.069 -102.2898
170.000000 81.987 -102.8445
172.500000 81.905 -103.4495
175.000000 81.825 -104.0667
177.500000 81.752 -104.5881
180.000000 81.686 -105.1306
182.500000 81.616 -105.7044
185.000000 81.549 -106.2390
187.500000 81.491 -106.7448
190.000000 81.436 -107.2377
192.500000 81.380 -107.7565
195.000000 81.323 -108.2787
197.500000 81.266 -108.7838
200.000000 81.216 -109.2401
203.000000 81.161 -109.7772
206.000000 81.111 -110.2727
209.000000 81.071 -110.8904
212.000000 81.033 -111.5206
214.000000 81.013 -111.9099
218.000000 80.972 -112.7091
220.000000 80.952 -113.1097
224.000000 80.920 -113.8744
227.000000 80.899 -114.4182
230.000000 80.876 -114.9639
233.000000 80.855 -115.4998
236.000000 80.835 -116.0135
240.000000 80.806 -116.7019
243.000000 80.785 -117.2360
247.000000 80.761 -117.9614
250.000000 80.743 -118.4975
254.000000 80.721 -119.1682
258.000000 80.705 -119.8367
262.000000 80.685 -120.5088
265.000000 80.667 -121.0259
269.000000 80.651 -121.7428
272.000000 80.644 -122.2928
276.000000 80.635 -122.9968
280.000000 80.628 -123.6660
285.000000 80.617 -124.4761
290.000000 80.603 -125.3307
295.000000 80.593 -126.1846
300.000000 80.587 -126.9705
304.000000 80.585 -127.5981
307.000000 80.585 -128.0760
311.000000 80.584 -128.7167
