* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 20, 25 4:49:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mermaid L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.881 -120.5144
1.015000 49.097 -121.1884
1.030000 49.310 -121.8735
1.044000 49.506 -122.5245
1.060000 49.727 -123.2838
1.075000 49.933 -124.0123
1.090000 50.135 -124.7589
1.106000 50.349 -125.5784
1.120000 50.532 -126.3168
1.138000 50.763 -127.2920
1.150000 50.913 -127.9550
1.172000 51.183 -129.1890
1.180000 51.279 -129.6418
1.206000 51.584 -131.1200
1.220000 51.743 -131.9164
1.241000 51.977 -133.1061
1.250000 52.074 -133.6130
1.265000 52.235 -134.4525
1.280000 52.392 -135.2839
1.315000 52.745 -137.1864
1.320000 52.794 -137.4534
1.340000 52.987 -138.5086
1.360000 53.174 -139.5425
1.380000 53.356 -140.5546
1.400000 53.533 -141.5449
1.430000 53.789 -142.9901
1.450000 53.953 -143.9294
1.475000 54.152 -145.0949
1.500000 54.343 -146.2918
1.525000 54.526 -147.5294
1.550000 54.700 -148.7952
1.575000 54.866 -150.0752
1.600000 55.024 -151.3568
1.625000 55.173 -152.6286
1.650000 55.313 -153.8804
1.675000 55.444 -155.1033
1.700000 55.567 -156.2893
1.725000 55.681 -157.4314
1.750000 55.786 -158.5234
1.775000 55.882 -159.5598
1.800000 55.969 -160.5365
1.825000 56.046 -161.4581
1.850000 56.115 -162.3594
1.875000 56.174 -163.2863
1.900000 56.224 -164.2459
1.925000 56.266 -165.2276
1.950000 56.298 -166.2177
1.975000 56.321 -167.2024
2.000000 56.336 -168.1677
2.030000 56.342 -169.2802
2.060000 56.335 -170.3189
2.090000 56.317 -171.2579
2.120000 56.285 -172.0705
2.140000 56.258 -172.5287
2.180000 56.185 -173.2137
2.200000 56.137 -173.4423
2.240000 56.001 -173.7589
2.270000 55.859 -173.9142
2.300000 55.690 -173.9883
2.330000 55.504 -173.9587
2.360000 55.309 -173.7993
2.400000 55.049 -173.3339
2.430000 54.866 -172.7543
2.470000 54.656 -171.6115
2.500000 54.536 -170.4357
2.540000 54.439 -168.3927
2.580000 54.419 -165.7740
2.620000 54.453 -162.5762
2.650000 54.504 -159.8204
2.690000 54.608 -155.7426
2.720000 54.714 -152.4609
2.760000 54.896 -147.9467
2.800000 55.127 -143.4853
2.850000 55.491 -138.3342
2.900000 55.944 -133.9782
2.950000 56.509 -130.4734
3.000000 57.217 -127.5301
3.040000 57.873 -125.5378
3.070000 58.404 -124.2807
3.110000 59.145 -122.9387
3.150000 59.902 -121.9813
3.200000 60.835 -121.3110
3.250000 61.714 -121.1929
3.300000 62.514 -121.5550
3.350000 63.251 -122.2287
3.400000 63.955 -123.0762
3.450000 64.631 -124.0612
3.500000 65.280 -125.1747
3.550000 65.901 -126.4152
3.600000 66.494 -127.7859
3.650000 67.059 -129.2922
3.700000 67.593 -130.9269
3.750000 68.097 -132.6561
3.820000 68.752 -135.1619
3.870000 69.190 -136.9760
3.950000 69.846 -139.8849
4.000000 70.232 -141.7065
4.060000 70.672 -143.9274
4.120000 71.082 -146.2205
4.180000 71.462 -148.5557
4.250000 71.872 -151.2664
4.310000 72.199 -153.5349
4.370000 72.506 -155.7358
4.440000 72.838 -158.2628
4.500000 73.098 -160.4524
4.550000 73.298 -162.2833
4.620000 73.556 -164.8069
4.680000 73.758 -166.8910
4.750000 73.976 -169.1979
4.820000 74.173 -171.4114
4.870000 74.299 -172.9732
4.940000 74.457 -175.1240
5.000000 74.579 -176.9042
5.080000 74.727 -179.1336
5.150000 74.845 179.0733
5.220000 74.948 177.3914
5.300000 75.050 175.5739
5.380000 75.143 173.8802
5.450000 75.222 172.5218
5.520000 75.302 171.2960
5.600000 75.391 170.0512
5.700000 75.500 168.6828
5.800000 75.621 167.4699
5.900000 75.762 166.3969
6.000000 75.924 165.4888
6.080000 76.065 164.8396
6.150000 76.199 164.2815
6.220000 76.344 163.7077
6.300000 76.523 163.0433
6.400000 76.766 162.2177
6.500000 77.023 161.3438
6.600000 77.287 160.3600
6.700000 77.557 159.2692
6.800000 77.833 158.0980
6.900000 78.106 156.8432
7.000000 78.370 155.4927
7.100000 78.626 154.0516
7.200000 78.873 152.5505
7.300000 79.107 151.0173
7.400000 79.328 149.4527
7.500000 79.534 147.8549
7.620000 79.766 145.9366
7.750000 79.997 143.8994
7.880000 80.207 141.8920
8.000000 80.388 140.0876
8.120000 80.557 138.3552
8.250000 80.729 136.5483
8.380000 80.893 134.8136
8.500000 81.039 133.2821
8.620000 81.181 131.8110
8.750000 81.331 130.2761
8.850000 81.445 129.1334
9.000000 81.612 127.4768
9.120000 81.743 126.1983
9.250000 81.882 124.8559
9.380000 82.017 123.5573
9.500000 82.140 122.4026
9.620000 82.259 121.2921
9.750000 82.386 120.1370
9.880000 82.507 119.0352
10.000000 82.613 118.0676
10.150000 82.740 116.9149
10.300000 82.869 115.8089
10.440000 82.993 114.8123
10.600000 83.140 113.6790
10.750000 83.287 112.5955
10.900000 83.439 111.4761
11.060000 83.603 110.2066
11.200000 83.745 109.0275
11.380000 83.916 107.4197
11.500000 84.021 106.2887
11.720000 84.185 104.1456
11.800000 84.234 103.3559
12.060000 84.350 100.8157
12.200000 84.386 99.5218
12.410000 84.415 97.7293
12.500000 84.423 97.0385
12.650000 84.434 95.9976
12.800000 84.445 95.0960
13.150000 84.502 93.5045
13.200000 84.516 93.3189
13.400000 84.594 92.6376
13.600000 84.703 91.9594
13.800000 84.840 91.1960
14.000000 84.993 90.2735
14.300000 85.223 88.5411
14.500000 85.358 87.1728
14.750000 85.490 85.3170
15.000000 85.573 83.4137
15.250000 85.608 81.6039
15.500000 85.607 79.9977
15.750000 85.585 78.6648
16.000000 85.562 77.6304
16.250000 85.556 76.8604
16.500000 85.580 76.2875
16.750000 85.638 75.8176
17.000000 85.730 75.3540
17.250000 85.851 74.8167
17.500000 85.991 74.1458
17.750000 86.141 73.3096
18.000000 86.289 72.3029
18.250000 86.426 71.1429
18.500000 86.543 69.8670
18.750000 86.635 68.5272
19.000000 86.700 67.1807
19.250000 86.740 65.8875
19.500000 86.760 64.6928
19.750000 86.769 63.6239
20.000000 86.774 62.6845
20.299999 86.786 61.6954
20.600000 86.811 60.7918
20.900000 86.849 59.8982
21.200001 86.894 58.9609
21.400000 86.922 58.3043
21.799999 86.964 56.9485
22.000000 86.976 56.2783
22.400000 86.988 55.0261
22.700001 86.994 54.1943
23.000000 87.008 53.4428
23.299999 87.035 52.7256
23.600000 87.076 51.9848
24.000000 87.138 50.8882
24.299999 87.178 49.9836
24.700001 87.209 48.7549
25.000000 87.215 47.9077
25.400000 87.213 46.9880
25.799999 87.231 46.3190
26.200001 87.291 45.7626
26.500000 87.365 45.2859
26.900000 87.483 44.4330
27.200001 87.566 43.6092
27.600000 87.645 42.3491
28.000000 87.679 41.0744
28.500000 87.672 39.7198
29.000000 87.652 38.7485
29.500000 87.660 38.0365
30.000000 87.704 37.3306
30.400000 87.750 36.6445
30.700001 87.778 36.0501
31.100000 87.797 35.2080
31.500000 87.793 34.4121
32.000000 87.775 33.6150
32.500000 87.776 33.0096
33.000000 87.812 32.3716
33.500000 87.857 31.5165
34.000000 87.872 30.5240
34.500000 87.854 29.6359
35.000000 87.840 28.9521
35.500000 87.853 28.3055
36.000000 87.873 27.5049
36.500000 87.863 26.6227
37.000000 87.819 25.9282
37.500000 87.786 25.5616
38.200001 87.826 25.2172
38.700001 87.896 24.7055
39.500000 87.974 23.4023
40.000000 87.985 22.5380
40.599998 87.976 21.6187
41.200001 87.956 20.8689
41.799999 87.944 20.2842
42.500000 87.956 19.6630
43.099998 87.976 19.0460
43.700001 87.986 18.3855
44.400002 87.994 17.6392
45.000000 88.004 16.9495
45.500000 88.001 16.3242
46.200001 87.975 15.5101
46.799999 87.955 14.9138
47.500000 87.940 14.1958
48.200001 87.910 13.4956
48.700001 87.891 13.1136
49.400002 87.897 12.6210
50.000000 87.919 12.0173
50.799999 87.904 11.1134
51.500000 87.875 10.5992
52.200001 87.882 10.2001
53.000000 87.898 9.5448
53.799999 87.882 8.8960
54.500000 87.870 8.4534
55.200001 87.868 7.9691
56.000000 87.853 7.3439
57.000000 87.823 6.6307
58.000000 87.808 5.9538
59.000000 87.805 5.1270
60.000000 87.774 4.1855
60.799999 87.729 3.6411
61.500000 87.711 3.3262
62.200001 87.718 2.9602
63.000000 87.726 2.3699
64.000000 87.699 1.5972
65.000000 87.657 1.0634
66.000000 87.644 0.6755
67.000000 87.654 0.1338
68.000000 87.649 -0.5394
69.000000 87.628 -1.1485
70.000000 87.605 -1.6877
71.000000 87.581 -2.1615
72.000000 87.558 -2.6097
73.000000 87.531 -3.0870
74.000000 87.491 -3.5337
75.000000 87.453 -3.8655
76.199997 87.438 -4.2797
77.500000 87.431 -4.9696
78.800003 87.407 -5.7305
80.000000 87.371 -6.3880
81.199997 87.332 -6.9471
82.500000 87.283 -7.5009
83.800003 87.238 -7.8730
85.000000 87.216 -8.2674
86.199997 87.182 -8.7226
87.500000 87.141 -9.1036
88.500000 87.118 -9.3892
90.000000 87.078 -9.8864
91.199997 87.041 -10.2975
92.500000 86.994 -10.7771
93.800003 86.946 -11.1727
95.000000 86.919 -11.5414
96.199997 86.902 -11.9089
97.500000 86.892 -12.3866
98.800003 86.865 -12.8477
100.000000 86.842 -13.1782
101.500000 86.797 -13.6564
103.000000 86.740 -13.9572
104.400002 86.700 -14.3252
106.000000 86.628 -14.7993
107.500000 86.568 -15.0336
109.000000 86.543 -15.2332
110.599998 86.537 -15.5710
112.000000 86.517 -15.9478
113.800003 86.463 -16.3558
115.000000 86.417 -16.6219
117.199997 86.315 -17.1307
118.000000 86.285 -17.3034
120.599998 86.208 -17.9727
122.000000 86.174 -18.2250
124.099998 86.142 -18.4148
125.000000 86.135 -18.5377
126.500000 86.110 -18.8502
128.000000 86.072 -19.2109
131.500000 85.974 -19.8753
132.000000 85.963 -19.9388
134.000000 85.915 -20.1892
136.000000 85.854 -20.3671
138.000000 85.814 -20.5450
140.000000 85.793 -20.9147
143.000000 85.747 -21.5152
145.000000 85.703 -21.8379
147.500000 85.644 -22.2618
150.000000 85.590 -22.6819
152.500000 85.538 -22.9956
155.000000 85.480 -23.1755
157.500000 85.419 -23.4794
160.000000 85.351 -23.7877
162.500000 85.283 -23.9498
165.000000 85.219 -24.0298
167.500000 85.160 -24.1697
170.000000 85.117 -24.4404
172.500000 85.075 -24.8145
175.000000 85.019 -25.0742
177.500000 84.960 -25.2262
180.000000 84.899 -25.3978
182.500000 84.839 -25.5916
185.000000 84.778 -25.8145
187.500000 84.717 -25.9950
190.000000 84.659 -26.1566
192.500000 84.603 -26.3320
195.000000 84.544 -26.4966
197.500000 84.486 -26.6415
200.000000 84.433 -26.7914
203.000000 84.381 -26.9957
206.000000 84.339 -27.1894
209.000000 84.293 -27.3123
212.000000 84.241 -27.4039
214.000000 84.205 -27.4823
218.000000 84.138 -27.7008
220.000000 84.106 -27.8013
224.000000 84.037 -27.9503
227.000000 83.988 -28.0439
230.000000 83.948 -28.1513
233.000000 83.909 -28.2423
236.000000 83.865 -28.2946
240.000000 83.801 -28.3837
243.000000 83.751 -28.4630
247.000000 83.688 -28.5380
250.000000 83.645 -28.5965
254.000000 83.586 -28.6902
258.000000 83.525 -28.7505
262.000000 83.470 -28.7536
265.000000 83.429 -28.7723
269.000000 83.375 -28.8521
272.000000 83.339 -28.9235
276.000000 83.289 -28.9359
280.000000 83.240 -28.9169
285.000000 83.179 -28.9338
290.000000 83.118 -28.9495
295.000000 83.052 -28.9487
300.000000 82.990 -28.9537
304.000000 82.953 -28.9557
307.000000 82.926 -28.9705
311.000000 82.887 -28.9880
315.000000 82.845 -28.9652
320.000000 82.791 -28.9170
