* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 20, 25 4:51:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mermaid R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.330 -101.3326
1.015000 48.651 -100.7182
1.030000 48.963 -100.1825
1.044000 49.243 -99.7506
1.060000 49.549 -99.3342
1.075000 49.819 -99.0155
1.090000 50.072 -98.7633
1.106000 50.325 -98.5624
1.120000 50.539 -98.4374
1.138000 50.807 -98.3370
1.150000 50.983 -98.3035
1.172000 51.300 -98.3023
1.180000 51.413 -98.3190
1.206000 51.774 -98.4264
1.220000 51.963 -98.5132
1.241000 52.241 -98.6742
1.250000 52.359 -98.7529
1.265000 52.551 -98.8946
1.280000 52.740 -99.0476
1.315000 53.167 -99.4367
1.320000 53.227 -99.4949
1.340000 53.461 -99.7318
1.360000 53.689 -99.9725
1.380000 53.911 -100.2140
1.400000 54.128 -100.4533
1.430000 54.442 -100.8032
1.450000 54.644 -101.0285
1.475000 54.887 -101.3094
1.500000 55.118 -101.6153
1.525000 55.335 -101.9528
1.550000 55.541 -102.3146
1.575000 55.735 -102.6919
1.600000 55.919 -103.0771
1.625000 56.095 -103.4625
1.650000 56.263 -103.8415
1.675000 56.425 -104.2077
1.700000 56.582 -104.5550
1.725000 56.735 -104.8780
1.750000 56.885 -105.1714
1.775000 57.033 -105.4304
1.800000 57.181 -105.6506
1.825000 57.328 -105.8310
1.850000 57.473 -105.9817
1.875000 57.611 -106.1183
1.900000 57.742 -106.2455
1.925000 57.867 -106.3622
1.950000 57.987 -106.4665
1.975000 58.104 -106.5564
2.000000 58.218 -106.6300
2.030000 58.353 -106.6942
2.060000 58.488 -106.7293
2.090000 58.626 -106.7323
2.120000 58.768 -106.7007
2.140000 58.867 -106.6594
2.180000 59.075 -106.5245
2.200000 59.184 -106.4279
2.240000 59.410 -106.1645
2.270000 59.582 -105.9092
2.300000 59.756 -105.6178
2.330000 59.934 -105.3034
2.360000 60.115 -104.9789
2.400000 60.364 -104.5515
2.430000 60.556 -104.2494
2.470000 60.821 -103.8909
2.500000 61.027 -103.6671
2.540000 61.314 -103.4392
2.580000 61.614 -103.2700
2.620000 61.931 -103.0916
2.650000 62.179 -102.9459
2.690000 62.520 -102.7629
2.720000 62.782 -102.6544
2.760000 63.139 -102.5740
2.800000 63.500 -102.5920
2.850000 63.952 -102.7861
2.900000 64.401 -103.1968
2.950000 64.846 -103.7991
3.000000 65.294 -104.4860
3.040000 65.656 -105.0718
3.070000 65.929 -105.5389
3.110000 66.292 -106.2091
3.150000 66.652 -106.9441
3.200000 67.096 -107.9704
3.250000 67.529 -109.1320
3.300000 67.947 -110.4332
3.350000 68.355 -111.8376
3.400000 68.753 -113.3022
3.450000 69.143 -114.8114
3.500000 69.523 -116.3615
3.550000 69.892 -117.9537
3.600000 70.249 -119.5931
3.650000 70.594 -121.2887
3.700000 70.926 -123.0490
3.750000 71.246 -124.8679
3.820000 71.675 -127.4724
3.870000 71.968 -129.3487
3.950000 72.414 -132.3470
4.000000 72.679 -134.2143
4.060000 72.982 -136.4711
4.120000 73.269 -138.7776
4.180000 73.540 -141.1174
4.250000 73.838 -143.8410
4.310000 74.079 -146.1358
4.370000 74.307 -148.3779
4.440000 74.556 -150.9576
4.500000 74.755 -153.1830
4.550000 74.910 -155.0415
4.620000 75.114 -157.6136
4.680000 75.277 -159.7587
4.750000 75.456 -162.1663
4.820000 75.621 -164.4993
4.870000 75.730 -166.1483
4.940000 75.871 -168.4275
5.000000 75.983 -170.3328
5.080000 76.125 -172.7659
5.150000 76.241 -174.7784
5.220000 76.350 -176.7081
5.300000 76.464 -178.8361
5.380000 76.572 179.1250
5.450000 76.666 177.4283
5.520000 76.761 175.8239
5.600000 76.867 174.0969
5.700000 77.000 172.0660
5.800000 77.138 170.1441
5.900000 77.287 168.3221
6.000000 77.446 166.6138
6.080000 77.578 165.3066
6.150000 77.699 164.1810
6.220000 77.824 163.0588
6.300000 77.973 161.7845
6.400000 78.167 160.2158
6.500000 78.366 158.6510
6.600000 78.566 157.0588
6.700000 78.766 155.4331
6.800000 78.966 153.7897
6.900000 79.161 152.1380
7.000000 79.347 150.4729
7.100000 79.525 148.7871
7.200000 79.695 147.1026
7.300000 79.855 145.4482
7.400000 80.003 143.8257
7.500000 80.140 142.2262
7.620000 80.293 140.3688
7.750000 80.447 138.4730
7.880000 80.588 136.6856
8.000000 80.712 135.1352
8.120000 80.835 133.6968
8.250000 80.968 132.2565
8.380000 81.103 130.9093
8.500000 81.234 129.7371
8.620000 81.372 128.6281
8.750000 81.528 127.4602
8.850000 81.652 126.5670
9.000000 81.845 125.2349
9.120000 82.002 124.1580
9.250000 82.171 122.9613
9.380000 82.338 121.7395
9.500000 82.486 120.5972
9.620000 82.628 119.4402
9.750000 82.772 118.1778
9.880000 82.902 116.9298
10.000000 83.006 115.7985
10.150000 83.118 114.4180
10.300000 83.216 113.0998
10.440000 83.297 111.9303
10.600000 83.384 110.6608
10.750000 83.464 109.5365
10.900000 83.544 108.4630
11.060000 83.632 107.3521
11.200000 83.710 106.4011
11.380000 83.810 105.1862
11.500000 83.876 104.3732
11.720000 83.992 102.8814
11.800000 84.031 102.3391
12.060000 84.146 100.5977
12.200000 84.200 99.6931
12.410000 84.277 98.3957
12.500000 84.311 97.8683
12.650000 84.373 97.0276
12.800000 84.441 96.2259
13.150000 84.622 94.4475
13.200000 84.651 94.1921
13.400000 84.773 93.1440
13.600000 84.901 92.0171
13.800000 85.029 90.7867
14.000000 85.146 89.4580
14.300000 85.288 87.3404
14.500000 85.353 85.9207
14.750000 85.403 84.2430
15.000000 85.430 82.7564
15.250000 85.451 81.5117
15.500000 85.488 80.4744
15.750000 85.553 79.5550
16.000000 85.651 78.6239
16.250000 85.770 77.5694
16.500000 85.894 76.3424
16.750000 85.999 74.9597
17.000000 86.072 73.5103
17.250000 86.109 72.1071
17.500000 86.116 70.8646
17.750000 86.108 69.8604
18.000000 86.105 69.1071
18.250000 86.123 68.5566
18.500000 86.174 68.1058
18.750000 86.256 67.6423
19.000000 86.359 67.0768
19.250000 86.470 66.3661
19.500000 86.576 65.5223
19.750000 86.668 64.5869
20.000000 86.743 63.6163
20.299999 86.814 62.4683
20.600000 86.874 61.3734
20.900000 86.929 60.3276
21.200001 86.982 59.3032
21.400000 87.017 58.6202
21.799999 87.077 57.2523
22.000000 87.102 56.5768
22.400000 87.144 55.2719
22.700001 87.175 54.3359
23.000000 87.209 53.4140
23.299999 87.246 52.4735
23.600000 87.279 51.4950
24.000000 87.306 50.1577
24.299999 87.309 49.1956
24.700001 87.295 48.0852
25.000000 87.285 47.4251
25.400000 87.299 46.7275
25.799999 87.355 46.0644
26.200001 87.442 45.2326
26.500000 87.507 44.4459
26.900000 87.567 43.2438
27.200001 87.584 42.3284
27.600000 87.576 41.2422
28.000000 87.555 40.3948
28.500000 87.548 39.6020
29.000000 87.572 38.8749
29.500000 87.606 38.0637
30.000000 87.625 37.2275
30.400000 87.635 36.6199
30.700001 87.646 36.2058
31.100000 87.672 35.6624
31.500000 87.709 35.0579
32.000000 87.752 34.1635
32.500000 87.773 33.1899
33.000000 87.772 32.2892
33.500000 87.769 31.5339
34.000000 87.785 30.8476
34.500000 87.817 30.1007
35.000000 87.844 29.2565
35.500000 87.856 28.4026
36.000000 87.861 27.6370
36.500000 87.876 26.9480
37.000000 87.905 26.2285
37.500000 87.933 25.4030
38.200001 87.941 24.1785
38.700001 87.927 23.4128
39.500000 87.913 22.4358
40.000000 87.921 21.8612
40.599998 87.937 21.1129
41.200001 87.945 20.3276
41.799999 87.944 19.5723
42.500000 87.940 18.7670
43.099998 87.936 18.1240
43.700001 87.931 17.5173
44.400002 87.923 16.8992
45.000000 87.928 16.4375
45.500000 87.944 16.0143
46.200001 87.964 15.2543
46.799999 87.953 14.5547
47.500000 87.924 13.9127
48.200001 87.918 13.3542
48.700001 87.920 12.8526
49.400002 87.895 12.0858
50.000000 87.858 11.5977
50.799999 87.852 11.1160
51.500000 87.875 10.4397
52.200001 87.852 9.5901
53.000000 87.780 9.0231
53.799999 87.765 8.8948
54.500000 87.809 8.6191
55.200001 87.847 8.0747
56.000000 87.865 7.4284
57.000000 87.892 6.5602
58.000000 87.872 5.5267
59.000000 87.825 4.8162
60.000000 87.811 4.1001
60.799999 87.783 3.4231
61.500000 87.750 2.9109
62.200001 87.720 2.4478
63.000000 87.685 1.9495
64.000000 87.649 1.4081
65.000000 87.619 0.8802
66.000000 87.593 0.4097
67.000000 87.578 -0.1241
68.000000 87.544 -0.7379
69.000000 87.496 -1.2309
70.000000 87.464 -1.6278
71.000000 87.448 -2.1348
72.000000 87.423 -2.6826
73.000000 87.413 -3.1724
74.000000 87.405 -3.8406
75.000000 87.366 -4.3609
76.199997 87.367 -4.8118
77.500000 87.338 -5.6722
78.800003 87.270 -6.0724
80.000000 87.259 -6.4053
81.199997 87.248 -7.1012
82.500000 87.186 -7.9811
83.800003 87.105 -8.6443
85.000000 87.045 -9.0964
86.199997 87.011 -9.4426
87.500000 86.999 -9.8807
88.500000 86.983 -10.2487
90.000000 86.952 -10.6760
91.199997 86.937 -10.9812
92.500000 86.915 -11.4236
93.800003 86.880 -11.8693
95.000000 86.837 -12.2982
96.199997 86.784 -12.6221
97.500000 86.735 -12.8721
98.800003 86.697 -13.0745
100.000000 86.677 -13.2758
101.500000 86.662 -13.7086
103.000000 86.624 -14.2809
104.400002 86.585 -14.7201
106.000000 86.543 -15.3656
107.500000 86.481 -15.8663
109.000000 86.437 -16.1776
110.599998 86.408 -16.5815
112.000000 86.370 -16.9849
113.800003 86.301 -17.4075
115.000000 86.256 -17.6241
117.199997 86.189 -18.0663
118.000000 86.166 -18.2720
120.599998 86.082 -18.8520
122.000000 86.048 -19.0634
124.099998 85.997 -19.4312
125.000000 85.973 -19.5859
126.500000 85.933 -19.8311
128.000000 85.897 -20.0732
131.500000 85.822 -20.4747
132.000000 85.812 -20.5046
134.000000 85.769 -20.6621
136.000000 85.715 -20.9390
138.000000 85.660 -21.3115
140.000000 85.615 -21.7024
143.000000 85.561 -22.0981
145.000000 85.519 -22.3019
147.500000 85.450 -22.6244
150.000000 85.378 -22.9731
152.500000 85.301 -23.2166
155.000000 85.213 -23.2192
157.500000 85.133 -23.0546
160.000000 85.092 -22.7374
162.500000 85.116 -22.6025
165.000000 85.165 -22.8876
167.500000 85.180 -23.4550
170.000000 85.164 -23.9647
172.500000 85.100 -24.3571
175.000000 85.016 -24.6520
177.500000 84.933 -25.0394
180.000000 84.860 -25.4292
182.500000 84.801 -25.6818
185.000000 84.747 -25.8240
187.500000 84.685 -25.9786
190.000000 84.609 -26.2104
192.500000 84.535 -26.3599
195.000000 84.471 -26.4943
197.500000 84.402 -26.6045
200.000000 84.338 -26.7178
203.000000 84.281 -26.9207
206.000000 84.237 -27.1124
209.000000 84.195 -27.2544
212.000000 84.155 -27.3601
214.000000 84.127 -27.4063
218.000000 84.058 -27.5072
220.000000 84.022 -27.6063
224.000000 83.965 -27.8123
227.000000 83.924 -27.9136
230.000000 83.875 -27.9662
233.000000 83.828 -28.0192
236.000000 83.781 -28.0780
240.000000 83.719 -28.1272
243.000000 83.682 -28.1963
247.000000 83.632 -28.3019
250.000000 83.591 -28.3229
254.000000 83.536 -28.3589
258.000000 83.478 -28.4315
262.000000 83.421 -28.4769
265.000000 83.381 -28.4908
269.000000 83.329 -28.5211
272.000000 83.292 -28.5468
276.000000 83.242 -28.5546
280.000000 83.190 -28.5425
285.000000 83.127 -28.5603
290.000000 83.071 -28.5396
295.000000 83.010 -28.5255
300.000000 82.955 -28.5243
304.000000 82.917 -28.4989
307.000000 82.885 -28.4680
311.000000 82.841 -28.4164
315.000000 82.799 -28.3631
320.000000 82.748 -28.3055
