* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 26, 25 12:22:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mystic8 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.863 -76.0420
1.015000 51.288 -77.6158
1.030000 51.705 -79.1862
1.044000 52.086 -80.6532
1.060000 52.512 -82.3355
1.075000 52.899 -83.9214
1.090000 53.275 -85.5166
1.106000 53.664 -87.2152
1.120000 53.996 -88.6734
1.138000 54.417 -90.4895
1.150000 54.693 -91.6617
1.172000 55.190 -93.7316
1.180000 55.368 -94.4597
1.206000 55.937 -96.7414
1.220000 56.237 -97.9196
1.241000 56.680 -99.6272
1.250000 56.867 -100.3388
1.265000 57.175 -101.5002
1.280000 57.480 -102.6334
1.315000 58.174 -105.1842
1.320000 58.272 -105.5394
1.340000 58.658 -106.9412
1.360000 59.039 -108.3170
1.380000 59.414 -109.6722
1.400000 59.783 -111.0120
1.430000 60.328 -113.0031
1.450000 60.686 -114.3233
1.475000 61.126 -115.9588
1.500000 61.555 -117.5489
1.525000 61.973 -119.0825
1.550000 62.380 -120.5643
1.575000 62.777 -122.0013
1.600000 63.164 -123.4005
1.625000 63.542 -124.7686
1.650000 63.912 -126.1122
1.675000 64.274 -127.4373
1.700000 64.629 -128.7496
1.725000 64.978 -130.0544
1.750000 65.322 -131.3566
1.775000 65.660 -132.6607
1.800000 65.994 -133.9708
1.825000 66.325 -135.2885
1.850000 66.650 -136.6071
1.875000 66.968 -137.9142
1.900000 67.279 -139.2039
1.925000 67.584 -140.4746
1.950000 67.882 -141.7260
1.975000 68.174 -142.9585
2.000000 68.460 -144.1730
2.030000 68.797 -145.6086
2.060000 69.126 -147.0233
2.090000 69.449 -148.4203
2.120000 69.766 -149.8036
2.140000 69.975 -150.7200
2.180000 70.386 -152.5442
2.200000 70.589 -153.4536
2.240000 70.985 -155.2639
2.270000 71.275 -156.6094
2.300000 71.557 -157.9412
2.330000 71.834 -159.2574
2.360000 72.104 -160.5574
2.400000 72.456 -162.2654
2.430000 72.714 -163.5280
2.470000 73.051 -165.1891
2.500000 73.299 -166.4202
2.540000 73.624 -168.0457
2.580000 73.942 -169.6591
2.620000 74.251 -171.2658
2.650000 74.477 -172.4650
2.690000 74.772 -174.0515
2.720000 74.987 -175.2298
2.760000 75.268 -176.7827
2.800000 75.542 -178.3134
2.850000 75.875 179.8055
2.900000 76.200 177.9586
2.950000 76.517 176.1371
3.000000 76.823 174.3255
3.040000 77.061 172.8838
3.070000 77.235 171.8097
3.110000 77.461 170.3906
3.150000 77.683 168.9892
3.200000 77.953 167.2659
3.250000 78.215 165.5763
3.300000 78.471 163.9172
3.350000 78.719 162.2739
3.400000 78.959 160.6388
3.450000 79.192 159.0171
3.500000 79.417 157.4158
3.550000 79.636 155.8406
3.600000 79.849 154.2960
3.650000 80.057 152.7825
3.700000 80.259 151.2913
3.750000 80.454 149.8109
3.820000 80.718 147.7584
3.870000 80.900 146.3137
3.950000 81.180 144.0528
4.000000 81.350 142.6761
4.060000 81.547 141.0562
4.120000 81.738 139.4561
4.180000 81.922 137.8737
4.250000 82.129 136.0580
4.310000 82.300 134.5349
4.370000 82.467 133.0471
4.440000 82.655 131.3498
4.500000 82.811 129.9165
4.550000 82.937 128.7363
4.620000 83.107 127.1102
4.680000 83.249 125.7452
4.750000 83.410 124.1898
4.820000 83.566 122.6686
4.870000 83.674 121.5974
4.940000 83.821 120.1189
5.000000 83.943 118.8735
5.080000 84.101 117.2485
5.150000 84.236 115.8602
5.220000 84.366 114.4968
5.300000 84.510 112.9651
5.380000 84.650 111.4635
5.450000 84.769 110.1763
5.520000 84.885 108.9134
5.600000 85.013 107.4946
5.700000 85.169 105.7546
5.800000 85.318 104.0543
5.900000 85.462 102.3935
6.000000 85.601 100.7650
6.080000 85.708 99.4845
6.150000 85.799 98.3817
6.220000 85.888 97.2958
6.300000 85.986 96.0727
6.400000 86.105 94.5672
6.500000 86.219 93.0902
6.600000 86.328 91.6445
6.700000 86.432 90.2261
6.800000 86.532 88.8325
6.900000 86.628 87.4674
7.000000 86.720 86.1325
7.100000 86.807 84.8236
7.200000 86.891 83.5404
7.300000 86.971 82.2860
7.400000 87.048 81.0602
7.500000 87.122 79.8600
7.620000 87.207 78.4535
7.750000 87.295 76.9729
7.880000 87.379 75.5337
8.000000 87.454 74.2391
8.120000 87.526 72.9760
8.250000 87.601 71.6406
8.380000 87.674 70.3360
8.500000 87.740 69.1565
8.620000 87.803 67.9991
8.750000 87.870 66.7682
8.850000 87.919 65.8360
9.000000 87.990 64.4601
9.120000 88.044 63.3790
9.250000 88.101 62.2267
9.380000 88.154 61.0933
9.500000 88.201 60.0659
9.620000 88.245 59.0571
9.750000 88.290 57.9844
9.880000 88.327 56.9351
10.000000 88.353 55.9880
10.150000 88.376 54.8320
10.300000 88.393 53.7077
10.440000 88.404 52.6863
10.600000 88.414 51.5490
10.750000 88.422 50.5100
10.900000 88.430 49.4945
11.060000 88.439 48.4326
11.200000 88.446 47.5197
11.380000 88.455 46.3642
11.500000 88.460 45.6038
11.720000 88.467 44.2294
11.800000 88.469 43.7355
12.060000 88.472 42.1539
12.200000 88.471 41.3188
12.410000 88.470 40.0900
12.500000 88.471 39.5731
12.650000 88.477 38.7252
12.800000 88.484 37.8946
13.150000 88.500 36.0266
13.200000 88.502 35.7676
13.400000 88.508 34.7503
13.600000 88.513 33.7617
13.800000 88.518 32.8000
14.000000 88.522 31.8627
14.300000 88.527 30.4979
14.500000 88.530 29.6115
14.750000 88.533 28.5243
15.000000 88.536 27.4552
15.250000 88.537 26.4000
15.500000 88.535 25.3586
15.750000 88.530 24.3353
16.000000 88.522 23.3383
16.250000 88.511 22.3778
16.500000 88.500 21.4607
16.750000 88.488 20.5881
17.000000 88.479 19.7518
17.250000 88.473 18.9370
17.500000 88.470 18.1263
17.750000 88.468 17.3065
18.000000 88.463 16.4742
18.250000 88.454 15.6368
18.500000 88.438 14.8116
18.750000 88.417 14.0177
19.000000 88.393 13.2690
19.250000 88.368 12.5684
19.500000 88.347 11.9037
19.750000 88.331 11.2549
20.000000 88.319 10.5995
20.299999 88.305 9.7858
20.600000 88.286 8.9460
20.900000 88.259 8.1088
21.200001 88.223 7.3123
21.400000 88.197 6.8166
21.799999 88.150 5.9021
22.000000 88.131 5.4636
22.400000 88.102 4.5603
22.700001 88.080 3.8315
23.000000 88.050 3.0731
23.299999 88.006 2.3334
23.600000 87.953 1.6680
24.000000 87.884 0.9432
24.299999 87.846 0.4910
24.700001 87.824 -0.1177
25.000000 87.821 -0.6662
25.400000 87.814 -1.5656
25.799999 87.781 -2.5768
26.200001 87.718 -3.5396
26.500000 87.659 -4.1539
26.900000 87.583 -4.8158
27.200001 87.538 -5.2369
27.600000 87.493 -5.7843
28.000000 87.455 -6.3709
28.500000 87.405 -7.1415
29.000000 87.347 -7.8751
29.500000 87.292 -8.5459
30.000000 87.243 -9.1947
30.400000 87.204 -9.7177
30.700001 87.174 -10.1078
31.100000 87.131 -10.6140
31.500000 87.088 -11.0997
32.000000 87.035 -11.6872
32.500000 86.981 -12.2638
33.000000 86.925 -12.8258
33.500000 86.868 -13.3681
34.000000 86.811 -13.8986
34.500000 86.751 -14.4227
35.000000 86.688 -14.9265
35.500000 86.622 -15.3898
36.000000 86.560 -15.8157
36.500000 86.503 -16.2316
37.000000 86.448 -16.6595
37.500000 86.391 -17.0909
38.200001 86.306 -17.6437
38.700001 86.247 -17.9816
39.500000 86.168 -18.4769
40.000000 86.125 -18.8024
40.599998 86.073 -19.2192
41.200001 86.018 -19.6348
41.799999 85.960 -20.0186
42.500000 85.897 -20.4342
43.099998 85.850 -20.8170
43.700001 85.799 -21.2660
44.400002 85.723 -21.8283
45.000000 85.641 -22.2305
45.500000 85.573 -22.4655
46.200001 85.496 -22.7173
46.799999 85.444 -22.9756
47.500000 85.379 -23.3279
48.200001 85.311 -23.6179
48.700001 85.270 -23.7889
49.400002 85.224 -24.0670
50.000000 85.182 -24.3492
50.799999 85.118 -24.6914
51.500000 85.063 -24.9564
52.200001 85.002 -25.2020
53.000000 84.929 -25.3882
53.799999 84.865 -25.5253
54.500000 84.811 -25.6622
55.200001 84.756 -25.7535
56.000000 84.715 -25.8783
57.000000 84.662 -26.2924
58.000000 84.570 -26.6783
59.000000 84.490 -26.8530
60.000000 84.434 -27.0233
60.799999 84.399 -27.2142
61.500000 84.367 -27.4407
62.200001 84.326 -27.6780
63.000000 84.270 -27.8868
64.000000 84.205 -28.0650
65.000000 84.146 -28.2573
66.000000 84.079 -28.4399
67.000000 84.013 -28.5339
68.000000 83.961 -28.6080
69.000000 83.915 -28.6970
70.000000 83.876 -28.8058
71.000000 83.837 -28.9843
72.000000 83.790 -29.1729
73.000000 83.739 -29.3353
74.000000 83.687 -29.4761
75.000000 83.640 -29.5956
76.199997 83.587 -29.7592
77.500000 83.529 -29.9011
78.800003 83.478 -30.0104
80.000000 83.432 -30.0826
81.199997 83.394 -30.1334
82.500000 83.356 -30.2520
83.800003 83.311 -30.4197
85.000000 83.266 -30.5603
86.199997 83.223 -30.6761
87.500000 83.183 -30.7815
88.500000 83.155 -30.8552
90.000000 83.116 -30.9598
91.199997 83.082 -31.0437
92.500000 83.045 -31.1052
93.800003 83.010 -31.1631
95.000000 82.981 -31.2404
96.199997 82.948 -31.3323
97.500000 82.916 -31.3975
98.800003 82.888 -31.4832
100.000000 82.859 -31.5637
101.500000 82.825 -31.6306
103.000000 82.794 -31.7068
104.400002 82.768 -31.7512
106.000000 82.750 -31.8877
107.500000 82.712 -32.0844
109.000000 82.672 -32.0667
110.599998 82.653 -32.0670
112.000000 82.633 -32.1908
113.800003 82.594 -32.3100
115.000000 82.573 -32.3698
117.199997 82.545 -32.4869
118.000000 82.538 -32.5339
120.599998 82.514 -32.7256
122.000000 82.496 -32.8218
124.099998 82.468 -32.9606
125.000000 82.455 -33.0167
126.500000 82.436 -33.1017
128.000000 82.418 -33.1817
131.500000 82.378 -33.3649
132.000000 82.373 -33.3906
134.000000 82.354 -33.5120
136.000000 82.333 -33.6202
138.000000 82.315 -33.7006
140.000000 82.297 -33.7817
143.000000 82.266 -33.8942
145.000000 82.249 -33.8788
147.500000 82.234 -33.8735
150.000000 82.214 -33.9066
152.500000 82.200 -33.9574
155.000000 82.212 -33.9505
157.500000 82.246 -33.9410
160.000000 82.271 -33.8450
162.500000 82.285 -33.8539
165.000000 82.288 -34.0349
167.500000 82.299 -34.4371
170.000000 82.299 -34.8458
172.500000 82.293 -35.2131
175.000000 82.273 -35.5836
177.500000 82.255 -35.9261
180.000000 82.243 -36.2487
182.500000 82.224 -36.5456
185.000000 82.193 -36.8164
187.500000 82.163 -37.0552
190.000000 82.144 -37.2703
192.500000 82.125 -37.4753
195.000000 82.100 -37.6661
197.500000 82.078 -37.8611
200.000000 82.062 -38.0775
203.000000 82.051 -38.3526
206.000000 82.040 -38.6063
209.000000 82.031 -38.8364
212.000000 82.021 -39.0621
214.000000 82.014 -39.2093
218.000000 82.004 -39.4874
220.000000 82.000 -39.6310
224.000000 81.994 -39.9305
227.000000 81.991 -40.1650
230.000000 81.987 -40.3970
233.000000 81.984 -40.6263
236.000000 81.979 -40.8655
240.000000 81.972 -41.1868
243.000000 81.964 -41.4091
247.000000 81.953 -41.7018
250.000000 81.944 -41.9204
254.000000 81.929 -42.2201
258.000000 81.914 -42.5114
262.000000 81.901 -42.7797
265.000000 81.890 -42.9817
269.000000 81.876 -43.2605
272.000000 81.866 -43.4634
276.000000 81.856 -43.7184
280.000000 81.846 -43.9669
285.000000 81.835 -44.2838
290.000000 81.823 -44.5660
295.000000 81.813 -44.8085
300.000000 81.812 -45.0603
304.000000 81.817 -45.2495
307.000000 81.825 -45.3949
311.000000 81.842 -45.5967
