* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 26, 25 12:20:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mystic8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.533 -86.8377
1.015000 52.987 -88.0089
1.030000 53.432 -89.1960
1.044000 53.839 -90.3207
1.060000 54.291 -91.6282
1.075000 54.702 -92.8771
1.090000 55.101 -94.1472
1.106000 55.512 -95.5115
1.120000 55.861 -96.6875
1.138000 56.297 -98.1560
1.150000 56.580 -99.1066
1.172000 57.084 -100.7925
1.180000 57.262 -101.3880
1.206000 57.826 -103.2643
1.220000 58.120 -104.2400
1.241000 58.550 -105.6630
1.250000 58.730 -106.2595
1.265000 59.026 -107.2374
1.280000 59.315 -108.1972
1.315000 59.972 -110.3787
1.320000 60.063 -110.6848
1.340000 60.426 -111.8986
1.360000 60.783 -113.0985
1.380000 61.134 -114.2888
1.400000 61.482 -115.4736
1.430000 61.998 -117.2481
1.450000 62.340 -118.4333
1.475000 62.765 -119.9100
1.500000 63.180 -121.3537
1.525000 63.584 -122.7530
1.550000 63.977 -124.1117
1.575000 64.359 -125.4354
1.600000 64.732 -126.7300
1.625000 65.095 -128.0011
1.650000 65.451 -129.2540
1.675000 65.798 -130.4939
1.700000 66.139 -131.7257
1.725000 66.474 -132.9539
1.750000 66.804 -134.1830
1.775000 67.129 -135.4167
1.800000 67.450 -136.6587
1.825000 67.767 -137.9104
1.850000 68.080 -139.1663
1.875000 68.386 -140.4151
1.900000 68.686 -141.6511
1.925000 68.979 -142.8723
1.950000 69.265 -144.0781
1.975000 69.546 -145.2682
2.000000 69.821 -146.4432
2.030000 70.145 -147.8345
2.060000 70.461 -149.2074
2.090000 70.772 -150.5647
2.120000 71.077 -151.9094
2.140000 71.277 -152.8007
2.180000 71.672 -154.5752
2.200000 71.867 -155.4602
2.240000 72.248 -157.2247
2.270000 72.526 -158.5392
2.300000 72.797 -159.8427
2.330000 73.063 -161.1331
2.360000 73.323 -162.4090
2.400000 73.661 -164.0870
2.430000 73.908 -165.3281
2.470000 74.232 -166.9610
2.500000 74.470 -168.1708
2.540000 74.781 -169.7672
2.580000 75.086 -171.3508
2.620000 75.383 -172.9290
2.650000 75.599 -174.1082
2.690000 75.881 -175.6696
2.720000 76.088 -176.8302
2.760000 76.357 -178.3604
2.800000 76.619 -179.8688
2.850000 76.938 178.2780
2.900000 77.250 176.4603
2.950000 77.552 174.6697
3.000000 77.846 172.8893
3.040000 78.073 171.4719
3.070000 78.239 170.4158
3.110000 78.456 169.0201
3.150000 78.668 167.6419
3.200000 78.926 165.9474
3.250000 79.177 164.2870
3.300000 79.422 162.6581
3.350000 79.659 161.0465
3.400000 79.889 159.4438
3.450000 80.112 157.8547
3.500000 80.327 156.2856
3.550000 80.537 154.7422
3.600000 80.741 153.2285
3.650000 80.941 151.7457
3.700000 81.135 150.2855
3.750000 81.323 148.8372
3.820000 81.577 146.8303
3.870000 81.751 145.4177
3.950000 82.022 143.2058
4.000000 82.186 141.8577
4.060000 82.377 140.2706
4.120000 82.562 138.7036
4.180000 82.741 137.1542
4.250000 82.942 135.3753
4.310000 83.109 133.8813
4.370000 83.272 132.4194
4.440000 83.456 130.7490
4.500000 83.609 129.3371
4.550000 83.732 128.1738
4.620000 83.900 126.5691
4.680000 84.040 125.2198
4.750000 84.198 123.6787
4.820000 84.352 122.1678
4.870000 84.459 121.1022
4.940000 84.604 119.6290
5.000000 84.725 118.3862
5.080000 84.881 116.7615
5.150000 85.014 115.3702
5.220000 85.143 114.0009
5.300000 85.285 112.4592
5.380000 85.423 110.9453
5.450000 85.540 109.6461
5.520000 85.653 108.3702
5.600000 85.779 106.9348
5.700000 85.931 105.1718
5.800000 86.076 103.4479
5.900000 86.217 101.7644
6.000000 86.351 100.1134
6.080000 86.455 98.8150
6.150000 86.543 97.6968
6.220000 86.629 96.5961
6.300000 86.725 95.3571
6.400000 86.839 93.8327
6.500000 86.950 92.3371
6.600000 87.056 90.8724
6.700000 87.158 89.4352
6.800000 87.255 88.0225
6.900000 87.349 86.6372
7.000000 87.439 85.2798
7.100000 87.526 83.9466
7.200000 87.608 82.6374
7.300000 87.687 81.3550
7.400000 87.763 80.0986
7.500000 87.836 78.8656
7.620000 87.919 77.4181
7.750000 88.005 75.8923
7.880000 88.087 74.4065
8.000000 88.158 73.0699
8.120000 88.228 71.7675
8.250000 88.300 70.3922
8.380000 88.369 69.0509
8.500000 88.432 67.8413
8.620000 88.493 66.6571
8.750000 88.558 65.3985
8.850000 88.606 64.4451
9.000000 88.678 63.0372
9.120000 88.733 61.9268
9.250000 88.791 60.7365
9.380000 88.846 59.5583
9.500000 88.895 58.4818
9.620000 88.941 57.4147
9.750000 88.988 56.2699
9.880000 89.025 55.1414
10.000000 89.049 54.1150
10.150000 89.068 52.8549
10.300000 89.077 51.6296
10.440000 89.077 50.5193
10.600000 89.072 49.2947
10.750000 89.065 48.1953
10.900000 89.055 47.1413
11.060000 89.045 46.0674
11.200000 89.036 45.1685
11.380000 89.026 44.0585
11.500000 89.022 43.3436
11.720000 89.018 42.0695
11.800000 89.018 41.6136
12.060000 89.021 40.1477
12.200000 89.024 39.3600
12.410000 89.031 38.1769
12.500000 89.037 37.6689
12.650000 89.050 36.8216
12.800000 89.063 35.9772
13.150000 89.087 34.0369
13.200000 89.090 33.7654
13.400000 89.096 32.6974
13.600000 89.100 31.6615
13.800000 89.101 30.6593
14.000000 89.101 29.6873
14.300000 89.101 28.2762
14.500000 89.100 27.3583
14.750000 89.098 26.2300
15.000000 89.094 25.1210
15.250000 89.086 24.0347
15.500000 89.074 22.9775
15.750000 89.060 21.9546
16.000000 89.046 20.9677
16.250000 89.032 20.0126
16.500000 89.021 19.0823
16.750000 89.010 18.1685
17.000000 88.998 17.2653
17.250000 88.984 16.3719
17.500000 88.968 15.4912
17.750000 88.949 14.6285
18.000000 88.927 13.7885
18.250000 88.905 12.9725
18.500000 88.882 12.1777
18.750000 88.859 11.3986
19.000000 88.837 10.6291
19.250000 88.813 9.8655
19.500000 88.788 9.1088
19.750000 88.760 8.3641
20.000000 88.729 7.6392
20.299999 88.690 6.8049
20.600000 88.652 6.0135
20.900000 88.616 5.2589
21.200001 88.584 4.5249
21.400000 88.565 4.0374
21.799999 88.531 3.0482
22.000000 88.513 2.5436
22.400000 88.473 1.5240
22.700001 88.437 0.7693
23.000000 88.396 0.0435
23.299999 88.352 -0.6392
23.600000 88.308 -1.2717
24.000000 88.252 -2.0431
24.299999 88.216 -2.5828
24.700001 88.177 -3.2831
25.000000 88.152 -3.8162
25.400000 88.123 -4.5610
25.799999 88.091 -5.3509
26.200001 88.050 -6.1686
26.500000 88.012 -6.7784
26.900000 87.951 -7.5533
27.200001 87.900 -8.0865
27.600000 87.830 -8.7202
28.000000 87.766 -9.2785
28.500000 87.700 -9.9423
29.000000 87.649 -10.6854
29.500000 87.593 -11.5779
30.000000 87.507 -12.5409
30.400000 87.412 -13.2275
30.700001 87.334 -13.6268
31.100000 87.236 -13.9860
31.500000 87.166 -14.2175
32.000000 87.124 -14.5515
32.500000 87.104 -15.1353
33.000000 87.063 -15.9360
33.500000 86.984 -16.7180
34.000000 86.887 -17.2839
34.500000 86.805 -17.6371
35.000000 86.749 -17.9299
35.500000 86.709 -18.2809
36.000000 86.666 -18.6904
36.500000 86.618 -19.1049
37.000000 86.567 -19.5044
37.500000 86.514 -19.9050
38.200001 86.428 -20.4655
38.700001 86.359 -20.8280
39.500000 86.246 -21.3223
40.000000 86.179 -21.6127
40.599998 86.101 -21.9704
41.200001 86.023 -22.3305
41.799999 85.947 -22.6742
42.500000 85.865 -23.0471
43.099998 85.804 -23.3760
43.700001 85.748 -23.7604
44.400002 85.670 -24.2490
45.000000 85.589 -24.5795
45.500000 85.525 -24.7454
46.200001 85.456 -24.9183
46.799999 85.408 -25.1514
47.500000 85.333 -25.4943
48.200001 85.243 -25.7224
48.700001 85.188 -25.8073
49.400002 85.133 -25.9928
50.000000 85.087 -26.3179
50.799999 84.993 -26.8224
51.500000 84.897 -27.1008
52.200001 84.817 -27.2386
53.000000 84.746 -27.3698
53.799999 84.687 -27.4626
54.500000 84.649 -27.5318
55.200001 84.612 -27.6518
56.000000 84.553 -27.7707
57.000000 84.469 -27.7633
58.000000 84.399 -27.6692
59.000000 84.357 -27.8701
60.000000 84.250 -28.5009
60.799999 84.113 -28.6425
61.500000 84.046 -28.4684
62.200001 84.033 -28.5111
63.000000 84.003 -28.8773
64.000000 83.936 -29.0415
65.000000 83.928 -28.9907
66.000000 83.928 -29.1152
67.000000 83.918 -29.2025
68.000000 83.894 -29.4600
69.000000 83.808 -29.6970
70.000000 83.716 -29.6417
71.000000 83.652 -29.6416
72.000000 83.585 -29.7621
73.000000 83.519 -29.8413
74.000000 83.466 -29.8475
75.000000 83.427 -29.8108
76.199997 83.394 -29.7643
77.500000 83.352 -29.8027
78.800003 83.293 -29.8254
80.000000 83.244 -29.9037
81.199997 83.183 -30.1075
82.500000 83.117 -30.2043
83.800003 83.078 -30.2552
85.000000 83.052 -30.3449
86.199997 83.018 -30.4272
87.500000 82.977 -30.4003
88.500000 82.953 -30.3962
90.000000 82.908 -30.4625
91.199997 82.875 -30.4968
92.500000 82.845 -30.5895
93.800003 82.814 -30.6804
95.000000 82.786 -30.7363
96.199997 82.757 -30.7723
97.500000 82.724 -30.7844
98.800003 82.694 -30.7781
100.000000 82.669 -30.8019
101.500000 82.638 -30.8475
103.000000 82.609 -30.8868
104.400002 82.589 -30.9341
106.000000 82.569 -30.9911
107.500000 82.559 -31.0886
109.000000 82.539 -31.3087
110.599998 82.493 -31.4971
112.000000 82.448 -31.5393
113.800003 82.409 -31.5226
115.000000 82.395 -31.5429
117.199997 82.380 -31.6094
118.000000 82.378 -31.6266
120.599998 82.368 -31.6605
122.000000 82.360 -31.6877
124.099998 82.342 -31.7750
125.000000 82.334 -31.8199
126.500000 82.325 -31.8945
128.000000 82.319 -31.9744
131.500000 82.304 -32.1272
132.000000 82.302 -32.1502
134.000000 82.294 -32.2557
136.000000 82.290 -32.3785
138.000000 82.290 -32.5079
140.000000 82.289 -32.6370
143.000000 82.279 -32.8148
145.000000 82.270 -32.9335
147.500000 82.260 -33.1454
150.000000 82.249 -33.3107
152.500000 82.248 -33.4340
155.000000 82.246 -33.5935
157.500000 82.244 -33.7290
160.000000 82.241 -33.8766
162.500000 82.223 -34.0513
165.000000 82.197 -34.2182
167.500000 82.175 -34.4095
170.000000 82.157 -34.5938
172.500000 82.141 -34.7416
175.000000 82.125 -34.9047
177.500000 82.111 -35.0945
180.000000 82.097 -35.2961
182.500000 82.083 -35.4928
185.000000 82.067 -35.6812
187.500000 82.053 -35.8831
190.000000 82.038 -36.0704
192.500000 82.026 -36.2618
195.000000 82.011 -36.4711
197.500000 81.995 -36.6787
200.000000 81.982 -36.8759
203.000000 81.973 -37.1090
206.000000 81.970 -37.3411
209.000000 81.967 -37.5660
212.000000 81.965 -37.7878
214.000000 81.964 -37.9401
218.000000 81.960 -38.2507
220.000000 81.957 -38.4077
224.000000 81.954 -38.7120
227.000000 81.954 -38.9402
230.000000 81.953 -39.1671
233.000000 81.951 -39.3936
236.000000 81.951 -39.5968
240.000000 81.950 -39.8564
243.000000 81.950 -40.0638
247.000000 81.956 -40.3572
250.000000 81.961 -40.5951
254.000000 81.964 -40.9565
258.000000 81.962 -41.3336
262.000000 81.957 -41.6889
265.000000 81.951 -41.9367
269.000000 81.942 -42.2640
272.000000 81.936 -42.5109
276.000000 81.929 -42.8442
280.000000 81.921 -43.1758
285.000000 81.911 -43.5725
290.000000 81.901 -43.9551
295.000000 81.892 -44.3361
300.000000 81.885 -44.7045
304.000000 81.879 -44.9923
307.000000 81.875 -45.1935
311.000000 81.872 -45.4373
