* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 7:23:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: na20 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.553 55.2835
1.015000 68.360 55.4897
1.030000 68.143 55.6776
1.044000 67.918 55.8348
1.060000 67.633 55.9908
1.075000 67.336 56.1115
1.090000 67.007 56.2031
1.106000 66.609 56.2583
1.120000 66.199 56.2549
1.138000 65.579 56.1650
1.150000 65.112 56.0467
1.172000 64.162 55.6949
1.180000 63.790 55.5188
1.206000 62.503 54.7471
1.220000 61.773 54.1865
1.241000 60.647 53.1117
1.250000 60.159 52.5498
1.265000 59.343 51.4506
1.280000 58.533 50.1057
1.315000 56.712 45.6101
1.320000 56.464 44.7548
1.340000 55.519 40.5391
1.360000 54.662 34.5360
1.380000 53.913 25.6595
1.400000 53.294 12.1633
1.430000 52.656 -19.3913
1.450000 52.457 -42.7956
1.475000 52.494 -64.4861
1.500000 52.852 -77.2760
1.525000 53.499 -84.7515
1.550000 54.391 -89.3950
1.575000 55.487 -92.4579
1.600000 56.742 -94.5778
1.625000 58.116 -96.1157
1.650000 59.566 -97.2760
1.675000 61.050 -98.1835
1.700000 62.528 -98.9184
1.725000 63.958 -99.5340
1.750000 65.302 -100.0667
1.775000 66.520 -100.5462
1.800000 67.576 -100.9942
1.825000 68.448 -101.4096
1.850000 69.158 -101.7780
1.875000 69.762 -102.0787
1.900000 70.283 -102.3156
1.925000 70.733 -102.5012
1.950000 71.121 -102.6468
1.975000 71.456 -102.7660
2.000000 71.746 -102.8704
2.030000 72.048 -102.9756
2.060000 72.312 -103.0681
2.090000 72.555 -103.1559
2.120000 72.791 -103.2452
2.140000 72.953 -103.3083
2.180000 73.302 -103.4548
2.200000 73.491 -103.5401
2.240000 73.868 -103.7039
2.270000 74.132 -103.8117
2.300000 74.378 -103.9062
2.330000 74.608 -103.9888
2.360000 74.824 -104.0615
2.400000 75.095 -104.1671
2.430000 75.287 -104.2421
2.470000 75.532 -104.3360
2.500000 75.710 -104.4041
2.540000 75.944 -104.4949
2.580000 76.173 -104.6015
2.620000 76.392 -104.7365
2.650000 76.547 -104.8364
2.690000 76.743 -104.9643
2.720000 76.883 -105.0542
2.760000 77.060 -105.1621
2.800000 77.229 -105.2847
2.850000 77.429 -105.4207
2.900000 77.621 -105.5319
2.950000 77.805 -105.6252
3.000000 77.977 -105.7415
3.040000 78.105 -105.8420
3.070000 78.197 -105.9129
3.110000 78.314 -105.9978
3.150000 78.425 -106.0680
3.200000 78.557 -106.1529
3.250000 78.683 -106.2154
3.300000 78.805 -106.2444
3.350000 78.921 -106.2523
3.400000 79.028 -106.2735
3.450000 79.129 -106.2901
3.500000 79.224 -106.2859
3.550000 79.316 -106.2542
3.600000 79.404 -106.2175
3.650000 79.491 -106.1573
3.700000 79.576 -106.0658
3.750000 79.656 -105.9517
3.820000 79.764 -105.7973
3.870000 79.838 -105.6722
3.950000 79.955 -105.4302
4.000000 80.029 -105.2756
4.060000 80.119 -105.0727
4.120000 80.208 -104.8372
4.180000 80.298 -104.5844
4.250000 80.403 -104.3068
4.310000 80.494 -104.0596
4.370000 80.588 -103.8146
4.440000 80.702 -103.5585
4.500000 80.801 -103.3259
4.550000 80.886 -103.1258
4.620000 81.007 -102.8814
4.680000 81.112 -102.6949
4.750000 81.237 -102.5047
4.820000 81.364 -102.3676
4.870000 81.457 -102.2828
4.940000 81.588 -102.1768
5.000000 81.702 -102.1235
5.080000 81.852 -102.1086
5.150000 81.981 -102.1390
5.220000 82.110 -102.2269
5.300000 82.257 -102.3694
5.380000 82.400 -102.5509
5.450000 82.522 -102.7669
5.520000 82.640 -103.0110
5.600000 82.769 -103.3425
5.700000 82.924 -103.8258
5.800000 83.069 -104.3476
5.900000 83.204 -104.9164
6.000000 83.328 -105.5273
6.080000 83.420 -106.0503
6.150000 83.496 -106.5022
6.220000 83.567 -106.9658
6.300000 83.643 -107.4938
6.400000 83.730 -108.1624
6.500000 83.809 -108.8375
6.600000 83.883 -109.4868
6.700000 83.951 -110.1251
6.800000 84.013 -110.7474
6.900000 84.074 -111.3600
7.000000 84.132 -111.9451
7.100000 84.190 -112.5173
7.200000 84.247 -113.0707
7.300000 84.304 -113.6188
7.400000 84.361 -114.1520
7.500000 84.420 -114.6822
7.620000 84.490 -115.3097
7.750000 84.568 -115.9881
7.880000 84.647 -116.6782
8.000000 84.719 -117.3056
8.120000 84.791 -117.9328
8.250000 84.867 -118.6109
8.380000 84.943 -119.2741
8.500000 85.012 -119.8756
8.620000 85.081 -120.4610
8.750000 85.156 -121.0733
8.850000 85.214 -121.5272
9.000000 85.302 -122.1721
9.120000 85.377 -122.6708
9.250000 85.462 -123.1908
9.380000 85.553 -123.6914
9.500000 85.642 -124.1636
9.620000 85.735 -124.6431
9.750000 85.840 -125.1783
9.880000 85.943 -125.7466
10.000000 86.033 -126.2989
10.150000 86.139 -127.0748
10.300000 86.235 -127.8861
10.440000 86.313 -128.6752
10.600000 86.389 -129.5876
10.750000 86.444 -130.4378
10.900000 86.485 -131.2643
11.060000 86.515 -132.1069
11.200000 86.529 -132.8199
11.380000 86.536 -133.6035
11.500000 86.534 -134.0290
11.720000 86.529 -134.6110
11.800000 86.529 -134.7573
12.060000 86.547 -135.0623
12.200000 86.575 -135.1860
12.410000 86.644 -135.3228
12.500000 86.685 -135.3900
12.650000 86.768 -135.5287
12.800000 86.863 -135.7263
13.150000 87.098 -136.5535
13.200000 87.130 -136.7173
13.400000 87.251 -137.4523
13.600000 87.351 -138.2736
13.800000 87.426 -139.1390
14.000000 87.478 -139.9958
14.300000 87.520 -141.2466
14.500000 87.531 -141.9695
14.750000 87.536 -142.7361
15.000000 87.540 -143.3708
15.250000 87.551 -143.9733
15.500000 87.569 -144.5284
15.750000 87.591 -145.0609
16.000000 87.615 -145.5815
16.250000 87.641 -146.1228
16.500000 87.669 -146.6337
16.750000 87.700 -147.1086
17.000000 87.737 -147.5634
17.250000 87.783 -148.0506
17.500000 87.835 -148.5685
17.750000 87.889 -149.1320
18.000000 87.940 -149.7439
18.250000 87.983 -150.4115
18.500000 88.016 -151.0731
18.750000 88.038 -151.6886
19.000000 88.056 -152.2317
19.250000 88.073 -152.7173
19.500000 88.097 -153.1387
19.750000 88.130 -153.5261
20.000000 88.171 -153.9172
20.299999 88.226 -154.4612
20.600000 88.278 -155.0633
20.900000 88.318 -155.6986
21.200001 88.345 -156.3373
21.400000 88.356 -156.7364
21.799999 88.370 -157.4223
22.000000 88.378 -157.7137
22.400000 88.403 -158.2636
22.700001 88.430 -158.6746
23.000000 88.459 -159.1177
23.299999 88.485 -159.6136
23.600000 88.506 -160.1316
24.000000 88.523 -160.8162
24.299999 88.532 -161.3227
24.700001 88.543 -161.9646
25.000000 88.553 -162.4323
25.400000 88.566 -163.0740
25.799999 88.579 -163.7215
26.200001 88.588 -164.3737
26.500000 88.593 -164.8562
26.900000 88.600 -165.4701
27.200001 88.607 -165.9161
27.600000 88.617 -166.4962
28.000000 88.629 -167.0638
28.500000 88.644 -167.7766
29.000000 88.656 -168.4653
29.500000 88.665 -169.1239
30.000000 88.673 -169.7310
30.400000 88.681 -170.1981
30.700001 88.689 -170.5440
31.100000 88.700 -171.0175
31.500000 88.709 -171.5202
32.000000 88.712 -172.1570
32.500000 88.705 -172.7809
33.000000 88.694 -173.3586
33.500000 88.684 -173.9114
34.000000 88.675 -174.4609
34.500000 88.665 -175.0241
35.000000 88.654 -175.5758
35.500000 88.643 -176.1107
36.000000 88.634 -176.6321
36.500000 88.628 -177.1589
37.000000 88.621 -177.6814
37.500000 88.614 -178.1893
38.200001 88.605 -178.8622
38.700001 88.601 -179.3350
39.500000 88.595 179.9012
40.000000 88.586 179.4274
40.599998 88.571 178.8774
41.200001 88.553 178.3646
41.799999 88.534 177.8844
42.500000 88.514 177.3365
43.099998 88.498 176.8563
43.700001 88.480 176.3607
44.400002 88.454 175.7816
45.000000 88.429 175.3036
45.500000 88.410 174.9114
46.200001 88.384 174.3694
46.799999 88.361 173.9169
47.500000 88.336 173.4031
48.200001 88.315 172.8832
48.700001 88.298 172.5027
49.400002 88.270 171.9806
50.000000 88.244 171.5618
50.799999 88.211 171.0352
51.500000 88.183 170.5888
52.200001 88.155 170.1505
53.000000 88.123 169.6490
53.799999 88.088 169.1520
54.500000 88.057 168.7350
55.200001 88.027 168.3258
56.000000 87.994 167.8551
57.000000 87.952 167.2761
58.000000 87.910 166.7240
59.000000 87.867 166.1769
60.000000 87.820 165.6503
60.799999 87.781 165.2583
61.500000 87.750 164.9144
62.200001 87.716 164.5510
63.000000 87.672 164.1438
64.000000 87.618 163.6796
65.000000 87.571 163.2036
66.000000 87.518 162.6833
67.000000 87.461 162.2585
68.000000 87.416 161.8828
69.000000 87.376 161.4568
70.000000 87.327 161.0401
71.000000 87.279 160.6696
72.000000 87.233 160.2717
73.000000 87.182 159.8548
74.000000 87.128 159.4749
75.000000 87.082 159.1095
76.199997 87.031 158.6376
77.500000 86.972 158.1344
78.800003 86.906 157.6963
80.000000 86.842 157.3555
81.199997 86.781 157.0388
82.500000 86.712 156.6492
83.800003 86.649 156.2537
85.000000 86.593 155.8077
86.199997 86.535 155.4309
87.500000 86.489 155.0441
88.500000 86.447 154.6912
90.000000 86.351 154.3192
91.199997 86.282 154.3288
92.500000 86.273 154.2943
93.800003 86.277 153.6400
95.000000 86.219 152.7826
96.199997 86.118 152.1678
97.500000 86.017 151.8747
98.800003 85.947 151.7076
100.000000 85.888 151.5901
101.500000 85.827 151.5317
103.000000 85.765 151.4099
104.400002 85.703 151.2450
106.000000 85.619 151.0303
107.500000 85.549 150.8526
109.000000 85.486 150.5433
110.599998 85.400 150.2092
112.000000 85.319 150.0038
113.800003 85.233 149.9389
115.000000 85.177 149.8362
117.199997 85.090 149.5151
118.000000 85.035 149.3535
120.599998 84.944 148.9855
122.000000 84.867 148.5937
124.099998 84.764 148.6201
125.000000 84.751 148.8128
126.500000 84.780 148.7899
128.000000 84.791 148.1755
131.500000 84.504 146.3022
132.000000 84.447 146.3890
134.000000 84.343 147.1572
136.000000 84.329 147.3828
138.000000 84.260 147.2137
140.000000 84.169 147.1487
143.000000 84.034 146.6887
145.000000 83.990 146.6466
147.500000 83.932 146.4045
150.000000 83.797 146.3006
152.500000 83.674 146.4174
155.000000 83.579 145.9021
157.500000 83.488 145.8733
160.000000 83.476 145.8661
162.500000 83.439 145.4659
165.000000 83.321 144.6727
167.500000 83.134 144.6750
170.000000 83.016 145.5808
172.500000 82.954 146.4763
175.000000 82.880 146.7522
177.500000 82.806 146.0294
180.000000 82.800 144.8723
182.500000 82.846 144.6295
185.000000 82.812 145.7028
187.500000 82.602 146.9442
190.000000 82.332 147.1185
192.500000 82.190 146.4002
195.000000 82.164 145.9105
197.500000 82.127 146.0298
200.000000 82.048 146.1582
203.000000 81.959 146.0809
206.000000 81.890 146.1676
209.000000 81.815 146.2402
212.000000 81.746 146.2010
214.000000 81.704 146.2263
218.000000 81.596 146.3830
220.000000 81.535 146.4437
224.000000 81.424 146.5664
227.000000 81.348 146.6240
230.000000 81.274 146.6443
233.000000 81.202 146.7113
236.000000 81.131 146.7926
240.000000 81.036 146.8919
243.000000 80.963 146.9998
247.000000 80.865 147.1937
250.000000 80.791 147.3363
254.000000 80.693 147.5193
258.000000 80.602 147.7135
262.000000 80.511 147.9124
265.000000 80.443 148.0562
269.000000 80.352 148.2660
272.000000 80.284 148.4075
276.000000 80.193 148.6029
280.000000 80.104 148.8121
285.000000 79.997 149.0904
290.000000 79.899 149.3608
295.000000 79.803 149.6657
300.000000 79.707 149.9905
304.000000 79.630 150.2136
307.000000 79.572 150.3868
311.000000 79.493 150.6445
315.000000 79.417 150.9128
320.000000 79.326 151.2431
