* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 7:20:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: na20 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.121 -20.6003
1.015000 62.763 -21.7797
1.030000 63.382 -22.9370
1.044000 63.934 -24.0093
1.060000 64.528 -25.2371
1.075000 65.043 -26.3992
1.090000 65.515 -27.5771
1.106000 65.977 -28.8439
1.120000 66.364 -29.9395
1.138000 66.854 -31.3095
1.150000 67.175 -32.1945
1.172000 67.755 -33.7544
1.180000 67.962 -34.3020
1.206000 68.622 -36.0055
1.220000 68.968 -36.8757
1.241000 69.476 -38.1226
1.250000 69.688 -38.6366
1.265000 70.036 -39.4678
1.280000 70.375 -40.2690
1.315000 71.130 -42.0352
1.320000 71.234 -42.2770
1.340000 71.637 -43.2211
1.360000 72.022 -44.1328
1.380000 72.388 -45.0066
1.400000 72.734 -45.8540
1.430000 73.213 -47.0941
1.450000 73.505 -47.9066
1.475000 73.835 -48.9113
1.500000 74.118 -49.9003
1.525000 74.356 -50.8681
1.550000 74.552 -51.8122
1.575000 74.713 -52.7264
1.600000 74.842 -53.6066
1.625000 74.945 -54.4626
1.650000 75.027 -55.2961
1.675000 75.094 -56.1088
1.700000 75.150 -56.9033
1.725000 75.201 -57.6818
1.750000 75.252 -58.4471
1.775000 75.307 -59.2065
1.800000 75.373 -59.9670
1.825000 75.451 -60.7242
1.850000 75.538 -61.4844
1.875000 75.624 -62.2507
1.900000 75.705 -63.0190
1.925000 75.783 -63.7837
1.950000 75.856 -64.5394
1.975000 75.925 -65.2861
2.000000 75.991 -66.0240
2.030000 76.067 -66.8845
2.060000 76.139 -67.7155
2.090000 76.208 -68.5151
2.120000 76.275 -69.2826
2.140000 76.319 -69.7765
2.180000 76.405 -70.7312
2.200000 76.447 -71.1993
2.240000 76.528 -72.1261
2.270000 76.585 -72.8192
2.300000 76.638 -73.5062
2.330000 76.690 -74.1819
2.360000 76.738 -74.8416
2.400000 76.800 -75.7105
2.430000 76.844 -76.3365
2.470000 76.901 -77.1276
2.500000 76.943 -77.6852
2.540000 76.998 -78.3792
2.580000 77.052 -79.0369
2.620000 77.103 -79.6953
2.650000 77.139 -80.1777
2.690000 77.186 -80.8036
2.720000 77.219 -81.2567
2.760000 77.263 -81.8335
2.800000 77.305 -82.4038
2.850000 77.358 -83.0639
2.900000 77.411 -83.6519
2.950000 77.465 -84.1680
3.000000 77.518 -84.6556
3.040000 77.559 -85.0243
3.070000 77.590 -85.2839
3.110000 77.631 -85.6078
3.150000 77.673 -85.9067
3.200000 77.728 -86.2679
3.250000 77.786 -86.5994
3.300000 77.850 -86.8868
3.350000 77.917 -87.1246
3.400000 77.986 -87.3411
3.450000 78.059 -87.5327
3.500000 78.135 -87.7000
3.550000 78.216 -87.8516
3.600000 78.300 -88.0225
3.650000 78.389 -88.2008
3.700000 78.484 -88.3655
3.750000 78.583 -88.5049
3.820000 78.730 -88.7070
3.870000 78.840 -88.8541
3.950000 79.021 -89.1105
4.000000 79.137 -89.3217
4.060000 79.279 -89.6127
4.120000 79.426 -89.9100
4.180000 79.578 -90.2183
4.250000 79.757 -90.6313
4.310000 79.911 -91.0104
4.370000 80.063 -91.4282
4.440000 80.238 -91.9979
4.500000 80.388 -92.5150
4.550000 80.513 -92.9585
4.620000 80.684 -93.6262
4.680000 80.827 -94.2190
4.750000 80.988 -94.9279
4.820000 81.142 -95.6953
4.870000 81.249 -96.2681
4.940000 81.393 -97.0825
5.000000 81.511 -97.7977
5.080000 81.661 -98.7502
5.150000 81.783 -99.5688
5.220000 81.897 -100.4170
5.300000 82.017 -101.3988
5.380000 82.128 -102.3602
5.450000 82.219 -103.1866
5.520000 82.302 -103.9678
5.600000 82.389 -104.8461
5.700000 82.485 -105.9263
5.800000 82.572 -106.9304
5.900000 82.652 -107.8457
6.000000 82.724 -108.6780
6.080000 82.778 -109.3055
6.150000 82.824 -109.8032
6.220000 82.871 -110.2705
6.300000 82.926 -110.7449
6.400000 82.996 -111.2644
6.500000 83.069 -111.7357
6.600000 83.150 -112.1581
6.700000 83.239 -112.5385
6.800000 83.335 -112.8750
6.900000 83.439 -113.2126
7.000000 83.550 -113.5579
7.100000 83.669 -113.9149
7.200000 83.793 -114.2804
7.300000 83.921 -114.6866
7.400000 84.050 -115.1322
7.500000 84.180 -115.6204
7.620000 84.336 -116.2467
7.750000 84.497 -116.9835
7.880000 84.651 -117.7919
8.000000 84.785 -118.5577
8.120000 84.907 -119.3375
8.250000 85.028 -120.1993
8.380000 85.137 -121.0453
8.500000 85.228 -121.8018
8.620000 85.310 -122.5323
8.750000 85.390 -123.2807
8.850000 85.448 -123.8185
9.000000 85.527 -124.5590
9.120000 85.587 -125.1021
9.250000 85.652 -125.6335
9.380000 85.717 -126.1085
9.500000 85.779 -126.5184
9.620000 85.843 -126.8956
9.750000 85.914 -127.2768
9.880000 85.983 -127.6443
10.000000 86.045 -127.9681
10.150000 86.119 -128.4088
10.300000 86.190 -128.8430
10.440000 86.256 -129.2466
10.600000 86.330 -129.7125
10.750000 86.399 -130.1603
10.900000 86.466 -130.6194
11.060000 86.538 -131.1551
11.200000 86.600 -131.6815
11.380000 86.674 -132.3717
11.500000 86.719 -132.8392
11.720000 86.793 -133.7006
11.800000 86.816 -134.0123
12.060000 86.880 -135.0336
12.200000 86.908 -135.6070
12.410000 86.946 -136.4307
12.500000 86.963 -136.7668
12.650000 86.992 -137.3039
12.800000 87.021 -137.8131
13.150000 87.089 -138.9554
13.200000 87.099 -139.1199
13.400000 87.136 -139.7598
13.600000 87.171 -140.3753
13.800000 87.201 -140.9677
14.000000 87.226 -141.5313
14.300000 87.254 -142.3558
14.500000 87.267 -142.8175
14.750000 87.285 -143.2712
15.000000 87.313 -143.5961
15.250000 87.363 -143.8928
15.500000 87.439 -144.1865
15.750000 87.536 -144.5590
16.000000 87.644 -145.0817
16.250000 87.749 -145.8099
16.500000 87.833 -146.6611
16.750000 87.886 -147.5454
17.000000 87.905 -148.3507
17.250000 87.902 -149.0093
17.500000 87.892 -149.4326
17.750000 87.897 -149.6313
18.000000 87.933 -149.6935
18.250000 88.007 -149.7735
18.500000 88.111 -149.9777
18.750000 88.229 -150.3834
19.000000 88.340 -151.0090
19.250000 88.426 -151.8244
19.500000 88.479 -152.7115
19.750000 88.499 -153.5682
20.000000 88.493 -154.3068
20.299999 88.473 -155.0126
20.600000 88.460 -155.5082
20.900000 88.467 -155.8909
21.200001 88.495 -156.3011
21.400000 88.520 -156.6280
21.799999 88.565 -157.4088
22.000000 88.578 -157.8377
22.400000 88.583 -158.6913
22.700001 88.577 -159.2428
23.000000 88.573 -159.7089
23.299999 88.578 -160.1414
23.600000 88.594 -160.5767
24.000000 88.622 -161.2209
24.299999 88.640 -161.7656
24.700001 88.650 -162.4839
25.000000 88.650 -162.9639
25.400000 88.654 -163.5152
25.799999 88.674 -163.9990
26.200001 88.710 -164.5326
26.500000 88.739 -165.0101
26.900000 88.765 -165.7205
27.200001 88.770 -166.2603
27.600000 88.758 -166.8875
28.000000 88.745 -167.3502
28.500000 88.755 -167.8068
29.000000 88.802 -168.3852
29.500000 88.845 -169.2923
30.000000 88.834 -170.3848
30.400000 88.779 -171.1642
30.700001 88.724 -171.5806
31.100000 88.656 -171.8870
31.500000 88.620 -172.0110
32.000000 88.633 -172.1659
32.500000 88.682 -172.5642
33.000000 88.729 -173.2046
33.500000 88.759 -173.9647
34.000000 88.776 -174.7528
34.500000 88.783 -175.5637
35.000000 88.770 -176.3466
35.500000 88.739 -177.0009
36.000000 88.706 -177.4457
36.500000 88.694 -177.7495
37.000000 88.707 -178.0651
37.500000 88.727 -178.5009
38.200001 88.727 -179.2100
38.700001 88.711 -179.6486
39.500000 88.695 179.7701
40.000000 88.692 179.3696
40.599998 88.681 178.8289
41.200001 88.660 178.3093
41.799999 88.642 177.8200
42.500000 88.626 177.1973
43.099998 88.604 176.6351
43.700001 88.577 176.1234
44.400002 88.554 175.5743
45.000000 88.539 175.0702
45.500000 88.521 174.6302
46.200001 88.488 174.0830
46.799999 88.466 173.6858
47.500000 88.452 173.2007
48.200001 88.434 172.6686
48.700001 88.417 172.3047
49.400002 88.398 171.8320
50.000000 88.387 171.4224
50.799999 88.372 170.8584
51.500000 88.360 170.3695
52.200001 88.347 169.8512
53.000000 88.316 169.2429
53.799999 88.270 168.7435
54.500000 88.231 168.4070
55.200001 88.197 168.0907
56.000000 88.158 167.7122
57.000000 88.106 167.1899
58.000000 88.043 166.6348
59.000000 87.975 166.1039
60.000000 87.913 165.5936
60.799999 87.873 165.1909
61.500000 87.846 164.8073
62.200001 87.819 164.3718
63.000000 87.776 163.8961
64.000000 87.724 163.4631
65.000000 87.693 163.0311
66.000000 87.647 162.5503
67.000000 87.604 162.1727
68.000000 87.563 161.6735
69.000000 87.496 161.2379
70.000000 87.451 160.9734
71.000000 87.430 160.5344
72.000000 87.386 159.9430
73.000000 87.316 159.5035
74.000000 87.257 159.2716
75.000000 87.221 159.0612
76.199997 87.186 158.6579
77.500000 87.130 158.1211
78.800003 87.051 157.5297
80.000000 86.957 157.1003
81.199997 86.882 156.8353
82.500000 86.828 156.4408
83.800003 86.764 155.9604
85.000000 86.698 155.6078
86.199997 86.637 155.3079
87.500000 86.577 155.0089
88.500000 86.535 154.7375
90.000000 86.458 154.2755
91.199997 86.395 153.9711
92.500000 86.338 153.6651
93.800003 86.285 153.3583
95.000000 86.236 153.0952
96.199997 86.186 152.8723
97.500000 86.133 152.6489
98.800003 86.075 152.3796
100.000000 86.013 152.1016
101.500000 85.928 151.7785
103.000000 85.848 151.4865
104.400002 85.782 151.1950
106.000000 85.713 150.8833
107.500000 85.653 150.5905
109.000000 85.589 150.3144
110.599998 85.516 150.0649
112.000000 85.452 149.8763
113.800003 85.371 149.6188
115.000000 85.316 149.4421
117.199997 85.216 149.1116
118.000000 85.181 148.9964
120.599998 85.069 148.6414
122.000000 85.008 148.4760
124.099998 84.920 148.2421
125.000000 84.882 148.1384
126.500000 84.817 147.9714
128.000000 84.752 147.8153
131.500000 84.607 147.4984
132.000000 84.588 147.4650
134.000000 84.515 147.3303
136.000000 84.443 147.1677
138.000000 84.366 147.0031
140.000000 84.289 146.8090
143.000000 84.176 146.5660
145.000000 84.105 146.4633
147.500000 84.016 146.3807
150.000000 83.924 146.2975
152.500000 83.835 146.1277
155.000000 83.735 145.9979
157.500000 83.636 145.9783
160.000000 83.533 145.9171
162.500000 83.424 145.8231
165.000000 83.322 145.7925
167.500000 83.212 145.8265
170.000000 83.106 146.0421
172.500000 83.017 146.1979
175.000000 82.939 146.3298
177.500000 82.883 146.4289
180.000000 82.845 146.3760
182.500000 82.809 146.1957
185.000000 82.758 146.0587
187.500000 82.683 145.9625
190.000000 82.584 145.8684
192.500000 82.481 145.7996
195.000000 82.388 145.7287
197.500000 82.302 145.6654
200.000000 82.219 145.6132
203.000000 82.130 145.5992
206.000000 82.044 145.6276
209.000000 81.955 145.7013
212.000000 81.869 145.7711
214.000000 81.812 145.7919
218.000000 81.700 145.8543
220.000000 81.646 145.8923
224.000000 81.541 145.9827
227.000000 81.462 146.0719
230.000000 81.383 146.1783
233.000000 81.305 146.2822
236.000000 81.230 146.3761
240.000000 81.131 146.5184
243.000000 81.054 146.6553
247.000000 80.953 146.8624
250.000000 80.880 147.0165
254.000000 80.785 147.2598
258.000000 80.701 147.5188
262.000000 80.625 147.7090
265.000000 80.566 147.8015
269.000000 80.480 147.9438
272.000000 80.412 148.0701
276.000000 80.319 148.2544
280.000000 80.228 148.4510
285.000000 80.122 148.6924
290.000000 80.019 148.9838
295.000000 79.916 149.3114
300.000000 79.814 149.5912
304.000000 79.734 149.8320
307.000000 79.673 150.0311
311.000000 79.593 150.2933
