* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\NiceHCK\nx8 L.txt
* Format: Comma/Tab/Space delimited data
* Dated: 01 14, 25 3:55:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\NiceHCK\nx8 L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: nx8 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.049 44.8569
1.015000 60.341 43.2066
1.030000 60.629 41.6266
1.044000 60.893 40.2212
1.060000 61.190 38.7045
1.075000 61.462 37.3760
1.090000 61.728 36.1451
1.106000 62.005 34.9481
1.120000 62.244 34.0053
1.138000 62.547 32.9282
1.150000 62.748 32.2883
1.172000 63.111 31.2624
1.180000 63.241 30.9326
1.206000 63.661 30.0006
1.220000 63.884 29.5768
1.241000 64.214 29.0260
1.250000 64.355 28.8164
1.265000 64.586 28.4961
1.280000 64.816 28.2051
1.315000 65.343 27.5953
1.320000 65.418 27.5118
1.340000 65.713 27.1750
1.360000 66.005 26.8196
1.380000 66.293 26.4267
1.400000 66.578 25.9774
1.430000 66.999 25.1567
1.450000 67.276 24.4841
1.475000 67.617 23.4793
1.500000 67.953 22.3642
1.525000 68.281 21.1706
1.550000 68.604 19.9116
1.575000 68.920 18.6001
1.600000 69.231 17.2492
1.625000 69.536 15.8720
1.650000 69.836 14.4815
1.675000 70.132 13.0907
1.700000 70.422 11.7127
1.725000 70.708 10.3606
1.750000 70.991 9.0472
1.775000 71.269 7.7858
1.800000 71.544 6.5893
1.825000 71.815 5.4708
1.850000 72.083 4.4333
1.875000 72.346 3.4558
1.900000 72.603 2.5306
1.925000 72.857 1.6507
1.950000 73.105 0.8092
1.975000 73.350 -0.0010
2.000000 73.590 -0.7868
2.030000 73.873 -1.7073
2.060000 74.151 -2.6148
2.090000 74.424 -3.5211
2.120000 74.693 -4.4385
2.140000 74.869 -5.0620
2.180000 75.217 -6.3541
2.200000 75.389 -7.0296
2.240000 75.725 -8.4119
2.270000 75.970 -9.4627
2.300000 76.211 -10.5227
2.330000 76.446 -11.5893
2.360000 76.677 -12.6602
2.400000 76.978 -14.0899
2.430000 77.199 -15.1604
2.470000 77.487 -16.5804
2.500000 77.699 -17.6367
2.540000 77.976 -19.0285
2.580000 78.248 -20.3982
2.620000 78.513 -21.7621
2.650000 78.706 -22.7823
2.690000 78.958 -24.1366
2.720000 79.142 -25.1459
2.760000 79.382 -26.4807
2.800000 79.616 -27.8001
2.850000 79.901 -29.4226
2.900000 80.178 -31.0097
2.950000 80.447 -32.5543
3.000000 80.708 -34.0475
3.040000 80.909 -35.2109
3.070000 81.056 -36.0693
3.110000 81.248 -37.1999
3.150000 81.435 -38.3200
3.200000 81.662 -39.7149
3.250000 81.882 -41.1150
3.300000 82.097 -42.5322
3.350000 82.304 -43.9755
3.400000 82.504 -45.4363
3.450000 82.697 -46.9009
3.500000 82.882 -48.3558
3.550000 83.062 -49.7873
3.600000 83.237 -51.1820
3.650000 83.407 -52.5261
3.700000 83.572 -53.8102
3.750000 83.730 -55.0427
3.820000 83.943 -56.7011
3.870000 84.088 -57.8518
3.950000 84.312 -59.6628
4.000000 84.447 -60.7918
4.060000 84.604 -62.1585
4.120000 84.755 -63.5307
4.180000 84.899 -64.8956
4.250000 85.061 -66.4633
4.310000 85.195 -67.7723
4.370000 85.325 -69.0368
4.440000 85.473 -70.4426
4.500000 85.594 -71.5931
4.550000 85.692 -72.5209
4.620000 85.825 -73.7842
4.680000 85.936 -74.8446
4.750000 86.063 -76.0695
4.820000 86.187 -77.2854
4.870000 86.273 -78.1404
4.940000 86.390 -79.3177
5.000000 86.488 -80.3078
5.080000 86.617 -81.5991
5.150000 86.727 -82.7006
5.220000 86.836 -83.7696
5.300000 86.957 -84.9574
5.380000 87.075 -86.1195
5.450000 87.177 -87.1236
5.520000 87.277 -88.1222
5.600000 87.390 -89.2469
5.700000 87.527 -90.6295
5.800000 87.660 -91.9944
5.900000 87.789 -93.3499
6.000000 87.914 -94.6934
6.080000 88.010 -95.7578
6.150000 88.092 -96.6812
6.220000 88.171 -97.5967
6.300000 88.258 -98.6335
6.400000 88.363 -99.9157
6.500000 88.462 -101.1819
6.600000 88.555 -102.4315
6.700000 88.642 -103.6689
6.800000 88.724 -104.8912
6.900000 88.800 -106.0891
7.000000 88.872 -107.2549
7.100000 88.938 -108.3923
7.200000 89.000 -109.5019
7.300000 89.057 -110.5823
7.400000 89.112 -111.6330
7.500000 89.162 -112.6546
7.620000 89.218 -113.8416
7.750000 89.277 -115.0776
7.880000 89.331 -116.2593
8.000000 89.379 -117.3104
8.120000 89.427 -118.3303
8.250000 89.477 -119.3947
8.380000 89.526 -120.4262
8.500000 89.571 -121.3560
8.620000 89.616 -122.2600
8.750000 89.664 -123.2179
8.850000 89.700 -123.9438
9.000000 89.754 -125.0102
9.120000 89.797 -125.8486
9.250000 89.843 -126.7458
9.380000 89.889 -127.6293
9.500000 89.929 -128.4352
9.620000 89.967 -129.2327
9.750000 90.006 -130.0864
9.880000 90.039 -130.9324
10.000000 90.064 -131.7079
10.150000 90.088 -132.6687
10.300000 90.105 -133.6204
10.440000 90.114 -134.5018
10.600000 90.118 -135.4963
10.750000 90.119 -136.4153
10.900000 90.116 -137.3197
11.060000 90.109 -138.2561
11.200000 90.099 -139.0538
11.380000 90.084 -140.0377
11.500000 90.071 -140.6648
11.720000 90.047 -141.7574
11.800000 90.038 -142.1346
12.060000 90.010 -143.2957
12.200000 90.001 -143.8907
12.410000 89.993 -144.7497
12.500000 89.993 -145.1166
12.650000 89.999 -145.7212
12.800000 90.009 -146.3283
13.150000 90.039 -147.7824
13.200000 90.043 -147.9928
13.400000 90.055 -148.8459
13.600000 90.063 -149.6927
13.800000 90.063 -150.5274
14.000000 90.059 -151.3256
14.300000 90.045 -152.4442
14.500000 90.035 -153.1270
14.750000 90.026 -153.9282
15.000000 90.022 -154.6831
15.250000 90.025 -155.4253
15.500000 90.030 -156.1734
15.750000 90.039 -156.9361
16.000000 90.047 -157.7159
16.250000 90.054 -158.5031
16.500000 90.059 -159.2936
16.750000 90.061 -160.0828
17.000000 90.059 -160.8732
17.250000 90.052 -161.6620
17.500000 90.037 -162.4467
17.750000 90.011 -163.2003
18.000000 89.976 -163.8944
18.250000 89.932 -164.4975
18.500000 89.887 -164.9701
18.750000 89.848 -165.3183
19.000000 89.822 -165.5497
19.250000 89.820 -165.7314
19.500000 89.841 -165.9358
19.750000 89.883 -166.2215
20.000000 89.937 -166.6666
20.299999 89.999 -167.4211
20.600000 90.043 -168.3874
20.900000 90.053 -169.4829
21.200001 90.025 -170.5862
21.400000 89.989 -171.2598
21.799999 89.886 -172.3866
22.000000 89.830 -172.8207
22.400000 89.726 -173.4554
22.700001 89.667 -173.8040
23.000000 89.629 -174.1335
23.299999 89.605 -174.5079
23.600000 89.589 -174.9556
24.000000 89.566 -175.6635
24.299999 89.541 -176.2374
24.700001 89.497 -176.9885
25.000000 89.459 -177.5029
25.400000 89.412 -178.1120
25.799999 89.375 -178.6695
26.200001 89.348 -179.2262
26.500000 89.331 -179.6552
26.900000 89.307 179.7741
27.200001 89.289 179.3697
27.600000 89.267 178.8790
28.000000 89.252 178.4243
28.500000 89.243 177.8351
29.000000 89.230 177.1845
29.500000 89.199 176.5457
30.000000 89.154 176.0352
30.400000 89.120 175.7325
30.700001 89.102 175.5343
31.100000 89.085 175.2451
31.500000 89.070 174.8873
32.000000 89.039 174.3598
32.500000 88.987 173.8459
33.000000 88.926 173.4416
33.500000 88.877 173.1279
34.000000 88.847 172.7823
34.500000 88.825 172.2978
35.000000 88.791 171.6911
35.500000 88.739 171.0905
36.000000 88.680 170.6017
36.500000 88.634 170.2007
37.000000 88.602 169.7738
37.500000 88.568 169.2725
38.200001 88.497 168.6295
38.700001 88.444 168.3570
39.500000 88.408 168.0576
40.000000 88.405 167.7200
40.599998 88.384 167.1418
41.200001 88.328 166.6066
41.799999 88.263 166.2553
42.500000 88.207 165.9459
43.099998 88.171 165.6002
43.700001 88.128 165.1949
44.400002 88.070 164.7464
45.000000 88.023 164.3773
45.500000 87.984 164.0446
46.200001 87.920 163.5708
46.799999 87.859 163.2307
47.500000 87.793 162.9195
48.200001 87.736 162.6275
48.700001 87.697 162.4138
49.400002 87.645 162.1101
50.000000 87.601 161.8278
50.799999 87.532 161.4466
51.500000 87.470 161.1940
52.200001 87.422 160.9668
53.000000 87.374 160.5678
53.799999 87.301 160.1255
54.500000 87.230 159.8842
55.200001 87.179 159.6907
56.000000 87.131 159.3291
57.000000 87.044 158.7968
58.000000 86.943 158.4325
59.000000 86.855 158.1847
60.000000 86.786 157.9797
60.799999 86.741 157.7921
61.500000 86.704 157.6175
62.200001 86.669 157.4464
63.000000 86.633 157.2150
64.000000 86.575 156.8714
65.000000 86.501 156.5599
66.000000 86.414 156.3107
67.000000 86.327 156.1570
68.000000 86.248 155.9973
69.000000 86.171 155.8825
70.000000 86.122 155.7876
71.000000 86.080 155.4474
72.000000 85.998 155.1333
73.000000 85.920 155.1014
74.000000 85.875 155.0222
75.000000 85.812 154.7552
76.199997 85.703 154.6130
77.500000 85.611 154.5893
78.800003 85.528 154.5246
80.000000 85.487 154.4853
81.199997 85.455 154.1520
82.500000 85.379 153.8391
83.800003 85.313 153.7460
85.000000 85.264 153.6211
86.199997 85.204 153.4124
87.500000 85.111 153.2494
88.500000 85.037 153.2459
90.000000 84.947 153.3299
91.199997 84.899 153.3298
92.500000 84.851 153.1542
93.800003 84.792 152.9111
95.000000 84.729 152.7099
96.199997 84.667 152.5888
97.500000 84.605 152.4805
98.800003 84.539 152.3859
100.000000 84.477 152.3029
101.500000 84.392 152.1909
103.000000 84.308 152.1454
104.400002 84.246 152.1229
106.000000 84.180 152.0573
107.500000 84.110 152.1042
109.000000 84.047 152.2099
110.599998 83.970 152.2220
112.000000 83.884 152.1865
113.800003 83.768 152.2065
115.000000 83.704 152.2838
117.199997 83.621 152.3977
118.000000 83.590 152.4224
120.599998 83.475 152.5490
122.000000 83.408 152.5864
124.099998 83.309 152.5661
125.000000 83.268 152.5317
126.500000 83.192 152.5028
128.000000 83.112 152.5938
131.500000 82.948 153.1711
132.000000 82.929 153.2675
134.000000 82.851 153.7154
136.000000 82.786 154.3661
138.000000 82.746 155.0727
140.000000 82.733 155.5867
143.000000 82.781 155.8703
145.000000 82.845 155.7089
147.500000 82.886 155.4523
150.000000 82.852 155.3645
152.500000 82.793 155.3831
155.000000 82.735 155.2632
157.500000 82.646 155.2852
160.000000 82.544 155.4862
162.500000 82.449 155.6484
165.000000 82.382 155.6323
167.500000 82.325 155.5829
170.000000 82.272 155.6495
172.500000 82.216 155.7827
175.000000 82.146 155.9111
177.500000 82.064 156.0175
180.000000 81.987 156.0995
182.500000 81.921 156.1686
185.000000 81.856 156.2933
187.500000 81.790 156.4637
190.000000 81.724 156.6162
192.500000 81.662 156.7501
195.000000 81.601 156.8870
197.500000 81.539 157.0349
200.000000 81.479 157.1997
203.000000 81.416 157.4207
206.000000 81.361 157.6424
209.000000 81.311 157.8420
212.000000 81.257 158.0531
214.000000 81.221 158.2147
218.000000 81.154 158.5315
220.000000 81.121 158.6814
224.000000 81.054 158.9933
227.000000 81.004 159.2361
230.000000 80.953 159.4924
233.000000 80.902 159.7610
236.000000 80.852 160.0261
240.000000 80.790 160.3391
243.000000 80.740 160.5788
247.000000 80.666 160.9761
250.000000 80.612 161.3105
254.000000 80.541 161.7995
258.000000 80.474 162.3589
262.000000 80.413 162.9700
265.000000 80.374 163.5021
269.000000 80.342 164.3078
272.000000 80.343 164.9004
276.000000 80.385 165.5535
280.000000 80.452 165.9406
285.000000 80.512 166.0375
290.000000 80.523 165.9270
295.000000 80.498 165.8442
300.000000 80.453 165.8515
304.000000 80.410 165.9360
