* Measurement data measured by REW V5.31.3
* Source: C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\NiceHCK\nx8 R.txt
* Format: Comma/Tab/Space delimited data
* Dated: 01 14, 25 3:55:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Obed\Documents\IMM6 + Vinyl Tube Measurements\711\CONFIG\NiceHCK\nx8 R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: nx8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.446 50.6504
1.015000 61.703 49.2803
1.030000 61.956 47.9601
1.044000 62.190 46.7777
1.060000 62.453 45.4908
1.075000 62.697 44.3520
1.090000 62.936 43.2841
1.106000 63.186 42.2291
1.120000 63.402 41.3798
1.138000 63.677 40.3826
1.150000 63.858 39.7726
1.172000 64.187 38.7574
1.180000 64.305 38.4185
1.206000 64.685 37.4149
1.220000 64.887 36.9290
1.241000 65.186 36.2592
1.250000 65.313 35.9905
1.265000 65.524 35.5627
1.280000 65.732 35.1551
1.315000 66.211 34.2508
1.320000 66.279 34.1239
1.340000 66.547 33.6138
1.360000 66.813 33.0896
1.380000 67.076 32.5378
1.400000 67.336 31.9453
1.430000 67.723 30.9509
1.450000 67.977 30.1981
1.475000 68.292 29.1394
1.500000 68.602 27.9983
1.525000 68.908 26.7972
1.550000 69.208 25.5462
1.575000 69.504 24.2554
1.600000 69.795 22.9349
1.625000 70.082 21.5946
1.650000 70.365 20.2447
1.675000 70.643 18.8952
1.700000 70.918 17.5561
1.725000 71.188 16.2376
1.750000 71.456 14.9496
1.775000 71.719 13.7023
1.800000 71.980 12.5056
1.825000 72.237 11.3697
1.850000 72.491 10.2968
1.875000 72.740 9.2704
1.900000 72.985 8.2847
1.925000 73.227 7.3343
1.950000 73.464 6.4140
1.975000 73.698 5.5184
2.000000 73.928 4.6424
2.030000 74.199 3.6095
2.060000 74.466 2.5880
2.090000 74.728 1.5688
2.120000 74.986 0.5426
2.140000 75.156 -0.1498
2.180000 75.491 -1.5667
2.200000 75.656 -2.2965
2.240000 75.980 -3.7777
2.270000 76.217 -4.8976
2.300000 76.450 -6.0229
2.330000 76.678 -7.1518
2.360000 76.902 -8.2824
2.400000 77.194 -9.7892
2.430000 77.409 -10.9163
2.470000 77.690 -12.4116
2.500000 77.896 -13.5249
2.540000 78.167 -14.9948
2.580000 78.432 -16.4459
2.620000 78.690 -17.8898
2.650000 78.879 -18.9691
2.690000 79.125 -20.4012
2.720000 79.305 -21.4691
2.760000 79.541 -22.8826
2.800000 79.770 -24.2824
2.850000 80.050 -26.0094
2.900000 80.322 -27.7071
2.950000 80.586 -29.3704
3.000000 80.842 -30.9927
3.040000 81.040 -32.2652
3.070000 81.185 -33.2078
3.110000 81.374 -34.4522
3.150000 81.558 -35.6867
3.200000 81.781 -37.2227
3.250000 81.998 -38.7586
3.300000 82.209 -40.3033
3.350000 82.412 -41.8642
3.400000 82.608 -43.4351
3.450000 82.797 -45.0054
3.500000 82.979 -46.5644
3.550000 83.154 -48.1013
3.600000 83.324 -49.6054
3.650000 83.489 -51.0661
3.700000 83.649 -52.4767
3.750000 83.802 -53.8452
3.820000 84.006 -55.7034
3.870000 84.145 -56.9986
3.950000 84.357 -59.0339
4.000000 84.484 -60.2934
4.060000 84.632 -61.8022
4.120000 84.771 -63.3064
4.180000 84.904 -64.7955
4.250000 85.051 -66.4995
4.310000 85.172 -67.9191
4.370000 85.289 -69.2897
4.440000 85.420 -70.8164
4.500000 85.526 -72.0695
4.550000 85.610 -73.0799
4.620000 85.724 -74.4500
4.680000 85.819 -75.5899
4.750000 85.927 -76.8888
4.820000 86.032 -78.1560
4.870000 86.104 -79.0363
4.940000 86.202 -80.2345
5.000000 86.284 -81.2301
5.080000 86.392 -82.5134
5.150000 86.487 -83.5946
5.220000 86.581 -84.6271
5.300000 86.687 -85.7551
5.380000 86.793 -86.8424
5.450000 86.886 -87.7727
5.520000 86.980 -88.6917
5.600000 87.088 -89.7102
5.700000 87.225 -90.9436
5.800000 87.362 -92.1563
5.900000 87.499 -93.3691
6.000000 87.638 -94.5683
6.080000 87.750 -95.5203
6.150000 87.846 -96.3531
6.220000 87.941 -97.1899
6.300000 88.047 -98.1512
6.400000 88.179 -99.3547
6.500000 88.307 -100.5616
6.600000 88.429 -101.7732
6.700000 88.546 -102.9965
6.800000 88.657 -104.2261
6.900000 88.761 -105.4477
7.000000 88.857 -106.6502
7.100000 88.947 -107.8441
7.200000 89.029 -109.0226
7.300000 89.105 -110.1735
7.400000 89.174 -111.2924
7.500000 89.236 -112.3870
7.620000 89.303 -113.6562
7.750000 89.370 -114.9608
7.880000 89.428 -116.1954
8.000000 89.478 -117.2777
8.120000 89.526 -118.3059
8.250000 89.575 -119.3536
8.380000 89.623 -120.3498
8.500000 89.669 -121.2337
8.620000 89.715 -122.0751
8.750000 89.766 -122.9599
8.850000 89.805 -123.6328
9.000000 89.866 -124.6169
9.120000 89.915 -125.3966
9.250000 89.968 -126.2453
9.380000 90.021 -127.0922
9.500000 90.067 -127.8751
9.620000 90.108 -128.6620
9.750000 90.149 -129.5172
9.880000 90.183 -130.3695
10.000000 90.204 -131.1536
10.150000 90.222 -132.1294
10.300000 90.229 -133.0869
10.440000 90.226 -133.9654
10.600000 90.216 -134.9456
10.750000 90.202 -135.8352
10.900000 90.184 -136.6984
11.060000 90.163 -137.5864
11.200000 90.143 -138.3353
11.380000 90.115 -139.2655
11.500000 90.097 -139.8645
11.720000 90.062 -140.9277
11.800000 90.050 -141.3053
12.060000 90.011 -142.5014
12.200000 89.994 -143.1346
12.410000 89.972 -144.0706
12.500000 89.965 -144.4697
12.650000 89.957 -145.1315
12.800000 89.952 -145.7888
13.150000 89.947 -147.3052
13.200000 89.946 -147.5185
13.400000 89.944 -148.3636
13.600000 89.942 -149.1915
13.800000 89.940 -149.9998
14.000000 89.941 -150.7932
14.300000 89.948 -151.9609
14.500000 89.955 -152.7360
14.750000 89.967 -153.7136
15.000000 89.979 -154.7056
15.250000 89.987 -155.7120
15.500000 89.989 -156.7117
15.750000 89.984 -157.6874
16.000000 89.971 -158.6075
16.250000 89.955 -159.4485
16.500000 89.938 -160.2032
16.750000 89.923 -160.8675
17.000000 89.913 -161.4649
17.250000 89.910 -162.0146
17.500000 89.914 -162.5417
17.750000 89.922 -163.0724
18.000000 89.932 -163.6129
18.250000 89.940 -164.1694
18.500000 89.945 -164.7344
18.750000 89.946 -165.2997
19.000000 89.941 -165.8577
19.250000 89.932 -166.3993
19.500000 89.919 -166.9233
19.750000 89.904 -167.4292
20.000000 89.887 -167.9199
20.299999 89.865 -168.4951
20.600000 89.842 -169.0625
20.900000 89.818 -169.6290
21.200001 89.792 -170.1998
21.400000 89.774 -170.5835
21.799999 89.736 -171.3542
22.000000 89.716 -171.7377
22.400000 89.674 -172.4919
22.700001 89.643 -173.0405
23.000000 89.615 -173.5739
23.299999 89.591 -174.1007
23.600000 89.573 -174.6341
24.000000 89.554 -175.3804
24.299999 89.542 -175.9810
24.700001 89.520 -176.8336
25.000000 89.495 -177.4847
25.400000 89.446 -178.3039
25.799999 89.385 -178.9796
26.200001 89.326 -179.4616
26.500000 89.293 -179.7172
26.900000 89.274 -179.9998
27.200001 89.276 179.7560
27.600000 89.290 179.3159
28.000000 89.297 178.7428
28.500000 89.282 177.9564
29.000000 89.245 177.2433
29.500000 89.204 176.6229
30.000000 89.166 176.0052
30.400000 89.130 175.4838
30.700001 89.097 175.0980
31.100000 89.047 174.6392
31.500000 88.998 174.2669
32.000000 88.953 173.8758
32.500000 88.931 173.4380
33.000000 88.914 172.8550
33.500000 88.884 172.1555
34.000000 88.831 171.4616
34.500000 88.762 170.8896
35.000000 88.693 170.4729
35.500000 88.638 170.1549
36.000000 88.600 169.8388
36.500000 88.569 169.4607
37.000000 88.534 169.0246
37.500000 88.490 168.5773
38.200001 88.422 167.9822
38.700001 88.371 167.5632
39.500000 88.276 166.9157
40.000000 88.212 166.6010
40.599998 88.145 166.3466
41.200001 88.104 166.1139
41.799999 88.079 165.7700
42.500000 88.042 165.2519
43.099998 88.001 164.8454
43.700001 87.966 164.4849
44.400002 87.933 163.9922
45.000000 87.891 163.4923
45.500000 87.841 163.1152
46.200001 87.765 162.7375
46.799999 87.711 162.4884
47.500000 87.656 162.1534
48.200001 87.595 161.7860
48.700001 87.549 161.5479
49.400002 87.489 161.2448
50.000000 87.445 160.9706
50.799999 87.388 160.5569
51.500000 87.337 160.1636
52.200001 87.279 159.7757
53.000000 87.210 159.4091
53.799999 87.153 159.1173
54.500000 87.113 158.8357
55.200001 87.069 158.5293
56.000000 87.015 158.2460
57.000000 86.964 157.9375
58.000000 86.908 157.5117
59.000000 86.824 157.1617
60.000000 86.747 156.9739
60.799999 86.696 156.7739
61.500000 86.645 156.5336
62.200001 86.583 156.3047
63.000000 86.511 156.1113
64.000000 86.435 155.9177
65.000000 86.375 155.6861
66.000000 86.322 155.3623
67.000000 86.256 154.9936
68.000000 86.179 154.7321
69.000000 86.108 154.5712
70.000000 86.046 154.4181
71.000000 85.988 154.2360
72.000000 85.926 154.0028
73.000000 85.858 153.7940
74.000000 85.797 153.6458
75.000000 85.746 153.4740
76.199997 85.682 153.2208
77.500000 85.600 153.0144
78.800003 85.518 152.9037
80.000000 85.447 152.7884
81.199997 85.373 152.6190
82.500000 85.287 152.4082
83.800003 85.203 152.2305
85.000000 85.133 152.0852
86.199997 85.069 151.9601
87.500000 85.004 151.8567
88.500000 84.957 151.7671
90.000000 84.882 151.6051
91.199997 84.816 151.4754
92.500000 84.744 151.3773
93.800003 84.680 151.2807
95.000000 84.621 151.2010
96.199997 84.565 151.1458
97.500000 84.505 151.0919
98.800003 84.445 151.0331
100.000000 84.385 150.9549
101.500000 84.306 150.8780
103.000000 84.233 150.7952
104.400002 84.165 150.7253
106.000000 84.092 150.6929
107.500000 84.027 150.6731
109.000000 83.959 150.6447
110.599998 83.885 150.6381
112.000000 83.823 150.6230
113.800003 83.748 150.5956
115.000000 83.697 150.5657
117.199997 83.603 150.5897
118.000000 83.571 150.6093
120.599998 83.472 150.6219
122.000000 83.415 150.6172
124.099998 83.334 150.6590
125.000000 83.300 150.7034
126.500000 83.254 150.7856
128.000000 83.207 150.7955
131.500000 83.092 150.8203
132.000000 83.072 150.7983
134.000000 82.988 150.9252
136.000000 82.956 151.0571
138.000000 82.903 150.8862
140.000000 82.805 150.9070
143.000000 82.708 151.3269
145.000000 82.683 151.3309
147.500000 82.594 151.2614
150.000000 82.494 151.6083
152.500000 82.432 151.8817
155.000000 82.373 151.9754
157.500000 82.290 152.0951
160.000000 82.186 152.2823
162.500000 82.115 152.3370
165.000000 82.084 152.3655
167.500000 82.046 152.7553
170.000000 81.961 153.2770
172.500000 81.843 153.4626
175.000000 81.752 153.4376
177.500000 81.707 153.5947
180.000000 81.669 153.9321
182.500000 81.615 154.1943
185.000000 81.565 154.3585
187.500000 81.529 154.5760
190.000000 81.494 154.8249
192.500000 81.450 154.9843
195.000000 81.403 155.1015
197.500000 81.357 155.2204
200.000000 81.305 155.3743
203.000000 81.248 155.5813
206.000000 81.201 155.7745
209.000000 81.168 155.9108
212.000000 81.132 156.0112
214.000000 81.104 156.1139
218.000000 81.046 156.3589
220.000000 81.020 156.4501
224.000000 80.964 156.6176
227.000000 80.922 156.7662
230.000000 80.881 156.9085
233.000000 80.839 157.0611
236.000000 80.798 157.2263
240.000000 80.745 157.4711
243.000000 80.707 157.6797
247.000000 80.657 157.9693
250.000000 80.618 158.2020
254.000000 80.572 158.5056
258.000000 80.521 158.7810
262.000000 80.469 159.0944
265.000000 80.437 159.3189
269.000000 80.396 159.5599
272.000000 80.362 159.7272
276.000000 80.318 159.9817
280.000000 80.278 160.2314
285.000000 80.229 160.5710
290.000000 80.184 160.9642
295.000000 80.133 161.3661
300.000000 80.080 161.7197
304.000000 80.042 162.0049
307.000000 80.014 162.2301
