* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 3:25:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: odyssey L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.397 82.0414
1.015000 76.729 81.5785
1.030000 77.058 81.1320
1.044000 77.365 80.7383
1.060000 77.713 80.3149
1.075000 78.037 79.9408
1.090000 78.359 79.5860
1.106000 78.698 79.2263
1.120000 78.992 78.9250
1.138000 79.364 78.5534
1.150000 79.608 78.3139
1.172000 80.046 77.8872
1.180000 80.202 77.7345
1.206000 80.696 77.2471
1.220000 80.953 76.9887
1.241000 81.326 76.6036
1.250000 81.480 76.4388
1.265000 81.731 76.1637
1.280000 81.972 75.8870
1.315000 82.495 75.2308
1.320000 82.565 75.1355
1.340000 82.832 74.7515
1.360000 83.077 74.3731
1.380000 83.298 74.0276
1.400000 83.496 73.7102
1.430000 83.756 73.2706
1.450000 83.907 72.9955
1.475000 84.075 72.6650
1.500000 84.222 72.3431
1.525000 84.353 72.0241
1.550000 84.472 71.7027
1.575000 84.583 71.3797
1.600000 84.689 71.0553
1.625000 84.795 70.7170
1.650000 84.904 70.3620
1.675000 85.020 69.9899
1.700000 85.138 69.6092
1.725000 85.252 69.2347
1.750000 85.358 68.8711
1.775000 85.458 68.5138
1.800000 85.551 68.1579
1.825000 85.640 67.8105
1.850000 85.725 67.4699
1.875000 85.806 67.1344
1.900000 85.885 66.8026
1.925000 85.963 66.4727
1.950000 86.040 66.1432
1.975000 86.117 65.8084
2.000000 86.195 65.4641
2.030000 86.291 65.0483
2.060000 86.385 64.6356
2.090000 86.478 64.2306
2.120000 86.569 63.8345
2.140000 86.629 63.5755
2.180000 86.746 63.0622
2.200000 86.803 62.8043
2.240000 86.916 62.2985
2.270000 86.999 61.9264
2.300000 87.081 61.5590
2.330000 87.162 61.1948
2.360000 87.243 60.8332
2.400000 87.348 60.3307
2.430000 87.425 59.9552
2.470000 87.527 59.4627
2.500000 87.601 59.1007
2.540000 87.699 58.6295
2.580000 87.794 58.1593
2.620000 87.887 57.6783
2.650000 87.954 57.3264
2.690000 88.043 56.8667
2.720000 88.107 56.5264
2.760000 88.190 56.0755
2.800000 88.271 55.6054
2.850000 88.368 55.0242
2.900000 88.462 54.4622
2.950000 88.553 53.9234
3.000000 88.642 53.3811
3.040000 88.710 52.9529
3.070000 88.760 52.6367
3.110000 88.825 52.2195
3.150000 88.888 51.8097
3.200000 88.964 51.2861
3.250000 89.037 50.7708
3.300000 89.109 50.2777
3.350000 89.180 49.8083
3.400000 89.249 49.3334
3.450000 89.317 48.8585
3.500000 89.383 48.3946
3.550000 89.448 47.9458
3.600000 89.510 47.4896
3.650000 89.571 47.0431
3.700000 89.631 46.6178
3.750000 89.688 46.2087
3.820000 89.766 45.6142
3.870000 89.819 45.1964
3.950000 89.901 44.5602
4.000000 89.951 44.1640
4.060000 90.010 43.6978
4.120000 90.067 43.2492
4.180000 90.122 42.8065
4.250000 90.184 42.2776
4.310000 90.236 41.8472
4.370000 90.287 41.4376
4.440000 90.345 40.9399
4.500000 90.393 40.5294
4.550000 90.433 40.2001
4.620000 90.487 39.7250
4.680000 90.532 39.3313
4.750000 90.584 38.8954
4.820000 90.633 38.4470
4.870000 90.667 38.1323
4.940000 90.714 37.7087
5.000000 90.754 37.3469
5.080000 90.805 36.8713
5.150000 90.848 36.4744
5.220000 90.890 36.0675
5.300000 90.936 35.6165
5.380000 90.982 35.1839
5.450000 91.021 34.7976
5.520000 91.060 34.4257
5.600000 91.102 34.0035
5.700000 91.154 33.4788
5.800000 91.204 32.9732
5.900000 91.252 32.4655
6.000000 91.297 31.9737
6.080000 91.333 31.5805
6.150000 91.362 31.2498
6.220000 91.391 30.9126
6.300000 91.423 30.5358
6.400000 91.462 30.0779
6.500000 91.499 29.6217
6.600000 91.534 29.1789
6.700000 91.567 28.7411
6.800000 91.599 28.3198
6.900000 91.629 27.9007
7.000000 91.657 27.4977
7.100000 91.684 27.1017
7.200000 91.710 26.7219
7.300000 91.735 26.3475
7.400000 91.758 25.9905
7.500000 91.781 25.6412
7.620000 91.808 25.2386
7.750000 91.838 24.8192
7.880000 91.867 24.4095
8.000000 91.894 24.0488
8.120000 91.922 23.6957
8.250000 91.952 23.3210
8.380000 91.982 22.9542
8.500000 92.012 22.6061
8.620000 92.042 22.2586
8.750000 92.073 21.8755
8.850000 92.097 21.5718
9.000000 92.130 21.1125
9.120000 92.154 20.7370
9.250000 92.178 20.3256
9.380000 92.198 19.9188
9.500000 92.212 19.5440
9.620000 92.223 19.1774
9.750000 92.229 18.7960
9.880000 92.229 18.4366
10.000000 92.224 18.1321
10.150000 92.207 17.7559
10.300000 92.181 17.4372
10.440000 92.155 17.1909
10.600000 92.129 16.9678
10.750000 92.109 16.8014
10.900000 92.095 16.6641
11.060000 92.088 16.5045
11.200000 92.089 16.3152
11.380000 92.097 16.0579
11.500000 92.104 15.8675
11.720000 92.117 15.4748
11.800000 92.120 15.3190
12.060000 92.124 14.7529
12.200000 92.121 14.3957
12.410000 92.109 13.8773
12.500000 92.103 13.6702
12.650000 92.095 13.3516
12.800000 92.086 13.0729
13.150000 92.070 12.5383
13.200000 92.070 12.4687
13.400000 92.071 12.2221
13.600000 92.080 12.0011
13.800000 92.098 11.7780
14.000000 92.121 11.5210
14.300000 92.159 10.9824
14.500000 92.180 10.5704
14.750000 92.194 10.0255
15.000000 92.195 9.4905
15.250000 92.184 8.9448
15.500000 92.166 8.4761
15.750000 92.148 8.0882
16.000000 92.135 7.7588
16.250000 92.130 7.4167
16.500000 92.131 7.0767
16.750000 92.130 6.7287
17.000000 92.126 6.3786
17.250000 92.115 6.0168
17.500000 92.100 5.7006
17.750000 92.082 5.4502
18.000000 92.069 5.2630
18.250000 92.063 5.0887
18.500000 92.065 4.9298
18.750000 92.075 4.7575
19.000000 92.088 4.5507
19.250000 92.100 4.2902
19.500000 92.107 4.0078
19.750000 92.107 3.7292
20.000000 92.101 3.4749
20.299999 92.092 3.1932
20.600000 92.086 2.9624
20.900000 92.084 2.7592
21.200001 92.087 2.5314
21.400000 92.090 2.3610
21.799999 92.091 1.9955
22.000000 92.088 1.8124
22.400000 92.075 1.4537
22.700001 92.063 1.2328
23.000000 92.056 1.0444
23.299999 92.054 0.8428
23.600000 92.057 0.6194
24.000000 92.062 0.2659
24.299999 92.060 -0.0514
24.700001 92.048 -0.4703
25.000000 92.034 -0.7554
25.400000 92.015 -1.1025
25.799999 92.000 -1.4208
26.200001 91.984 -1.7432
26.500000 91.970 -1.9792
26.900000 91.948 -2.2376
27.200001 91.935 -2.3842
27.600000 91.929 -2.5434
28.000000 91.939 -2.7398
28.500000 91.953 -3.1435
29.000000 91.940 -3.6117
29.500000 91.904 -3.9444
30.000000 91.884 -4.0958
30.400000 91.891 -4.2489
30.700001 91.900 -4.4500
31.100000 91.899 -4.8207
31.500000 91.873 -5.1871
32.000000 91.829 -5.4502
32.500000 91.815 -5.6051
33.000000 91.824 -5.9408
33.500000 91.800 -6.4703
34.000000 91.727 -6.7898
34.500000 91.674 -6.6592
35.000000 91.711 -6.4403
35.500000 91.804 -6.7450
36.000000 91.844 -7.5888
36.500000 91.786 -8.3749
37.000000 91.694 -8.5875
37.500000 91.663 -8.4007
38.200001 91.718 -8.4965
38.700001 91.730 -8.9607
39.500000 91.659 -9.4928
40.000000 91.621 -9.5643
40.599998 91.597 -9.6880
41.200001 91.564 -9.8725
41.799999 91.531 -9.9766
42.500000 91.525 -10.1880
43.099998 91.517 -10.6172
43.700001 91.477 -11.0853
44.400002 91.427 -11.4470
45.000000 91.408 -11.7276
45.500000 91.397 -12.0421
46.200001 91.371 -12.5015
46.799999 91.346 -12.8225
47.500000 91.323 -13.1568
48.200001 91.298 -13.4715
48.700001 91.276 -13.6489
49.400002 91.251 -13.8349
50.000000 91.235 -14.0010
50.799999 91.209 -14.2666
51.500000 91.181 -14.4985
52.200001 91.155 -14.7461
53.000000 91.120 -15.0839
53.799999 91.076 -15.3591
54.500000 91.054 -15.5302
55.200001 91.046 -15.7879
56.000000 91.021 -16.1488
57.000000 90.993 -16.3732
58.000000 91.000 -16.8113
59.000000 90.929 -17.4301
60.000000 90.836 -17.5257
60.799999 90.802 -17.5904
61.500000 90.770 -17.7933
62.200001 90.730 -18.0166
63.000000 90.686 -18.2622
64.000000 90.632 -18.5960
65.000000 90.588 -18.8920
66.000000 90.551 -19.2149
67.000000 90.514 -19.5009
68.000000 90.480 -19.7513
69.000000 90.443 -20.0244
70.000000 90.394 -20.2719
71.000000 90.346 -20.4685
72.000000 90.303 -20.7212
73.000000 90.248 -21.0159
74.000000 90.192 -21.2159
75.000000 90.151 -21.3864
76.199997 90.107 -21.6395
77.500000 90.060 -21.8593
78.800003 90.023 -22.0628
80.000000 89.989 -22.3619
81.199997 89.928 -22.7240
82.500000 89.848 -22.8925
83.800003 89.798 -23.0891
85.000000 89.728 -23.4077
86.199997 89.648 -23.4960
87.500000 89.589 -23.5065
88.500000 89.555 -23.5906
90.000000 89.499 -23.8073
91.199997 89.455 -24.0023
92.500000 89.406 -24.2602
93.800003 89.351 -24.5300
95.000000 89.293 -24.7201
96.199997 89.239 -24.8317
97.500000 89.185 -24.9696
98.800003 89.119 -25.1165
100.000000 89.055 -25.1864
101.500000 88.982 -25.3018
103.000000 88.905 -25.4371
104.400002 88.843 -25.5341
106.000000 88.778 -25.7031
107.500000 88.722 -25.8537
109.000000 88.667 -26.0610
110.599998 88.594 -26.2580
112.000000 88.527 -26.3242
113.800003 88.450 -26.3009
115.000000 88.405 -26.2615
117.199997 88.323 -26.3049
118.000000 88.287 -26.3405
120.599998 88.175 -26.3932
122.000000 88.120 -26.4991
124.099998 88.025 -26.6447
125.000000 87.985 -26.6688
126.500000 87.925 -26.6930
128.000000 87.870 -26.7067
131.500000 87.765 -26.5876
132.000000 87.751 -26.5737
134.000000 87.695 -26.5274
136.000000 87.633 -26.5869
138.000000 87.559 -26.5561
140.000000 87.480 -26.4014
143.000000 87.343 -26.2260
145.000000 87.253 -26.3787
147.500000 87.183 -26.7177
150.000000 87.134 -26.5757
152.500000 87.069 -26.0273
155.000000 87.007 -25.1449
157.500000 87.025 -24.8030
160.000000 86.985 -25.2276
162.500000 86.838 -25.4181
165.000000 86.720 -25.3645
167.500000 86.622 -25.0507
170.000000 86.562 -24.1867
172.500000 86.488 -24.0235
175.000000 86.360 -24.1131
177.500000 86.305 -23.6188
180.000000 86.317 -22.8798
182.500000 86.309 -22.1538
185.000000 86.284 -22.1214
187.500000 86.191 -22.6248
190.000000 86.076 -22.7763
192.500000 85.979 -22.6373
195.000000 85.904 -22.1484
197.500000 85.869 -21.4462
200.000000 85.844 -20.9688
203.000000 85.785 -20.6963
206.000000 85.724 -20.6211
209.000000 85.683 -20.5516
212.000000 85.613 -20.3051
214.000000 85.552 -19.9168
218.000000 85.463 -19.2099
220.000000 85.424 -19.1851
224.000000 85.363 -19.9513
227.000000 85.460 -20.1277
230.000000 85.623 -19.1270
233.000000 85.661 -17.2414
236.000000 85.558 -16.5251
240.000000 85.429 -17.3863
243.000000 85.407 -17.4670
247.000000 85.375 -16.7113
250.000000 85.336 -16.3790
254.000000 85.283 -16.0640
258.000000 85.236 -15.6990
262.000000 85.205 -15.3732
265.000000 85.188 -15.1389
269.000000 85.174 -14.7726
272.000000 85.159 -14.4867
276.000000 85.139 -14.2750
280.000000 85.125 -14.0136
285.000000 85.112 -13.5701
290.000000 85.078 -13.0199
295.000000 85.051 -12.7386
300.000000 85.034 -12.4670
304.000000 85.018 -12.0825
307.000000 85.012 -11.9210
311.000000 85.008 -11.7548
315.000000 85.002 -11.5731
320.000000 85.002 -11.3329
325.000000 84.983 -11.6483
330.000000 84.992 -11.5822
335.000000 85.014 -10.8762
