* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 3:24:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: odyssey R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.049 87.4450
1.015000 75.403 86.9659
1.030000 75.756 86.5044
1.044000 76.082 86.0992
1.060000 76.452 85.6649
1.075000 76.795 85.2827
1.090000 77.135 84.9214
1.106000 77.493 84.5560
1.120000 77.802 84.2507
1.138000 78.192 83.8746
1.150000 78.448 83.6325
1.172000 78.906 83.2012
1.180000 79.070 83.0467
1.206000 79.586 82.5536
1.220000 79.854 82.2917
1.241000 80.244 81.9006
1.250000 80.405 81.7329
1.265000 80.667 81.4524
1.280000 80.920 81.1697
1.315000 81.469 80.4968
1.320000 81.542 80.3988
1.340000 81.824 80.0031
1.360000 82.083 79.6127
1.380000 82.318 79.2561
1.400000 82.530 78.9287
1.430000 82.808 78.4755
1.450000 82.971 78.1921
1.475000 83.152 77.8517
1.500000 83.312 77.5204
1.525000 83.456 77.1921
1.550000 83.586 76.8616
1.575000 83.708 76.5294
1.600000 83.825 76.1958
1.625000 83.942 75.8481
1.650000 84.061 75.4838
1.675000 84.187 75.1024
1.700000 84.316 74.7129
1.725000 84.439 74.3307
1.750000 84.555 73.9604
1.775000 84.663 73.5975
1.800000 84.766 73.2368
1.825000 84.862 72.8854
1.850000 84.955 72.5413
1.875000 85.044 72.2030
1.900000 85.130 71.8688
1.925000 85.215 71.5368
1.950000 85.299 71.2057
1.975000 85.383 70.8695
2.000000 85.468 70.5242
2.030000 85.572 70.1077
2.060000 85.675 69.6955
2.090000 85.775 69.2922
2.120000 85.874 68.8989
2.140000 85.938 68.6422
2.180000 86.064 68.1343
2.200000 86.126 67.8795
2.240000 86.248 67.3803
2.270000 86.338 67.0134
2.300000 86.426 66.6515
2.330000 86.514 66.2930
2.360000 86.600 65.9373
2.400000 86.714 65.4439
2.430000 86.798 65.0766
2.470000 86.907 64.5960
2.500000 86.988 64.2437
2.540000 87.093 63.7858
2.580000 87.196 63.3290
2.620000 87.297 62.8612
2.650000 87.370 62.5189
2.690000 87.466 62.0719
2.720000 87.536 61.7415
2.760000 87.627 61.3049
2.800000 87.716 60.8503
2.850000 87.823 60.2893
2.900000 87.927 59.7475
2.950000 88.027 59.2279
3.000000 88.125 58.7033
3.040000 88.201 58.2884
3.070000 88.257 57.9821
3.110000 88.330 57.5788
3.150000 88.401 57.1833
3.200000 88.486 56.6775
3.250000 88.570 56.1794
3.300000 88.651 55.7020
3.350000 88.732 55.2463
3.400000 88.811 54.7837
3.450000 88.889 54.3208
3.500000 88.965 53.8688
3.550000 89.039 53.4314
3.600000 89.112 52.9854
3.650000 89.182 52.5476
3.700000 89.251 52.1290
3.750000 89.318 51.7250
3.820000 89.409 51.1365
3.870000 89.472 50.7220
3.950000 89.570 50.0893
4.000000 89.629 49.6937
4.060000 89.698 49.2264
4.120000 89.766 48.7751
4.180000 89.831 48.3284
4.250000 89.905 47.7938
4.310000 89.967 47.3575
4.370000 90.028 46.9413
4.440000 90.097 46.4346
4.500000 90.155 46.0154
4.550000 90.202 45.6783
4.620000 90.267 45.1922
4.680000 90.320 44.7891
4.750000 90.381 44.3423
4.820000 90.440 43.8827
4.870000 90.481 43.5599
4.940000 90.537 43.1252
5.000000 90.584 42.7545
5.080000 90.645 42.2679
5.150000 90.697 41.8620
5.220000 90.747 41.4466
5.300000 90.803 40.9866
5.380000 90.858 40.5459
5.450000 90.906 40.1534
5.520000 90.952 39.7761
5.600000 91.004 39.3482
5.700000 91.068 38.8166
5.800000 91.130 38.3046
5.900000 91.190 37.7909
6.000000 91.248 37.2923
6.080000 91.293 36.8925
6.150000 91.332 36.5553
6.220000 91.369 36.2111
6.300000 91.412 35.8251
6.400000 91.463 35.3528
6.500000 91.513 34.8791
6.600000 91.561 34.4159
6.700000 91.607 33.9544
6.800000 91.651 33.5053
6.900000 91.693 33.0545
7.000000 91.733 32.6169
7.100000 91.771 32.1834
7.200000 91.807 31.7628
7.300000 91.841 31.3455
7.400000 91.873 30.9453
7.500000 91.903 30.5525
7.620000 91.937 30.0980
7.750000 91.972 29.6282
7.880000 92.006 29.1752
8.000000 92.035 28.7830
8.120000 92.063 28.4114
8.250000 92.093 28.0312
8.380000 92.123 27.6761
8.500000 92.152 27.3565
8.620000 92.182 27.0533
8.750000 92.216 26.7337
8.850000 92.243 26.4901
9.000000 92.283 26.1342
9.120000 92.317 25.8460
9.250000 92.354 25.5322
9.380000 92.391 25.2177
9.500000 92.425 24.9164
9.620000 92.457 24.6105
9.750000 92.489 24.2732
9.880000 92.517 23.9302
10.000000 92.537 23.6164
10.150000 92.551 23.1929
10.300000 92.553 22.7879
10.440000 92.549 22.4345
10.600000 92.542 22.0631
10.750000 92.532 21.7475
10.900000 92.523 21.4650
11.060000 92.513 21.1672
11.200000 92.506 20.8850
11.380000 92.500 20.5530
11.500000 92.497 20.3446
11.720000 92.492 19.9817
11.800000 92.491 19.8528
12.060000 92.489 19.4136
12.200000 92.488 19.1306
12.410000 92.488 18.7086
12.500000 92.489 18.5298
12.650000 92.494 18.2367
12.800000 92.499 17.9545
13.150000 92.506 17.3074
13.200000 92.506 17.2142
13.400000 92.507 16.8682
13.600000 92.507 16.5656
13.800000 92.507 16.3018
14.000000 92.511 16.0630
14.300000 92.523 15.6616
14.500000 92.535 15.3941
14.750000 92.552 15.0488
15.000000 92.567 14.6861
15.250000 92.578 14.2513
15.500000 92.583 13.8223
15.750000 92.582 13.4200
16.000000 92.577 13.0595
16.250000 92.572 12.7081
16.500000 92.569 12.4058
16.750000 92.569 12.1448
17.000000 92.573 11.9084
17.250000 92.580 11.6512
17.500000 92.589 11.3965
17.750000 92.598 11.1442
18.000000 92.607 10.8954
18.250000 92.615 10.6238
18.500000 92.622 10.3660
18.750000 92.628 10.1262
19.000000 92.634 9.9003
19.250000 92.641 9.6663
19.500000 92.648 9.4375
19.750000 92.654 9.2133
20.000000 92.659 8.9916
20.299999 92.664 8.7068
20.600000 92.667 8.4370
20.900000 92.667 8.1885
21.200001 92.668 7.9392
21.400000 92.668 7.7744
21.799999 92.669 7.4552
22.000000 92.669 7.2978
22.400000 92.667 6.9607
22.700001 92.663 6.7223
23.000000 92.658 6.5034
23.299999 92.654 6.2853
23.600000 92.652 6.0813
24.000000 92.656 5.8094
24.299999 92.662 5.5677
24.700001 92.669 5.2157
25.000000 92.671 4.9382
25.400000 92.669 4.5656
25.799999 92.664 4.2327
26.200001 92.661 3.9306
26.500000 92.662 3.7081
26.900000 92.666 3.4052
27.200001 92.668 3.1616
27.600000 92.664 2.8379
28.000000 92.653 2.5609
28.500000 92.636 2.3158
29.000000 92.631 2.1804
29.500000 92.642 2.0394
30.000000 92.659 1.8236
30.400000 92.667 1.5938
30.700001 92.668 1.4177
31.100000 92.666 1.1940
31.500000 92.662 0.9712
32.000000 92.659 0.6695
32.500000 92.646 0.3184
33.000000 92.619 0.0025
33.500000 92.589 -0.2060
34.000000 92.577 -0.3355
34.500000 92.588 -0.5367
35.000000 92.603 -0.8737
35.500000 92.605 -1.2715
36.000000 92.599 -1.6037
36.500000 92.606 -1.8936
37.000000 92.626 -2.2697
37.500000 92.633 -2.7899
38.200001 92.579 -3.4208
38.700001 92.524 -3.5306
39.500000 92.506 -3.2857
40.000000 92.542 -3.2611
40.599998 92.578 -3.5111
41.200001 92.578 -3.8450
41.799999 92.557 -4.0691
42.500000 92.538 -4.2197
43.099998 92.531 -4.3532
43.700001 92.527 -4.5539
44.400002 92.515 -4.8866
45.000000 92.488 -5.1661
45.500000 92.462 -5.3203
46.200001 92.444 -5.4353
46.799999 92.451 -5.5936
47.500000 92.458 -5.9378
48.200001 92.447 -6.3271
48.700001 92.432 -6.5668
49.400002 92.413 -6.8551
50.000000 92.398 -7.0785
50.799999 92.382 -7.3524
51.500000 92.373 -7.6040
52.200001 92.364 -7.8727
53.000000 92.353 -8.1803
53.799999 92.344 -8.5242
54.500000 92.325 -8.8291
55.200001 92.298 -9.0519
56.000000 92.269 -9.1806
57.000000 92.252 -9.1532
58.000000 92.290 -9.1727
59.000000 92.320 -9.7484
60.000000 92.259 -10.3071
60.799999 92.210 -10.4263
61.500000 92.193 -10.5518
62.200001 92.176 -10.7930
63.000000 92.146 -11.0568
64.000000 92.120 -11.3176
65.000000 92.104 -11.6356
66.000000 92.083 -11.9017
67.000000 92.077 -12.1189
68.000000 92.064 -12.4112
69.000000 92.042 -12.6144
70.000000 92.028 -12.8497
71.000000 92.001 -13.1604
72.000000 91.969 -13.4188
73.000000 91.946 -13.6765
74.000000 91.927 -13.9961
75.000000 91.901 -14.3251
76.199997 91.869 -14.6396
77.500000 91.835 -14.8860
78.800003 91.810 -15.0500
80.000000 91.790 -15.3100
81.199997 91.751 -15.5989
82.500000 91.710 -15.8518
83.800003 91.681 -16.1517
85.000000 91.662 -16.4703
86.199997 91.645 -16.8067
87.500000 91.629 -17.1166
88.500000 91.616 -17.3225
90.000000 91.601 -17.5754
91.199997 91.579 -17.8187
92.500000 91.546 -18.0100
93.800003 91.511 -18.1992
95.000000 91.480 -18.4016
96.199997 91.445 -18.6564
97.500000 91.407 -18.9082
98.800003 91.376 -19.2414
100.000000 91.339 -19.6217
101.500000 91.275 -20.0132
103.000000 91.229 -20.1333
104.400002 91.220 -20.3472
106.000000 91.197 -20.7134
107.500000 91.162 -20.9292
109.000000 91.138 -21.0549
110.599998 91.118 -21.2599
112.000000 91.085 -21.5106
113.800003 91.033 -21.7871
115.000000 90.997 -21.9747
117.199997 90.946 -22.3580
118.000000 90.929 -22.5473
120.599998 90.850 -23.1222
122.000000 90.806 -23.2425
124.099998 90.772 -23.3683
125.000000 90.761 -23.5091
126.500000 90.727 -23.8337
128.000000 90.680 -24.1251
131.500000 90.585 -24.5687
132.000000 90.574 -24.6012
134.000000 90.530 -24.6576
136.000000 90.477 -24.7705
138.000000 90.380 -25.2220
140.000000 90.254 -25.5077
143.000000 90.245 -26.0131
145.000000 90.297 -26.4988
147.500000 90.305 -27.2188
150.000000 90.198 -27.2787
152.500000 90.102 -27.0089
155.000000 90.038 -27.0280
157.500000 89.968 -27.1160
160.000000 89.895 -27.1316
162.500000 89.828 -27.3297
165.000000 89.748 -27.9196
167.500000 89.651 -28.3092
170.000000 89.588 -28.3564
172.500000 89.514 -28.3470
175.000000 89.414 -28.4520
177.500000 89.294 -28.7069
180.000000 89.212 -28.6300
182.500000 89.193 -28.6476
185.000000 89.105 -28.7520
187.500000 89.013 -28.4769
190.000000 89.015 -28.5350
192.500000 89.041 -29.1362
195.000000 89.000 -29.6723
197.500000 88.884 -29.8821
200.000000 88.724 -29.9133
203.000000 88.572 -29.8353
206.000000 88.494 -29.8237
209.000000 88.454 -29.6590
212.000000 88.408 -29.7518
214.000000 88.357 -30.0093
218.000000 88.258 -30.2874
220.000000 88.220 -30.2398
224.000000 88.129 -30.2224
227.000000 88.064 -30.3320
230.000000 88.007 -30.4134
233.000000 87.939 -30.4290
236.000000 87.868 -30.3321
240.000000 87.751 -30.3080
243.000000 87.658 -30.2470
247.000000 87.617 -29.9651
250.000000 87.570 -29.8614
254.000000 87.431 -30.0330
258.000000 87.332 -30.1603
262.000000 87.277 -29.9083
265.000000 87.238 -29.7387
269.000000 87.172 -29.7619
272.000000 87.102 -29.8023
276.000000 86.993 -29.8513
280.000000 86.919 -29.7295
285.000000 86.841 -29.3086
290.000000 86.676 -28.8974
295.000000 86.572 -28.6169
300.000000 86.525 -28.5288
304.000000 86.492 -28.3712
307.000000 86.464 -28.1561
311.000000 86.406 -27.7181
315.000000 86.325 -27.4196
320.000000 86.205 -27.3306
325.000000 86.082 -27.1529
330.000000 85.961 -27.1076
335.000000 85.927 -26.8358
340.000000 85.870 -26.5797
345.000000 85.792 -26.0106
