* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 3:14:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: origi R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.020 68.7291
1.015000 84.294 68.1700
1.030000 84.568 67.6236
1.044000 84.824 67.1306
1.060000 85.117 66.5872
1.075000 85.391 66.0964
1.090000 85.663 65.6225
1.106000 85.952 65.1344
1.120000 86.203 64.7209
1.138000 86.521 64.2066
1.150000 86.730 63.8737
1.172000 87.106 63.2807
1.180000 87.240 63.0693
1.206000 87.665 62.4000
1.220000 87.886 62.0494
1.241000 88.205 61.5345
1.250000 88.338 61.3173
1.265000 88.551 60.9592
1.280000 88.756 60.6054
1.315000 89.196 59.7921
1.320000 89.254 59.6770
1.340000 89.473 59.2195
1.360000 89.671 58.7728
1.380000 89.847 58.3579
1.400000 90.002 57.9691
1.430000 90.200 57.4209
1.450000 90.311 57.0740
1.475000 90.430 56.6559
1.500000 90.530 56.2499
1.525000 90.616 55.8512
1.550000 90.691 55.4554
1.575000 90.759 55.0634
1.600000 90.823 54.6758
1.625000 90.888 54.2801
1.650000 90.957 53.8734
1.675000 91.032 53.4545
1.700000 91.111 53.0285
1.725000 91.186 52.6058
1.750000 91.255 52.1907
1.775000 91.319 51.7797
1.800000 91.378 51.3688
1.825000 91.433 50.9662
1.850000 91.484 50.5709
1.875000 91.533 50.1823
1.900000 91.581 49.7992
1.925000 91.627 49.4205
1.950000 91.674 49.0451
1.975000 91.721 48.6676
2.000000 91.769 48.2838
2.030000 91.829 47.8232
2.060000 91.889 47.3643
2.090000 91.948 46.9101
2.120000 92.006 46.4624
2.140000 92.044 46.1684
2.180000 92.118 45.5846
2.200000 92.155 45.2919
2.240000 92.227 44.7184
2.270000 92.281 44.2980
2.300000 92.333 43.8851
2.330000 92.385 43.4785
2.360000 92.436 43.0768
2.400000 92.502 42.5198
2.430000 92.552 42.1010
2.470000 92.616 41.5484
2.500000 92.664 41.1405
2.540000 92.725 40.6081
2.580000 92.785 40.0787
2.620000 92.843 39.5415
2.650000 92.885 39.1501
2.690000 92.938 38.6414
2.720000 92.977 38.2650
2.760000 93.026 37.7639
2.800000 93.074 37.2412
2.850000 93.129 36.5931
2.900000 93.182 35.9657
2.950000 93.233 35.3659
3.000000 93.281 34.7694
3.040000 93.317 34.3026
3.070000 93.343 33.9582
3.110000 93.376 33.5028
3.150000 93.407 33.0542
3.200000 93.443 32.4830
3.250000 93.478 31.9232
3.300000 93.511 31.3906
3.350000 93.543 30.8885
3.400000 93.574 30.3865
3.450000 93.604 29.8863
3.500000 93.632 29.3983
3.550000 93.658 28.9279
3.600000 93.684 28.4541
3.650000 93.708 27.9956
3.700000 93.731 27.5648
3.750000 93.752 27.1558
3.820000 93.779 26.5676
3.870000 93.797 26.1581
3.950000 93.824 25.5430
4.000000 93.840 25.1656
4.060000 93.859 24.7289
4.120000 93.876 24.3170
4.180000 93.893 23.9165
4.250000 93.912 23.4427
4.310000 93.927 23.0636
4.370000 93.943 22.7094
4.440000 93.962 22.2829
4.500000 93.978 21.9393
4.550000 93.991 21.6685
4.620000 94.010 21.2774
4.680000 94.026 20.9562
4.750000 94.044 20.6064
4.820000 94.063 20.2478
4.870000 94.077 19.9987
4.940000 94.095 19.6670
5.000000 94.112 19.3819
5.080000 94.133 19.0048
5.150000 94.153 18.6930
5.220000 94.172 18.3703
5.300000 94.194 18.0115
5.380000 94.217 17.6644
5.450000 94.237 17.3477
5.520000 94.256 17.0419
5.600000 94.279 16.6907
5.700000 94.306 16.2463
5.800000 94.332 15.8108
5.900000 94.357 15.3646
6.000000 94.379 14.9279
6.080000 94.396 14.5745
6.150000 94.409 14.2754
6.220000 94.422 13.9673
6.300000 94.435 13.6220
6.400000 94.449 13.2031
6.500000 94.461 12.7855
6.600000 94.471 12.3812
6.700000 94.480 11.9845
6.800000 94.486 11.6083
6.900000 94.491 11.2379
7.000000 94.495 10.8874
7.100000 94.497 10.5484
7.200000 94.499 10.2307
7.300000 94.500 9.9222
7.400000 94.501 9.6332
7.500000 94.503 9.3544
7.620000 94.505 9.0390
7.750000 94.509 8.7131
7.880000 94.516 8.3947
8.000000 94.523 8.1156
8.120000 94.531 7.8394
8.250000 94.541 7.5425
8.380000 94.552 7.2491
8.500000 94.563 6.9648
8.620000 94.575 6.6781
8.750000 94.588 6.3602
8.850000 94.597 6.1073
9.000000 94.608 5.7257
9.120000 94.615 5.4157
9.250000 94.621 5.0795
9.380000 94.624 4.7507
9.500000 94.625 4.4500
9.620000 94.623 4.1587
9.750000 94.618 3.8560
9.880000 94.609 3.5697
10.000000 94.597 3.3259
10.150000 94.574 3.0094
10.300000 94.544 2.7303
10.440000 94.515 2.5003
10.600000 94.484 2.2693
10.750000 94.459 2.0736
10.900000 94.438 1.8892
11.060000 94.419 1.6668
11.200000 94.407 1.4202
11.380000 94.394 1.0934
11.500000 94.385 0.8657
11.720000 94.366 0.4290
11.800000 94.358 0.2661
12.060000 94.325 -0.2925
12.200000 94.303 -0.6320
12.410000 94.268 -1.1158
12.500000 94.254 -1.3091
12.650000 94.232 -1.6093
12.800000 94.211 -1.8785
13.150000 94.165 -2.4320
13.200000 94.159 -2.5076
13.400000 94.137 -2.7803
13.600000 94.120 -3.0169
13.800000 94.107 -3.2306
14.000000 94.098 -3.4406
14.300000 94.091 -3.8339
14.500000 94.088 -4.1102
14.750000 94.083 -4.4683
15.000000 94.074 -4.8340
15.250000 94.061 -5.2587
15.500000 94.043 -5.6689
15.750000 94.022 -6.0545
16.000000 93.998 -6.4112
16.250000 93.975 -6.7771
16.500000 93.951 -7.1099
16.750000 93.927 -7.4076
17.000000 93.903 -7.6740
17.250000 93.882 -7.9446
17.500000 93.863 -8.1936
17.750000 93.848 -8.4279
18.000000 93.837 -8.6612
18.250000 93.829 -8.9362
18.500000 93.822 -9.2287
18.750000 93.814 -9.5381
19.000000 93.804 -9.8603
19.250000 93.788 -10.2008
19.500000 93.769 -10.5262
19.750000 93.746 -10.8199
20.000000 93.722 -11.0752
20.299999 93.697 -11.3582
20.600000 93.678 -11.6033
20.900000 93.667 -11.8373
21.200001 93.662 -12.1090
21.400000 93.660 -12.3145
21.799999 93.652 -12.7646
22.000000 93.644 -12.9988
22.400000 93.620 -13.4776
22.700001 93.597 -13.7958
23.000000 93.572 -14.0725
23.299999 93.550 -14.3374
23.600000 93.531 -14.5896
24.000000 93.508 -14.9336
24.299999 93.490 -15.2264
24.700001 93.461 -15.6212
25.000000 93.435 -15.9044
25.400000 93.397 -16.2594
25.799999 93.361 -16.5740
26.200001 93.331 -16.8812
26.500000 93.312 -17.1242
26.900000 93.289 -17.4657
27.200001 93.273 -17.7426
27.600000 93.251 -18.1272
28.000000 93.229 -18.5146
28.500000 93.201 -19.0081
29.000000 93.174 -19.4947
29.500000 93.146 -19.9902
30.000000 93.111 -20.4536
30.400000 93.078 -20.7733
30.700001 93.054 -20.9625
31.100000 93.025 -21.1569
31.500000 93.005 -21.3273
32.000000 92.987 -21.5592
32.500000 92.967 -21.8511
33.000000 92.936 -22.1567
33.500000 92.898 -22.4692
34.000000 92.854 -22.8215
34.500000 92.795 -23.2313
35.000000 92.719 -23.6059
35.500000 92.646 -23.9170
36.000000 92.594 -24.3171
36.500000 92.538 -25.0174
37.000000 92.424 -25.8963
37.500000 92.236 -26.4575
38.200001 92.003 -26.0022
38.700001 91.994 -25.2740
39.500000 92.182 -25.3760
40.000000 92.258 -26.2870
40.599998 92.247 -27.3829
41.200001 92.205 -28.0295
41.799999 92.188 -28.4557
42.500000 92.169 -28.9739
43.099998 92.132 -29.3180
43.700001 92.096 -29.5378
44.400002 92.056 -29.8170
45.000000 92.006 -30.0771
45.500000 91.958 -30.2617
46.200001 91.896 -30.5290
46.799999 91.841 -30.8478
47.500000 91.766 -31.2560
48.200001 91.693 -31.6122
48.700001 91.652 -31.8737
49.400002 91.601 -32.3032
50.000000 91.556 -32.6878
50.799999 91.496 -33.1388
51.500000 91.448 -33.4831
52.200001 91.400 -33.8027
53.000000 91.341 -34.1262
53.799999 91.281 -34.4062
54.500000 91.232 -34.6687
55.200001 91.180 -34.9870
56.000000 91.112 -35.3770
57.000000 91.032 -35.8696
58.000000 90.951 -36.4807
59.000000 90.845 -36.9701
60.000000 90.765 -37.2231
60.799999 90.717 -37.4799
61.500000 90.669 -37.7300
62.200001 90.616 -37.9585
63.000000 90.552 -38.2254
64.000000 90.462 -38.5516
65.000000 90.376 -38.8462
66.000000 90.297 -39.2155
67.000000 90.223 -39.6037
68.000000 90.153 -40.0415
69.000000 90.074 -40.4208
70.000000 90.003 -40.6119
71.000000 89.956 -40.8224
72.000000 89.897 -41.1899
73.000000 89.805 -41.5280
74.000000 89.705 -41.7629
75.000000 89.608 -41.9865
76.199997 89.494 -42.3146
77.500000 89.374 -42.6762
78.800003 89.266 -43.0052
80.000000 89.178 -43.3032
81.199997 89.091 -43.5800
82.500000 88.995 -43.8689
83.800003 88.890 -44.0979
85.000000 88.801 -44.2513
86.199997 88.717 -44.5309
87.500000 88.608 -44.8732
88.500000 88.516 -45.0765
90.000000 88.381 -45.2324
91.199997 88.294 -45.3114
92.500000 88.209 -45.5302
93.800003 88.107 -45.8100
95.000000 88.003 -45.9865
96.199997 87.904 -46.0621
97.500000 87.804 -46.1204
98.800003 87.704 -46.1156
100.000000 87.615 -46.0867
101.500000 87.523 -45.9830
103.000000 87.436 -46.3114
104.400002 87.308 -46.5733
106.000000 87.186 -46.7371
107.500000 87.077 -46.9537
109.000000 86.971 -46.9892
110.599998 86.868 -47.0069
112.000000 86.771 -46.9670
113.800003 86.654 -46.9820
115.000000 86.573 -47.0398
117.199997 86.434 -47.1598
118.000000 86.383 -47.1835
120.599998 86.203 -47.1958
122.000000 86.084 -47.2266
124.099998 85.875 -47.3610
125.000000 85.793 -47.2860
126.500000 85.723 -47.0625
128.000000 85.717 -47.0843
131.500000 85.597 -46.7063
132.000000 85.571 -46.5181
134.000000 85.464 -46.0969
136.000000 85.272 -46.4595
138.000000 85.045 -46.6356
140.000000 84.926 -46.6466
143.000000 84.780 -46.5825
145.000000 84.692 -46.0847
147.500000 84.612 -45.3580
150.000000 84.535 -45.0097
152.500000 84.392 -44.9284
155.000000 84.230 -44.7759
157.500000 84.093 -44.6366
160.000000 83.962 -44.2153
162.500000 83.850 -43.8698
165.000000 83.720 -43.7375
167.500000 83.605 -43.4120
170.000000 83.488 -42.8893
172.500000 83.357 -42.4010
175.000000 83.220 -42.0046
177.500000 83.133 -41.5446
180.000000 83.081 -41.1752
182.500000 82.990 -40.7269
185.000000 82.879 -40.1777
187.500000 82.732 -39.8154
190.000000 82.553 -39.2014
192.500000 82.405 -38.2440
195.000000 82.324 -37.4258
197.500000 82.269 -37.0441
200.000000 82.205 -36.6372
203.000000 82.126 -35.8794
206.000000 82.043 -35.0584
209.000000 81.980 -34.3806
212.000000 81.953 -33.5303
214.000000 81.963 -32.8069
218.000000 82.045 -31.2487
220.000000 82.125 -30.6159
224.000000 82.356 -30.1112
227.000000 82.529 -30.7515
230.000000 82.585 -32.3383
233.000000 82.458 -34.3522
236.000000 82.138 -35.7556
240.000000 81.625 -35.1148
243.000000 81.357 -33.4516
247.000000 81.243 -31.1831
250.000000 81.271 -30.3167
254.000000 81.312 -29.5941
258.000000 81.302 -28.7509
262.000000 81.250 -27.7165
265.000000 81.217 -27.1974
269.000000 81.166 -26.7670
272.000000 81.129 -26.4473
276.000000 81.093 -25.9563
280.000000 81.057 -25.1910
285.000000 81.019 -24.4887
290.000000 81.000 -24.1717
295.000000 81.003 -23.4947
300.000000 80.965 -22.8578
304.000000 80.921 -22.5979
307.000000 80.901 -22.3702
311.000000 80.885 -21.7960
315.000000 80.873 -21.1531
320.000000 80.862 -20.4299
