* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 3:34:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pilgrim L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.632 -97.3205
1.015000 74.114 -97.7210
1.030000 74.581 -98.0885
1.044000 75.006 -98.3908
1.060000 75.479 -98.6935
1.075000 75.911 -98.9430
1.090000 76.332 -99.1659
1.106000 76.770 -99.3805
1.120000 77.142 -99.5531
1.138000 77.607 -99.7600
1.150000 77.909 -99.8914
1.172000 78.445 -100.1257
1.180000 78.634 -100.2109
1.206000 79.229 -100.4889
1.220000 79.537 -100.6420
1.241000 79.983 -100.8794
1.250000 80.168 -100.9848
1.265000 80.469 -101.1664
1.280000 80.760 -101.3561
1.315000 81.402 -101.8353
1.320000 81.490 -101.9081
1.340000 81.829 -102.2078
1.360000 82.147 -102.5044
1.380000 82.439 -102.7616
1.400000 82.705 -102.9836
1.430000 83.059 -103.2736
1.450000 83.269 -103.4480
1.475000 83.505 -103.6551
1.500000 83.718 -103.8590
1.525000 83.911 -104.0676
1.550000 84.089 -104.2875
1.575000 84.257 -104.5191
1.600000 84.419 -104.7626
1.625000 84.579 -105.0309
1.650000 84.743 -105.3264
1.675000 84.913 -105.6482
1.700000 85.085 -105.9810
1.725000 85.251 -106.3018
1.750000 85.407 -106.6054
1.775000 85.554 -106.8988
1.800000 85.694 -107.1898
1.825000 85.827 -107.4732
1.850000 85.955 -107.7528
1.875000 86.078 -108.0316
1.900000 86.198 -108.3125
1.925000 86.315 -108.5983
1.950000 86.432 -108.8914
1.975000 86.548 -109.1981
2.000000 86.664 -109.5226
2.030000 86.805 -109.9225
2.060000 86.944 -110.3190
2.090000 87.080 -110.7045
2.120000 87.212 -111.0790
2.140000 87.299 -111.3235
2.180000 87.469 -111.8103
2.200000 87.551 -112.0573
2.240000 87.714 -112.5482
2.270000 87.834 -112.9169
2.300000 87.952 -113.2888
2.330000 88.068 -113.6662
2.360000 88.183 -114.0489
2.400000 88.333 -114.5844
2.430000 88.443 -114.9846
2.470000 88.587 -115.5104
2.500000 88.693 -115.8984
2.540000 88.831 -116.4077
2.580000 88.965 -116.9213
2.620000 89.095 -117.4533
2.650000 89.191 -117.8495
2.690000 89.315 -118.3771
2.720000 89.405 -118.7734
2.760000 89.523 -119.3026
2.800000 89.636 -119.8534
2.850000 89.773 -120.5388
2.900000 89.905 -121.2090
2.950000 90.031 -121.8614
3.000000 90.154 -122.5244
3.040000 90.249 -123.0557
3.070000 90.318 -123.4532
3.110000 90.407 -123.9828
3.150000 90.493 -124.5085
3.200000 90.596 -125.1796
3.250000 90.696 -125.8439
3.300000 90.792 -126.4867
3.350000 90.886 -127.1067
3.400000 90.976 -127.7359
3.450000 91.063 -128.3712
3.500000 91.147 -128.9996
3.550000 91.228 -129.6139
3.600000 91.305 -130.2339
3.650000 91.379 -130.8405
3.700000 91.451 -131.4223
3.750000 91.519 -131.9878
3.820000 91.608 -132.8053
3.870000 91.669 -133.3826
3.950000 91.760 -134.2666
4.000000 91.815 -134.8096
4.060000 91.877 -135.4433
4.120000 91.936 -136.0557
4.180000 91.992 -136.6599
4.250000 92.054 -137.3706
4.310000 92.104 -137.9477
4.370000 92.153 -138.4931
4.440000 92.209 -139.1379
4.500000 92.254 -139.6678
4.550000 92.290 -140.0923
4.620000 92.340 -140.6925
4.680000 92.381 -141.1850
4.750000 92.428 -141.7253
4.820000 92.474 -142.2679
4.870000 92.505 -142.6449
4.940000 92.549 -143.1501
5.000000 92.586 -143.5774
5.080000 92.635 -144.1339
5.150000 92.677 -144.5945
5.220000 92.719 -145.0598
5.300000 92.767 -145.5750
5.380000 92.815 -146.0718
5.450000 92.857 -146.5138
5.520000 92.900 -146.9401
5.600000 92.949 -147.4246
5.700000 93.009 -148.0320
5.800000 93.068 -148.6272
5.900000 93.127 -149.2295
6.000000 93.185 -149.8218
6.080000 93.229 -150.3011
6.150000 93.268 -150.7113
6.220000 93.305 -151.1312
6.300000 93.347 -151.6057
6.400000 93.398 -152.1902
6.500000 93.447 -152.7782
6.600000 93.493 -153.3575
6.700000 93.538 -153.9347
6.800000 93.581 -154.4978
6.900000 93.621 -155.0616
7.000000 93.660 -155.6121
7.100000 93.698 -156.1581
7.200000 93.733 -156.6908
7.300000 93.768 -157.2214
7.400000 93.801 -157.7391
7.500000 93.833 -158.2539
7.620000 93.870 -158.8614
7.750000 93.908 -159.5102
7.880000 93.945 -160.1584
8.000000 93.977 -160.7439
8.120000 94.006 -161.3222
8.250000 94.034 -161.9417
8.380000 94.059 -162.5450
8.500000 94.081 -163.0981
8.620000 94.100 -163.6370
8.750000 94.117 -164.2028
8.850000 94.128 -164.6261
9.000000 94.142 -165.2324
9.120000 94.151 -165.6946
9.250000 94.160 -166.1679
9.380000 94.169 -166.6119
9.500000 94.177 -167.0036
9.620000 94.186 -167.3739
9.750000 94.195 -167.7594
9.880000 94.205 -168.1318
10.000000 94.212 -168.4622
10.150000 94.217 -168.9091
10.300000 94.216 -169.3474
10.440000 94.214 -169.7547
10.600000 94.213 -170.2256
10.750000 94.212 -170.6748
10.900000 94.210 -171.1350
11.060000 94.206 -171.6648
11.200000 94.200 -172.1797
11.380000 94.189 -172.8403
11.500000 94.177 -173.2737
11.720000 94.147 -174.0448
11.800000 94.135 -174.3136
12.060000 94.086 -175.1592
12.200000 94.058 -175.6234
12.410000 94.018 -176.2674
12.500000 94.004 -176.5253
12.650000 93.985 -176.9327
12.800000 93.969 -177.3158
13.150000 93.943 -178.1893
13.200000 93.941 -178.3183
13.400000 93.931 -178.8219
13.600000 93.923 -179.3118
13.800000 93.916 -179.7912
14.000000 93.910 179.7330
14.300000 93.902 178.9616
14.500000 93.896 178.4545
14.750000 93.888 177.8333
15.000000 93.879 177.2276
15.250000 93.867 176.5800
15.500000 93.854 175.9594
15.750000 93.840 175.3741
16.000000 93.826 174.8275
16.250000 93.815 174.2771
16.500000 93.809 173.7567
16.750000 93.805 173.2543
17.000000 93.805 172.7530
17.250000 93.805 172.2107
17.500000 93.803 171.6578
17.750000 93.797 171.1053
18.000000 93.785 170.5673
18.250000 93.768 170.0292
18.500000 93.748 169.5349
18.750000 93.728 169.0885
19.000000 93.710 168.6779
19.250000 93.696 168.2676
19.500000 93.685 167.8567
19.750000 93.676 167.4343
20.000000 93.665 166.9965
20.299999 93.648 166.4376
20.600000 93.624 165.8958
20.900000 93.597 165.3942
21.200001 93.572 164.9133
21.400000 93.557 164.5997
21.799999 93.535 163.9661
22.000000 93.525 163.6312
22.400000 93.502 162.8934
22.700001 93.476 162.3341
23.000000 93.444 161.8069
23.299999 93.409 161.3157
23.600000 93.379 160.8782
24.000000 93.352 160.3256
24.299999 93.341 159.8608
24.700001 93.327 159.1617
25.000000 93.308 158.5955
25.400000 93.265 157.8521
25.799999 93.210 157.2272
26.200001 93.159 156.7363
26.500000 93.131 156.4194
26.900000 93.108 156.0000
27.200001 93.097 155.6459
27.600000 93.082 155.1232
28.000000 93.060 154.5849
28.500000 93.028 153.9226
29.000000 92.999 153.2653
29.500000 92.967 152.5412
30.000000 92.919 151.7904
30.400000 92.867 151.2346
30.700001 92.825 150.8812
31.100000 92.774 150.4884
31.500000 92.736 150.1313
32.000000 92.705 149.6508
32.500000 92.681 149.0598
33.000000 92.648 148.4017
33.500000 92.603 147.7465
34.000000 92.556 147.1489
34.500000 92.515 146.5746
35.000000 92.483 145.9643
35.500000 92.446 145.2650
36.000000 92.390 144.5299
36.500000 92.312 143.8807
37.000000 92.230 143.4262
37.500000 92.170 143.1193
38.200001 92.135 142.6326
38.700001 92.120 142.1034
39.500000 92.068 141.1122
40.000000 92.025 140.5403
40.599998 91.980 139.8871
41.200001 91.937 139.1952
41.799999 91.885 138.4746
42.500000 91.807 137.7020
43.099998 91.737 137.1568
43.700001 91.676 136.6880
44.400002 91.615 136.1350
45.000000 91.562 135.6170
45.500000 91.511 135.1782
46.200001 91.434 134.6221
46.799999 91.372 134.1791
47.500000 91.303 133.6499
48.200001 91.234 133.1478
48.700001 91.193 132.8121
49.400002 91.151 132.2735
50.000000 91.113 131.6963
50.799999 91.038 130.9282
51.500000 90.968 130.3788
52.200001 90.906 129.8568
53.000000 90.829 129.2477
53.799999 90.745 128.6879
54.500000 90.671 128.2169
55.200001 90.595 127.7867
56.000000 90.528 127.2629
57.000000 90.430 126.2368
58.000000 90.260 125.5560
59.000000 90.191 125.4138
60.000000 90.188 124.6418
60.799999 90.144 123.9009
61.500000 90.104 123.3589
62.200001 90.063 122.8010
63.000000 89.991 122.2368
64.000000 89.899 121.7611
65.000000 89.815 121.3206
66.000000 89.726 120.8743
67.000000 89.640 120.3815
68.000000 89.547 119.8128
69.000000 89.455 119.2659
70.000000 89.376 118.7007
71.000000 89.298 118.0839
72.000000 89.215 117.5326
73.000000 89.140 117.0840
74.000000 89.073 116.6333
75.000000 89.002 116.1712
76.199997 88.908 115.6157
77.500000 88.794 115.0546
78.800003 88.682 114.5529
80.000000 88.587 114.0793
81.199997 88.494 113.6013
82.500000 88.397 113.1414
83.800003 88.319 112.7401
85.000000 88.253 112.2770
86.199997 88.181 111.7679
87.500000 88.089 111.2005
88.500000 88.012 110.8676
90.000000 87.918 110.3960
91.199997 87.841 109.9490
92.500000 87.750 109.5452
93.800003 87.669 109.1393
95.000000 87.586 108.7066
96.199997 87.501 108.3557
97.500000 87.427 108.0004
98.800003 87.363 107.6193
100.000000 87.319 107.3258
101.500000 87.281 106.8373
103.000000 87.197 106.2563
104.400002 87.098 106.0314
106.000000 87.001 105.7514
107.500000 86.909 105.4106
109.000000 86.822 105.0167
110.599998 86.735 104.6169
112.000000 86.667 104.3048
113.800003 86.589 103.9366
115.000000 86.538 103.6776
117.199997 86.452 103.1478
118.000000 86.418 102.9088
120.599998 86.304 102.3932
122.000000 86.261 102.1955
124.099998 86.199 101.8289
125.000000 86.170 101.6517
126.500000 86.121 101.3129
128.000000 86.069 100.9380
131.500000 85.983 100.2156
132.000000 85.975 100.1116
134.000000 85.940 99.6634
136.000000 85.885 99.1778
138.000000 85.808 98.7600
140.000000 85.737 98.4928
143.000000 85.670 98.1021
145.000000 85.623 97.7628
147.500000 85.560 97.3997
150.000000 85.490 96.9169
152.500000 85.417 96.5209
155.000000 85.372 96.1514
157.500000 85.332 95.7988
160.000000 85.274 95.4767
162.500000 85.203 95.1556
165.000000 85.140 94.6290
167.500000 85.054 94.2361
170.000000 84.993 94.0112
172.500000 84.969 93.6569
175.000000 84.993 93.3077
177.500000 84.996 92.9814
180.000000 84.961 92.6698
182.500000 84.904 92.2014
185.000000 84.878 91.5877
187.500000 84.745 90.7484
190.000000 84.570 91.1683
192.500000 84.544 92.0347
195.000000 84.564 92.0072
197.500000 84.507 91.0999
200.000000 84.455 90.0404
203.000000 84.501 89.8349
206.000000 84.554 90.3587
209.000000 84.575 90.0111
212.000000 84.648 89.1264
214.000000 84.712 88.9176
218.000000 84.744 88.6294
220.000000 84.728 87.9988
224.000000 84.700 86.5800
227.000000 84.671 85.7570
230.000000 84.655 85.1504
233.000000 84.660 84.7965
236.000000 84.661 84.5807
240.000000 84.655 84.0797
243.000000 84.648 83.4301
247.000000 84.643 82.6317
250.000000 84.642 82.0771
254.000000 84.626 81.6018
258.000000 84.613 81.0851
262.000000 84.597 80.4069
265.000000 84.590 79.9564
269.000000 84.578 79.3547
272.000000 84.574 78.8578
276.000000 84.569 78.2612
280.000000 84.542 77.8574
285.000000 84.547 77.0377
290.000000 84.559 76.2332
295.000000 84.583 75.5552
300.000000 84.491 74.9305
304.000000 84.385 75.0641
307.000000 84.301 75.1271
311.000000 84.268 73.6671
315.000000 84.402 72.0517
320.000000 84.447 72.2899
325.000000 84.372 71.7806
330.000000 84.392 71.2266
335.000000 84.378 70.7899
