* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 3:36:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pilgrim R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.753 -95.9057
1.015000 75.121 -96.1083
1.030000 75.485 -96.3046
1.044000 75.822 -96.4712
1.060000 76.204 -96.6434
1.075000 76.559 -96.7904
1.090000 76.909 -96.9268
1.106000 77.278 -97.0636
1.120000 77.597 -97.1783
1.138000 77.999 -97.3219
1.150000 78.263 -97.4167
1.172000 78.736 -97.5933
1.180000 78.904 -97.6599
1.206000 79.436 -97.8841
1.220000 79.713 -98.0112
1.241000 80.115 -98.2127
1.250000 80.282 -98.3034
1.265000 80.553 -98.4613
1.280000 80.814 -98.6279
1.315000 81.382 -99.0541
1.320000 81.458 -99.1194
1.340000 81.751 -99.3899
1.360000 82.020 -99.6623
1.380000 82.265 -99.9055
1.400000 82.487 -100.1236
1.430000 82.780 -100.4208
1.450000 82.951 -100.6058
1.475000 83.143 -100.8295
1.500000 83.314 -101.0513
1.525000 83.468 -101.2772
1.550000 83.608 -101.5122
1.575000 83.739 -101.7555
1.600000 83.866 -102.0065
1.625000 83.992 -102.2775
1.650000 84.122 -102.5709
1.675000 84.257 -102.8862
1.700000 84.395 -103.2128
1.725000 84.527 -103.5331
1.750000 84.652 -103.8423
1.775000 84.769 -104.1456
1.800000 84.880 -104.4486
1.825000 84.985 -104.7448
1.850000 85.086 -105.0363
1.875000 85.183 -105.3251
1.900000 85.277 -105.6130
1.925000 85.370 -105.9019
1.950000 85.462 -106.1935
1.975000 85.554 -106.4936
2.000000 85.647 -106.8062
2.030000 85.760 -107.1866
2.060000 85.872 -107.5640
2.090000 85.981 -107.9327
2.120000 86.089 -108.2922
2.140000 86.159 -108.5269
2.180000 86.297 -108.9932
2.200000 86.365 -109.2286
2.240000 86.498 -109.6924
2.270000 86.596 -110.0359
2.300000 86.693 -110.3776
2.330000 86.789 -110.7191
2.360000 86.884 -111.0604
2.400000 87.009 -111.5363
2.430000 87.101 -111.8908
2.470000 87.222 -112.3549
2.500000 87.310 -112.6957
2.540000 87.426 -113.1401
2.580000 87.540 -113.5860
2.620000 87.651 -114.0463
2.650000 87.733 -114.3854
2.690000 87.839 -114.8315
2.720000 87.917 -115.1629
2.760000 88.019 -115.6013
2.800000 88.117 -116.0582
2.850000 88.237 -116.6236
2.900000 88.353 -117.1722
2.950000 88.466 -117.7020
3.000000 88.576 -118.2408
3.040000 88.662 -118.6703
3.070000 88.726 -118.9886
3.110000 88.808 -119.4086
3.150000 88.888 -119.8216
3.200000 88.986 -120.3506
3.250000 89.081 -120.8740
3.300000 89.174 -121.3792
3.350000 89.266 -121.8657
3.400000 89.356 -122.3618
3.450000 89.445 -122.8597
3.500000 89.532 -123.3482
3.550000 89.617 -123.8234
3.600000 89.700 -124.3088
3.650000 89.781 -124.7880
3.700000 89.860 -125.2500
3.750000 89.938 -125.6994
3.820000 90.043 -126.3540
3.870000 90.115 -126.8171
3.950000 90.228 -127.5302
4.000000 90.297 -127.9778
4.060000 90.378 -128.5094
4.120000 90.456 -129.0271
4.180000 90.532 -129.5418
4.250000 90.618 -130.1576
4.310000 90.691 -130.6650
4.370000 90.762 -131.1537
4.440000 90.842 -131.7471
4.500000 90.910 -132.2423
4.550000 90.965 -132.6438
4.620000 91.040 -133.2211
4.680000 91.103 -133.7036
4.750000 91.175 -134.2442
4.820000 91.244 -134.7995
4.870000 91.292 -135.1916
4.940000 91.358 -135.7243
5.000000 91.413 -136.1796
5.080000 91.484 -136.7798
5.150000 91.545 -137.2867
5.220000 91.604 -137.8041
5.300000 91.669 -138.3815
5.380000 91.734 -138.9396
5.450000 91.789 -139.4354
5.520000 91.843 -139.9168
5.600000 91.904 -140.4642
5.700000 91.978 -141.1445
5.800000 92.049 -141.8049
5.900000 92.118 -142.4673
6.000000 92.185 -143.1139
6.080000 92.238 -143.6312
6.150000 92.282 -144.0708
6.220000 92.326 -144.5173
6.300000 92.375 -145.0198
6.400000 92.435 -145.6368
6.500000 92.493 -146.2544
6.600000 92.549 -146.8612
6.700000 92.603 -147.4660
6.800000 92.656 -148.0584
6.900000 92.706 -148.6528
7.000000 92.755 -149.2346
7.100000 92.801 -149.8133
7.200000 92.845 -150.3805
7.300000 92.887 -150.9457
7.400000 92.928 -151.4955
7.500000 92.966 -152.0400
7.620000 93.010 -152.6792
7.750000 93.054 -153.3521
7.880000 93.097 -154.0118
8.000000 93.134 -154.5974
8.120000 93.169 -155.1640
8.250000 93.206 -155.7574
8.380000 93.242 -156.3264
8.500000 93.276 -156.8430
8.620000 93.309 -157.3427
8.750000 93.346 -157.8730
8.850000 93.375 -158.2768
9.000000 93.417 -158.8696
9.120000 93.451 -159.3435
9.250000 93.489 -159.8547
9.380000 93.526 -160.3627
9.500000 93.560 -160.8393
9.620000 93.592 -161.3176
9.750000 93.624 -161.8391
9.880000 93.651 -162.3643
10.000000 93.671 -162.8450
10.150000 93.686 -163.4771
10.300000 93.688 -164.0913
10.440000 93.685 -164.6416
10.600000 93.678 -165.2408
10.750000 93.669 -165.7731
10.900000 93.658 -166.2755
11.060000 93.648 -166.8112
11.200000 93.639 -167.3034
11.380000 93.631 -167.9073
11.500000 93.625 -168.2968
11.720000 93.615 -168.9904
11.800000 93.611 -169.2385
12.060000 93.600 -170.0606
12.200000 93.594 -170.5469
12.410000 93.587 -171.2715
12.500000 93.585 -171.5798
12.650000 93.585 -172.0892
12.800000 93.585 -172.5896
13.150000 93.578 -173.7579
13.200000 93.576 -173.9270
13.400000 93.567 -174.5793
13.600000 93.555 -175.1887
13.800000 93.540 -175.7539
14.000000 93.526 -176.2804
14.300000 93.507 -177.0712
14.500000 93.497 -177.5623
14.750000 93.488 -178.1444
15.000000 93.483 -178.7046
15.250000 93.481 -179.3153
15.500000 93.481 -179.9202
15.750000 93.482 179.4796
16.000000 93.483 178.8841
16.250000 93.484 178.2553
16.500000 93.487 177.6373
16.750000 93.487 177.0334
17.000000 93.488 176.4402
17.250000 93.487 175.8224
17.500000 93.487 175.2077
17.750000 93.484 174.5950
18.000000 93.479 173.9813
18.250000 93.471 173.3384
18.500000 93.458 172.7062
18.750000 93.439 172.0983
19.000000 93.416 171.5252
19.250000 93.389 170.9785
19.500000 93.363 170.4798
19.750000 93.338 170.0269
20.000000 93.318 169.6058
20.299999 93.301 169.0925
20.600000 93.290 168.5729
20.900000 93.281 168.0327
21.200001 93.270 167.4524
21.400000 93.260 167.0569
21.799999 93.234 166.2947
22.000000 93.219 165.9401
22.400000 93.191 165.2607
22.700001 93.176 164.7827
23.000000 93.167 164.2983
23.299999 93.162 163.7611
23.600000 93.153 163.1835
24.000000 93.129 162.3871
24.299999 93.099 161.7989
24.700001 93.051 161.1234
25.000000 93.018 160.7076
25.400000 92.990 160.2045
25.799999 92.982 159.6638
26.200001 92.980 158.9871
26.500000 92.971 158.3935
26.900000 92.939 157.5790
27.200001 92.902 157.0071
27.600000 92.848 156.3474
28.000000 92.804 155.7752
28.500000 92.764 155.0299
29.000000 92.719 154.2003
29.500000 92.650 153.4066
30.000000 92.573 152.8471
30.400000 92.532 152.5550
30.700001 92.520 152.3618
31.100000 92.526 152.0388
31.500000 92.541 151.5774
32.000000 92.552 150.8551
32.500000 92.545 150.0526
33.000000 92.518 149.2412
33.500000 92.468 148.4672
34.000000 92.395 147.8536
34.500000 92.326 147.4579
35.000000 92.290 147.1343
35.500000 92.278 146.5765
36.000000 92.233 145.7278
36.500000 92.115 144.9372
37.000000 91.963 144.6637
37.500000 91.876 144.8796
38.200001 91.928 144.7914
38.700001 91.976 143.8749
39.500000 91.843 142.0872
40.000000 91.700 141.7488
40.599998 91.649 141.9919
41.200001 91.749 141.8178
41.799999 91.851 140.7418
42.500000 91.845 139.1010
43.099998 91.773 137.9977
43.700001 91.697 137.1680
44.400002 91.599 136.3497
45.000000 91.505 135.8278
45.500000 91.437 135.5015
46.200001 91.364 135.0070
46.799999 91.298 134.4673
47.500000 91.205 133.8288
48.200001 91.120 133.2318
48.700001 91.068 132.7657
49.400002 90.997 132.0327
50.000000 90.935 131.3931
50.799999 90.859 130.5921
51.500000 90.802 129.9404
52.200001 90.753 129.3286
53.000000 90.704 128.6609
53.799999 90.655 127.9955
54.500000 90.601 127.3925
55.200001 90.525 126.8108
56.000000 90.418 126.2542
57.000000 90.270 125.7142
58.000000 90.131 125.4247
59.000000 90.071 125.1343
60.000000 90.044 124.2092
60.799999 89.981 123.2560
61.500000 89.907 122.5297
62.200001 89.833 121.9361
63.000000 89.757 121.4192
64.000000 89.688 120.8992
65.000000 89.630 120.3622
66.000000 89.564 119.8782
67.000000 89.507 119.4070
68.000000 89.442 118.7724
69.000000 89.354 118.0890
70.000000 89.256 117.4222
71.000000 89.152 116.7914
72.000000 89.057 116.2394
73.000000 88.972 115.6906
74.000000 88.887 115.2005
75.000000 88.817 114.7854
76.199997 88.734 114.1930
77.500000 88.623 113.6541
78.800003 88.516 113.1766
80.000000 88.425 112.7664
81.199997 88.355 112.1942
82.500000 88.257 111.4144
83.800003 88.157 110.7663
85.000000 88.076 110.2637
86.199997 88.013 109.8128
87.500000 87.936 109.2703
88.500000 87.860 108.9614
90.000000 87.754 108.6523
91.199997 87.682 108.2922
92.500000 87.594 107.7118
93.800003 87.499 107.1230
95.000000 87.421 106.5715
96.199997 87.345 106.0336
97.500000 87.257 105.5708
98.800003 87.167 105.3163
100.000000 87.097 105.2221
101.500000 87.050 105.0625
103.000000 87.005 104.3849
104.400002 86.917 103.7637
106.000000 86.830 103.2500
107.500000 86.756 102.9183
109.000000 86.713 102.6281
110.599998 86.646 102.0175
112.000000 86.557 101.5825
113.800003 86.471 101.0759
115.000000 86.417 100.6198
117.199997 86.301 99.9655
118.000000 86.262 99.8239
120.599998 86.175 99.3333
122.000000 86.122 98.9586
124.099998 86.023 98.6006
125.000000 85.988 98.5772
126.500000 85.950 98.4715
128.000000 85.907 98.1708
131.500000 85.797 97.4410
132.000000 85.785 97.3235
134.000000 85.732 96.8656
136.000000 85.680 96.5622
138.000000 85.646 96.0602
140.000000 85.589 95.4292
143.000000 85.535 94.9929
145.000000 85.519 94.6573
147.500000 85.464 93.7779
150.000000 85.381 92.8346
152.500000 85.327 92.6725
155.000000 85.301 92.9171
157.500000 85.240 92.9116
160.000000 85.164 92.2803
162.500000 85.088 91.5879
165.000000 85.054 91.1534
167.500000 85.034 90.7352
170.000000 85.001 90.3065
172.500000 84.955 89.8620
175.000000 84.907 89.4005
177.500000 84.868 89.0026
180.000000 84.823 88.5023
182.500000 84.752 87.9095
185.000000 84.713 87.4040
187.500000 84.722 87.3596
190.000000 84.739 87.6822
192.500000 84.704 87.4204
195.000000 84.631 86.4791
197.500000 84.604 85.6457
200.000000 84.611 85.2563
203.000000 84.562 84.9970
206.000000 84.508 84.5359
209.000000 84.508 83.9263
212.000000 84.510 83.5341
214.000000 84.504 83.2475
218.000000 84.484 82.5697
220.000000 84.476 82.2377
224.000000 84.456 81.6176
227.000000 84.475 81.3797
230.000000 84.497 81.0451
233.000000 84.487 80.5743
236.000000 84.462 79.8853
240.000000 84.416 79.0302
243.000000 84.407 78.5571
247.000000 84.417 78.0042
250.000000 84.372 77.7238
254.000000 84.333 77.6219
258.000000 84.318 76.9824
262.000000 84.313 76.2121
265.000000 84.366 75.6341
269.000000 84.416 75.3045
272.000000 84.392 74.9933
276.000000 84.357 74.2189
280.000000 84.343 73.6251
285.000000 84.330 72.8808
290.000000 84.326 72.1217
295.000000 84.315 71.5397
300.000000 84.298 71.0706
304.000000 84.285 70.5942
307.000000 84.281 70.1690
311.000000 84.275 69.6120
315.000000 84.265 69.0755
320.000000 84.250 68.5361
325.000000 84.255 67.9800
330.000000 84.283 67.3242
335.000000 84.299 66.6153
