* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 2:17:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 a01 ac L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.142	-69.1666
1.015000	53.589	-70.7678
1.030000	54.027	-72.3682
1.044000	54.425	-73.8663
1.060000	54.867	-75.5887
1.075000	55.265	-77.2179
1.090000	55.647	-78.8626
1.106000	56.039	-80.6233
1.120000	56.372	-82.1453
1.138000	56.791	-84.0555
1.150000	57.065	-85.2963
1.172000	57.556	-87.5007
1.180000	57.731	-88.2796
1.206000	58.289	-90.7301
1.220000	58.582	-92.0003
1.241000	59.013	-93.8453
1.250000	59.195	-94.6153
1.265000	59.494	-95.8731
1.280000	59.789	-97.1011
1.315000	60.460	-99.8664
1.320000	60.554	-100.2515
1.340000	60.926	-101.7707
1.360000	61.292	-103.2608
1.380000	61.653	-104.7278
1.400000	62.010	-106.1772
1.430000	62.537	-108.3297
1.450000	62.884	-109.7566
1.475000	63.312	-111.5268
1.500000	63.730	-113.2567
1.525000	64.137	-114.9345
1.550000	64.534	-116.5625
1.575000	64.920	-118.1460
1.600000	65.297	-119.6907
1.625000	65.664	-121.2023
1.650000	66.024	-122.6869
1.675000	66.377	-124.1505
1.700000	66.722	-125.5987
1.725000	67.062	-127.0371
1.750000	67.396	-128.4710
1.775000	67.725	-129.9054
1.800000	68.051	-131.3450
1.825000	68.372	-132.7923
1.850000	68.689	-134.2427
1.875000	68.999	-135.6853
1.900000	69.303	-137.1132
1.925000	69.600	-138.5233
1.950000	69.890	-139.9141
1.975000	70.175	-141.2850
2.000000	70.454	-142.6363
2.030000	70.783	-144.2332
2.060000	71.104	-145.8054
2.090000	71.419	-147.3563
2.120000	71.729	-148.8897
2.140000	71.932	-149.9044
2.180000	72.333	-151.9216
2.200000	72.531	-152.9268
2.240000	72.917	-154.9315
2.270000	73.200	-156.4256
2.300000	73.475	-157.9070
2.330000	73.745	-159.3728
2.360000	74.009	-160.8210
2.400000	74.352	-162.7230
2.430000	74.603	-164.1281
2.470000	74.932	-165.9742
2.500000	75.173	-167.3403
2.540000	75.489	-169.1414
2.580000	75.798	-170.9281
2.620000	76.099	-172.7106
2.650000	76.319	-174.0436
2.690000	76.604	-175.8095
2.720000	76.814	-177.1218
2.760000	77.086	-178.8513
2.800000	77.351	179.4453
2.850000	77.674	177.3552
2.900000	77.989	175.3075
2.950000	78.294	173.2905
3.000000	78.589	171.2816
3.040000	78.818	169.6799
3.070000	78.986	168.4857
3.110000	79.204	166.9076
3.150000	79.416	165.3499
3.200000	79.674	163.4368
3.250000	79.925	161.5650
3.300000	80.169	159.7309
3.350000	80.405	157.9144
3.400000	80.633	156.1042
3.450000	80.853	154.3071
3.500000	81.066	152.5329
3.550000	81.272	150.7897
3.600000	81.472	149.0839
3.650000	81.667	147.4170
3.700000	81.856	145.7775
3.750000	82.038	144.1495
3.820000	82.282	141.8915
3.870000	82.450	140.3032
3.950000	82.708	137.8229
4.000000	82.864	136.3180
4.060000	83.045	134.5523
4.120000	83.219	132.8111
4.180000	83.386	131.0906
4.250000	83.573	129.1193
4.310000	83.727	127.4697
4.370000	83.877	125.8634
4.440000	84.047	124.0383
4.500000	84.186	122.5018
4.550000	84.299	121.2390
4.620000	84.451	119.5024
4.680000	84.578	118.0475
4.750000	84.722	116.3938
4.820000	84.863	114.7822
4.870000	84.960	113.6510
4.940000	85.092	112.0931
5.000000	85.203	110.7824
5.080000	85.347	109.0724
5.150000	85.470	107.6115
5.220000	85.591	106.1793
5.300000	85.725	104.5727
5.380000	85.857	102.9958
5.450000	85.969	101.6392
5.520000	86.080	100.3028
5.600000	86.203	98.7975
5.700000	86.355	96.9452
5.800000	86.501	95.1217
5.900000	86.643	93.3220
6.000000	86.781	91.5404
6.080000	86.888	90.1286
6.150000	86.978	88.9039
6.220000	87.066	87.6886
6.300000	87.163	86.3072
6.400000	87.279	84.5889
6.500000	87.388	82.8885
6.600000	87.491	81.2120
6.700000	87.586	79.5518
6.800000	87.675	77.9068
6.900000	87.756	76.2907
7.000000	87.831	74.7097
7.100000	87.898	73.1550
7.200000	87.959	71.6303
7.300000	88.014	70.1486
7.400000	88.064	68.7126
7.500000	88.108	67.3159
7.620000	88.156	65.6961
7.750000	88.203	64.0217
7.880000	88.247	62.4265
8.000000	88.285	61.0159
8.120000	88.325	59.6638
8.250000	88.369	58.2625
8.380000	88.416	56.9087
8.500000	88.463	55.6904
8.620000	88.513	54.5009
8.750000	88.571	53.2271
8.850000	88.618	52.2480
9.000000	88.690	50.7803
9.120000	88.749	49.6003
9.250000	88.812	48.3074
9.380000	88.874	47.0014
9.500000	88.928	45.7895
9.620000	88.978	44.5713
9.750000	89.028	43.2477
9.880000	89.067	41.9333
10.000000	89.092	40.7328
10.150000	89.110	39.2527
10.300000	89.119	37.8107
10.440000	89.119	36.5027
10.600000	89.117	35.0514
10.750000	89.114	33.7353
10.900000	89.112	32.4548
11.060000	89.112	31.1153
11.200000	89.114	29.9603
11.380000	89.118	28.4810
11.500000	89.121	27.4918
11.720000	89.124	25.6692
11.800000	89.123	25.0019
12.060000	89.110	22.8319
12.200000	89.094	21.6776
12.410000	89.061	19.9891
12.500000	89.046	19.2931
12.650000	89.020	18.1760
12.800000	88.992	17.1241
13.150000	88.926	14.9626
13.200000	88.918	14.6858
13.400000	88.893	13.6496
13.600000	88.883	12.6899
13.800000	88.890	11.7664
14.000000	88.912	10.8251
14.300000	88.964	9.3060
14.500000	89.001	8.1919
14.750000	89.038	6.6995
15.000000	89.055	5.1390
15.250000	89.048	3.5844
15.500000	89.020	2.1062
