* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 2:09:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 a01
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	57.169	-101.4195
1.015000	57.549	-102.8795
1.030000	57.924	-104.3550
1.044000	58.269	-105.7503
1.060000	58.657	-107.3707
1.075000	59.015	-108.9183
1.090000	59.367	-110.4946
1.106000	59.736	-112.1953
1.120000	60.053	-113.6738
1.138000	60.453	-115.5378
1.150000	60.714	-116.7531
1.172000	61.182	-118.9202
1.180000	61.350	-119.6883
1.206000	61.883	-122.1129
1.220000	62.163	-123.3745
1.241000	62.576	-125.2134
1.250000	62.750	-125.9833
1.265000	63.036	-127.2440
1.280000	63.318	-128.4792
1.315000	63.961	-131.2780
1.320000	64.051	-131.6699
1.340000	64.408	-133.2217
1.360000	64.760	-134.7534
1.380000	65.106	-136.2716
1.400000	65.448	-137.7824
1.430000	65.954	-140.0479
1.450000	66.287	-141.5651
1.475000	66.699	-143.4658
1.500000	67.101	-145.3431
1.525000	67.493	-147.1798
1.550000	67.874	-148.9738
1.575000	68.247	-150.7267
1.600000	68.610	-152.4423
1.625000	68.965	-154.1250
1.650000	69.313	-155.7804
1.675000	69.653	-157.4144
1.700000	69.987	-159.0334
1.725000	70.316	-160.6436
1.750000	70.638	-162.2517
1.775000	70.956	-163.8640
1.800000	71.270	-165.4867
1.825000	71.580	-167.1248
1.850000	71.885	-168.7769
1.875000	72.183	-170.4331
1.900000	72.475	-172.0839
1.925000	72.761	-173.7229
1.950000	73.040	-175.3455
1.975000	73.314	-176.9491
2.000000	73.582	-178.5322
2.030000	73.897	179.5950
2.060000	74.205	177.7502
2.090000	74.507	175.9301
2.120000	74.804	174.1302
2.140000	74.999	172.9388
2.180000	75.382	170.5673
2.200000	75.570	169.3823
2.240000	75.939	167.0029
2.270000	76.208	165.2144
2.300000	76.470	163.4312
2.330000	76.726	161.6602
2.360000	76.976	159.9063
2.400000	77.301	157.5996
2.430000	77.539	155.8953
2.470000	77.849	153.6571
2.500000	78.077	152.0022
2.540000	78.374	149.8215
2.580000	78.665	147.6543
2.620000	78.947	145.4772
2.650000	79.152	143.8387
2.690000	79.419	141.6575
2.720000	79.614	140.0315
2.760000	79.867	137.8851
2.800000	80.113	135.7700
2.850000	80.412	133.1766
2.900000	80.702	130.6402
2.950000	80.983	128.1413
3.000000	81.253	125.6376
3.040000	81.462	123.6292
3.070000	81.615	122.1265
3.110000	81.813	120.1362
3.150000	82.005	118.1686
3.200000	82.238	115.7518
3.250000	82.464	113.3896
3.300000	82.683	111.0770
3.350000	82.894	108.7804
3.400000	83.097	106.4796
3.450000	83.292	104.1855
3.500000	83.480	101.9135
3.550000	83.662	99.6776
3.600000	83.837	97.4887
3.650000	84.008	95.3502
3.700000	84.172	93.2440
3.750000	84.331	91.1447
3.820000	84.542	88.2184
3.870000	84.687	86.1517
3.950000	84.909	82.9142
4.000000	85.042	80.9456
4.060000	85.197	78.6310
4.120000	85.345	76.3387
4.180000	85.487	74.0624
4.250000	85.646	71.4408
4.310000	85.777	69.2368
4.370000	85.904	67.0820
4.440000	86.047	64.6212
4.500000	86.165	62.5363
4.550000	86.260	60.8133
4.620000	86.389	58.4304
4.680000	86.496	56.4224
4.750000	86.617	54.1266
4.820000	86.735	51.8721
4.870000	86.817	50.2775
4.940000	86.929	48.0659
5.000000	87.021	46.1934
5.080000	87.142	43.7363
5.150000	87.245	41.6236
5.220000	87.345	39.5345
5.300000	87.456	37.1696
5.380000	87.564	34.8338
5.450000	87.655	32.8182
5.520000	87.744	30.8276
5.600000	87.844	28.5717
5.700000	87.963	25.7778
5.800000	88.078	23.0240
5.900000	88.188	20.3132
6.000000	88.292	17.6273
6.080000	88.372	15.4972
6.150000	88.440	13.6536
6.220000	88.505	11.8317
6.300000	88.577	9.7694
6.400000	88.662	7.2117
6.500000	88.743	4.6859
6.600000	88.819	2.2030
6.700000	88.892	-0.2452
6.800000	88.960	-2.6663
6.900000	89.024	-5.0511
7.000000	89.086	-7.3944
7.100000	89.145	-9.7054
7.200000	89.201	-11.9866
7.300000	89.255	-14.2325
7.400000	89.308	-16.4440
7.500000	89.358	-18.6273
7.620000	89.417	-21.2111
7.750000	89.480	-23.9651
7.880000	89.540	-26.6802
8.000000	89.594	-29.1539
8.120000	89.647	-31.5983
8.250000	89.702	-34.2197
