* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 2:12:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 a01 tras L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.087	-46.9766
1.015000	53.403	-49.4246
1.030000	53.718	-51.8350
1.044000	54.011	-54.0599
1.060000	54.342	-56.5835
1.075000	54.648	-58.9396
1.090000	54.950	-61.2931
1.106000	55.270	-63.7982
1.120000	55.551	-65.9693
1.138000	55.918	-68.7075
1.150000	56.166	-70.4910
1.172000	56.626	-73.6596
1.180000	56.794	-74.7770
1.206000	57.346	-78.2755
1.220000	57.646	-80.0744
1.241000	58.096	-82.6642
1.250000	58.289	-83.7357
1.265000	58.611	-85.4725
1.280000	58.933	-87.1513
1.315000	59.678	-90.8651
1.320000	59.783	-91.3746
1.340000	60.202	-93.3664
1.360000	60.616	-95.2913
1.380000	61.023	-97.1589
1.400000	61.421	-98.9784
1.430000	62.001	-101.6362
1.450000	62.374	-103.3714
1.475000	62.825	-105.5024
1.500000	63.263	-107.5739
1.525000	63.690	-109.5759
1.550000	64.107	-111.5098
1.575000	64.515	-113.3804
1.600000	64.913	-115.1932
1.625000	65.302	-116.9546
1.650000	65.683	-118.6713
1.675000	66.057	-120.3503
1.700000	66.423	-121.9982
1.725000	66.783	-123.6217
1.750000	67.136	-125.2271
1.775000	67.484	-126.8207
1.800000	67.826	-128.4080
1.825000	68.164	-129.9933
1.850000	68.495	-131.5749
1.875000	68.819	-133.1443
1.900000	69.135	-134.6948
1.925000	69.443	-136.2225
1.950000	69.745	-137.7251
1.975000	70.040	-139.2018
2.000000	70.329	-140.6523
2.030000	70.668	-142.3596
2.060000	70.999	-144.0327
2.090000	71.324	-145.6750
2.120000	71.642	-147.2908
2.140000	71.852	-148.3555
2.180000	72.263	-150.4620
2.200000	72.466	-151.5072
2.240000	72.862	-153.5870
2.270000	73.150	-155.1347
2.300000	73.431	-156.6672
2.330000	73.706	-158.1810
2.360000	73.974	-159.6739
2.400000	74.322	-161.6299
2.430000	74.577	-163.0708
2.470000	74.909	-164.9585
2.500000	75.153	-166.3508
2.540000	75.472	-168.1803
2.580000	75.784	-169.9889
2.620000	76.087	-171.7899
2.650000	76.308	-173.1354
2.690000	76.595	-174.9161
2.720000	76.805	-176.2379
2.760000	77.078	-177.9777
2.800000	77.344	-179.6885
2.850000	77.666	178.2167
2.900000	77.980	176.1701
2.950000	78.285	174.1600
3.000000	78.580	172.1616
3.040000	78.807	170.5701
3.070000	78.974	169.3845
3.110000	79.190	167.8188
3.150000	79.401	166.2746
3.200000	79.657	164.3801
3.250000	79.906	162.5289
3.300000	80.148	160.7176
3.350000	80.382	158.9261
3.400000	80.607	157.1426
3.450000	80.825	155.3734
3.500000	81.035	153.6279
3.550000	81.239	151.9138
3.600000	81.437	150.2376
3.650000	81.629	148.6009
3.700000	81.816	146.9926
3.750000	81.996	145.3975
3.820000	82.237	143.1870
3.870000	82.403	141.6330
3.950000	82.658	139.2069
4.000000	82.812	137.7352
4.060000	82.991	136.0093
4.120000	83.163	134.3091
4.180000	83.329	132.6306
4.250000	83.515	130.7078
4.310000	83.668	129.0984
4.370000	83.818	127.5305
4.440000	83.988	125.7487
4.500000	84.128	124.2499
4.550000	84.241	123.0186
4.620000	84.395	121.3244
4.680000	84.524	119.9031
4.750000	84.670	118.2838
4.820000	84.814	116.7030
4.870000	84.914	115.5928
4.940000	85.050	114.0623
5.000000	85.165	112.7719
5.080000	85.315	111.0818
5.150000	85.443	109.6307
