* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 2:10:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 a01 tras
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	56.573	-91.5616
1.015000	57.075	-92.8330
1.030000	57.563	-94.1237
1.044000	58.006	-95.3490
1.060000	58.494	-96.7767
1.075000	58.933	-98.1441
1.090000	59.352	-99.5394
1.106000	59.778	-101.0443
1.120000	60.137	-102.3484
1.138000	60.583	-103.9855
1.150000	60.872	-105.0494
1.172000	61.384	-106.9416
1.180000	61.565	-107.6112
1.206000	62.135	-109.7227
1.220000	62.431	-110.8208
1.241000	62.862	-112.4217
1.250000	63.042	-113.0922
1.265000	63.337	-114.1906
1.280000	63.626	-115.2674
1.315000	64.278	-117.7100
1.320000	64.369	-118.0523
1.340000	64.729	-119.4081
1.360000	65.082	-120.7470
1.380000	65.429	-122.0741
1.400000	65.773	-123.3944
1.430000	66.285	-125.3724
1.450000	66.624	-126.6951
1.475000	67.046	-128.3482
1.500000	67.459	-129.9755
1.525000	67.859	-131.5635
1.550000	68.248	-133.1127
1.575000	68.626	-134.6262
1.600000	68.993	-136.1082
1.625000	69.351	-137.5632
1.650000	69.701	-138.9961
1.675000	70.042	-140.4118
1.700000	70.377	-141.8155
1.725000	70.705	-143.2120
1.750000	71.027	-144.6065
1.775000	71.345	-146.0036
1.800000	71.659	-147.4078
1.825000	71.969	-148.8226
1.850000	72.274	-150.2456
1.875000	72.573	-151.6682
1.900000	72.864	-153.0835
1.925000	73.149	-154.4870
1.950000	73.427	-155.8759
1.975000	73.699	-157.2484
2.000000	73.966	-158.6038
2.030000	74.278	-160.2074
2.060000	74.584	-161.7873
2.090000	74.883	-163.3459
2.120000	75.176	-164.8860
2.140000	75.369	-165.9045
2.180000	75.748	-167.9275
2.200000	75.934	-168.9357
2.240000	76.298	-170.9530
2.270000	76.564	-172.4647
2.300000	76.822	-173.9693
2.330000	77.074	-175.4622
2.360000	77.320	-176.9399
2.400000	77.640	-178.8827
2.430000	77.874	179.6824
2.470000	78.178	177.7991
2.500000	78.401	176.4084
2.540000	78.693	174.5795
2.580000	78.978	172.7686
2.620000	79.254	170.9576
2.650000	79.455	169.5988
2.690000	79.716	167.7941
2.720000	79.906	166.4506
2.760000	80.153	164.6790
2.800000	80.394	162.9347
2.850000	80.685	160.7986
2.900000	80.968	158.7140
2.950000	81.242	156.6684
3.000000	81.506	154.6308
3.040000	81.709	153.0034
3.070000	81.857	151.7888
3.110000	82.050	150.1830
3.150000	82.237	148.5982
3.200000	82.464	146.6543
3.250000	82.684	144.7579
3.300000	82.898	142.9070
3.350000	83.104	141.0788
3.400000	83.302	139.2582
3.450000	83.492	137.4511
3.500000	83.676	135.6674
3.550000	83.853	133.9159
3.600000	84.026	132.2043
3.650000	84.193	130.5355
3.700000	84.355	128.8989
3.750000	84.511	127.2778
3.820000	84.721	125.0330
3.870000	84.864	123.4547
3.950000	85.085	120.9896
4.000000	85.218	119.4934
4.060000	85.373	117.7394
4.120000	85.523	116.0132
4.180000	85.667	114.3100
4.250000	85.828	112.3577
4.310000	85.961	110.7208
4.370000	86.092	109.1220
4.440000	86.239	107.3004
4.500000	86.361	105.7653
4.550000	86.460	104.5026
4.620000	86.594	102.7623
4.680000	86.706	101.2990
4.750000	86.833	99.6271
4.820000	86.957	97.9883
4.870000	87.043	96.8332
4.940000	87.160	95.2368
5.000000	87.257	93.8891
5.080000	87.384	92.1242
5.150000	87.491	90.6090
5.220000	87.595	89.1148
5.300000	87.710	87.4297
5.380000	87.821	85.7718
5.450000	87.915	84.3460
5.520000	88.006	82.9425
5.600000	88.107	81.3589
5.700000	88.227	79.4086
5.800000	88.341	77.4987
5.900000	88.450	75.6322
6.000000	88.553	73.7986
6.080000	88.631	72.3555
6.150000	88.697	71.1135
6.220000	88.761	69.8930
6.300000	88.831	68.5217
6.400000	88.914	66.8369
6.500000	88.994	65.1871
6.600000	89.069	63.5764
6.700000	89.142	62.0021
6.800000	89.211	60.4595
6.900000	89.278	58.9485
7.000000	89.343	57.4693
7.100000	89.405	56.0190
7.200000	89.466	54.5946
7.300000	89.524	53.1942
7.400000	89.581	51.8158
7.500000	89.636	50.4576
7.620000	89.700	48.8526
7.750000	89.766	47.1410
7.880000	89.828	45.4540
8.000000	89.883	43.9201
8.120000	89.933	42.4084
8.250000	89.983	40.7928
8.380000	90.029	39.2054
8.500000	90.067	37.7680
8.620000	90.101	36.3550
8.750000	90.133	34.8570
8.850000	90.155	33.7309
9.000000	90.184	32.0816
9.120000	90.205	30.7983
9.250000	90.225	29.4467
9.380000	90.243	28.1329
9.500000	90.258	26.9515
9.620000	90.274	25.8000
9.750000	90.290	24.5835
9.880000	90.301	23.3947
10.000000	90.305	22.3195
10.150000	90.303	21.0029
10.300000	90.297	19.7111
10.440000	90.289	18.5251
10.600000	90.278	17.1913
10.750000	90.268	15.9595
10.900000	90.258	14.7455
11.060000	90.247	13.4708
11.200000	90.236	12.3719
11.380000	90.223	10.9814
11.500000	90.215	10.0681
11.720000	90.200	8.4174
11.800000	90.195	7.8235
12.060000	90.180	5.9097
12.200000	90.172	4.8839
12.410000	90.164	3.3461
12.500000	90.163	2.6857
12.650000	90.166	1.5823
12.800000	90.169	0.4773
13.150000	90.170	-2.0974
13.200000	90.168	-2.4623
13.400000	90.158	-3.9092
13.600000	90.142	-5.3245
13.800000	90.120	-6.6982
14.000000	90.095	-8.0226
14.300000	90.054	-9.9129
14.500000	90.027	-11.1138
14.750000	89.998	-12.5637
15.000000	89.972	-13.9740
15.250000	89.950	-15.3629
15.500000	89.929	-16.7393
15.750000	89.908	-18.1039
16.000000	89.885	-19.4503
16.250000	89.862	-20.7688
16.500000	89.839	-22.0533
16.750000	89.818	-23.3034
17.000000	89.798	-24.5269
17.250000	89.781	-25.7355
17.500000	89.765	-26.9423
17.750000	89.750	-28.1558
18.000000	89.732	-29.3759
18.250000	89.709	-30.5953
