* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 1, 25 3:09:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: pr3 fatfreq imp R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.650 -52.9525
1.015000 54.093 -54.4690
1.030000 54.527 -55.9853
1.044000 54.921 -57.4048
1.060000 55.357 -59.0365
1.075000 55.751 -60.5792
1.090000 56.129 -62.1352
1.106000 56.516 -63.7978
1.120000 56.845 -65.2303
1.138000 57.258 -67.0220
1.150000 57.528 -68.1831
1.172000 58.013 -70.2430
1.180000 58.185 -70.9705
1.206000 58.736 -73.2603
1.220000 59.025 -74.4488
1.241000 59.451 -76.1782
1.250000 59.631 -76.9013
1.265000 59.926 -78.0844
1.280000 60.217 -79.2423
1.315000 60.881 -81.8597
1.320000 60.974 -82.2254
1.340000 61.342 -83.6708
1.360000 61.706 -85.0928
1.380000 62.064 -86.4964
1.400000 62.419 -87.8864
1.430000 62.944 -89.9554
1.450000 63.290 -91.3289
1.475000 63.719 -93.0309
1.500000 64.138 -94.6849
1.525000 64.548 -96.2789
1.550000 64.947 -97.8190
1.575000 65.337 -99.3132
1.600000 65.719 -100.7697
1.625000 66.092 -102.1961
1.650000 66.458 -103.6000
1.675000 66.817 -104.9881
1.700000 67.169 -106.3668
1.725000 67.516 -107.7422
1.750000 67.858 -109.1195
1.775000 68.196 -110.5038
1.800000 68.530 -111.8994
1.825000 68.860 -113.3075
1.850000 69.186 -114.7187
1.875000 69.505 -116.1168
1.900000 69.819 -117.4950
1.925000 70.126 -118.8518
1.950000 70.427 -120.1876
1.975000 70.723 -121.5034
2.000000 71.014 -122.8008
2.030000 71.357 -124.3363
2.060000 71.693 -125.8524
2.090000 72.023 -127.3535
2.120000 72.348 -128.8445
2.140000 72.562 -129.8353
2.180000 72.983 -131.8152
2.200000 73.191 -132.8055
2.240000 73.599 -134.7788
2.270000 73.897 -136.2443
2.300000 74.190 -137.6938
2.330000 74.476 -139.1261
2.360000 74.757 -140.5408
2.400000 75.123 -142.4008
2.430000 75.392 -143.7780
2.470000 75.744 -145.5940
2.500000 76.003 -146.9441
2.540000 76.342 -148.7336
2.580000 76.674 -150.5174
2.620000 76.999 -152.2972
2.650000 77.236 -153.6261
2.690000 77.546 -155.3847
2.720000 77.773 -156.6910
2.760000 78.069 -158.4138
2.800000 78.358 -160.1137
2.850000 78.711 -162.2071
2.900000 79.054 -164.2697
2.950000 79.389 -166.3128
3.000000 79.713 -168.3516
3.040000 79.965 -169.9770
3.070000 80.149 -171.1889
3.110000 80.390 -172.7912
3.150000 80.625 -174.3746
3.200000 80.911 -176.3235
3.250000 81.189 -178.2374
3.300000 81.461 179.8785
3.350000 81.723 178.0061
3.400000 81.978 176.1374
3.450000 82.224 174.2806
3.500000 82.462 172.4452
3.550000 82.693 170.6389
3.600000 82.918 168.8669
3.650000 83.137 167.1296
3.700000 83.349 165.4146
3.750000 83.554 163.7071
3.820000 83.831 161.3336
3.870000 84.020 159.6609
3.950000 84.312 157.0433
4.000000 84.488 155.4506
4.060000 84.693 153.5762
4.120000 84.890 151.7208
4.180000 85.079 149.8822
4.250000 85.291 147.7706
4.310000 85.466 146.0004
4.370000 85.636 144.2735
4.440000 85.827 142.3054
4.500000 85.984 140.6418
4.550000 86.111 139.2707
4.620000 86.282 137.3813
4.680000 86.423 135.7968
4.750000 86.584 133.9944
4.820000 86.739 132.2339
4.870000 86.846 130.9942
4.940000 86.991 129.2830
5.000000 87.111 127.8422
5.080000 87.266 125.9645
5.150000 87.398 124.3629
5.220000 87.526 122.7914
5.300000 87.667 121.0265
5.380000 87.803 119.2973
5.450000 87.919 117.8165
5.520000 88.031 116.3651
5.600000 88.156 114.7354
5.700000 88.307 112.7375
5.800000 88.451 110.7869
5.900000 88.590 108.8837
6.000000 88.723 107.0183
6.080000 88.826 105.5523
6.150000 88.913 104.2908
6.220000 88.998 103.0497
6.300000 89.091 101.6531
6.400000 89.204 99.9350
6.500000 89.311 98.2512
6.600000 89.414 96.6059
6.700000 89.512 94.9942
6.800000 89.605 93.4125
6.900000 89.694 91.8654
7.000000 89.779 90.3550
7.100000 89.859 88.8762
7.200000 89.936 87.4281
7.300000 90.010 86.0138
7.400000 90.080 84.6329
7.500000 90.148 83.2818
7.620000 90.225 81.6993
7.750000 90.305 80.0335
7.880000 90.381 78.4139
8.000000 90.449 76.9574
8.120000 90.513 75.5366
8.250000 90.581 74.0344
8.380000 90.645 72.5686
8.500000 90.702 71.2460
8.620000 90.757 69.9506
8.750000 90.813 68.5773
8.850000 90.855 67.5414
9.000000 90.915 66.0188
9.120000 90.960 64.8280
9.250000 91.007 63.5648
9.380000 91.051 62.3282
9.500000 91.090 61.2105
9.620000 91.128 60.1155
9.750000 91.166 58.9533
9.880000 91.197 57.8157
10.000000 91.219 56.7867
10.150000 91.237 55.5270
10.300000 91.249 54.2948
10.440000 91.256 53.1679
10.600000 91.261 51.9046
10.750000 91.265 50.7417
10.900000 91.267 49.5978
11.060000 91.268 48.3965
11.200000 91.268 47.3599
11.380000 91.265 46.0467
11.500000 91.262 45.1826
11.720000 91.251 43.6230
11.800000 91.246 43.0642
12.060000 91.224 41.2805
12.200000 91.209 40.3436
12.410000 91.185 38.9730
12.500000 91.176 38.4006
12.650000 91.164 37.4675
12.800000 91.153 36.5633
13.150000 91.124 34.5774
13.200000 91.120 34.3082
13.400000 91.103 33.2671
13.600000 91.089 32.2764
13.800000 91.079 31.3273
14.000000 91.075 30.4029
14.300000 91.078 29.0292
14.500000 91.085 28.0982
14.750000 91.094 26.9001
15.000000 91.100 25.6606
15.250000 91.097 24.3926
15.500000 91.083 23.1238
15.750000 91.058 21.8837
16.000000 91.023 20.7004
16.250000 90.985 19.5871
16.500000 90.946 18.5433
16.750000 90.909 17.5570
17.000000 90.873 16.6126
17.250000 90.838 15.7014
17.500000 90.802 14.8237
17.750000 90.765 13.9906
18.000000 90.729 13.2111
18.250000 90.699 12.4846
18.500000 90.679 11.7900
18.750000 90.671 11.0876
19.000000 90.674 10.3312
19.250000 90.681 9.4819
19.500000 90.682 8.5342
19.750000 90.667 7.5171
20.000000 90.630 6.4941
20.299999 90.557 5.3715
20.600000 90.468 4.4703
20.900000 90.386 3.8259
21.200001 90.339 3.3588
21.400000 90.331 3.0620
21.799999 90.363 2.2739
22.000000 90.388 1.7211
22.400000 90.410 0.3293
22.700001 90.383 -0.8013
23.000000 90.320 -1.8155
23.299999 90.241 -2.5930
23.600000 90.174 -3.1255
24.000000 90.137 -3.6584
24.299999 90.149 -4.1404
24.700001 90.178 -5.0858
25.000000 90.176 -5.9852
25.400000 90.120 -7.1990
25.799999 90.019 -8.1474
26.200001 89.922 -8.7285
26.500000 89.876 -9.0244
26.900000 89.853 -9.4623
27.200001 89.845 -9.9249
27.600000 89.817 -10.6938
28.000000 89.752 -11.4517
28.500000 89.650 -12.1057
29.000000 89.588 -12.4775
29.500000 89.592 -13.0016
30.000000 89.604 -14.0128
30.400000 89.567 -15.0848
30.700001 89.500 -15.8779
31.100000 89.371 -16.7046
31.500000 89.235 -17.1372
32.000000 89.122 -17.2560
32.500000 89.101 -17.3842
33.000000 89.124 -17.9331
33.500000 89.123 -18.8719
34.000000 89.072 -19.8857
34.500000 88.993 -20.7378
35.000000 88.918 -21.4340
35.500000 88.851 -22.0875
36.000000 88.782 -22.7340
36.500000 88.707 -23.3270
37.000000 88.636 -23.8527
37.500000 88.573 -24.3612
38.200001 88.486 -25.1014
38.700001 88.420 -25.6132
39.500000 88.321 -26.3842
40.000000 88.265 -26.8907
40.599998 88.193 -27.5265
41.200001 88.114 -28.1156
41.799999 88.042 -28.6287
42.500000 87.975 -29.2299
43.099998 87.920 -29.8200
43.700001 87.854 -30.4330
44.400002 87.765 -31.0510
45.000000 87.695 -31.4803
45.500000 87.645 -31.8247
46.200001 87.579 -32.3596
46.799999 87.516 -32.8481
47.500000 87.436 -33.3925
48.200001 87.353 -33.9006
48.700001 87.294 -34.2483
49.400002 87.212 -34.7109
50.000000 87.145 -35.0928
50.799999 87.061 -35.6149
51.500000 86.987 -36.0825
52.200001 86.911 -36.5231
53.000000 86.828 -36.9806
53.799999 86.751 -37.4279
54.500000 86.684 -37.8242
55.200001 86.615 -38.2031
56.000000 86.538 -38.6057
57.000000 86.445 -39.1039
58.000000 86.352 -39.6147
59.000000 86.255 -40.1133
60.000000 86.157 -40.5810
60.799999 86.081 -40.9352
61.500000 86.017 -41.2438
62.200001 85.955 -41.5602
63.000000 85.883 -41.9283
64.000000 85.794 -42.3833
65.000000 85.706 -42.8501
66.000000 85.609 -43.2979
67.000000 85.512 -43.5930
68.000000 85.441 -43.8418
69.000000 85.374 -44.2093
70.000000 85.295 -44.5548
71.000000 85.219 -44.8498
72.000000 85.140 -45.1595
73.000000 85.057 -45.4240
74.000000 84.979 -45.6191
75.000000 84.917 -45.8132
76.199997 84.852 -46.1879
77.500000 84.770 -46.6583
78.800003 84.683 -47.1178
80.000000 84.598 -47.4894
81.199997 84.520 -47.8199
82.500000 84.435 -48.2036
83.800003 84.342 -48.5428
85.000000 84.263 -48.7811
86.199997 84.194 -49.0204
87.500000 84.123 -49.3009
88.500000 84.069 -49.5282
90.000000 83.980 -49.8810
91.199997 83.904 -50.1084
92.500000 83.825 -50.3445
93.800003 83.746 -50.6166
95.000000 83.667 -50.8552
96.199997 83.595 -51.0463
97.500000 83.525 -51.2749
98.800003 83.456 -51.5042
100.000000 83.397 -51.6999
101.500000 83.325 -51.9709
103.000000 83.246 -52.2386
104.400002 83.174 -52.4471
106.000000 83.098 -52.6931
107.500000 83.028 -52.9570
109.000000 82.951 -53.1951
110.599998 82.872 -53.3687
112.000000 82.805 -53.5121
113.800003 82.722 -53.6992
115.000000 82.667 -53.8386
117.199997 82.565 -54.0689
118.000000 82.530 -54.1339
120.599998 82.429 -54.3037
122.000000 82.378 -54.4507
124.099998 82.295 -54.6178
125.000000 82.266 -54.6829
126.500000 82.221 -54.8915
128.000000 82.164 -55.1472
131.500000 82.018 -55.4225
132.000000 82.002 -55.4225
134.000000 81.958 -55.5092
136.000000 81.905 -55.8165
138.000000 81.837 -56.0732
140.000000 81.773 -56.2917
143.000000 81.684 -56.5548
145.000000 81.628 -56.6794
147.500000 81.565 -56.8709
150.000000 81.502 -57.0581
152.500000 81.443 -57.2269
155.000000 81.371 -57.4281
157.500000 81.298 -57.5995
160.000000 81.235 -57.8822
162.500000 81.159 -58.1574
165.000000 81.078 -58.2884
167.500000 81.002 -58.4166
170.000000 80.930 -58.5991
172.500000 80.863 -58.7932
175.000000 80.798 -58.9579
177.500000 80.731 -59.0973
180.000000 80.664 -59.2317
182.500000 80.600 -59.3854
185.000000 80.537 -59.5517
187.500000 80.474 -59.7056
190.000000 80.412 -59.8564
192.500000 80.349 -60.0101
195.000000 80.288 -60.1443
197.500000 80.232 -60.2762
200.000000 80.178 -60.4103
203.000000 80.119 -60.5669
206.000000 80.066 -60.7297
209.000000 80.018 -60.8909
212.000000 79.973 -61.0460
214.000000 79.943 -61.1489
218.000000 79.887 -61.3634
220.000000 79.860 -61.4787
224.000000 79.805 -61.6938
227.000000 79.765 -61.8557
230.000000 79.724 -62.0100
233.000000 79.686 -62.1675
236.000000 79.651 -62.3233
240.000000 79.607 -62.5248
243.000000 79.571 -62.6768
247.000000 79.521 -62.8834
250.000000 79.481 -63.0321
254.000000 79.428 -63.2090
258.000000 79.377 -63.3839
262.000000 79.330 -63.5875
265.000000 79.295 -63.7616
269.000000 79.252 -63.9604
272.000000 79.224 -64.1105
276.000000 79.187 -64.3367
280.000000 79.144 -64.5407
285.000000 79.084 -64.7470
290.000000 79.022 -64.9640
295.000000 78.967 -65.1808
300.000000 78.917 -65.3677
304.000000 78.882 -65.5074
307.000000 78.860 -65.6013
