* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 27, 25 10:48:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qtx L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.980 95.9056
1.015000 45.331 93.4232
1.030000 45.681 91.0163
1.044000 46.005 88.8305
1.060000 46.372 86.3956
1.075000 46.710 84.1670
1.090000 47.044 81.9864
1.106000 47.397 79.7216
1.120000 47.710 77.8135
1.138000 48.119 75.4782
1.150000 48.397 73.9958
1.172000 48.914 71.4279
1.180000 49.105 70.5400
1.206000 49.731 67.8117
1.220000 50.071 66.4349
1.241000 50.584 64.4785
1.250000 50.805 63.6768
1.265000 51.172 62.3851
1.280000 51.539 61.1446
1.315000 52.387 58.4220
1.320000 52.507 58.0502
1.340000 52.983 56.5997
1.360000 53.451 55.2013
1.380000 53.909 53.8464
1.400000 54.355 52.5276
1.430000 54.997 50.6025
1.450000 55.406 49.3465
1.475000 55.895 47.8073
1.500000 56.363 46.3192
1.525000 56.815 44.8890
1.550000 57.251 43.5130
1.575000 57.673 42.1862
1.600000 58.082 40.9032
1.625000 58.478 39.6592
1.650000 58.863 38.4490
1.675000 59.238 37.2682
1.700000 59.605 36.1122
1.725000 59.963 34.9769
1.750000 60.314 33.8583
1.775000 60.658 32.7530
1.800000 60.998 31.6573
1.825000 61.334 30.5688
1.850000 61.663 29.4870
1.875000 61.983 28.4151
1.900000 62.294 27.3561
1.925000 62.595 26.3126
1.950000 62.889 25.2861
1.975000 63.174 24.2778
2.000000 63.452 23.2884
2.030000 63.778 22.1262
2.060000 64.095 20.9913
2.090000 64.404 19.8829
2.120000 64.707 18.8000
2.140000 64.906 18.0917
2.180000 65.298 16.7042
2.200000 65.491 16.0231
2.240000 65.867 14.6766
2.270000 66.139 13.6788
2.300000 66.403 12.6932
2.330000 66.661 11.7220
2.360000 66.911 10.7670
2.400000 67.235 9.5214
2.430000 67.473 8.6093
2.470000 67.782 7.4241
2.500000 68.010 6.5591
2.540000 68.309 5.4377
2.580000 68.602 4.3489
2.620000 68.887 3.2829
2.650000 69.095 2.4959
2.690000 69.364 1.4638
2.720000 69.561 0.7032
2.760000 69.819 -0.2917
2.800000 70.070 -1.2638
2.850000 70.378 -2.4452
2.900000 70.681 -3.5877
2.950000 70.980 -4.6911
3.000000 71.271 -5.7590
3.040000 71.498 -6.5914
3.070000 71.666 -7.2047
3.110000 71.886 -8.0095
3.150000 72.102 -8.8014
3.200000 72.369 -9.7756
3.250000 72.633 -10.7351
3.300000 72.894 -11.6798
3.350000 73.153 -12.6037
3.400000 73.407 -13.5049
3.450000 73.658 -14.3896
3.500000 73.906 -15.2651
3.550000 74.150 -16.1379
3.600000 74.392 -17.0142
3.650000 74.631 -17.8969
3.700000 74.868 -18.7819
3.750000 75.103 -19.6611
3.820000 75.427 -20.8845
3.870000 75.655 -21.7590
3.950000 76.012 -23.1732
4.000000 76.231 -24.0731
4.060000 76.489 -25.1713
4.120000 76.742 -26.2826
4.180000 76.990 -27.4019
4.250000 77.272 -28.7155
4.310000 77.508 -29.8489
4.370000 77.736 -30.9914
4.440000 77.993 -32.3426
4.500000 78.207 -33.5189
4.550000 78.380 -34.5066
4.620000 78.614 -35.8905
4.680000 78.807 -37.0699
4.750000 79.022 -38.4340
4.820000 79.228 -39.7969
4.870000 79.368 -40.7765
4.940000 79.555 -42.1476
5.000000 79.709 -43.3098
5.080000 79.904 -44.8220
5.150000 80.064 -46.1064
5.220000 80.216 -47.3717
5.300000 80.378 -48.7982
5.380000 80.530 -50.1852
5.450000 80.657 -51.3497
5.520000 80.779 -52.4625
5.600000 80.911 -53.6845
5.700000 81.066 -55.1475
5.800000 81.216 -56.5293
5.900000 81.364 -57.8158
6.000000 81.510 -59.0101
6.080000 81.626 -59.9147
6.150000 81.730 -60.6791
6.220000 81.836 -61.4218
6.300000 81.961 -62.2390
6.400000 82.122 -63.2150
6.500000 82.288 -64.1741
6.600000 82.460 -65.1489
6.700000 82.639 -66.1357
6.800000 82.823 -67.1335
6.900000 83.008 -68.1685
7.000000 83.193 -69.2604
7.100000 83.378 -70.4031
7.200000 83.561 -71.5883
7.300000 83.737 -72.8180
7.400000 83.905 -74.0995
7.500000 84.065 -75.4285
7.620000 84.245 -77.0549
7.750000 84.419 -78.8354
7.880000 84.573 -80.6436
8.000000 84.697 -82.2960
8.120000 84.804 -83.9008
8.250000 84.900 -85.5963
8.380000 84.980 -87.2148
8.500000 85.041 -88.6116
8.620000 85.092 -89.9229
8.750000 85.139 -91.2407
8.850000 85.174 -92.1719
9.000000 85.224 -93.4420
9.120000 85.265 -94.3672
9.250000 85.316 -95.2860
9.380000 85.373 -96.1272
9.500000 85.432 -96.8630
9.620000 85.498 -97.5743
9.750000 85.576 -98.3225
9.880000 85.655 -99.0713
10.000000 85.725 -99.7750
10.150000 85.809 -100.6716
10.300000 85.889 -101.5957
10.440000 85.958 -102.4852
10.600000 86.031 -103.5217
10.750000 86.092 -104.5057
10.900000 86.147 -105.4938
11.060000 86.198 -106.5349
11.200000 86.236 -107.4310
11.380000 86.276 -108.5488
11.500000 86.298 -109.2680
11.720000 86.329 -110.5254
11.800000 86.339 -110.9604
12.060000 86.361 -112.2887
12.200000 86.371 -112.9454
12.410000 86.386 -113.8527
12.500000 86.396 -114.2126
12.650000 86.419 -114.7753
12.800000 86.448 -115.2981
13.150000 86.539 -116.4066
13.200000 86.556 -116.5602
13.400000 86.627 -117.1808
13.600000 86.710 -117.8474
13.800000 86.800 -118.5923
14.000000 86.891 -119.4398
14.300000 87.014 -120.9078
14.500000 87.076 -121.9927
14.750000 87.124 -123.3964
15.000000 87.136 -124.7677
15.250000 87.117 -126.0044
15.500000 87.079 -127.0361
15.750000 87.040 -127.8372
16.000000 87.017 -128.4348
16.250000 87.022 -128.9136
16.500000 87.059 -129.3733
16.750000 87.121 -129.9109
17.000000 87.193 -130.5812
17.250000 87.264 -131.3881
17.500000 87.322 -132.2963
17.750000 87.362 -133.2419
18.000000 87.385 -134.1639
18.250000 87.396 -135.0148
18.500000 87.403 -135.7749
18.750000 87.412 -136.4534
19.000000 87.429 -137.0764
19.250000 87.453 -137.6791
19.500000 87.482 -138.2867
19.750000 87.513 -138.9104
20.000000 87.541 -139.5461
20.299999 87.570 -140.3042
20.600000 87.593 -141.0315
20.900000 87.613 -141.7115
21.200001 87.633 -142.3453
21.400000 87.648 -142.7491
21.799999 87.681 -143.5338
22.000000 87.699 -143.9220
22.400000 87.732 -144.6965
22.700001 87.755 -145.2719
23.000000 87.775 -145.8378
23.299999 87.794 -146.3915
23.600000 87.811 -146.9335
24.000000 87.833 -147.6415
24.299999 87.849 -148.1662
24.700001 87.870 -148.8686
25.000000 87.886 -149.4069
25.400000 87.903 -150.1506
25.799999 87.912 -150.9167
26.200001 87.908 -151.6686
26.500000 87.898 -152.1903
26.900000 87.880 -152.7973
27.200001 87.871 -153.1869
27.600000 87.870 -153.6578
28.000000 87.883 -154.1372
28.500000 87.907 -154.8134
29.000000 87.924 -155.5499
29.500000 87.931 -156.2628
30.000000 87.940 -156.9245
30.400000 87.952 -157.4512
30.700001 87.962 -157.8640
31.100000 87.971 -158.4388
31.500000 87.973 -159.0170
32.000000 87.965 -159.6976
32.500000 87.955 -160.3160
33.000000 87.944 -160.8932
33.500000 87.932 -161.4372
34.000000 87.918 -161.9314
34.500000 87.911 -162.3783
35.000000 87.912 -162.8239
35.500000 87.919 -163.3157
36.000000 87.922 -163.8550
36.500000 87.918 -164.4069
37.000000 87.910 -164.9466
37.500000 87.900 -165.4727
38.200001 87.879 -166.1742
38.700001 87.863 -166.6233
39.500000 87.849 -167.2778
40.000000 87.848 -167.7106
40.599998 87.843 -168.2731
41.200001 87.828 -168.8171
41.799999 87.813 -169.2964
42.500000 87.805 -169.8377
43.099998 87.799 -170.3522
43.700001 87.783 -170.8812
44.400002 87.753 -171.4180
45.000000 87.731 -171.8014
45.500000 87.719 -172.1110
46.200001 87.705 -172.5721
46.799999 87.690 -172.9693
47.500000 87.674 -173.4069
48.200001 87.664 -173.8662
48.700001 87.655 -174.2349
49.400002 87.632 -174.7642
50.000000 87.605 -175.1559
50.799999 87.578 -175.5742
51.500000 87.568 -175.9511
52.200001 87.557 -176.3874
53.000000 87.536 -176.8730
53.799999 87.515 -177.3287
54.500000 87.492 -177.7389
55.200001 87.461 -178.0969
56.000000 87.433 -178.4315
57.000000 87.407 -178.9668
58.000000 87.354 -179.4684
59.000000 87.329 -179.8065
60.000000 87.322 179.5425
60.799999 87.275 178.9592
61.500000 87.222 178.6545
62.200001 87.186 178.4737
63.000000 87.162 178.2205
64.000000 87.122 177.8531
65.000000 87.084 177.5815
66.000000 87.058 177.2382
67.000000 87.026 176.8706
68.000000 87.014 176.4250
69.000000 86.986 175.7969
70.000000 86.943 175.3411
71.000000 86.921 174.9570
72.000000 86.891 174.6575
73.000000 86.879 174.5261
74.000000 86.869 174.3137
75.000000 86.842 174.2294
76.199997 86.850 174.0300
77.500000 86.816 173.1404
78.800003 86.674 172.3078
80.000000 86.550 172.1439
81.199997 86.516 172.0148
82.500000 86.497 171.4952
83.800003 86.447 171.0438
85.000000 86.400 170.8209
86.199997 86.364 170.6350
87.500000 86.334 170.3284
88.500000 86.306 169.9874
90.000000 86.252 169.4576
91.199997 86.211 169.0978
92.500000 86.170 168.7775
93.800003 86.132 168.5142
95.000000 86.092 168.2858
96.199997 86.046 168.0653
97.500000 85.994 167.8091
98.800003 85.944 167.5135
100.000000 85.898 167.2340
101.500000 85.846 166.9168
103.000000 85.797 166.6400
104.400002 85.748 166.4152
106.000000 85.686 166.1866
107.500000 85.626 165.9836
109.000000 85.570 165.7512
110.599998 85.513 165.4913
112.000000 85.465 165.2603
113.800003 85.401 164.9860
115.000000 85.357 164.8195
117.199997 85.274 164.5339
118.000000 85.244 164.4384
120.599998 85.152 164.1407
122.000000 85.102 163.9862
124.099998 85.029 163.7609
125.000000 84.998 163.6699
126.500000 84.949 163.5131
128.000000 84.901 163.3395
131.500000 84.791 163.0552
132.000000 84.777 163.0133
134.000000 84.716 162.8062
136.000000 84.644 162.6206
138.000000 84.575 162.4856
140.000000 84.513 162.3250
143.000000 84.424 162.0860
145.000000 84.365 161.9610
147.500000 84.290 161.8287
150.000000 84.214 161.7202
152.500000 84.136 161.5989
155.000000 84.052 161.5067
157.500000 83.972 161.4420
160.000000 83.893 161.3517
162.500000 83.808 161.2521
165.000000 83.715 161.1467
167.500000 83.618 161.0874
170.000000 83.524 161.0873
172.500000 83.433 161.0668
175.000000 83.341 161.0183
177.500000 83.251 160.9859
180.000000 83.162 161.0500
182.500000 83.070 161.1579
185.000000 82.971 161.2504
187.500000 82.874 161.3691
190.000000 82.785 161.5992
192.500000 82.712 161.9333
195.000000 82.661 162.2467
197.500000 82.632 162.4674
200.000000 82.616 162.5621
203.000000 82.582 162.5042
206.000000 82.530 162.3775
209.000000 82.481 162.2736
212.000000 82.427 162.2036
214.000000 82.383 162.1737
218.000000 82.286 162.0941
220.000000 82.238 162.0929
224.000000 82.146 162.1616
227.000000 82.074 162.2210
230.000000 82.000 162.3129
233.000000 81.932 162.4095
236.000000 81.868 162.4805
240.000000 81.785 162.5704
243.000000 81.724 162.6709
247.000000 81.643 162.7897
250.000000 81.579 162.9187
254.000000 81.489 163.1353
258.000000 81.392 163.3328
262.000000 81.306 163.5518
265.000000 81.248 163.7295
269.000000 81.159 164.0132
272.000000 81.086 164.2245
276.000000 81.001 164.5122
280.000000 80.944 164.8770
285.000000 80.883 165.2916
290.000000 80.818 165.5338
295.000000 80.753 165.7960
300.000000 80.680 166.0540
304.000000 80.618 166.2772
307.000000 80.577 166.4789
311.000000 80.529 166.7762
315.000000 80.482 167.0562
320.000000 80.416 167.3790
325.000000 80.351 167.6790
