* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 27, 25 10:46:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qtx R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.843 22.0152
1.015000 52.980 21.8115
1.030000 53.116 21.6119
1.044000 53.244 21.4296
1.060000 53.390 21.2262
1.075000 53.526 21.0404
1.090000 53.663 20.8594
1.106000 53.809 20.6707
1.120000 53.936 20.5075
1.138000 54.097 20.2991
1.150000 54.203 20.1610
1.172000 54.396 19.9100
1.180000 54.466 19.8195
1.206000 54.690 19.5287
1.220000 54.810 19.3744
1.241000 54.989 19.1463
1.250000 55.065 19.0499
1.265000 55.192 18.8912
1.280000 55.318 18.7352
1.315000 55.612 18.3824
1.320000 55.654 18.3334
1.340000 55.822 18.1411
1.360000 55.990 17.9550
1.380000 56.158 17.7757
1.400000 56.328 17.6035
1.430000 56.585 17.3592
1.450000 56.757 17.2066
1.475000 56.975 17.0311
1.500000 57.194 16.8799
1.525000 57.413 16.7518
1.550000 57.633 16.6414
1.575000 57.853 16.5427
1.600000 58.074 16.4506
1.625000 58.296 16.3603
1.650000 58.518 16.2676
1.675000 58.740 16.1685
1.700000 58.963 16.0597
1.725000 59.187 15.9382
1.750000 59.412 15.8013
1.775000 59.637 15.6467
1.800000 59.862 15.4729
1.825000 60.089 15.2814
1.850000 60.317 15.0841
1.875000 60.546 14.8956
1.900000 60.777 14.7169
1.925000 61.009 14.5436
1.950000 61.242 14.3705
1.975000 61.475 14.1930
2.000000 61.709 14.0072
2.030000 61.990 13.7680
2.060000 62.270 13.5059
2.090000 62.550 13.2162
2.120000 62.828 12.8948
2.140000 63.012 12.6614
2.180000 63.378 12.1469
2.200000 63.560 11.8695
2.240000 63.922 11.3026
2.270000 64.193 10.8784
2.300000 64.463 10.4530
2.330000 64.733 10.0220
2.360000 65.001 9.5814
2.400000 65.356 8.9728
2.430000 65.620 8.4962
2.470000 65.968 7.8286
2.500000 66.226 7.3006
2.540000 66.564 6.5574
2.580000 66.897 5.7752
2.620000 67.224 4.9756
2.650000 67.467 4.3712
2.690000 67.787 3.5591
2.720000 68.024 2.9443
2.760000 68.335 2.1151
2.800000 68.642 1.2729
2.850000 69.017 0.1977
2.900000 69.384 -0.9065
2.950000 69.742 -2.0406
3.000000 70.090 -3.1941
3.040000 70.363 -4.1241
3.070000 70.564 -4.8240
3.110000 70.827 -5.7589
3.150000 71.086 -6.6945
3.200000 71.402 -7.8640
3.250000 71.710 -9.0336
3.300000 72.010 -10.2051
3.350000 72.303 -11.3823
3.400000 72.587 -12.5641
3.450000 72.863 -13.7450
3.500000 73.133 -14.9195
3.550000 73.395 -16.0836
3.600000 73.651 -17.2343
3.650000 73.901 -18.3712
3.700000 74.145 -19.4993
3.750000 74.382 -20.6242
3.820000 74.702 -22.1897
3.870000 74.924 -23.2951
3.950000 75.269 -25.0306
4.000000 75.478 -26.0907
4.060000 75.723 -27.3405
4.120000 75.961 -28.5748
4.180000 76.192 -29.7948
4.250000 76.453 -31.1949
4.310000 76.671 -32.3703
4.370000 76.884 -33.5203
4.440000 77.127 -34.8323
4.500000 77.329 -35.9380
4.550000 77.494 -36.8469
4.620000 77.720 -38.0988
4.680000 77.909 -39.1511
4.750000 78.125 -40.3535
4.820000 78.337 -41.5308
4.870000 78.485 -42.3588
4.940000 78.688 -43.5011
5.000000 78.859 -44.4648
5.080000 79.082 -45.7280
5.150000 79.274 -46.8136
5.220000 79.462 -47.8824
5.300000 79.672 -49.0855
5.380000 79.878 -50.2710
5.450000 80.054 -51.2956
5.520000 80.228 -52.3092
5.600000 80.423 -53.4550
5.700000 80.660 -54.8704
5.800000 80.892 -56.2716
5.900000 81.117 -57.6626
6.000000 81.337 -59.0445
6.080000 81.508 -60.1447
6.150000 81.655 -61.1047
6.220000 81.798 -62.0639
6.300000 81.958 -63.1607
6.400000 82.152 -64.5327
6.500000 82.338 -65.9033
6.600000 82.517 -67.2730
6.700000 82.687 -68.6478
6.800000 82.850 -70.0255
6.900000 83.003 -71.3960
7.000000 83.147 -72.7581
7.100000 83.281 -74.1199
7.200000 83.405 -75.4718
7.300000 83.519 -76.7969
7.400000 83.622 -78.0957
7.500000 83.715 -79.3744
7.620000 83.814 -80.8600
7.750000 83.907 -82.3829
7.880000 83.985 -83.8249
8.000000 84.048 -85.0705
8.120000 84.105 -86.2137
8.250000 84.160 -87.3427
8.380000 84.215 -88.3665
8.500000 84.270 -89.2143
8.620000 84.329 -89.9746
8.750000 84.402 -90.7345
8.850000 84.467 -91.2876
9.000000 84.579 -92.0728
9.120000 84.679 -92.7060
9.250000 84.800 -93.4287
9.380000 84.932 -94.1923
9.500000 85.057 -94.9580
9.620000 85.185 -95.7983
9.750000 85.323 -96.7839
9.880000 85.450 -97.8407
10.000000 85.553 -98.8807
10.150000 85.662 -100.2466
10.300000 85.750 -101.6428
10.440000 85.812 -102.9625
10.600000 85.864 -104.4470
10.750000 85.896 -105.7797
10.900000 85.916 -107.0482
11.060000 85.931 -108.3031
11.200000 85.940 -109.3166
11.380000 85.953 -110.5245
11.500000 85.967 -111.2758
11.720000 86.000 -112.5909
11.800000 86.016 -113.0633
12.060000 86.075 -114.6088
12.200000 86.106 -115.4720
12.410000 86.149 -116.7999
12.500000 86.165 -117.3739
12.650000 86.187 -118.3283
12.800000 86.200 -119.2458
13.150000 86.186 -121.0884
13.200000 86.180 -121.3016
13.400000 86.157 -122.0054
13.600000 86.144 -122.4730
13.800000 86.155 -122.7288
14.000000 86.204 -122.8694
14.300000 86.353 -123.0898
14.500000 86.493 -123.4111
14.750000 86.688 -124.1272
15.000000 86.875 -125.2111
15.250000 87.024 -126.5817
15.500000 87.118 -128.0805
15.750000 87.158 -129.5469
16.000000 87.156 -130.8334
16.250000 87.134 -131.8677
16.500000 87.114 -132.6554
16.750000 87.112 -133.2738
17.000000 87.132 -133.8429
17.250000 87.169 -134.4604
17.500000 87.207 -135.1782
17.750000 87.232 -135.9765
18.000000 87.238 -136.7899
18.250000 87.224 -137.5387
18.500000 87.202 -138.1644
18.750000 87.186 -138.6646
19.000000 87.187 -139.0870
19.250000 87.211 -139.5251
19.500000 87.250 -140.0637
19.750000 87.291 -140.7484
20.000000 87.319 -141.5652
20.299999 87.318 -142.6120
20.600000 87.276 -143.5596
20.900000 87.212 -144.2450
21.200001 87.158 -144.6060
21.400000 87.143 -144.7045
21.799999 87.191 -144.8178
22.000000 87.249 -144.9660
22.400000 87.399 -145.6650
22.700001 87.501 -146.5481
23.000000 87.568 -147.6207
23.299999 87.592 -148.7225
23.600000 87.583 -149.7130
24.000000 87.549 -150.7411
24.299999 87.530 -151.3148
24.700001 87.528 -151.9577
25.000000 87.541 -152.4441
25.400000 87.561 -153.1563
25.799999 87.568 -153.8999
26.200001 87.562 -154.5909
26.500000 87.556 -155.0480
26.900000 87.552 -155.5971
27.200001 87.556 -156.0002
27.600000 87.566 -156.5729
28.000000 87.571 -157.1951
28.500000 87.562 -157.9851
29.000000 87.542 -158.6993
29.500000 87.525 -159.3132
30.000000 87.521 -159.8933
30.400000 87.524 -160.3856
30.700001 87.526 -160.7774
31.100000 87.525 -161.3082
31.500000 87.520 -161.8156
32.000000 87.516 -162.3979
32.500000 87.523 -162.9701
33.000000 87.533 -163.5998
33.500000 87.532 -164.2834
34.000000 87.515 -164.9429
34.500000 87.488 -165.5087
35.000000 87.462 -165.9731
35.500000 87.441 -166.3608
36.000000 87.430 -166.6910
36.500000 87.436 -167.0037
37.000000 87.460 -167.3898
37.500000 87.490 -167.9390
38.200001 87.502 -168.9383
38.700001 87.478 -169.6411
39.500000 87.420 -170.5013
40.000000 87.390 -170.8997
40.599998 87.367 -171.3054
41.200001 87.360 -171.6715
41.799999 87.372 -172.0815
42.500000 87.387 -172.7068
43.099998 87.383 -173.2845
43.700001 87.369 -173.7921
44.400002 87.359 -174.3444
45.000000 87.346 -174.8474
45.500000 87.325 -175.2304
46.200001 87.298 -175.6297
46.799999 87.296 -175.9589
47.500000 87.299 -176.5121
48.200001 87.275 -177.1516
48.700001 87.246 -177.5515
49.400002 87.205 -178.0253
50.000000 87.173 -178.4014
50.799999 87.132 -178.8609
51.500000 87.105 -179.2448
52.200001 87.080 -179.6602
53.000000 87.046 179.9037
53.799999 87.026 179.5402
54.500000 87.021 179.1727
55.200001 87.012 178.7495
56.000000 86.997 178.2538
57.000000 86.961 177.6023
58.000000 86.895 177.1914
59.000000 86.877 176.9515
60.000000 86.871 176.2977
60.799999 86.819 175.6732
61.500000 86.757 175.2893
62.200001 86.704 175.0605
63.000000 86.672 174.8678
64.000000 86.661 174.5057
65.000000 86.643 174.0907
66.000000 86.626 173.7955
67.000000 86.613 173.5648
68.000000 86.607 173.3901
69.000000 86.604 173.0413
70.000000 86.563 172.5866
71.000000 86.505 172.2232
72.000000 86.450 171.8428
73.000000 86.396 171.4476
74.000000 86.353 171.0485
75.000000 86.319 170.6383
76.199997 86.284 170.1639
77.500000 86.246 169.6852
78.800003 86.202 169.2613
80.000000 86.155 168.9135
81.199997 86.107 168.5720
82.500000 86.056 168.2162
83.800003 86.015 167.8422
85.000000 85.974 167.4770
86.199997 85.931 167.1884
87.500000 85.888 166.8704
88.500000 85.846 166.6238
90.000000 85.778 166.3174
91.199997 85.731 166.0968
92.500000 85.687 165.7846
93.800003 85.635 165.4855
95.000000 85.598 165.2580
96.199997 85.558 164.9371
97.500000 85.497 164.6635
98.800003 85.445 164.5083
100.000000 85.412 164.3125
101.500000 85.367 163.9446
103.000000 85.305 163.5746
104.400002 85.236 163.3201
106.000000 85.161 163.1447
107.500000 85.100 162.9889
109.000000 85.045 162.7970
110.599998 84.989 162.5681
112.000000 84.944 162.3639
113.800003 84.884 162.0983
115.000000 84.842 161.9457
117.199997 84.762 161.7043
118.000000 84.734 161.6172
120.599998 84.643 161.3360
122.000000 84.599 161.1778
124.099998 84.530 160.9001
125.000000 84.495 160.8088
126.500000 84.440 160.6956
128.000000 84.384 160.5969
131.500000 84.277 160.3029
132.000000 84.258 160.2617
134.000000 84.191 160.2995
136.000000 84.157 160.2755
138.000000 84.107 159.9714
140.000000 84.037 159.6295
143.000000 83.952 159.3595
145.000000 83.905 159.4302
147.500000 83.828 159.6594
150.000000 83.722 159.7119
152.500000 83.627 159.6000
155.000000 83.571 159.4990
157.500000 83.521 159.4548
160.000000 83.448 159.4241
162.500000 83.365 159.3578
165.000000 83.285 159.2884
167.500000 83.203 159.2664
170.000000 83.116 159.2631
172.500000 83.032 159.2538
175.000000 82.953 159.2584
177.500000 82.875 159.2828
180.000000 82.795 159.3044
182.500000 82.716 159.3353
185.000000 82.639 159.3755
187.500000 82.563 159.4131
190.000000 82.484 159.4515
192.500000 82.406 159.5277
195.000000 82.332 159.6105
197.500000 82.259 159.6777
200.000000 82.188 159.7476
203.000000 82.106 159.8519
206.000000 82.029 159.9952
209.000000 81.960 160.1700
212.000000 81.901 160.3382
214.000000 81.862 160.4200
218.000000 81.773 160.5638
220.000000 81.729 160.6418
224.000000 81.649 160.8265
227.000000 81.585 161.0291
230.000000 81.517 161.2460
233.000000 81.451 161.4420
236.000000 81.388 161.6510
240.000000 81.304 161.9398
243.000000 81.244 162.1593
247.000000 81.178 162.4754
250.000000 81.130 162.7044
254.000000 81.063 162.9853
258.000000 80.993 163.2769
262.000000 80.918 163.5673
265.000000 80.862 163.7746
269.000000 80.793 164.0725
272.000000 80.741 164.3174
276.000000 80.668 164.6340
280.000000 80.595 164.9407
285.000000 80.507 165.3733
290.000000 80.427 165.8162
295.000000 80.348 166.3152
300.000000 80.279 166.7868
304.000000 80.228 167.1494
307.000000 80.188 167.4192
311.000000 80.132 167.7896
315.000000 80.076 168.1701
320.000000 80.013 168.6254
325.000000 79.954 169.0710
330.000000 79.899 169.5269
