* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:17:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: septet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 34.691 -107.4739
1.015000 34.539 -113.0633
1.030000 34.425 -118.9063
1.044000 34.356 -124.5606
1.060000 34.326 -131.2139
1.075000 34.349 -137.5826
1.090000 34.424 -144.0160
1.106000 34.568 -150.8657
1.120000 34.748 -156.7450
1.138000 35.050 -163.9697
1.150000 35.293 -168.5010
1.172000 35.815 -176.1130
1.180000 36.028 -178.6496
1.206000 36.792 173.9281
1.220000 37.244 170.4118
1.241000 37.967 165.6837
1.250000 38.290 163.8349
1.265000 38.844 160.9603
1.280000 39.412 158.3136
1.315000 40.773 152.8572
1.320000 40.970 152.1459
1.340000 41.752 149.4391
1.360000 42.523 146.9226
1.380000 43.273 144.5607
1.400000 43.992 142.3243
1.430000 44.992 139.1544
1.450000 45.594 137.1397
1.475000 46.277 134.7375
1.500000 46.916 132.5175
1.525000 47.530 130.4829
1.550000 48.124 128.6016
1.575000 48.699 126.8413
1.600000 49.255 125.1747
1.625000 49.795 123.5784
1.650000 50.319 122.0328
1.675000 50.830 120.5215
1.700000 51.327 119.0306
1.725000 51.814 117.5489
1.750000 52.291 116.0667
1.775000 52.759 114.5762
1.800000 53.220 113.0718
1.825000 53.674 111.5540
1.850000 54.119 110.0443
1.875000 54.550 108.5731
1.900000 54.968 107.1483
1.925000 55.373 105.7664
1.950000 55.767 104.4219
1.975000 56.149 103.1094
2.000000 56.521 101.8231
2.030000 56.957 100.3067
2.060000 57.381 98.8116
2.090000 57.796 97.3294
2.120000 58.204 95.8523
2.140000 58.472 94.8670
2.180000 59.003 92.8881
2.200000 59.265 91.8958
2.240000 59.779 89.9309
2.270000 60.153 88.4886
2.300000 60.517 87.0743
2.330000 60.873 85.6859
2.360000 61.221 84.3203
2.400000 61.672 82.5289
2.430000 62.004 81.2026
2.470000 62.436 79.4497
2.500000 62.754 78.1417
2.540000 63.172 76.3998
2.580000 63.582 74.6591
2.620000 63.982 72.9319
2.650000 64.274 71.6516
2.690000 64.655 69.9670
2.720000 64.934 68.7205
2.760000 65.297 67.0801
2.800000 65.653 65.4621
2.850000 66.086 63.4658
2.900000 66.510 61.4910
2.950000 66.924 59.5302
3.000000 67.325 57.5843
3.040000 67.638 56.0435
3.070000 67.867 54.8992
3.110000 68.167 53.3902
3.150000 68.460 51.9008
3.200000 68.818 50.0663
3.250000 69.168 48.2600
3.300000 69.511 46.4768
3.350000 69.844 44.7094
3.400000 70.169 42.9570
3.450000 70.484 41.2247
3.500000 70.791 39.5169
3.550000 71.091 37.8360
3.600000 71.385 36.1829
3.650000 71.673 34.5563
3.700000 71.954 32.9497
3.750000 72.228 31.3577
3.820000 72.600 29.1566
3.870000 72.859 27.6089
3.950000 73.261 25.1813
4.000000 73.506 23.6957
4.060000 73.795 21.9405
4.120000 74.075 20.2070
4.180000 74.348 18.4946
4.250000 74.658 16.5281
4.310000 74.918 14.8727
4.370000 75.172 13.2460
4.440000 75.462 11.3792
4.500000 75.704 9.7994
4.550000 75.901 8.4971
4.620000 76.172 6.6979
4.680000 76.398 5.1797
4.750000 76.657 3.4364
4.820000 76.910 1.7180
4.870000 77.087 0.5026
4.940000 77.330 -1.1812
5.000000 77.533 -2.6062
5.080000 77.797 -4.4783
5.150000 78.023 -6.0924
5.220000 78.244 -7.6903
5.300000 78.490 -9.4973
5.380000 78.728 -11.2797
5.450000 78.932 -12.8165
5.520000 79.131 -14.3340
5.600000 79.351 -16.0523
5.700000 79.618 -18.1747
5.800000 79.875 -20.2585
5.900000 80.123 -22.3020
6.000000 80.361 -24.3187
6.080000 80.544 -25.9103
6.150000 80.700 -27.2815
6.220000 80.851 -28.6305
6.300000 81.019 -30.1505
6.400000 81.221 -32.0247
6.500000 81.414 -33.8614
6.600000 81.600 -35.6522
6.700000 81.779 -37.4040
6.800000 81.950 -39.1218
6.900000 82.115 -40.7978
7.000000 82.274 -42.4286
7.100000 82.426 -44.0214
7.200000 82.574 -45.5775
7.300000 82.717 -47.0925
7.400000 82.855 -48.5671
7.500000 82.989 -50.0062
7.620000 83.146 -51.6874
7.750000 83.310 -53.4517
7.880000 83.470 -55.1624
8.000000 83.613 -56.6982
8.120000 83.754 -58.1951
8.250000 83.902 -59.7761
8.380000 84.048 -61.3203
8.500000 84.180 -62.7165
8.620000 84.309 -64.0871
8.750000 84.446 -65.5468
8.850000 84.549 -66.6540
9.000000 84.701 -68.2922
9.120000 84.819 -69.5843
9.250000 84.943 -70.9681
9.380000 85.063 -72.3367
9.500000 85.170 -73.5850
9.620000 85.274 -74.8198
9.750000 85.382 -76.1425
9.880000 85.480 -77.4457
10.000000 85.560 -78.6309
10.150000 85.647 -80.0880
10.300000 85.724 -81.5107
10.440000 85.787 -82.8074
10.600000 85.854 -84.2491
10.750000 85.912 -85.5581
10.900000 85.968 -86.8278
11.060000 86.024 -88.1378
11.200000 86.073 -89.2486
11.380000 86.135 -90.6354
11.500000 86.177 -91.5366
11.720000 86.254 -93.1530
11.800000 86.283 -93.7326
12.060000 86.376 -95.5965
12.200000 86.426 -96.5953
12.410000 86.503 -98.0916
12.500000 86.538 -98.7328
12.650000 86.599 -99.8019
12.800000 86.660 -100.8676
13.150000 86.791 -103.3251
13.200000 86.809 -103.6703
13.400000 86.873 -105.0317
13.600000 86.932 -106.3553
13.800000 86.987 -107.6362
14.000000 87.040 -108.8739
14.300000 87.117 -110.6558
14.500000 87.168 -111.8031
14.750000 87.232 -113.2041
15.000000 87.295 -114.5782
15.250000 87.357 -115.9316
15.500000 87.415 -117.2634
15.750000 87.470 -118.5692
16.000000 87.522 -119.8429
16.250000 87.572 -121.0803
16.500000 87.621 -122.2809
16.750000 87.669 -123.4474
17.000000 87.715 -124.5850
17.250000 87.760 -125.6981
17.500000 87.802 -126.7898
17.750000 87.843 -127.8605
18.000000 87.880 -128.9091
18.250000 87.916 -129.9349
18.500000 87.949 -130.9389
18.750000 87.982 -131.9243
19.000000 88.013 -132.8961
19.250000 88.043 -133.8596
19.500000 88.070 -134.8179
19.750000 88.095 -135.7709
20.000000 88.115 -136.7139
20.299999 88.134 -137.8217
20.600000 88.147 -138.8895
20.900000 88.157 -139.9070
21.200001 88.168 -140.8724
21.400000 88.176 -141.4917
21.799999 88.201 -142.6965
22.000000 88.216 -143.2959
22.400000 88.252 -144.5187
22.700001 88.280 -145.4693
23.000000 88.303 -146.4451
23.299999 88.319 -147.4286
23.600000 88.328 -148.3945
24.000000 88.329 -149.6111
24.299999 88.328 -150.4518
24.700001 88.332 -151.4857
25.000000 88.342 -152.2238
25.400000 88.366 -153.2120
25.799999 88.394 -154.2451
26.200001 88.415 -155.3215
26.500000 88.424 -156.1321
26.900000 88.425 -157.1761
27.200001 88.422 -157.9149
27.600000 88.419 -158.8445
28.000000 88.418 -159.7402
28.500000 88.420 -160.8606
29.000000 88.417 -161.9948
29.500000 88.404 -163.1102
30.000000 88.385 -164.1735
30.400000 88.369 -164.9839
30.700001 88.358 -165.5741
31.100000 88.345 -166.3464
31.500000 88.334 -167.1102
32.000000 88.322 -168.0624
32.500000 88.309 -169.0155
33.000000 88.294 -169.9603
33.500000 88.276 -170.8785
34.000000 88.257 -171.7606
34.500000 88.240 -172.6184
35.000000 88.225 -173.4724
35.500000 88.207 -174.3253
36.000000 88.184 -175.1571
36.500000 88.159 -175.9492
37.000000 88.135 -176.7092
37.500000 88.115 -177.4653
38.200001 88.085 -178.5468
38.700001 88.060 -179.3196
39.500000 88.015 179.4742
40.000000 87.985 178.7313
40.599998 87.946 177.8588
41.200001 87.904 177.0466
41.799999 87.867 176.2982
42.500000 87.837 175.4265
43.099998 87.811 174.6429
43.700001 87.779 173.8647
44.400002 87.738 173.0081
45.000000 87.704 172.3010
45.500000 87.676 171.7148
46.200001 87.636 170.8903
46.799999 87.599 170.1771
47.500000 87.549 169.3582
48.200001 87.497 168.5844
48.700001 87.463 168.0438
49.400002 87.414 167.2745
50.000000 87.367 166.6381
50.799999 87.307 165.8989
51.500000 87.270 165.2854
52.200001 87.237 164.6071
53.000000 87.183 163.8251
53.799999 87.119 163.1804
54.500000 87.075 162.7046
55.200001 87.043 162.1709
56.000000 86.998 161.3998
57.000000 86.896 160.4146
58.000000 86.780 159.6934
59.000000 86.695 159.0361
60.000000 86.618 158.2565
60.799999 86.553 157.6725
61.500000 86.507 157.2131
62.200001 86.473 156.7132
63.000000 86.428 156.0706
64.000000 86.352 155.3672
65.000000 86.284 154.8422
66.000000 86.231 154.2333
67.000000 86.154 153.5265
68.000000 86.059 152.9365
69.000000 85.973 152.4139
70.000000 85.894 151.8816
71.000000 85.823 151.3708
72.000000 85.761 150.8428
73.000000 85.697 150.3037
74.000000 85.627 149.8124
75.000000 85.553 149.3942
76.199997 85.468 148.9507
77.500000 85.376 148.4265
78.800003 85.276 147.8724
80.000000 85.182 147.4083
81.199997 85.103 146.9617
82.500000 85.019 146.4403
83.800003 84.933 145.9894
85.000000 84.856 145.6021
86.199997 84.775 145.2385
87.500000 84.687 144.8876
88.500000 84.624 144.6165
90.000000 84.532 144.1680
91.199997 84.456 143.8088
92.500000 84.376 143.4427
93.800003 84.294 143.0711
95.000000 84.215 142.7872
96.199997 84.143 142.5665
97.500000 84.071 142.3143
98.800003 84.000 142.0668
100.000000 83.931 141.8508
101.500000 83.842 141.6360
103.000000 83.757 141.4374
104.400002 83.677 141.2208
106.000000 83.589 141.0060
107.500000 83.516 140.8178
109.000000 83.444 140.6228
110.599998 83.360 140.4612
112.000000 83.287 140.3506
113.800003 83.200 140.1804
115.000000 83.149 140.0106
117.199997 83.064 139.6608
118.000000 83.035 139.5479
120.599998 82.927 139.3123
122.000000 82.860 139.3124
124.099998 82.768 139.3336
125.000000 82.730 139.2784
126.500000 82.668 139.1425
128.000000 82.612 139.0087
131.500000 82.494 138.8839
132.000000 82.477 138.9194
134.000000 82.415 139.1460
136.000000 82.356 139.2542
138.000000 82.297 139.1896
140.000000 82.249 138.9864
143.000000 82.232 138.7164
145.000000 82.211 138.5637
147.500000 82.147 138.6360
150.000000 82.083 138.6403
152.500000 82.021 138.5212
155.000000 81.974 138.4260
157.500000 81.928 138.3553
160.000000 81.875 138.2778
162.500000 81.820 138.2249
165.000000 81.764 138.1865
167.500000 81.705 138.1888
170.000000 81.651 138.1464
172.500000 81.601 138.0808
175.000000 81.558 138.0513
177.500000 81.515 138.0167
180.000000 81.469 137.9658
182.500000 81.427 137.9279
185.000000 81.388 137.8679
187.500000 81.350 137.8571
190.000000 81.320 137.8326
192.500000 81.289 137.7592
195.000000 81.255 137.6815
197.500000 81.224 137.6245
200.000000 81.196 137.5828
203.000000 81.166 137.5325
206.000000 81.140 137.4436
209.000000 81.118 137.3455
212.000000 81.099 137.2604
214.000000 81.086 137.2072
218.000000 81.066 137.0725
220.000000 81.058 137.0055
224.000000 81.045 136.8937
227.000000 81.034 136.7810
230.000000 81.021 136.6475
233.000000 81.006 136.5250
236.000000 80.992 136.4092
240.000000 80.978 136.2430
243.000000 80.971 136.1063
247.000000 80.963 135.9112
250.000000 80.954 135.7722
254.000000 80.940 135.5913
258.000000 80.927 135.3976
262.000000 80.913 135.1946
265.000000 80.902 135.0414
269.000000 80.886 134.8490
272.000000 80.874 134.7010
276.000000 80.860 134.4901
280.000000 80.850 134.2720
285.000000 80.832 133.9854
290.000000 80.814 133.7134
295.000000 80.797 133.4386
300.000000 80.782 133.1636
304.000000 80.772 132.9380
307.000000 80.764 132.7629
311.000000 80.754 132.5248
315.000000 80.744 132.2855
320.000000 80.728 131.9976
325.000000 80.714 131.7099
330.000000 80.704 131.4006
335.000000 80.695 131.0884
340.000000 80.684 130.7803
345.000000 80.672 130.4663
