* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 2, 25 4:15:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: septet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.805 -155.4170
1.015000 44.912 -156.6112
1.030000 45.021 -157.8358
1.044000 45.124 -159.0089
1.060000 45.245 -160.3887
1.075000 45.362 -161.7238
1.090000 45.482 -163.1022
1.106000 45.613 -164.6209
1.120000 45.728 -165.9858
1.138000 45.874 -167.7820
1.150000 45.971 -169.0017
1.172000 46.147 -171.2767
1.180000 46.210 -172.1146
1.206000 46.417 -174.8692
1.220000 46.529 -176.3684
1.241000 46.696 -178.6324
1.250000 46.768 -179.6070
1.265000 46.889 178.7646
1.280000 47.011 177.1323
1.315000 47.300 173.3162
1.320000 47.342 172.7708
1.340000 47.513 170.5890
1.360000 47.687 168.4082
1.380000 47.865 166.2288
1.400000 48.049 164.0504
1.430000 48.335 160.7836
1.450000 48.533 158.6052
1.475000 48.790 155.8875
1.500000 49.058 153.1996
1.525000 49.336 150.5586
1.550000 49.621 147.9705
1.575000 49.915 145.4369
1.600000 50.215 142.9568
1.625000 50.520 140.5277
1.650000 50.830 138.1455
1.675000 51.144 135.8051
1.700000 51.459 133.5010
1.725000 51.776 131.2273
1.750000 52.094 128.9781
1.775000 52.411 126.7476
1.800000 52.726 124.5306
1.825000 53.040 122.3254
1.850000 53.353 120.1424
1.875000 53.669 118.0016
1.900000 53.989 115.9127
1.925000 54.311 113.8788
1.950000 54.635 111.9003
1.975000 54.960 109.9758
2.000000 55.285 108.1032
2.030000 55.675 105.9203
2.060000 56.063 103.8015
2.090000 56.448 101.7397
2.120000 56.828 99.7277
2.140000 57.079 98.4102
2.180000 57.570 95.8243
2.200000 57.811 94.5547
2.240000 58.287 92.0739
2.270000 58.639 90.2727
2.300000 58.988 88.5226
2.330000 59.332 86.8215
2.360000 59.673 85.1664
2.400000 60.122 83.0251
2.430000 60.453 81.4633
2.470000 60.888 79.4322
2.500000 61.210 77.9421
2.540000 61.631 75.9929
2.580000 62.044 74.0843
2.620000 62.448 72.2244
2.650000 62.745 70.8640
2.690000 63.135 69.0946
2.720000 63.423 67.7986
2.760000 63.799 66.1087
2.800000 64.170 64.4579
2.850000 64.624 62.4420
2.900000 65.069 60.4706
2.950000 65.506 58.5409
3.000000 65.932 56.6614
3.040000 66.265 55.1955
3.070000 66.511 54.1162
3.110000 66.834 52.7012
3.150000 67.152 51.3106
3.200000 67.542 49.6007
3.250000 67.926 47.9166
3.300000 68.303 46.2550
3.350000 68.673 44.6227
3.400000 69.036 43.0251
3.450000 69.391 41.4584
3.500000 69.740 39.9168
3.550000 70.082 38.3938
3.600000 70.419 36.8836
3.650000 70.750 35.3821
3.700000 71.076 33.8923
3.750000 71.397 32.4216
3.820000 71.835 30.3948
3.870000 72.142 28.9650
3.950000 72.621 26.6957
4.000000 72.914 25.2820
4.060000 73.259 23.5875
4.120000 73.597 21.9017
4.180000 73.927 20.2293
4.250000 74.303 18.2946
4.310000 74.616 16.6471
4.370000 74.923 15.0050
4.440000 75.270 13.0894
4.500000 75.560 11.4478
4.550000 75.796 10.0844
4.620000 76.118 8.1886
4.680000 76.386 6.5787
4.750000 76.688 4.7166
4.820000 76.981 2.8605
4.870000 77.183 1.5344
4.940000 77.458 -0.3143
5.000000 77.685 -1.8826
5.080000 77.978 -3.9388
5.150000 78.224 -5.7079
5.220000 78.460 -7.4658
5.300000 78.718 -9.4608
5.380000 78.964 -11.4213
5.450000 79.171 -13.0944
5.520000 79.370 -14.7277
5.600000 79.587 -16.5648
5.700000 79.845 -18.8177
5.800000 80.089 -20.9956
5.900000 80.323 -23.0826
6.000000 80.545 -25.1002
6.080000 80.715 -26.6686
6.150000 80.860 -28.0026
6.220000 81.003 -29.2968
6.300000 81.163 -30.7291
6.400000 81.358 -32.4604
6.500000 81.549 -34.1356
6.600000 81.738 -35.7585
6.700000 81.926 -37.3286
6.800000 82.114 -38.8545
6.900000 82.300 -40.3525
7.000000 82.486 -41.8320
7.100000 82.672 -43.2910
7.200000 82.857 -44.7357
7.300000 83.041 -46.1791
7.400000 83.222 -47.6276
7.500000 83.401 -49.0787
7.620000 83.611 -50.8226
7.750000 83.829 -52.7228
7.880000 84.038 -54.6371
8.000000 84.222 -56.4015
8.120000 84.395 -58.1572
8.250000 84.570 -60.0553
8.380000 84.732 -61.9257
8.500000 84.870 -63.6151
8.620000 84.997 -65.2745
8.750000 85.124 -67.0200
8.850000 85.215 -68.3163
9.000000 85.341 -70.1923
9.120000 85.434 -71.6277
9.250000 85.531 -73.1096
9.380000 85.624 -74.5220
9.500000 85.708 -75.7688
9.620000 85.793 -76.9617
9.750000 85.883 -78.1997
9.880000 85.971 -79.3949
10.000000 86.047 -80.4658
10.150000 86.138 -81.7687
10.300000 86.226 -83.0516
10.440000 86.308 -84.2374
10.600000 86.401 -85.5876
10.750000 86.486 -86.8578
10.900000 86.571 -88.1315
11.060000 86.656 -89.4930
11.200000 86.727 -90.6863
11.380000 86.811 -92.2113
11.500000 86.862 -93.2194
11.720000 86.946 -95.0375
11.800000 86.974 -95.6853
12.060000 87.055 -97.7365
12.200000 87.094 -98.8015
12.410000 87.152 -100.3492
12.500000 87.179 -100.9952
12.650000 87.227 -102.0508
12.800000 87.278 -103.0850
13.150000 87.396 -105.4364
13.200000 87.412 -105.7675
13.400000 87.475 -107.0828
13.600000 87.534 -108.3833
13.800000 87.588 -109.6667
14.000000 87.635 -110.9232
14.300000 87.695 -112.7382
14.500000 87.729 -113.8868
14.750000 87.768 -115.2454
15.000000 87.809 -116.5214
15.250000 87.854 -117.7327
15.500000 87.907 -118.9083
15.750000 87.967 -120.0782
16.000000 88.032 -121.2680
16.250000 88.098 -122.4889
16.500000 88.161 -123.7382
16.750000 88.216 -125.0011
17.000000 88.262 -126.2557
17.250000 88.300 -127.4821
17.500000 88.331 -128.6653
17.750000 88.359 -129.7994
18.000000 88.384 -130.8870
18.250000 88.409 -131.9355
18.500000 88.434 -132.9537
18.750000 88.459 -133.9482
19.000000 88.483 -134.9222
19.250000 88.505 -135.8751
19.500000 88.526 -136.8057
19.750000 88.546 -137.7130
20.000000 88.566 -138.5988
20.299999 88.590 -139.6384
20.600000 88.613 -140.6604
20.900000 88.636 -141.6712
21.200001 88.656 -142.6718
21.400000 88.668 -143.3309
21.799999 88.687 -144.6200
22.000000 88.695 -145.2456
22.400000 88.710 -146.4558
22.700001 88.724 -147.3351
23.000000 88.740 -148.2052
23.299999 88.758 -149.0831
23.600000 88.776 -149.9818
24.000000 88.796 -151.2164
24.299999 88.803 -152.1542
24.700001 88.799 -153.3760
25.000000 88.789 -154.2403
25.400000 88.773 -155.3002
25.799999 88.764 -156.2727
26.200001 88.766 -157.2128
26.500000 88.772 -157.9301
26.900000 88.779 -158.9186
27.200001 88.781 -159.6725
27.600000 88.774 -160.6592
28.000000 88.763 -161.5932
28.500000 88.748 -162.6835
29.000000 88.739 -163.7333
29.500000 88.730 -164.7801
30.000000 88.714 -165.8138
30.400000 88.698 -166.6117
30.700001 88.685 -167.1888
31.100000 88.669 -167.9333
31.500000 88.653 -168.6583
32.000000 88.636 -169.5513
32.500000 88.622 -170.4460
33.000000 88.608 -171.3568
33.500000 88.590 -172.2847
34.000000 88.566 -173.2103
34.500000 88.538 -174.1074
35.000000 88.508 -174.9641
35.500000 88.479 -175.7865
36.000000 88.453 -176.5881
36.500000 88.428 -177.3815
37.000000 88.402 -178.1750
37.500000 88.374 -178.9656
38.200001 88.327 179.9698
38.700001 88.290 179.2660
39.500000 88.238 178.2145
40.000000 88.211 177.5633
40.599998 88.177 176.7684
41.200001 88.140 175.9745
41.799999 88.101 175.1983
42.500000 88.056 174.3069
43.099998 88.015 173.5342
43.700001 87.967 172.7607
44.400002 87.899 171.9338
45.000000 87.840 171.3461
45.500000 87.803 170.9117
46.200001 87.767 170.2613
46.799999 87.735 169.6163
47.500000 87.683 168.8494
48.200001 87.625 168.1472
48.700001 87.586 167.6619
49.400002 87.529 166.9688
50.000000 87.475 166.3862
50.799999 87.404 165.6624
51.500000 87.347 165.0397
52.200001 87.291 164.4032
53.000000 87.225 163.6863
53.799999 87.160 163.0120
54.500000 87.109 162.4669
55.200001 87.071 161.8931
56.000000 87.021 161.1053
57.000000 86.913 160.1777
58.000000 86.802 159.6194
59.000000 86.721 159.1328
60.000000 86.647 158.6564
60.799999 86.602 158.2571
61.500000 86.563 157.8090
62.200001 86.511 157.3163
63.000000 86.437 156.7990
64.000000 86.342 156.2891
65.000000 86.265 155.8694
66.000000 86.202 155.3376
67.000000 86.120 154.7468
68.000000 86.033 154.2610
69.000000 85.952 153.8004
70.000000 85.872 153.3508
71.000000 85.797 152.8927
72.000000 85.716 152.4244
73.000000 85.637 152.0331
74.000000 85.570 151.6212
75.000000 85.495 151.1741
76.199997 85.400 150.7480
77.500000 85.304 150.3319
78.800003 85.210 149.9941
80.000000 85.133 149.6578
81.199997 85.048 149.2994
82.500000 84.953 148.9500
83.800003 84.857 148.6481
85.000000 84.774 148.4005
86.199997 84.693 148.1465
87.500000 84.607 147.8950
88.500000 84.545 147.7036
90.000000 84.449 147.3792
91.199997 84.366 147.1622
92.500000 84.282 146.9913
93.800003 84.207 146.8402
95.000000 84.143 146.6893
96.199997 84.079 146.5232
97.500000 84.008 146.3595
98.800003 83.937 146.2126
100.000000 83.872 146.1002
101.500000 83.796 145.9657
103.000000 83.720 145.8329
104.400002 83.653 145.7338
106.000000 83.581 145.6127
107.500000 83.513 145.4850
109.000000 83.441 145.3931
110.599998 83.368 145.3474
112.000000 83.310 145.2814
113.800003 83.233 145.1669
115.000000 83.181 145.1119
117.199997 83.101 145.0985
118.000000 83.079 145.0776
120.599998 82.988 144.9261
122.000000 82.931 144.9291
124.099998 82.848 144.9092
125.000000 82.812 144.8962
126.500000 82.757 144.9004
128.000000 82.715 144.8760
131.500000 82.618 144.7778
132.000000 82.606 144.7949
134.000000 82.567 144.8625
136.000000 82.531 144.8763
138.000000 82.492 144.8827
140.000000 82.455 144.8549
143.000000 82.374 144.9036
145.000000 82.334 145.0707
147.500000 82.294 145.1018
150.000000 82.247 145.0964
152.500000 82.193 145.0815
155.000000 82.138 145.1357
157.500000 82.083 145.1950
160.000000 82.032 145.4243
162.500000 82.001 145.7032
165.000000 81.982 145.8230
167.500000 81.971 145.8717
170.000000 81.979 145.8911
172.500000 81.973 145.7521
175.000000 81.946 145.6156
177.500000 81.913 145.4814
180.000000 81.879 145.3940
182.500000 81.834 145.3019
185.000000 81.785 145.2941
187.500000 81.750 145.2479
190.000000 81.718 145.1747
192.500000 81.691 145.1588
195.000000 81.666 145.1215
197.500000 81.639 145.0593
200.000000 81.618 145.0131
203.000000 81.602 144.9616
206.000000 81.586 144.9086
209.000000 81.573 144.8360
212.000000 81.563 144.7527
214.000000 81.558 144.7084
218.000000 81.547 144.6128
220.000000 81.544 144.5428
224.000000 81.542 144.3885
227.000000 81.530 144.3062
230.000000 81.514 144.2554
233.000000 81.503 144.1790
236.000000 81.496 144.0799
240.000000 81.488 143.9343
243.000000 81.484 143.8196
247.000000 81.478 143.6710
250.000000 81.472 143.5589
254.000000 81.461 143.4061
258.000000 81.450 143.2463
262.000000 81.439 143.0840
265.000000 81.429 142.9658
269.000000 81.417 142.8021
272.000000 81.409 142.6705
276.000000 81.399 142.4897
280.000000 81.389 142.3051
285.000000 81.378 142.0744
290.000000 81.367 141.8394
295.000000 81.357 141.6080
300.000000 81.344 141.3826
304.000000 81.333 141.1943
307.000000 81.327 141.0551
311.000000 81.318 140.8616
315.000000 81.309 140.6531
320.000000 81.303 140.3852
325.000000 81.297 140.1140
330.000000 81.289 139.8628
335.000000 81.279 139.6077
340.000000 81.266 139.3528
345.000000 81.252 139.0958
