* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.370
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 9:25:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sgluna R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.902 -94.2310
1.015000 61.858 -89.2395
1.030000 61.837 -84.4824
1.044000 61.839 -80.3199
1.060000 61.870 -75.9447
1.075000 61.928 -72.2397
1.090000 62.016 -68.9204
1.106000 62.150 -65.7675
1.120000 62.305 -63.2757
1.138000 62.558 -60.3856
1.150000 62.758 -58.6404
1.172000 63.182 -55.7867
1.180000 63.353 -54.8523
1.206000 63.960 -52.1495
1.220000 64.316 -50.8847
1.241000 64.878 -49.2050
1.250000 65.128 -48.5574
1.265000 65.552 -47.5650
1.280000 65.983 -46.6718
1.315000 66.997 -44.9227
1.320000 67.140 -44.7068
1.340000 67.707 -43.9180
1.360000 68.254 -43.2391
1.380000 68.772 -42.6474
1.400000 69.254 -42.1395
1.430000 69.889 -41.5246
1.450000 70.243 -41.2021
1.475000 70.606 -40.8806
1.500000 70.900 -40.6238
1.525000 71.144 -40.4167
1.550000 71.343 -40.2540
1.575000 71.503 -40.1270
1.600000 71.629 -40.0286
1.625000 71.726 -39.9656
1.650000 71.801 -39.9361
1.675000 71.859 -39.9386
1.700000 71.904 -39.9718
1.725000 71.943 -40.0350
1.750000 71.981 -40.1274
1.775000 72.024 -40.2531
1.800000 72.076 -40.4159
1.825000 72.140 -40.6070
1.850000 72.213 -40.8252
1.875000 72.283 -41.0664
1.900000 72.346 -41.3264
1.925000 72.404 -41.6019
1.950000 72.456 -41.8897
1.975000 72.503 -42.1911
2.000000 72.546 -42.5076
2.030000 72.593 -42.8951
2.060000 72.637 -43.2892
2.090000 72.679 -43.6881
2.120000 72.720 -44.0906
2.140000 72.747 -44.3605
2.180000 72.802 -44.9113
2.200000 72.831 -45.1958
2.240000 72.886 -45.7735
2.270000 72.924 -46.2149
2.300000 72.959 -46.6619
2.330000 72.993 -47.1129
2.360000 73.024 -47.5667
2.400000 73.066 -48.1954
2.430000 73.097 -48.6702
2.470000 73.139 -49.3019
2.500000 73.172 -49.7737
2.540000 73.219 -50.3988
2.580000 73.269 -51.0295
2.620000 73.321 -51.6763
2.650000 73.360 -52.1552
2.690000 73.413 -52.7887
2.720000 73.454 -53.2618
2.760000 73.510 -53.8908
2.800000 73.569 -54.5499
2.850000 73.646 -55.3828
2.900000 73.730 -56.2221
2.950000 73.821 -57.0594
3.000000 73.917 -57.8994
3.040000 73.998 -58.5635
3.070000 74.060 -59.0552
3.110000 74.146 -59.7081
3.150000 74.236 -60.3634
3.200000 74.354 -61.2180
3.250000 74.477 -62.1052
3.300000 74.606 -63.0132
3.350000 74.742 -63.9162
3.400000 74.886 -64.8222
3.450000 75.035 -65.7249
3.500000 75.189 -66.6271
3.550000 75.347 -67.5413
3.600000 75.509 -68.5071
3.650000 75.673 -69.5158
3.700000 75.840 -70.5446
3.750000 76.012 -71.5716
3.820000 76.259 -73.0356
3.870000 76.439 -74.0882
3.950000 76.727 -75.7909
4.000000 76.906 -76.9040
4.060000 77.120 -78.2831
4.120000 77.334 -79.6804
4.180000 77.549 -81.0869
4.250000 77.797 -82.7567
4.310000 78.005 -84.1794
4.370000 78.208 -85.6067
4.440000 78.437 -87.3286
4.500000 78.628 -88.8275
4.550000 78.784 -90.0783
4.620000 78.996 -91.8416
4.680000 79.170 -93.3294
4.750000 79.362 -95.0277
4.820000 79.543 -96.7486
4.870000 79.666 -97.9939
4.940000 79.829 -99.7288
5.000000 79.960 -101.1996
5.080000 80.120 -103.0946
5.150000 80.247 -104.6806
5.220000 80.361 -106.2708
5.300000 80.476 -108.0769
5.380000 80.576 -109.8145
5.450000 80.651 -111.2619
5.520000 80.713 -112.6098
5.600000 80.769 -114.0979
5.700000 80.818 -115.8890
5.800000 80.848 -117.5077
5.900000 80.860 -118.9135
6.000000 80.853 -120.1404
6.080000 80.837 -121.0170
6.150000 80.820 -121.6708
6.220000 80.801 -122.2249
6.300000 80.777 -122.7126
6.400000 80.744 -123.1326
6.500000 80.714 -123.3817
6.600000 80.698 -123.4555
6.700000 80.697 -123.3515
6.800000 80.710 -123.0840
6.900000 80.742 -122.7361
7.000000 80.797 -122.3362
7.100000 80.877 -121.8836
7.200000 80.976 -121.4040
7.300000 81.091 -120.9748
7.400000 81.221 -120.6096
7.500000 81.366 -120.3055
7.620000 81.550 -120.0311
7.750000 81.750 -119.8855
7.880000 81.952 -119.8967
8.000000 82.132 -119.9969
8.120000 82.300 -120.1794
8.250000 82.469 -120.4617
8.380000 82.625 -120.7835
8.500000 82.756 -121.0967
8.620000 82.876 -121.4192
8.750000 82.997 -121.7607
8.850000 83.085 -122.0069
9.000000 83.209 -122.3444
9.120000 83.306 -122.6026
9.250000 83.413 -122.8668
9.380000 83.521 -123.1198
9.500000 83.623 -123.3769
9.620000 83.728 -123.6573
9.750000 83.842 -123.9957
9.880000 83.952 -124.3900
10.000000 84.046 -124.8034
10.150000 84.154 -125.4342
10.300000 84.248 -126.1317
10.440000 84.322 -126.8426
10.600000 84.391 -127.7002
10.750000 84.437 -128.5338
10.900000 84.467 -129.3788
11.060000 84.483 -130.2852
11.200000 84.483 -131.0918
11.380000 84.464 -132.0442
11.500000 84.441 -132.6120
11.720000 84.384 -133.4882
11.800000 84.361 -133.7443
12.060000 84.283 -134.3685
12.200000 84.248 -134.5992
12.410000 84.215 -134.7700
12.500000 84.213 -134.7908
12.650000 84.226 -134.7676
12.800000 84.262 -134.7063
13.150000 84.425 -134.6378
13.200000 84.456 -134.6593
13.400000 84.598 -134.8296
13.600000 84.756 -135.1730
13.800000 84.919 -135.7126
14.000000 85.078 -136.4476
14.300000 85.286 -137.9258
14.500000 85.395 -139.0542
14.750000 85.490 -140.5291
15.000000 85.539 -141.9918
15.250000 85.546 -143.4074
15.500000 85.518 -144.6507
15.750000 85.462 -145.6684
16.000000 85.389 -146.4258
16.250000 85.312 -146.9449
16.500000 85.241 -147.1811
16.750000 85.187 -147.1519
17.000000 85.165 -146.9171
17.250000 85.186 -146.5996
17.500000 85.254 -146.2962
17.750000 85.363 -146.1413
18.000000 85.500 -146.2429
18.250000 85.643 -146.6813
18.500000 85.771 -147.4134
18.750000 85.864 -148.3565
19.000000 85.913 -149.3976
19.250000 85.917 -150.4227
19.500000 85.886 -151.2958
19.750000 85.836 -151.9413
20.000000 85.786 -152.3398
20.299999 85.753 -152.5883
20.600000 85.763 -152.6955
20.900000 85.814 -152.8254
21.200001 85.892 -153.1084
21.400000 85.950 -153.3957
21.799999 86.064 -154.1633
22.000000 86.116 -154.6246
22.400000 86.206 -155.6927
22.700001 86.253 -156.5869
23.000000 86.272 -157.5272
23.299999 86.250 -158.4407
23.600000 86.183 -159.1635
24.000000 86.047 -159.5312
24.299999 85.954 -159.2464
24.700001 85.925 -158.2505
25.000000 86.007 -157.4069
25.400000 86.231 -156.8123
25.799999 86.480 -157.1441
26.200001 86.644 -158.1845
26.500000 86.685 -159.0678
26.900000 86.659 -159.9176
27.200001 86.630 -160.2000
27.600000 86.639 -160.3137
28.000000 86.708 -160.5979
28.500000 86.777 -161.6020
29.000000 86.705 -162.7690
29.500000 86.542 -163.0846
30.000000 86.491 -162.4468
30.400000 86.606 -162.1074
30.700001 86.740 -162.4118
31.100000 86.873 -163.6181
31.500000 86.864 -165.2490
32.000000 86.653 -166.6348
32.500000 86.412 -166.4152
33.000000 86.384 -165.1713
33.500000 86.585 -164.5274
34.000000 86.811 -165.2013
34.500000 86.906 -166.6076
35.000000 86.869 -167.8195
35.500000 86.794 -168.4486
36.000000 86.752 -168.6882
36.500000 86.745 -168.8871
37.000000 86.747 -169.1581
37.500000 86.745 -169.4616
38.200001 86.744 -169.9152
38.700001 86.739 -170.2917
39.500000 86.711 -170.8790
40.000000 86.693 -171.1840
40.599998 86.681 -171.5461
41.200001 86.669 -171.9280
41.799999 86.658 -172.2642
42.500000 86.667 -172.6312
43.099998 86.688 -173.1032
43.700001 86.682 -173.7001
44.400002 86.631 -174.1398
45.000000 86.615 -174.1549
45.500000 86.651 -174.1942
46.200001 86.719 -174.7193
46.799999 86.717 -175.3965
47.500000 86.665 -175.8514
48.200001 86.652 -176.0358
48.700001 86.662 -176.3156
49.400002 86.634 -176.8689
50.000000 86.573 -177.1142
50.799999 86.540 -177.0571
51.500000 86.568 -177.1918
52.200001 86.582 -177.6124
53.000000 86.574 -178.0712
53.799999 86.583 -178.5638
54.500000 86.580 -179.1775
55.200001 86.545 -179.7938
56.000000 86.487 179.7109
57.000000 86.435 179.3674
58.000000 86.423 179.0782
59.000000 86.418 178.6154
60.000000 86.389 178.1781
60.799999 86.365 177.9028
61.500000 86.339 177.6712
62.200001 86.306 177.5327
63.000000 86.286 177.5383
64.000000 86.307 177.3835
65.000000 86.305 176.9441
66.000000 86.283 176.6504
67.000000 86.277 176.2989
68.000000 86.251 175.9974
69.000000 86.270 175.7427
70.000000 86.282 174.9791
71.000000 86.212 174.3497
72.000000 86.178 174.2968
73.000000 86.239 174.0233
74.000000 86.265 173.0184
75.000000 86.157 172.1610
76.199997 86.007 172.2340
77.500000 85.931 172.5828
78.800003 85.895 172.7889
80.000000 85.865 172.4857
81.199997 85.796 172.1053
82.500000 85.744 171.7528
83.800003 85.731 171.4450
85.000000 85.758 171.1023
86.199997 85.787 170.6400
87.500000 85.775 170.1793
88.500000 85.745 170.0491
90.000000 85.710 169.9910
91.199997 85.684 169.9012
92.500000 85.669 169.7413
93.800003 85.656 169.4161
95.000000 85.642 169.1033
96.199997 85.618 168.6524
97.500000 85.541 168.2540
98.800003 85.463 168.2127
100.000000 85.427 168.1220
101.500000 85.388 167.7196
103.000000 85.350 167.2323
104.400002 85.320 166.7529
106.000000 85.283 166.4174
107.500000 85.257 166.3060
109.000000 85.220 166.3713
110.599998 85.187 166.4901
112.000000 85.143 166.3479
113.800003 85.060 166.1709
115.000000 85.033 166.0319
117.199997 85.009 165.5255
118.000000 85.003 165.3670
120.599998 84.949 164.9622
122.000000 84.891 164.9507
124.099998 84.809 164.9315
125.000000 84.780 164.8548
126.500000 84.738 164.6155
128.000000 84.695 164.3852
131.500000 84.666 164.4124
132.000000 84.662 164.3730
134.000000 84.609 164.2237
136.000000 84.543 164.0701
138.000000 84.489 163.7570
140.000000 84.447 163.4316
143.000000 84.394 163.2073
145.000000 84.352 163.2088
147.500000 84.292 163.2247
150.000000 84.231 163.1714
152.500000 84.178 163.1137
155.000000 84.123 162.9798
157.500000 84.063 162.8710
160.000000 84.002 162.7810
162.500000 83.927 162.7626
165.000000 83.855 162.7832
167.500000 83.788 162.7352
170.000000 83.724 162.7083
172.500000 83.659 162.6149
175.000000 83.588 162.4768
177.500000 83.519 162.4299
180.000000 83.461 162.5472
182.500000 83.398 162.6139
185.000000 83.322 162.6081
187.500000 83.256 162.6536
190.000000 83.199 162.7187
192.500000 83.124 162.8480
195.000000 83.046 162.9570
197.500000 82.989 163.0695
200.000000 82.969 163.2616
203.000000 82.962 163.3589
206.000000 82.914 163.2393
209.000000 82.836 163.3121
212.000000 82.774 163.8210
214.000000 82.776 164.2057
218.000000 82.785 164.4130
220.000000 82.738 164.2857
224.000000 82.631 163.7947
227.000000 82.630 163.2635
230.000000 82.613 163.5031
233.000000 82.549 164.4857
236.000000 82.469 164.9404
240.000000 82.405 164.5419
243.000000 82.353 164.2968
247.000000 82.179 164.4498
250.000000 82.223 164.6551
254.000000 82.480 164.3766
258.000000 82.335 164.7180
262.000000 82.184 165.4222
265.000000 82.203 165.9104
269.000000 82.110 165.5443
272.000000 81.992 165.4597
276.000000 81.941 166.3841
280.000000 81.989 166.3675
285.000000 81.978 165.2441
290.000000 81.792 165.1716
295.000000 81.655 165.7074
300.000000 81.650 166.5760
304.000000 81.588 167.1279
