* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:41:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 bl R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.499 -65.9091
1.015000 65.024 -66.3623
1.030000 65.542 -66.8939
1.044000 66.014 -67.4496
1.060000 66.539 -68.1446
1.075000 67.012 -68.8449
1.090000 67.466 -69.5801
1.106000 67.935 -70.3639
1.120000 68.348 -70.9951
1.138000 68.891 -71.7085
1.150000 69.261 -72.1298
1.172000 69.951 -72.8132
1.180000 70.205 -73.0391
1.206000 71.039 -73.7059
1.220000 71.491 -74.0316
1.241000 72.169 -74.4889
1.250000 72.459 -74.6761
1.265000 72.940 -74.9796
1.280000 73.416 -75.2755
1.315000 74.503 -75.9516
1.320000 74.654 -76.0479
1.340000 75.248 -76.4348
1.360000 75.820 -76.8282
1.380000 76.366 -77.2205
1.400000 76.884 -77.6208
1.430000 77.596 -78.2488
1.450000 78.024 -78.6868
1.475000 78.502 -79.2400
1.500000 78.920 -79.7570
1.525000 79.283 -80.2247
1.550000 79.597 -80.6520
1.575000 79.869 -81.0440
1.600000 80.104 -81.4052
1.625000 80.309 -81.7522
1.650000 80.488 -82.0913
1.675000 80.648 -82.4280
1.700000 80.796 -82.7667
1.725000 80.936 -83.1114
1.750000 81.074 -83.4654
1.775000 81.218 -83.8356
1.800000 81.371 -84.2281
1.825000 81.539 -84.6337
1.850000 81.715 -85.0423
1.875000 81.888 -85.4390
1.900000 82.055 -85.8193
1.925000 82.216 -86.1837
1.950000 82.371 -86.5337
1.975000 82.520 -86.8746
2.000000 82.665 -87.2119
2.030000 82.833 -87.6043
2.060000 82.996 -87.9867
2.090000 83.155 -88.3621
2.120000 83.311 -88.7334
2.140000 83.414 -88.9802
2.180000 83.617 -89.4819
2.200000 83.717 -89.7397
2.240000 83.913 -90.2470
2.270000 84.055 -90.6147
2.300000 84.193 -90.9702
2.330000 84.327 -91.3139
2.360000 84.457 -91.6465
2.400000 84.626 -92.0954
2.430000 84.750 -92.4244
2.470000 84.911 -92.8510
2.500000 85.030 -93.1636
2.540000 85.186 -93.5729
2.580000 85.339 -93.9875
2.620000 85.489 -94.4182
2.650000 85.599 -94.7327
2.690000 85.741 -95.1404
2.720000 85.846 -95.4370
2.760000 85.982 -95.8189
2.800000 86.115 -96.2158
2.850000 86.278 -96.6978
2.900000 86.436 -97.1610
2.950000 86.591 -97.6084
3.000000 86.742 -98.0680
3.040000 86.858 -98.4347
3.070000 86.944 -98.7029
3.110000 87.056 -99.0508
3.150000 87.166 -99.3875
3.200000 87.300 -99.8156
3.250000 87.432 -100.2378
3.300000 87.562 -100.6444
3.350000 87.689 -101.0377
3.400000 87.814 -101.4441
3.450000 87.935 -101.8482
3.500000 88.054 -102.2386
3.550000 88.170 -102.6136
3.600000 88.285 -103.0009
3.650000 88.397 -103.3856
3.700000 88.508 -103.7589
3.750000 88.617 -104.1235
3.820000 88.766 -104.6564
3.870000 88.870 -105.0327
3.950000 89.033 -105.6101
4.000000 89.132 -105.9797
4.060000 89.250 -106.4229
4.120000 89.365 -106.8563
4.180000 89.478 -107.2881
4.250000 89.606 -107.8134
4.310000 89.713 -108.2465
4.370000 89.818 -108.6682
4.440000 89.937 -109.1817
4.500000 90.037 -109.6149
4.550000 90.118 -109.9688
4.620000 90.229 -110.4819
4.680000 90.322 -110.9130
4.750000 90.428 -111.3947
4.820000 90.531 -111.8882
4.870000 90.602 -112.2394
4.940000 90.700 -112.7186
5.000000 90.781 -113.1324
5.080000 90.887 -113.6736
5.150000 90.978 -114.1223
5.220000 91.065 -114.5775
5.300000 91.163 -115.0879
5.380000 91.257 -115.5790
5.450000 91.338 -116.0127
5.520000 91.418 -116.4214
5.600000 91.507 -116.8802
5.700000 91.615 -117.4489
5.800000 91.722 -117.9927
5.900000 91.828 -118.5253
6.000000 91.932 -119.0343
6.080000 92.015 -119.4420
6.150000 92.087 -119.7825
6.220000 92.159 -120.1319
6.300000 92.242 -120.5213
6.400000 92.345 -120.9984
6.500000 92.448 -121.4818
6.600000 92.550 -121.9620
6.700000 92.652 -122.4529
6.800000 92.754 -122.9423
6.900000 92.854 -123.4440
7.000000 92.953 -123.9489
7.100000 93.050 -124.4700
7.200000 93.145 -124.9924
7.300000 93.237 -125.5228
7.400000 93.325 -126.0524
7.500000 93.410 -126.5930
7.620000 93.507 -127.2354
7.750000 93.607 -127.9160
7.880000 93.700 -128.5967
8.000000 93.782 -129.1991
8.120000 93.860 -129.7758
8.250000 93.939 -130.3733
8.380000 94.017 -130.9393
8.500000 94.089 -131.4393
8.620000 94.160 -131.9140
8.750000 94.239 -132.4123
8.850000 94.300 -132.7907
9.000000 94.392 -133.3423
9.120000 94.467 -133.7891
9.250000 94.550 -134.2838
9.380000 94.633 -134.7866
9.500000 94.708 -135.2726
9.620000 94.780 -135.7747
9.750000 94.854 -136.3373
9.880000 94.918 -136.9105
10.000000 94.965 -137.4376
10.150000 95.009 -138.1368
10.300000 95.039 -138.7955
10.440000 95.056 -139.3678
10.600000 95.065 -139.9572
10.750000 95.069 -140.4327
10.900000 95.072 -140.8378
11.060000 95.079 -141.2261
11.200000 95.090 -141.5532
11.380000 95.114 -141.9288
11.500000 95.136 -142.1624
11.720000 95.187 -142.5971
11.800000 95.208 -142.7696
12.060000 95.283 -143.4262
12.200000 95.322 -143.8830
12.410000 95.377 -144.6331
12.500000 95.399 -144.9709
12.650000 95.431 -145.5490
12.800000 95.456 -146.1224
13.150000 95.479 -147.3967
13.200000 95.480 -147.5664
13.400000 95.477 -148.1758
13.600000 95.473 -148.6758
13.800000 95.475 -149.0774
14.000000 95.489 -149.4286
14.300000 95.534 -150.0158
14.500000 95.575 -150.4670
14.750000 95.626 -151.1317
15.000000 95.667 -151.9068
15.250000 95.687 -152.7982
15.500000 95.682 -153.6681
15.750000 95.655 -154.4390
16.000000 95.617 -155.0549
16.250000 95.582 -155.5483
16.500000 95.560 -155.9077
16.750000 95.557 -156.1928
17.000000 95.570 -156.4753
17.250000 95.595 -156.8304
17.500000 95.623 -157.2484
17.750000 95.648 -157.7120
18.000000 95.665 -158.1956
18.250000 95.676 -158.6946
18.500000 95.684 -159.1623
18.750000 95.690 -159.5927
19.000000 95.699 -159.9959
19.250000 95.709 -160.4112
19.500000 95.720 -160.8259
19.750000 95.729 -161.2411
20.000000 95.736 -161.6498
20.299999 95.741 -162.1489
20.600000 95.744 -162.6136
20.900000 95.749 -163.0490
21.200001 95.757 -163.4915
21.400000 95.763 -163.7939
21.799999 95.772 -164.3999
22.000000 95.774 -164.6964
22.400000 95.777 -165.2737
22.700001 95.783 -165.6707
23.000000 95.797 -166.0671
23.299999 95.820 -166.5253
23.600000 95.844 -167.0695
24.000000 95.862 -167.9320
24.299999 95.854 -168.6397
24.700001 95.808 -169.4924
25.000000 95.759 -169.9716
25.400000 95.701 -170.3759
25.799999 95.675 -170.5983
26.200001 95.689 -170.8494
26.500000 95.713 -171.1467
26.900000 95.742 -171.6837
27.200001 95.753 -172.1453
27.600000 95.753 -172.7430
28.000000 95.749 -173.2736
28.500000 95.752 -173.9218
29.000000 95.753 -174.6354
29.500000 95.727 -175.3683
30.000000 95.675 -175.9109
30.400000 95.638 -176.1459
30.700001 95.625 -176.2375
31.100000 95.633 -176.3540
31.500000 95.659 -176.5734
32.000000 95.691 -177.0111
32.500000 95.708 -177.5430
33.000000 95.713 -178.0562
33.500000 95.719 -178.5701
34.000000 95.722 -179.1328
34.500000 95.710 -179.7286
35.000000 95.685 179.7459
35.500000 95.662 179.3222
36.000000 95.654 178.9297
36.500000 95.656 178.4583
37.000000 95.652 177.9012
37.500000 95.632 177.3385
38.200001 95.593 176.7032
38.700001 95.574 176.3522
39.500000 95.572 175.7984
40.000000 95.577 175.3926
40.599998 95.579 174.8605
41.200001 95.571 174.3460
41.799999 95.560 173.8880
42.500000 95.549 173.4128
43.099998 95.544 173.0253
43.700001 95.540 172.6312
44.400002 95.532 172.1556
45.000000 95.521 171.7470
45.500000 95.509 171.4079
46.200001 95.487 170.9563
46.799999 95.466 170.6154
47.500000 95.450 170.2724
48.200001 95.450 169.9003
48.700001 95.453 169.5632
49.400002 95.447 169.0207
50.000000 95.431 168.5707
50.799999 95.407 168.0370
51.500000 95.385 167.5974
52.200001 95.361 167.1953
53.000000 95.338 166.7904
53.799999 95.321 166.3763
54.500000 95.306 166.0041
55.200001 95.293 165.6348
56.000000 95.277 165.1656
57.000000 95.236 164.6155
58.000000 95.203 164.2782
59.000000 95.191 163.8650
60.000000 95.162 163.4426
60.799999 95.144 163.1620
61.500000 95.129 162.8671
62.200001 95.104 162.5910
63.000000 95.080 162.3567
64.000000 95.065 161.9148
65.000000 95.013 161.4220
66.000000 94.963 161.2362
67.000000 94.963 160.9956
68.000000 94.953 160.4821
69.000000 94.918 160.0205
70.000000 94.886 159.6229
71.000000 94.849 159.2292
72.000000 94.811 158.9223
73.000000 94.786 158.6143
74.000000 94.756 158.2360
75.000000 94.714 157.8937
76.199997 94.674 157.5934
77.500000 94.657 157.1421
78.800003 94.626 156.3847
80.000000 94.555 155.5635
81.199997 94.431 154.9649
82.500000 94.308 154.9165
83.800003 94.269 155.0252
85.000000 94.256 154.7995
86.199997 94.210 154.4377
87.500000 94.135 154.1676
88.500000 94.078 154.0018
90.000000 93.996 153.7326
91.199997 93.932 153.4716
92.500000 93.866 153.2033
93.800003 93.805 152.9510
95.000000 93.752 152.7574
96.199997 93.705 152.5735
97.500000 93.656 152.3430
98.800003 93.604 152.0895
100.000000 93.556 151.8251
101.500000 93.494 151.5022
103.000000 93.430 151.1501
104.400002 93.361 150.8539
106.000000 93.276 150.5504
107.500000 93.192 150.3205
109.000000 93.107 150.1270
110.599998 93.026 149.9585
112.000000 92.953 149.7809
113.800003 92.850 149.6257
115.000000 92.776 149.5982
117.199997 92.663 149.6964
118.000000 92.629 149.7069
120.599998 92.541 149.8783
122.000000 92.523 149.9769
124.099998 92.509 150.0286
125.000000 92.507 149.9965
126.500000 92.496 149.8138
128.000000 92.471 149.5688
131.500000 92.414 148.9797
132.000000 92.406 148.8829
134.000000 92.360 148.5002
136.000000 92.292 148.2505
138.000000 92.223 148.0599
140.000000 92.158 147.8439
143.000000 92.060 147.5019
145.000000 91.999 147.3599
147.500000 91.926 147.1256
150.000000 91.848 146.7809
152.500000 91.756 146.5063
155.000000 91.670 146.3799
157.500000 91.585 146.1898
160.000000 91.493 146.0097
162.500000 91.405 145.9005
165.000000 91.310 145.8463
167.500000 91.212 145.8186
170.000000 91.117 145.7346
172.500000 91.024 145.6772
175.000000 90.943 145.7085
177.500000 90.870 145.6953
180.000000 90.795 145.6051
182.500000 90.716 145.5320
185.000000 90.638 145.4256
187.500000 90.551 145.2457
190.000000 90.458 145.1142
192.500000 90.368 145.0342
195.000000 90.281 144.9622
197.500000 90.194 144.8886
200.000000 90.108 144.8238
203.000000 90.009 144.8246
206.000000 89.911 144.8667
209.000000 89.814 144.8972
212.000000 89.721 144.9696
214.000000 89.664 145.0475
218.000000 89.552 145.2278
220.000000 89.495 145.3068
224.000000 89.386 145.5127
227.000000 89.311 145.7496
230.000000 89.241 146.0437
233.000000 89.188 146.3683
236.000000 89.153 146.6519
240.000000 89.124 146.8777
243.000000 89.105 146.8456
247.000000 89.063 146.6995
250.000000 89.013 146.5861
254.000000 88.931 146.4845
258.000000 88.839 146.4323
262.000000 88.743 146.4328
265.000000 88.673 146.4537
269.000000 88.580 146.4954
272.000000 88.511 146.5441
276.000000 88.423 146.6360
280.000000 88.335 146.7475
285.000000 88.229 146.9025
290.000000 88.125 147.0489
295.000000 88.022 147.2392
300.000000 87.923 147.4613
304.000000 87.845 147.6357
307.000000 87.786 147.7644
311.000000 87.708 147.9280
315.000000 87.632 148.1096
