* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:29:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 c L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.174 -85.4590
1.015000 69.683 -84.7154
1.030000 70.177 -84.0843
1.044000 70.621 -83.5901
1.060000 71.107 -83.1294
1.075000 71.536 -82.7910
1.090000 71.938 -82.5336
1.106000 72.342 -82.3238
1.120000 72.686 -82.1615
1.138000 73.123 -81.9614
1.150000 73.411 -81.8329
1.172000 73.933 -81.6124
1.180000 74.120 -81.5388
1.206000 74.720 -81.3221
1.220000 75.037 -81.2214
1.241000 75.503 -81.0930
1.250000 75.699 -81.0467
1.265000 76.021 -80.9817
1.280000 76.336 -80.9321
1.315000 77.043 -80.8780
1.320000 77.141 -80.8774
1.340000 77.523 -80.8933
1.360000 77.889 -80.9386
1.380000 78.239 -81.0027
1.400000 78.573 -81.0922
1.430000 79.039 -81.2812
1.450000 79.326 -81.4423
1.475000 79.655 -81.6686
1.500000 79.945 -81.8872
1.525000 80.197 -82.0859
1.550000 80.414 -82.2696
1.575000 80.602 -82.4393
1.600000 80.764 -82.5964
1.625000 80.905 -82.7548
1.650000 81.029 -82.9185
1.675000 81.140 -83.0911
1.700000 81.243 -83.2754
1.725000 81.341 -83.4742
1.750000 81.439 -83.6895
1.775000 81.542 -83.9273
1.800000 81.653 -84.1932
1.825000 81.775 -84.4774
1.850000 81.905 -84.7710
1.875000 82.034 -85.0603
1.900000 82.160 -85.3411
1.925000 82.283 -85.6135
1.950000 82.403 -85.8783
1.975000 82.520 -86.1404
2.000000 82.634 -86.4046
2.030000 82.768 -86.7161
2.060000 82.900 -87.0242
2.090000 83.028 -87.3311
2.120000 83.155 -87.6391
2.140000 83.238 -87.8460
2.180000 83.403 -88.2733
2.200000 83.485 -88.4963
2.240000 83.645 -88.9392
2.270000 83.762 -89.2632
2.300000 83.877 -89.5788
2.330000 83.989 -89.8863
2.360000 84.098 -90.1860
2.400000 84.241 -90.5958
2.430000 84.347 -90.8988
2.470000 84.485 -91.2946
2.500000 84.586 -91.5868
2.540000 84.721 -91.9720
2.580000 84.853 -92.3660
2.620000 84.982 -92.7797
2.650000 85.077 -93.0837
2.690000 85.202 -93.4801
2.720000 85.293 -93.7701
2.760000 85.413 -94.1452
2.800000 85.531 -94.5372
2.850000 85.675 -95.0157
2.900000 85.815 -95.4778
2.950000 85.952 -95.9265
3.000000 86.086 -96.3912
3.040000 86.189 -96.7644
3.070000 86.266 -97.0384
3.110000 86.366 -97.3950
3.150000 86.464 -97.7407
3.200000 86.584 -98.1800
3.250000 86.702 -98.6123
3.300000 86.818 -99.0280
3.350000 86.932 -99.4311
3.400000 87.042 -99.8487
3.450000 87.151 -100.2647
3.500000 87.257 -100.6665
3.550000 87.361 -101.0513
3.600000 87.463 -101.4456
3.650000 87.564 -101.8341
3.700000 87.663 -102.2088
3.750000 87.760 -102.5741
3.820000 87.893 -103.1065
3.870000 87.986 -103.4805
3.950000 88.132 -104.0487
4.000000 88.221 -104.4079
4.060000 88.327 -104.8335
4.120000 88.431 -105.2449
4.180000 88.532 -105.6512
4.250000 88.649 -106.1433
4.310000 88.746 -106.5450
4.370000 88.843 -106.9322
4.440000 88.953 -107.4004
4.500000 89.046 -107.7894
4.550000 89.123 -108.1041
4.620000 89.228 -108.5605
4.680000 89.317 -108.9433
4.750000 89.419 -109.3698
4.820000 89.520 -109.8071
4.870000 89.591 -110.1161
4.940000 89.690 -110.5352
5.000000 89.773 -110.8994
5.080000 89.883 -111.3815
5.150000 89.977 -111.7858
5.220000 90.071 -112.2000
5.300000 90.176 -112.6669
5.380000 90.280 -113.1223
5.450000 90.370 -113.5346
5.520000 90.459 -113.9326
5.600000 90.559 -114.3893
5.700000 90.683 -114.9683
5.800000 90.804 -115.5386
5.900000 90.924 -116.1169
6.000000 91.041 -116.6903
6.080000 91.133 -117.1596
6.150000 91.213 -117.5590
6.220000 91.291 -117.9712
6.300000 91.379 -118.4389
6.400000 91.486 -119.0233
6.500000 91.591 -119.6168
6.600000 91.693 -120.2033
6.700000 91.792 -120.7982
6.800000 91.889 -121.3899
6.900000 91.982 -121.9855
7.000000 92.072 -122.5718
7.100000 92.158 -123.1640
7.200000 92.242 -123.7480
7.300000 92.322 -124.3282
7.400000 92.398 -124.8947
7.500000 92.471 -125.4609
7.620000 92.554 -126.1224
7.750000 92.639 -126.8111
7.880000 92.719 -127.4874
8.000000 92.789 -128.0778
8.120000 92.856 -128.6381
8.250000 92.925 -129.2126
8.380000 92.992 -129.7493
8.500000 93.053 -130.2171
8.620000 93.115 -130.6545
8.750000 93.183 -131.1021
8.850000 93.236 -131.4326
9.000000 93.317 -131.8975
9.120000 93.384 -132.2605
9.250000 93.460 -132.6475
9.380000 93.538 -133.0269
9.500000 93.612 -133.3907
9.620000 93.688 -133.7635
9.750000 93.769 -134.1820
9.880000 93.846 -134.6206
10.000000 93.909 -135.0366
10.150000 93.980 -135.6201
10.300000 94.041 -136.2087
10.440000 94.089 -136.7614
10.600000 94.136 -137.3858
10.750000 94.172 -137.9565
10.900000 94.202 -138.5079
11.060000 94.229 -139.0923
11.200000 94.250 -139.6171
11.380000 94.272 -140.2413
11.500000 94.284 -140.6236
11.720000 94.302 -141.2587
11.800000 94.309 -141.4691
12.060000 94.333 -142.1150
12.200000 94.348 -142.4768
12.410000 94.378 -142.9918
12.500000 94.395 -143.2072
12.650000 94.429 -143.5619
12.800000 94.466 -143.9157
13.150000 94.557 -144.8083
13.200000 94.569 -144.9480
13.400000 94.618 -145.5104
13.600000 94.662 -146.0738
13.800000 94.700 -146.6321
14.000000 94.734 -147.1809
14.300000 94.775 -148.0341
14.500000 94.797 -148.5670
14.750000 94.820 -149.1816
15.000000 94.841 -149.7401
15.250000 94.863 -150.3047
15.500000 94.888 -150.8303
15.750000 94.916 -151.3296
16.000000 94.948 -151.8206
16.250000 94.983 -152.3562
16.500000 95.018 -152.8992
16.750000 95.048 -153.4432
17.000000 95.073 -153.9781
17.250000 95.093 -154.5174
17.500000 95.109 -155.0182
17.750000 95.123 -155.4711
18.000000 95.139 -155.8853
18.250000 95.159 -156.3018
18.500000 95.183 -156.7141
18.750000 95.210 -157.1353
19.000000 95.235 -157.5753
19.250000 95.258 -158.0549
19.500000 95.275 -158.5388
19.750000 95.285 -159.0103
20.000000 95.292 -159.4542
20.299999 95.297 -159.9727
20.600000 95.303 -160.4461
20.900000 95.314 -160.8945
21.200001 95.327 -161.3614
21.400000 95.337 -161.6870
21.799999 95.355 -162.3595
22.000000 95.362 -162.7030
22.400000 95.369 -163.4104
22.700001 95.371 -163.9259
23.000000 95.370 -164.4243
23.299999 95.366 -164.9170
23.600000 95.360 -165.3806
24.000000 95.350 -165.9339
24.299999 95.344 -166.3107
24.700001 95.343 -166.7560
25.000000 95.350 -167.0730
25.400000 95.364 -167.5271
25.799999 95.374 -167.9937
26.200001 95.375 -168.4220
26.500000 95.372 -168.6729
26.900000 95.379 -168.8885
27.200001 95.402 -169.0127
27.600000 95.457 -169.2506
28.000000 95.525 -169.6916
28.500000 95.585 -170.5698
29.000000 95.579 -171.5601
29.500000 95.515 -172.3347
30.000000 95.441 -172.7275
30.400000 95.405 -172.8607
30.700001 95.397 -172.9435
31.100000 95.402 -173.1315
31.500000 95.413 -173.4582
32.000000 95.412 -173.9858
32.500000 95.391 -174.5219
33.000000 95.368 -174.9725
33.500000 95.356 -175.3908
34.000000 95.352 -175.8601
34.500000 95.344 -176.3922
35.000000 95.325 -176.8814
35.500000 95.309 -177.2668
36.000000 95.310 -177.6007
36.500000 95.325 -178.0014
37.000000 95.335 -178.4820
37.500000 95.330 -178.9517
38.200001 95.315 -179.4485
38.700001 95.316 -179.7528
39.500000 95.322 179.6833
40.000000 95.314 179.3256
40.599998 95.302 178.9537
41.200001 95.298 178.5962
41.799999 95.294 178.1842
42.500000 95.277 177.6741
43.099998 95.259 177.2701
43.700001 95.244 176.8813
44.400002 95.228 176.4269
45.000000 95.216 176.0564
45.500000 95.213 175.7409
46.200001 95.212 175.2384
46.799999 95.203 174.7674
47.500000 95.180 174.2743
48.200001 95.162 173.8779
48.700001 95.156 173.6099
49.400002 95.151 173.2050
50.000000 95.144 172.8362
50.799999 95.128 172.3576
51.500000 95.111 171.9736
52.200001 95.095 171.6141
53.000000 95.077 171.2137
53.799999 95.058 170.8288
54.500000 95.047 170.4896
55.200001 95.034 170.1118
56.000000 95.011 169.6679
57.000000 94.977 169.2113
58.000000 94.958 168.7885
59.000000 94.934 168.3027
60.000000 94.902 167.8776
60.799999 94.881 167.5650
61.500000 94.863 167.2748
62.200001 94.842 166.9871
63.000000 94.820 166.6658
64.000000 94.790 166.2379
65.000000 94.762 165.8356
66.000000 94.740 165.3702
67.000000 94.704 164.8916
68.000000 94.665 164.5261
69.000000 94.638 164.2007
70.000000 94.612 163.8704
71.000000 94.585 163.5471
72.000000 94.556 163.2199
73.000000 94.520 162.8884
74.000000 94.480 162.5684
75.000000 94.440 162.2630
76.199997 94.393 161.8726
77.500000 94.344 161.4539
78.800003 94.294 161.0363
80.000000 94.250 160.6853
81.199997 94.206 160.3306
82.500000 94.153 159.9716
83.800003 94.101 159.6404
85.000000 94.051 159.3501
86.199997 94.005 159.0740
87.500000 93.957 158.7617
88.500000 93.918 158.5174
90.000000 93.858 158.1819
91.199997 93.811 157.9034
92.500000 93.759 157.6135
93.800003 93.712 157.3183
95.000000 93.667 157.0187
96.199997 93.619 156.7315
97.500000 93.566 156.4577
98.800003 93.513 156.2049
100.000000 93.465 155.9922
101.500000 93.410 155.7350
103.000000 93.353 155.4371
104.400002 93.297 155.1641
106.000000 93.231 154.8759
107.500000 93.170 154.6158
109.000000 93.107 154.3681
110.599998 93.039 154.1426
112.000000 92.984 153.9450
113.800003 92.916 153.6676
115.000000 92.869 153.4803
117.199997 92.781 153.1573
118.000000 92.750 153.0536
120.599998 92.649 152.7274
122.000000 92.593 152.5607
124.099998 92.513 152.3431
125.000000 92.482 152.2613
126.500000 92.432 152.1243
128.000000 92.384 151.9802
131.500000 92.261 151.6495
132.000000 92.244 151.6108
134.000000 92.177 151.4383
136.000000 92.112 151.2435
138.000000 92.046 151.0745
140.000000 91.981 150.9726
143.000000 91.887 150.8132
145.000000 91.824 150.6905
147.500000 91.749 150.4983
150.000000 91.671 150.3392
152.500000 91.596 150.2416
155.000000 91.519 150.1220
157.500000 91.440 149.9745
160.000000 91.359 149.8417
162.500000 91.268 149.7108
165.000000 91.170 149.6216
167.500000 91.069 149.5299
170.000000 90.964 149.5263
172.500000 90.865 149.5432
175.000000 90.764 149.5432
177.500000 90.663 149.5956
180.000000 90.567 149.6915
182.500000 90.474 149.8513
185.000000 90.395 150.0869
187.500000 90.332 150.3374
190.000000 90.283 150.5721
192.500000 90.246 150.7100
195.000000 90.210 150.7201
197.500000 90.168 150.6740
200.000000 90.122 150.5753
203.000000 90.063 150.3999
206.000000 89.998 150.1977
209.000000 89.926 150.0145
212.000000 89.852 149.8843
214.000000 89.804 149.8304
218.000000 89.710 149.8347
220.000000 89.662 149.8322
224.000000 89.560 149.7714
227.000000 89.481 149.7858
230.000000 89.403 149.8672
233.000000 89.326 149.9514
236.000000 89.250 150.0329
240.000000 89.153 150.1895
243.000000 89.085 150.3221
247.000000 89.002 150.5041
250.000000 88.943 150.6336
254.000000 88.866 150.7953
258.000000 88.786 150.9442
262.000000 88.705 151.0899
265.000000 88.642 151.1965
269.000000 88.554 151.3464
272.000000 88.489 151.4561
276.000000 88.405 151.5995
280.000000 88.320 151.7559
285.000000 88.217 151.9958
290.000000 88.126 152.2732
295.000000 88.035 152.5187
300.000000 87.936 152.7994
304.000000 87.857 153.0485
307.000000 87.801 153.2359
311.000000 87.731 153.4936
