* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:27:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 c R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.913 -39.9826
1.015000 70.273 -41.8630
1.030000 70.630 -43.6940
1.044000 70.957 -45.3639
1.060000 71.325 -47.2323
1.075000 71.662 -48.9499
1.090000 71.990 -50.6369
1.106000 72.335 -52.3921
1.120000 72.638 -53.8676
1.138000 73.033 -55.6646
1.150000 73.300 -56.7993
1.172000 73.795 -58.7541
1.180000 73.977 -59.4272
1.206000 74.569 -61.4810
1.220000 74.888 -62.5082
1.241000 75.365 -63.9557
1.250000 75.568 -64.5445
1.265000 75.905 -65.4871
1.280000 76.237 -66.3853
1.315000 76.994 -68.3307
1.320000 77.100 -68.5935
1.340000 77.513 -69.6119
1.360000 77.912 -70.5842
1.380000 78.293 -71.5064
1.400000 78.655 -72.3916
1.430000 79.157 -73.6697
1.450000 79.461 -74.4951
1.475000 79.804 -75.4936
1.500000 80.106 -76.4337
1.525000 80.370 -77.3092
1.550000 80.601 -78.1265
1.575000 80.803 -78.8881
1.600000 80.980 -79.5971
1.625000 81.135 -80.2691
1.650000 81.273 -80.9102
1.675000 81.398 -81.5258
1.700000 81.515 -82.1206
1.725000 81.627 -82.6993
1.750000 81.738 -83.2656
1.775000 81.852 -83.8274
1.800000 81.974 -84.3917
1.825000 82.106 -84.9514
1.850000 82.244 -85.5024
1.875000 82.381 -86.0365
1.900000 82.514 -86.5507
1.925000 82.643 -87.0446
1.950000 82.768 -87.5186
1.975000 82.890 -87.9774
2.000000 83.008 -88.4253
2.030000 83.147 -88.9403
2.060000 83.283 -89.4331
2.090000 83.415 -89.9060
2.120000 83.545 -90.3613
2.140000 83.631 -90.6563
2.180000 83.800 -91.2358
2.200000 83.884 -91.5242
2.240000 84.048 -92.0822
2.270000 84.167 -92.4824
2.300000 84.284 -92.8664
2.330000 84.397 -93.2346
2.360000 84.508 -93.5874
2.400000 84.652 -94.0563
2.430000 84.759 -94.3947
2.470000 84.898 -94.8259
2.500000 85.001 -95.1353
2.540000 85.137 -95.5312
2.580000 85.272 -95.9216
2.620000 85.404 -96.3189
2.650000 85.502 -96.6040
2.690000 85.629 -96.9678
2.720000 85.723 -97.2288
2.760000 85.847 -97.5609
2.800000 85.968 -97.9058
2.850000 86.117 -98.3207
2.900000 86.264 -98.7148
2.950000 86.409 -99.0891
3.000000 86.551 -99.4686
3.040000 86.663 -99.7666
3.070000 86.745 -99.9819
3.110000 86.854 -100.2587
3.150000 86.961 -100.5249
3.200000 87.093 -100.8680
3.250000 87.224 -101.2100
3.300000 87.354 -101.5413
3.350000 87.482 -101.8601
3.400000 87.608 -102.1902
3.450000 87.733 -102.5178
3.500000 87.856 -102.8340
3.550000 87.978 -103.1393
3.600000 88.098 -103.4631
3.650000 88.216 -103.7918
3.700000 88.333 -104.1150
3.750000 88.449 -104.4327
3.820000 88.608 -104.9039
3.870000 88.719 -105.2397
3.950000 88.894 -105.7604
4.000000 89.001 -106.1006
4.060000 89.126 -106.5153
4.120000 89.249 -106.9263
4.180000 89.369 -107.3400
4.250000 89.506 -107.8481
4.310000 89.620 -108.2686
4.370000 89.731 -108.6794
4.440000 89.856 -109.1831
4.500000 89.960 -109.6115
4.550000 90.044 -109.9631
4.620000 90.159 -110.4734
4.680000 90.254 -110.9007
4.750000 90.362 -111.3747
4.820000 90.466 -111.8582
4.870000 90.538 -112.2020
4.940000 90.635 -112.6697
5.000000 90.716 -113.0717
5.080000 90.821 -113.5923
5.150000 90.910 -114.0171
5.220000 90.996 -114.4441
5.300000 91.090 -114.9181
5.380000 91.182 -115.3688
5.450000 91.261 -115.7638
5.520000 91.339 -116.1303
5.600000 91.426 -116.5360
5.700000 91.533 -117.0331
5.800000 91.638 -117.5031
5.900000 91.744 -117.9615
6.000000 91.849 -118.3941
6.080000 91.932 -118.7404
6.150000 92.006 -119.0286
6.220000 92.079 -119.3281
6.300000 92.164 -119.6630
6.400000 92.270 -120.0745
6.500000 92.377 -120.4965
6.600000 92.483 -120.9211
6.700000 92.589 -121.3620
6.800000 92.695 -121.8061
6.900000 92.799 -122.2678
7.000000 92.901 -122.7381
7.100000 93.002 -123.2294
7.200000 93.101 -123.7271
7.300000 93.197 -124.2387
7.400000 93.289 -124.7551
7.500000 93.377 -125.2881
7.620000 93.479 -125.9297
7.750000 93.582 -126.6221
7.880000 93.679 -127.3275
8.000000 93.762 -127.9632
8.120000 93.841 -128.5846
8.250000 93.919 -129.2433
8.380000 93.993 -129.8771
8.500000 94.058 -130.4431
8.620000 94.121 -130.9867
8.750000 94.186 -131.5519
8.850000 94.234 -131.9715
9.000000 94.305 -132.5681
9.120000 94.360 -133.0281
9.250000 94.421 -133.5068
9.380000 94.483 -133.9641
9.500000 94.539 -134.3832
9.620000 94.597 -134.7926
9.750000 94.658 -135.2312
9.880000 94.715 -135.6699
10.000000 94.762 -136.0676
10.150000 94.814 -136.6078
10.300000 94.860 -137.1374
10.440000 94.899 -137.6235
10.600000 94.938 -138.1683
10.750000 94.971 -138.6686
10.900000 95.001 -139.1575
11.060000 95.032 -139.6928
11.200000 95.058 -140.1908
11.380000 95.087 -140.8037
11.500000 95.103 -141.1932
11.720000 95.129 -141.8644
11.800000 95.137 -142.0933
12.060000 95.162 -142.8093
12.200000 95.176 -143.2079
12.410000 95.203 -143.7714
12.500000 95.218 -144.0035
12.650000 95.247 -144.3808
12.800000 95.281 -144.7523
13.150000 95.365 -145.6782
13.200000 95.377 -145.8233
13.400000 95.423 -146.4119
13.600000 95.464 -147.0098
13.800000 95.497 -147.6104
14.000000 95.522 -148.2026
14.300000 95.545 -149.1089
14.500000 95.552 -149.6571
14.750000 95.555 -150.2617
15.000000 95.558 -150.7797
15.250000 95.567 -151.2865
15.500000 95.584 -151.7575
15.750000 95.607 -152.2235
16.000000 95.636 -152.7149
16.250000 95.665 -153.2838
16.500000 95.691 -153.8829
16.750000 95.707 -154.4904
17.000000 95.714 -155.0812
17.250000 95.713 -155.6599
17.500000 95.708 -156.1812
17.750000 95.702 -156.6398
18.000000 95.699 -157.0502
18.250000 95.702 -157.4572
18.500000 95.709 -157.8546
18.750000 95.720 -158.2532
19.000000 95.731 -158.6603
19.250000 95.741 -159.0972
19.500000 95.749 -159.5336
19.750000 95.754 -159.9606
20.000000 95.757 -160.3711
20.299999 95.759 -160.8690
20.600000 95.760 -161.3376
20.900000 95.762 -161.7798
21.200001 95.764 -162.2183
21.400000 95.766 -162.5058
21.799999 95.771 -163.0566
22.000000 95.774 -163.3245
22.400000 95.784 -163.8791
22.700001 95.792 -164.3001
23.000000 95.801 -164.7337
23.299999 95.808 -165.1975
23.600000 95.812 -165.6725
24.000000 95.811 -166.3094
24.299999 95.806 -166.7954
24.700001 95.792 -167.4134
25.000000 95.779 -167.8399
25.400000 95.759 -168.3613
25.799999 95.744 -168.8091
26.200001 95.740 -169.2271
26.500000 95.745 -169.5578
26.900000 95.759 -170.0556
27.200001 95.768 -170.4903
27.600000 95.768 -171.1206
28.000000 95.750 -171.7264
28.500000 95.709 -172.3301
29.000000 95.677 -172.6967
29.500000 95.677 -172.9661
30.000000 95.704 -173.3224
30.400000 95.728 -173.7370
30.700001 95.739 -174.0958
31.100000 95.738 -174.5786
31.500000 95.725 -175.0098
32.000000 95.707 -175.4237
32.500000 95.702 -175.7710
33.000000 95.707 -176.1398
33.500000 95.714 -176.5804
34.000000 95.712 -177.0549
34.500000 95.703 -177.5223
35.000000 95.694 -177.9602
35.500000 95.689 -178.4020
36.000000 95.684 -178.8683
36.500000 95.675 -179.3574
37.000000 95.661 -179.8282
37.500000 95.643 179.7471
38.200001 95.625 179.2495
38.700001 95.622 178.9307
39.500000 95.639 178.3640
40.000000 95.650 177.9218
40.599998 95.649 177.3383
41.200001 95.631 176.8134
41.799999 95.610 176.3998
42.500000 95.596 175.9765
43.099998 95.591 175.5907
43.700001 95.582 175.1831
44.400002 95.569 174.7122
45.000000 95.556 174.3293
45.500000 95.547 174.0209
46.200001 95.539 173.5869
46.799999 95.534 173.1782
47.500000 95.520 172.6752
48.200001 95.496 172.2379
48.700001 95.482 171.9842
49.400002 95.472 171.6527
50.000000 95.471 171.3389
50.799999 95.466 170.8661
51.500000 95.455 170.4286
52.200001 95.436 170.0162
53.000000 95.412 169.6252
53.799999 95.401 169.2613
54.500000 95.398 168.8872
55.200001 95.391 168.4629
56.000000 95.373 167.9727
57.000000 95.343 167.4289
58.000000 95.311 167.0090
59.000000 95.287 166.6849
60.000000 95.277 166.3656
60.799999 95.268 166.0443
61.500000 95.254 165.7558
62.200001 95.239 165.4804
63.000000 95.224 165.1380
64.000000 95.194 164.6697
65.000000 95.162 164.2702
66.000000 95.138 163.8991
67.000000 95.123 163.5316
68.000000 95.106 163.1093
69.000000 95.076 162.7360
70.000000 95.048 162.4530
71.000000 95.023 162.1685
72.000000 95.000 161.8607
73.000000 94.975 161.4484
74.000000 94.930 161.0087
75.000000 94.882 160.6693
76.199997 94.838 160.2966
77.500000 94.801 159.8951
78.800003 94.761 159.5621
80.000000 94.735 159.3141
81.199997 94.698 159.0097
82.500000 94.644 158.7538
83.800003 94.584 158.4465
85.000000 94.517 158.1988
86.199997 94.465 157.8942
87.500000 94.398 157.4945
88.500000 94.355 157.2548
90.000000 94.296 156.7911
91.199997 94.237 156.5150
92.500000 94.178 156.3466
93.800003 94.127 156.2530
95.000000 94.087 156.1656
96.199997 94.051 156.0085
97.500000 94.001 155.7416
98.800003 93.938 155.4987
100.000000 93.885 155.3256
101.500000 93.830 155.0394
103.000000 93.764 154.7161
104.400002 93.699 154.4812
106.000000 93.622 154.3069
107.500000 93.558 154.2401
109.000000 93.508 154.1812
110.599998 93.451 154.0160
112.000000 93.390 153.8785
113.800003 93.315 153.7703
115.000000 93.271 153.6844
117.199997 93.191 153.5416
118.000000 93.169 153.5168
120.599998 93.108 153.1938
122.000000 93.065 153.0573
124.099998 93.014 152.8738
125.000000 92.991 152.7428
126.500000 92.941 152.5372
128.000000 92.891 152.4010
131.500000 92.785 151.8882
132.000000 92.767 151.8217
134.000000 92.700 151.6601
136.000000 92.648 151.5080
138.000000 92.588 151.3003
140.000000 92.516 151.1548
143.000000 92.418 151.0178
145.000000 92.361 150.9473
147.500000 92.303 150.8619
150.000000 92.244 150.6985
152.500000 92.174 150.5078
155.000000 92.105 150.3358
157.500000 92.043 150.1188
160.000000 91.968 149.8953
162.500000 91.875 149.7711
165.000000 91.777 149.6696
167.500000 91.683 149.5849
170.000000 91.592 149.5259
172.500000 91.495 149.4899
175.000000 91.397 149.4820
177.500000 91.306 149.5063
180.000000 91.231 149.5205
182.500000 91.154 149.4747
185.000000 91.076 149.5274
187.500000 91.010 149.5493
190.000000 90.941 149.4834
192.500000 90.867 149.4146
195.000000 90.790 149.3729
197.500000 90.716 149.3631
200.000000 90.644 149.3157
203.000000 90.558 149.2281
206.000000 90.466 149.1643
209.000000 90.369 149.1461
212.000000 90.269 149.2174
214.000000 90.204 149.3055
218.000000 90.087 149.5892
220.000000 90.037 149.7602
224.000000 89.956 150.1922
227.000000 89.911 150.4858
230.000000 89.867 150.6450
233.000000 89.823 150.7416
236.000000 89.779 150.8259
240.000000 89.719 150.9611
243.000000 89.682 150.9955
247.000000 89.629 150.9910
250.000000 89.579 150.9846
254.000000 89.498 150.9597
258.000000 89.411 150.9562
262.000000 89.322 151.0121
265.000000 89.254 151.0817
269.000000 89.162 151.1962
272.000000 89.095 151.2809
276.000000 89.009 151.4043
280.000000 88.924 151.5484
285.000000 88.818 151.7534
290.000000 88.717 151.9739
295.000000 88.614 152.2111
300.000000 88.512 152.4636
304.000000 88.435 152.6828
307.000000 88.378 152.8609
311.000000 88.304 153.0981
