* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:25:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 r L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.638 -49.3175
1.015000 68.092 -50.9672
1.030000 68.536 -52.5619
1.044000 68.941 -54.0069
1.060000 69.390 -55.6135
1.075000 69.794 -57.0816
1.090000 70.182 -58.5145
1.106000 70.581 -59.9915
1.120000 70.926 -61.2152
1.138000 71.370 -62.6799
1.150000 71.666 -63.5911
1.172000 72.208 -65.1388
1.180000 72.405 -65.6661
1.206000 73.039 -67.2593
1.220000 73.378 -68.0485
1.241000 73.879 -69.1541
1.250000 74.092 -69.6020
1.265000 74.442 -70.3177
1.280000 74.786 -70.9986
1.315000 75.565 -72.4732
1.320000 75.673 -72.6727
1.340000 76.096 -73.4472
1.360000 76.504 -74.1894
1.380000 76.894 -74.8944
1.400000 77.265 -75.5737
1.430000 77.784 -76.5620
1.450000 78.101 -77.2047
1.475000 78.462 -77.9828
1.500000 78.783 -78.7054
1.525000 79.064 -79.3660
1.550000 79.309 -79.9732
1.575000 79.524 -80.5311
1.600000 79.713 -81.0439
1.625000 79.879 -81.5282
1.650000 80.027 -81.9901
1.675000 80.162 -82.4352
1.700000 80.287 -82.8683
1.725000 80.408 -83.2934
1.750000 80.529 -83.7141
1.775000 80.653 -84.1376
1.800000 80.786 -84.5704
1.825000 80.929 -85.0040
1.850000 81.079 -85.4305
1.875000 81.228 -85.8385
1.900000 81.373 -86.2250
1.925000 81.514 -86.5915
1.950000 81.652 -86.9396
1.975000 81.786 -87.2753
2.000000 81.917 -87.6041
2.030000 82.070 -87.9821
2.060000 82.221 -88.3456
2.090000 82.368 -88.6975
2.120000 82.513 -89.0406
2.140000 82.609 -89.2658
2.180000 82.800 -89.7170
2.200000 82.894 -89.9455
2.240000 83.080 -90.3848
2.270000 83.216 -90.6941
2.300000 83.349 -90.9870
2.330000 83.479 -91.2653
2.360000 83.607 -91.5311
2.400000 83.775 -91.8904
2.430000 83.899 -92.1529
2.470000 84.061 -92.4926
2.500000 84.182 -92.7417
2.540000 84.341 -93.0686
2.580000 84.500 -93.4003
2.620000 84.656 -93.7415
2.650000 84.771 -93.9845
2.690000 84.922 -94.2934
2.720000 85.034 -94.5155
2.760000 85.182 -94.8001
2.800000 85.327 -95.1041
2.850000 85.506 -95.4796
2.900000 85.682 -95.8493
2.950000 85.856 -96.2132
3.000000 86.027 -96.5884
3.040000 86.161 -96.8855
3.070000 86.260 -97.1016
3.110000 86.391 -97.3824
3.150000 86.520 -97.6567
3.200000 86.679 -98.0164
3.250000 86.836 -98.3837
3.300000 86.991 -98.7497
3.350000 87.144 -99.1101
3.400000 87.294 -99.4861
3.450000 87.442 -99.8630
3.500000 87.588 -100.2315
3.550000 87.731 -100.5923
3.600000 87.872 -100.9750
3.650000 88.010 -101.3662
3.700000 88.146 -101.7560
3.750000 88.279 -102.1437
3.820000 88.462 -102.7168
3.870000 88.590 -103.1266
3.950000 88.789 -103.7665
4.000000 88.910 -104.1811
4.060000 89.051 -104.6857
4.120000 89.189 -105.1887
4.180000 89.323 -105.6957
4.250000 89.475 -106.3121
4.310000 89.600 -106.8235
4.370000 89.722 -107.3227
4.440000 89.859 -107.9277
4.500000 89.972 -108.4429
4.550000 90.063 -108.8668
4.620000 90.187 -109.4765
4.680000 90.289 -109.9861
4.750000 90.403 -110.5520
4.820000 90.513 -111.1246
4.870000 90.589 -111.5315
4.940000 90.690 -112.0862
5.000000 90.774 -112.5603
5.080000 90.882 -113.1715
5.150000 90.972 -113.6707
5.220000 91.059 -114.1695
5.300000 91.154 -114.7229
5.380000 91.245 -115.2477
5.450000 91.322 -115.7011
5.520000 91.397 -116.1198
5.600000 91.480 -116.5801
5.700000 91.580 -117.1378
5.800000 91.678 -117.6549
5.900000 91.775 -118.1440
6.000000 91.870 -118.5938
6.080000 91.945 -118.9442
6.150000 92.011 -119.2279
6.220000 92.078 -119.5139
6.300000 92.154 -119.8228
6.400000 92.250 -120.1878
6.500000 92.347 -120.5496
6.600000 92.444 -120.9007
6.700000 92.544 -121.2534
6.800000 92.644 -121.5975
6.900000 92.745 -121.9529
7.000000 92.847 -122.3127
7.100000 92.949 -122.6873
7.200000 93.052 -123.0665
7.300000 93.154 -123.4648
7.400000 93.254 -123.8743
7.500000 93.353 -124.3048
7.620000 93.469 -124.8362
7.750000 93.591 -125.4331
7.880000 93.708 -126.0653
8.000000 93.812 -126.6553
8.120000 93.910 -127.2561
8.250000 94.009 -127.9193
8.380000 94.103 -128.5818
8.500000 94.184 -129.1958
8.620000 94.260 -129.8071
8.750000 94.336 -130.4606
8.850000 94.391 -130.9561
9.000000 94.467 -131.6793
9.120000 94.523 -132.2434
9.250000 94.581 -132.8323
9.380000 94.635 -133.3968
9.500000 94.683 -133.9058
9.620000 94.729 -134.3930
9.750000 94.776 -134.9024
9.880000 94.817 -135.3944
10.000000 94.848 -135.8238
10.150000 94.879 -136.3813
10.300000 94.906 -136.9038
10.440000 94.927 -137.3613
10.600000 94.948 -137.8533
10.750000 94.968 -138.2880
10.900000 94.989 -138.7002
11.060000 95.014 -139.1510
11.200000 95.038 -139.5757
11.380000 95.069 -140.1072
11.500000 95.090 -140.4545
11.720000 95.127 -141.0804
11.800000 95.140 -141.3057
12.060000 95.182 -142.0566
12.200000 95.203 -142.5021
12.410000 95.237 -143.1637
12.500000 95.252 -143.4435
12.650000 95.281 -143.9041
12.800000 95.310 -144.3544
13.150000 95.371 -145.4059
13.200000 95.379 -145.5591
13.400000 95.409 -146.1517
13.600000 95.436 -146.7112
13.800000 95.460 -147.2380
14.000000 95.483 -147.7403
14.300000 95.518 -148.5204
14.500000 95.539 -149.0185
14.750000 95.562 -149.6160
15.000000 95.582 -150.1871
15.250000 95.599 -150.7826
15.500000 95.613 -151.3371
15.750000 95.625 -151.8431
16.000000 95.638 -152.3029
16.250000 95.657 -152.7692
16.500000 95.681 -153.2179
16.750000 95.707 -153.6679
17.000000 95.735 -154.1388
17.250000 95.761 -154.6649
17.500000 95.781 -155.2110
17.750000 95.792 -155.7549
18.000000 95.795 -156.2774
18.250000 95.792 -156.7832
18.500000 95.785 -157.2329
18.750000 95.780 -157.6240
19.000000 95.778 -157.9700
19.250000 95.782 -158.3171
19.500000 95.791 -158.6653
19.750000 95.802 -159.0302
20.000000 95.814 -159.4170
20.299999 95.823 -159.9301
20.600000 95.826 -160.4362
20.900000 95.824 -160.9090
21.200001 95.822 -161.3572
21.400000 95.822 -161.6432
21.799999 95.829 -162.2021
22.000000 95.835 -162.4921
22.400000 95.845 -163.1343
22.700001 95.847 -163.6351
23.000000 95.841 -164.1233
23.299999 95.831 -164.5874
23.600000 95.820 -165.0005
24.000000 95.813 -165.4949
24.299999 95.816 -165.8801
24.700001 95.824 -166.4382
25.000000 95.826 -166.8883
25.400000 95.816 -167.4954
25.799999 95.795 -168.0153
26.200001 95.778 -168.4272
26.500000 95.776 -168.6960
26.900000 95.790 -169.0674
27.200001 95.807 -169.4069
27.600000 95.826 -169.9498
28.000000 95.830 -170.5393
28.500000 95.814 -171.2358
29.000000 95.790 -171.7931
29.500000 95.773 -172.2532
30.000000 95.765 -172.6678
30.400000 95.763 -172.9959
30.700001 95.764 -173.2384
31.100000 95.768 -173.5700
31.500000 95.775 -173.9332
32.000000 95.781 -174.4211
32.500000 95.781 -174.9346
33.000000 95.774 -175.4317
33.500000 95.766 -175.9225
34.000000 95.755 -176.4137
34.500000 95.737 -176.8904
35.000000 95.716 -177.2992
35.500000 95.704 -177.6550
36.000000 95.704 -178.0241
36.500000 95.708 -178.4664
37.000000 95.703 -178.9439
37.500000 95.691 -179.3858
38.200001 95.680 -179.9091
38.700001 95.682 179.7085
39.500000 95.683 179.0180
40.000000 95.674 178.5987
40.599998 95.661 178.1555
41.200001 95.653 177.7525
41.799999 95.645 177.3553
42.500000 95.632 176.9258
43.099998 95.624 176.6127
43.700001 95.624 176.3069
44.400002 95.630 175.8830
45.000000 95.628 175.4712
45.500000 95.620 175.1277
46.200001 95.605 174.6877
46.799999 95.594 174.3313
47.500000 95.584 173.9008
48.200001 95.571 173.4614
48.700001 95.561 173.1593
49.400002 95.549 172.7570
50.000000 95.541 172.4186
50.799999 95.532 171.9698
51.500000 95.524 171.5988
52.200001 95.517 171.2567
53.000000 95.514 170.8696
53.799999 95.509 170.4437
54.500000 95.495 170.0703
55.200001 95.473 169.7742
56.000000 95.458 169.5094
57.000000 95.455 169.0691
58.000000 95.437 168.5276
59.000000 95.410 168.0277
60.000000 95.386 167.5515
60.799999 95.372 167.1681
61.500000 95.360 166.8123
62.200001 95.344 166.4708
63.000000 95.326 166.1515
64.000000 95.316 165.7719
65.000000 95.304 165.3600
66.000000 95.285 164.9964
67.000000 95.275 164.6458
68.000000 95.257 164.2036
69.000000 95.222 163.8223
70.000000 95.194 163.5445
71.000000 95.178 163.2513
72.000000 95.167 162.9012
73.000000 95.148 162.5078
74.000000 95.119 162.1588
75.000000 95.092 161.8719
76.199997 95.066 161.5111
77.500000 95.037 161.0672
78.800003 94.994 160.6189
80.000000 94.956 160.2561
81.199997 94.920 159.9022
82.500000 94.882 159.5141
83.800003 94.835 159.1283
85.000000 94.786 158.8307
86.199997 94.740 158.5760
87.500000 94.698 158.2743
88.500000 94.663 158.0080
90.000000 94.611 157.6455
91.199997 94.573 157.3663
92.500000 94.531 157.0861
93.800003 94.485 156.8555
95.000000 94.443 156.6781
96.199997 94.395 156.4640
97.500000 94.331 156.2468
98.800003 94.270 156.0594
100.000000 94.221 155.8132
101.500000 94.153 155.4524
103.000000 94.087 155.2200
104.400002 94.038 155.0463
106.000000 93.982 154.8221
107.500000 93.911 154.6129
109.000000 93.835 154.5010
110.599998 93.776 154.4190
112.000000 93.741 154.2374
113.800003 93.695 153.9479
115.000000 93.658 153.7688
117.199997 93.575 153.5361
118.000000 93.542 153.4586
120.599998 93.437 153.1595
122.000000 93.386 152.9810
124.099998 93.324 152.7499
125.000000 93.298 152.6635
126.500000 93.251 152.5730
128.000000 93.201 152.5618
131.500000 93.110 152.4650
132.000000 93.097 152.4156
134.000000 93.045 152.2223
136.000000 93.001 152.0202
138.000000 92.955 151.7784
140.000000 92.901 151.5590
143.000000 92.818 151.2418
145.000000 92.759 151.0262
147.500000 92.686 150.7930
150.000000 92.615 150.5603
152.500000 92.538 150.3364
155.000000 92.460 150.1991
157.500000 92.385 150.0981
160.000000 92.299 149.9819
162.500000 92.203 149.8428
165.000000 92.108 149.6813
167.500000 92.022 149.5753
170.000000 91.944 149.5143
172.500000 91.860 149.3991
175.000000 91.766 149.2728
177.500000 91.672 149.1897
180.000000 91.581 149.1682
182.500000 91.490 149.1609
185.000000 91.399 149.1630
187.500000 91.312 149.1891
190.000000 91.228 149.2308
192.500000 91.144 149.2837
195.000000 91.062 149.3472
197.500000 90.988 149.4182
200.000000 90.920 149.4749
203.000000 90.849 149.5490
206.000000 90.786 149.5894
209.000000 90.724 149.6023
212.000000 90.656 149.6029
214.000000 90.605 149.5912
218.000000 90.502 149.6263
220.000000 90.451 149.6622
224.000000 90.340 149.7726
227.000000 90.256 149.9071
230.000000 90.181 150.0958
233.000000 90.115 150.3544
236.000000 90.056 150.6386
240.000000 90.000 150.9789
243.000000 89.979 151.1628
247.000000 89.954 151.2609
250.000000 89.922 151.2416
254.000000 89.861 151.1750
258.000000 89.787 151.1051
262.000000 89.703 151.0947
265.000000 89.638 151.1318
269.000000 89.553 151.2156
272.000000 89.489 151.2760
276.000000 89.404 151.3697
280.000000 89.322 151.4931
285.000000 89.222 151.6812
290.000000 89.122 151.8399
295.000000 89.025 152.0411
300.000000 88.933 152.2698
304.000000 88.860 152.4539
307.000000 88.807 152.5977
311.000000 88.735 152.7925
