* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 21, 24 1:24:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sp01 r R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.564 -60.9426
1.015000 71.077 -60.6388
1.030000 71.573 -60.4137
1.044000 72.019 -60.2709
1.060000 72.503 -60.1829
1.075000 72.930 -60.1692
1.090000 73.328 -60.2157
1.106000 73.725 -60.3119
1.120000 74.058 -60.4062
1.138000 74.476 -60.5230
1.150000 74.748 -60.5978
1.172000 75.235 -60.7335
1.180000 75.408 -60.7841
1.206000 75.955 -60.9528
1.220000 76.240 -61.0483
1.241000 76.656 -61.2004
1.250000 76.829 -61.2694
1.265000 77.112 -61.3904
1.280000 77.387 -61.5196
1.315000 77.998 -61.8570
1.320000 78.082 -61.9097
1.340000 78.409 -62.1322
1.360000 78.722 -62.3751
1.380000 79.022 -62.6284
1.400000 79.307 -62.8996
1.430000 79.709 -63.3489
1.450000 79.959 -63.6762
1.475000 80.249 -64.1026
1.500000 80.504 -64.5126
1.525000 80.725 -64.8944
1.550000 80.914 -65.2539
1.575000 81.076 -65.5936
1.600000 81.214 -65.9159
1.625000 81.333 -66.2360
1.650000 81.437 -66.5590
1.675000 81.530 -66.8895
1.700000 81.615 -67.2315
1.725000 81.698 -67.5883
1.750000 81.781 -67.9630
1.775000 81.869 -68.3624
1.800000 81.967 -68.7924
1.825000 82.075 -69.2436
1.850000 82.192 -69.7049
1.875000 82.310 -70.1602
1.900000 82.426 -70.6042
1.925000 82.540 -71.0373
1.950000 82.652 -71.4605
1.975000 82.762 -71.8792
2.000000 82.871 -72.2987
2.030000 82.999 -72.7955
2.060000 83.126 -73.2885
2.090000 83.250 -73.7809
2.120000 83.374 -74.2757
2.140000 83.455 -74.6085
2.180000 83.616 -75.2910
2.200000 83.696 -75.6434
2.240000 83.854 -76.3453
2.270000 83.971 -76.8617
2.300000 84.085 -77.3677
2.330000 84.198 -77.8633
2.360000 84.310 -78.3493
2.400000 84.456 -79.0052
2.430000 84.564 -79.4915
2.470000 84.706 -80.1313
2.500000 84.811 -80.6067
2.540000 84.949 -81.2379
2.580000 85.086 -81.8805
2.620000 85.220 -82.5442
2.650000 85.319 -83.0356
2.690000 85.450 -83.6803
2.720000 85.546 -84.1548
2.760000 85.672 -84.7732
2.800000 85.796 -85.4054
2.850000 85.948 -86.1798
2.900000 86.096 -86.9341
2.950000 86.240 -87.6741
3.000000 86.381 -88.4321
3.040000 86.490 -89.0403
3.070000 86.571 -89.4896
3.110000 86.676 -90.0772
3.150000 86.779 -90.6498
3.200000 86.906 -91.3655
3.250000 87.030 -92.0654
3.300000 87.150 -92.7411
3.350000 87.269 -93.4016
3.400000 87.383 -94.0764
3.450000 87.495 -94.7467
3.500000 87.604 -95.3965
3.550000 87.711 -96.0206
3.600000 87.815 -96.6432
3.650000 87.917 -97.2483
3.700000 88.018 -97.8313
3.750000 88.115 -98.4010
3.820000 88.248 -99.2123
3.870000 88.340 -99.7772
3.950000 88.484 -100.6299
4.000000 88.572 -101.1513
4.060000 88.676 -101.7565
4.120000 88.778 -102.3364
4.180000 88.877 -102.9017
4.250000 88.990 -103.5656
4.310000 89.086 -104.1008
4.370000 89.180 -104.6072
4.440000 89.290 -105.1960
4.500000 89.382 -105.6752
4.550000 89.457 -106.0571
4.620000 89.562 -106.5969
4.680000 89.652 -107.0420
4.750000 89.756 -107.5305
4.820000 89.860 -108.0170
4.870000 89.935 -108.3530
4.940000 90.039 -108.8013
5.000000 90.127 -109.1854
5.080000 90.246 -109.6905
5.150000 90.350 -110.1127
5.220000 90.454 -110.5396
5.300000 90.573 -111.0153
5.380000 90.692 -111.4785
5.450000 90.796 -111.9016
5.520000 90.899 -112.3155
5.600000 91.017 -112.7934
5.700000 91.164 -113.4025
5.800000 91.309 -114.0117
5.900000 91.450 -114.6424
6.000000 91.589 -115.2806
6.080000 91.698 -115.8078
6.150000 91.792 -116.2612
6.220000 91.882 -116.7306
6.300000 91.983 -117.2692
6.400000 92.104 -117.9497
6.500000 92.221 -118.6409
6.600000 92.331 -119.3207
6.700000 92.435 -120.0076
6.800000 92.534 -120.6895
6.900000 92.626 -121.3661
7.000000 92.714 -122.0195
7.100000 92.795 -122.6683
7.200000 92.872 -123.2979
7.300000 92.944 -123.9088
7.400000 93.012 -124.4892
7.500000 93.075 -125.0548
7.620000 93.147 -125.6996
7.750000 93.221 -126.3513
7.880000 93.291 -126.9711
8.000000 93.353 -127.5006
8.120000 93.414 -127.9972
8.250000 93.480 -128.4992
8.380000 93.545 -128.9680
8.500000 93.607 -129.3839
8.620000 93.670 -129.7787
8.750000 93.739 -130.1928
8.850000 93.794 -130.5084
9.000000 93.875 -130.9678
9.120000 93.942 -131.3358
9.250000 94.015 -131.7357
9.380000 94.089 -132.1337
9.500000 94.158 -132.5134
9.620000 94.226 -132.8971
9.750000 94.298 -133.3218
9.880000 94.365 -133.7569
10.000000 94.420 -134.1588
10.150000 94.481 -134.7129
10.300000 94.534 -135.2619
10.440000 94.578 -135.7700
10.600000 94.623 -136.3433
10.750000 94.660 -136.8727
10.900000 94.695 -137.3928
11.060000 94.729 -137.9640
11.200000 94.757 -138.4956
11.380000 94.789 -139.1541
11.500000 94.807 -139.5755
11.720000 94.834 -140.3058
11.800000 94.842 -140.5558
12.060000 94.865 -141.3351
12.200000 94.878 -141.7614
12.410000 94.900 -142.3549
12.500000 94.913 -142.5943
12.650000 94.939 -142.9755
12.800000 94.970 -143.3405
13.150000 95.051 -144.2108
13.200000 95.063 -144.3440
13.400000 95.111 -144.8777
13.600000 95.157 -145.4139
13.800000 95.199 -145.9520
14.000000 95.236 -146.4883
14.300000 95.281 -147.3333
14.500000 95.304 -147.8611
14.750000 95.326 -148.4633
15.000000 95.346 -148.9998
15.250000 95.367 -149.5348
15.500000 95.392 -150.0300
15.750000 95.420 -150.5038
16.000000 95.451 -150.9786
16.250000 95.483 -151.5059
16.500000 95.514 -152.0445
16.750000 95.538 -152.5838
17.000000 95.556 -153.1123
17.250000 95.569 -153.6461
17.500000 95.578 -154.1479
17.750000 95.586 -154.6146
18.000000 95.595 -155.0568
18.250000 95.604 -155.5118
18.500000 95.615 -155.9630
18.750000 95.624 -156.4117
19.000000 95.632 -156.8575
19.250000 95.636 -157.3164
19.500000 95.637 -157.7566
19.750000 95.637 -158.1704
20.000000 95.636 -158.5551
20.299999 95.637 -159.0148
20.600000 95.643 -159.4512
20.900000 95.651 -159.8808
21.200001 95.662 -160.3346
21.400000 95.668 -160.6472
21.799999 95.678 -161.2690
22.000000 95.680 -161.5723
22.400000 95.684 -162.1720
22.700001 95.687 -162.5936
23.000000 95.692 -163.0015
23.299999 95.698 -163.4240
23.600000 95.703 -163.8525
24.000000 95.706 -164.4243
24.299999 95.703 -164.8519
24.700001 95.696 -165.3674
25.000000 95.692 -165.7050
25.400000 95.696 -166.1321
25.799999 95.711 -166.5721
26.200001 95.732 -167.0955
26.500000 95.745 -167.5535
26.900000 95.751 -168.2094
27.200001 95.744 -168.7059
27.600000 95.724 -169.3213
28.000000 95.697 -169.8488
28.500000 95.665 -170.3996
29.000000 95.642 -170.8438
29.500000 95.633 -171.2379
30.000000 95.638 -171.6268
30.400000 95.650 -171.9824
30.700001 95.659 -172.2780
31.100000 95.666 -172.6991
31.500000 95.664 -173.1210
32.000000 95.654 -173.5719
32.500000 95.646 -173.9380
33.000000 95.650 -174.2640
33.500000 95.662 -174.6259
34.000000 95.672 -175.0414
34.500000 95.676 -175.4993
35.000000 95.673 -175.9586
35.500000 95.664 -176.4065
36.000000 95.652 -176.8329
36.500000 95.639 -177.2479
37.000000 95.627 -177.6500
37.500000 95.615 -178.0454
38.200001 95.601 -178.5804
38.700001 95.594 -178.9594
39.500000 95.589 -179.5814
40.000000 95.585 -179.9769
40.599998 95.580 179.5582
41.200001 95.576 179.1151
41.799999 95.573 178.6799
42.500000 95.567 178.1776
43.099998 95.559 177.7718
43.700001 95.551 177.3923
44.400002 95.541 176.9709
45.000000 95.533 176.6265
45.500000 95.527 176.3414
46.200001 95.520 175.9365
46.799999 95.512 175.5845
47.500000 95.501 175.1807
48.200001 95.491 174.7833
48.700001 95.484 174.4971
49.400002 95.473 174.1031
50.000000 95.464 173.7866
50.799999 95.456 173.3778
51.500000 95.451 173.0004
52.200001 95.442 172.6208
53.000000 95.430 172.2225
53.799999 95.422 171.8194
54.500000 95.413 171.4453
55.200001 95.401 171.0909
56.000000 95.391 170.6729
57.000000 95.365 170.0853
58.000000 95.325 169.6868
59.000000 95.316 169.3774
60.000000 95.312 168.9373
60.799999 95.301 168.5951
61.500000 95.294 168.3167
62.200001 95.287 168.0238
63.000000 95.275 167.6703
64.000000 95.247 167.2513
65.000000 95.218 166.9498
66.000000 95.204 166.6564
67.000000 95.192 166.2668
68.000000 95.168 165.8432
69.000000 95.140 165.4884
70.000000 95.118 165.1516
71.000000 95.098 164.8159
72.000000 95.084 164.4579
73.000000 95.062 164.0725
74.000000 95.033 163.7494
75.000000 95.009 163.4881
76.199997 94.986 163.1666
77.500000 94.962 162.7820
78.800003 94.930 162.3596
80.000000 94.892 161.9991
81.199997 94.858 161.6710
82.500000 94.819 161.2835
83.800003 94.781 160.9397
85.000000 94.748 160.6229
86.199997 94.713 160.2968
87.500000 94.670 159.9802
88.500000 94.638 159.7485
90.000000 94.589 159.3668
91.199997 94.546 159.0477
92.500000 94.503 158.7198
93.800003 94.460 158.3704
95.000000 94.416 158.0803
96.199997 94.370 157.8539
97.500000 94.323 157.6523
98.800003 94.272 157.4579
100.000000 94.224 157.3041
101.500000 94.171 157.0690
103.000000 94.116 156.7790
104.400002 94.067 156.5525
106.000000 94.027 156.3139
107.500000 93.995 156.0663
109.000000 93.955 155.8073
110.599998 93.901 155.5530
112.000000 93.849 155.3318
113.800003 93.779 155.0445
115.000000 93.736 154.8458
117.199997 93.661 154.4787
118.000000 93.636 154.3530
120.599998 93.549 153.9476
122.000000 93.498 153.7697
124.099998 93.424 153.5172
125.000000 93.394 153.4008
126.500000 93.346 153.1941
128.000000 93.300 152.9821
131.500000 93.193 152.5605
132.000000 93.178 152.5075
134.000000 93.116 152.3034
136.000000 93.053 152.1130
138.000000 92.989 151.9309
140.000000 92.926 151.7483
143.000000 92.835 151.4706
145.000000 92.773 151.2802
147.500000 92.695 151.0798
150.000000 92.621 150.9039
152.500000 92.550 150.7446
155.000000 92.477 150.6052
157.500000 92.405 150.4820
160.000000 92.327 150.3171
162.500000 92.240 150.1791
165.000000 92.151 150.0732
167.500000 92.055 149.9971
170.000000 91.965 149.9449
172.500000 91.882 149.8376
175.000000 91.802 149.7251
177.500000 91.720 149.6279
180.000000 91.635 149.5757
182.500000 91.553 149.5165
185.000000 91.473 149.4692
187.500000 91.394 149.4339
190.000000 91.313 149.3935
192.500000 91.232 149.3629
195.000000 91.154 149.3283
197.500000 91.080 149.3071
200.000000 91.009 149.2787
203.000000 90.928 149.2735
206.000000 90.850 149.2946
209.000000 90.774 149.3019
212.000000 90.699 149.3268
214.000000 90.652 149.3437
218.000000 90.560 149.3605
220.000000 90.512 149.3719
224.000000 90.417 149.4402
227.000000 90.348 149.5031
230.000000 90.281 149.5593
233.000000 90.215 149.6190
236.000000 90.148 149.6807
240.000000 90.056 149.7729
243.000000 89.992 149.8472
247.000000 89.910 149.9490
250.000000 89.846 150.0418
254.000000 89.758 150.1801
258.000000 89.670 150.3130
262.000000 89.583 150.4604
265.000000 89.520 150.5855
269.000000 89.437 150.7274
272.000000 89.374 150.8157
276.000000 89.290 150.9644
280.000000 89.209 151.1345
285.000000 89.110 151.3519
290.000000 89.003 151.6193
295.000000 88.896 151.9094
300.000000 88.794 152.2371
304.000000 88.718 152.5029
307.000000 88.663 152.7063
311.000000 88.592 152.9820
