* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 20, 25 4:56:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: spa hi end max R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.648 54.7410
1.015000 69.688 52.9766
1.030000 69.729 51.2274
1.044000 69.770 49.6052
1.060000 69.819 47.7586
1.075000 69.867 46.0282
1.090000 69.919 44.2892
1.106000 69.977 42.3983
1.120000 70.030 40.6779
1.138000 70.103 38.3568
1.150000 70.152 36.7441
1.172000 70.247 33.6655
1.180000 70.282 32.5104
1.206000 70.400 28.6539
1.220000 70.464 26.5257
1.241000 70.562 23.2899
1.250000 70.604 21.8932
1.265000 70.675 19.5608
1.280000 70.745 17.2315
1.315000 70.908 11.8601
1.320000 70.931 11.1045
1.340000 71.021 8.1218
1.360000 71.108 5.2118
1.380000 71.193 2.3948
1.400000 71.274 -0.3295
1.430000 71.387 -4.2456
1.450000 71.455 -6.7473
1.475000 71.533 -9.7866
1.500000 71.601 -12.7983
1.525000 71.660 -15.7958
1.550000 71.712 -18.7576
1.575000 71.759 -21.6567
1.600000 71.800 -24.4715
1.625000 71.839 -27.1983
1.650000 71.875 -29.8284
1.675000 71.911 -32.3574
1.700000 71.947 -34.7843
1.725000 71.986 -37.1111
1.750000 72.028 -39.3422
1.775000 72.074 -41.4881
1.800000 72.127 -43.5610
1.825000 72.186 -45.5666
1.850000 72.253 -47.5348
1.875000 72.326 -49.4915
1.900000 72.404 -51.4328
1.925000 72.487 -53.3449
1.950000 72.572 -55.2147
1.975000 72.661 -57.0356
2.000000 72.751 -58.8032
2.030000 72.860 -60.8361
2.060000 72.969 -62.7676
2.090000 73.075 -64.5954
2.120000 73.179 -66.3201
2.140000 73.245 -67.4142
2.180000 73.369 -69.4860
2.200000 73.426 -70.4791
2.240000 73.536 -72.4257
2.270000 73.615 -73.8698
2.300000 73.691 -75.2922
2.330000 73.765 -76.6822
2.360000 73.836 -78.0301
2.400000 73.926 -79.7692
2.430000 73.990 -81.0083
2.470000 74.071 -82.5603
2.500000 74.128 -83.6448
2.540000 74.200 -84.9836
2.580000 74.265 -86.2358
2.620000 74.324 -87.4735
2.650000 74.364 -88.3881
2.690000 74.413 -89.5812
2.720000 74.446 -90.4480
2.760000 74.486 -91.5525
2.800000 74.521 -92.6155
2.850000 74.561 -93.8296
2.900000 74.595 -94.8918
2.950000 74.624 -95.8100
3.000000 74.645 -96.6711
3.040000 74.657 -97.3278
3.070000 74.662 -97.7938
3.110000 74.668 -98.3741
3.150000 74.671 -98.9010
3.200000 74.674 -99.4952
3.250000 74.679 -99.9891
3.300000 74.685 -100.3627
3.350000 74.691 -100.6299
3.400000 74.695 -100.8385
3.450000 74.698 -100.9838
3.500000 74.703 -101.0599
3.550000 74.712 -101.0679
3.600000 74.727 -101.0358
3.650000 74.751 -100.9457
3.700000 74.783 -100.7782
3.750000 74.821 -100.5309
3.820000 74.885 -100.1162
3.870000 74.938 -99.7780
3.950000 75.039 -99.1963
4.000000 75.113 -98.8516
4.060000 75.215 -98.4409
4.120000 75.331 -97.9920
4.180000 75.460 -97.5220
4.250000 75.623 -97.0138
4.310000 75.771 -96.6125
4.370000 75.924 -96.2701
4.440000 76.110 -95.9701
4.500000 76.278 -95.7400
4.550000 76.423 -95.5645
4.620000 76.631 -95.3887
4.680000 76.810 -95.2936
4.750000 77.016 -95.2497
4.820000 77.220 -95.3033
4.870000 77.365 -95.3783
4.940000 77.568 -95.5164
5.000000 77.740 -95.6798
5.080000 77.962 -95.9492
5.150000 78.149 -96.2197
5.220000 78.330 -96.5480
5.300000 78.530 -96.9630
5.380000 78.723 -97.3983
5.450000 78.885 -97.8078
5.520000 79.042 -98.2136
5.600000 79.213 -98.6977
5.700000 79.417 -99.3334
5.800000 79.612 -99.9665
5.900000 79.801 -100.5993
6.000000 79.982 -101.2227
6.080000 80.121 -101.7328
6.150000 80.241 -102.1695
6.220000 80.359 -102.6197
6.300000 80.492 -103.1295
6.400000 80.655 -103.7663
6.500000 80.814 -104.4236
6.600000 80.970 -105.0966
6.700000 81.121 -105.8007
6.800000 81.269 -106.5208
6.900000 81.410 -107.2686
7.000000 81.543 -108.0391
7.100000 81.669 -108.8495
7.200000 81.786 -109.6728
7.300000 81.891 -110.5019
7.400000 81.985 -111.3314
7.500000 82.065 -112.1773
7.620000 82.146 -113.1604
7.750000 82.213 -114.1471
7.880000 82.257 -115.0797
8.000000 82.282 -115.8331
8.120000 82.295 -116.4465
8.250000 82.297 -116.9613
8.380000 82.296 -117.3057
8.500000 82.300 -117.4547
8.620000 82.311 -117.4442
8.750000 82.339 -117.3016
8.850000 82.379 -117.1165
9.000000 82.467 -116.7228
9.120000 82.564 -116.4001
9.250000 82.699 -116.0972
9.380000 82.861 -115.8537
9.500000 83.026 -115.7552
9.620000 83.202 -115.8018
9.750000 83.400 -116.0064
9.880000 83.590 -116.3759
10.000000 83.750 -116.8597
10.150000 83.927 -117.6665
10.300000 84.072 -118.5731
10.440000 84.176 -119.4907
10.600000 84.258 -120.5362
10.750000 84.302 -121.4497
10.900000 84.318 -122.2702
11.060000 84.315 -122.9932
11.200000 84.300 -123.5020
11.380000 84.278 -123.9116
11.500000 84.268 -124.0239
11.720000 84.273 -123.9741
11.800000 84.287 -123.8944
12.060000 84.381 -123.5527
12.200000 84.464 -123.4397
12.410000 84.626 -123.3912
12.500000 84.705 -123.4442
12.650000 84.848 -123.6383
12.800000 84.993 -123.9632
13.150000 85.297 -125.2356
13.200000 85.335 -125.4648
13.400000 85.463 -126.4406
13.600000 85.558 -127.4433
13.800000 85.621 -128.4125
14.000000 85.658 -129.2957
14.300000 85.680 -130.4567
14.500000 85.683 -131.0532
14.750000 85.684 -131.6069
15.000000 85.691 -131.9806
15.250000 85.713 -132.2812
15.500000 85.750 -132.5023
15.750000 85.804 -132.6865
16.000000 85.872 -132.8746
16.250000 85.953 -133.1368
16.500000 86.042 -133.4491
16.750000 86.133 -133.8164
17.000000 86.223 -134.2354
17.250000 86.309 -134.7199
17.500000 86.389 -135.2227
17.750000 86.465 -135.7252
18.000000 86.538 -136.2255
18.250000 86.611 -136.7533
18.500000 86.683 -137.2913
18.750000 86.751 -137.8422
19.000000 86.814 -138.4045
19.250000 86.868 -138.9855
19.500000 86.913 -139.5373
19.750000 86.951 -140.0348
20.000000 86.986 -140.4614
20.299999 87.031 -140.9168
20.600000 87.087 -141.3149
20.900000 87.155 -141.7163
21.200001 87.228 -142.1906
21.400000 87.274 -142.5500
21.799999 87.350 -143.3153
22.000000 87.379 -143.6900
22.400000 87.422 -144.3734
22.700001 87.454 -144.7917
23.000000 87.494 -145.1628
23.299999 87.544 -145.5566
23.600000 87.599 -146.0009
24.000000 87.667 -146.6853
24.299999 87.708 -147.2541
24.700001 87.751 -148.0057
25.000000 87.779 -148.5467
25.400000 87.812 -149.2683
25.799999 87.838 -149.9757
26.200001 87.852 -150.6258
26.500000 87.860 -151.0247
26.900000 87.883 -151.4134
27.200001 87.924 -151.6688
27.600000 88.010 -152.1283
28.000000 88.102 -152.8519
28.500000 88.166 -154.0317
29.000000 88.148 -155.0089
29.500000 88.119 -155.3983
30.000000 88.172 -155.4305
30.400000 88.278 -155.6455
30.700001 88.366 -156.0548
31.100000 88.454 -156.8733
31.500000 88.485 -157.7744
32.000000 88.472 -158.6219
32.500000 88.468 -159.1031
33.000000 88.511 -159.5353
33.500000 88.567 -160.2369
34.000000 88.582 -161.1364
34.500000 88.541 -161.9164
35.000000 88.485 -162.3259
35.500000 88.463 -162.4303
36.000000 88.493 -162.4863
36.500000 88.558 -162.7127
37.000000 88.632 -163.1544
37.500000 88.704 -163.8000
38.200001 88.771 -165.0332
38.700001 88.767 -166.0368
39.500000 88.665 -167.2274
40.000000 88.601 -167.5098
40.599998 88.586 -167.6839
41.200001 88.610 -168.0791
41.799999 88.616 -168.6484
42.500000 88.610 -169.1624
43.099998 88.645 -169.5573
43.700001 88.703 -170.2140
44.400002 88.731 -171.2790
45.000000 88.706 -172.1034
45.500000 88.673 -172.5983
46.200001 88.640 -173.0629
46.799999 88.622 -173.3587
47.500000 88.611 -173.6133
48.200001 88.621 -173.8247
48.700001 88.638 -174.0574
49.400002 88.651 -174.5641
50.000000 88.631 -175.0263
50.799999 88.596 -175.4440
51.500000 88.597 -175.8076
52.200001 88.601 -176.4050
53.000000 88.571 -177.1453
53.799999 88.542 -177.6961
54.500000 88.543 -178.1681
55.200001 88.546 -178.7250
56.000000 88.536 -179.3488
57.000000 88.516 -179.9665
58.000000 88.505 179.5648
59.000000 88.495 179.0497
60.000000 88.460 178.5622
60.799999 88.433 178.2767
61.500000 88.421 178.0092
62.200001 88.411 177.6802
63.000000 88.397 177.2724
64.000000 88.382 176.7401
65.000000 88.372 176.1804
66.000000 88.357 175.5319
67.000000 88.318 174.9244
68.000000 88.277 174.4850
69.000000 88.249 174.0286
70.000000 88.213 173.5775
71.000000 88.187 173.1388
72.000000 88.156 172.6167
73.000000 88.119 172.2023
74.000000 88.098 171.7795
75.000000 88.064 171.2963
76.199997 88.015 170.8745
77.500000 87.983 170.4434
78.800003 87.948 169.9103
80.000000 87.913 169.3558
81.199997 87.854 168.8227
82.500000 87.817 168.5450
83.800003 87.799 167.9093
85.000000 87.717 167.5306
86.199997 87.683 167.5908
87.500000 87.698 167.2541
88.500000 87.679 166.7712
90.000000 87.614 166.0959
91.199997 87.544 165.6308
92.500000 87.469 165.2227
93.800003 87.394 164.7939
95.000000 87.315 164.5565
96.199997 87.273 164.4779
97.500000 87.258 164.2369
98.800003 87.243 163.9387
100.000000 87.234 163.6839
101.500000 87.219 163.2770
103.000000 87.170 162.8015
104.400002 87.092 162.4787
106.000000 87.011 162.1915
107.500000 86.936 161.9097
109.000000 86.893 161.6207
110.599998 86.844 161.1525
112.000000 86.790 160.8650
113.800003 86.723 160.7375
115.000000 86.691 160.7053
117.199997 86.629 160.3970
118.000000 86.597 160.2099
120.599998 86.474 159.6500
122.000000 86.428 159.3359
124.099998 86.365 158.7839
125.000000 86.335 158.6111
126.500000 86.285 158.4287
128.000000 86.233 158.3756
131.500000 86.137 158.1473
132.000000 86.120 158.0722
134.000000 86.057 157.7828
136.000000 85.987 157.3223
138.000000 85.904 157.2000
140.000000 85.857 157.1473
143.000000 85.764 156.7087
145.000000 85.661 156.3372
147.500000 85.538 156.1603
150.000000 85.456 156.2761
152.500000 85.370 156.6470
155.000000 85.274 157.1082
157.500000 85.215 157.4478
160.000000 85.236 157.6275
162.500000 85.290 157.5383
165.000000 85.289 157.2109
167.500000 85.229 156.6762
170.000000 85.135 156.1152
172.500000 85.032 155.7849
175.000000 84.941 155.6342
177.500000 84.853 155.4091
180.000000 84.769 155.2240
182.500000 84.696 155.1016
185.000000 84.624 155.0167
187.500000 84.544 154.9544
190.000000 84.463 154.8835
192.500000 84.380 154.8342
195.000000 84.304 154.8029
197.500000 84.232 154.7407
200.000000 84.162 154.6750
203.000000 84.085 154.6946
206.000000 84.007 154.7117
209.000000 83.921 154.7859
212.000000 83.855 154.8265
214.000000 83.816 154.7708
218.000000 83.721 154.6560
220.000000 83.673 154.6218
224.000000 83.590 154.6140
227.000000 83.523 154.6967
230.000000 83.446 154.8486
233.000000 83.377 154.9476
236.000000 83.312 155.0151
240.000000 83.221 155.1475
243.000000 83.157 155.2310
247.000000 83.072 155.3147
250.000000 83.009 155.3993
254.000000 82.937 155.5226
258.000000 82.863 155.6467
262.000000 82.787 155.8047
265.000000 82.732 155.9146
269.000000 82.658 156.1012
272.000000 82.605 156.2196
276.000000 82.529 156.3750
280.000000 82.451 156.5816
285.000000 82.346 156.8608
290.000000 82.242 157.0801
295.000000 82.152 157.3240
300.000000 82.064 157.5860
304.000000 81.999 157.7983
307.000000 81.951 157.9462
311.000000 81.881 158.1286
