* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 7:30:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tulip L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.090 -15.2522
1.015000 42.398 -16.8779
1.030000 42.706 -18.5186
1.044000 42.993 -20.0651
1.060000 43.320 -21.8516
1.075000 43.627 -23.5452
1.090000 43.933 -25.2537
1.106000 44.260 -27.0698
1.120000 44.547 -28.6157
1.138000 44.917 -30.5200
1.150000 45.165 -31.7383
1.172000 45.622 -33.8741
1.180000 45.789 -34.6221
1.206000 46.331 -36.9596
1.220000 46.624 -38.1658
1.241000 47.062 -39.9168
1.250000 47.250 -40.6483
1.265000 47.563 -41.8456
1.280000 47.875 -43.0190
1.315000 48.599 -45.6828
1.320000 48.702 -46.0566
1.340000 49.111 -47.5388
1.360000 49.517 -49.0047
1.380000 49.919 -50.4592
1.400000 50.317 -51.9066
1.430000 50.903 -54.0721
1.450000 51.287 -55.5134
1.475000 51.759 -57.2882
1.500000 52.225 -58.9694
1.525000 52.685 -60.5417
1.550000 53.139 -62.0244
1.575000 53.588 -63.4383
1.600000 54.032 -64.8020
1.625000 54.470 -66.1315
1.650000 54.903 -67.4404
1.675000 55.331 -68.7404
1.700000 55.754 -70.0414
1.725000 56.171 -71.3512
1.750000 56.583 -72.6768
1.775000 56.989 -74.0233
1.800000 57.391 -75.3943
1.825000 57.787 -76.7862
1.850000 58.177 -78.1728
1.875000 58.561 -79.5197
1.900000 58.940 -80.8200
1.925000 59.313 -82.0793
1.950000 59.680 -83.3050
1.975000 60.042 -84.5043
2.000000 60.399 -85.6837
2.030000 60.821 -87.0816
2.060000 61.237 -88.4697
2.090000 61.645 -89.8568
2.120000 62.048 -91.2506
2.140000 62.313 -92.1869
2.180000 62.837 -94.0818
2.200000 63.094 -95.0366
2.240000 63.602 -96.9233
2.270000 63.974 -98.3004
2.300000 64.339 -99.6461
2.330000 64.699 -100.9656
2.360000 65.052 -102.2645
2.400000 65.514 -103.9739
2.430000 65.854 -105.2461
2.470000 66.299 -106.9392
2.500000 66.627 -108.2129
2.540000 67.058 -109.9237
2.580000 67.480 -111.6454
2.620000 67.893 -113.3537
2.650000 68.196 -114.6172
2.690000 68.593 -116.2778
2.720000 68.884 -117.5069
2.760000 69.265 -119.1276
2.800000 69.638 -120.7326
2.850000 70.093 -122.7262
2.900000 70.538 -124.7172
2.950000 70.971 -126.7124
3.000000 71.393 -128.7004
3.040000 71.721 -130.2767
3.070000 71.962 -131.4485
3.110000 72.278 -132.9962
3.150000 72.586 -134.5274
3.200000 72.963 -136.4203
3.250000 73.330 -138.2947
3.300000 73.687 -140.1581
3.350000 74.036 -142.0179
3.400000 74.373 -143.8710
3.450000 74.701 -145.7088
3.500000 75.019 -147.5246
3.550000 75.329 -149.3147
3.600000 75.631 -151.0782
3.650000 75.925 -152.8180
3.700000 76.211 -154.5447
3.750000 76.488 -156.2667
3.820000 76.862 -158.6600
3.870000 77.120 -160.3463
3.950000 77.518 -162.9883
4.000000 77.759 -164.6008
4.060000 78.039 -166.5056
4.120000 78.310 -168.3959
4.180000 78.570 -170.2704
4.250000 78.863 -172.4229
4.310000 79.105 -174.2268
4.370000 79.340 -175.9871
4.440000 79.606 -177.9958
4.500000 79.824 -179.6957
4.550000 80.001 178.9031
4.620000 80.241 176.9735
4.680000 80.440 175.3572
4.750000 80.666 173.5212
4.820000 80.885 171.7298
4.870000 81.037 170.4692
4.940000 81.243 168.7307
5.000000 81.415 167.2685
5.080000 81.638 165.3654
5.150000 81.829 163.7446
5.220000 82.015 162.1572
5.300000 82.221 160.3774
5.380000 82.422 158.6346
5.450000 82.594 157.1408
5.520000 82.762 155.6755
5.600000 82.951 154.0305
5.700000 83.181 152.0135
5.800000 83.405 150.0370
5.900000 83.623 148.0967
6.000000 83.835 146.1862
6.080000 84.001 144.6782
6.150000 84.142 143.3737
6.220000 84.281 142.0822
6.300000 84.435 140.6181
6.400000 84.623 138.8036
6.500000 84.803 137.0125
6.600000 84.977 135.2480
6.700000 85.143 133.5028
6.800000 85.302 131.7757
6.900000 85.454 130.0778
7.000000 85.599 128.4127
7.100000 85.737 126.7720
7.200000 85.868 125.1589
7.300000 85.992 123.5840
7.400000 86.111 122.0479
7.500000 86.224 120.5440
7.620000 86.352 118.7873
7.750000 86.485 116.9517
7.880000 86.611 115.1792
8.000000 86.723 113.5959
8.120000 86.833 112.0646
8.250000 86.947 110.4593
8.380000 87.060 108.9019
8.500000 87.162 107.5024
8.620000 87.263 106.1366
8.750000 87.371 104.6881
8.850000 87.453 103.5918
9.000000 87.574 101.9745
9.120000 87.668 100.7015
9.250000 87.768 99.3399
9.380000 87.865 97.9956
9.500000 87.951 96.7720
9.620000 88.035 95.5646
9.750000 88.121 94.2747
9.880000 88.199 93.0075
10.000000 88.261 91.8589
10.150000 88.327 90.4511
10.300000 88.385 89.0779
10.440000 88.433 87.8272
10.600000 88.483 86.4333
10.750000 88.528 85.1606
10.900000 88.570 83.9188
11.060000 88.612 82.6263
11.200000 88.648 81.5212
11.380000 88.690 80.1349
11.500000 88.717 79.2316
11.720000 88.763 77.6202
11.800000 88.778 77.0490
12.060000 88.826 75.2472
12.200000 88.850 74.3125
12.410000 88.888 72.9536
12.500000 88.908 72.3857
12.650000 88.946 71.4567
12.800000 88.988 70.5438
13.150000 89.092 68.4488
13.200000 89.107 68.1504
13.400000 89.167 66.9531
13.600000 89.224 65.7459
13.800000 89.277 64.5270
14.000000 89.323 63.3046
14.300000 89.375 61.4889
14.500000 89.398 60.3150
14.750000 89.415 58.9174
15.000000 89.424 57.6175
15.250000 89.430 56.4245
15.500000 89.439 55.3267
15.750000 89.454 54.3005
16.000000 89.479 53.3133
16.250000 89.512 52.3349
16.500000 89.550 51.3461
16.750000 89.588 50.3395
17.000000 89.623 49.3215
17.250000 89.653 48.3043
17.500000 89.678 47.3019
17.750000 89.700 46.3242
18.000000 89.719 45.3741
18.250000 89.737 44.4493
18.500000 89.755 43.5439
18.750000 89.772 42.6534
19.000000 89.787 41.7756
19.250000 89.799 40.9128
19.500000 89.809 40.0698
19.750000 89.817 39.2510
20.000000 89.824 38.4587
20.299999 89.832 37.5407
20.600000 89.841 36.6509
20.900000 89.851 35.7798
21.200001 89.859 34.9225
21.400000 89.864 34.3596
21.799999 89.869 33.2643
22.000000 89.871 32.7371
22.400000 89.873 31.7290
22.700001 89.877 31.0077
23.000000 89.883 30.3033
23.299999 89.892 29.6027
23.600000 89.901 28.8974
24.000000 89.909 27.9518
24.299999 89.912 27.2501
24.700001 89.910 26.3452
25.000000 89.908 25.6967
25.400000 89.905 24.8655
25.799999 89.905 24.0508
26.200001 89.905 23.2325
26.500000 89.901 22.6175
26.900000 89.891 21.8154
27.200001 89.880 21.2454
27.600000 89.864 20.5430
28.000000 89.853 19.8960
28.500000 89.852 19.1040
29.000000 89.860 18.2542
29.500000 89.863 17.3300
30.000000 89.853 16.3889
30.400000 89.838 15.6671
30.700001 89.825 15.1512
31.100000 89.809 14.4880
31.500000 89.793 13.8408
32.000000 89.772 13.0554
32.500000 89.749 12.3198
33.000000 89.731 11.6356
33.500000 89.721 10.9583
34.000000 89.714 10.2486
34.500000 89.700 9.5266
35.000000 89.681 8.8416
35.500000 89.665 8.1962
36.000000 89.652 7.5436
36.500000 89.634 6.8695
37.000000 89.605 6.2325
37.500000 89.576 5.6866
38.200001 89.558 4.9711
38.700001 89.554 4.3616
39.500000 89.518 3.2940
40.000000 89.480 2.7365
40.599998 89.449 2.1915
41.200001 89.437 1.6390
41.799999 89.430 1.0220
42.500000 89.420 0.2619
43.099998 89.408 -0.4376
43.700001 89.380 -1.1448
44.400002 89.331 -1.8234
45.000000 89.300 -2.2988
45.500000 89.283 -2.7296
46.200001 89.243 -3.3845
46.799999 89.197 -3.8435
47.500000 89.162 -4.2787
48.200001 89.143 -4.8135
48.700001 89.125 -5.2478
49.400002 89.101 -5.8610
50.000000 89.087 -6.4669
50.799999 89.042 -7.3926
51.500000 88.974 -8.0039
52.200001 88.933 -8.3802
53.000000 88.926 -8.9310
53.799999 88.898 -9.6672
54.500000 88.847 -10.2254
55.200001 88.789 -10.6335
56.000000 88.728 -10.9578
57.000000 88.674 -11.3130
58.000000 88.627 -11.8389
59.000000 88.564 -12.4114
60.000000 88.512 -12.9957
60.799999 88.476 -13.5461
61.500000 88.443 -14.0625
62.200001 88.408 -14.5663
63.000000 88.372 -15.1028
64.000000 88.331 -15.7244
65.000000 88.295 -16.2872
66.000000 88.260 -16.8434
67.000000 88.209 -17.3939
68.000000 88.151 -17.8185
69.000000 88.103 -18.2172
70.000000 88.055 -18.6666
71.000000 88.005 -19.1233
72.000000 87.955 -19.5941
73.000000 87.904 -20.0518
74.000000 87.853 -20.4850
75.000000 87.804 -20.9003
76.199997 87.746 -21.3844
77.500000 87.682 -21.9030
78.800003 87.617 -22.4146
80.000000 87.556 -22.8759
81.199997 87.495 -23.3237
82.500000 87.430 -23.7970
83.800003 87.363 -24.2525
85.000000 87.301 -24.6451
86.199997 87.244 -25.0267
87.500000 87.180 -25.4667
88.500000 87.128 -25.7847
90.000000 87.051 -26.2023
91.199997 86.992 -26.5146
92.500000 86.926 -26.8688
93.800003 86.857 -27.1721
95.000000 86.804 -27.4308
96.199997 86.758 -27.7665
97.500000 86.704 -28.1830
98.800003 86.647 -28.5813
100.000000 86.597 -28.9344
101.500000 86.533 -29.3734
103.000000 86.465 -29.7543
104.400002 86.403 -30.0560
106.000000 86.332 -30.3602
107.500000 86.262 -30.6095
109.000000 86.194 -30.8350
110.599998 86.122 -31.1393
112.000000 86.054 -31.4281
113.800003 85.975 -31.7689
115.000000 85.928 -32.0143
117.199997 85.843 -32.4367
118.000000 85.812 -32.5811
120.599998 85.705 -33.0181
122.000000 85.639 -33.2354
124.099998 85.551 -33.4812
125.000000 85.519 -33.6138
126.500000 85.463 -33.8366
128.000000 85.409 -34.0245
131.500000 85.278 -34.4985
132.000000 85.257 -34.5651
134.000000 85.172 -34.7896
136.000000 85.095 -34.9823
138.000000 85.029 -35.1862
140.000000 84.965 -35.4260
143.000000 84.862 -35.7112
145.000000 84.793 -35.8734
147.500000 84.705 -36.0945
150.000000 84.619 -36.2993
152.500000 84.542 -36.4451
155.000000 84.467 -36.5864
157.500000 84.383 -36.6924
160.000000 84.301 -36.7968
162.500000 84.218 -36.9341
165.000000 84.134 -37.0828
167.500000 84.050 -37.2476
170.000000 83.962 -37.4150
172.500000 83.879 -37.5261
175.000000 83.799 -37.6383
177.500000 83.719 -37.7172
180.000000 83.639 -37.7963
182.500000 83.560 -37.8824
185.000000 83.483 -37.9514
187.500000 83.411 -38.0416
190.000000 83.340 -38.1496
192.500000 83.268 -38.2726
195.000000 83.192 -38.4104
197.500000 83.112 -38.5121
200.000000 83.042 -38.5646
203.000000 82.960 -38.7166
206.000000 82.875 -38.7900
209.000000 82.797 -38.7919
212.000000 82.724 -38.7832
214.000000 82.676 -38.8042
218.000000 82.580 -38.9200
220.000000 82.532 -38.9884
224.000000 82.442 -39.0709
227.000000 82.379 -39.0695
230.000000 82.313 -39.0552
233.000000 82.245 -39.0583
236.000000 82.177 -39.0540
240.000000 82.088 -38.9981
243.000000 82.023 -38.9741
247.000000 81.939 -38.9409
250.000000 81.877 -38.8962
254.000000 81.793 -38.8120
258.000000 81.709 -38.7081
262.000000 81.628 -38.6018
265.000000 81.574 -38.5442
269.000000 81.505 -38.4975
272.000000 81.451 -38.4635
276.000000 81.378 -38.4199
280.000000 81.305 -38.3579
285.000000 81.214 -38.2595
290.000000 81.126 -38.1713
295.000000 81.042 -38.0486
300.000000 80.960 -37.9025
304.000000 80.894 -37.7864
307.000000 80.845 -37.7188
311.000000 80.783 -37.6416
315.000000 80.720 -37.5479
