* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 7:35:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tulip R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.936 -1.9103
1.015000 44.292 -4.2730
1.030000 44.645 -6.5921
1.044000 44.970 -8.7252
1.060000 45.336 -11.1341
1.075000 45.671 -13.3713
1.090000 45.998 -15.5910
1.106000 46.339 -17.9256
1.120000 46.639 -19.9096
1.138000 47.028 -22.3565
1.150000 47.291 -23.9219
1.172000 47.777 -26.6600
1.180000 47.955 -27.6155
1.206000 48.538 -30.5841
1.220000 48.854 -32.1028
1.241000 49.330 -34.2875
1.250000 49.534 -35.1926
1.265000 49.874 -36.6633
1.280000 50.213 -38.0911
1.315000 51.000 -41.2808
1.320000 51.111 -41.7225
1.340000 51.555 -43.4602
1.360000 51.993 -45.1573
1.380000 52.424 -46.8214
1.400000 52.848 -48.4591
1.430000 53.468 -50.8790
1.450000 53.868 -52.4732
1.475000 54.354 -54.4293
1.500000 54.827 -56.2954
1.525000 55.290 -58.0580
1.550000 55.743 -59.7319
1.575000 56.187 -61.3341
1.600000 56.623 -62.8801
1.625000 57.050 -64.3838
1.650000 57.470 -65.8577
1.675000 57.882 -67.3127
1.700000 58.288 -68.7585
1.725000 58.688 -70.2033
1.750000 59.082 -71.6543
1.775000 59.471 -73.1176
1.800000 59.856 -74.5978
1.825000 60.235 -76.0942
1.850000 60.610 -77.5878
1.875000 60.978 -79.0511
1.900000 61.339 -80.4764
1.925000 61.693 -81.8657
1.950000 62.041 -83.2233
1.975000 62.383 -84.5533
2.000000 62.719 -85.8605
2.030000 63.115 -87.4055
2.060000 63.505 -88.9318
2.090000 63.888 -90.4471
2.120000 64.265 -91.9585
2.140000 64.513 -92.9672
2.180000 65.003 -94.9936
2.200000 65.244 -96.0100
2.240000 65.719 -98.0249
2.270000 66.066 -99.5063
2.300000 66.407 -100.9607
2.330000 66.742 -102.3901
2.360000 67.070 -103.7973
2.400000 67.499 -105.6452
2.430000 67.814 -107.0148
2.470000 68.227 -108.8264
2.500000 68.531 -110.1797
2.540000 68.931 -111.9836
2.580000 69.322 -113.7886
2.620000 69.705 -115.5820
2.650000 69.986 -116.9127
2.690000 70.352 -118.6651
2.720000 70.621 -119.9626
2.760000 70.973 -121.6714
2.800000 71.318 -123.3584
2.850000 71.738 -125.4423
2.900000 72.149 -127.5073
2.950000 72.550 -129.5624
3.000000 72.939 -131.6075
3.040000 73.242 -133.2302
3.070000 73.465 -134.4366
3.110000 73.757 -136.0290
3.150000 74.042 -137.6019
3.200000 74.390 -139.5406
3.250000 74.729 -141.4511
3.300000 75.061 -143.3402
3.350000 75.384 -145.2183
3.400000 75.697 -147.0867
3.450000 76.001 -148.9378
3.500000 76.297 -150.7650
3.550000 76.586 -152.5637
3.600000 76.867 -154.3321
3.650000 77.142 -156.0719
3.700000 77.410 -157.7927
3.750000 77.671 -159.5039
3.820000 78.023 -161.8771
3.870000 78.267 -163.5476
3.950000 78.645 -166.1645
4.000000 78.874 -167.7617
4.060000 79.142 -169.6465
4.120000 79.401 -171.5121
4.180000 79.652 -173.3587
4.250000 79.936 -175.4790
4.310000 80.172 -177.2592
4.370000 80.402 -179.0010
4.440000 80.663 179.0075
4.500000 80.880 177.3228
4.550000 81.056 175.9341
4.620000 81.295 174.0186
4.680000 81.496 172.4083
4.750000 81.724 170.5693
4.820000 81.946 168.7661
4.870000 82.101 167.4938
4.940000 82.312 165.7347
5.000000 82.488 164.2499
5.080000 82.718 162.3068
5.150000 82.915 160.6403
5.220000 83.106 158.9976
5.300000 83.319 157.1459
5.380000 83.526 155.3238
5.450000 83.703 153.7554
5.520000 83.876 152.2096
5.600000 84.068 150.4637
5.700000 84.301 148.3109
5.800000 84.526 146.1960
5.900000 84.743 144.1180
6.000000 84.953 142.0651
6.080000 85.114 140.4424
6.150000 85.251 139.0408
6.220000 85.385 137.6573
6.300000 85.532 136.0928
6.400000 85.709 134.1568
6.500000 85.878 132.2516
6.600000 86.039 130.3857
6.700000 86.193 128.5505
6.800000 86.338 126.7424
6.900000 86.476 124.9726
7.000000 86.608 123.2462
7.100000 86.732 121.5537
7.200000 86.850 119.8965
7.300000 86.962 118.2831
7.400000 87.069 116.7140
7.500000 87.170 115.1826
7.620000 87.286 113.3971
7.750000 87.406 111.5327
7.880000 87.520 109.7342
8.000000 87.620 108.1285
8.120000 87.718 106.5750
8.250000 87.821 104.9463
8.380000 87.921 103.3672
8.500000 88.011 101.9501
8.620000 88.100 100.5689
8.750000 88.195 99.1077
8.850000 88.266 98.0056
9.000000 88.371 96.3852
9.120000 88.452 95.1150
9.250000 88.538 93.7621
9.380000 88.622 92.4319
9.500000 88.696 91.2248
9.620000 88.769 90.0367
9.750000 88.843 88.7706
9.880000 88.910 87.5282
10.000000 88.963 86.4027
10.150000 89.018 85.0237
10.300000 89.066 83.6780
10.440000 89.105 82.4514
10.600000 89.145 81.0828
10.750000 89.181 79.8316
10.900000 89.215 78.6087
11.060000 89.250 77.3326
11.200000 89.279 76.2381
11.380000 89.315 74.8575
11.500000 89.338 73.9520
11.720000 89.377 72.3205
11.800000 89.390 71.7357
12.060000 89.429 69.8665
12.200000 89.447 68.8808
12.410000 89.474 67.4308
12.500000 89.488 66.8211
12.650000 89.513 65.8206
12.800000 89.540 64.8406
13.150000 89.600 62.6349
13.200000 89.608 62.3286
13.400000 89.640 61.1237
13.600000 89.672 59.9466
13.800000 89.703 58.7926
14.000000 89.733 57.6565
14.300000 89.776 55.9796
14.500000 89.802 54.8786
14.750000 89.830 53.5256
15.000000 89.854 52.2050
15.250000 89.873 50.9250
15.500000 89.890 49.6902
15.750000 89.905 48.4999
16.000000 89.922 47.3482
16.250000 89.941 46.2252
16.500000 89.961 45.1230
16.750000 89.979 44.0366
17.000000 89.994 42.9687
17.250000 90.005 41.9270
17.500000 90.012 40.9224
17.750000 90.015 39.9647
18.000000 90.018 39.0576
18.250000 90.021 38.1979
18.500000 90.027 37.3752
18.750000 90.036 36.5754
19.000000 90.048 35.7852
19.250000 90.061 34.9956
19.500000 90.073 34.2044
19.750000 90.083 33.4149
20.000000 90.090 32.6344
20.299999 90.095 31.7194
20.600000 90.097 30.8341
20.900000 90.099 29.9781
21.200001 90.102 29.1435
21.400000 90.104 28.5939
21.799999 90.108 27.4985
22.000000 90.110 26.9491
22.400000 90.112 25.8441
22.700001 90.109 25.0142
23.000000 90.103 24.1919
23.299999 90.092 23.3889
23.600000 90.079 22.6165
24.000000 90.062 21.6415
24.299999 90.052 20.9423
24.700001 90.045 20.0181
25.000000 90.044 19.3077
25.400000 90.039 18.3284
25.799999 90.024 17.3466
26.200001 90.001 16.4215
26.500000 89.982 15.7850
26.900000 89.963 14.9924
27.200001 89.955 14.4062
27.600000 89.945 13.6001
28.000000 89.927 12.7877
28.500000 89.890 11.8799
29.000000 89.862 11.1597
29.500000 89.870 10.4641
30.000000 89.896 9.5439
30.400000 89.897 8.6365
30.700001 89.874 7.9482
31.100000 89.819 7.1638
31.500000 89.761 6.6086
32.000000 89.729 6.1014
32.500000 89.743 5.4609
33.000000 89.753 4.5110
33.500000 89.715 3.4451
34.000000 89.636 2.5793
34.500000 89.561 2.0253
35.000000 89.523 1.6216
35.500000 89.514 1.1488
36.000000 89.510 0.5346
36.500000 89.493 -0.1470
37.000000 89.464 -0.7976
37.500000 89.432 -1.3783
38.200001 89.398 -2.1343
38.700001 89.380 -2.7103
39.500000 89.338 -3.7314
40.000000 89.297 -4.3569
40.599998 89.242 -5.0159
41.200001 89.196 -5.6088
41.799999 89.160 -6.2280
42.500000 89.114 -7.0094
43.099998 89.067 -7.6594
43.700001 89.022 -8.2554
44.400002 88.977 -8.9235
45.000000 88.941 -9.5024
45.500000 88.909 -9.9768
46.200001 88.865 -10.6036
46.799999 88.830 -11.1191
47.500000 88.789 -11.7291
48.200001 88.742 -12.3396
48.700001 88.705 -12.7516
49.400002 88.653 -13.2819
50.000000 88.613 -13.7148
50.799999 88.565 -14.3185
51.500000 88.522 -14.8871
52.200001 88.474 -15.4618
53.000000 88.416 -16.0833
53.799999 88.359 -16.6551
54.500000 88.313 -17.1233
55.200001 88.271 -17.5830
56.000000 88.223 -18.1141
57.000000 88.160 -18.7529
58.000000 88.095 -19.3476
59.000000 88.031 -19.9290
60.000000 87.965 -20.4975
60.799999 87.912 -20.9515
61.500000 87.865 -21.3483
62.200001 87.818 -21.7349
63.000000 87.766 -22.1659
64.000000 87.703 -22.7045
65.000000 87.643 -23.2352
66.000000 87.585 -23.8054
67.000000 87.511 -24.3590
68.000000 87.440 -24.7760
69.000000 87.383 -25.1791
70.000000 87.326 -25.5986
71.000000 87.272 -26.0278
72.000000 87.210 -26.4588
73.000000 87.147 -26.8243
74.000000 87.088 -27.1936
75.000000 87.028 -27.5782
76.199997 86.956 -28.0378
77.500000 86.879 -28.5617
78.800003 86.797 -29.0905
80.000000 86.718 -29.4683
81.199997 86.651 -29.7510
82.500000 86.587 -30.0364
83.800003 86.525 -30.3761
85.000000 86.453 -30.7532
86.199997 86.367 -31.0966
87.500000 86.279 -31.4681
88.500000 86.213 -31.7830
90.000000 86.124 -32.2504
91.199997 86.062 -32.6190
92.500000 85.999 -32.9924
93.800003 85.936 -33.2975
95.000000 85.874 -33.5386
96.199997 85.808 -33.7363
97.500000 85.737 -33.9331
98.800003 85.667 -34.1829
100.000000 85.598 -34.4270
101.500000 85.521 -34.6858
103.000000 85.457 -34.9899
104.400002 85.401 -35.2937
106.000000 85.333 -35.6813
107.500000 85.253 -36.0134
109.000000 85.173 -36.1735
110.599998 85.109 -36.3051
112.000000 85.056 -36.4941
113.800003 84.974 -36.7621
115.000000 84.914 -36.9315
117.199997 84.800 -37.2250
118.000000 84.761 -37.3358
120.599998 84.646 -37.6777
122.000000 84.592 -37.8754
124.099998 84.507 -38.2013
125.000000 84.467 -38.3120
126.500000 84.404 -38.4752
128.000000 84.340 -38.6078
131.500000 84.207 -38.8506
132.000000 84.188 -38.8905
134.000000 84.112 -39.0424
136.000000 84.040 -39.2222
138.000000 83.968 -39.3956
140.000000 83.897 -39.5165
143.000000 83.796 -39.6402
145.000000 83.727 -39.7963
147.500000 83.638 -39.9871
150.000000 83.559 -40.1230
152.500000 83.477 -40.2643
155.000000 83.387 -40.3740
157.500000 83.298 -40.5051
160.000000 83.197 -40.5906
162.500000 83.101 -40.5977
165.000000 83.014 -40.6345
167.500000 82.921 -40.6830
170.000000 82.817 -40.6339
172.500000 82.716 -40.5322
175.000000 82.625 -40.4131
177.500000 82.543 -40.1766
180.000000 82.480 -39.8228
182.500000 82.442 -39.5779
185.000000 82.421 -39.5635
187.500000 82.400 -39.7341
190.000000 82.366 -39.9736
192.500000 82.306 -40.2047
195.000000 82.224 -40.3629
197.500000 82.138 -40.5055
200.000000 82.061 -40.6646
203.000000 81.984 -40.8145
206.000000 81.910 -40.8707
209.000000 81.836 -40.8541
212.000000 81.768 -40.8240
214.000000 81.726 -40.7989
218.000000 81.644 -40.7509
220.000000 81.604 -40.7404
224.000000 81.526 -40.7075
227.000000 81.468 -40.6996
230.000000 81.408 -40.7030
233.000000 81.348 -40.6780
236.000000 81.289 -40.6291
240.000000 81.212 -40.5680
243.000000 81.158 -40.5248
247.000000 81.085 -40.4544
250.000000 81.029 -40.3971
254.000000 80.955 -40.3015
258.000000 80.882 -40.1848
262.000000 80.814 -40.0767
265.000000 80.764 -40.0116
269.000000 80.697 -39.9109
272.000000 80.644 -39.8234
276.000000 80.573 -39.6940
280.000000 80.507 -39.5841
285.000000 80.431 -39.4628
290.000000 80.358 -39.3300
295.000000 80.289 -39.1851
300.000000 80.214 -39.0308
304.000000 80.151 -38.8973
307.000000 80.107 -38.7953
311.000000 80.053 -38.6694
