* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:23:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u4s m15 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.039 85.7877
1.015000 79.378 85.2807
1.030000 79.714 84.7956
1.044000 80.027 84.3702
1.060000 80.382 83.9151
1.075000 80.713 83.5153
1.090000 81.041 83.1385
1.106000 81.387 82.7587
1.120000 81.687 82.4427
1.138000 82.066 82.0556
1.150000 82.315 81.8078
1.172000 82.762 81.3697
1.180000 82.921 81.2140
1.206000 83.426 80.7210
1.220000 83.689 80.4620
1.241000 84.070 80.0790
1.250000 84.228 79.9162
1.265000 84.484 79.6456
1.280000 84.731 79.3752
1.315000 85.268 78.7401
1.320000 85.339 78.6485
1.340000 85.613 78.2812
1.360000 85.865 77.9222
1.380000 86.093 77.5986
1.400000 86.298 77.3051
1.430000 86.568 76.9042
1.450000 86.725 76.6564
1.475000 86.901 76.3614
1.500000 87.056 76.0763
1.525000 87.194 75.7950
1.550000 87.321 75.5124
1.575000 87.439 75.2290
1.600000 87.552 74.9454
1.625000 87.666 74.6488
1.650000 87.782 74.3369
1.675000 87.905 74.0094
1.700000 88.031 73.6755
1.725000 88.152 73.3504
1.750000 88.266 73.0384
1.775000 88.373 72.7342
1.800000 88.474 72.4321
1.825000 88.570 72.1387
1.850000 88.661 71.8521
1.875000 88.750 71.5704
1.900000 88.836 71.2918
1.925000 88.921 71.0144
1.950000 89.006 70.7368
1.975000 89.090 70.4532
2.000000 89.176 70.1596
2.030000 89.280 69.8048
2.060000 89.384 69.4553
2.090000 89.486 69.1156
2.120000 89.586 68.7861
2.140000 89.652 68.5718
2.180000 89.781 68.1476
2.200000 89.845 67.9337
2.240000 89.970 67.5142
2.270000 90.063 67.2049
2.300000 90.154 66.8985
2.330000 90.245 66.5935
2.360000 90.335 66.2898
2.400000 90.453 65.8657
2.430000 90.540 65.5509
2.470000 90.655 65.1405
2.500000 90.740 64.8402
2.540000 90.851 64.4500
2.580000 90.960 64.0583
2.620000 91.066 63.6523
2.650000 91.145 63.3540
2.690000 91.247 62.9625
2.720000 91.322 62.6725
2.760000 91.420 62.2898
2.800000 91.515 61.8889
2.850000 91.631 61.3938
2.900000 91.743 60.9150
2.950000 91.853 60.4545
3.000000 91.960 59.9841
3.040000 92.044 59.6093
3.070000 92.105 59.3322
3.110000 92.186 58.9675
3.150000 92.264 58.6100
3.200000 92.359 58.1502
3.250000 92.453 57.6954
3.300000 92.544 57.2576
3.350000 92.635 56.8374
3.400000 92.724 56.4070
3.450000 92.812 55.9749
3.500000 92.898 55.5522
3.550000 92.982 55.1423
3.600000 93.064 54.7214
3.650000 93.145 54.3056
3.700000 93.224 53.9058
3.750000 93.301 53.5181
3.820000 93.406 52.9499
3.870000 93.479 52.5480
3.950000 93.592 51.9314
4.000000 93.661 51.5426
4.060000 93.742 51.0804
4.120000 93.821 50.6314
4.180000 93.898 50.1850
4.250000 93.985 49.6478
4.310000 94.058 49.2066
4.370000 94.129 48.7828
4.440000 94.211 48.2640
4.500000 94.279 47.8321
4.550000 94.335 47.4830
4.620000 94.411 46.9780
4.680000 94.474 46.5568
4.750000 94.546 46.0864
4.820000 94.616 45.6007
4.870000 94.665 45.2578
4.940000 94.731 44.7937
5.000000 94.786 44.3967
5.080000 94.858 43.8735
5.150000 94.919 43.4337
5.220000 94.978 42.9830
5.300000 95.044 42.4819
5.380000 95.108 42.0000
5.450000 95.163 41.5711
5.520000 95.217 41.1568
5.600000 95.277 40.6865
5.700000 95.350 40.1033
5.800000 95.420 39.5414
5.900000 95.489 38.9789
6.000000 95.555 38.4335
6.080000 95.607 37.9983
6.150000 95.651 37.6316
6.220000 95.694 37.2590
6.300000 95.743 36.8416
6.400000 95.803 36.3317
6.500000 95.861 35.8226
6.600000 95.918 35.3254
6.700000 95.974 34.8297
6.800000 96.028 34.3458
6.900000 96.081 33.8599
7.000000 96.133 33.3847
7.100000 96.183 32.9093
7.200000 96.232 32.4429
7.300000 96.279 31.9753
7.400000 96.325 31.5182
7.500000 96.369 31.0612
7.620000 96.420 30.5207
7.750000 96.473 29.9454
7.880000 96.523 29.3731
8.000000 96.568 28.8601
8.120000 96.610 28.3588
8.250000 96.653 27.8282
8.380000 96.695 27.3164
8.500000 96.732 26.8491
8.620000 96.769 26.3962
8.750000 96.808 25.9174
8.850000 96.837 25.5548
9.000000 96.879 25.0275
9.120000 96.913 24.6119
9.250000 96.949 24.1706
9.380000 96.985 23.7395
9.500000 97.018 23.3409
9.620000 97.049 22.9467
9.750000 97.081 22.5215
9.880000 97.110 22.0972
10.000000 97.133 21.7122
10.150000 97.152 21.1995
10.300000 97.161 20.7027
10.440000 97.165 20.2568
10.600000 97.168 19.7681
10.750000 97.169 19.3298
10.900000 97.169 18.9105
11.060000 97.169 18.4529
11.200000 97.169 18.0211
11.380000 97.169 17.4870
11.500000 97.169 17.1422
11.720000 97.165 16.5314
11.800000 97.163 16.3159
12.060000 97.155 15.6147
12.200000 97.149 15.2060
12.410000 97.143 14.6164
12.500000 97.142 14.3728
12.650000 97.144 13.9793
12.800000 97.147 13.6028
13.150000 97.155 12.7400
13.200000 97.156 12.6143
13.400000 97.161 12.1308
13.600000 97.165 11.6750
13.800000 97.169 11.2427
14.000000 97.174 10.8242
14.300000 97.182 10.1495
14.500000 97.188 9.7103
14.750000 97.192 9.1760
15.000000 97.194 8.6601
15.250000 97.194 8.1055
15.500000 97.193 7.5799
15.750000 97.190 7.0871
16.000000 97.189 6.6247
16.250000 97.190 6.1467
16.500000 97.194 5.6874
16.750000 97.200 5.2414
17.000000 97.205 4.8014
17.250000 97.211 4.3341
17.500000 97.215 3.8734
17.750000 97.217 3.4257
18.000000 97.219 2.9926
18.250000 97.221 2.5438
18.500000 97.222 2.1094
18.750000 97.224 1.6872
19.000000 97.226 1.2700
19.250000 97.228 0.8363
19.500000 97.228 0.4035
19.750000 97.226 -0.0231
20.000000 97.221 -0.4393
20.299999 97.213 -0.9413
20.600000 97.203 -1.4088
20.900000 97.194 -1.8395
21.200001 97.186 -2.2630
21.400000 97.183 -2.5436
21.799999 97.179 -3.1023
22.000000 97.177 -3.3855
22.400000 97.171 -3.9864
22.700001 97.163 -4.4303
23.000000 97.152 -4.8568
23.299999 97.140 -5.2790
23.600000 97.127 -5.6777
24.000000 97.114 -6.1847
24.299999 97.105 -6.5798
24.700001 97.094 -7.1086
25.000000 97.084 -7.5064
25.400000 97.068 -8.0413
25.799999 97.050 -8.5540
26.200001 97.030 -9.0520
26.500000 97.016 -9.4204
26.900000 96.997 -9.8977
27.200001 96.983 -10.2536
27.600000 96.963 -10.7178
28.000000 96.942 -11.1608
28.500000 96.918 -11.6971
29.000000 96.898 -12.2093
29.500000 96.882 -12.7419
30.000000 96.867 -13.3090
30.400000 96.852 -13.7970
30.700001 96.837 -14.1661
31.100000 96.810 -14.6482
31.500000 96.779 -15.1061
32.000000 96.737 -15.6144
32.500000 96.697 -16.0677
33.000000 96.662 -16.4732
33.500000 96.633 -16.8664
34.000000 96.610 -17.2677
34.500000 96.590 -17.6997
35.000000 96.569 -18.1401
35.500000 96.548 -18.5851
36.000000 96.528 -19.0422
36.500000 96.507 -19.5378
37.000000 96.479 -20.0446
37.500000 96.443 -20.5192
38.200001 96.394 -21.0909
38.700001 96.365 -21.4772
39.500000 96.322 -22.0969
40.000000 96.299 -22.4747
40.599998 96.276 -22.9635
41.200001 96.247 -23.5139
41.799999 96.203 -24.0294
42.500000 96.155 -24.5078
43.099998 96.129 -24.9531
43.700001 96.092 -25.5122
44.400002 96.014 -26.0357
45.000000 95.960 -26.2339
45.500000 95.949 -26.4094
46.200001 95.946 -26.9635
46.799999 95.910 -27.6057
47.500000 95.835 -28.2072
48.200001 95.770 -28.6291
48.700001 95.734 -28.9305
49.400002 95.683 -29.3789
50.000000 95.641 -29.7447
50.799999 95.592 -30.2243
51.500000 95.552 -30.6546
52.200001 95.514 -31.0714
53.000000 95.473 -31.5606
53.799999 95.428 -32.0633
54.500000 95.384 -32.4495
55.200001 95.346 -32.8043
56.000000 95.305 -33.2431
57.000000 95.250 -33.7575
58.000000 95.212 -34.3362
59.000000 95.143 -35.1367
60.000000 95.037 -35.6436
60.799999 94.982 -35.8910
61.500000 94.948 -36.1976
62.200001 94.910 -36.5581
63.000000 94.863 -36.9591
64.000000 94.803 -37.4637
65.000000 94.740 -37.9243
66.000000 94.679 -38.3609
67.000000 94.621 -38.7856
68.000000 94.562 -39.2145
69.000000 94.506 -39.6473
70.000000 94.447 -40.1237
71.000000 94.380 -40.5768
72.000000 94.318 -40.9886
73.000000 94.259 -41.4195
74.000000 94.197 -41.8287
75.000000 94.140 -42.1879
76.199997 94.083 -42.6570
77.500000 94.010 -43.2460
78.800003 93.922 -43.7487
80.000000 93.845 -44.1398
81.199997 93.773 -44.5142
82.500000 93.703 -44.9115
83.800003 93.640 -45.3246
85.000000 93.584 -45.7339
86.199997 93.526 -46.1467
87.500000 93.463 -46.5831
88.500000 93.413 -46.9208
90.000000 93.337 -47.4206
91.199997 93.272 -47.8334
92.500000 93.200 -48.2365
93.800003 93.131 -48.6156
95.000000 93.071 -48.9752
96.199997 93.009 -49.3463
97.500000 92.941 -49.7162
98.800003 92.877 -50.0961
100.000000 92.818 -50.4629
101.500000 92.742 -50.9225
103.000000 92.663 -51.3041
104.400002 92.602 -51.6006
106.000000 92.538 -51.9851
107.500000 92.476 -52.3514
109.000000 92.415 -52.7163
110.599998 92.339 -53.1559
112.000000 92.266 -53.3990
113.800003 92.202 -53.6741
115.000000 92.161 -53.9944
117.199997 92.056 -54.6217
118.000000 92.014 -54.8075
120.599998 91.887 -55.3421
122.000000 91.825 -55.6065
124.099998 91.735 -56.0221
125.000000 91.693 -56.2118
126.500000 91.612 -56.5013
128.000000 91.530 -56.6978
131.500000 91.385 -57.3745
132.000000 91.365 -57.5103
134.000000 91.286 -58.0185
136.000000 91.209 -58.3322
138.000000 91.152 -58.5349
140.000000 91.089 -58.8262
143.000000 91.033 -59.1906
145.000000 91.001 -59.7244
147.500000 90.896 -60.2578
150.000000 90.771 -60.5601
152.500000 90.670 -60.9516
155.000000 90.596 -61.3521
157.500000 90.519 -61.6544
160.000000 90.423 -61.9861
162.500000 90.325 -62.3527
165.000000 90.261 -62.6487
167.500000 90.202 -62.9796
170.000000 90.115 -63.2592
172.500000 90.018 -63.5888
175.000000 89.924 -63.9047
177.500000 89.836 -64.1899
180.000000 89.734 -64.4671
182.500000 89.635 -64.6217
185.000000 89.566 -64.8567
187.500000 89.507 -65.2796
190.000000 89.447 -65.7541
192.500000 89.384 -66.1456
195.000000 89.318 -66.4126
197.500000 89.250 -66.6330
200.000000 89.181 -66.8789
203.000000 89.102 -67.1660
206.000000 89.027 -67.4379
209.000000 88.958 -67.7237
212.000000 88.897 -68.0269
214.000000 88.858 -68.2187
218.000000 88.787 -68.5558
220.000000 88.755 -68.7241
224.000000 88.690 -69.0967
227.000000 88.640 -69.4370
230.000000 88.584 -69.8295
233.000000 88.530 -70.1393
236.000000 88.486 -70.3921
240.000000 88.424 -70.7647
243.000000 88.373 -71.0235
247.000000 88.305 -71.3556
250.000000 88.255 -71.6113
254.000000 88.193 -71.9619
258.000000 88.132 -72.3174
262.000000 88.073 -72.6819
265.000000 88.032 -72.9447
269.000000 87.977 -73.2590
272.000000 87.934 -73.5237
276.000000 87.881 -73.8613
280.000000 87.834 -74.1717
285.000000 87.777 -74.6125
290.000000 87.718 -75.1319
295.000000 87.659 -75.6105
300.000000 87.605 -75.8658
304.000000 87.564 -76.1290
307.000000 87.539 -76.3600
311.000000 87.499 -76.6334
315.000000 87.457 -76.9168
320.000000 87.415 -77.2657
325.000000 87.382 -77.6568
330.000000 87.361 -78.0430
