* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:21:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u4s m15 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.900 81.9948
1.015000 80.262 81.5063
1.030000 80.621 81.0353
1.044000 80.954 80.6217
1.060000 81.330 80.1785
1.075000 81.680 79.7883
1.090000 82.024 79.4194
1.106000 82.387 79.0460
1.120000 82.699 78.7337
1.138000 83.094 78.3485
1.150000 83.352 78.1000
1.172000 83.815 77.6565
1.180000 83.980 77.4974
1.206000 84.500 76.9879
1.220000 84.771 76.7163
1.241000 85.162 76.3095
1.250000 85.325 76.1345
1.265000 85.589 75.8412
1.280000 85.842 75.5448
1.315000 86.395 74.8355
1.320000 86.469 74.7318
1.340000 86.753 74.3121
1.360000 87.014 73.8961
1.380000 87.250 73.5131
1.400000 87.464 73.1590
1.430000 87.744 72.6653
1.450000 87.907 72.3548
1.475000 88.089 71.9804
1.500000 88.249 71.6148
1.525000 88.392 71.2520
1.550000 88.522 70.8866
1.575000 88.643 70.5189
1.600000 88.759 70.1493
1.625000 88.875 69.7646
1.650000 88.994 69.3622
1.675000 89.118 68.9413
1.700000 89.245 68.5107
1.725000 89.367 68.0853
1.750000 89.481 67.6705
1.775000 89.587 67.2623
1.800000 89.687 66.8560
1.825000 89.781 66.4589
1.850000 89.871 66.0694
1.875000 89.957 65.6862
1.900000 90.040 65.3075
1.925000 90.121 64.9318
1.950000 90.202 64.5575
1.975000 90.283 64.1787
2.000000 90.364 63.7910
2.030000 90.463 63.3235
2.060000 90.562 62.8584
2.090000 90.657 62.4003
2.120000 90.750 61.9509
2.140000 90.811 61.6566
2.180000 90.930 61.0740
2.200000 90.988 60.7822
2.240000 91.102 60.2107
2.270000 91.186 59.7913
2.300000 91.268 59.3785
2.330000 91.349 58.9708
2.360000 91.430 58.5671
2.400000 91.534 58.0085
2.430000 91.611 57.5906
2.470000 91.712 57.0417
2.500000 91.785 56.6380
2.540000 91.881 56.1125
2.580000 91.974 55.5905
2.620000 92.064 55.0605
2.650000 92.130 54.6740
2.690000 92.216 54.1711
2.720000 92.279 53.7998
2.760000 92.359 53.3081
2.800000 92.437 52.7977
2.850000 92.531 52.1675
2.900000 92.620 51.5588
2.950000 92.707 50.9765
3.000000 92.791 50.3946
3.040000 92.857 49.9374
3.070000 92.905 49.6006
3.110000 92.966 49.1570
3.150000 93.026 48.7218
3.200000 93.098 48.1678
3.250000 93.168 47.6239
3.300000 93.236 47.1042
3.350000 93.303 46.6103
3.400000 93.370 46.1135
3.450000 93.434 45.6190
3.500000 93.498 45.1370
3.550000 93.560 44.6712
3.600000 93.621 44.1986
3.650000 93.680 43.7359
3.700000 93.738 43.2945
3.750000 93.794 42.8702
3.820000 93.871 42.2567
3.870000 93.924 41.8259
3.950000 94.008 41.1676
4.000000 94.058 40.7555
4.060000 94.119 40.2682
4.120000 94.177 39.7981
4.180000 94.235 39.3333
4.250000 94.301 38.7765
4.310000 94.356 38.3187
4.370000 94.411 37.8775
4.440000 94.474 37.3386
4.500000 94.527 36.8902
4.550000 94.571 36.5272
4.620000 94.631 36.0011
4.680000 94.681 35.5591
4.750000 94.739 35.0612
4.820000 94.794 34.5455
4.870000 94.833 34.1797
4.940000 94.886 33.6812
5.000000 94.930 33.2519
5.080000 94.987 32.6811
5.150000 95.035 32.1952
5.220000 95.081 31.6952
5.300000 95.132 31.1348
5.380000 95.182 30.5909
5.450000 95.223 30.1048
5.520000 95.263 29.6302
5.600000 95.307 29.0892
5.700000 95.360 28.4179
5.800000 95.408 27.7684
5.900000 95.454 27.1172
6.000000 95.497 26.4864
6.080000 95.529 25.9873
6.150000 95.556 25.5673
6.220000 95.582 25.1433
6.300000 95.610 24.6709
6.400000 95.644 24.0997
6.500000 95.677 23.5380
6.600000 95.708 22.9955
6.700000 95.738 22.4616
6.800000 95.768 21.9477
6.900000 95.797 21.4391
7.000000 95.825 20.9464
7.100000 95.854 20.4573
7.200000 95.882 19.9817
7.300000 95.909 19.5073
7.400000 95.937 19.0426
7.500000 95.964 18.5769
7.620000 95.996 18.0243
7.750000 96.030 17.4290
7.880000 96.063 16.8280
8.000000 96.092 16.2810
8.120000 96.119 15.7366
8.250000 96.146 15.1490
8.380000 96.170 14.5718
8.500000 96.192 14.0374
8.620000 96.211 13.5117
8.750000 96.230 12.9521
8.850000 96.243 12.5269
9.000000 96.259 11.9071
9.120000 96.271 11.4231
9.250000 96.282 10.9146
9.380000 96.292 10.4250
9.500000 96.301 9.9825
9.620000 96.309 9.5541
9.750000 96.316 9.1020
9.880000 96.320 8.6617
10.000000 96.321 8.2701
10.150000 96.315 7.7565
10.300000 96.302 7.2651
10.440000 96.287 6.8250
10.600000 96.270 6.3400
10.750000 96.255 5.8987
10.900000 96.241 5.4666
11.060000 96.227 4.9837
11.200000 96.215 4.5191
11.380000 96.199 3.9297
11.500000 96.187 3.5420
11.720000 96.161 2.8446
11.800000 96.150 2.5973
12.060000 96.110 1.7988
12.200000 96.086 1.3466
12.410000 96.051 0.7068
12.500000 96.039 0.4480
12.650000 96.021 0.0375
12.800000 96.006 -0.3478
13.150000 95.979 -1.2119
13.200000 95.976 -1.3375
13.400000 95.965 -1.8249
13.600000 95.957 -2.2971
13.800000 95.950 -2.7625
14.000000 95.944 -3.2324
14.300000 95.933 -4.0121
14.500000 95.924 -4.5321
14.750000 95.906 -5.1679
15.000000 95.883 -5.7751
15.250000 95.857 -6.4046
15.500000 95.830 -6.9885
15.750000 95.802 -7.5273
16.000000 95.777 -8.0308
16.250000 95.756 -8.5504
16.500000 95.738 -9.0546
16.750000 95.722 -9.5480
17.000000 95.705 -10.0346
17.250000 95.687 -10.5451
17.500000 95.669 -11.0447
17.750000 95.650 -11.5297
18.000000 95.631 -12.0028
18.250000 95.613 -12.4980
18.500000 95.593 -12.9857
18.750000 95.573 -13.4646
19.000000 95.550 -13.9341
19.250000 95.526 -14.4075
19.500000 95.500 -14.8613
19.750000 95.473 -15.2899
20.000000 95.447 -15.6954
20.299999 95.418 -16.1842
20.600000 95.392 -16.6584
20.900000 95.369 -17.1289
21.200001 95.346 -17.6238
21.400000 95.329 -17.9618
21.799999 95.294 -18.6298
22.000000 95.274 -18.9535
22.400000 95.232 -19.5976
22.700001 95.200 -20.0505
23.000000 95.170 -20.4840
23.299999 95.141 -20.9262
23.600000 95.113 -21.3640
24.000000 95.075 -21.9428
24.299999 95.045 -22.3913
24.700001 95.004 -22.9714
25.000000 94.971 -23.3903
25.400000 94.927 -23.9408
25.799999 94.884 -24.4715
26.200001 94.839 -24.9991
26.500000 94.805 -25.3945
26.900000 94.758 -25.9046
27.200001 94.722 -26.2768
27.600000 94.673 -26.7503
28.000000 94.625 -27.1966
28.500000 94.569 -27.7522
29.000000 94.517 -28.3184
29.500000 94.462 -28.9239
30.000000 94.400 -29.5311
30.400000 94.346 -29.9954
30.700001 94.305 -30.3125
31.100000 94.255 -30.7008
31.500000 94.212 -31.0846
32.000000 94.170 -31.6103
32.500000 94.128 -32.2408
33.000000 94.069 -32.9036
33.500000 93.996 -33.4736
34.000000 93.930 -33.8818
34.500000 93.895 -34.2584
35.000000 93.883 -34.7883
35.500000 93.857 -35.5196
36.000000 93.793 -36.2574
36.500000 93.708 -36.7879
37.000000 93.640 -37.1071
37.500000 93.601 -37.4360
38.200001 93.537 -38.0802
38.700001 93.463 -38.4544
39.500000 93.377 -38.6623
40.000000 93.371 -38.9088
40.599998 93.349 -39.5877
41.200001 93.257 -40.2934
41.799999 93.144 -40.5936
42.500000 93.085 -40.7393
43.099998 93.072 -41.2143
43.700001 93.023 -41.9627
44.400002 92.918 -42.6894
45.000000 92.838 -43.1163
45.500000 92.787 -43.4892
46.200001 92.710 -44.0803
46.799999 92.631 -44.5075
47.500000 92.549 -44.8434
48.200001 92.492 -45.1522
48.700001 92.458 -45.4286
49.400002 92.403 -45.8754
50.000000 92.348 -46.2680
50.799999 92.265 -46.7697
51.500000 92.187 -47.1728
52.200001 92.111 -47.5494
53.000000 92.030 -48.0225
53.799999 91.946 -48.5687
54.500000 91.866 -49.0290
55.200001 91.792 -49.4597
56.000000 91.713 -49.9792
57.000000 91.608 -50.5318
58.000000 91.537 -50.9640
59.000000 91.463 -51.6284
60.000000 91.343 -52.0575
60.799999 91.274 -52.1469
61.500000 91.235 -52.3254
62.200001 91.189 -52.6096
63.000000 91.125 -52.9098
64.000000 91.050 -53.2787
65.000000 90.978 -53.6951
66.000000 90.906 -54.1945
67.000000 90.824 -54.7022
68.000000 90.746 -55.1513
69.000000 90.677 -55.6498
70.000000 90.599 -56.1926
71.000000 90.511 -56.6825
72.000000 90.425 -57.0823
73.000000 90.347 -57.4653
74.000000 90.270 -57.8521
75.000000 90.196 -58.2527
76.199997 90.098 -58.7685
77.500000 89.998 -59.1897
78.800003 89.909 -59.7374
80.000000 89.810 -60.1955
81.199997 89.724 -60.5323
82.500000 89.641 -60.9829
83.800003 89.543 -61.4465
85.000000 89.450 -61.8222
86.199997 89.360 -62.1993
87.500000 89.266 -62.6129
88.500000 89.194 -62.9340
90.000000 89.092 -63.3721
91.199997 89.018 -63.6928
92.500000 88.940 -64.0359
93.800003 88.860 -64.3854
95.000000 88.782 -64.7089
96.199997 88.701 -65.0238
97.500000 88.617 -65.3349
98.800003 88.536 -65.6566
100.000000 88.464 -65.9216
101.500000 88.387 -66.1880
103.000000 88.321 -66.6320
104.400002 88.229 -67.1645
106.000000 88.109 -67.6071
107.500000 88.004 -67.9698
109.000000 87.906 -68.1624
110.599998 87.834 -68.3759
112.000000 87.760 -68.7487
113.800003 87.642 -69.2020
115.000000 87.562 -69.4978
117.199997 87.440 -69.8177
118.000000 87.412 -69.9404
120.599998 87.298 -70.2452
122.000000 87.217 -70.3374
124.099998 87.087 -70.3772
125.000000 87.033 -70.5030
126.500000 86.945 -70.6392
128.000000 86.894 -70.7173
131.500000 86.847 -70.8568
132.000000 86.842 -70.8627
134.000000 86.822 -70.9771
136.000000 86.798 -71.3661
138.000000 86.769 -72.0448
140.000000 86.726 -72.7225
143.000000 86.661 -73.5093
145.000000 86.595 -74.0247
147.500000 86.489 -74.5984
150.000000 86.392 -75.1297
152.500000 86.306 -75.5838
155.000000 86.222 -76.0882
157.500000 86.122 -76.5781
160.000000 86.027 -77.0337
162.500000 85.938 -77.4351
165.000000 85.856 -77.8114
167.500000 85.771 -78.2029
170.000000 85.685 -78.5787
172.500000 85.595 -78.9109
175.000000 85.504 -79.2201
177.500000 85.416 -79.5965
180.000000 85.335 -79.9687
182.500000 85.263 -80.2615
185.000000 85.180 -80.5411
187.500000 85.088 -80.8433
190.000000 85.010 -81.2576
192.500000 84.944 -81.6293
195.000000 84.883 -81.9225
197.500000 84.812 -82.1824
200.000000 84.742 -82.4683
203.000000 84.671 -82.8052
206.000000 84.613 -83.1183
209.000000 84.553 -83.4968
212.000000 84.495 -83.7965
214.000000 84.466 -83.9295
218.000000 84.423 -84.1890
220.000000 84.399 -84.3879
224.000000 84.338 -84.9000
227.000000 84.294 -85.2772
230.000000 84.251 -85.7038
233.000000 84.207 -86.1353
236.000000 84.160 -86.4899
240.000000 84.096 -87.0168
243.000000 84.038 -87.4275
247.000000 83.962 -87.8473
250.000000 83.917 -88.1436
254.000000 83.872 -88.4597
258.000000 83.813 -88.7600
262.000000 83.758 -88.9965
265.000000 83.724 -89.0351
269.000000 83.679 -89.0603
272.000000 83.665 -89.1092
276.000000 83.683 -89.1649
280.000000 83.720 -89.3615
285.000000 83.778 -89.9251
290.000000 83.814 -90.7151
295.000000 83.821 -91.5561
300.000000 83.812 -92.4045
304.000000 83.803 -93.0182
307.000000 83.792 -93.4518
311.000000 83.771 -94.0095
315.000000 83.750 -94.5192
320.000000 83.727 -95.1083
