* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:18:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u4s mx L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.827 89.7885
1.015000 64.124 89.0810
1.030000 64.421 88.4146
1.044000 64.699 87.8315
1.060000 65.020 87.2084
1.075000 65.322 86.6630
1.090000 65.624 86.1521
1.106000 65.946 85.6420
1.120000 66.227 85.2230
1.138000 66.586 84.7186
1.150000 66.824 84.4020
1.172000 67.252 83.8576
1.180000 67.406 83.6695
1.206000 67.894 83.0950
1.220000 68.150 82.8070
1.241000 68.521 82.3999
1.250000 68.675 82.2339
1.265000 68.925 81.9676
1.280000 69.165 81.7133
1.315000 69.685 81.1619
1.320000 69.754 81.0876
1.340000 70.016 80.8011
1.360000 70.254 80.5381
1.380000 70.470 80.3180
1.400000 70.663 80.1329
1.430000 70.918 79.9031
1.450000 71.067 79.7752
1.475000 71.232 79.6367
1.500000 71.378 79.5159
1.525000 71.510 79.4074
1.550000 71.630 79.3063
1.575000 71.743 79.2137
1.600000 71.853 79.1308
1.625000 71.963 79.0453
1.650000 72.077 78.9555
1.675000 72.199 78.8614
1.700000 72.324 78.7716
1.725000 72.445 78.6989
1.750000 72.561 78.6447
1.775000 72.670 78.6015
1.800000 72.775 78.5619
1.825000 72.875 78.5313
1.850000 72.973 78.5065
1.875000 73.068 78.4852
1.900000 73.162 78.4652
1.925000 73.255 78.4444
1.950000 73.348 78.4213
1.975000 73.442 78.3904
2.000000 73.538 78.3483
2.030000 73.656 78.2965
2.060000 73.774 78.2556
2.090000 73.892 78.2300
2.120000 74.009 78.2167
2.140000 74.087 78.2126
2.180000 74.242 78.2042
2.200000 74.319 78.1946
2.240000 74.473 78.1742
2.270000 74.587 78.1544
2.300000 74.701 78.1285
2.330000 74.815 78.0948
2.360000 74.929 78.0559
2.400000 75.080 77.9852
2.430000 75.193 77.9385
2.470000 75.343 77.8855
2.500000 75.456 77.8499
2.540000 75.605 77.8036
2.580000 75.752 77.7419
2.620000 75.898 77.6484
2.650000 76.005 77.5716
2.690000 76.147 77.4596
2.720000 76.252 77.3725
2.760000 76.391 77.2591
2.800000 76.527 77.1255
2.850000 76.696 76.9560
2.900000 76.861 76.7870
2.950000 77.024 76.6144
3.000000 77.183 76.4060
3.040000 77.308 76.2232
3.070000 77.401 76.0843
3.110000 77.522 75.8997
3.150000 77.642 75.7175
3.200000 77.789 75.4676
3.250000 77.932 75.2097
3.300000 78.073 74.9530
3.350000 78.212 74.6958
3.400000 78.347 74.4121
3.450000 78.480 74.1158
3.500000 78.611 73.8207
3.550000 78.738 73.5309
3.600000 78.862 73.2227
3.650000 78.983 72.9121
3.700000 79.100 72.6093
3.750000 79.213 72.3095
3.820000 79.366 71.8517
3.870000 79.471 71.5232
3.950000 79.632 71.0213
4.000000 79.729 70.7051
4.060000 79.841 70.3303
4.120000 79.948 69.9653
4.180000 80.051 69.6001
4.250000 80.165 69.1612
4.310000 80.260 68.8126
4.370000 80.351 68.4921
4.440000 80.453 68.1037
4.500000 80.536 67.7887
4.550000 80.603 67.5422
4.620000 80.694 67.1931
4.680000 80.769 66.9202
4.750000 80.855 66.6414
4.820000 80.936 66.3638
4.870000 80.992 66.1785
4.940000 81.070 65.9478
5.000000 81.135 65.7636
5.080000 81.221 65.5448
5.150000 81.296 65.3915
5.220000 81.369 65.2427
5.300000 81.454 65.0995
5.380000 81.540 64.9858
5.450000 81.617 64.8906
5.520000 81.695 64.8218
5.600000 81.786 64.7529
5.700000 81.903 64.6667
5.800000 82.023 64.5962
5.900000 82.147 64.5243
6.000000 82.273 64.4511
6.080000 82.377 64.3712
6.150000 82.469 64.3031
6.220000 82.562 64.2183
6.300000 82.669 64.1118
6.400000 82.804 63.9544
6.500000 82.939 63.7602
6.600000 83.074 63.5450
6.700000 83.208 63.2955
6.800000 83.339 63.0203
6.900000 83.467 62.7098
7.000000 83.592 62.3819
7.100000 83.712 62.0278
7.200000 83.828 61.6570
7.300000 83.939 61.2651
7.400000 84.045 60.8703
7.500000 84.146 60.4630
7.620000 84.260 59.9685
7.750000 84.377 59.4383
7.880000 84.486 58.9095
8.000000 84.580 58.4380
8.120000 84.669 57.9865
8.250000 84.760 57.5190
8.380000 84.846 57.0808
8.500000 84.924 56.6929
8.620000 85.001 56.3287
8.750000 85.083 55.9537
8.850000 85.145 55.6758
9.000000 85.239 55.2799
9.120000 85.314 54.9680
9.250000 85.397 54.6362
9.380000 85.480 54.3076
9.500000 85.556 53.9939
9.620000 85.632 53.6752
9.750000 85.712 53.3198
9.880000 85.788 52.9517
10.000000 85.853 52.6083
10.150000 85.923 52.1364
10.300000 85.980 51.6702
10.440000 86.027 51.2498
10.600000 86.076 50.7910
10.750000 86.117 50.3862
10.900000 86.157 50.0106
11.060000 86.198 49.6115
11.200000 86.234 49.2423
11.380000 86.282 48.8012
11.500000 86.315 48.5229
11.720000 86.375 48.0372
11.800000 86.397 47.8648
12.060000 86.471 47.2883
12.200000 86.510 46.9330
12.410000 86.569 46.4059
12.500000 86.596 46.1843
12.650000 86.643 45.8238
12.800000 86.689 45.4821
13.150000 86.792 44.7372
13.200000 86.807 44.6353
13.400000 86.866 44.2667
13.600000 86.930 43.9542
13.800000 87.001 43.6793
14.000000 87.082 43.4101
14.300000 87.219 42.8838
14.500000 87.317 42.4593
14.750000 87.437 41.8248
15.000000 87.544 41.0837
15.250000 87.629 40.2178
15.500000 87.690 39.3522
15.750000 87.725 38.5592
16.000000 87.745 37.8943
16.250000 87.758 37.3425
16.500000 87.776 36.9375
16.750000 87.805 36.6414
17.000000 87.849 36.3934
17.250000 87.905 36.1068
17.500000 87.968 35.7766
17.750000 88.031 35.3942
18.000000 88.088 34.9718
18.250000 88.137 34.5048
18.500000 88.179 34.0536
18.750000 88.215 33.6411
19.000000 88.248 33.2708
19.250000 88.284 32.9170
19.500000 88.322 32.5822
19.750000 88.364 32.2511
20.000000 88.408 31.9095
20.299999 88.460 31.4535
20.600000 88.511 30.9801
20.900000 88.558 30.5013
21.200001 88.602 30.0042
21.400000 88.630 29.6698
21.799999 88.682 29.0141
22.000000 88.705 28.6960
22.400000 88.747 28.0670
22.700001 88.776 27.6435
23.000000 88.805 27.2695
23.299999 88.840 26.9180
23.600000 88.884 26.5847
24.000000 88.954 26.1086
24.299999 89.011 25.6675
24.700001 89.079 24.9847
25.000000 89.117 24.4342
25.400000 89.144 23.7290
25.799999 89.153 23.1711
26.200001 89.166 22.7797
26.500000 89.189 22.5492
26.900000 89.239 22.2252
27.200001 89.284 21.9007
27.600000 89.338 21.3465
28.000000 89.370 20.7315
28.500000 89.383 20.0335
29.000000 89.393 19.5030
29.500000 89.421 18.9898
30.000000 89.451 18.3617
30.400000 89.457 17.8099
30.700001 89.450 17.4489
31.100000 89.438 17.1016
31.500000 89.442 16.8852
32.000000 89.488 16.6275
32.500000 89.559 16.1539
33.000000 89.617 15.4705
33.500000 89.645 14.7629
34.000000 89.659 14.1944
34.500000 89.683 13.7290
35.000000 89.720 13.2601
35.500000 89.756 12.7267
36.000000 89.777 12.1839
36.500000 89.788 11.6946
37.000000 89.796 11.2865
37.500000 89.806 10.9215
38.200001 89.826 10.4149
38.700001 89.838 10.0332
39.500000 89.853 9.4056
40.000000 89.862 8.9962
40.599998 89.867 8.4706
41.200001 89.863 7.9573
41.799999 89.856 7.5435
42.500000 89.872 7.1536
43.099998 89.914 6.7133
43.700001 89.953 6.0635
44.400002 89.958 5.2230
45.000000 89.938 4.6635
45.500000 89.925 4.3350
46.200001 89.929 3.9510
46.799999 89.943 3.5816
47.500000 89.960 3.0826
48.200001 89.970 2.5564
48.700001 89.975 2.1853
49.400002 89.983 1.6702
50.000000 89.991 1.2088
50.799999 89.992 0.6072
51.500000 89.990 0.1912
52.200001 90.004 -0.1606
53.000000 90.027 -0.6364
53.799999 90.034 -1.1304
54.500000 90.034 -1.4711
55.200001 90.041 -1.7962
56.000000 90.046 -2.2939
57.000000 90.015 -3.0361
58.000000 89.962 -3.5838
59.000000 89.948 -4.1565
60.000000 89.928 -4.9742
60.799999 89.904 -5.4950
61.500000 89.909 -5.8567
62.200001 89.934 -6.2726
63.000000 89.960 -6.8076
64.000000 89.981 -7.4358
65.000000 89.987 -7.9272
66.000000 89.991 -8.2946
67.000000 89.993 -8.7082
68.000000 89.977 -9.1585
69.000000 89.966 -9.5901
70.000000 89.961 -10.1721
71.000000 89.941 -10.7951
72.000000 89.924 -11.2915
73.000000 89.923 -11.7354
74.000000 89.926 -12.1792
75.000000 89.932 -12.6524
76.199997 89.919 -13.3758
77.500000 89.856 -14.0589
78.800003 89.818 -14.4790
80.000000 89.816 -15.0184
81.199997 89.815 -15.5836
82.500000 89.822 -16.1512
83.800003 89.818 -16.6816
85.000000 89.803 -17.0949
86.199997 89.777 -17.5890
87.500000 89.725 -18.0937
88.500000 89.698 -18.4676
90.000000 89.673 -19.1615
91.199997 89.670 -19.6970
92.500000 89.681 -20.3055
93.800003 89.682 -20.8902
95.000000 89.667 -21.3543
96.199997 89.641 -21.7406
97.500000 89.612 -22.1432
98.800003 89.584 -22.5685
100.000000 89.574 -22.9562
101.500000 89.586 -23.5920
103.000000 89.560 -24.4429
104.400002 89.501 -24.8323
106.000000 89.467 -25.1325
107.500000 89.439 -25.5724
109.000000 89.409 -26.0739
110.599998 89.384 -26.6519
112.000000 89.366 -27.1770
113.800003 89.342 -27.8209
115.000000 89.320 -28.2373
117.199997 89.260 -28.9227
118.000000 89.240 -29.1267
120.599998 89.196 -29.9304
122.000000 89.162 -30.4270
124.099998 89.110 -31.0077
125.000000 89.099 -31.2148
126.500000 89.091 -31.6527
128.000000 89.068 -32.1315
131.500000 89.006 -32.9206
132.000000 88.996 -33.0511
134.000000 88.959 -33.5508
136.000000 88.943 -33.9543
138.000000 88.941 -34.3749
140.000000 88.910 -34.8116
143.000000 88.816 -35.5560
145.000000 88.758 -36.1052
147.500000 88.728 -36.5954
150.000000 88.695 -37.0702
152.500000 88.614 -37.5701
155.000000 88.577 -37.9716
157.500000 88.636 -38.5326
160.000000 88.701 -39.2652
162.500000 88.678 -39.9114
165.000000 88.656 -40.5096
167.500000 88.603 -40.9854
170.000000 88.557 -41.2971
172.500000 88.472 -41.9726
175.000000 88.373 -42.7073
177.500000 88.312 -43.3390
180.000000 88.276 -43.7809
182.500000 88.265 -44.1940
185.000000 88.275 -44.8948
187.500000 88.258 -45.6574
190.000000 88.200 -46.0363
192.500000 88.124 -46.3239
195.000000 88.052 -46.7433
197.500000 88.005 -47.2896
200.000000 87.968 -47.8021
203.000000 87.917 -48.2875
206.000000 87.871 -48.8142
209.000000 87.832 -49.3399
212.000000 87.804 -49.8350
214.000000 87.785 -50.2473
218.000000 87.754 -51.0671
220.000000 87.744 -51.4114
224.000000 87.710 -52.0271
227.000000 87.680 -52.5167
230.000000 87.664 -52.9711
233.000000 87.645 -53.4278
236.000000 87.599 -53.9268
240.000000 87.552 -54.5581
243.000000 87.531 -55.0959
247.000000 87.482 -55.7548
250.000000 87.449 -56.1499
254.000000 87.415 -56.5391
258.000000 87.362 -57.0127
262.000000 87.308 -57.6470
265.000000 87.270 -58.0802
269.000000 87.225 -58.4757
272.000000 87.208 -58.7392
276.000000 87.203 -59.1796
280.000000 87.180 -59.6732
285.000000 87.164 -60.2807
290.000000 87.160 -60.9023
295.000000 87.176 -61.7637
300.000000 87.167 -62.9048
304.000000 87.147 -63.4386
307.000000 87.125 -63.7243
311.000000 87.094 -64.1578
315.000000 87.079 -64.6789
320.000000 87.065 -65.3078
325.000000 87.018 -65.9129
330.000000 86.971 -66.6922
335.000000 86.946 -67.3271
340.000000 86.915 -67.8356
345.000000 86.900 -68.3364
350.000000 86.896 -68.7904
355.000000 86.893 -69.1034
