* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 25 5:16:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u4s mx R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.767 86.5152
1.015000 62.081 85.5270
1.030000 62.395 84.6214
1.044000 62.694 83.8479
1.060000 63.042 83.0410
1.075000 63.373 82.3521
1.090000 63.709 81.7216
1.106000 64.069 81.1070
1.120000 64.386 80.6134
1.138000 64.794 80.0331
1.150000 65.065 79.6769
1.172000 65.559 79.0793
1.180000 65.736 78.8774
1.206000 66.304 78.2750
1.220000 66.602 77.9814
1.241000 67.037 77.5763
1.250000 67.218 77.4145
1.265000 67.511 77.1592
1.280000 67.794 76.9204
1.315000 68.404 76.4197
1.320000 68.484 76.3541
1.340000 68.791 76.1064
1.360000 69.070 75.8909
1.380000 69.323 75.7303
1.400000 69.553 75.6154
1.430000 69.860 75.5044
1.450000 70.041 75.4610
1.475000 70.246 75.4306
1.500000 70.431 75.4176
1.525000 70.599 75.4136
1.550000 70.754 75.4121
1.575000 70.902 75.4123
1.600000 71.045 75.4140
1.625000 71.189 75.4042
1.650000 71.336 75.3805
1.675000 71.491 75.3437
1.700000 71.648 75.3081
1.725000 71.802 75.2936
1.750000 71.948 75.3017
1.775000 72.088 75.3223
1.800000 72.222 75.3456
1.825000 72.352 75.3745
1.850000 72.477 75.4043
1.875000 72.600 75.4306
1.900000 72.720 75.4502
1.925000 72.839 75.4599
1.950000 72.957 75.4571
1.975000 73.076 75.4357
2.000000 73.195 75.3921
2.030000 73.340 75.3263
2.060000 73.485 75.2657
2.090000 73.628 75.2180
2.120000 73.769 75.1799
2.140000 73.862 75.1573
2.180000 74.047 75.1060
2.200000 74.138 75.0714
2.240000 74.317 74.9925
2.270000 74.450 74.9205
2.300000 74.581 74.8342
2.330000 74.710 74.7316
2.360000 74.838 74.6147
2.400000 75.006 74.4279
2.430000 75.130 74.2875
2.470000 75.293 74.1036
2.500000 75.414 73.9668
2.540000 75.571 73.7832
2.580000 75.725 73.5825
2.620000 75.875 73.3490
2.650000 75.985 73.1667
2.690000 76.127 72.9115
2.720000 76.231 72.7123
2.760000 76.366 72.4402
2.800000 76.497 72.1410
2.850000 76.655 71.7616
2.900000 76.806 71.3869
2.950000 76.952 71.0190
3.000000 77.092 70.6288
3.040000 77.200 70.3076
3.070000 77.278 70.0634
3.110000 77.378 69.7334
3.150000 77.475 69.4031
3.200000 77.590 68.9715
3.250000 77.700 68.5436
3.300000 77.806 68.1354
3.350000 77.907 67.7491
3.400000 78.003 67.3517
3.450000 78.095 66.9441
3.500000 78.182 66.5408
3.550000 78.264 66.1522
3.600000 78.342 65.7614
3.650000 78.416 65.3904
3.700000 78.487 65.0522
3.750000 78.552 64.7363
3.820000 78.637 64.2743
3.870000 78.692 63.9566
3.950000 78.775 63.5036
4.000000 78.824 63.2433
4.060000 78.881 62.9653
4.120000 78.934 62.7257
4.180000 78.984 62.5087
4.250000 79.039 62.2655
4.310000 79.087 62.1020
4.370000 79.135 61.9834
4.440000 79.193 61.8597
4.500000 79.243 61.7967
4.550000 79.285 61.7706
4.620000 79.346 61.7332
4.680000 79.402 61.7224
4.750000 79.472 61.7468
4.820000 79.546 61.7829
4.870000 79.602 61.8231
4.940000 79.684 61.8935
5.000000 79.759 61.9402
5.080000 79.866 61.9848
5.150000 79.965 62.0359
5.220000 80.071 62.0660
5.300000 80.196 62.0769
5.380000 80.327 62.0448
5.450000 80.445 61.9635
5.520000 80.567 61.8653
5.600000 80.710 61.7106
5.700000 80.889 61.4310
5.800000 81.065 61.0657
5.900000 81.241 60.6134
6.000000 81.412 60.1011
6.080000 81.542 59.6349
6.150000 81.652 59.1981
6.220000 81.758 58.7220
6.300000 81.874 58.1585
6.400000 82.008 57.4381
6.500000 82.131 56.6814
6.600000 82.243 55.9090
6.700000 82.345 55.1419
6.800000 82.437 54.4010
6.900000 82.518 53.6650
7.000000 82.591 52.9642
7.100000 82.658 52.3067
7.200000 82.719 51.6985
7.300000 82.776 51.1261
7.400000 82.832 50.6073
7.500000 82.887 50.1363
7.620000 82.954 49.6304
7.750000 83.031 49.1342
7.880000 83.115 48.6809
8.000000 83.199 48.2943
8.120000 83.289 47.9064
8.250000 83.392 47.4820
8.380000 83.500 47.0408
8.500000 83.602 46.5898
8.620000 83.704 46.1101
8.750000 83.813 45.5560
8.850000 83.892 45.1009
9.000000 84.003 44.3938
9.120000 84.084 43.8194
9.250000 84.163 43.1964
9.380000 84.233 42.5951
9.500000 84.290 42.0691
9.620000 84.340 41.5779
9.750000 84.389 41.0945
9.880000 84.432 40.6703
10.000000 84.469 40.3315
10.150000 84.510 39.9312
10.300000 84.548 39.5989
10.440000 84.587 39.3244
10.600000 84.641 39.0314
10.750000 84.697 38.7502
10.900000 84.759 38.4370
11.060000 84.827 38.0309
11.200000 84.883 37.5845
11.380000 84.949 36.9624
11.500000 84.985 36.5301
11.720000 85.029 35.7288
11.800000 85.038 35.4499
12.060000 85.046 34.6043
12.200000 85.041 34.1841
12.410000 85.030 33.6769
12.500000 85.028 33.5049
12.650000 85.032 33.2732
12.800000 85.043 33.0920
13.150000 85.099 32.7101
13.200000 85.110 32.6442
13.400000 85.158 32.3616
13.600000 85.206 32.0334
13.800000 85.249 31.6707
14.000000 85.281 31.2961
14.300000 85.315 30.7352
14.500000 85.335 30.4489
14.750000 85.368 30.2021
15.000000 85.427 30.0116
15.250000 85.518 29.6893
15.500000 85.633 29.1669
15.750000 85.750 28.3538
16.000000 85.844 27.2510
16.250000 85.891 25.9202
16.500000 85.875 24.5718
16.750000 85.797 23.4203
17.000000 85.675 22.6598
17.250000 85.544 22.3732
17.500000 85.448 22.5827
17.750000 85.423 23.1198
18.000000 85.487 23.6988
18.250000 85.625 24.0012
18.500000 85.803 23.8710
18.750000 85.978 23.2723
19.000000 86.115 22.3073
19.250000 86.194 21.1353
19.500000 86.211 19.9745
19.750000 86.178 19.0057
20.000000 86.117 18.3414
20.299999 86.043 17.9573
20.600000 86.005 17.9484
20.900000 86.021 18.1025
21.200001 86.086 18.1824
21.400000 86.145 18.1301
21.799999 86.270 17.7510
22.000000 86.326 17.4509
22.400000 86.413 16.7094
22.700001 86.459 16.1287
23.000000 86.490 15.5664
23.299999 86.512 15.0164
23.600000 86.527 14.5038
24.000000 86.538 13.8850
24.299999 86.544 13.4459
24.700001 86.553 12.9001
25.000000 86.561 12.4976
25.400000 86.570 11.9371
25.799999 86.571 11.3826
26.200001 86.566 10.8684
26.500000 86.563 10.5242
26.900000 86.569 10.1078
27.200001 86.581 9.7809
27.600000 86.603 9.2803
28.000000 86.619 8.7117
28.500000 86.621 7.9961
29.000000 86.615 7.4156
29.500000 86.626 6.9141
30.000000 86.654 6.3484
30.400000 86.669 5.8186
30.700001 86.670 5.4392
31.100000 86.664 5.0364
31.500000 86.672 4.7629
32.000000 86.725 4.4256
32.500000 86.806 3.7681
33.000000 86.851 2.7584
33.500000 86.820 1.7559
34.000000 86.747 1.1864
34.500000 86.707 1.0534
35.000000 86.738 0.9578
35.500000 86.797 0.5320
36.000000 86.824 -0.1572
36.500000 86.806 -0.8105
37.000000 86.775 -1.2540
37.500000 86.755 -1.5760
38.200001 86.731 -1.9824
38.700001 86.713 -2.1641
39.500000 86.739 -2.3016
40.000000 86.795 -2.6221
40.599998 86.841 -3.4061
41.200001 86.819 -4.2815
41.799999 86.761 -4.8667
42.500000 86.720 -5.2461
43.099998 86.714 -5.6069
43.700001 86.705 -6.0674
44.400002 86.682 -6.5613
45.000000 86.668 -6.9027
45.500000 86.666 -7.1940
46.200001 86.665 -7.6575
46.799999 86.661 -8.0829
47.500000 86.654 -8.5845
48.200001 86.648 -9.1043
48.700001 86.643 -9.5010
49.400002 86.633 -10.1044
50.000000 86.616 -10.6530
50.799999 86.574 -11.3066
51.500000 86.539 -11.6993
52.200001 86.527 -11.9893
53.000000 86.533 -12.3665
53.799999 86.537 -12.7972
54.500000 86.534 -13.1251
55.200001 86.536 -13.4150
56.000000 86.539 -13.8462
57.000000 86.493 -14.4611
58.000000 86.434 -14.6152
59.000000 86.471 -14.8768
60.000000 86.497 -15.9048
60.799999 86.462 -16.7617
61.500000 86.429 -17.3537
62.200001 86.408 -17.8997
63.000000 86.384 -18.4489
64.000000 86.376 -18.9684
65.000000 86.382 -19.5991
66.000000 86.342 -20.2047
67.000000 86.289 -20.6405
68.000000 86.200 -21.0054
69.000000 86.136 -20.8708
70.000000 86.182 -21.1252
71.000000 86.185 -22.1126
72.000000 86.136 -22.8576
73.000000 86.118 -23.4072
74.000000 86.112 -23.9031
75.000000 86.120 -24.3215
76.199997 86.118 -24.8682
77.500000 86.085 -25.3503
78.800003 86.050 -25.7632
80.000000 86.021 -26.3389
81.199997 85.977 -26.9331
82.500000 85.964 -27.5902
83.800003 85.930 -28.4460
85.000000 85.874 -28.8727
86.199997 85.842 -29.1315
87.500000 85.814 -29.4167
88.500000 85.797 -29.7477
90.000000 85.747 -30.3362
91.199997 85.729 -30.7493
92.500000 85.728 -31.4489
93.800003 85.699 -32.1776
95.000000 85.658 -32.6754
96.199997 85.617 -33.0119
97.500000 85.592 -33.3541
98.800003 85.580 -33.9535
100.000000 85.556 -34.7795
101.500000 85.479 -35.8593
103.000000 85.383 -36.3013
104.400002 85.365 -36.3718
106.000000 85.346 -36.5692
107.500000 85.319 -36.5831
109.000000 85.309 -36.7169
110.599998 85.302 -37.2541
112.000000 85.274 -37.9536
113.800003 85.211 -38.7129
115.000000 85.175 -39.0677
117.199997 85.122 -39.7548
118.000000 85.097 -40.0298
120.599998 85.028 -40.8395
122.000000 85.010 -41.2925
124.099998 84.984 -41.9127
125.000000 84.970 -42.1299
126.500000 84.946 -42.4700
128.000000 84.910 -42.9293
131.500000 84.792 -43.9195
132.000000 84.782 -44.0221
134.000000 84.762 -44.5443
136.000000 84.702 -45.0794
138.000000 84.584 -45.3592
140.000000 84.530 -45.2318
143.000000 84.543 -45.8486
145.000000 84.629 -46.2113
147.500000 84.645 -47.5198
150.000000 84.481 -48.2591
152.500000 84.435 -48.1272
155.000000 84.455 -48.7694
157.500000 84.396 -48.5172
160.000000 84.449 -48.2426
162.500000 84.496 -49.3628
165.000000 84.505 -50.4948
167.500000 84.504 -51.6139
170.000000 84.437 -52.4598
172.500000 84.317 -53.2045
175.000000 84.200 -53.3948
177.500000 84.216 -53.6002
180.000000 84.224 -53.8362
182.500000 84.144 -53.4658
185.000000 84.041 -53.3302
187.500000 83.969 -54.5682
190.000000 83.945 -55.8183
192.500000 83.992 -56.2692
195.000000 84.013 -56.6600
197.500000 83.975 -57.3292
200.000000 83.932 -58.0175
203.000000 83.888 -58.5406
206.000000 83.841 -58.9038
209.000000 83.820 -59.4644
212.000000 83.808 -59.9401
214.000000 83.800 -60.2665
218.000000 83.781 -60.9740
220.000000 83.772 -61.3171
224.000000 83.718 -61.9423
227.000000 83.672 -62.4735
230.000000 83.664 -63.1213
233.000000 83.698 -63.7333
236.000000 83.702 -64.2378
240.000000 83.645 -64.6434
243.000000 83.608 -65.0032
247.000000 83.585 -65.5374
250.000000 83.575 -65.7478
254.000000 83.535 -65.8795
258.000000 83.485 -66.5557
262.000000 83.511 -67.3254
265.000000 83.573 -67.6857
269.000000 83.617 -68.0525
272.000000 83.610 -68.2924
276.000000 83.602 -68.8015
280.000000 83.622 -69.4786
285.000000 83.641 -70.2738
290.000000 83.648 -71.1761
295.000000 83.658 -72.0861
300.000000 83.658 -72.7167
304.000000 83.653 -73.2545
307.000000 83.650 -73.6674
311.000000 83.652 -74.1138
315.000000 83.655 -74.5544
320.000000 83.646 -75.2279
325.000000 83.653 -75.8538
330.000000 83.667 -76.2304
335.000000 83.681 -76.5671
340.000000 83.719 -76.9267
345.000000 83.785 -77.3789
