* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 20, 24 10:42:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: v10 pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.153 -97.4786
1.015000 74.336 -97.9361
1.030000 74.515 -98.3711
1.044000 74.681 -98.7574
1.060000 74.866 -99.1764
1.075000 75.036 -99.5483
1.090000 75.204 -99.9010
1.106000 75.380 -100.2582
1.120000 75.532 -100.5575
1.138000 75.729 -100.9264
1.150000 75.859 -101.1629
1.172000 76.097 -101.5786
1.180000 76.182 -101.7250
1.206000 76.458 -102.1791
1.220000 76.604 -102.4100
1.241000 76.819 -102.7387
1.250000 76.909 -102.8732
1.265000 77.057 -103.0885
1.280000 77.202 -103.2930
1.315000 77.525 -103.7276
1.320000 77.569 -103.7848
1.340000 77.741 -104.0011
1.360000 77.904 -104.1978
1.380000 78.056 -104.3636
1.400000 78.199 -104.5050
1.430000 78.390 -104.6781
1.450000 78.502 -104.7669
1.475000 78.622 -104.8458
1.500000 78.715 -104.8857
1.525000 78.783 -104.8894
1.550000 78.827 -104.8631
1.575000 78.853 -104.8072
1.600000 78.862 -104.7228
1.625000 78.860 -104.6233
1.650000 78.848 -104.5128
1.675000 78.831 -104.3946
1.700000 78.813 -104.2718
1.725000 78.796 -104.1469
1.750000 78.784 -104.0223
1.775000 78.781 -103.9040
1.800000 78.789 -103.7973
1.825000 78.812 -103.6928
1.850000 78.847 -103.5812
1.875000 78.888 -103.4514
1.900000 78.933 -103.3031
1.925000 78.982 -103.1408
1.950000 79.033 -102.9689
1.975000 79.088 -102.7956
2.000000 79.145 -102.6282
2.030000 79.217 -102.4301
2.060000 79.291 -102.2404
2.090000 79.368 -102.0635
2.120000 79.447 -101.9035
2.140000 79.501 -101.8077
2.180000 79.610 -101.6511
2.200000 79.666 -101.5901
2.240000 79.781 -101.4633
2.270000 79.871 -101.3546
2.300000 79.964 -101.2381
2.330000 80.060 -101.1193
2.360000 80.158 -101.0036
2.400000 80.291 -100.8836
2.430000 80.392 -100.8115
2.470000 80.527 -100.7422
2.500000 80.629 -100.7145
2.540000 80.764 -100.7133
2.580000 80.899 -100.7584
2.620000 81.035 -100.8379
2.650000 81.138 -100.8964
2.690000 81.277 -100.9758
2.720000 81.381 -101.0393
2.760000 81.521 -101.1325
2.800000 81.659 -101.2700
2.850000 81.830 -101.4756
2.900000 81.997 -101.7211
2.950000 82.159 -102.0070
3.000000 82.318 -102.3423
3.040000 82.444 -102.6288
3.070000 82.537 -102.8472
3.110000 82.660 -103.1426
3.150000 82.780 -103.4429
3.200000 82.927 -103.8494
3.250000 83.069 -104.2778
3.300000 83.207 -104.7210
3.350000 83.340 -105.1817
3.400000 83.468 -105.6814
3.450000 83.593 -106.1978
3.500000 83.714 -106.7133
3.550000 83.830 -107.2219
3.600000 83.941 -107.7482
3.650000 84.049 -108.2772
3.700000 84.151 -108.8066
3.750000 84.249 -109.3454
3.820000 84.378 -110.1438
3.870000 84.465 -110.7145
3.950000 84.597 -111.5920
4.000000 84.674 -112.1351
4.060000 84.762 -112.7754
4.120000 84.844 -113.4088
4.180000 84.920 -114.0438
4.250000 85.003 -114.7990
4.310000 85.069 -115.4120
4.370000 85.132 -115.9899
4.440000 85.202 -116.6572
4.500000 85.256 -117.2084
4.550000 85.299 -117.6534
4.620000 85.355 -118.2804
4.680000 85.401 -118.7931
4.750000 85.454 -119.3461
4.820000 85.506 -119.8830
4.870000 85.541 -120.2506
4.940000 85.589 -120.7380
5.000000 85.630 -121.1500
5.080000 85.684 -121.6815
5.150000 85.734 -122.1145
5.220000 85.784 -122.5409
5.300000 85.842 -123.0063
5.380000 85.900 -123.4539
5.450000 85.953 -123.8619
5.520000 86.007 -124.2597
5.600000 86.071 -124.7162
5.700000 86.153 -125.2968
5.800000 86.235 -125.8840
5.900000 86.316 -126.5059
6.000000 86.398 -127.1468
6.080000 86.462 -127.6831
6.150000 86.516 -128.1495
6.220000 86.568 -128.6372
6.300000 86.625 -129.2048
6.400000 86.691 -129.9326
6.500000 86.753 -130.6758
6.600000 86.808 -131.4057
6.700000 86.856 -132.1422
6.800000 86.897 -132.8732
6.900000 86.934 -133.5904
7.000000 86.965 -134.2690
7.100000 86.991 -134.9282
7.200000 87.014 -135.5562
7.300000 87.035 -136.1526
7.400000 87.054 -136.7011
7.500000 87.073 -137.2183
7.620000 87.096 -137.7968
7.750000 87.127 -138.3771
7.880000 87.162 -138.9225
8.000000 87.199 -139.3992
8.120000 87.242 -139.8756
8.250000 87.294 -140.3888
8.380000 87.349 -140.9110
8.500000 87.403 -141.4245
8.620000 87.459 -141.9592
8.750000 87.517 -142.5588
8.850000 87.559 -143.0383
9.000000 87.617 -143.7739
9.120000 87.658 -144.3634
9.250000 87.696 -144.9869
9.380000 87.729 -145.5888
9.500000 87.756 -146.1189
9.620000 87.780 -146.6039
9.750000 87.803 -147.0865
9.880000 87.824 -147.5244
10.000000 87.841 -147.8761
10.150000 87.862 -148.3109
10.300000 87.889 -148.7087
10.440000 87.920 -149.0561
10.600000 87.965 -149.4617
10.750000 88.014 -149.8805
10.900000 88.069 -150.3437
11.060000 88.130 -150.9377
11.200000 88.181 -151.5604
11.380000 88.237 -152.4155
11.500000 88.264 -153.0134
11.720000 88.291 -154.1124
11.800000 88.294 -154.4981
12.060000 88.277 -155.6842
12.200000 88.258 -156.2725
12.410000 88.226 -157.0179
12.500000 88.215 -157.2847
12.650000 88.204 -157.6629
12.800000 88.202 -157.9813
13.150000 88.234 -158.6602
13.200000 88.242 -158.7687
13.400000 88.280 -159.2308
13.600000 88.318 -159.7552
13.800000 88.347 -160.3467
14.000000 88.360 -160.9714
14.300000 88.342 -161.9312
14.500000 88.305 -162.4471
14.750000 88.244 -162.8639
15.000000 88.187 -162.9978
15.250000 88.158 -162.9499
15.500000 88.171 -162.7943
15.750000 88.228 -162.6830
16.000000 88.317 -162.7622
16.250000 88.416 -163.1380
16.500000 88.502 -163.7521
16.750000 88.555 -164.5196
17.000000 88.571 -165.3204
17.250000 88.554 -166.0736
17.500000 88.516 -166.6701
17.750000 88.476 -167.0881
18.000000 88.447 -167.3716
18.250000 88.437 -167.6250
18.500000 88.445 -167.9100
18.750000 88.461 -168.2803
19.000000 88.473 -168.7529
19.250000 88.471 -169.3203
19.500000 88.451 -169.9026
19.750000 88.412 -170.4398
20.000000 88.362 -170.8846
20.299999 88.297 -171.3037
20.600000 88.238 -171.5767
20.900000 88.191 -171.7433
21.200001 88.156 -171.8586
21.400000 88.140 -171.9103
21.799999 88.123 -171.9422
22.000000 88.127 -171.9323
22.400000 88.164 -171.9477
22.700001 88.218 -172.0514
23.000000 88.284 -172.3060
23.299999 88.350 -172.7486
23.600000 88.400 -173.3313
24.000000 88.429 -174.1974
24.299999 88.425 -174.8315
24.700001 88.397 -175.5439
25.000000 88.369 -175.9673
25.400000 88.327 -176.4235
25.799999 88.283 -176.7467
26.200001 88.241 -176.9366
26.500000 88.219 -177.0048
26.900000 88.212 -177.0640
27.200001 88.220 -177.1675
27.600000 88.233 -177.4461
28.000000 88.227 -177.8280
28.500000 88.186 -178.2436
29.000000 88.150 -178.4544
29.500000 88.154 -178.7181
30.000000 88.161 -179.2932
30.400000 88.126 -179.8726
30.700001 88.074 179.8004
31.100000 88.000 179.6518
31.500000 87.971 179.7507
32.000000 88.027 179.7374
32.500000 88.113 179.1006
33.000000 88.124 178.0646
33.500000 88.052 177.2814
34.000000 87.988 177.0530
34.500000 88.007 176.9750
35.000000 88.071 176.5239
35.500000 88.092 175.7108
36.000000 88.043 174.9950
36.500000 87.978 174.6785
37.000000 87.953 174.6240
37.500000 87.968 174.4924
38.200001 87.984 174.0302
38.700001 87.977 173.6824
39.500000 87.974 173.1605
40.000000 87.972 172.7300
40.599998 87.946 172.1548
41.200001 87.902 171.6769
41.799999 87.861 171.2832
42.500000 87.812 170.8247
43.099998 87.760 170.5229
43.700001 87.718 170.3722
44.400002 87.700 170.2384
45.000000 87.699 170.0608
45.500000 87.703 169.8773
46.200001 87.720 169.5250
46.799999 87.729 169.0494
47.500000 87.701 168.4052
48.200001 87.640 167.8978
48.700001 87.591 167.6303
49.400002 87.516 167.3735
50.000000 87.452 167.3438
50.799999 87.424 167.4484
51.500000 87.447 167.2186
52.200001 87.441 166.6002
53.000000 87.376 165.8990
53.799999 87.303 165.3878
54.500000 87.242 164.9425
55.200001 87.164 164.5917
56.000000 87.090 164.5705
57.000000 87.119 164.6565
58.000000 87.181 163.9431
59.000000 87.129 163.2544
60.000000 87.109 163.1938
60.799999 87.134 162.8440
61.500000 87.103 162.3196
62.200001 87.024 162.0329
63.000000 86.945 162.0912
64.000000 86.897 162.2054
65.000000 86.877 162.2201
66.000000 86.891 161.9452
67.000000 86.869 161.2107
68.000000 86.767 160.6394
69.000000 86.672 160.5139
70.000000 86.613 160.4621
71.000000 86.577 160.3703
72.000000 86.567 160.0359
73.000000 86.532 159.4048
74.000000 86.468 158.8494
75.000000 86.413 158.3647
76.199997 86.334 157.8779
77.500000 86.265 157.7228
78.800003 86.202 157.7678
80.000000 86.172 158.0789
81.199997 86.162 158.1986
82.500000 86.143 158.1238
83.800003 86.112 157.7129
85.000000 86.054 157.2454
86.199997 86.008 156.8587
87.500000 85.974 156.4254
88.500000 85.948 156.1290
90.000000 85.899 155.8415
91.199997 85.856 155.7098
92.500000 85.795 155.4890
93.800003 85.704 155.2948
95.000000 85.633 155.2480
96.199997 85.593 155.1464
97.500000 85.563 154.9372
98.800003 85.525 154.7315
100.000000 85.474 154.6063
101.500000 85.386 154.4845
103.000000 85.274 154.2849
104.400002 85.174 154.0067
106.000000 85.106 153.6387
107.500000 85.089 153.2953
109.000000 85.082 153.1719
110.599998 85.056 153.2777
112.000000 84.991 153.3633
113.800003 84.866 153.2717
115.000000 84.780 153.0005
117.199997 84.673 152.2977
118.000000 84.646 152.1312
120.599998 84.578 152.1853
122.000000 84.529 152.4422
124.099998 84.441 152.4260
125.000000 84.408 152.2619
126.500000 84.367 151.8834
128.000000 84.363 151.6907
131.500000 84.346 151.8315
132.000000 84.335 151.9104
134.000000 84.245 152.0179
136.000000 84.161 152.2074
138.000000 84.144 151.9410
140.000000 84.118 151.7851
143.000000 84.113 151.6385
145.000000 84.041 151.0453
147.500000 83.921 150.8801
150.000000 83.881 150.7679
152.500000 83.819 150.4681
155.000000 83.724 150.4845
157.500000 83.648 150.3054
160.000000 83.551 150.0371
162.500000 83.453 149.9248
165.000000 83.357 149.8482
167.500000 83.273 149.7527
170.000000 83.209 149.6357
172.500000 83.135 149.5600
175.000000 83.012 149.6325
177.500000 82.874 149.7545
180.000000 82.765 149.7239
182.500000 82.693 149.7629
185.000000 82.637 149.9328
187.500000 82.557 150.0025
190.000000 82.452 149.9969
192.500000 82.352 150.0292
195.000000 82.262 150.1506
197.500000 82.181 150.3369
200.000000 82.117 150.4953
203.000000 82.054 150.7365
206.000000 82.012 151.0706
209.000000 81.975 151.2261
212.000000 81.927 151.3495
214.000000 81.890 151.4143
218.000000 81.811 151.4626
220.000000 81.771 151.4774
224.000000 81.680 151.5936
227.000000 81.607 151.6953
230.000000 81.543 151.8291
233.000000 81.490 152.0336
236.000000 81.444 152.2159
240.000000 81.389 152.3692
243.000000 81.351 152.4402
247.000000 81.298 152.5085
250.000000 81.250 152.5626
254.000000 81.173 152.6671
258.000000 81.087 152.7921
262.000000 80.998 152.9372
265.000000 80.931 153.0692
269.000000 80.847 153.2885
272.000000 80.788 153.4672
276.000000 80.717 153.7448
280.000000 80.654 154.0313
285.000000 80.582 154.3469
290.000000 80.512 154.5743
295.000000 80.435 154.7499
300.000000 80.351 154.9061
304.000000 80.284 155.0589
307.000000 80.234 155.2076
311.000000 80.167 155.4437
315.000000 80.098 155.7091
