* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 6:06:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: volume s hi L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.146 158.8026
1.015000 50.152 157.7926
1.030000 50.161 156.7552
1.044000 50.171 155.7615
1.060000 50.186 154.5948
1.075000 50.204 153.4700
1.090000 50.225 152.3144
1.106000 50.250 151.0475
1.120000 50.274 149.9113
1.138000 50.304 148.4146
1.150000 50.324 147.3952
1.172000 50.362 145.4832
1.180000 50.376 144.7747
1.206000 50.424 142.4257
1.220000 50.452 141.1332
1.241000 50.497 139.1612
1.250000 50.517 138.3046
1.265000 50.553 136.8628
1.280000 50.592 135.4046
1.315000 50.694 131.9471
1.320000 50.710 131.4478
1.340000 50.780 129.4393
1.360000 50.856 127.4158
1.380000 50.941 125.3813
1.400000 51.034 123.3397
1.430000 51.192 120.2723
1.450000 51.310 118.2303
1.475000 51.474 115.6960
1.500000 51.656 113.2086
1.525000 51.854 110.7797
1.550000 52.068 108.4081
1.575000 52.295 106.0908
1.600000 52.535 103.8246
1.625000 52.786 101.6062
1.650000 53.046 99.4324
1.675000 53.314 97.3004
1.700000 53.588 95.2075
1.725000 53.868 93.1514
1.750000 54.150 91.1304
1.775000 54.435 89.1429
1.800000 54.720 87.1885
1.825000 55.006 85.2713
1.850000 55.294 83.4113
1.875000 55.589 81.6319
1.900000 55.892 79.9347
1.925000 56.202 78.3115
1.950000 56.517 76.7532
1.975000 56.837 75.2513
2.000000 57.160 73.7979
2.030000 57.551 72.1075
2.060000 57.943 70.4655
2.090000 58.334 68.8622
2.120000 58.722 67.2895
2.140000 58.979 66.2545
2.180000 59.484 64.2130
2.200000 59.733 63.2120
2.240000 60.226 61.2930
2.270000 60.595 59.9391
2.300000 60.962 58.6471
2.330000 61.329 57.4037
2.360000 61.694 56.1964
2.400000 62.176 54.6238
2.430000 62.535 53.4600
2.470000 63.008 51.9137
2.500000 63.358 50.7494
2.540000 63.818 49.1832
2.580000 64.270 47.6152
2.620000 64.716 46.0921
2.650000 65.046 44.9882
2.690000 65.482 43.5568
2.720000 65.804 42.5044
2.760000 66.228 41.1164
2.800000 66.645 39.7323
2.850000 67.157 37.9882
2.900000 67.657 36.2097
2.950000 68.146 34.3998
3.000000 68.624 32.6030
3.040000 68.998 31.1884
3.070000 69.274 30.1391
3.110000 69.636 28.7508
3.150000 69.990 27.3690
3.200000 70.424 25.6404
3.250000 70.846 23.8981
3.300000 71.257 22.1327
3.350000 71.656 20.3513
3.400000 72.045 18.5707
3.450000 72.421 16.8004
3.500000 72.788 15.0439
3.550000 73.143 13.3008
3.600000 73.488 11.5675
3.650000 73.822 9.8370
3.700000 74.146 8.0981
3.750000 74.458 6.3475
3.820000 74.878 3.8972
3.870000 75.166 2.1636
3.950000 75.606 -0.5615
4.000000 75.869 -2.2312
4.060000 76.172 -4.2169
4.120000 76.460 -6.2089
4.180000 76.735 -8.1999
4.250000 77.039 -10.4919
4.310000 77.287 -12.4083
4.370000 77.524 -14.2695
4.440000 77.786 -16.3907
4.500000 77.997 -18.1968
4.550000 78.164 -19.6906
4.620000 78.386 -21.7437
4.680000 78.567 -23.4487
4.750000 78.768 -25.3585
4.820000 78.957 -27.1999
4.870000 79.084 -28.4908
4.940000 79.253 -30.2628
5.000000 79.390 -31.7378
5.080000 79.565 -33.6216
5.150000 79.713 -35.1840
5.220000 79.854 -36.6812
5.300000 80.006 -38.3278
5.380000 80.152 -39.9066
5.450000 80.278 -41.2287
5.520000 80.404 -42.4915
5.600000 80.545 -43.8647
5.700000 80.719 -45.4972
5.800000 80.893 -47.0626
5.900000 81.070 -48.5737
6.000000 81.249 -50.0236
6.080000 81.394 -51.1517
6.150000 81.521 -52.1305
6.220000 81.649 -53.1102
6.300000 81.795 -54.2301
6.400000 81.980 -55.6238
6.500000 82.163 -57.0196
6.600000 82.341 -58.4327
6.700000 82.516 -59.8693
6.800000 82.685 -61.3208
6.900000 82.848 -62.7772
7.000000 83.002 -64.2386
7.100000 83.147 -65.7128
7.200000 83.283 -67.1863
7.300000 83.410 -68.6392
7.400000 83.528 -70.0699
7.500000 83.635 -71.4854
7.620000 83.754 -73.1447
7.750000 83.871 -74.8687
7.880000 83.976 -76.5252
8.000000 84.066 -77.9915
8.120000 84.152 -79.3872
8.250000 84.240 -80.8256
8.380000 84.327 -82.2014
8.500000 84.408 -83.4203
8.620000 84.489 -84.5942
8.750000 84.578 -85.8329
8.850000 84.647 -86.7714
9.000000 84.753 -88.1575
9.120000 84.837 -89.2572
9.250000 84.927 -90.4492
9.380000 85.015 -91.6407
9.500000 85.093 -92.7374
9.620000 85.168 -93.8326
9.750000 85.244 -95.0145
9.880000 85.309 -96.1810
10.000000 85.358 -97.2408
10.150000 85.406 -98.5399
10.300000 85.445 -99.7977
10.440000 85.473 -100.9320
10.600000 85.500 -102.1813
10.750000 85.524 -103.3046
10.900000 85.547 -104.3865
11.060000 85.572 -105.5024
11.200000 85.595 -106.4498
11.380000 85.624 -107.6391
11.500000 85.644 -108.4178
11.720000 85.680 -109.8204
11.800000 85.693 -110.3241
12.060000 85.731 -111.9349
12.200000 85.748 -112.7833
12.410000 85.775 -114.0269
12.500000 85.788 -114.5470
12.650000 85.814 -115.3965
12.800000 85.841 -116.2236
13.150000 85.905 -118.0673
13.200000 85.914 -118.3219
13.400000 85.950 -119.3219
13.600000 85.987 -120.2975
13.800000 86.023 -121.2543
14.000000 86.058 -122.1958
14.300000 86.108 -123.5819
14.500000 86.139 -124.4871
14.750000 86.174 -125.5939
15.000000 86.207 -126.6703
15.250000 86.236 -127.7155
15.500000 86.265 -128.7311
15.750000 86.292 -129.7203
16.000000 86.318 -130.6864
16.250000 86.346 -131.6315
16.500000 86.373 -132.5568
16.750000 86.399 -133.4631
17.000000 86.424 -134.3519
17.250000 86.447 -135.2252
17.500000 86.470 -136.0856
17.750000 86.492 -136.9351
18.000000 86.511 -137.7737
18.250000 86.528 -138.5993
18.500000 86.542 -139.4077
18.750000 86.554 -140.1941
19.000000 86.564 -140.9546
19.250000 86.573 -141.6871
19.500000 86.582 -142.3928
19.750000 86.591 -143.0743
20.000000 86.602 -143.7360
20.299999 86.615 -144.5091
20.600000 86.630 -145.2640
20.900000 86.645 -146.0034
21.200001 86.660 -146.7289
21.400000 86.670 -147.2059
21.799999 86.690 -148.1470
22.000000 86.700 -148.6125
22.400000 86.718 -149.5334
22.700001 86.728 -150.2109
23.000000 86.736 -150.8696
23.299999 86.743 -151.5037
23.600000 86.749 -152.1110
24.000000 86.760 -152.8900
24.299999 86.772 -153.4682
24.700001 86.789 -154.2573
25.000000 86.800 -154.8694
25.400000 86.807 -155.6920
25.799999 86.802 -156.4714
26.200001 86.794 -157.1559
26.500000 86.792 -157.6036
26.900000 86.804 -158.1608
27.200001 86.825 -158.6023
27.600000 86.859 -159.2875
28.000000 86.885 -160.0871
28.500000 86.887 -161.1230
29.000000 86.862 -162.0004
29.500000 86.841 -162.6490
30.000000 86.850 -163.2109
30.400000 86.872 -163.7211
30.700001 86.888 -164.1602
31.100000 86.901 -164.7872
31.500000 86.902 -165.4034
32.000000 86.898 -166.1069
32.500000 86.896 -166.7588
33.000000 86.895 -167.4012
33.500000 86.890 -168.0299
34.000000 86.883 -168.6255
34.500000 86.877 -169.1974
35.000000 86.870 -169.7552
35.500000 86.862 -170.2786
36.000000 86.862 -170.7709
36.500000 86.875 -171.3167
37.000000 86.887 -172.0057
37.500000 86.874 -172.7925
38.200001 86.807 -173.7299
38.700001 86.761 -174.1764
39.500000 86.730 -174.8618
40.000000 86.709 -175.3962
40.599998 86.665 -175.9525
41.200001 86.638 -176.3138
41.799999 86.654 -176.7299
42.500000 86.675 -177.5216
43.099998 86.658 -178.1984
43.700001 86.645 -178.6456
44.400002 86.680 -179.1132
45.000000 86.728 -179.7325
45.500000 86.751 179.6445
46.200001 86.756 178.8335
46.799999 86.754 178.2527
47.500000 86.749 177.6592
48.200001 86.742 177.1359
48.700001 86.739 176.7709
49.400002 86.727 176.2278
50.000000 86.701 175.7947
50.799999 86.662 175.3830
51.500000 86.650 175.0417
52.200001 86.639 174.5741
53.000000 86.612 174.0205
53.799999 86.593 173.5092
54.500000 86.581 172.9864
55.200001 86.556 172.4702
56.000000 86.532 172.0306
57.000000 86.539 171.4467
58.000000 86.531 170.6522
59.000000 86.491 169.9590
60.000000 86.452 169.4238
60.799999 86.427 169.0089
61.500000 86.405 168.6255
62.200001 86.381 168.2643
63.000000 86.365 167.8887
64.000000 86.364 167.3251
65.000000 86.357 166.6508
66.000000 86.343 166.0262
67.000000 86.334 165.4063
68.000000 86.310 164.7662
69.000000 86.270 164.2101
70.000000 86.226 163.7667
71.000000 86.189 163.3585
72.000000 86.159 162.9121
73.000000 86.134 162.4093
74.000000 86.110 161.8230
75.000000 86.075 161.2245
76.199997 86.037 160.6505
77.500000 86.015 160.0474
78.800003 85.986 159.4440
80.000000 85.957 158.9461
81.199997 85.929 158.4406
82.500000 85.896 157.8429
83.800003 85.858 157.2313
85.000000 85.824 156.6727
86.199997 85.787 156.1641
87.500000 85.758 155.6775
88.500000 85.734 155.2571
90.000000 85.688 154.7730
91.199997 85.669 154.3384
92.500000 85.626 153.7093
93.800003 85.567 153.2346
95.000000 85.527 152.8530
96.199997 85.493 152.4380
97.500000 85.455 152.0003
98.800003 85.419 151.5924
100.000000 85.390 151.2207
101.500000 85.351 150.7068
103.000000 85.306 150.1926
104.400002 85.266 149.7076
106.000000 85.220 149.1270
107.500000 85.177 148.5850
109.000000 85.132 148.0693
110.599998 85.084 147.5779
112.000000 85.045 147.1631
113.800003 84.988 146.6375
115.000000 84.949 146.3064
117.199997 84.878 145.7115
118.000000 84.853 145.5009
120.599998 84.778 144.7849
122.000000 84.734 144.3788
124.099998 84.666 143.8210
125.000000 84.640 143.5908
126.500000 84.598 143.1938
128.000000 84.556 142.8057
131.500000 84.453 141.9888
132.000000 84.438 141.8854
134.000000 84.381 141.4715
136.000000 84.324 141.0352
138.000000 84.264 140.5901
140.000000 84.204 140.1741
143.000000 84.118 139.5609
145.000000 84.060 139.1371
147.500000 83.986 138.6096
150.000000 83.913 138.1019
152.500000 83.838 137.6612
155.000000 83.761 137.2762
157.500000 83.687 136.8829
160.000000 83.606 136.4606
162.500000 83.520 136.0792
165.000000 83.430 135.6970
167.500000 83.332 135.3077
170.000000 83.223 134.9537
172.500000 83.115 134.6841
175.000000 83.015 134.4084
177.500000 82.915 134.0939
180.000000 82.809 133.8173
182.500000 82.696 133.6469
185.000000 82.583 133.5753
187.500000 82.477 133.6332
190.000000 82.382 133.8566
192.500000 82.310 134.1417
195.000000 82.276 134.3539
197.500000 82.281 134.4589
200.000000 82.298 134.4702
203.000000 82.302 134.1863
206.000000 82.277 133.4509
209.000000 82.234 132.9489
212.000000 82.194 132.7106
214.000000 82.153 132.4718
218.000000 82.063 131.8676
220.000000 82.022 131.6636
224.000000 81.937 131.3740
227.000000 81.866 131.1213
230.000000 81.801 130.9026
233.000000 81.734 130.7276
236.000000 81.668 130.5708
240.000000 81.589 130.3850
243.000000 81.530 130.2689
247.000000 81.453 130.1017
250.000000 81.395 129.9349
254.000000 81.306 129.7474
258.000000 81.219 129.6192
262.000000 81.134 129.5056
265.000000 81.068 129.4431
269.000000 80.984 129.3814
272.000000 80.923 129.3430
276.000000 80.845 129.3060
280.000000 80.766 129.2594
285.000000 80.664 129.2755
290.000000 80.574 129.3329
295.000000 80.490 129.4243
300.000000 80.412 129.5452
304.000000 80.352 129.6595
307.000000 80.310 129.7525
311.000000 80.257 129.8763
315.000000 80.207 130.0305
320.000000 80.152 130.2216
325.000000 80.099 130.4284
330.000000 80.048 130.6508
335.000000 80.003 130.8724
340.000000 79.967 131.0807
