* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 8:52:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: volume s high imp R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.567 -160.1576
1.015000 53.634 -161.2189
1.030000 53.701 -162.3050
1.044000 53.764 -163.3434
1.060000 53.837 -164.5627
1.075000 53.908 -165.7409
1.090000 53.979 -166.9573
1.106000 54.056 -168.3038
1.120000 54.121 -169.5297
1.138000 54.200 -171.1717
1.150000 54.250 -172.3049
1.172000 54.337 -174.4548
1.180000 54.367 -175.2580
1.206000 54.461 -177.9381
1.220000 54.511 -179.4208
1.241000 54.583 178.3105
1.250000 54.614 177.3236
1.265000 54.665 175.6616
1.280000 54.717 173.9803
1.315000 54.843 169.9953
1.320000 54.861 169.4200
1.340000 54.939 167.1063
1.360000 55.022 164.7745
1.380000 55.110 162.4270
1.400000 55.206 160.0649
1.430000 55.366 156.4952
1.450000 55.485 154.0958
1.475000 55.647 151.0668
1.500000 55.821 147.9955
1.525000 56.006 144.8942
1.550000 56.200 141.7823
1.575000 56.403 138.6770
1.600000 56.614 135.5919
1.625000 56.833 132.5367
1.650000 57.059 129.5179
1.675000 57.292 126.5388
1.700000 57.531 123.5998
1.725000 57.775 120.6994
1.750000 58.024 117.8341
1.775000 58.278 114.9991
1.800000 58.535 112.1884
1.825000 58.796 109.3959
1.850000 59.064 106.6190
1.875000 59.342 103.8669
1.900000 59.629 101.1555
1.925000 59.925 98.4990
1.950000 60.228 95.9072
1.975000 60.536 93.3863
2.000000 60.848 90.9392
2.030000 61.225 88.1006
2.060000 61.602 85.3654
2.090000 61.978 82.7268
2.120000 62.349 80.1758
2.140000 62.592 78.5184
2.180000 63.067 75.2921
2.200000 63.298 73.7153
2.240000 63.753 70.6201
2.270000 64.091 68.3534
2.300000 64.427 66.1418
2.330000 64.761 63.9902
2.360000 65.090 61.9009
2.400000 65.523 59.2126
2.430000 65.843 57.2669
2.470000 66.260 54.7606
2.500000 66.565 52.9412
2.540000 66.963 50.5847
2.580000 67.347 48.2881
2.620000 67.720 46.0282
2.650000 67.993 44.3574
2.690000 68.348 42.1705
2.720000 68.607 40.5659
2.760000 68.945 38.4796
2.800000 69.274 36.4570
2.850000 69.673 34.0203
2.900000 70.058 31.6817
2.950000 70.431 29.4206
3.000000 70.789 27.1979
3.040000 71.065 25.4437
3.070000 71.266 24.1471
3.110000 71.527 22.4493
3.150000 71.780 20.7927
3.200000 72.087 18.7871
3.250000 72.385 16.8593
3.300000 72.674 15.0049
3.350000 72.952 13.1975
3.400000 73.220 11.4189
3.450000 73.476 9.6737
3.500000 73.724 7.9711
3.550000 73.964 6.3196
3.600000 74.198 4.7263
3.650000 74.427 3.1945
3.700000 74.650 1.7151
3.750000 74.865 0.2723
3.820000 75.154 -1.6940
3.870000 75.354 -3.0580
3.950000 75.666 -5.1636
4.000000 75.857 -6.4279
4.060000 76.083 -7.8927
4.120000 76.303 -9.3082
4.180000 76.519 -10.6830
4.250000 76.764 -12.2435
4.310000 76.972 -13.5493
4.370000 77.178 -14.8289
4.440000 77.416 -16.2870
4.500000 77.618 -17.5051
4.550000 77.785 -18.5016
4.620000 78.015 -19.8777
4.680000 78.211 -21.0478
4.750000 78.436 -22.4104
4.820000 78.659 -23.7692
4.870000 78.817 -24.7340
4.940000 79.035 -26.0778
5.000000 79.220 -27.2272
5.080000 79.460 -28.7635
5.150000 79.666 -30.1183
5.220000 79.866 -31.4840
5.300000 80.090 -33.0521
5.380000 80.307 -34.6204
5.450000 80.490 -35.9899
5.520000 80.666 -37.3608
5.600000 80.859 -38.9389
5.700000 81.088 -40.9170
5.800000 81.303 -42.8716
5.900000 81.504 -44.7919
6.000000 81.690 -46.7001
6.080000 81.830 -48.2108
6.150000 81.945 -49.5061
6.220000 82.056 -50.7689
6.300000 82.175 -52.1783
6.400000 82.313 -53.9030
6.500000 82.443 -55.5752
6.600000 82.566 -57.1775
6.700000 82.684 -58.7112
6.800000 82.796 -60.1886
6.900000 82.906 -61.6135
7.000000 83.015 -62.9839
7.100000 83.124 -64.3007
7.200000 83.233 -65.5770
7.300000 83.343 -66.8280
7.400000 83.456 -68.0579
7.500000 83.569 -69.2660
7.620000 83.707 -70.7037
7.750000 83.855 -72.2690
7.880000 84.003 -73.8428
8.000000 84.137 -75.3024
8.120000 84.265 -76.7762
8.250000 84.397 -78.3899
8.380000 84.520 -80.0012
8.500000 84.623 -81.4791
8.620000 84.717 -82.9498
8.750000 84.809 -84.5105
8.850000 84.873 -85.6765
9.000000 84.956 -87.3735
9.120000 85.016 -88.6724
9.250000 85.075 -90.0066
9.380000 85.129 -91.2705
9.500000 85.178 -92.3766
9.620000 85.227 -93.4224
9.750000 85.281 -94.4947
9.880000 85.333 -95.5206
10.000000 85.379 -96.4329
10.150000 85.433 -97.5363
10.300000 85.487 -98.6249
10.440000 85.538 -99.6357
10.600000 85.596 -100.7934
10.750000 85.650 -101.8911
10.900000 85.701 -102.9966
11.060000 85.749 -104.1765
11.200000 85.787 -105.2061
11.380000 85.826 -106.5049
11.500000 85.847 -107.3486
11.720000 85.878 -108.8350
11.800000 85.886 -109.3512
12.060000 85.911 -110.9407
12.200000 85.924 -111.7418
12.410000 85.948 -112.8846
12.500000 85.963 -113.3589
12.650000 85.995 -114.1336
12.800000 86.032 -114.8985
13.150000 86.126 -116.6873
13.200000 86.139 -116.9456
13.400000 86.191 -117.9883
13.600000 86.237 -119.0396
13.800000 86.277 -120.0914
14.000000 86.310 -121.1284
14.300000 86.346 -122.6309
14.500000 86.365 -123.5828
14.750000 86.385 -124.7123
15.000000 86.404 -125.7797
15.250000 86.425 -126.7989
15.500000 86.448 -127.7861
15.750000 86.474 -128.7531
16.000000 86.501 -129.7058
16.250000 86.529 -130.6424
16.500000 86.558 -131.5588
16.750000 86.587 -132.4513
17.000000 86.617 -133.3218
17.250000 86.649 -134.1782
17.500000 86.684 -135.0320
17.750000 86.719 -135.8942
18.000000 86.753 -136.7691
18.250000 86.781 -137.6517
18.500000 86.803 -138.5259
18.750000 86.818 -139.3707
19.000000 86.826 -140.1656
19.250000 86.833 -140.8984
19.500000 86.841 -141.5726
19.750000 86.853 -142.2048
20.000000 86.872 -142.8218
20.299999 86.899 -143.5760
20.600000 86.925 -144.3610
20.900000 86.942 -145.1585
21.200001 86.947 -145.9206
21.400000 86.946 -146.3837
21.799999 86.948 -147.1808
22.000000 86.958 -147.5343
22.400000 87.001 -148.2684
22.700001 87.047 -148.9476
23.000000 87.089 -149.7836
23.299999 87.106 -150.7353
23.600000 87.089 -151.6912
24.000000 87.022 -152.7318
24.299999 86.963 -153.2197
24.700001 86.925 -153.5240
25.000000 86.948 -153.6758
25.400000 87.040 -154.1119
25.799999 87.149 -155.0115
26.200001 87.219 -156.2777
26.500000 87.230 -157.2874
26.900000 87.202 -158.4855
27.200001 87.170 -159.2062
27.600000 87.137 -159.9794
28.000000 87.121 -160.6667
28.500000 87.101 -161.4952
29.000000 87.070 -162.1759
29.500000 87.053 -162.6215
30.000000 87.078 -163.0129
30.400000 87.113 -163.4427
30.700001 87.134 -163.8336
31.100000 87.145 -164.3566
31.500000 87.151 -164.7984
32.000000 87.179 -165.3122
32.500000 87.226 -166.0540
33.000000 87.229 -167.0759
33.500000 87.150 -167.9478
34.000000 87.048 -168.1803
34.500000 87.042 -167.9054
35.000000 87.174 -167.9521
35.500000 87.341 -168.9668
36.000000 87.402 -170.7443
36.500000 87.307 -172.4723
37.000000 87.124 -173.4270
37.500000 86.978 -173.4921
38.200001 86.970 -173.1297
38.700001 87.055 -173.3309
39.500000 87.153 -174.5541
40.000000 87.145 -175.4080
40.599998 87.101 -176.1080
41.200001 87.079 -176.4805
41.799999 87.100 -176.8567
42.500000 87.127 -177.5585
43.099998 87.116 -178.2011
43.700001 87.094 -178.6993
44.400002 87.086 -179.2353
45.000000 87.074 -179.7841
45.500000 87.046 179.7964
46.200001 87.010 179.4332
46.799999 87.018 179.1654
47.500000 87.045 178.5830
48.200001 87.039 177.8353
48.700001 87.019 177.3877
49.400002 87.006 176.8734
50.000000 87.009 176.3627
50.799999 86.990 175.5400
51.500000 86.940 174.9385
52.200001 86.888 174.6199
53.000000 86.872 174.4492
53.799999 86.900 174.0933
54.500000 86.914 173.5328
55.200001 86.899 172.9662
56.000000 86.884 172.4156
57.000000 86.872 171.5446
58.000000 86.808 170.6727
59.000000 86.755 170.1885
60.000000 86.751 169.6788
60.799999 86.749 169.1527
61.500000 86.741 168.6987
62.200001 86.731 168.2568
63.000000 86.709 167.7616
64.000000 86.668 167.2737
65.000000 86.638 166.8617
66.000000 86.605 166.3529
67.000000 86.566 165.8890
68.000000 86.545 165.3704
69.000000 86.520 164.7470
70.000000 86.501 164.1883
71.000000 86.499 163.6124
72.000000 86.497 163.0104
73.000000 86.494 162.4417
74.000000 86.481 161.8665
75.000000 86.452 161.3803
76.199997 86.423 160.8749
77.500000 86.386 160.2344
78.800003 86.344 159.6229
80.000000 86.322 158.9983
81.199997 86.284 158.2750
82.500000 86.233 157.7573
83.800003 86.215 157.3140
85.000000 86.198 156.8287
86.199997 86.180 156.3004
87.500000 86.144 155.5524
88.500000 86.088 154.9969
90.000000 86.010 154.4706
91.199997 85.985 154.1174
92.500000 85.980 153.6567
93.800003 85.973 153.1158
95.000000 85.954 152.6851
96.199997 85.932 152.2716
97.500000 85.884 151.7711
98.800003 85.817 151.3863
100.000000 85.771 151.0908
101.500000 85.735 150.4774
103.000000 85.682 149.7664
104.400002 85.629 149.1913
106.000000 85.566 148.7033
107.500000 85.529 148.3985
109.000000 85.506 147.9029
110.599998 85.459 147.3007
112.000000 85.424 146.8235
113.800003 85.385 146.1442
115.000000 85.354 145.7080
117.199997 85.289 144.9899
118.000000 85.261 144.7397
120.599998 85.165 144.0930
122.000000 85.127 143.7996
124.099998 85.075 143.3091
125.000000 85.054 143.1098
126.500000 85.020 142.7269
128.000000 84.979 142.3098
131.500000 84.884 141.4768
132.000000 84.873 141.3585
134.000000 84.828 140.8594
136.000000 84.773 140.3558
138.000000 84.716 139.8876
140.000000 84.662 139.4028
143.000000 84.573 138.6576
145.000000 84.508 138.1884
147.500000 84.442 137.6506
150.000000 84.386 137.0530
152.500000 84.317 136.5949
155.000000 84.243 136.2363
157.500000 84.171 135.7681
160.000000 84.105 135.2209
162.500000 84.040 134.7588
165.000000 83.963 134.4021
167.500000 83.874 134.0558
170.000000 83.784 133.6622
172.500000 83.703 133.2693
175.000000 83.624 132.8818
177.500000 83.544 132.4905
180.000000 83.464 132.0958
182.500000 83.383 131.7258
185.000000 83.302 131.3992
187.500000 83.219 131.0926
190.000000 83.138 130.7878
192.500000 83.060 130.4850
195.000000 82.982 130.1813
197.500000 82.904 129.8831
200.000000 82.827 129.6099
203.000000 82.742 129.2961
206.000000 82.662 128.9958
209.000000 82.578 128.7637
212.000000 82.497 128.5910
214.000000 82.448 128.4374
218.000000 82.353 128.0464
220.000000 82.311 127.8607
224.000000 82.228 127.5024
227.000000 82.157 127.2621
230.000000 82.083 127.0115
233.000000 82.010 126.7829
236.000000 81.941 126.6117
240.000000 81.852 126.4138
243.000000 81.789 126.2582
247.000000 81.705 126.0049
250.000000 81.638 125.8137
254.000000 81.549 125.5905
258.000000 81.463 125.3328
262.000000 81.370 125.0862
265.000000 81.294 124.9665
269.000000 81.193 124.8307
272.000000 81.119 124.6736
276.000000 81.012 124.4839
280.000000 80.894 124.4288
285.000000 80.748 124.3842
290.000000 80.608 124.3718
295.000000 80.486 124.4451
300.000000 80.380 124.5531
304.000000 80.295 124.6730
307.000000 80.228 124.7925
311.000000 80.137 124.9390
315.000000 80.044 125.1088
320.000000 79.938 125.4409
325.000000 79.847 125.8932
330.000000 79.764 126.3143
335.000000 79.688 126.8166
