* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 6:10:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: volume s k7 min values R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.912 -155.6613
1.015000 49.903 -155.9513
1.030000 49.890 -156.2365
1.044000 49.874 -156.4974
1.060000 49.851 -156.7885
1.075000 49.824 -157.0537
1.090000 49.793 -157.3114
1.106000 49.756 -157.5843
1.120000 49.721 -157.8331
1.138000 49.674 -158.1742
1.150000 49.640 -158.4148
1.172000 49.574 -158.8804
1.180000 49.549 -159.0568
1.206000 49.459 -159.6530
1.220000 49.406 -159.9861
1.241000 49.319 -160.4981
1.250000 49.279 -160.7209
1.265000 49.209 -161.0953
1.280000 49.133 -161.4718
1.315000 48.934 -162.3462
1.320000 48.903 -162.4694
1.340000 48.771 -162.9539
1.360000 48.626 -163.4203
1.380000 48.468 -163.8613
1.400000 48.296 -164.2692
1.430000 48.009 -164.7992
1.450000 47.797 -165.0851
1.475000 47.504 -165.3636
1.500000 47.166 -165.5818
1.525000 46.784 -165.7537
1.550000 46.363 -165.8760
1.575000 45.911 -165.9420
1.600000 45.436 -165.9433
1.625000 44.944 -165.8694
1.650000 44.445 -165.7072
1.675000 43.944 -165.4409
1.700000 43.451 -165.0508
1.725000 42.972 -164.5126
1.750000 42.515 -163.7964
1.775000 42.088 -162.8653
1.800000 41.698 -161.6732
1.825000 41.348 -160.1607
1.850000 41.024 -158.2396
1.875000 40.702 -155.7908
1.900000 40.377 -152.6823
1.925000 40.055 -148.7594
1.950000 39.742 -143.8405
1.975000 39.446 -137.7397
2.000000 39.173 -130.3202
2.030000 38.887 -119.7038
2.060000 38.658 -107.7474
2.090000 38.499 -95.5640
2.120000 38.423 -84.3744
2.140000 38.424 -77.8604
2.180000 38.570 -67.3395
2.200000 38.726 -63.2207
2.240000 39.236 -56.7933
2.270000 39.784 -53.2031
2.300000 40.449 -50.3925
2.330000 41.204 -48.1710
2.360000 42.023 -46.3939
2.400000 43.167 -44.5305
2.430000 44.032 -43.4111
2.470000 45.145 -42.1808
2.500000 45.917 -41.4008
2.540000 46.821 -40.4941
2.580000 47.568 -39.7122
2.620000 48.205 -39.0649
2.650000 48.634 -38.6602
2.690000 49.153 -38.2037
2.720000 49.511 -37.9087
2.760000 49.954 -37.5602
2.800000 50.371 -37.2468
2.850000 50.873 -36.8823
2.900000 51.376 -36.5277
2.950000 51.886 -36.1621
3.000000 52.381 -35.7735
3.040000 52.760 -35.4591
3.070000 53.035 -35.2316
3.110000 53.393 -34.9509
3.150000 53.742 -34.7076
3.200000 54.172 -34.4721
3.250000 54.598 -34.3266
3.300000 55.026 -34.2674
3.350000 55.454 -34.2469
3.400000 55.877 -34.2398
3.450000 56.295 -34.2684
3.500000 56.707 -34.3604
3.550000 57.110 -34.5390
3.600000 57.506 -34.8223
3.650000 57.891 -35.2182
3.700000 58.269 -35.7055
3.750000 58.640 -36.2483
3.820000 59.146 -37.0850
3.870000 59.496 -37.7425
3.950000 60.032 -38.9135
4.000000 60.350 -39.7295
4.060000 60.713 -40.8021
4.120000 61.059 -41.9675
4.180000 61.387 -43.1976
4.250000 61.747 -44.6782
4.310000 62.036 -45.9636
4.370000 62.305 -47.2556
4.440000 62.594 -48.7983
4.500000 62.819 -50.1790
4.550000 62.993 -51.3558
4.620000 63.215 -52.9997
4.680000 63.386 -54.3688
4.750000 63.566 -55.8912
4.820000 63.722 -57.3654
4.870000 63.817 -58.4175
4.940000 63.932 -59.8731
5.000000 64.015 -61.0710
5.080000 64.111 -62.5388
5.150000 64.180 -63.6743
5.220000 64.232 -64.7004
5.300000 64.273 -65.7650
5.380000 64.305 -66.6987
5.450000 64.335 -67.3845
5.520000 64.370 -67.9248
5.600000 64.411 -68.3587
5.700000 64.467 -68.6865
5.800000 64.548 -68.8754
5.900000 64.671 -68.9731
6.000000 64.835 -68.9379
6.080000 64.990 -68.8827
6.150000 65.142 -68.8956
6.220000 65.308 -69.0109
6.300000 65.520 -69.2529
6.400000 65.813 -69.6814
6.500000 66.121 -70.3123
6.600000 66.425 -71.2251
6.700000 66.726 -72.4179
6.800000 67.022 -73.8260
6.900000 67.298 -75.4081
7.000000 67.546 -77.1694
7.100000 67.766 -79.1238
7.200000 67.957 -81.1966
7.300000 68.115 -83.2990
7.400000 68.237 -85.4341
7.500000 68.323 -87.6288
7.620000 68.385 -90.2252
7.750000 68.400 -92.8590
7.880000 68.361 -95.3522
8.000000 68.291 -97.4600
8.120000 68.195 -99.2719
8.250000 68.065 -100.9124
8.380000 67.928 -102.2265
8.500000 67.812 -103.1056
8.620000 67.709 -103.6665
8.750000 67.628 -104.0270
8.850000 67.599 -104.1778
9.000000 67.608 -104.2198
9.120000 67.658 -104.2371
9.250000 67.753 -104.3556
9.380000 67.886 -104.5870
9.500000 68.025 -104.9553
9.620000 68.171 -105.5104
9.750000 68.331 -106.2922
9.880000 68.477 -107.2189
10.000000 68.589 -108.1914
10.150000 68.701 -109.5203
10.300000 68.782 -110.8770
10.440000 68.830 -112.1423
10.600000 68.862 -113.5382
10.750000 68.877 -114.7499
10.900000 68.880 -115.8744
11.060000 68.881 -116.9783
11.200000 68.880 -117.8695
11.380000 68.879 -118.9535
11.500000 68.878 -119.6511
11.720000 68.871 -120.8844
11.800000 68.864 -121.3216
12.060000 68.823 -122.6596
12.200000 68.787 -123.2885
12.410000 68.721 -124.0634
12.500000 68.693 -124.3130
12.650000 68.652 -124.6125
12.800000 68.622 -124.7795
13.150000 68.627 -124.7789
13.200000 68.638 -124.7649
13.400000 68.707 -124.7416
13.600000 68.803 -124.8728
13.800000 68.909 -125.2273
14.000000 69.001 -125.7847
14.300000 69.074 -126.8215
14.500000 69.070 -127.4367
14.750000 69.025 -127.8644
15.000000 68.980 -127.7696
15.250000 68.999 -127.2039
15.500000 69.127 -126.5240
15.750000 69.366 -126.1853
16.000000 69.668 -126.5878
16.250000 69.954 -127.8388
16.500000 70.157 -129.7812
16.750000 70.226 -132.0765
17.000000 70.148 -134.2673
17.250000 69.945 -135.9259
17.500000 69.672 -136.6823
17.750000 69.421 -136.4124
18.000000 69.281 -135.3511
18.250000 69.306 -134.0594
18.500000 69.477 -133.2102
18.750000 69.715 -133.2035
19.000000 69.930 -134.0901
19.250000 70.046 -135.5996
19.500000 70.031 -137.3155
19.750000 69.886 -138.8023
20.000000 69.644 -139.6529
20.299999 69.319 -139.4980
20.600000 69.083 -138.1023
20.900000 69.037 -136.0524
21.200001 69.190 -134.2148
21.400000 69.365 -133.4302
21.799999 69.756 -133.1058
22.000000 69.929 -133.4530
22.400000 70.192 -134.7149
22.700001 70.323 -135.8767
23.000000 70.415 -137.1031
23.299999 70.476 -138.3895
23.600000 70.503 -139.7459
24.000000 70.460 -141.5700
24.299999 70.357 -142.7631
24.700001 70.142 -143.7325
25.000000 69.965 -143.7741
25.400000 69.805 -142.8872
25.799999 69.828 -141.4307
26.200001 70.054 -140.3349
26.500000 70.303 -140.2135
26.900000 70.632 -141.1499
27.200001 70.813 -142.5124
27.600000 70.915 -144.7381
28.000000 70.850 -146.8312
28.500000 70.609 -148.4341
29.000000 70.350 -148.5178
29.500000 70.237 -147.5888
30.000000 70.302 -146.7363
30.400000 70.412 -146.6147
30.700001 70.483 -146.8566
31.100000 70.527 -147.3953
31.500000 70.515 -147.8521
32.000000 70.488 -147.9896
32.500000 70.541 -147.9063
33.000000 70.677 -148.3611
33.500000 70.769 -149.7115
34.000000 70.688 -151.3284
34.500000 70.445 -151.9904
35.000000 70.241 -150.9410
35.500000 70.316 -148.9665
36.000000 70.677 -147.8792
36.500000 71.095 -148.5983
37.000000 71.367 -150.5858
37.500000 71.443 -152.7664
38.200001 71.354 -154.8176
38.700001 71.270 -155.4561
39.500000 71.187 -155.6858
40.000000 71.167 -155.5784
40.599998 71.175 -155.3726
41.200001 71.200 -155.2802
41.799999 71.202 -155.2770
42.500000 71.181 -155.1126
43.099998 71.187 -154.9090
43.700001 71.205 -154.9776
44.400002 71.163 -155.3356
45.000000 71.070 -155.3617
45.500000 71.010 -155.0429
46.200001 71.019 -154.5532
46.799999 71.075 -154.5639
47.500000 71.109 -155.0252
48.200001 71.088 -155.5071
48.700001 71.061 -155.6738
49.400002 71.043 -155.6017
50.000000 71.079 -155.3954
50.799999 71.202 -155.3784
51.500000 71.318 -155.8087
52.200001 71.391 -156.4335
53.000000 71.432 -157.0245
53.799999 71.463 -157.4331
54.500000 71.485 -157.7278
55.200001 71.497 -157.9327
56.000000 71.515 -157.9998
57.000000 71.568 -158.1278
58.000000 71.591 -158.4819
59.000000 71.583 -158.5580
60.000000 71.618 -158.5766
60.799999 71.637 -158.7741
61.500000 71.637 -158.8577
62.200001 71.651 -158.8410
63.000000 71.685 -158.8986
64.000000 71.719 -159.0702
65.000000 71.751 -159.2496
66.000000 71.778 -159.4003
67.000000 71.829 -159.6114
68.000000 71.837 -160.1464
69.000000 71.780 -160.1006
70.000000 71.836 -159.5793
71.000000 71.952 -159.7137
72.000000 72.020 -160.1440
73.000000 72.072 -160.5529
74.000000 72.106 -160.9789
75.000000 72.132 -161.3156
76.199997 72.160 -161.6529
77.500000 72.193 -161.7909
78.800003 72.257 -161.9084
80.000000 72.302 -162.2524
81.199997 72.290 -162.4948
82.500000 72.298 -162.4320
83.800003 72.342 -162.5731
85.000000 72.383 -162.8890
86.199997 72.427 -163.1804
87.500000 72.489 -163.5024
88.500000 72.533 -163.7049
90.000000 72.595 -163.9257
91.199997 72.635 -164.1240
92.500000 72.633 -164.4565
93.800003 72.628 -164.3495
95.000000 72.694 -164.5538
96.199997 72.710 -165.1568
97.500000 72.694 -165.3704
98.800003 72.737 -165.3403
100.000000 72.798 -165.6592
101.500000 72.817 -166.2775
103.000000 72.817 -166.6438
104.400002 72.849 -166.8651
106.000000 72.928 -167.0356
107.500000 73.008 -167.2497
109.000000 73.059 -167.3336
110.599998 73.082 -167.3916
112.000000 73.086 -167.4574
113.800003 73.091 -167.7619
115.000000 73.094 -168.0238
117.199997 73.124 -168.2865
118.000000 73.149 -168.3681
120.599998 73.213 -168.7988
122.000000 73.235 -169.0738
124.099998 73.254 -169.6304
125.000000 73.266 -169.7984
126.500000 73.295 -170.1223
128.000000 73.311 -170.2659
131.500000 73.424 -170.3900
132.000000 73.425 -170.5217
134.000000 73.391 -170.7319
136.000000 73.434 -170.5671
138.000000 73.555 -170.7992
140.000000 73.658 -171.2076
143.000000 73.685 -171.6430
145.000000 73.653 -171.8704
147.500000 73.621 -172.5134
150.000000 73.642 -173.1087
152.500000 73.697 -173.4131
155.000000 73.729 -173.6313
157.500000 73.744 -173.9267
160.000000 73.785 -174.3554
162.500000 73.819 -174.7467
165.000000 73.826 -174.9629
167.500000 73.828 -175.1507
170.000000 73.840 -175.4931
172.500000 73.850 -175.8283
175.000000 73.872 -176.0812
177.500000 73.897 -176.3855
180.000000 73.905 -176.7343
182.500000 73.897 -177.0448
185.000000 73.894 -177.3522
187.500000 73.895 -177.6671
190.000000 73.894 -177.9381
192.500000 73.891 -178.1865
195.000000 73.887 -178.4389
197.500000 73.884 -178.6672
200.000000 73.882 -178.9019
203.000000 73.881 -179.2657
206.000000 73.887 -179.5586
209.000000 73.910 -179.7885
212.000000 73.929 179.9665
214.000000 73.934 179.7539
218.000000 73.939 179.3783
220.000000 73.947 179.2566
224.000000 73.966 179.0110
227.000000 73.967 178.7623
230.000000 73.965 178.5121
233.000000 73.970 178.2469
236.000000 73.978 177.9523
240.000000 73.984 177.6043
243.000000 73.983 177.4982
247.000000 73.978 177.3970
250.000000 73.976 177.3362
254.000000 73.982 177.2501
258.000000 73.986 177.0766
262.000000 73.990 176.8521
265.000000 74.004 176.6282
269.000000 74.029 176.2029
272.000000 74.037 175.9693
276.000000 74.028 175.8150
