* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 9:09:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: volume s li L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.385 159.6302
1.015000 44.697 157.0940
1.030000 45.008 154.6151
1.044000 45.295 152.3434
1.060000 45.621 149.7861
1.075000 45.921 147.4170
1.090000 46.215 145.0683
1.106000 46.527 142.5875
1.120000 46.801 140.4528
1.138000 47.161 137.7770
1.150000 47.405 136.0416
1.172000 47.859 132.9684
1.180000 48.026 131.8866
1.206000 48.577 128.5035
1.220000 48.876 126.7646
1.241000 49.328 124.2607
1.250000 49.522 123.2245
1.265000 49.846 121.5442
1.280000 50.171 119.9194
1.315000 50.924 116.3242
1.320000 51.031 115.8311
1.340000 51.455 113.9044
1.360000 51.875 112.0448
1.380000 52.287 110.2444
1.400000 52.692 108.4955
1.430000 53.280 105.9534
1.450000 53.658 104.3041
1.475000 54.114 102.2936
1.500000 54.557 100.3592
1.525000 54.989 98.5063
1.550000 55.412 96.7279
1.575000 55.825 95.0152
1.600000 56.230 93.3597
1.625000 56.626 91.7531
1.650000 57.014 90.1876
1.675000 57.396 88.6561
1.700000 57.770 87.1518
1.725000 58.139 85.6686
1.750000 58.501 84.2010
1.775000 58.859 82.7439
1.800000 59.211 81.2929
1.825000 59.559 79.8463
1.850000 59.902 78.4104
1.875000 60.237 76.9973
1.900000 60.566 75.6118
1.925000 60.887 74.2545
1.950000 61.202 72.9249
1.975000 61.511 71.6218
2.000000 61.814 70.3436
2.030000 62.171 68.8401
2.060000 62.521 67.3663
2.090000 62.865 65.9184
2.120000 63.203 64.4925
2.140000 63.426 63.5520
2.180000 63.866 61.6910
2.200000 64.082 60.7697
2.240000 64.508 58.9515
2.270000 64.819 57.6141
2.300000 65.124 56.2999
2.330000 65.423 55.0085
2.360000 65.716 53.7390
2.400000 66.098 52.0776
2.430000 66.379 50.8531
2.470000 66.748 49.2459
2.500000 67.020 48.0569
2.540000 67.377 46.4901
2.580000 67.729 44.9427
2.620000 68.072 43.4184
2.650000 68.325 42.2920
2.690000 68.655 40.8126
2.720000 68.897 39.7194
2.760000 69.215 38.2822
2.800000 69.526 36.8666
2.850000 69.908 35.1240
2.900000 70.283 33.4067
2.950000 70.651 31.7123
3.000000 71.010 30.0444
3.040000 71.291 28.7303
3.070000 71.498 27.7563
3.110000 71.770 26.4720
3.150000 72.037 25.2025
3.200000 72.365 23.6339
3.250000 72.688 22.0821
3.300000 73.005 20.5443
3.350000 73.316 19.0220
3.400000 73.620 17.5181
3.450000 73.918 16.0324
3.500000 74.210 14.5631
3.550000 74.497 13.1077
3.600000 74.778 11.6632
3.650000 75.055 10.2268
3.700000 75.326 8.7973
3.750000 75.593 7.3768
3.820000 75.957 5.4059
3.870000 76.211 4.0114
3.950000 76.607 1.8000
4.000000 76.848 0.4274
4.060000 77.131 -1.2149
4.120000 77.407 -2.8542
4.180000 77.677 -4.4867
4.250000 77.982 -6.3765
4.310000 78.236 -7.9806
4.370000 78.483 -9.5710
4.440000 78.763 -11.4178
4.500000 78.995 -13.0005
4.550000 79.183 -14.3159
4.620000 79.438 -16.1428
4.680000 79.650 -17.6886
4.750000 79.888 -19.4657
4.820000 80.117 -21.2268
4.870000 80.275 -22.4822
4.940000 80.489 -24.2299
5.000000 80.665 -25.7090
5.080000 80.890 -27.6405
5.150000 81.079 -29.2921
5.220000 81.260 -30.9241
5.300000 81.456 -32.7692
5.380000 81.642 -34.5772
5.450000 81.799 -36.1160
5.520000 81.950 -37.6127
5.600000 82.114 -39.2867
5.700000 82.308 -41.3307
5.800000 82.492 -43.3047
5.900000 82.670 -45.1969
6.000000 82.839 -47.0210
6.080000 82.970 -48.4381
6.150000 83.082 -49.6472
6.220000 83.192 -50.8265
6.300000 83.316 -52.1383
6.400000 83.469 -53.7309
6.500000 83.618 -55.2822
6.600000 83.766 -56.8012
6.700000 83.913 -58.2895
6.800000 84.059 -59.7505
6.900000 84.202 -61.1941
7.000000 84.342 -62.6289
7.100000 84.480 -64.0563
7.200000 84.614 -65.4745
7.300000 84.744 -66.8845
7.400000 84.869 -68.2913
7.500000 84.988 -69.6959
7.620000 85.123 -71.3653
7.750000 85.259 -73.1446
7.880000 85.382 -74.9010
8.000000 85.487 -76.4845
8.120000 85.583 -78.0168
8.250000 85.676 -79.6262
8.380000 85.763 -81.1724
8.500000 85.837 -82.5323
8.620000 85.907 -83.8328
8.750000 85.980 -85.1796
8.850000 86.036 -86.1711
9.000000 86.120 -87.5909
9.120000 86.189 -88.6840
9.250000 86.265 -89.8348
9.380000 86.344 -90.9550
9.500000 86.418 -91.9755
9.620000 86.494 -92.9911
9.750000 86.575 -94.0857
9.880000 86.649 -95.1776
10.000000 86.709 -96.1864
10.150000 86.773 -97.4437
10.300000 86.827 -98.6854
10.440000 86.868 -99.8278
10.600000 86.908 -101.1008
10.750000 86.940 -102.2515
10.900000 86.969 -103.3608
11.060000 86.998 -104.4940
11.200000 87.023 -105.4451
11.380000 87.056 -106.6284
11.500000 87.081 -107.3978
11.720000 87.127 -108.7905
11.800000 87.144 -109.2979
12.060000 87.198 -110.9581
12.200000 87.222 -111.8641
12.410000 87.251 -113.2253
12.500000 87.262 -113.8015
12.650000 87.276 -114.7456
12.800000 87.285 -115.6476
13.150000 87.279 -117.4918
13.200000 87.276 -117.7170
13.400000 87.266 -118.5101
13.600000 87.264 -119.1403
13.800000 87.282 -119.6296
14.000000 87.326 -120.0456
14.300000 87.448 -120.6883
14.500000 87.562 -121.2504
14.750000 87.724 -122.2075
15.000000 87.887 -123.4917
15.250000 88.026 -125.0836
15.500000 88.121 -126.8922
15.750000 88.163 -128.7979
16.000000 88.149 -130.6578
16.250000 88.088 -132.3369
16.500000 87.994 -133.7349
16.750000 87.887 -134.7901
17.000000 87.789 -135.5107
17.250000 87.719 -135.9636
17.500000 87.689 -136.2628
17.750000 87.702 -136.5424
18.000000 87.749 -136.9107
18.250000 87.816 -137.4360
18.500000 87.889 -138.1324
18.750000 87.954 -138.9713
19.000000 88.005 -139.9022
19.250000 88.040 -140.8644
19.500000 88.061 -141.8102
19.750000 88.072 -142.7084
20.000000 88.078 -143.5458
20.299999 88.085 -144.4768
20.600000 88.095 -145.3478
20.900000 88.108 -146.1819
21.200001 88.123 -146.9940
21.400000 88.133 -147.5250
21.799999 88.152 -148.5569
22.000000 88.161 -149.0541
22.400000 88.179 -150.0052
22.700001 88.195 -150.6851
23.000000 88.213 -151.3488
23.299999 88.235 -152.0141
23.600000 88.257 -152.6974
24.000000 88.281 -153.6448
24.299999 88.289 -154.3633
24.700001 88.286 -155.2691
25.000000 88.276 -155.8672
25.400000 88.269 -156.5433
25.799999 88.281 -157.1570
26.200001 88.312 -157.8428
26.500000 88.335 -158.4531
26.900000 88.347 -159.3533
27.200001 88.336 -160.0071
27.600000 88.306 -160.7243
28.000000 88.287 -161.2424
28.500000 88.308 -161.8350
29.000000 88.355 -162.6857
29.500000 88.364 -163.7572
30.000000 88.320 -164.6498
30.400000 88.286 -165.0648
30.700001 88.286 -165.2683
31.100000 88.327 -165.6045
31.500000 88.388 -166.1958
32.000000 88.432 -167.2633
32.500000 88.415 -168.3445
33.000000 88.372 -169.1472
33.500000 88.352 -169.7395
34.000000 88.357 -170.3465
34.500000 88.363 -171.0294
35.000000 88.364 -171.7043
35.500000 88.375 -172.3741
36.000000 88.392 -173.1409
36.500000 88.390 -174.0023
37.000000 88.357 -174.7866
37.500000 88.316 -175.3477
38.200001 88.295 -175.9087
38.700001 88.298 -176.3583
39.500000 88.283 -177.0704
40.000000 88.279 -177.3782
40.599998 88.307 -177.7754
41.200001 88.340 -178.4471
41.799999 88.326 -179.2828
42.500000 88.251 -179.9919
43.099998 88.198 179.7542
43.700001 88.189 179.5851
44.400002 88.214 179.1748
45.000000 88.234 178.6042
45.500000 88.238 178.0397
46.200001 88.223 177.2254
46.799999 88.198 176.5900
47.500000 88.171 175.9589
48.200001 88.160 175.3466
48.700001 88.155 174.8646
49.400002 88.138 174.1851
50.000000 88.120 173.6777
50.799999 88.112 173.0380
51.500000 88.106 172.4190
52.200001 88.089 171.8413
53.000000 88.080 171.2541
53.799999 88.074 170.5756
54.500000 88.048 170.0170
55.200001 88.030 169.6199
56.000000 88.043 169.0826
57.000000 88.029 168.0313
58.000000 87.944 167.2037
59.000000 87.883 166.8085
60.000000 87.869 166.3929
60.799999 87.868 165.9691
61.500000 87.873 165.5589
62.200001 87.879 165.0792
63.000000 87.876 164.4678
64.000000 87.856 163.7888
65.000000 87.843 163.1483
66.000000 87.817 162.4374
67.000000 87.775 161.8244
68.000000 87.741 161.2576
69.000000 87.708 160.6306
70.000000 87.672 159.9935
71.000000 87.639 159.3379
72.000000 87.600 158.7068
73.000000 87.566 158.1885
74.000000 87.548 157.7141
75.000000 87.533 157.2263
76.199997 87.518 156.6700
77.500000 87.501 155.9808
78.800003 87.466 155.2826
80.000000 87.434 154.6776
81.199997 87.403 154.0299
82.500000 87.362 153.3398
83.800003 87.320 152.7084
85.000000 87.284 152.1730
86.199997 87.251 151.6393
87.500000 87.214 151.0408
88.500000 87.186 150.5782
90.000000 87.142 149.8702
91.199997 87.106 149.3135
92.500000 87.066 148.7439
93.800003 87.028 148.1970
95.000000 86.992 147.6956
96.199997 86.954 147.1951
97.500000 86.911 146.6466
98.800003 86.868 146.0959
100.000000 86.828 145.6116
101.500000 86.784 145.0198
103.000000 86.736 144.4273
104.400002 86.689 143.9291
106.000000 86.639 143.3644
107.500000 86.591 142.8058
109.000000 86.542 142.2261
110.599998 86.487 141.6058
112.000000 86.438 141.0938
113.800003 86.376 140.4848
115.000000 86.335 140.0961
117.199997 86.259 139.3969
118.000000 86.231 139.1348
120.599998 86.134 138.2832
122.000000 86.081 137.8499
124.099998 86.013 137.2639
125.000000 85.989 136.9998
126.500000 85.947 136.5214
128.000000 85.897 136.0292
131.500000 85.766 135.0308
132.000000 85.748 134.8995
134.000000 85.676 134.4509
136.000000 85.613 134.0000
138.000000 85.539 133.4473
140.000000 85.457 132.9080
143.000000 85.351 132.0907
145.000000 85.290 131.6657
147.500000 85.220 131.1235
150.000000 85.112 130.5577
152.500000 85.002 130.1973
155.000000 84.934 129.9116
157.500000 84.882 129.5849
160.000000 84.796 129.3217
162.500000 84.671 129.0668
165.000000 84.533 128.8290
167.500000 84.427 128.8010
170.000000 84.381 128.8816
172.500000 84.368 128.7763
175.000000 84.364 128.3903
177.500000 84.355 127.8262
180.000000 84.324 127.2880
182.500000 84.269 126.8348
185.000000 84.201 126.4116
187.500000 84.138 125.9882
190.000000 84.089 125.5467
192.500000 84.046 125.0780
195.000000 83.994 124.6146
197.500000 83.933 124.1323
200.000000 83.868 123.6180
203.000000 83.791 123.0823
206.000000 83.707 122.6528
209.000000 83.619 122.2303
212.000000 83.535 121.7333
214.000000 83.483 121.4416
218.000000 83.379 120.9404
220.000000 83.328 120.7125
224.000000 83.227 120.2390
227.000000 83.150 119.9052
230.000000 83.075 119.5709
233.000000 83.001 119.2727
236.000000 82.929 119.0005
240.000000 82.833 118.6345
243.000000 82.761 118.3789
247.000000 82.664 118.0774
250.000000 82.593 117.8623
254.000000 82.498 117.5927
258.000000 82.396 117.3742
262.000000 82.298 117.1779
265.000000 82.227 117.0241
269.000000 82.136 116.8231
272.000000 82.070 116.6715
276.000000 81.984 116.4923
280.000000 81.894 116.3646
285.000000 81.782 116.2242
290.000000 81.681 116.0791
295.000000 81.587 115.9966
300.000000 81.496 115.9495
304.000000 81.425 115.9362
307.000000 81.372 115.9399
311.000000 81.304 115.9716
315.000000 81.240 116.0258
320.000000 81.164 116.1078
325.000000 81.098 116.2178
330.000000 81.044 116.3611
335.000000 81.002 116.5223
340.000000 80.971 116.6458
345.000000 80.947 116.6707
