* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 6:14:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: volume s li R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.591 77.0029
1.015000 45.712 79.9288
1.030000 45.847 82.6808
1.044000 45.987 85.0778
1.060000 46.162 87.6035
1.075000 46.343 89.7602
1.090000 46.541 91.7173
1.106000 46.775 93.6156
1.120000 47.001 95.1642
1.138000 47.326 97.0310
1.150000 47.561 98.1984
1.172000 48.027 100.1748
1.180000 48.207 100.8404
1.206000 48.825 102.8089
1.220000 49.176 103.7470
1.241000 49.722 104.9986
1.250000 49.962 105.4793
1.265000 50.368 106.2082
1.280000 50.781 106.8496
1.315000 51.754 108.0227
1.320000 51.893 108.1549
1.340000 52.448 108.6002
1.360000 52.995 108.9167
1.380000 53.530 109.1111
1.400000 54.047 109.1896
1.430000 54.780 109.1036
1.450000 55.234 108.9216
1.475000 55.763 108.5945
1.500000 56.266 108.2403
1.525000 56.753 107.8870
1.550000 57.225 107.5245
1.575000 57.684 107.1399
1.600000 58.130 106.7232
1.625000 58.564 106.2657
1.650000 58.988 105.7606
1.675000 59.401 105.2024
1.700000 59.805 104.5865
1.725000 60.201 103.9092
1.750000 60.590 103.1673
1.775000 60.971 102.3585
1.800000 61.347 101.4812
1.825000 61.718 100.5393
1.850000 62.082 99.5561
1.875000 62.436 98.5635
1.900000 62.780 97.5723
1.925000 63.115 96.5825
1.950000 63.441 95.5921
1.975000 63.759 94.5987
2.000000 64.070 93.5997
2.030000 64.434 92.3895
2.060000 64.789 91.1619
2.090000 65.137 89.9116
2.120000 65.478 88.6333
2.140000 65.702 87.7629
2.180000 66.144 85.9725
2.200000 66.362 85.0531
2.240000 66.789 83.1871
2.270000 67.099 81.7796
2.300000 67.402 80.3718
2.330000 67.697 78.9662
2.360000 67.985 77.5636
2.400000 68.360 75.6977
2.430000 68.634 74.2998
2.470000 68.992 72.4336
2.500000 69.255 71.0284
2.540000 69.600 69.1408
2.580000 69.938 67.2298
2.620000 70.267 65.2959
2.650000 70.507 63.8375
2.690000 70.820 61.8921
2.720000 71.048 60.4374
2.760000 71.346 58.5086
2.800000 71.637 56.5949
2.850000 71.991 54.2249
2.900000 72.336 51.8752
2.950000 72.672 49.5294
3.000000 72.998 47.1659
3.040000 73.250 45.2676
3.070000 73.436 43.8463
3.110000 73.677 41.9617
3.150000 73.913 40.0954
3.200000 74.200 37.7956
3.250000 74.480 35.5362
3.300000 74.752 33.3106
3.350000 75.017 31.0920
3.400000 75.274 28.8687
3.450000 75.522 26.6540
3.500000 75.763 24.4632
3.550000 75.998 22.3090
3.600000 76.226 20.2005
3.650000 76.449 18.1391
3.700000 76.666 16.1076
3.750000 76.876 14.0847
3.820000 77.159 11.2731
3.870000 77.355 9.2951
3.950000 77.658 6.2119
4.000000 77.841 4.3464
4.060000 78.056 2.1621
4.120000 78.263 0.0088
4.180000 78.464 -2.1177
4.250000 78.690 -4.5494
4.310000 78.878 -6.5770
4.370000 79.061 -8.5430
4.440000 79.270 -10.7673
4.500000 79.444 -12.6344
4.550000 79.585 -14.1650
4.620000 79.777 -16.2625
4.680000 79.938 -18.0114
4.750000 80.123 -19.9881
4.820000 80.304 -21.9033
4.870000 80.430 -23.2420
4.940000 80.603 -25.0777
5.000000 80.749 -26.6140
5.080000 80.940 -28.6055
5.150000 81.105 -30.2948
5.220000 81.267 -31.9406
5.300000 81.448 -33.7749
5.380000 81.626 -35.5616
5.450000 81.780 -37.0868
5.520000 81.931 -38.5782
5.600000 82.101 -40.2457
5.700000 82.310 -42.2791
5.800000 82.514 -44.2593
5.900000 82.712 -46.1914
6.000000 82.905 -48.0829
6.080000 83.056 -49.5675
6.150000 83.185 -50.8448
6.220000 83.311 -52.1028
6.300000 83.451 -53.5207
6.400000 83.620 -55.2672
6.500000 83.782 -56.9792
6.600000 83.937 -58.6524
6.700000 84.085 -60.2946
6.800000 84.226 -61.9078
6.900000 84.360 -63.4827
7.000000 84.487 -65.0158
7.100000 84.606 -66.5154
7.200000 84.718 -67.9793
7.300000 84.824 -69.3985
7.400000 84.924 -70.7726
7.500000 85.018 -72.1076
7.620000 85.124 -73.6538
7.750000 85.232 -75.2522
7.880000 85.333 -76.7775
8.000000 85.422 -78.1243
8.120000 85.509 -79.4115
8.250000 85.600 -80.7429
8.380000 85.689 -82.0206
8.500000 85.772 -83.1578
8.620000 85.855 -84.2574
8.750000 85.946 -85.4205
8.850000 86.016 -86.3020
9.000000 86.123 -87.6050
9.120000 86.208 -88.6404
9.250000 86.299 -89.7642
9.380000 86.389 -90.8901
9.500000 86.470 -91.9323
9.620000 86.548 -92.9803
9.750000 86.628 -94.1197
9.880000 86.698 -95.2557
10.000000 86.751 -96.2996
10.150000 86.804 -97.5935
10.300000 86.846 -98.8597
10.440000 86.877 -100.0134
10.600000 86.904 -101.2910
10.750000 86.927 -102.4411
10.900000 86.948 -103.5478
11.060000 86.970 -104.6815
11.200000 86.991 -105.6366
11.380000 87.020 -106.8287
11.500000 87.041 -107.6058
11.720000 87.084 -109.0089
11.800000 87.100 -109.5167
12.060000 87.154 -111.1625
12.200000 87.181 -112.0480
12.410000 87.221 -113.3684
12.500000 87.240 -113.9271
12.650000 87.272 -114.8456
12.800000 87.304 -115.7398
13.150000 87.373 -117.6967
13.200000 87.382 -117.9595
13.400000 87.420 -118.9684
13.600000 87.462 -119.9194
13.800000 87.508 -120.8260
14.000000 87.561 -121.7130
14.300000 87.648 -123.0486
14.500000 87.708 -123.9669
14.750000 87.778 -125.1525
15.000000 87.837 -126.3686
15.250000 87.881 -127.5839
15.500000 87.908 -128.7593
15.750000 87.921 -129.8611
16.000000 87.926 -130.8649
16.250000 87.929 -131.7663
16.500000 87.933 -132.5756
16.750000 87.942 -133.3148
17.000000 87.957 -134.0109
17.250000 87.978 -134.6877
17.500000 88.003 -135.3639
17.750000 88.030 -136.0514
18.000000 88.059 -136.7572
18.250000 88.087 -137.4849
18.500000 88.114 -138.2365
18.750000 88.138 -139.0112
19.000000 88.158 -139.8049
19.250000 88.172 -140.6087
19.500000 88.180 -141.4095
19.750000 88.182 -142.1921
20.000000 88.179 -142.9413
20.299999 88.172 -143.7820
20.600000 88.167 -144.5552
20.900000 88.167 -145.2722
21.200001 88.175 -145.9559
21.400000 88.184 -146.4062
21.799999 88.211 -147.3188
22.000000 88.226 -147.7862
22.400000 88.256 -148.7380
22.700001 88.275 -149.4524
23.000000 88.291 -150.1522
23.299999 88.305 -150.8280
23.600000 88.317 -151.4760
24.000000 88.332 -152.2970
24.299999 88.343 -152.8827
24.700001 88.357 -153.6266
25.000000 88.369 -154.1593
25.400000 88.386 -154.8465
25.799999 88.406 -155.5278
26.200001 88.426 -156.2272
26.500000 88.439 -156.7696
26.900000 88.449 -157.5059
27.200001 88.451 -158.0509
27.600000 88.447 -158.7423
28.000000 88.441 -159.3837
28.500000 88.439 -160.1452
29.000000 88.442 -160.9229
29.500000 88.440 -161.7352
30.000000 88.425 -162.5219
30.400000 88.407 -163.0783
30.700001 88.396 -163.4421
31.100000 88.388 -163.8732
31.500000 88.392 -164.2812
32.000000 88.409 -164.8176
32.500000 88.434 -165.4135
33.000000 88.459 -166.0726
33.500000 88.481 -166.7975
34.000000 88.491 -167.5787
34.500000 88.484 -168.3647
35.000000 88.462 -169.0807
35.500000 88.436 -169.6973
36.000000 88.417 -170.2580
36.500000 88.402 -170.8178
37.000000 88.381 -171.3666
37.500000 88.357 -171.8445
38.200001 88.339 -172.3719
38.700001 88.345 -172.7374
39.500000 88.370 -173.4264
40.000000 88.387 -173.8956
40.599998 88.411 -174.5006
41.200001 88.432 -175.2015
41.799999 88.431 -175.9448
42.500000 88.406 -176.6887
43.099998 88.390 -177.2209
43.700001 88.377 -177.7632
44.400002 88.351 -178.3866
45.000000 88.329 -178.8231
45.500000 88.324 -179.1697
46.200001 88.331 -179.8009
46.799999 88.320 179.5415
47.500000 88.286 178.8451
48.200001 88.256 178.2825
48.700001 88.243 177.9051
49.400002 88.230 177.3829
50.000000 88.225 176.9486
50.799999 88.228 176.3276
51.500000 88.226 175.7224
52.200001 88.213 175.1414
53.000000 88.195 174.5553
53.799999 88.181 173.9982
54.500000 88.169 173.5073
55.200001 88.155 173.0106
56.000000 88.137 172.4493
57.000000 88.114 171.7856
58.000000 88.098 171.1039
59.000000 88.077 170.4062
60.000000 88.054 169.7621
60.799999 88.039 169.2606
61.500000 88.024 168.8293
62.200001 88.009 168.4195
63.000000 87.995 167.9580
64.000000 87.978 167.3406
65.000000 87.951 166.7277
66.000000 87.924 166.1581
67.000000 87.900 165.5959
68.000000 87.879 165.0440
69.000000 87.861 164.4632
70.000000 87.838 163.8707
71.000000 87.812 163.3293
72.000000 87.790 162.7999
73.000000 87.767 162.2608
74.000000 87.742 161.7300
75.000000 87.716 161.2028
76.199997 87.683 160.5844
77.500000 87.648 159.9283
78.800003 87.614 159.2765
80.000000 87.581 158.6882
81.199997 87.550 158.1192
82.500000 87.519 157.4938
83.800003 87.482 156.8634
85.000000 87.446 156.3209
86.199997 87.412 155.7917
87.500000 87.375 155.2228
88.500000 87.346 154.7894
90.000000 87.302 154.1436
91.199997 87.267 153.6215
92.500000 87.228 153.0561
93.800003 87.189 152.5108
95.000000 87.157 152.0136
96.199997 87.125 151.5126
97.500000 87.088 150.9780
98.800003 87.050 150.4647
100.000000 87.017 149.9991
101.500000 86.974 149.4179
103.000000 86.932 148.8464
104.400002 86.894 148.3240
106.000000 86.849 147.7246
107.500000 86.800 147.1822
109.000000 86.752 146.6898
110.599998 86.705 146.1454
112.000000 86.663 145.6407
113.800003 86.608 144.9862
115.000000 86.572 144.5591
117.199997 86.503 143.8051
118.000000 86.477 143.5519
120.599998 86.397 142.7777
122.000000 86.356 142.3369
124.099998 86.293 141.6603
125.000000 86.266 141.3735
126.500000 86.224 140.9048
128.000000 86.184 140.4424
131.500000 86.090 139.4100
132.000000 86.076 139.2648
134.000000 86.020 138.6900
136.000000 85.962 138.1201
138.000000 85.902 137.5597
140.000000 85.841 137.0225
143.000000 85.752 136.2474
145.000000 85.693 135.7454
147.500000 85.622 135.1126
150.000000 85.550 134.4805
152.500000 85.479 133.8702
155.000000 85.408 133.3051
157.500000 85.336 132.7350
160.000000 85.258 132.1532
162.500000 85.174 131.5697
165.000000 85.085 131.0171
167.500000 84.997 130.4915
170.000000 84.910 129.9794
172.500000 84.823 129.4731
175.000000 84.736 128.9702
177.500000 84.647 128.4729
180.000000 84.557 127.9914
182.500000 84.467 127.5260
185.000000 84.375 127.0696
187.500000 84.283 126.6102
190.000000 84.192 126.1641
192.500000 84.100 125.7480
195.000000 84.007 125.3456
197.500000 83.912 124.9553
200.000000 83.819 124.5979
203.000000 83.710 124.2308
206.000000 83.603 123.9657
209.000000 83.514 123.8050
212.000000 83.444 123.6721
214.000000 83.402 123.6009
218.000000 83.333 123.3946
220.000000 83.300 123.1895
224.000000 83.226 122.7584
227.000000 83.176 122.4362
230.000000 83.130 122.0948
233.000000 83.082 121.7815
236.000000 83.032 121.4923
240.000000 82.967 121.0569
243.000000 82.918 120.6770
247.000000 82.853 120.1484
250.000000 82.801 119.7805
254.000000 82.713 119.3247
258.000000 82.610 118.9055
262.000000 82.507 118.5731
265.000000 82.430 118.3288
269.000000 82.326 117.9619
272.000000 82.246 117.7016
276.000000 82.136 117.4324
280.000000 82.028 117.1940
285.000000 81.895 116.9348
290.000000 81.767 116.7381
295.000000 81.644 116.6115
300.000000 81.520 116.4879
304.000000 81.422 116.4148
307.000000 81.348 116.4055
311.000000 81.247 116.4254
315.000000 81.153 116.4825
320.000000 81.053 116.5961
325.000000 80.962 116.7042
330.000000 80.871 116.8722
335.000000 80.780 117.0736
340.000000 80.694 117.2595
