* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 8:56:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: vsk12+12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.191 -103.8755
1.015000 48.866 -105.0352
1.030000 49.513 -106.3687
1.044000 50.087 -107.7783
1.060000 50.701 -109.5963
1.075000 51.229 -111.5142
1.090000 51.708 -113.6490
1.106000 52.167 -116.1505
1.120000 52.540 -118.4747
1.138000 52.991 -121.5739
1.150000 53.276 -123.6818
1.172000 53.770 -127.5816
1.180000 53.941 -129.0004
1.206000 54.469 -133.5760
1.220000 54.738 -136.0038
1.241000 55.124 -139.5864
1.250000 55.285 -141.0991
1.265000 55.547 -143.5911
1.280000 55.803 -146.0492
1.315000 56.386 -151.6802
1.320000 56.469 -152.4758
1.340000 56.800 -155.6461
1.360000 57.135 -158.8084
1.380000 57.477 -161.9782
1.400000 57.831 -165.1698
1.430000 58.390 -170.0247
1.450000 58.787 -173.3154
1.475000 59.312 -177.4379
1.500000 59.860 178.5999
1.525000 60.424 174.8901
1.550000 61.000 171.4330
1.575000 61.587 168.2038
1.600000 62.181 165.1695
1.625000 62.780 162.2950
1.650000 63.381 159.5458
1.675000 63.980 156.8902
1.700000 64.576 154.3000
1.725000 65.165 151.7511
1.750000 65.745 149.2229
1.775000 66.313 146.6985
1.800000 66.866 144.1657
1.825000 67.404 141.6258
1.850000 67.928 139.1243
1.875000 68.443 136.7273
1.900000 68.950 134.4536
1.925000 69.451 132.2961
1.950000 69.945 130.2418
1.975000 70.431 128.2761
2.000000 70.910 126.3844
2.030000 71.476 124.1921
2.060000 72.030 122.0628
2.090000 72.573 119.9755
2.120000 73.105 117.9114
2.140000 73.453 116.5401
2.180000 74.134 113.7934
2.200000 74.466 112.4202
2.240000 75.113 109.7256
2.270000 75.583 107.7787
2.300000 76.041 105.8973
2.330000 76.488 104.0756
2.360000 76.923 102.3058
2.400000 77.489 100.0119
2.430000 77.902 98.3292
2.470000 78.439 96.1186
2.500000 78.834 94.4742
2.540000 79.349 92.2851
2.580000 79.852 90.0963
2.620000 80.340 87.9311
2.650000 80.695 86.3352
2.690000 81.155 84.2495
2.720000 81.490 82.7168
2.760000 81.925 80.7127
2.800000 82.348 78.7476
2.850000 82.862 76.3339
2.900000 83.360 73.9500
2.950000 83.844 71.5782
3.000000 84.310 69.2177
3.040000 84.670 67.3484
3.070000 84.933 65.9622
3.110000 85.274 64.1385
3.150000 85.605 62.3441
3.200000 86.007 60.1412
3.250000 86.396 57.9773
3.300000 86.774 55.8400
3.350000 87.139 53.7098
3.400000 87.490 51.5848
3.450000 87.827 49.4782
3.500000 88.153 47.4021
3.550000 88.466 45.3636
3.600000 88.770 43.3659
3.650000 89.064 41.4049
3.700000 89.349 39.4625
3.750000 89.622 37.5218
3.820000 89.987 34.8196
3.870000 90.235 32.9161
3.950000 90.615 29.9412
4.000000 90.842 28.1322
4.060000 91.104 25.9983
4.120000 91.354 23.8747
4.180000 91.591 21.7616
4.250000 91.854 19.3311
4.310000 92.068 17.2948
4.370000 92.274 15.3107
4.440000 92.502 13.0455
4.500000 92.687 11.1196
4.550000 92.834 9.5257
4.620000 93.029 7.3253
4.680000 93.188 5.4809
4.750000 93.365 3.3874
4.820000 93.533 1.3409
4.870000 93.646 -0.1065
4.940000 93.796 -2.1113
5.000000 93.918 -3.8012
5.080000 94.072 -5.9987
5.150000 94.199 -7.8671
5.220000 94.319 -9.7021
5.300000 94.448 -11.7684
5.380000 94.567 -13.7937
5.450000 94.666 -15.5234
5.520000 94.761 -17.2127
5.600000 94.862 -19.1074
5.700000 94.979 -21.4311
5.800000 95.088 -23.6966
5.900000 95.189 -25.8990
6.000000 95.283 -28.0532
6.080000 95.353 -29.7460
6.150000 95.411 -31.2027
6.220000 95.466 -32.6353
6.300000 95.526 -34.2469
6.400000 95.596 -36.2304
6.500000 95.661 -38.1783
6.600000 95.721 -40.0878
6.700000 95.777 -41.9645
6.800000 95.829 -43.8131
6.900000 95.877 -45.6305
7.000000 95.921 -47.4156
7.100000 95.962 -49.1740
7.200000 95.999 -50.9065
7.300000 96.033 -52.6095
7.400000 96.065 -54.2836
7.500000 96.094 -55.9329
7.620000 96.125 -57.8776
7.750000 96.157 -59.9385
7.880000 96.185 -61.9566
8.000000 96.209 -63.7815
8.120000 96.231 -65.5682
8.250000 96.254 -67.4640
8.380000 96.276 -69.3192
8.500000 96.295 -70.9951
8.620000 96.314 -72.6379
8.750000 96.334 -74.3811
8.850000 96.349 -75.6963
9.000000 96.373 -77.6289
9.120000 96.391 -79.1410
9.250000 96.412 -80.7457
9.380000 96.433 -82.3167
9.500000 96.452 -83.7377
9.620000 96.473 -85.1311
9.750000 96.495 -86.6104
9.880000 96.512 -88.0591
10.000000 96.522 -89.3698
10.150000 96.528 -90.9731
10.300000 96.530 -92.5384
10.440000 96.529 -93.9660
10.600000 96.527 -95.5587
10.750000 96.524 -97.0148
10.900000 96.522 -98.4358
11.060000 96.519 -99.9125
11.200000 96.516 -101.1723
11.380000 96.512 -102.7481
11.500000 96.509 -103.7714
11.720000 96.503 -105.5929
11.800000 96.500 -106.2382
12.060000 96.491 -108.2762
12.200000 96.485 -109.3383
12.410000 96.480 -110.8885
12.500000 96.480 -111.5383
12.650000 96.485 -112.6027
12.800000 96.492 -113.6449
13.150000 96.508 -115.9945
13.200000 96.510 -116.3209
13.400000 96.516 -117.6036
13.600000 96.521 -118.8495
13.800000 96.524 -120.0592
14.000000 96.527 -121.2348
14.300000 96.532 -122.9424
14.500000 96.537 -124.0515
14.750000 96.544 -125.4162
15.000000 96.552 -126.7670
15.250000 96.560 -128.1114
15.500000 96.566 -129.4501
15.750000 96.569 -130.7783
16.000000 96.569 -132.0865
16.250000 96.568 -133.3639
16.500000 96.566 -134.6027
16.750000 96.563 -135.7991
17.000000 96.562 -136.9552
17.250000 96.563 -138.0768
17.500000 96.566 -139.1713
17.750000 96.571 -140.2450
18.000000 96.577 -141.3007
18.250000 96.583 -142.3378
18.500000 96.589 -143.3530
18.750000 96.594 -144.3424
19.000000 96.600 -145.3038
19.250000 96.606 -146.2376
19.500000 96.613 -147.1473
19.750000 96.622 -148.0380
20.000000 96.631 -148.9151
20.299999 96.643 -149.9545
20.600000 96.653 -150.9814
20.900000 96.661 -151.9930
21.200001 96.666 -152.9848
21.400000 96.668 -153.6329
21.799999 96.671 -154.8969
22.000000 96.671 -155.5141
22.400000 96.671 -156.7244
22.700001 96.671 -157.6157
23.000000 96.670 -158.4952
23.299999 96.668 -159.3626
23.600000 96.665 -160.2171
24.000000 96.662 -161.3355
24.299999 96.660 -162.1603
24.700001 96.659 -163.2472
25.000000 96.659 -164.0563
25.400000 96.659 -165.1290
25.799999 96.658 -166.1899
26.200001 96.657 -167.2290
26.500000 96.655 -167.9882
26.900000 96.654 -168.9712
27.200001 96.654 -169.6889
27.600000 96.656 -170.6273
28.000000 96.660 -171.5523
28.500000 96.664 -172.6933
29.000000 96.665 -173.8091
29.500000 96.665 -174.8898
30.000000 96.664 -175.9368
30.400000 96.663 -176.7582
30.700001 96.663 -177.3688
31.100000 96.661 -178.1771
31.500000 96.658 -178.9770
32.000000 96.654 -179.9593
32.500000 96.649 179.0807
33.000000 96.645 178.1379
33.500000 96.643 177.2035
34.000000 96.642 176.2727
34.500000 96.640 175.3485
35.000000 96.637 174.4380
35.500000 96.635 173.5466
36.000000 96.633 172.6755
36.500000 96.631 171.8243
37.000000 96.629 170.9928
37.500000 96.628 170.1805
38.200001 96.627 169.0718
38.700001 96.626 168.2975
39.500000 96.624 167.0851
40.000000 96.622 166.3394
40.599998 96.620 165.4520
41.200001 96.617 164.5752
41.799999 96.613 163.7142
42.500000 96.609 162.7261
43.099998 96.605 161.8867
43.700001 96.602 161.0549
44.400002 96.598 160.0978
45.000000 96.595 159.2891
45.500000 96.591 158.6270
46.200001 96.587 157.7244
46.799999 96.585 156.9674
47.500000 96.583 156.0909
48.200001 96.579 155.2325
48.700001 96.577 154.6395
49.400002 96.575 153.8228
50.000000 96.575 153.1145
50.799999 96.570 152.1677
51.500000 96.562 151.3738
52.200001 96.556 150.6166
53.000000 96.556 149.7509
53.799999 96.556 148.8540
54.500000 96.550 148.0690
55.200001 96.542 147.3221
56.000000 96.535 146.5139
57.000000 96.533 145.5150
58.000000 96.527 144.5318
59.000000 96.521 143.5983
60.000000 96.516 142.6872
60.799999 96.513 141.9604
61.500000 96.509 141.3226
62.200001 96.503 140.6870
63.000000 96.494 139.9813
64.000000 96.484 139.1410
65.000000 96.474 138.3397
66.000000 96.469 137.6016
67.000000 96.472 136.8790
68.000000 96.475 136.1319
69.000000 96.474 135.3913
70.000000 96.472 134.6292
71.000000 96.464 133.8496
72.000000 96.450 133.0784
73.000000 96.436 132.3182
74.000000 96.424 131.5690
75.000000 96.415 130.8248
76.199997 96.407 129.9473
77.500000 96.399 129.0189
78.800003 96.389 128.1454
80.000000 96.381 127.3560
81.199997 96.368 126.5919
82.500000 96.354 125.8068
83.800003 96.344 125.0405
85.000000 96.336 124.3100
86.199997 96.324 123.5855
87.500000 96.307 122.8344
88.500000 96.294 122.2885
90.000000 96.279 121.5047
91.199997 96.268 120.8551
92.500000 96.251 120.1690
93.800003 96.234 119.5215
95.000000 96.220 118.9238
96.199997 96.205 118.3360
97.500000 96.186 117.7102
98.800003 96.167 117.1195
100.000000 96.152 116.5812
101.500000 96.131 115.8915
103.000000 96.106 115.2340
104.400002 96.083 114.6514
106.000000 96.059 114.0082
107.500000 96.036 113.4017
109.000000 96.009 112.8209
110.599998 95.980 112.2269
112.000000 95.952 111.7109
113.800003 95.915 111.0646
115.000000 95.891 110.6443
117.199997 95.847 109.8942
118.000000 95.831 109.6323
120.599998 95.775 108.8273
122.000000 95.742 108.4225
124.099998 95.691 107.8193
125.000000 95.669 107.5660
126.500000 95.631 107.1434
128.000000 95.591 106.7341
131.500000 95.490 105.8228
132.000000 95.474 105.6955
134.000000 95.412 105.1724
136.000000 95.343 104.6490
138.000000 95.266 104.1907
140.000000 95.181 103.7557
143.000000 95.026 103.2004
145.000000 94.917 102.8482
147.500000 94.773 102.3941
150.000000 94.622 101.9789
152.500000 94.467 101.5671
155.000000 94.309 101.1515
157.500000 94.152 100.7656
160.000000 93.988 100.4373
162.500000 93.814 100.1518
165.000000 93.634 99.8660
167.500000 93.455 99.5727
170.000000 93.280 99.2911
172.500000 93.107 99.0448
175.000000 92.937 98.8176
177.500000 92.768 98.5977
180.000000 92.601 98.3942
182.500000 92.436 98.2064
185.000000 92.272 98.0357
187.500000 92.109 97.8756
190.000000 91.947 97.7240
192.500000 91.787 97.5932
195.000000 91.630 97.4835
197.500000 91.475 97.3890
200.000000 91.324 97.3163
203.000000 91.155 97.2316
206.000000 90.990 97.1519
209.000000 90.827 97.1074
212.000000 90.669 97.0748
214.000000 90.563 97.0547
218.000000 90.351 97.0284
220.000000 90.247 97.0253
224.000000 90.045 97.0430
227.000000 89.889 97.0699
230.000000 89.731 97.1004
233.000000 89.576 97.1563
236.000000 89.427 97.2534
240.000000 89.235 97.4142
243.000000 89.098 97.5515
247.000000 88.925 97.7235
250.000000 88.795 97.8210
254.000000 88.618 97.9550
258.000000 88.440 98.1179
262.000000 88.257 98.2784
265.000000 88.120 98.3851
269.000000 87.937 98.5323
272.000000 87.798 98.6440
276.000000 87.611 98.8272
280.000000 87.420 99.1105
285.000000 87.173 99.5979
290.000000 86.941 100.1817
295.000000 86.733 100.8689
300.000000 86.541 101.4950
304.000000 86.390 101.9593
307.000000 86.271 102.3258
311.000000 86.109 102.8521
315.000000 85.946 103.4394
320.000000 85.752 104.2523
325.000000 85.571 105.0886
330.000000 85.402 105.9731
335.000000 85.245 106.9362
340.000000 85.105 108.0029
345.000000 84.992 109.1039
