* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 6, 25 8:56:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: vsk12-12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.985 130.3913
1.015000 42.697 130.2333
1.030000 42.422 130.1524
1.044000 42.179 130.1579
1.060000 41.921 130.2757
1.075000 41.700 130.5107
1.090000 41.499 130.8862
1.106000 41.306 131.4823
1.120000 41.149 132.2233
1.138000 40.957 133.5249
1.150000 40.836 134.6225
1.172000 40.627 137.1307
1.180000 40.556 138.2049
1.206000 40.340 142.2930
1.220000 40.235 144.8597
1.241000 40.093 149.1399
1.250000 40.037 151.1107
1.265000 39.953 154.5378
1.280000 39.878 158.0885
1.315000 39.742 166.4630
1.320000 39.727 167.6305
1.340000 39.680 172.1297
1.360000 39.653 176.2637
1.380000 39.645 179.9416
1.400000 39.657 -176.8884
1.430000 39.716 -173.1242
1.450000 39.783 -171.2643
1.475000 39.906 -169.5906
1.500000 40.090 -168.4704
1.525000 40.338 -167.7914
1.550000 40.641 -167.4898
1.575000 40.988 -167.5074
1.600000 41.370 -167.7914
1.625000 41.777 -168.2960
1.650000 42.198 -168.9843
1.675000 42.624 -169.8278
1.700000 43.045 -170.8063
1.725000 43.451 -171.9067
1.750000 43.831 -173.1230
1.775000 44.177 -174.4561
1.800000 44.479 -175.9146
1.825000 44.729 -177.5264
1.850000 44.927 -179.3661
1.875000 45.083 178.4985
1.900000 45.203 176.0823
1.925000 45.294 173.4313
1.950000 45.361 170.5924
1.975000 45.410 167.6070
2.000000 45.446 164.5099
2.030000 45.479 160.6841
2.060000 45.512 156.7682
2.090000 45.552 152.7751
2.120000 45.611 148.6986
2.140000 45.664 145.9222
2.180000 45.817 140.1525
2.200000 45.917 137.0897
2.240000 46.146 130.3558
2.270000 46.331 124.7558
2.300000 46.527 118.8146
2.330000 46.734 112.6822
2.360000 46.956 106.5014
2.400000 47.275 98.3856
2.430000 47.533 92.4915
2.470000 47.907 84.9518
2.500000 48.212 79.5297
2.540000 48.653 72.5447
2.580000 49.143 65.7110
2.620000 49.696 58.9649
2.650000 50.149 54.0535
2.690000 50.792 47.8368
2.720000 51.295 43.4721
2.760000 51.981 38.0637
2.800000 52.669 33.0921
2.850000 53.508 27.3907
2.900000 54.297 22.1092
2.950000 55.025 17.0605
3.000000 55.718 12.1200
3.040000 56.255 8.2842
3.070000 56.648 5.5055
3.110000 57.158 1.9520
3.150000 57.652 -1.4220
3.200000 58.245 -5.3976
3.250000 58.809 -9.1401
3.300000 59.341 -12.7234
3.350000 59.841 -16.2684
3.400000 60.310 -19.8080
3.450000 60.751 -23.2855
3.500000 61.165 -26.6475
3.550000 61.555 -29.8606
3.600000 61.923 -32.9109
3.650000 62.271 -35.8144
3.700000 62.598 -38.6513
3.750000 62.902 -41.5028
3.820000 63.288 -45.4866
3.870000 63.539 -48.2628
3.950000 63.902 -52.4745
4.000000 64.106 -54.9272
4.060000 64.330 -57.7306
4.120000 64.527 -60.5013
4.180000 64.697 -63.2567
4.250000 64.865 -66.3830
4.310000 64.987 -68.9182
4.370000 65.090 -71.2708
4.440000 65.185 -73.8111
4.500000 65.243 -75.9013
4.550000 65.275 -77.5948
4.620000 65.301 -79.8598
4.680000 65.309 -81.6617
4.750000 65.304 -83.5494
4.820000 65.283 -85.2054
4.870000 65.256 -86.2754
4.940000 65.204 -87.6341
5.000000 65.152 -88.6701
5.080000 65.082 -89.8537
5.150000 65.025 -90.6804
5.220000 64.966 -91.2912
5.300000 64.898 -91.7510
5.380000 64.837 -92.0181
5.450000 64.796 -92.1428
5.520000 64.773 -92.1807
5.600000 64.765 -92.0832
5.700000 64.778 -91.7807
5.800000 64.812 -91.4050
5.900000 64.866 -91.0620
6.000000 64.943 -90.7373
6.080000 65.015 -90.4794
6.150000 65.079 -90.2620
6.220000 65.139 -90.0609
6.300000 65.202 -89.8617
6.400000 65.278 -89.6432
6.500000 65.348 -89.3953
6.600000 65.409 -89.0557
6.700000 65.459 -88.6204
6.800000 65.502 -88.0934
6.900000 65.553 -87.4441
7.000000 65.622 -86.6391
7.100000 65.707 -85.6788
7.200000 65.812 -84.6313
7.300000 65.953 -83.5798
7.400000 66.136 -82.5462
7.500000 66.358 -81.5465
7.620000 66.663 -80.5535
7.750000 67.031 -79.8949
7.880000 67.437 -79.6384
8.000000 67.818 -79.7954
8.120000 68.182 -80.3806
8.250000 68.556 -81.4352
8.380000 68.894 -82.8210
8.500000 69.160 -84.3678
8.620000 69.381 -86.1476
8.750000 69.568 -88.2011
8.850000 69.673 -89.8226
9.000000 69.765 -92.3376
9.120000 69.790 -94.3094
9.250000 69.771 -96.3233
9.380000 69.706 -98.2234
9.500000 69.618 -99.8123
9.620000 69.509 -101.1891
9.750000 69.370 -102.4557
9.880000 69.223 -103.4892
10.000000 69.085 -104.2179
10.150000 68.919 -104.8606
10.300000 68.780 -105.3058
10.440000 68.682 -105.5756
10.600000 68.607 -105.8223
10.750000 68.575 -106.0942
10.900000 68.574 -106.4346
11.060000 68.593 -106.9350
11.200000 68.623 -107.4969
11.380000 68.669 -108.3622
11.500000 68.699 -109.0203
11.720000 68.752 -110.3437
11.800000 68.770 -110.8481
12.060000 68.826 -112.5466
12.200000 68.856 -113.4817
12.410000 68.905 -114.9076
12.500000 68.930 -115.5285
12.650000 68.975 -116.5763
12.800000 69.021 -117.6372
13.150000 69.111 -120.1357
13.200000 69.121 -120.4873
13.400000 69.151 -121.8632
13.600000 69.165 -123.1528
13.800000 69.170 -124.3238
14.000000 69.170 -125.3577
14.300000 69.169 -126.6553
14.500000 69.175 -127.3813
14.750000 69.188 -128.1824
15.000000 69.204 -128.8996
15.250000 69.216 -129.5410
15.500000 69.220 -130.0755
15.750000 69.218 -130.4692
16.000000 69.221 -130.7023
16.250000 69.236 -130.8074
16.500000 69.274 -130.8526
16.750000 69.330 -130.9246
17.000000 69.396 -131.0828
17.250000 69.457 -131.3302
17.500000 69.506 -131.6236
17.750000 69.544 -131.8917
18.000000 69.581 -132.0947
18.250000 69.632 -132.2475
18.500000 69.710 -132.4413
18.750000 69.813 -132.8035
19.000000 69.927 -133.4416
19.250000 70.026 -134.3930
19.500000 70.083 -135.5833
19.750000 70.082 -136.8615
20.000000 70.019 -138.0182
20.299999 69.887 -138.9711
20.600000 69.751 -139.2777
20.900000 69.681 -139.0287
21.200001 69.726 -138.6129
21.400000 69.814 -138.4924
21.799999 70.057 -139.0511
22.000000 70.168 -139.7553
22.400000 70.284 -141.6809
22.700001 70.259 -143.1404
23.000000 70.158 -144.2300
23.299999 70.028 -144.7538
23.600000 69.923 -144.7238
24.000000 69.883 -144.1982
24.299999 69.929 -143.7990
24.700001 70.046 -143.5943
25.000000 70.140 -143.7074
25.400000 70.249 -144.0872
25.799999 70.341 -144.6196
26.200001 70.417 -145.3028
26.500000 70.454 -145.9238
26.900000 70.457 -146.8061
27.200001 70.418 -147.3656
27.600000 70.330 -147.7343
28.000000 70.259 -147.5580
28.500000 70.287 -146.9061
29.000000 70.459 -146.6155
29.500000 70.668 -147.2536
30.000000 70.792 -148.5906
30.400000 70.802 -149.7241
30.700001 70.769 -150.4044
31.100000 70.704 -150.9620
31.500000 70.653 -151.1433
32.000000 70.649 -151.1216
32.500000 70.703 -151.2378
33.000000 70.759 -151.6982
33.500000 70.763 -152.2912
34.000000 70.721 -152.6166
34.500000 70.703 -152.5621
35.000000 70.752 -152.5108
35.500000 70.824 -152.8589
36.000000 70.840 -153.4506
36.500000 70.801 -153.7615
37.000000 70.799 -153.6569
37.500000 70.883 -153.6981
38.200001 70.980 -154.8060
38.700001 70.897 -155.6520
39.500000 70.701 -155.0885
40.000000 70.771 -154.1087
40.599998 71.006 -154.0592
41.200001 71.140 -155.3801
41.799999 71.065 -156.7666
42.500000 70.879 -157.2050
43.099998 70.796 -156.8285
43.700001 70.805 -156.4348
44.400002 70.875 -156.3626
45.000000 70.941 -156.6449
45.500000 70.981 -157.0183
46.200001 71.008 -157.4947
46.799999 71.031 -157.7256
47.500000 71.086 -157.8718
48.200001 71.167 -158.0879
48.700001 71.222 -158.3324
49.400002 71.273 -158.6772
50.000000 71.298 -158.7917
50.799999 71.361 -158.7066
51.500000 71.450 -158.8152
52.200001 71.511 -159.2280
53.000000 71.519 -159.6464
53.799999 71.524 -159.8928
54.500000 71.526 -160.1640
55.200001 71.508 -160.3449
56.000000 71.519 -160.3876
57.000000 71.564 -160.7583
58.000000 71.561 -161.0063
59.000000 71.629 -161.0409
60.000000 71.679 -161.4743
60.799999 71.690 -161.5339
61.500000 71.744 -161.5579
62.200001 71.792 -161.9271
63.000000 71.775 -162.3655
64.000000 71.780 -162.3512
65.000000 71.868 -163.1093
66.000000 71.776 -164.3333
67.000000 71.659 -164.0871
68.000000 71.748 -163.8770
69.000000 71.779 -164.4053
70.000000 71.762 -164.0034
71.000000 71.877 -163.3394
72.000000 71.993 -163.3089
73.000000 72.046 -163.3069
74.000000 72.098 -163.2754
75.000000 72.147 -163.5422
76.199997 72.163 -164.1646
77.500000 72.172 -164.6826
78.800003 72.241 -165.2480
80.000000 72.307 -165.8940
81.199997 72.326 -166.3758
82.500000 72.350 -166.1600
83.800003 72.425 -166.1733
85.000000 72.440 -166.3157
86.199997 72.455 -166.4230
87.500000 72.490 -166.5779
88.500000 72.532 -166.9913
90.000000 72.537 -167.4535
91.199997 72.596 -167.6283
92.500000 72.641 -168.2099
93.800003 72.635 -168.4796
95.000000 72.664 -168.4056
96.199997 72.735 -168.5009
97.500000 72.796 -168.9048
98.800003 72.820 -169.3002
100.000000 72.832 -169.5699
101.500000 72.838 -169.8206
103.000000 72.869 -169.9155
104.400002 72.918 -170.1884
106.000000 72.954 -170.5416
107.500000 72.973 -170.8095
109.000000 72.992 -170.9418
110.599998 73.030 -171.1138
112.000000 73.074 -171.4163
113.800003 73.112 -171.8870
115.000000 73.138 -172.0896
117.199997 73.194 -172.3807
118.000000 73.213 -172.5086
120.599998 73.256 -172.9555
122.000000 73.283 -173.2392
124.099998 73.320 -173.6577
125.000000 73.338 -173.7768
126.500000 73.368 -173.9484
128.000000 73.395 -174.0951
131.500000 73.453 -174.6919
132.000000 73.462 -174.7861
134.000000 73.506 -175.1878
136.000000 73.545 -175.5658
138.000000 73.574 -175.8435
140.000000 73.603 -176.1283
143.000000 73.641 -176.6170
145.000000 73.668 -176.9228
147.500000 73.716 -177.2491
150.000000 73.736 -177.6388
152.500000 73.761 -177.8293
155.000000 73.821 -178.2281
157.500000 73.864 -178.9208
160.000000 73.863 -179.5045
162.500000 73.847 -179.8018
165.000000 73.849 179.9966
167.500000 73.879 179.8028
170.000000 73.912 179.5640
172.500000 73.924 179.3200
175.000000 73.921 179.0121
177.500000 73.918 178.6833
180.000000 73.928 178.3926
182.500000 73.938 178.0901
185.000000 73.939 177.7451
187.500000 73.940 177.3943
190.000000 73.946 177.0955
192.500000 73.955 176.8433
195.000000 73.953 176.6163
197.500000 73.946 176.4096
200.000000 73.951 176.1277
203.000000 73.968 175.6989
206.000000 74.003 175.4161
209.000000 74.049 175.0662
212.000000 74.062 174.7531
214.000000 74.062 174.6358
218.000000 74.058 174.2601
220.000000 74.053 173.9656
224.000000 74.052 173.5117
227.000000 74.061 173.3150
230.000000 74.068 173.1191
233.000000 74.066 172.9113
236.000000 74.058 172.7481
240.000000 74.060 172.5081
243.000000 74.080 172.3429
247.000000 74.110 172.1911
250.000000 74.127 172.0421
254.000000 74.147 171.6187
258.000000 74.166 171.2206
262.000000 74.174 170.9000
265.000000 74.174 170.5388
269.000000 74.167 170.0582
272.000000 74.151 169.7778
276.000000 74.123 169.4659
280.000000 74.092 169.2959
285.000000 74.023 169.1993
290.000000 73.962 169.0849
295.000000 73.957 169.1829
300.000000 73.962 169.2713
