* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 14, 25 2:57:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: xuanji 700m L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 47.472 -5.0404
1.015000 47.692 -6.7786
1.030000 47.911 -8.5071
1.044000 48.115 -10.1159
1.060000 48.348 -11.9542
1.075000 48.565 -13.6821
1.090000 48.782 -15.4187
1.106000 49.012 -17.2819
1.120000 49.214 -18.9168
1.138000 49.475 -21.0152
1.150000 49.649 -22.4074
1.172000 49.969 -24.9367
1.180000 50.085 -25.8471
1.206000 50.464 -28.7638
1.220000 50.668 -30.3047
1.241000 50.974 -32.5732
1.250000 51.105 -33.5292
1.265000 51.323 -35.1002
1.280000 51.540 -36.6435
1.315000 52.045 -40.1377
1.320000 52.117 -40.6250
1.340000 52.404 -42.5459
1.360000 52.688 -44.4235
1.380000 52.971 -46.2609
1.400000 53.251 -48.0616
1.430000 53.666 -50.7019
1.450000 53.940 -52.4267
1.475000 54.277 -54.5449
1.500000 54.612 -56.6125
1.525000 54.944 -58.6244
1.550000 55.274 -60.5820
1.575000 55.601 -62.4884
1.600000 55.925 -64.3477
1.625000 56.246 -66.1647
1.650000 56.565 -67.9443
1.675000 56.880 -69.6919
1.700000 57.192 -71.4127
1.725000 57.500 -73.1119
1.750000 57.805 -74.7948
1.775000 58.107 -76.4661
1.800000 58.405 -78.1306
1.825000 58.699 -79.7913
1.850000 58.989 -81.4452
1.875000 59.276 -83.0835
1.900000 59.559 -84.7004
1.925000 59.839 -86.2930
1.950000 60.115 -87.8597
1.975000 60.388 -89.3999
2.000000 60.657 -90.9138
2.030000 60.977 -92.6970
2.060000 61.291 -94.4458
2.090000 61.601 -96.1633
2.120000 61.907 -97.8532
2.140000 62.109 -98.9666
2.180000 62.506 -101.1672
2.200000 62.703 -102.2565
2.240000 63.089 -104.4133
2.270000 63.372 -106.0080
2.300000 63.652 -107.5801
2.330000 63.927 -109.1279
2.360000 64.197 -110.6509
2.400000 64.552 -112.6431
2.430000 64.813 -114.1094
2.470000 65.155 -116.0301
2.500000 65.409 -117.4472
2.540000 65.741 -119.3097
2.580000 66.067 -121.1472
2.620000 66.387 -122.9641
2.650000 66.622 -124.3119
2.690000 66.929 -126.0859
2.720000 67.156 -127.3976
2.760000 67.452 -129.1201
2.800000 67.743 -130.8119
2.850000 68.100 -132.8844
2.900000 68.449 -134.9129
2.950000 68.791 -136.9050
3.000000 69.125 -138.8705
3.040000 69.386 -140.4236
3.070000 69.578 -141.5752
3.110000 69.829 -143.0917
3.150000 70.077 -144.5850
3.200000 70.380 -146.4180
3.250000 70.677 -148.2139
3.300000 70.969 -149.9758
3.350000 71.255 -151.7119
3.400000 71.534 -153.4262
3.450000 71.806 -155.1165
3.500000 72.073 -156.7805
3.550000 72.334 -158.4164
3.600000 72.591 -160.0236
3.650000 72.844 -161.6028
3.700000 73.092 -163.1583
3.750000 73.336 -164.6944
3.820000 73.668 -166.8130
3.870000 73.900 -168.3020
3.950000 74.263 -170.6413
4.000000 74.486 -172.0768
4.060000 74.748 -173.7754
4.120000 75.006 -175.4521
4.180000 75.258 -177.1078
4.250000 75.545 -179.0126
4.310000 75.786 179.3774
4.370000 76.023 177.7870
4.440000 76.295 175.9527
4.500000 76.522 174.3955
4.550000 76.709 173.1089
4.620000 76.965 171.3250
4.680000 77.179 169.8122
4.750000 77.425 168.0642
4.820000 77.664 166.3291
4.870000 77.832 165.0958
4.940000 78.062 163.3800
5.000000 78.254 161.9217
5.080000 78.504 159.9969
5.150000 78.716 158.3280
5.220000 78.923 156.6653
5.300000 79.152 154.7739
5.380000 79.372 152.9011
5.450000 79.559 151.2831
5.520000 79.740 149.6818
5.600000 79.939 147.8604
5.700000 80.177 145.6011
5.800000 80.403 143.3824
5.900000 80.617 141.2108
6.000000 80.818 139.0652
6.080000 80.971 137.3716
6.150000 81.099 135.9169
6.220000 81.222 134.4922
6.300000 81.357 132.8937
6.400000 81.515 130.9290
6.500000 81.664 129.0132
6.600000 81.806 127.1615
6.700000 81.939 125.3669
6.800000 82.065 123.6207
6.900000 82.185 121.9301
7.000000 82.301 120.3006
7.100000 82.412 118.7257
7.200000 82.520 117.1995
7.300000 82.624 115.7213
7.400000 82.728 114.2909
7.500000 82.829 112.9041
7.620000 82.949 111.2873
7.750000 83.078 109.5849
7.880000 83.207 107.9302
8.000000 83.324 106.4344
8.120000 83.440 104.9589
8.250000 83.565 103.3816
8.380000 83.687 101.8222
8.500000 83.796 100.3927
8.620000 83.902 98.9717
8.750000 84.011 97.4470
8.850000 84.091 96.2848
9.000000 84.204 94.5574
9.120000 84.289 93.1987
9.250000 84.374 91.7550
9.380000 84.452 90.3399
9.500000 84.520 89.0674
9.620000 84.583 87.8313
9.750000 84.646 86.5311
9.880000 84.702 85.2745
10.000000 84.744 84.1552
10.150000 84.787 82.8059
10.300000 84.826 81.5066
10.440000 84.859 80.3363
10.600000 84.895 79.0375
10.750000 84.931 77.8488
10.900000 84.967 76.6830
11.060000 85.005 75.4550
11.200000 85.038 74.3910
11.380000 85.077 73.0373
11.500000 85.101 72.1428
11.720000 85.140 70.5284
11.800000 85.152 69.9520
12.060000 85.183 68.1266
12.200000 85.196 67.1828
12.410000 85.216 65.8214
12.500000 85.227 65.2589
12.650000 85.249 64.3486
12.800000 85.276 63.4661
13.150000 85.349 61.4834
13.200000 85.361 61.2040
13.400000 85.408 60.0860
13.600000 85.457 58.9535
13.800000 85.505 57.7959
14.000000 85.547 56.6119
14.300000 85.596 54.8015
14.500000 85.616 53.5940
14.750000 85.624 52.1207
15.000000 85.616 50.7220
15.250000 85.596 49.4312
15.500000 85.571 48.2634
15.750000 85.546 47.2183
16.000000 85.528 46.2798
16.250000 85.521 45.4199
16.500000 85.527 44.6089
16.750000 85.544 43.8170
17.000000 85.570 43.0215
17.250000 85.602 42.2076
17.500000 85.638 41.3673
17.750000 85.676 40.4994
18.000000 85.714 39.6073
18.250000 85.749 38.6974
18.500000 85.782 37.7782
18.750000 85.812 36.8573
19.000000 85.839 35.9407
19.250000 85.864 35.0309
19.500000 85.887 34.1265
19.750000 85.908 33.2244
20.000000 85.926 32.3222
20.299999 85.941 31.2419
20.600000 85.947 30.1786
20.900000 85.942 29.1584
21.200001 85.928 28.2124
21.400000 85.915 27.6350
21.799999 85.891 26.6136
22.000000 85.884 26.1588
22.400000 85.882 25.3046
22.700001 85.892 24.6599
23.000000 85.906 23.9758
23.299999 85.918 23.2449
23.600000 85.923 22.4828
24.000000 85.915 21.4698
24.299999 85.900 20.7482
24.700001 85.876 19.8597
25.000000 85.859 19.2391
25.400000 85.842 18.4357
25.799999 85.830 17.6204
26.200001 85.815 16.7786
26.500000 85.800 16.1422
26.900000 85.775 15.3174
27.200001 85.753 14.7346
27.600000 85.728 14.0098
28.000000 85.712 13.3179
28.500000 85.706 12.4237
29.000000 85.703 11.4392
29.500000 85.687 10.3981
30.000000 85.653 9.4022
30.400000 85.619 8.6898
30.700001 85.595 8.2073
31.100000 85.567 7.6156
31.500000 85.544 7.0608
32.000000 85.522 6.3981
32.500000 85.507 5.7492
33.000000 85.498 5.0762
33.500000 85.486 4.3530
34.000000 85.464 3.6116
34.500000 85.433 2.9178
35.000000 85.402 2.2906
35.500000 85.380 1.6804
36.000000 85.360 1.0398
36.500000 85.336 0.3831
37.000000 85.311 -0.2548
37.500000 85.291 -0.8887
38.200001 85.264 -1.8566
38.700001 85.231 -2.5819
39.500000 85.150 -3.5732
40.000000 85.103 -4.0344
40.599998 85.063 -4.5094
41.200001 85.037 -4.9879
41.799999 85.015 -5.4962
42.500000 84.989 -6.1213
43.099998 84.962 -6.6672
43.700001 84.932 -7.2026
44.400002 84.898 -7.8339
45.000000 84.865 -8.4138
45.500000 84.829 -8.9070
46.200001 84.769 -9.5281
46.799999 84.720 -9.9615
47.500000 84.682 -10.4276
48.200001 84.661 -10.9706
48.700001 84.645 -11.4263
49.400002 84.614 -12.1111
50.000000 84.576 -12.6780
50.799999 84.517 -13.3234
51.500000 84.470 -13.7723
52.200001 84.435 -14.1832
53.000000 84.400 -14.6964
53.799999 84.356 -15.2145
54.500000 84.317 -15.6337
55.200001 84.279 -16.0842
56.000000 84.221 -16.6393
57.000000 84.128 -17.1417
58.000000 84.070 -17.4868
59.000000 84.027 -18.0432
60.000000 83.959 -18.5197
60.799999 83.931 -18.7622
61.500000 83.928 -19.1154
62.200001 83.912 -19.6191
63.000000 83.869 -20.1726
64.000000 83.809 -20.7268
65.000000 83.750 -21.2338
66.000000 83.695 -21.6936
67.000000 83.648 -22.1812
68.000000 83.599 -22.7216
69.000000 83.540 -23.2608
70.000000 83.480 -23.6986
71.000000 83.434 -24.0968
72.000000 83.389 -24.5308
73.000000 83.340 -24.9327
74.000000 83.295 -25.3150
75.000000 83.250 -25.7263
76.199997 83.189 -26.2285
77.500000 83.122 -26.7397
78.800003 83.058 -27.2634
80.000000 82.991 -27.7434
81.199997 82.924 -28.1042
82.500000 82.861 -28.4603
83.800003 82.798 -28.8180
85.000000 82.733 -29.1375
86.199997 82.670 -29.4132
87.500000 82.604 -29.7339
88.500000 82.557 -29.9551
90.000000 82.501 -30.3879
91.199997 82.446 -30.7407
92.500000 82.397 -30.9797
93.800003 82.372 -31.2557
95.000000 82.348 -31.6501
96.199997 82.304 -32.0922
97.500000 82.241 -32.4930
98.800003 82.178 -32.8367
100.000000 82.121 -33.1283
101.500000 82.063 -33.4536
103.000000 82.012 -33.8068
104.400002 81.957 -34.1300
106.000000 81.890 -34.3457
107.500000 81.831 -34.5768
109.000000 81.761 -34.8455
110.599998 81.676 -35.2087
112.000000 81.592 -35.4528
113.800003 81.527 -35.5983
115.000000 81.513 -35.8323
117.199997 81.478 -36.4211
118.000000 81.462 -36.6120
120.599998 81.384 -37.1863
122.000000 81.323 -37.3119
124.099998 81.252 -37.3601
125.000000 81.225 -37.4231
126.500000 81.175 -37.5540
128.000000 81.124 -37.6914
131.500000 81.012 -38.1233
132.000000 80.996 -38.1910
134.000000 80.937 -38.4388
136.000000 80.884 -38.6813
138.000000 80.830 -38.9505
140.000000 80.771 -39.2167
143.000000 80.681 -39.5603
145.000000 80.626 -39.7389
147.500000 80.555 -39.9402
150.000000 80.486 -40.0317
152.500000 80.416 -40.2213
155.000000 80.340 -40.4282
157.500000 80.271 -40.6362
160.000000 80.208 -40.7714
162.500000 80.137 -40.8131
165.000000 80.061 -40.7626
167.500000 79.989 -40.7526
170.000000 79.930 -40.7501
172.500000 79.898 -40.7584
175.000000 79.885 -40.8449
177.500000 79.865 -41.0812
180.000000 79.818 -41.3407
182.500000 79.765 -41.5939
185.000000 79.709 -41.8666
187.500000 79.650 -42.0818
190.000000 79.592 -42.2148
192.500000 79.532 -42.3608
195.000000 79.466 -42.4056
197.500000 79.415 -42.3349
200.000000 79.378 -42.3199
203.000000 79.347 -42.3616
206.000000 79.319 -42.4784
209.000000 79.289 -42.5195
212.000000 79.268 -42.6630
214.000000 79.256 -42.8136
218.000000 79.230 -43.0768
220.000000 79.215 -43.2212
224.000000 79.179 -43.6031
227.000000 79.154 -43.8478
230.000000 79.127 -44.0400
233.000000 79.094 -44.2438
236.000000 79.062 -44.4435
240.000000 79.025 -44.7112
243.000000 78.992 -44.9457
247.000000 78.939 -45.1946
250.000000 78.892 -45.2930
254.000000 78.825 -45.3761
258.000000 78.766 -45.4677
262.000000 78.718 -45.6307
265.000000 78.687 -45.7963
269.000000 78.644 -45.9677
272.000000 78.612 -46.0361
276.000000 78.569 -46.1708
280.000000 78.522 -46.3335
285.000000 78.465 -46.4861
290.000000 78.419 -46.6015
295.000000 78.378 -46.8062
300.000000 78.340 -46.9728
304.000000 78.310 -47.0566
307.000000 78.284 -47.1179
311.000000 78.246 -47.2081
