* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 14, 25 3:00:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: xuanji 700m R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.074 -115.0586
1.015000 49.283 -113.9986
1.030000 49.492 -113.0113
1.044000 49.687 -112.1556
1.060000 49.907 -111.2551
1.075000 50.111 -110.4852
1.090000 50.313 -109.7847
1.106000 50.526 -109.1036
1.120000 50.716 -108.5473
1.138000 50.965 -107.8751
1.150000 51.135 -107.4530
1.172000 51.453 -106.7332
1.180000 51.571 -106.4888
1.206000 51.959 -105.7580
1.220000 52.171 -105.4044
1.241000 52.493 -104.9257
1.250000 52.632 -104.7392
1.265000 52.864 -104.4529
1.280000 53.097 -104.1969
1.315000 53.640 -103.7138
1.320000 53.717 -103.6575
1.340000 54.025 -103.4634
1.360000 54.331 -103.3176
1.380000 54.632 -103.2189
1.400000 54.927 -103.1657
1.430000 55.359 -103.1681
1.450000 55.638 -103.2214
1.475000 55.976 -103.3337
1.500000 56.306 -103.4693
1.525000 56.630 -103.6184
1.550000 56.949 -103.7841
1.575000 57.263 -103.9703
1.600000 57.572 -104.1806
1.625000 57.876 -104.4179
1.650000 58.177 -104.6846
1.675000 58.472 -104.9829
1.700000 58.764 -105.3145
1.725000 59.053 -105.6806
1.750000 59.337 -106.0825
1.775000 59.619 -106.5210
1.800000 59.897 -106.9963
1.825000 60.172 -107.5060
1.850000 60.443 -108.0379
1.875000 60.711 -108.5764
1.900000 60.974 -109.1175
1.925000 61.232 -109.6628
1.950000 61.487 -110.2144
1.975000 61.738 -110.7744
2.000000 61.986 -111.3448
2.030000 62.278 -112.0453
2.060000 62.567 -112.7660
2.090000 62.852 -113.5093
2.120000 63.133 -114.2775
2.140000 63.319 -114.8045
2.180000 63.688 -115.8950
2.200000 63.870 -116.4559
2.240000 64.230 -117.5878
2.270000 64.495 -118.4359
2.300000 64.756 -119.2836
2.330000 65.013 -120.1334
2.360000 65.267 -120.9877
2.400000 65.600 -122.1382
2.430000 65.847 -123.0126
2.470000 66.171 -124.1984
2.500000 66.411 -125.1053
2.540000 66.727 -126.3412
2.580000 67.039 -127.6031
2.620000 67.347 -128.8734
2.650000 67.574 -129.8260
2.690000 67.872 -131.0958
2.720000 68.092 -132.0493
2.760000 68.382 -133.3243
2.800000 68.667 -134.6066
2.850000 69.017 -136.2254
2.900000 69.361 -137.8683
2.950000 69.699 -139.5372
3.000000 70.030 -141.2197
3.040000 70.289 -142.5683
3.070000 70.481 -143.5797
3.110000 70.734 -144.9277
3.150000 70.982 -146.2751
3.200000 71.286 -147.9602
3.250000 71.584 -149.6492
3.300000 71.876 -151.3472
3.350000 72.162 -153.0571
3.400000 72.442 -154.7744
3.450000 72.715 -156.4915
3.500000 72.982 -158.2027
3.550000 73.243 -159.9044
3.600000 73.498 -161.5958
3.650000 73.747 -163.2789
3.700000 73.990 -164.9626
3.750000 74.227 -166.6529
3.820000 74.549 -169.0192
3.870000 74.772 -170.6980
3.950000 75.118 -173.3474
4.000000 75.327 -174.9758
4.060000 75.571 -176.9113
4.120000 75.807 -178.8440
4.180000 76.035 179.2288
4.250000 76.291 177.0052
4.310000 76.504 175.1345
4.370000 76.710 173.3036
4.440000 76.943 171.2068
4.500000 77.135 169.4246
4.550000 77.290 167.9510
4.620000 77.499 165.9175
4.680000 77.674 164.2128
4.750000 77.871 162.2773
4.820000 78.063 160.3890
4.870000 78.195 159.0590
4.940000 78.374 157.2238
5.000000 78.523 155.6811
5.080000 78.718 153.6776
5.150000 78.884 151.9777
5.220000 79.046 150.3181
5.300000 79.226 148.4622
5.380000 79.402 146.6494
5.450000 79.553 145.0998
5.520000 79.703 143.5850
5.600000 79.872 141.8923
5.700000 80.078 139.8248
5.800000 80.281 137.8011
5.900000 80.481 135.8135
6.000000 80.677 133.8593
6.080000 80.832 132.3166
6.150000 80.965 130.9784
6.220000 81.095 129.6476
6.300000 81.241 128.1317
6.400000 81.419 126.2452
6.500000 81.590 124.3735
6.600000 81.753 122.5171
6.700000 81.907 120.6645
6.800000 82.053 118.8185
6.900000 82.189 116.9981
7.000000 82.315 115.2079
7.100000 82.429 113.4341
7.200000 82.533 111.6878
7.300000 82.627 109.9929
7.400000 82.711 108.3514
7.500000 82.784 106.7527
7.620000 82.860 104.9099
7.750000 82.932 103.0355
7.880000 82.992 101.2777
8.000000 83.042 99.7587
8.120000 83.091 98.3515
8.250000 83.141 96.9473
8.380000 83.195 95.6443
8.500000 83.251 94.5231
8.620000 83.314 93.4759
8.750000 83.390 92.3881
8.850000 83.455 91.5674
9.000000 83.565 90.3596
9.120000 83.659 89.3845
9.250000 83.767 88.2949
9.380000 83.879 87.1722
9.500000 83.983 86.0984
9.620000 84.086 84.9801
9.750000 84.192 83.7257
9.880000 84.287 82.4398
10.000000 84.361 81.2270
10.150000 84.435 79.6887
10.300000 84.491 78.1584
10.440000 84.528 76.7443
10.600000 84.557 75.1693
10.750000 84.574 73.7543
10.900000 84.583 72.4009
11.060000 84.589 71.0388
11.200000 84.591 69.9157
11.380000 84.596 68.5532
11.500000 84.602 67.6924
11.720000 84.620 66.1841
11.800000 84.629 65.6500
12.060000 84.669 63.9425
12.200000 84.695 63.0209
12.410000 84.740 61.6237
12.500000 84.763 61.0161
12.650000 84.804 59.9911
12.800000 84.845 58.9557
13.150000 84.925 56.5257
13.200000 84.934 56.1815
13.400000 84.965 54.8216
13.600000 84.986 53.5041
13.800000 84.999 52.2426
14.000000 85.006 51.0469
14.300000 85.010 49.3831
14.500000 85.012 48.3572
14.750000 85.014 47.1555
15.000000 85.019 46.0271
15.250000 85.028 44.9521
15.500000 85.039 43.9141
15.750000 85.052 42.9016
16.000000 85.065 41.9081
16.250000 85.078 40.9329
16.500000 85.090 39.9777
16.750000 85.100 39.0466
17.000000 85.107 38.1422
17.250000 85.113 37.2653
17.500000 85.118 36.4132
17.750000 85.123 35.5799
18.000000 85.129 34.7579
18.250000 85.136 33.9392
18.500000 85.142 33.1178
18.750000 85.146 32.2918
19.000000 85.148 31.4629
19.250000 85.147 30.6373
19.500000 85.142 29.8232
19.750000 85.135 29.0282
20.000000 85.126 28.2577
20.299999 85.115 27.3671
20.600000 85.106 26.5083
20.900000 85.099 25.6718
21.200001 85.095 24.8477
21.400000 85.093 24.3030
21.799999 85.089 23.2278
22.000000 85.086 22.7007
22.400000 85.081 21.6762
22.700001 85.078 20.9348
23.000000 85.076 20.2108
23.299999 85.076 19.4955
23.600000 85.076 18.7815
24.000000 85.073 17.8284
24.299999 85.066 17.1195
24.700001 85.049 16.2009
25.000000 85.030 15.5456
25.400000 85.001 14.7336
25.799999 84.968 14.0019
26.200001 84.939 13.3477
26.500000 84.922 12.8953
26.900000 84.907 12.3149
27.200001 84.903 11.8764
27.600000 84.905 11.2660
28.000000 84.914 10.6145
28.500000 84.935 9.7172
29.000000 84.964 8.6634
29.500000 84.982 7.4030
30.000000 84.964 6.0266
30.400000 84.918 4.9908
30.700001 84.873 4.3187
31.100000 84.815 3.5686
31.500000 84.768 2.9187
32.000000 84.717 2.1427
32.500000 84.652 1.4767
33.000000 84.586 1.1102
33.500000 84.569 0.9763
34.000000 84.615 0.6643
34.500000 84.657 -0.0891
35.000000 84.625 -1.0086
35.500000 84.533 -1.5974
36.000000 84.462 -1.7584
36.500000 84.452 -1.9100
37.000000 84.451 -2.3704
37.500000 84.405 -2.9296
38.200001 84.328 -3.2994
38.700001 84.345 -3.5894
39.500000 84.372 -5.1088
40.000000 84.269 -6.2509
40.599998 84.077 -6.8264
41.200001 83.989 -6.6223
41.799999 84.045 -6.6835
42.500000 84.118 -7.6556
43.099998 84.107 -8.6815
43.700001 84.070 -9.4819
44.400002 84.039 -10.2721
45.000000 84.004 -10.9480
45.500000 83.960 -11.4380
46.200001 83.893 -11.9215
46.799999 83.847 -12.2223
47.500000 83.803 -12.5929
48.200001 83.752 -13.0189
48.700001 83.707 -13.3172
49.400002 83.641 -13.6967
50.000000 83.588 -14.0154
50.799999 83.518 -14.4663
51.500000 83.460 -14.8588
52.200001 83.412 -15.2633
53.000000 83.365 -15.7905
53.799999 83.318 -16.3463
54.500000 83.279 -16.8254
55.200001 83.239 -17.3024
56.000000 83.189 -17.8112
57.000000 83.127 -18.3851
58.000000 83.060 -18.9293
59.000000 82.992 -19.4183
60.000000 82.922 -19.9139
60.799999 82.861 -20.2413
61.500000 82.821 -20.4439
62.200001 82.800 -20.6853
63.000000 82.779 -21.1213
64.000000 82.719 -21.6971
65.000000 82.651 -22.0916
66.000000 82.573 -22.4745
67.000000 82.475 -22.5185
68.000000 82.452 -22.3920
69.000000 82.457 -22.8219
70.000000 82.409 -23.4535
71.000000 82.347 -23.9586
72.000000 82.290 -24.4153
73.000000 82.238 -24.8304
74.000000 82.189 -25.2238
75.000000 82.136 -25.5585
76.199997 82.075 -25.8552
77.500000 82.021 -26.1924
78.800003 81.954 -26.6558
80.000000 81.871 -27.0310
81.199997 81.793 -27.2017
82.500000 81.751 -27.3049
83.800003 81.719 -27.5693
85.000000 81.685 -27.7523
86.199997 81.658 -27.9941
87.500000 81.611 -28.3059
88.500000 81.574 -28.4814
90.000000 81.536 -28.8434
91.199997 81.497 -29.2330
92.500000 81.449 -29.6245
93.800003 81.395 -29.9603
95.000000 81.349 -30.2378
96.199997 81.295 -30.4974
97.500000 81.241 -30.7058
98.800003 81.191 -30.9444
100.000000 81.143 -31.1768
101.500000 81.078 -31.4454
103.000000 81.014 -31.6246
104.400002 80.968 -31.7811
106.000000 80.922 -32.0962
107.500000 80.868 -32.4493
109.000000 80.812 -32.7445
110.599998 80.760 -33.0223
112.000000 80.714 -33.2441
113.800003 80.648 -33.4460
115.000000 80.601 -33.5206
117.199997 80.512 -33.6929
118.000000 80.477 -33.7788
120.599998 80.376 -34.0013
122.000000 80.343 -34.1908
124.099998 80.284 -34.5018
125.000000 80.256 -34.5703
126.500000 80.211 -34.6133
128.000000 80.171 -34.6424
131.500000 80.084 -34.9513
132.000000 80.071 -35.0126
134.000000 80.021 -35.2513
136.000000 79.970 -35.4244
138.000000 79.921 -35.5526
140.000000 79.880 -35.6761
143.000000 79.830 -35.9689
145.000000 79.781 -36.1073
147.500000 79.713 -36.1318
150.000000 79.647 -36.2001
152.500000 79.594 -36.3671
155.000000 79.545 -36.5015
157.500000 79.505 -36.5498
160.000000 79.451 -36.6752
162.500000 79.383 -36.8088
165.000000 79.321 -36.9351
167.500000 79.262 -37.0226
170.000000 79.198 -37.0785
172.500000 79.132 -37.1376
175.000000 79.068 -37.2100
177.500000 79.009 -37.2728
180.000000 78.952 -37.3210
182.500000 78.893 -37.3239
185.000000 78.838 -37.3071
187.500000 78.784 -37.3041
190.000000 78.732 -37.2857
192.500000 78.691 -37.2645
195.000000 78.654 -37.2904
197.500000 78.611 -37.3259
200.000000 78.566 -37.3475
203.000000 78.516 -37.4082
206.000000 78.467 -37.4621
209.000000 78.423 -37.4702
212.000000 78.385 -37.4786
214.000000 78.359 -37.4808
218.000000 78.312 -37.4734
220.000000 78.288 -37.4607
224.000000 78.250 -37.3766
227.000000 78.231 -37.3221
230.000000 78.206 -37.2645
233.000000 78.175 -37.2468
236.000000 78.147 -37.2671
240.000000 78.119 -37.2484
243.000000 78.101 -37.2344
247.000000 78.072 -37.2767
250.000000 78.044 -37.3152
254.000000 78.002 -37.3417
258.000000 77.963 -37.3368
262.000000 77.928 -37.3311
265.000000 77.900 -37.3109
269.000000 77.864 -37.2826
272.000000 77.840 -37.3137
276.000000 77.813 -37.3279
280.000000 77.787 -37.2854
285.000000 77.748 -37.2418
290.000000 77.694 -37.1924
295.000000 77.647 -37.0858
300.000000 77.610 -36.9999
304.000000 77.586 -36.9740
307.000000 77.569 -36.9406
311.000000 77.547 -36.8785
