* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 27, 25 10:39:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: yacht L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.038 54.3643
1.015000 57.234 53.4319
1.030000 57.429 52.5130
1.044000 57.610 51.6661
1.060000 57.815 50.7097
1.075000 58.005 49.8225
1.090000 58.193 48.9435
1.106000 58.392 48.0150
1.120000 58.564 47.2122
1.138000 58.785 46.1950
1.150000 58.931 45.5262
1.172000 59.196 44.3193
1.180000 59.292 43.8867
1.206000 59.602 42.5025
1.220000 59.767 41.7710
1.241000 60.013 40.6915
1.250000 60.118 40.2353
1.265000 60.292 39.4832
1.280000 60.465 38.7414
1.315000 60.863 37.0492
1.320000 60.920 36.8117
1.340000 61.144 35.8724
1.360000 61.367 34.9493
1.380000 61.587 34.0419
1.400000 61.806 33.1497
1.430000 62.130 31.8387
1.450000 62.344 30.9824
1.475000 62.609 29.9334
1.500000 62.871 28.9131
1.525000 63.129 27.9217
1.550000 63.383 26.9563
1.575000 63.635 26.0134
1.600000 63.883 25.0900
1.625000 64.129 24.1831
1.650000 64.372 23.2901
1.675000 64.611 22.4083
1.700000 64.849 21.5354
1.725000 65.083 20.6693
1.750000 65.315 19.8079
1.775000 65.545 18.9493
1.800000 65.772 18.0920
1.825000 65.997 17.2351
1.850000 66.220 16.3815
1.875000 66.440 15.5357
1.900000 66.657 14.6995
1.925000 66.871 13.8730
1.950000 67.083 13.0560
1.975000 67.292 12.2483
2.000000 67.498 11.4494
2.030000 67.743 10.5016
2.060000 67.985 9.5648
2.090000 68.223 8.6380
2.120000 68.458 7.7201
2.140000 68.614 7.1125
2.180000 68.920 5.9064
2.200000 69.072 5.3076
2.240000 69.371 4.1202
2.270000 69.591 3.2402
2.300000 69.808 2.3696
2.330000 70.022 1.5084
2.360000 70.232 0.6565
2.400000 70.509 -0.4656
2.430000 70.713 -1.2972
2.470000 70.981 -2.3939
2.500000 71.179 -3.2081
2.540000 71.439 -4.2838
2.580000 71.695 -5.3499
2.620000 71.947 -6.4067
2.650000 72.132 -7.1929
2.690000 72.374 -8.2314
2.720000 72.553 -9.0027
2.760000 72.788 -10.0204
2.800000 73.018 -11.0258
2.850000 73.301 -12.2654
2.900000 73.578 -13.4868
2.950000 73.849 -14.6931
3.000000 74.113 -15.8892
3.040000 74.320 -16.8383
3.070000 74.473 -17.5445
3.110000 74.673 -18.4775
3.150000 74.870 -19.3994
3.200000 75.111 -20.5346
3.250000 75.347 -21.6495
3.300000 75.578 -22.7449
3.350000 75.805 -23.8260
3.400000 76.026 -24.8962
3.450000 76.241 -25.9538
3.500000 76.452 -26.9964
3.550000 76.659 -28.0219
3.600000 76.862 -29.0288
3.650000 77.061 -30.0165
3.700000 77.256 -30.9881
3.750000 77.447 -31.9480
3.820000 77.707 -33.2717
3.870000 77.889 -34.2008
3.950000 78.172 -35.6542
4.000000 78.346 -36.5401
4.060000 78.551 -37.5811
4.120000 78.752 -38.6025
4.180000 78.948 -39.6064
4.250000 79.172 -40.7554
4.310000 79.361 -41.7207
4.370000 79.547 -42.6677
4.440000 79.760 -43.7496
4.500000 79.940 -44.6590
4.550000 80.088 -45.4056
4.620000 80.292 -46.4358
4.680000 80.464 -47.3065
4.750000 80.663 -48.3096
4.820000 80.859 -49.2979
4.870000 80.998 -49.9945
4.940000 81.189 -50.9590
5.000000 81.352 -51.7789
5.080000 81.565 -52.8670
5.150000 81.750 -53.8161
5.220000 81.932 -54.7603
5.300000 82.138 -55.8335
5.380000 82.340 -56.9049
5.450000 82.514 -57.8451
5.520000 82.685 -58.7900
5.600000 82.877 -59.8741
5.700000 83.112 -61.2336
5.800000 83.340 -62.5997
5.900000 83.560 -63.9770
6.000000 83.773 -65.3682
6.080000 83.937 -66.4869
6.150000 84.076 -67.4668
6.220000 84.210 -68.4471
6.300000 84.358 -69.5720
6.400000 84.535 -70.9862
6.500000 84.702 -72.3964
6.600000 84.859 -73.7922
6.700000 85.005 -75.1811
6.800000 85.141 -76.5632
6.900000 85.268 -77.9216
7.000000 85.385 -79.2482
7.100000 85.493 -80.5522
7.200000 85.591 -81.8288
7.300000 85.682 -83.0635
7.400000 85.766 -84.2531
7.500000 85.842 -85.4043
7.620000 85.926 -86.7293
7.750000 86.010 -88.0827
7.880000 86.088 -89.3560
8.000000 86.157 -90.4671
8.120000 86.225 -91.5162
8.250000 86.299 -92.5861
8.380000 86.374 -93.6050
8.500000 86.447 -94.5100
8.620000 86.522 -95.3833
8.750000 86.607 -96.3133
8.850000 86.674 -97.0273
9.000000 86.779 -98.0974
9.120000 86.863 -98.9632
9.250000 86.954 -99.9219
9.380000 87.045 -100.9001
9.500000 87.125 -101.8182
9.620000 87.202 -102.7527
9.750000 87.279 -103.7788
9.880000 87.345 -104.8055
10.000000 87.393 -105.7493
10.150000 87.438 -106.9165
10.300000 87.470 -108.0468
10.440000 87.491 -109.0627
10.600000 87.507 -110.1683
10.750000 87.520 -111.1404
10.900000 87.532 -112.0551
11.060000 87.549 -112.9732
11.200000 87.566 -113.7327
11.380000 87.596 -114.6755
11.500000 87.621 -115.2917
11.720000 87.674 -116.4221
11.800000 87.695 -116.8413
12.060000 87.767 -118.2416
12.200000 87.804 -119.0244
12.410000 87.858 -120.2252
12.500000 87.880 -120.7430
12.650000 87.918 -121.6053
12.800000 87.953 -122.4518
13.150000 88.017 -124.3047
13.200000 88.025 -124.5512
13.400000 88.055 -125.4871
13.600000 88.088 -126.3531
13.800000 88.127 -127.1642
14.000000 88.172 -127.9527
14.300000 88.252 -129.1483
14.500000 88.306 -129.9858
14.750000 88.369 -131.0819
15.000000 88.417 -132.2110
15.250000 88.445 -133.3225
15.500000 88.456 -134.3606
15.750000 88.457 -135.2850
16.000000 88.456 -136.0782
16.250000 88.462 -136.7601
16.500000 88.480 -137.3703
16.750000 88.509 -137.9586
17.000000 88.546 -138.5634
17.250000 88.585 -139.2004
17.500000 88.622 -139.8656
17.750000 88.655 -140.5410
18.000000 88.684 -141.2124
18.250000 88.712 -141.8759
18.500000 88.741 -142.5441
18.750000 88.771 -143.2371
19.000000 88.799 -143.9715
19.250000 88.819 -144.7485
19.500000 88.826 -145.5454
19.750000 88.818 -146.3231
20.000000 88.796 -147.0335
20.299999 88.761 -147.7455
20.600000 88.730 -148.2897
20.900000 88.718 -148.7126
21.200001 88.732 -149.1103
21.400000 88.753 -149.4134
21.799999 88.808 -150.1920
22.000000 88.832 -150.6702
22.400000 88.855 -151.7247
22.700001 88.847 -152.4992
23.000000 88.823 -153.1725
23.299999 88.795 -153.7043
23.600000 88.775 -154.1007
24.000000 88.774 -154.5017
24.299999 88.798 -154.7922
24.700001 88.853 -155.2790
25.000000 88.903 -155.7641
25.400000 88.966 -156.5819
25.799999 89.009 -157.5458
26.200001 89.022 -158.5557
26.500000 89.013 -159.2756
26.900000 88.984 -160.1209
27.200001 88.959 -160.6566
27.600000 88.930 -161.2694
28.000000 88.908 -161.8227
28.500000 88.883 -162.4831
29.000000 88.855 -163.0774
29.500000 88.829 -163.5493
30.000000 88.822 -163.9373
30.400000 88.832 -164.2663
30.700001 88.844 -164.5561
31.100000 88.859 -165.0016
31.500000 88.867 -165.4852
32.000000 88.868 -166.0877
32.500000 88.866 -166.6664
33.000000 88.861 -167.2354
33.500000 88.852 -167.7977
34.000000 88.840 -168.3359
34.500000 88.830 -168.8496
35.000000 88.822 -169.3694
35.500000 88.813 -169.9161
36.000000 88.795 -170.4617
36.500000 88.771 -170.9473
37.000000 88.749 -171.3443
37.500000 88.741 -171.6904
38.200001 88.751 -172.2276
38.700001 88.760 -172.6982
39.500000 88.757 -173.5185
40.000000 88.744 -174.0018
40.599998 88.724 -174.5220
41.200001 88.702 -174.9798
41.799999 88.681 -175.3774
42.500000 88.665 -175.7978
43.099998 88.659 -176.1835
43.700001 88.652 -176.6226
44.400002 88.634 -177.1642
45.000000 88.614 -177.6197
45.500000 88.596 -177.9973
46.200001 88.568 -178.5289
46.799999 88.541 -178.9681
47.500000 88.511 -179.4530
48.200001 88.484 -179.9316
48.700001 88.465 179.7352
49.400002 88.441 179.2971
50.000000 88.427 178.9207
50.799999 88.408 178.3609
51.500000 88.378 177.8846
52.200001 88.344 177.5161
53.000000 88.319 177.1679
53.799999 88.302 176.7800
54.500000 88.282 176.4229
55.200001 88.260 176.0795
56.000000 88.234 175.6776
57.000000 88.192 175.1758
58.000000 88.149 174.7364
59.000000 88.117 174.2636
60.000000 88.077 173.7141
60.799999 88.037 173.2972
61.500000 88.001 172.9706
62.200001 87.968 172.6669
63.000000 87.933 172.3333
64.000000 87.890 171.9117
65.000000 87.843 171.5203
66.000000 87.799 171.1964
67.000000 87.758 170.8950
68.000000 87.719 170.6498
69.000000 87.694 170.4732
70.000000 87.688 170.2214
71.000000 87.675 169.8423
72.000000 87.647 169.4922
73.000000 87.618 169.1993
74.000000 87.593 168.9056
75.000000 87.565 168.5603
76.199997 87.519 168.1687
77.500000 87.473 167.7722
78.800003 87.425 167.4394
80.000000 87.398 167.0897
81.199997 87.350 166.7501
82.500000 87.321 166.5023
83.800003 87.284 166.1162
85.000000 87.248 165.8546
86.199997 87.218 165.5159
87.500000 87.175 165.1395
88.500000 87.144 164.8827
90.000000 87.102 164.4464
91.199997 87.055 164.1304
92.500000 87.016 163.9267
93.800003 86.986 163.5698
95.000000 86.937 163.2484
96.199997 86.889 162.9797
97.500000 86.838 162.6923
98.800003 86.791 162.4241
100.000000 86.751 162.1678
101.500000 86.697 161.8667
103.000000 86.638 161.6531
104.400002 86.585 161.4923
106.000000 86.526 161.2866
107.500000 86.477 161.0570
109.000000 86.425 160.7017
110.599998 86.354 160.4380
112.000000 86.305 160.3455
113.800003 86.258 160.1488
115.000000 86.220 159.9434
117.199997 86.142 159.5251
118.000000 86.114 159.3873
120.599998 86.030 159.0417
122.000000 85.985 158.9338
124.099998 85.909 158.7411
125.000000 85.876 158.6519
126.500000 85.827 158.4833
128.000000 85.790 158.3075
131.500000 85.684 158.0694
132.000000 85.661 158.0710
134.000000 85.562 158.0618
136.000000 85.469 157.9001
138.000000 85.407 157.6620
140.000000 85.370 157.4695
143.000000 85.308 157.4821
145.000000 85.269 157.5541
147.500000 85.237 157.5038
150.000000 85.183 157.4847
152.500000 85.094 157.5491
155.000000 84.993 157.4940
157.500000 84.916 157.5212
160.000000 84.873 157.7672
162.500000 84.827 158.0146
165.000000 84.777 158.1005
167.500000 84.736 158.1444
170.000000 84.700 158.3329
172.500000 84.657 158.5620
175.000000 84.600 158.6912
177.500000 84.551 158.7471
180.000000 84.526 158.7289
182.500000 84.504 158.6174
185.000000 84.473 158.5504
187.500000 84.441 158.5238
190.000000 84.406 158.4636
192.500000 84.380 158.3889
195.000000 84.352 158.1981
197.500000 84.314 158.0199
200.000000 84.272 157.8674
203.000000 84.220 157.7029
206.000000 84.175 157.4813
209.000000 84.136 157.3038
212.000000 84.097 157.2097
214.000000 84.064 157.1783
218.000000 83.979 157.1240
220.000000 83.933 157.1285
224.000000 83.863 157.1678
227.000000 83.816 157.1653
230.000000 83.758 157.1795
233.000000 83.703 157.2181
236.000000 83.663 157.2757
240.000000 83.604 157.3453
243.000000 83.552 157.3867
247.000000 83.488 157.4547
250.000000 83.441 157.5164
254.000000 83.374 157.5642
258.000000 83.311 157.6318
262.000000 83.248 157.7042
265.000000 83.201 157.7544
269.000000 83.140 157.8478
272.000000 83.094 157.9301
276.000000 83.033 158.0080
280.000000 82.973 158.1118
285.000000 82.906 158.2680
290.000000 82.839 158.4238
295.000000 82.776 158.5909
300.000000 82.712 158.7483
304.000000 82.660 158.8907
307.000000 82.622 159.0137
311.000000 82.573 159.1896
315.000000 82.526 159.3745
320.000000 82.470 159.6355
325.000000 82.415 159.9171
330.000000 82.368 160.1829
