* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 27, 25 10:35:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: yacht R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.568 100.1258
1.015000 50.132 98.5500
1.030000 50.678 96.9755
1.044000 51.169 95.5010
1.060000 51.703 93.8035
1.075000 52.175 92.1949
1.090000 52.617 90.5666
1.106000 53.058 88.8157
1.120000 53.426 87.2918
1.138000 53.883 85.3658
1.150000 54.179 84.1080
1.172000 54.702 81.8640
1.180000 54.887 81.0689
1.206000 55.469 78.5641
1.220000 55.771 77.2653
1.241000 56.210 75.3801
1.250000 56.394 74.5944
1.265000 56.694 73.3130
1.280000 56.987 72.0646
1.315000 57.649 69.2661
1.320000 57.741 68.8780
1.340000 58.104 67.3506
1.360000 58.460 65.8590
1.380000 58.809 64.3967
1.400000 59.155 62.9576
1.430000 59.666 60.8297
1.450000 60.005 59.4236
1.475000 60.425 57.6757
1.500000 60.833 55.9466
1.525000 61.228 54.2457
1.550000 61.609 52.5772
1.575000 61.978 50.9427
1.600000 62.336 49.3423
1.625000 62.682 47.7750
1.650000 63.019 46.2386
1.675000 63.347 44.7306
1.700000 63.667 43.2476
1.725000 63.980 41.7859
1.750000 64.288 40.3419
1.775000 64.589 38.9112
1.800000 64.887 37.4896
1.825000 65.181 36.0721
1.850000 65.469 34.6516
1.875000 65.750 33.2260
1.900000 66.023 31.8000
1.925000 66.289 30.3803
1.950000 66.547 28.9727
1.975000 66.799 27.5815
2.000000 67.044 26.2101
2.030000 67.331 24.5939
2.060000 67.610 23.0122
2.090000 67.882 21.4660
2.120000 68.147 19.9553
2.140000 68.321 18.9672
2.180000 68.662 17.0327
2.200000 68.829 16.0809
2.240000 69.155 14.1821
2.270000 69.390 12.7562
2.300000 69.617 11.3346
2.330000 69.838 9.9241
2.360000 70.052 8.5306
2.400000 70.328 6.7079
2.430000 70.529 5.3723
2.470000 70.789 3.6397
2.500000 70.979 2.3791
2.540000 71.227 0.7513
2.580000 71.467 -0.8284
2.620000 71.698 -2.3920
2.650000 71.865 -3.5603
2.690000 72.080 -5.1060
2.720000 72.235 -6.2505
2.760000 72.436 -7.7491
2.800000 72.630 -9.2083
2.850000 72.865 -10.9644
2.900000 73.093 -12.6340
2.950000 73.313 -14.2221
3.000000 73.524 -15.7646
3.040000 73.685 -16.9755
3.070000 73.802 -17.8684
3.110000 73.954 -19.0349
3.150000 74.102 -20.1697
3.200000 74.282 -21.5361
3.250000 74.459 -22.8365
3.300000 74.634 -24.0663
3.350000 74.804 -25.2358
3.400000 74.969 -26.3588
3.450000 75.130 -27.4401
3.500000 75.287 -28.4813
3.550000 75.443 -29.4828
3.600000 75.599 -30.4440
3.650000 75.756 -31.3633
3.700000 75.914 -32.2373
3.750000 76.071 -33.0665
3.820000 76.290 -34.1653
3.870000 76.446 -34.9175
3.950000 76.699 -36.0859
4.000000 76.858 -36.8025
4.060000 77.053 -37.6462
4.120000 77.251 -38.4591
4.180000 77.450 -39.2456
4.250000 77.685 -40.1491
4.310000 77.887 -40.9279
4.370000 78.089 -41.7223
4.440000 78.326 -42.6664
4.500000 78.531 -43.4775
4.550000 78.702 -44.1544
4.620000 78.941 -45.1108
4.680000 79.145 -45.9464
4.750000 79.378 -46.9481
4.820000 79.608 -47.9788
4.870000 79.771 -48.7278
4.940000 79.996 -49.7896
5.000000 80.185 -50.7096
5.080000 80.431 -51.9493
5.150000 80.639 -53.0492
5.220000 80.842 -54.1674
5.300000 81.065 -55.4611
5.380000 81.281 -56.7577
5.450000 81.463 -57.8851
5.520000 81.639 -59.0054
5.600000 81.830 -60.2874
5.700000 82.058 -61.8861
5.800000 82.275 -63.4557
5.900000 82.480 -64.9820
6.000000 82.674 -66.4794
6.080000 82.822 -67.6558
6.150000 82.947 -68.6625
6.220000 83.069 -69.6438
6.300000 83.204 -70.7362
6.400000 83.366 -72.0664
6.500000 83.522 -73.3585
6.600000 83.675 -74.6104
6.700000 83.825 -75.8229
6.800000 83.970 -77.0022
6.900000 84.113 -78.1550
7.000000 84.254 -79.2856
7.100000 84.393 -80.3945
7.200000 84.529 -81.4857
7.300000 84.663 -82.5651
7.400000 84.794 -83.6367
7.500000 84.922 -84.7003
7.620000 85.070 -85.9655
7.750000 85.225 -87.3254
7.880000 85.371 -88.6771
8.000000 85.500 -89.9098
8.120000 85.621 -91.1237
8.250000 85.744 -92.4208
8.380000 85.859 -93.6887
8.500000 85.957 -94.8264
8.620000 86.049 -95.9354
8.750000 86.142 -97.0981
8.850000 86.210 -97.9614
9.000000 86.305 -99.2094
9.120000 86.378 -100.1671
9.250000 86.453 -101.1629
9.380000 86.525 -102.1186
9.500000 86.590 -102.9691
9.620000 86.654 -103.7911
9.750000 86.721 -104.6519
9.880000 86.783 -105.4871
10.000000 86.832 -106.2379
10.150000 86.886 -107.1516
10.300000 86.934 -108.0427
10.440000 86.975 -108.8564
10.600000 87.019 -109.7676
10.750000 87.059 -110.6063
10.900000 87.099 -111.4319
11.060000 87.139 -112.3008
11.200000 87.173 -113.0526
11.380000 87.216 -114.0108
11.500000 87.242 -114.6457
11.720000 87.287 -115.8016
11.800000 87.302 -116.2196
12.060000 87.345 -117.5645
12.200000 87.364 -118.2753
12.410000 87.389 -119.3159
12.500000 87.401 -119.7486
12.650000 87.424 -120.4502
12.800000 87.447 -121.1239
13.150000 87.504 -122.5795
13.200000 87.513 -122.7756
13.400000 87.551 -123.5369
13.600000 87.595 -124.2800
13.800000 87.646 -125.0259
14.000000 87.701 -125.8007
14.300000 87.787 -127.0490
14.500000 87.840 -127.9478
14.750000 87.892 -129.1250
15.000000 87.925 -130.3224
15.250000 87.936 -131.4777
15.500000 87.929 -132.5318
15.750000 87.912 -133.4457
16.000000 87.897 -134.2059
16.250000 87.893 -134.8385
16.500000 87.905 -135.3910
16.750000 87.934 -135.9240
17.000000 87.975 -136.4872
17.250000 88.020 -137.1049
17.500000 88.063 -137.7755
17.750000 88.098 -138.4734
18.000000 88.124 -139.1657
18.250000 88.143 -139.8234
18.500000 88.160 -140.4321
18.750000 88.178 -140.9971
19.000000 88.200 -141.5370
19.250000 88.228 -142.0804
19.500000 88.259 -142.6509
19.750000 88.290 -143.2628
20.000000 88.316 -143.9177
20.299999 88.338 -144.7448
20.600000 88.345 -145.5854
20.900000 88.336 -146.4003
21.200001 88.315 -147.1503
21.400000 88.295 -147.5975
21.799999 88.252 -148.3383
22.000000 88.234 -148.6305
22.400000 88.217 -149.0958
22.700001 88.227 -149.4070
23.000000 88.258 -149.7651
23.299999 88.302 -150.2313
23.600000 88.347 -150.8313
24.000000 88.389 -151.7937
24.299999 88.397 -152.5497
24.700001 88.382 -153.4535
25.000000 88.364 -153.9909
25.400000 88.353 -154.5363
25.799999 88.373 -155.0192
26.200001 88.414 -155.6010
26.500000 88.443 -156.1411
26.900000 88.462 -156.9403
27.200001 88.457 -157.5148
27.600000 88.433 -158.1349
28.000000 88.411 -158.5557
28.500000 88.416 -158.9377
29.000000 88.452 -159.4083
29.500000 88.484 -160.0695
30.000000 88.487 -160.7936
30.400000 88.473 -161.3051
30.700001 88.462 -161.6335
31.100000 88.454 -162.0376
31.500000 88.452 -162.4661
32.000000 88.446 -163.0800
32.500000 88.423 -163.7195
33.000000 88.385 -164.2814
33.500000 88.347 -164.7324
34.000000 88.319 -165.1091
34.500000 88.301 -165.4454
35.000000 88.298 -165.7642
35.500000 88.311 -166.1241
36.000000 88.333 -166.6021
36.500000 88.345 -167.1957
37.000000 88.336 -167.7917
37.500000 88.317 -168.2766
38.200001 88.310 -168.8228
38.700001 88.317 -169.2737
39.500000 88.301 -170.0952
40.000000 88.273 -170.5022
40.599998 88.248 -170.8392
41.200001 88.244 -171.1606
41.799999 88.242 -171.5527
42.500000 88.230 -172.0170
43.099998 88.219 -172.3828
43.700001 88.208 -172.7528
44.400002 88.189 -173.1675
45.000000 88.176 -173.4775
45.500000 88.173 -173.7515
46.200001 88.168 -174.2456
46.799999 88.146 -174.7128
47.500000 88.107 -175.1512
48.200001 88.080 -175.4958
48.700001 88.069 -175.7717
49.400002 88.050 -176.2241
50.000000 88.025 -176.6009
50.799999 87.992 -177.0218
51.500000 87.972 -177.3695
52.200001 87.955 -177.7467
53.000000 87.930 -178.1931
53.799999 87.900 -178.6152
54.500000 87.874 -178.9583
55.200001 87.847 -179.2859
56.000000 87.818 -179.6377
57.000000 87.788 179.9527
58.000000 87.768 179.4918
59.000000 87.738 178.9628
60.000000 87.692 178.5233
60.799999 87.658 178.2744
61.500000 87.633 178.0928
62.200001 87.613 177.9371
63.000000 87.600 177.7646
64.000000 87.593 177.4416
65.000000 87.574 177.0214
66.000000 87.544 176.6268
67.000000 87.519 176.2423
68.000000 87.492 175.7906
69.000000 87.447 175.3685
70.000000 87.403 175.1043
71.000000 87.373 174.8781
72.000000 87.345 174.6450
73.000000 87.319 174.4129
74.000000 87.292 174.1477
75.000000 87.261 173.8776
76.199997 87.224 173.5650
77.500000 87.186 173.1854
78.800003 87.140 172.7982
80.000000 87.093 172.5100
81.199997 87.052 172.2963
82.500000 87.017 172.0219
83.800003 86.977 171.7280
85.000000 86.941 171.4634
86.199997 86.905 171.1774
87.500000 86.860 170.8763
88.500000 86.821 170.7028
90.000000 86.772 170.4907
91.199997 86.733 170.3008
92.500000 86.692 170.0773
93.800003 86.651 169.8097
95.000000 86.609 169.5517
96.199997 86.565 169.3264
97.500000 86.523 169.1390
98.800003 86.483 168.9537
100.000000 86.443 168.7959
101.500000 86.391 168.6176
103.000000 86.338 168.4410
104.400002 86.293 168.2746
106.000000 86.238 168.0177
107.500000 86.182 167.8654
109.000000 86.138 167.7177
110.599998 86.082 167.5153
112.000000 86.031 167.4075
113.800003 85.976 167.2734
115.000000 85.943 167.1799
117.199997 85.877 167.0309
118.000000 85.854 167.0254
120.599998 85.792 166.8616
122.000000 85.744 166.7489
124.099998 85.675 166.6668
125.000000 85.648 166.6457
126.500000 85.609 166.6249
128.000000 85.573 166.5748
131.500000 85.479 166.3475
132.000000 85.465 166.3049
134.000000 85.412 166.1582
136.000000 85.373 166.1177
138.000000 85.348 166.0830
140.000000 85.314 165.9982
143.000000 85.239 165.8640
145.000000 85.183 165.7661
147.500000 85.113 165.6623
150.000000 85.043 165.5963
152.500000 84.975 165.5716
155.000000 84.908 165.5435
157.500000 84.840 165.5677
160.000000 84.769 165.6354
162.500000 84.689 165.7220
165.000000 84.603 165.8333
167.500000 84.524 166.0197
170.000000 84.458 166.2635
172.500000 84.403 166.5441
175.000000 84.356 166.8000
177.500000 84.315 166.9668
180.000000 84.280 167.1134
182.500000 84.254 167.2711
185.000000 84.233 167.3776
187.500000 84.210 167.4109
190.000000 84.183 167.3885
192.500000 84.150 167.2993
195.000000 84.107 167.1940
197.500000 84.064 167.1057
200.000000 84.017 167.0527
203.000000 83.957 167.0817
206.000000 83.895 167.0785
209.000000 83.841 166.9808
212.000000 83.792 166.9259
214.000000 83.759 166.9654
218.000000 83.689 167.0742
220.000000 83.653 167.1187
224.000000 83.584 167.2367
227.000000 83.532 167.3440
230.000000 83.478 167.4485
233.000000 83.426 167.5734
236.000000 83.376 167.7050
240.000000 83.311 167.8657
243.000000 83.263 168.0108
247.000000 83.200 168.2532
250.000000 83.153 168.4315
254.000000 83.087 168.6710
258.000000 83.023 168.9387
262.000000 82.971 169.2496
265.000000 82.937 169.4856
269.000000 82.897 169.7902
272.000000 82.873 170.0215
276.000000 82.844 170.2948
280.000000 82.809 170.4539
285.000000 82.761 170.5640
290.000000 82.708 170.6960
295.000000 82.652 170.8510
300.000000 82.594 171.0641
304.000000 82.546 171.2273
307.000000 82.509 171.3524
311.000000 82.460 171.5486
315.000000 82.413 171.7696
320.000000 82.356 172.0242
325.000000 82.300 172.2964
