* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 5:07:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: zenith dddd L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.122 -68.4009
1.015000 67.200 -68.5030
1.030000 67.278 -68.5762
1.044000 67.351 -68.6176
1.060000 67.436 -68.6321
1.075000 67.517 -68.6133
1.090000 67.599 -68.5619
1.106000 67.688 -68.4691
1.120000 67.768 -68.3538
1.138000 67.872 -68.1610
1.150000 67.943 -68.0073
1.172000 68.074 -67.6814
1.180000 68.122 -67.5513
1.206000 68.279 -67.0891
1.220000 68.364 -66.8194
1.241000 68.491 -66.3941
1.250000 68.545 -66.2057
1.265000 68.635 -65.8859
1.280000 68.724 -65.5610
1.315000 68.927 -64.7966
1.320000 68.955 -64.6880
1.340000 69.066 -64.2582
1.360000 69.174 -63.8400
1.380000 69.277 -63.4272
1.400000 69.375 -63.0303
1.430000 69.512 -62.4804
1.450000 69.596 -62.1462
1.475000 69.690 -61.7439
1.500000 69.771 -61.3021
1.525000 69.838 -60.8082
1.550000 69.895 -60.2808
1.575000 69.942 -59.7357
1.600000 69.983 -59.1872
1.625000 70.019 -58.6609
1.650000 70.053 -58.1711
1.675000 70.086 -57.7302
1.700000 70.120 -57.3488
1.725000 70.159 -57.0358
1.750000 70.203 -56.7984
1.775000 70.255 -56.6468
1.800000 70.317 -56.5886
1.825000 70.391 -56.6102
1.850000 70.476 -56.6783
1.875000 70.570 -56.7488
1.900000 70.671 -56.8125
1.925000 70.779 -56.8756
1.950000 70.893 -56.9456
1.975000 71.010 -57.0338
2.000000 71.132 -57.1503
2.030000 71.281 -57.3258
2.060000 71.432 -57.5494
2.090000 71.583 -57.8293
2.120000 71.734 -58.1729
2.140000 71.832 -58.4405
2.180000 72.024 -59.0805
2.200000 72.117 -59.4517
2.240000 72.301 -60.2392
2.270000 72.439 -60.8435
2.300000 72.577 -61.4531
2.330000 72.715 -62.0675
2.360000 72.853 -62.6878
2.400000 73.035 -63.5488
2.430000 73.170 -64.2106
2.470000 73.346 -65.1171
2.500000 73.475 -65.8203
2.540000 73.643 -66.7971
2.580000 73.805 -67.8374
2.620000 73.963 -68.9449
2.650000 74.079 -69.7907
2.690000 74.230 -70.9259
2.720000 74.342 -71.7762
2.760000 74.486 -72.9010
2.800000 74.626 -74.0417
2.850000 74.795 -75.4529
2.900000 74.956 -76.8486
2.950000 75.108 -78.2514
3.000000 75.253 -79.7193
3.040000 75.363 -80.9233
3.070000 75.443 -81.8273
3.110000 75.545 -83.0222
3.150000 75.643 -84.1949
3.200000 75.758 -85.6394
3.250000 75.867 -87.0366
3.300000 75.970 -88.3833
3.350000 76.065 -89.7222
3.400000 76.153 -91.1006
3.450000 76.234 -92.4846
3.500000 76.309 -93.8382
3.550000 76.378 -95.1376
3.600000 76.441 -96.3921
3.650000 76.500 -97.5786
3.700000 76.553 -98.7110
3.750000 76.600 -99.8266
3.820000 76.655 -101.3960
3.870000 76.689 -102.4806
3.950000 76.736 -104.0870
4.000000 76.763 -105.0110
4.060000 76.793 -106.0280
4.120000 76.816 -106.9695
4.180000 76.835 -107.8595
4.250000 76.855 -108.8505
4.310000 76.872 -109.6118
4.370000 76.893 -110.2829
4.440000 76.921 -110.9758
4.500000 76.946 -111.4745
4.550000 76.968 -111.8337
4.620000 77.003 -112.2983
4.680000 77.039 -112.6501
4.750000 77.092 -113.0028
4.820000 77.156 -113.3089
4.870000 77.209 -113.4816
4.940000 77.290 -113.6704
5.000000 77.366 -113.8265
5.080000 77.478 -114.0543
5.150000 77.585 -114.2709
5.220000 77.703 -114.5061
5.300000 77.849 -114.7734
5.380000 78.001 -115.0626
5.450000 78.135 -115.3830
5.520000 78.268 -115.7515
5.600000 78.423 -116.2376
5.700000 78.617 -116.9188
5.800000 78.802 -117.6481
5.900000 78.972 -118.4509
6.000000 79.127 -119.3294
6.080000 79.241 -120.0691
6.150000 79.331 -120.6949
6.220000 79.412 -121.3112
6.300000 79.491 -121.9990
6.400000 79.571 -122.8520
6.500000 79.636 -123.6534
6.600000 79.687 -124.3256
6.700000 79.723 -124.8864
6.800000 79.746 -125.3426
6.900000 79.767 -125.6804
7.000000 79.792 -125.8560
7.100000 79.818 -125.8831
7.200000 79.851 -125.7878
7.300000 79.901 -125.6154
7.400000 79.972 -125.3549
7.500000 80.062 -125.0225
7.620000 80.196 -124.6182
7.750000 80.375 -124.2789
7.880000 80.589 -124.0472
8.000000 80.804 -123.9788
8.120000 81.025 -124.1263
8.250000 81.270 -124.5019
8.380000 81.508 -125.0739
8.500000 81.710 -125.7939
8.620000 81.893 -126.6716
8.750000 82.066 -127.7242
8.850000 82.176 -128.5847
9.000000 82.304 -129.9454
9.120000 82.377 -131.0235
9.250000 82.429 -132.1244
9.380000 82.453 -133.1571
9.500000 82.460 -134.0164
9.620000 82.454 -134.7446
9.750000 82.437 -135.4048
9.880000 82.416 -135.9388
10.000000 82.395 -136.3050
10.150000 82.372 -136.6780
10.300000 82.363 -136.9712
10.440000 82.371 -137.1976
10.600000 82.393 -137.4704
10.750000 82.427 -137.8010
10.900000 82.468 -138.2087
11.060000 82.508 -138.7796
11.200000 82.538 -139.4082
11.380000 82.556 -140.2693
11.500000 82.552 -140.8588
11.720000 82.514 -141.8847
11.800000 82.491 -142.2140
12.060000 82.393 -143.1019
12.200000 82.336 -143.4533
12.410000 82.262 -143.7637
12.500000 82.241 -143.8280
12.650000 82.223 -143.8572
12.800000 82.227 -143.8368
13.150000 82.312 -143.8685
13.200000 82.331 -143.9061
13.400000 82.415 -144.1402
13.600000 82.503 -144.5090
13.800000 82.582 -144.9966
14.000000 82.646 -145.5451
14.300000 82.711 -146.4245
14.500000 82.739 -146.9192
14.750000 82.769 -147.3859
15.000000 82.810 -147.6945
15.250000 82.875 -147.9685
15.500000 82.964 -148.2463
15.750000 83.071 -148.6049
16.000000 83.185 -149.0950
16.250000 83.293 -149.7533
16.500000 83.387 -150.5023
16.750000 83.458 -151.2842
17.000000 83.509 -152.0479
17.250000 83.543 -152.7852
17.500000 83.565 -153.4482
17.750000 83.580 -154.0339
18.000000 83.592 -154.5564
18.250000 83.602 -155.0550
18.500000 83.609 -155.5121
18.750000 83.613 -155.9279
19.000000 83.616 -156.3032
19.250000 83.619 -156.6623
19.500000 83.622 -156.9884
19.750000 83.629 -157.2920
20.000000 83.639 -157.5885
20.299999 83.656 -157.9871
20.600000 83.675 -158.4126
20.900000 83.691 -158.8668
21.200001 83.702 -159.3565
21.400000 83.707 -159.6881
21.799999 83.710 -160.3219
22.000000 83.710 -160.6179
22.400000 83.711 -161.1877
22.700001 83.714 -161.5820
23.000000 83.721 -161.9591
23.299999 83.729 -162.3404
23.600000 83.739 -162.7106
24.000000 83.754 -163.1816
24.299999 83.767 -163.5348
24.700001 83.787 -163.9907
25.000000 83.802 -164.3267
25.400000 83.820 -164.7847
25.799999 83.833 -165.2206
26.200001 83.842 -165.6278
26.500000 83.848 -165.9148
26.900000 83.859 -166.2784
27.200001 83.868 -166.5596
27.600000 83.878 -166.9541
28.000000 83.882 -167.3540
28.500000 83.883 -167.8483
29.000000 83.887 -168.3404
29.500000 83.894 -168.9193
30.000000 83.885 -169.5674
30.400000 83.860 -170.0420
30.700001 83.836 -170.3041
31.100000 83.816 -170.5173
31.500000 83.826 -170.6658
32.000000 83.881 -170.9797
32.500000 83.945 -171.6113
33.000000 83.971 -172.4389
33.500000 83.951 -173.1953
34.000000 83.911 -173.7115
34.500000 83.881 -174.0488
35.000000 83.862 -174.3300
35.500000 83.839 -174.6035
36.000000 83.811 -174.8238
36.500000 83.786 -174.9931
37.000000 83.769 -175.1797
37.500000 83.752 -175.4556
38.200001 83.705 -175.9159
38.700001 83.661 -176.1855
39.500000 83.617 -176.5407
40.000000 83.609 -176.8571
40.599998 83.598 -177.3799
41.200001 83.576 -177.9259
41.799999 83.553 -178.3771
42.500000 83.549 -178.7980
43.099998 83.569 -179.1622
43.700001 83.599 -179.6072
44.400002 83.621 179.7814
45.000000 83.616 179.3095
45.500000 83.604 179.0273
46.200001 83.593 178.7750
46.799999 83.591 178.5808
47.500000 83.583 178.3281
48.200001 83.566 178.1048
48.700001 83.555 177.9748
49.400002 83.546 177.7833
50.000000 83.542 177.5488
50.799999 83.524 177.1514
51.500000 83.498 176.8659
52.200001 83.487 176.6313
53.000000 83.485 176.1985
53.799999 83.454 175.6863
54.500000 83.415 175.3982
55.200001 83.393 175.1816
56.000000 83.375 174.8865
57.000000 83.359 174.4884
58.000000 83.338 173.9651
59.000000 83.288 173.5508
60.000000 83.264 173.2431
60.799999 83.240 172.8857
61.500000 83.202 172.6702
62.200001 83.181 172.5864
63.000000 83.185 172.3960
64.000000 83.164 171.8836
65.000000 83.105 171.6145
66.000000 83.087 171.5038
67.000000 83.075 171.1235
68.000000 83.026 170.7520
69.000000 82.981 170.5735
70.000000 82.956 170.3506
71.000000 82.928 170.0087
72.000000 82.888 169.6562
73.000000 82.845 169.3627
74.000000 82.808 169.1143
75.000000 82.782 168.8726
76.199997 82.753 168.5178
77.500000 82.706 168.1616
78.800003 82.658 167.9119
80.000000 82.615 167.6644
81.199997 82.568 167.4154
82.500000 82.518 167.1387
83.800003 82.471 166.8505
85.000000 82.428 166.5741
86.199997 82.383 166.3545
87.500000 82.345 166.2160
88.500000 82.325 166.0796
90.000000 82.285 165.7962
91.199997 82.243 165.6074
92.500000 82.197 165.4297
93.800003 82.153 165.2673
95.000000 82.116 165.0866
96.199997 82.074 164.8793
97.500000 82.030 164.6985
98.800003 81.989 164.4807
100.000000 81.944 164.2783
101.500000 81.888 164.1135
103.000000 81.839 163.9813
104.400002 81.796 163.8480
106.000000 81.742 163.6559
107.500000 81.679 163.4937
109.000000 81.616 163.4217
110.599998 81.555 163.3300
112.000000 81.497 163.2663
113.800003 81.430 163.3168
115.000000 81.394 163.3663
117.199997 81.323 163.4802
118.000000 81.302 163.5759
120.599998 81.270 163.6420
122.000000 81.245 163.5305
124.099998 81.212 163.4097
125.000000 81.203 163.3533
126.500000 81.186 163.2430
128.000000 81.162 163.1322
131.500000 81.079 163.0750
132.000000 81.068 163.0867
134.000000 81.030 163.1399
136.000000 81.000 163.1725
138.000000 80.975 163.1965
140.000000 80.963 163.1870
143.000000 80.955 162.9028
145.000000 80.934 162.6388
147.500000 80.883 162.3675
150.000000 80.818 162.1955
152.500000 80.750 162.0240
155.000000 80.694 161.9268
157.500000 80.655 161.9220
160.000000 80.615 161.9761
162.500000 80.566 161.9879
165.000000 80.508 161.8791
167.500000 80.446 161.7853
170.000000 80.388 161.7838
172.500000 80.334 161.7192
175.000000 80.269 161.6317
177.500000 80.200 161.6136
180.000000 80.137 161.6120
182.500000 80.076 161.5076
185.000000 80.012 161.3913
187.500000 79.942 161.4420
190.000000 79.879 161.6320
192.500000 79.819 161.7089
195.000000 79.760 161.6836
197.500000 79.711 161.6717
200.000000 79.664 161.6947
203.000000 79.609 161.7648
206.000000 79.551 161.8036
209.000000 79.494 161.8862
212.000000 79.442 161.9712
214.000000 79.408 161.9999
218.000000 79.335 162.0949
220.000000 79.297 162.1462
224.000000 79.236 162.2805
227.000000 79.200 162.4250
230.000000 79.157 162.5730
233.000000 79.105 162.6871
236.000000 79.058 162.7546
240.000000 79.002 162.9022
243.000000 78.962 163.0731
247.000000 78.912 163.3198
250.000000 78.873 163.4837
254.000000 78.816 163.6749
258.000000 78.761 163.8613
262.000000 78.709 164.0298
265.000000 78.672 164.1741
269.000000 78.623 164.3866
272.000000 78.584 164.5309
276.000000 78.531 164.7386
280.000000 78.479 164.9436
285.000000 78.419 165.1897
290.000000 78.367 165.4887
295.000000 78.308 165.7818
300.000000 78.247 166.0812
304.000000 78.199 166.3120
307.000000 78.165 166.4828
311.000000 78.123 166.6848
