* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 4:50:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith dddd R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.000 120.8622
1.015000 71.022 120.8485
1.030000 71.040 120.8588
1.044000 71.052 120.8912
1.060000 71.061 120.9565
1.075000 71.064 121.0463
1.090000 71.062 121.1642
1.106000 71.056 121.3163
1.120000 71.047 121.4620
1.138000 71.033 121.6598
1.150000 71.020 121.7982
1.172000 70.992 122.0656
1.180000 70.979 122.1669
1.206000 70.931 122.5180
1.220000 70.900 122.7224
1.241000 70.846 123.0517
1.250000 70.819 123.2019
1.265000 70.771 123.4654
1.280000 70.718 123.7466
1.315000 70.570 124.4799
1.320000 70.546 124.5943
1.340000 70.443 125.0789
1.360000 70.328 125.6091
1.380000 70.200 126.2004
1.400000 70.059 126.8509
1.430000 69.820 127.9411
1.450000 69.642 128.7508
1.475000 69.390 129.8560
1.500000 69.090 131.0489
1.525000 68.740 132.3270
1.550000 68.348 133.7000
1.575000 67.923 135.1847
1.600000 67.475 136.7975
1.625000 67.011 138.5423
1.650000 66.543 140.4329
1.675000 66.078 142.4831
1.700000 65.627 144.7063
1.725000 65.198 147.1151
1.750000 64.802 149.7202
1.775000 64.446 152.5253
1.800000 64.142 155.5297
1.825000 63.894 158.7401
1.850000 63.700 162.1509
1.875000 63.546 165.7525
1.900000 63.424 169.5261
1.925000 63.333 173.4420
1.950000 63.270 177.4622
1.975000 63.234 -178.4620
2.000000 63.222 -174.3835
2.030000 63.238 -169.5466
2.060000 63.285 -164.8510
2.090000 63.358 -160.3679
2.120000 63.454 -156.1526
2.140000 63.531 -153.5098
2.180000 63.708 -148.6573
2.200000 63.812 -146.4445
2.240000 64.071 -142.3637
2.270000 64.316 -139.5689
2.300000 64.598 -136.9912
2.330000 64.910 -134.6225
2.360000 65.243 -132.4526
2.400000 65.709 -129.8694
2.430000 66.064 -128.1353
2.470000 66.529 -126.0670
2.500000 66.863 -124.6833
2.540000 67.274 -123.0397
2.580000 67.643 -121.6035
2.620000 67.988 -120.3362
2.650000 68.238 -119.4612
2.690000 68.561 -118.3860
2.720000 68.796 -117.6434
2.760000 69.099 -116.7308
2.800000 69.392 -115.9305
2.850000 69.744 -115.0424
2.900000 70.081 -114.2637
2.950000 70.401 -113.5786
3.000000 70.703 -112.9872
3.040000 70.932 -112.5624
3.070000 71.096 -112.2645
3.110000 71.307 -111.8930
3.150000 71.510 -111.5496
3.200000 71.754 -111.1810
3.250000 71.989 -110.8632
3.300000 72.216 -110.5829
3.350000 72.434 -110.3344
3.400000 72.642 -110.1361
3.450000 72.839 -109.9684
3.500000 73.026 -109.8167
3.550000 73.207 -109.6768
3.600000 73.381 -109.5740
3.650000 73.549 -109.4917
3.700000 73.712 -109.4196
3.750000 73.867 -109.3591
3.820000 74.074 -109.3269
3.870000 74.213 -109.3181
3.950000 74.427 -109.3066
4.000000 74.555 -109.3227
4.060000 74.703 -109.3557
4.120000 74.843 -109.3949
4.180000 74.977 -109.4472
4.250000 75.126 -109.5450
4.310000 75.247 -109.6216
4.370000 75.364 -109.6939
4.440000 75.495 -109.8073
4.500000 75.601 -109.9049
4.550000 75.686 -109.9846
4.620000 75.800 -110.1217
4.680000 75.893 -110.2375
4.750000 75.998 -110.3582
4.820000 76.099 -110.4966
4.870000 76.168 -110.5976
4.940000 76.261 -110.7320
5.000000 76.338 -110.8565
5.080000 76.436 -111.0223
5.150000 76.520 -111.1516
5.220000 76.600 -111.2941
5.300000 76.688 -111.4548
5.380000 76.772 -111.6067
5.450000 76.844 -111.7537
5.520000 76.914 -111.8856
5.600000 76.993 -112.0381
5.700000 77.087 -112.2375
5.800000 77.179 -112.4280
5.900000 77.270 -112.6236
6.000000 77.359 -112.8104
6.080000 77.429 -112.9697
6.150000 77.490 -113.0986
6.220000 77.552 -113.2411
6.300000 77.622 -113.3992
6.400000 77.710 -113.5946
6.500000 77.799 -113.8052
6.600000 77.890 -114.0208
6.700000 77.982 -114.2521
6.800000 78.076 -114.4890
6.900000 78.171 -114.7517
7.000000 78.268 -115.0326
7.100000 78.366 -115.3406
7.200000 78.466 -115.6665
7.300000 78.566 -116.0273
7.400000 78.665 -116.4153
7.500000 78.765 -116.8387
7.620000 78.882 -117.3802
7.750000 79.005 -118.0131
7.880000 79.124 -118.7055
8.000000 79.228 -119.3658
8.120000 79.324 -120.0480
8.250000 79.420 -120.8114
8.380000 79.508 -121.5739
8.500000 79.582 -122.2725
8.620000 79.649 -122.9612
8.750000 79.714 -123.6795
8.850000 79.760 -124.2051
9.000000 79.822 -124.9424
9.120000 79.868 -125.4888
9.250000 79.917 -126.0247
9.380000 79.966 -126.5039
9.500000 80.014 -126.9139
9.620000 80.064 -127.2842
9.750000 80.122 -127.6519
9.880000 80.180 -128.0025
10.000000 80.233 -128.3084
10.150000 80.298 -128.7267
10.300000 80.364 -129.1463
10.440000 80.425 -129.5457
10.600000 80.493 -130.0177
10.750000 80.555 -130.4835
10.900000 80.615 -130.9672
11.060000 80.673 -131.5269
11.200000 80.720 -132.0688
11.380000 80.771 -132.7544
11.500000 80.797 -133.1985
11.720000 80.832 -133.9632
11.800000 80.840 -134.2188
12.060000 80.855 -134.9771
12.200000 80.858 -135.3558
12.410000 80.863 -135.8202
12.500000 80.868 -135.9792
12.650000 80.882 -136.1921
12.800000 80.902 -136.3467
13.150000 80.979 -136.5797
13.200000 80.994 -136.6108
13.400000 81.064 -136.7248
13.600000 81.151 -136.8641
13.800000 81.252 -137.0699
14.000000 81.362 -137.3888
14.300000 81.532 -138.1823
14.500000 81.633 -138.8770
14.750000 81.734 -139.8758
15.000000 81.797 -140.9409
15.250000 81.822 -142.0103
15.500000 81.816 -142.9146
15.750000 81.795 -143.5763
16.000000 81.781 -143.9741
16.250000 81.797 -144.2148
16.500000 81.854 -144.3765
16.750000 81.952 -144.6100
17.000000 82.076 -145.0450
17.250000 82.206 -145.7654
17.500000 82.317 -146.7280
17.750000 82.394 -147.8425
18.000000 82.428 -148.9959
18.250000 82.421 -150.0929
18.500000 82.384 -151.0065
18.750000 82.332 -151.6813
19.000000 82.279 -152.1125
19.250000 82.241 -152.3683
19.500000 82.222 -152.4934
19.750000 82.223 -152.5536
20.000000 82.239 -152.5974
20.299999 82.273 -152.6859
20.600000 82.315 -152.7783
20.900000 82.368 -152.8685
21.200001 82.432 -152.9919
21.400000 82.482 -153.1091
21.799999 82.595 -153.4742
22.000000 82.652 -153.7421
22.400000 82.751 -154.4642
22.700001 82.804 -155.0953
23.000000 82.835 -155.7368
23.299999 82.847 -156.3489
23.600000 82.848 -156.8825
24.000000 82.844 -157.4631
24.299999 82.843 -157.8408
24.700001 82.849 -158.2960
25.000000 82.857 -158.6287
25.400000 82.868 -159.0987
25.799999 82.872 -159.5689
26.200001 82.867 -160.0030
26.500000 82.857 -160.2628
26.900000 82.849 -160.4634
27.200001 82.857 -160.5161
27.600000 82.902 -160.5457
28.000000 82.990 -160.7103
28.500000 83.127 -161.4023
29.000000 83.219 -162.6458
29.500000 83.205 -164.0519
30.000000 83.101 -165.0178
30.400000 83.012 -165.2654
30.700001 82.979 -165.2106
31.100000 83.000 -165.0954
31.500000 83.076 -165.2636
32.000000 83.170 -166.0571
32.500000 83.185 -167.2129
33.000000 83.113 -168.1575
33.500000 83.021 -168.5858
34.000000 82.975 -168.6490
34.500000 82.986 -168.7214
35.000000 83.015 -168.9717
35.500000 83.039 -169.3358
36.000000 83.060 -169.7136
36.500000 83.084 -170.1328
37.000000 83.105 -170.6403
37.500000 83.104 -171.1989
38.200001 83.068 -171.8284
38.700001 83.041 -172.0884
39.500000 83.036 -172.3748
40.000000 83.048 -172.6234
40.599998 83.059 -173.0145
41.200001 83.061 -173.4316
41.799999 83.060 -173.8549
42.500000 83.051 -174.3855
43.099998 83.034 -174.8385
43.700001 83.012 -175.2550
44.400002 82.984 -175.7197
45.000000 82.956 -176.0882
45.500000 82.933 -176.3442
46.200001 82.920 -176.6757
46.799999 82.919 -177.0673
47.500000 82.895 -177.5960
48.200001 82.856 -177.9118
48.700001 82.851 -178.0229
49.400002 82.882 -178.3325
50.000000 82.897 -178.8350
50.799999 82.868 -179.4641
51.500000 82.840 -179.8076
52.200001 82.824 179.8242
53.000000 82.778 179.3834
53.799999 82.725 179.1563
54.500000 82.703 178.9877
55.200001 82.680 178.7323
56.000000 82.648 178.5151
57.000000 82.646 178.2914
58.000000 82.651 177.8493
59.000000 82.631 177.5356
60.000000 82.640 177.4531
60.799999 82.671 177.3094
61.500000 82.694 177.0682
62.200001 82.706 176.7761
63.000000 82.706 176.4031
64.000000 82.683 175.8982
65.000000 82.653 175.4230
66.000000 82.619 174.8557
67.000000 82.575 174.3516
68.000000 82.548 173.8936
69.000000 82.520 173.4138
70.000000 82.489 173.0601
71.000000 82.465 172.7713
72.000000 82.437 172.5022
73.000000 82.403 172.2491
74.000000 82.356 171.9787
75.000000 82.299 171.7660
76.199997 82.245 171.5352
77.500000 82.200 171.0950
78.800003 82.124 170.5052
80.000000 82.024 170.2161
81.199997 81.954 170.3352
82.500000 81.962 170.4076
83.800003 81.981 169.8059
85.000000 81.901 168.9213
86.199997 81.719 168.4882
87.500000 81.508 168.9154
88.500000 81.389 169.7670
90.000000 81.359 171.4193
91.199997 81.462 172.4088
92.500000 81.649 172.5986
93.800003 81.783 171.7972
95.000000 81.828 170.9338
96.199997 81.844 170.1510
97.500000 81.843 169.4140
98.800003 81.832 168.7685
100.000000 81.810 168.2727
101.500000 81.771 167.7984
103.000000 81.725 167.4707
104.400002 81.683 167.1871
106.000000 81.625 166.8658
107.500000 81.573 166.5759
109.000000 81.518 166.2430
110.599998 81.453 165.9545
112.000000 81.402 165.7964
113.800003 81.346 165.5510
115.000000 81.298 165.3896
117.199997 81.216 165.2059
118.000000 81.193 165.1080
120.599998 81.103 164.7200
122.000000 81.055 164.6484
124.099998 80.996 164.6447
125.000000 80.972 164.6647
126.500000 80.934 164.7212
128.000000 80.902 164.7643
131.500000 80.852 164.6906
132.000000 80.847 164.6643
134.000000 80.825 164.5246
136.000000 80.791 164.3936
138.000000 80.751 164.2780
140.000000 80.707 164.1361
143.000000 80.644 163.9216
145.000000 80.598 163.7671
147.500000 80.535 163.6341
150.000000 80.476 163.5838
152.500000 80.424 163.5563
155.000000 80.372 163.5280
157.500000 80.309 163.4761
160.000000 80.247 163.5936
162.500000 80.198 163.7927
165.000000 80.158 163.9615
167.500000 80.140 164.0156
170.000000 80.131 163.8853
172.500000 80.115 163.6594
175.000000 80.082 163.4378
177.500000 80.032 163.2195
180.000000 79.967 163.0461
182.500000 79.904 162.9000
185.000000 79.843 162.7510
187.500000 79.781 162.6252
190.000000 79.712 162.5390
192.500000 79.642 162.4855
195.000000 79.575 162.4267
197.500000 79.512 162.4151
200.000000 79.451 162.4345
203.000000 79.383 162.4779
206.000000 79.324 162.4918
209.000000 79.270 162.5037
212.000000 79.220 162.5635
214.000000 79.188 162.5984
218.000000 79.122 162.6826
220.000000 79.088 162.7166
224.000000 79.021 162.7945
227.000000 78.969 162.8944
230.000000 78.915 163.0031
233.000000 78.866 163.0972
236.000000 78.825 163.1821
240.000000 78.768 163.3052
243.000000 78.721 163.4243
247.000000 78.662 163.5781
250.000000 78.618 163.7059
254.000000 78.559 163.9067
258.000000 78.501 164.1152
262.000000 78.442 164.2977
265.000000 78.395 164.4135
269.000000 78.337 164.5883
272.000000 78.300 164.7396
276.000000 78.253 164.8955
280.000000 78.200 165.0495
285.000000 78.138 165.3143
290.000000 78.073 165.5613
295.000000 78.016 165.7972
300.000000 77.957 166.0709
304.000000 77.907 166.2876
307.000000 77.871 166.4483
311.000000 77.826 166.6525
315.000000 77.781 166.8654
320.000000 77.729 167.1268
