* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 5:07:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uddd L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.401 -87.4633
1.015000 66.586 -87.0703
1.030000 66.770 -86.6991
1.044000 66.940 -86.3726
1.060000 67.132 -86.0231
1.075000 67.310 -85.7182
1.090000 67.487 -85.4344
1.106000 67.674 -85.1481
1.120000 67.838 -84.9006
1.138000 68.052 -84.5803
1.150000 68.195 -84.3663
1.172000 68.460 -83.9773
1.180000 68.556 -83.8386
1.206000 68.870 -83.3974
1.220000 69.038 -83.1677
1.241000 69.287 -82.8362
1.250000 69.393 -82.6995
1.265000 69.568 -82.4798
1.280000 69.740 -82.2709
1.315000 70.129 -81.8297
1.320000 70.183 -81.7724
1.340000 70.393 -81.5579
1.360000 70.594 -81.3685
1.380000 70.785 -81.1944
1.400000 70.965 -81.0427
1.430000 71.212 -80.8658
1.450000 71.359 -80.7809
1.475000 71.521 -80.6993
1.500000 71.657 -80.6143
1.525000 71.769 -80.5164
1.550000 71.858 -80.4118
1.575000 71.930 -80.3030
1.600000 71.986 -80.1924
1.625000 72.029 -80.0950
1.650000 72.063 -80.0158
1.675000 72.091 -79.9594
1.700000 72.116 -79.9296
1.725000 72.140 -79.9297
1.750000 72.168 -79.9626
1.775000 72.202 -80.0348
1.800000 72.245 -80.1522
1.825000 72.299 -80.3047
1.850000 72.362 -80.4796
1.875000 72.429 -80.6592
1.900000 72.499 -80.8381
1.925000 72.570 -81.0169
1.950000 72.642 -81.1972
1.975000 72.715 -81.3846
2.000000 72.789 -81.5844
2.030000 72.878 -81.8329
2.060000 72.968 -82.0942
2.090000 73.057 -82.3713
2.120000 73.146 -82.6670
2.140000 73.205 -82.8757
2.180000 73.322 -83.3311
2.200000 73.379 -83.5799
2.240000 73.493 -84.0931
2.270000 73.578 -84.4825
2.300000 73.664 -84.8727
2.330000 73.749 -85.2626
2.360000 73.834 -85.6518
2.400000 73.946 -86.1910
2.430000 74.030 -86.5982
2.470000 74.140 -87.1421
2.500000 74.221 -87.5523
2.540000 74.327 -88.1048
2.580000 74.431 -88.6795
2.620000 74.534 -89.2897
2.650000 74.610 -89.7503
2.690000 74.709 -90.3635
2.720000 74.783 -90.8197
2.760000 74.880 -91.4187
2.800000 74.975 -92.0343
2.850000 75.091 -92.7883
2.900000 75.203 -93.5193
2.950000 75.311 -94.2342
3.000000 75.415 -94.9743
3.040000 75.496 -95.5745
3.070000 75.555 -96.0203
3.110000 75.632 -96.6045
3.150000 75.708 -97.1731
3.200000 75.800 -97.8793
3.250000 75.890 -98.5609
3.300000 75.978 -99.2070
3.350000 76.064 -99.8300
3.400000 76.146 -100.4642
3.450000 76.227 -101.0917
3.500000 76.305 -101.6961
3.550000 76.383 -102.2712
3.600000 76.459 -102.8396
3.650000 76.535 -103.3833
3.700000 76.611 -103.8958
3.750000 76.685 -104.3858
3.820000 76.787 -105.0757
3.870000 76.860 -105.5508
3.950000 76.976 -106.2613
4.000000 77.048 -106.6965
4.060000 77.137 -107.1981
4.120000 77.225 -107.6676
4.180000 77.315 -108.1178
4.250000 77.419 -108.6499
4.310000 77.509 -109.0818
4.370000 77.599 -109.4988
4.440000 77.706 -109.9995
4.500000 77.798 -110.4105
4.550000 77.875 -110.7396
4.620000 77.983 -111.2143
4.680000 78.075 -111.6146
4.750000 78.182 -112.0679
4.820000 78.288 -112.5402
4.870000 78.364 -112.8775
4.940000 78.469 -113.3378
5.000000 78.557 -113.7367
5.080000 78.673 -114.2620
5.150000 78.770 -114.7033
5.220000 78.865 -115.1591
5.300000 78.970 -115.6749
5.380000 79.072 -116.1679
5.450000 79.158 -116.5946
5.520000 79.240 -116.9879
5.600000 79.330 -117.4249
5.700000 79.437 -117.9550
5.800000 79.540 -118.4294
5.900000 79.642 -118.8476
6.000000 79.740 -119.2035
6.080000 79.817 -119.4641
6.150000 79.887 -119.6568
6.220000 79.958 -119.8376
6.300000 80.043 -120.0056
6.400000 80.152 -120.1686
6.500000 80.267 -120.3176
6.600000 80.390 -120.4591
6.700000 80.522 -120.5990
6.800000 80.661 -120.7322
6.900000 80.807 -120.9057
7.000000 80.958 -121.1282
7.100000 81.116 -121.4011
7.200000 81.276 -121.7160
7.300000 81.435 -122.1007
7.400000 81.592 -122.5536
7.500000 81.746 -123.0759
7.620000 81.923 -123.7658
7.750000 82.102 -124.5887
7.880000 82.265 -125.5023
8.000000 82.402 -126.3711
8.120000 82.523 -127.2487
8.250000 82.637 -128.2142
8.380000 82.736 -129.1622
8.500000 82.818 -130.0066
8.620000 82.891 -130.8227
8.750000 82.962 -131.6774
8.850000 83.014 -132.3125
9.000000 83.087 -133.2267
9.120000 83.142 -133.9532
9.250000 83.202 -134.7459
9.380000 83.259 -135.5448
9.500000 83.306 -136.3111
9.620000 83.346 -137.1088
9.750000 83.380 -138.0042
9.880000 83.393 -138.9082
10.000000 83.382 -139.7389
10.150000 83.339 -140.7933
10.300000 83.262 -141.7157
10.440000 83.160 -142.4316
10.600000 83.020 -142.9964
10.750000 82.876 -143.1938
10.900000 82.733 -143.0636
11.060000 82.614 -142.5754
11.200000 82.549 -141.8930
11.380000 82.547 -140.8142
11.500000 82.607 -140.0518
11.720000 82.827 -138.9140
11.800000 82.939 -138.6756
12.060000 83.374 -138.7190
12.200000 83.615 -139.3849
12.410000 83.945 -141.0660
12.500000 84.063 -141.9999
12.650000 84.218 -143.7981
12.800000 84.311 -145.7544
13.150000 84.250 -150.4270
13.200000 84.209 -151.0345
13.400000 83.973 -153.1428
13.600000 83.648 -154.4894
13.800000 83.277 -154.8158
14.000000 82.943 -154.0465
14.300000 82.671 -151.2272
14.500000 82.729 -148.9073
14.750000 83.044 -146.5927
15.000000 83.521 -145.6231
15.250000 84.003 -146.2106
15.500000 84.385 -147.9121
15.750000 84.613 -150.2256
16.000000 84.678 -152.6210
16.250000 84.609 -154.6892
16.500000 84.455 -156.0918
16.750000 84.282 -156.6823
17.000000 84.156 -156.5861
17.250000 84.119 -156.1350
17.500000 84.176 -155.6926
17.750000 84.292 -155.5597
18.000000 84.424 -155.8423
18.250000 84.530 -156.5067
18.500000 84.589 -157.3508
18.750000 84.600 -158.1872
19.000000 84.575 -158.8741
19.250000 84.540 -159.3726
19.500000 84.514 -159.6924
19.750000 84.508 -159.9189
20.000000 84.524 -160.1579
20.299999 84.557 -160.5885
20.600000 84.585 -161.1569
20.900000 84.594 -161.7942
21.200001 84.584 -162.4198
21.400000 84.573 -162.7921
21.799999 84.557 -163.4133
22.000000 84.558 -163.6955
22.400000 84.576 -164.3322
22.700001 84.593 -164.8987
23.000000 84.601 -165.5270
23.299999 84.592 -166.1714
23.600000 84.569 -166.7434
24.000000 84.533 -167.3118
24.299999 84.517 -167.6153
24.700001 84.525 -167.9358
25.000000 84.550 -168.2038
25.400000 84.596 -168.7092
25.799999 84.631 -169.3633
26.200001 84.638 -170.0727
26.500000 84.625 -170.5542
26.900000 84.596 -171.0345
27.200001 84.578 -171.2765
27.600000 84.571 -171.5148
28.000000 84.586 -171.7783
28.500000 84.611 -172.2855
29.000000 84.611 -172.9107
29.500000 84.582 -173.4717
30.000000 84.552 -173.8636
30.400000 84.543 -174.1272
30.700001 84.546 -174.3456
31.100000 84.553 -174.7042
31.500000 84.556 -175.1382
32.000000 84.550 -175.7067
32.500000 84.535 -176.2666
33.000000 84.514 -176.7917
33.500000 84.486 -177.2605
34.000000 84.457 -177.6210
34.500000 84.440 -177.8951
35.000000 84.443 -178.1677
35.500000 84.453 -178.5320
36.000000 84.456 -178.9818
36.500000 84.445 -179.4636
37.000000 84.422 -179.9268
37.500000 84.389 179.6444
38.200001 84.330 179.1667
38.700001 84.291 178.9298
39.500000 84.255 178.5812
40.000000 84.241 178.2979
40.599998 84.220 177.9183
41.200001 84.201 177.5242
41.799999 84.180 177.0757
42.500000 84.133 176.5872
43.099998 84.093 176.3646
43.700001 84.085 176.2107
44.400002 84.094 175.8155
45.000000 84.072 175.4072
45.500000 84.043 175.2087
46.200001 84.040 175.0574
46.799999 84.066 174.6889
47.500000 84.053 173.9492
48.200001 83.978 173.3758
48.700001 83.925 173.2073
49.400002 83.892 173.0689
50.000000 83.885 172.7971
50.799999 83.853 172.2625
51.500000 83.804 171.9048
52.200001 83.768 171.6926
53.000000 83.746 171.4161
53.799999 83.717 171.0949
54.500000 83.691 170.8745
55.200001 83.672 170.6434
56.000000 83.641 170.3231
57.000000 83.585 170.0159
58.000000 83.540 169.7745
59.000000 83.500 169.4641
60.000000 83.460 169.0854
60.799999 83.422 168.7552
61.500000 83.388 168.5009
62.200001 83.359 168.2713
63.000000 83.330 168.0145
64.000000 83.294 167.7095
65.000000 83.258 167.4402
66.000000 83.214 167.2104
67.000000 83.166 167.0556
68.000000 83.119 166.9325
69.000000 83.085 166.7958
70.000000 83.054 166.4517
71.000000 82.994 166.0202
72.000000 82.930 165.7379
73.000000 82.883 165.4738
74.000000 82.836 165.2116
75.000000 82.791 165.0018
76.199997 82.730 164.8785
77.500000 82.682 164.9171
78.800003 82.644 164.9461
80.000000 82.622 164.9274
81.199997 82.601 164.7684
82.500000 82.574 164.4861
83.800003 82.534 164.1331
85.000000 82.488 163.8702
86.199997 82.450 163.6620
87.500000 82.416 163.3302
88.500000 82.370 163.0434
90.000000 82.303 162.8161
91.199997 82.263 162.6078
92.500000 82.217 162.3406
93.800003 82.160 162.1229
95.000000 82.108 161.9731
96.199997 82.052 161.8572
97.500000 81.995 161.8056
98.800003 81.948 161.7440
100.000000 81.909 161.6507
101.500000 81.859 161.4785
103.000000 81.796 161.3186
104.400002 81.734 161.2523
106.000000 81.667 161.1744
107.500000 81.602 161.1182
109.000000 81.547 161.0593
110.599998 81.486 160.9698
112.000000 81.425 160.9544
113.800003 81.353 161.0765
115.000000 81.314 161.1395
117.199997 81.249 161.1686
118.000000 81.229 161.1632
120.599998 81.169 161.2274
122.000000 81.145 161.3387
124.099998 81.110 161.4716
125.000000 81.091 161.4909
126.500000 81.056 161.4905
128.000000 81.023 161.4269
131.500000 80.940 161.1668
132.000000 80.926 161.1683
134.000000 80.873 161.3234
136.000000 80.836 161.5975
138.000000 80.825 161.8236
140.000000 80.832 161.8423
143.000000 80.837 161.6640
145.000000 80.830 161.5000
147.500000 80.798 161.3188
150.000000 80.748 161.1218
152.500000 80.682 160.9942
155.000000 80.625 160.8962
157.500000 80.575 160.7695
160.000000 80.534 160.6752
162.500000 80.482 160.6492
165.000000 80.421 160.7010
167.500000 80.357 160.6433
170.000000 80.289 160.5786
172.500000 80.224 160.5949
175.000000 80.154 160.5930
177.500000 80.080 160.5471
180.000000 80.016 160.5682
182.500000 79.968 160.6669
185.000000 79.920 160.7479
187.500000 79.863 160.7365
190.000000 79.808 160.7432
192.500000 79.758 160.8058
195.000000 79.706 160.9077
197.500000 79.649 160.9815
200.000000 79.590 161.0380
203.000000 79.529 161.0812
206.000000 79.470 161.0983
209.000000 79.413 161.1528
212.000000 79.361 161.2794
214.000000 79.328 161.3734
218.000000 79.263 161.5337
220.000000 79.231 161.5806
224.000000 79.178 161.6900
227.000000 79.138 161.8180
230.000000 79.090 161.9805
233.000000 79.043 162.1547
236.000000 78.999 162.3054
240.000000 78.940 162.4948
243.000000 78.902 162.6625
247.000000 78.858 162.8571
250.000000 78.822 162.9801
254.000000 78.771 163.1725
258.000000 78.718 163.3981
262.000000 78.662 163.5970
265.000000 78.620 163.7563
269.000000 78.565 163.9935
272.000000 78.524 164.1679
276.000000 78.470 164.4096
280.000000 78.418 164.6650
285.000000 78.359 164.9312
290.000000 78.302 165.1382
295.000000 78.250 165.4119
300.000000 78.193 165.7701
304.000000 78.146 166.0627
307.000000 78.113 166.2703
311.000000 78.074 166.5081
