* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 4:50:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uddd R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.265 38.2360
1.015000 74.320 37.9903
1.030000 74.372 37.7312
1.044000 74.419 37.4769
1.060000 74.468 37.1705
1.075000 74.512 36.8671
1.090000 74.552 36.5468
1.106000 74.592 36.1835
1.120000 74.627 35.8436
1.138000 74.671 35.3756
1.150000 74.700 35.0452
1.172000 74.752 34.4034
1.180000 74.770 34.1584
1.206000 74.827 33.3278
1.220000 74.855 32.8607
1.241000 74.893 32.1370
1.250000 74.908 31.8192
1.265000 74.930 31.2802
1.280000 74.949 30.7307
1.315000 74.979 29.4135
1.320000 74.981 29.2218
1.340000 74.985 28.4478
1.360000 74.980 27.6628
1.380000 74.965 26.8794
1.400000 74.939 26.0922
1.430000 74.879 24.8991
1.450000 74.823 24.0957
1.475000 74.732 23.0745
1.500000 74.613 22.0141
1.525000 74.467 20.9076
1.550000 74.296 19.7585
1.575000 74.106 18.5763
1.600000 73.899 17.3690
1.625000 73.680 16.1309
1.650000 73.453 14.8649
1.675000 73.221 13.5734
1.700000 72.990 12.2582
1.725000 72.762 10.9203
1.750000 72.542 9.5603
1.775000 72.334 8.1737
1.800000 72.141 6.7553
1.825000 71.966 5.3088
1.850000 71.806 3.8192
1.875000 71.653 2.2711
1.900000 71.505 0.6649
1.925000 71.361 -0.9921
1.950000 71.223 -2.6914
1.975000 71.089 -4.4284
2.000000 70.961 -6.1990
2.030000 70.815 -8.3471
2.060000 70.678 -10.5101
2.090000 70.551 -12.6773
2.120000 70.435 -14.8397
2.140000 70.364 -16.2752
2.180000 70.236 -19.1342
2.200000 70.181 -20.5651
2.240000 70.087 -23.4500
2.270000 70.031 -25.6417
2.300000 69.986 -27.8456
2.330000 69.952 -30.0479
2.360000 69.928 -32.2358
2.400000 69.910 -35.1314
2.430000 69.906 -37.2608
2.470000 69.911 -40.0243
2.500000 69.923 -42.0326
2.540000 69.947 -44.6190
2.580000 69.982 -47.1251
2.620000 70.032 -49.5967
2.650000 70.081 -51.4147
2.690000 70.159 -53.7817
2.720000 70.225 -55.5065
2.760000 70.322 -57.7281
2.800000 70.426 -59.8819
2.850000 70.562 -62.4321
2.900000 70.699 -64.8138
2.950000 70.836 -67.0390
3.000000 70.979 -69.1715
3.040000 71.099 -70.8114
3.070000 71.191 -71.9963
3.110000 71.318 -73.5140
3.150000 71.446 -74.9589
3.200000 71.609 -76.6839
3.250000 71.771 -78.3028
3.300000 71.931 -79.8080
3.350000 72.091 -81.2126
3.400000 72.253 -82.5566
3.450000 72.415 -83.8326
3.500000 72.578 -85.0346
3.550000 72.741 -86.1655
3.600000 72.904 -87.2560
3.650000 73.066 -88.2933
3.700000 73.228 -89.2674
3.750000 73.391 -90.1816
3.820000 73.618 -91.4109
3.870000 73.780 -92.2439
3.950000 74.038 -93.5018
4.000000 74.197 -94.2740
4.060000 74.388 -95.1781
4.120000 74.578 -96.0396
4.180000 74.768 -96.8684
4.250000 74.987 -97.8297
4.310000 75.171 -98.6244
4.370000 75.351 -99.4055
4.440000 75.557 -100.3395
4.500000 75.730 -101.1284
4.550000 75.872 -101.7728
4.620000 76.065 -102.6824
4.680000 76.226 -103.4460
4.750000 76.405 -104.3120
4.820000 76.576 -105.1961
4.870000 76.694 -105.8318
4.940000 76.852 -106.7075
5.000000 76.982 -107.4503
5.080000 77.144 -108.4035
5.150000 77.276 -109.1900
5.220000 77.398 -109.9796
5.300000 77.526 -110.8655
5.380000 77.644 -111.6998
5.450000 77.739 -112.3878
5.520000 77.827 -113.0043
5.600000 77.917 -113.6636
5.700000 78.017 -114.4298
5.800000 78.109 -115.0794
5.900000 78.197 -115.5977
6.000000 78.279 -115.9851
6.080000 78.342 -116.2323
6.150000 78.400 -116.3896
6.220000 78.463 -116.5139
6.300000 78.541 -116.5877
6.400000 78.644 -116.5929
6.500000 78.759 -116.5664
6.600000 78.887 -116.5391
6.700000 79.031 -116.5141
6.800000 79.188 -116.4889
6.900000 79.353 -116.5342
7.000000 79.525 -116.6750
7.100000 79.705 -116.9067
7.200000 79.887 -117.2149
7.300000 80.064 -117.6297
7.400000 80.233 -118.1552
7.500000 80.393 -118.7874
7.620000 80.570 -119.6312
7.750000 80.733 -120.6317
7.880000 80.866 -121.7422
8.000000 80.961 -122.7703
8.120000 81.028 -123.7560
8.250000 81.068 -124.7908
8.380000 81.083 -125.7190
8.500000 81.078 -126.4297
8.620000 81.058 -127.0047
8.750000 81.029 -127.4640
8.850000 81.009 -127.6820
9.000000 80.985 -127.7912
9.120000 80.981 -127.7555
9.250000 81.003 -127.6181
9.380000 81.052 -127.4017
9.500000 81.120 -127.2329
9.620000 81.212 -127.1309
9.750000 81.334 -127.1103
9.880000 81.462 -127.2430
10.000000 81.581 -127.5208
10.150000 81.724 -128.1037
10.300000 81.848 -128.8696
10.440000 81.942 -129.7397
10.600000 82.019 -130.8315
10.750000 82.058 -131.8949
10.900000 82.069 -132.9584
11.060000 82.055 -134.0296
11.200000 82.024 -134.9142
11.380000 81.971 -135.8765
11.500000 81.931 -136.3903
11.720000 81.864 -137.1131
11.800000 81.847 -137.3154
12.060000 81.818 -137.8578
12.200000 81.823 -138.1764
12.410000 81.855 -138.6878
12.500000 81.875 -138.9391
12.650000 81.914 -139.4046
12.800000 81.953 -139.9118
13.150000 82.010 -141.2102
13.200000 82.013 -141.3925
13.400000 82.016 -142.0496
13.600000 82.010 -142.5390
13.800000 82.007 -142.8274
14.000000 82.025 -142.9488
14.300000 82.111 -143.0255
14.500000 82.213 -143.1142
14.750000 82.375 -143.4322
15.000000 82.549 -144.0710
15.250000 82.702 -145.0831
15.500000 82.810 -146.2900
15.750000 82.861 -147.5298
16.000000 82.859 -148.6249
16.250000 82.824 -149.4833
16.500000 82.779 -150.0074
16.750000 82.749 -150.2214
17.000000 82.751 -150.2428
17.250000 82.790 -150.2395
17.500000 82.859 -150.3112
17.750000 82.941 -150.5250
18.000000 83.020 -150.8878
18.250000 83.086 -151.3840
18.500000 83.134 -151.9195
18.750000 83.165 -152.4324
19.000000 83.186 -152.8858
19.250000 83.206 -153.2951
19.500000 83.228 -153.6548
19.750000 83.256 -153.9921
20.000000 83.290 -154.3357
20.299999 83.335 -154.8125
20.600000 83.380 -155.3320
20.900000 83.421 -155.8853
21.200001 83.458 -156.4761
21.400000 83.479 -156.8797
21.799999 83.515 -157.6809
22.000000 83.530 -158.0752
22.400000 83.553 -158.8617
22.700001 83.564 -159.4155
23.000000 83.571 -159.9253
23.299999 83.574 -160.3930
23.600000 83.575 -160.7910
24.000000 83.582 -161.2071
24.299999 83.597 -161.4682
24.700001 83.634 -161.7912
25.000000 83.673 -162.0700
25.400000 83.728 -162.5668
25.799999 83.769 -163.1735
26.200001 83.783 -163.8002
26.500000 83.781 -164.2101
26.900000 83.777 -164.6269
27.200001 83.787 -164.8923
27.600000 83.820 -165.3179
28.000000 83.859 -165.9501
28.500000 83.867 -167.0213
29.000000 83.803 -168.0465
29.500000 83.702 -168.6589
30.000000 83.640 -168.8513
30.400000 83.645 -168.9732
30.700001 83.673 -169.1855
31.100000 83.714 -169.6945
31.500000 83.733 -170.4001
32.000000 83.710 -171.2887
32.500000 83.655 -171.9353
33.000000 83.607 -172.2381
33.500000 83.597 -172.3311
34.000000 83.633 -172.4412
34.500000 83.691 -172.7566
35.000000 83.741 -173.2821
35.500000 83.761 -173.8996
36.000000 83.754 -174.4711
36.500000 83.735 -174.9589
37.000000 83.707 -175.3730
37.500000 83.673 -175.7141
38.200001 83.628 -176.0199
38.700001 83.615 -176.1835
39.500000 83.628 -176.6347
40.000000 83.630 -177.0718
40.599998 83.618 -177.6420
41.200001 83.598 -178.1826
41.799999 83.575 -178.7010
42.500000 83.543 -179.2547
43.099998 83.518 -179.6525
43.700001 83.500 179.9703
44.400002 83.476 179.5193
45.000000 83.448 179.1987
45.500000 83.432 178.9796
46.200001 83.423 178.6121
46.799999 83.406 178.1761
47.500000 83.358 177.6818
48.200001 83.304 177.3387
48.700001 83.275 177.1280
49.400002 83.239 176.7945
50.000000 83.206 176.5001
50.799999 83.167 176.1207
51.500000 83.135 175.7410
52.200001 83.089 175.3673
53.000000 83.029 175.0855
53.799999 82.984 174.9389
54.500000 82.963 174.8327
55.200001 82.955 174.6523
56.000000 82.937 174.3347
57.000000 82.897 174.0893
58.000000 82.907 174.0243
59.000000 82.952 173.6442
60.000000 82.974 173.0093
60.799999 82.964 172.4799
61.500000 82.939 172.1158
62.200001 82.918 171.8231
63.000000 82.890 171.4608
64.000000 82.832 171.0779
65.000000 82.790 170.8205
66.000000 82.747 170.3940
67.000000 82.687 170.0940
68.000000 82.657 169.8246
69.000000 82.619 169.4001
70.000000 82.564 169.1182
71.000000 82.524 168.9785
72.000000 82.500 168.8069
73.000000 82.479 168.5195
74.000000 82.441 168.1037
75.000000 82.380 167.6966
76.199997 82.301 167.3615
77.500000 82.237 167.0750
78.800003 82.174 166.7222
80.000000 82.100 166.4554
81.199997 82.017 166.2503
82.500000 81.900 166.0114
83.800003 81.759 165.9598
85.000000 81.642 166.0634
86.199997 81.547 166.2626
87.500000 81.476 166.6417
88.500000 81.451 167.0416
90.000000 81.460 167.7928
91.199997 81.526 168.3420
92.500000 81.627 168.4908
93.800003 81.710 168.1889
95.000000 81.759 167.6828
96.199997 81.784 167.1024
97.500000 81.792 166.5604
98.800003 81.793 166.1027
100.000000 81.772 165.6978
101.500000 81.715 165.3849
103.000000 81.659 165.1301
104.400002 81.601 164.7482
106.000000 81.530 164.3272
107.500000 81.481 164.0015
109.000000 81.440 163.6754
110.599998 81.383 163.4294
112.000000 81.324 163.3260
113.800003 81.253 163.2155
115.000000 81.209 163.0805
117.199997 81.123 162.7714
118.000000 81.091 162.6796
120.599998 80.988 162.5906
122.000000 80.943 162.6837
124.099998 80.883 162.7232
125.000000 80.861 162.7311
126.500000 80.820 162.7410
128.000000 80.793 162.7974
131.500000 80.730 162.8962
132.000000 80.719 162.8896
134.000000 80.692 162.8831
136.000000 80.661 162.5220
138.000000 80.637 162.2898
140.000000 80.589 162.0672
143.000000 80.563 162.2635
145.000000 80.502 162.1548
147.500000 80.452 162.2050
150.000000 80.387 161.9265
152.500000 80.333 162.1271
155.000000 80.292 161.9518
157.500000 80.186 161.9915
160.000000 80.130 162.5753
162.500000 80.137 162.9860
165.000000 80.135 162.9977
167.500000 80.101 162.8252
170.000000 80.063 162.5914
172.500000 80.026 162.3637
175.000000 79.990 162.1895
177.500000 79.945 162.0513
180.000000 79.888 161.9859
182.500000 79.824 161.9398
185.000000 79.753 161.8377
187.500000 79.678 161.7376
190.000000 79.609 161.6720
192.500000 79.542 161.6408
195.000000 79.474 161.6281
197.500000 79.411 161.6326
200.000000 79.352 161.6502
203.000000 79.287 161.7133
206.000000 79.227 161.7610
209.000000 79.170 161.8168
212.000000 79.114 161.9087
214.000000 79.078 161.9610
218.000000 79.011 162.0554
220.000000 78.980 162.1016
224.000000 78.918 162.2259
227.000000 78.874 162.3276
230.000000 78.832 162.4252
233.000000 78.787 162.5650
236.000000 78.741 162.6902
240.000000 78.679 162.8198
243.000000 78.638 162.9508
247.000000 78.585 163.1507
250.000000 78.542 163.2832
254.000000 78.479 163.4604
258.000000 78.420 163.6336
262.000000 78.362 163.8364
265.000000 78.321 163.9685
269.000000 78.267 164.1442
272.000000 78.226 164.3132
276.000000 78.175 164.5195
280.000000 78.128 164.7175
285.000000 78.068 164.9830
290.000000 78.006 165.2341
295.000000 77.942 165.5123
300.000000 77.885 165.7730
304.000000 77.841 165.9840
307.000000 77.808 166.1573
311.000000 77.766 166.3828
315.000000 77.724 166.6228
320.000000 77.673 166.9309
325.000000 77.625 167.2367
