* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 5:06:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uudd L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.833 -97.3393
1.015000 70.975 -97.7347
1.030000 71.115 -98.1155
1.044000 71.244 -98.4584
1.060000 71.389 -98.8360
1.075000 71.522 -99.1779
1.090000 71.653 -99.5172
1.106000 71.792 -99.9143
1.120000 71.912 -100.2913
1.138000 72.066 -100.7654
1.150000 72.168 -101.0674
1.172000 72.353 -101.5918
1.180000 72.420 -101.7742
1.206000 72.633 -102.3335
1.220000 72.744 -102.6144
1.241000 72.908 -103.0103
1.250000 72.976 -103.1710
1.265000 73.087 -103.4275
1.280000 73.194 -103.6701
1.315000 73.430 -104.1859
1.320000 73.461 -104.2541
1.340000 73.583 -104.5140
1.360000 73.695 -104.7546
1.380000 73.797 -104.9661
1.400000 73.888 -105.1561
1.430000 74.003 -105.4109
1.450000 74.065 -105.5621
1.475000 74.121 -105.7329
1.500000 74.150 -105.8827
1.525000 74.153 -106.0095
1.550000 74.132 -106.1148
1.575000 74.092 -106.1949
1.600000 74.036 -106.2472
1.625000 73.967 -106.2821
1.650000 73.889 -106.3006
1.675000 73.806 -106.3036
1.700000 73.721 -106.2917
1.725000 73.638 -106.2656
1.750000 73.561 -106.2258
1.775000 73.493 -106.1767
1.800000 73.437 -106.1228
1.825000 73.395 -106.0551
1.850000 73.367 -105.9721
1.875000 73.344 -105.8715
1.900000 73.325 -105.7545
1.925000 73.309 -105.6229
1.950000 73.296 -105.4786
1.975000 73.286 -105.3274
2.000000 73.280 -105.1743
2.030000 73.276 -104.9803
2.060000 73.277 -104.7777
2.090000 73.281 -104.5684
2.120000 73.290 -104.3542
2.140000 73.298 -104.2094
2.180000 73.319 -103.9226
2.200000 73.333 -103.7820
2.240000 73.366 -103.4792
2.270000 73.396 -103.2303
2.300000 73.431 -102.9670
2.330000 73.471 -102.6944
2.360000 73.514 -102.4173
2.400000 73.578 -102.0692
2.430000 73.630 -101.8161
2.470000 73.703 -101.4913
2.500000 73.761 -101.2608
2.540000 73.842 -100.9739
2.580000 73.928 -100.7157
2.620000 74.020 -100.4761
2.650000 74.093 -100.2878
2.690000 74.196 -100.0323
2.720000 74.276 -99.8426
2.760000 74.387 -99.5980
2.800000 74.501 -99.4003
2.850000 74.646 -99.1931
2.900000 74.792 -99.0344
2.950000 74.940 -98.9192
3.000000 75.090 -98.8437
3.040000 75.214 -98.7961
3.070000 75.307 -98.7645
3.110000 75.434 -98.7311
3.150000 75.561 -98.7119
3.200000 75.720 -98.7366
3.250000 75.879 -98.8068
3.300000 76.035 -98.9132
3.350000 76.190 -99.0424
3.400000 76.346 -99.2073
3.450000 76.502 -99.3921
3.500000 76.656 -99.5880
3.550000 76.809 -99.7966
3.600000 76.960 -100.0480
3.650000 77.107 -100.3293
3.700000 77.251 -100.6290
3.750000 77.394 -100.9428
3.820000 77.589 -101.4341
3.870000 77.726 -101.7985
3.950000 77.938 -102.3834
4.000000 78.067 -102.7735
4.060000 78.217 -103.2585
4.120000 78.363 -103.7530
4.180000 78.504 -104.2607
4.250000 78.663 -104.8853
4.310000 78.795 -105.4073
4.370000 78.923 -105.9180
4.440000 79.066 -106.5380
4.500000 79.184 -107.0689
4.550000 79.278 -107.5076
4.620000 79.407 -108.1388
4.680000 79.513 -108.6664
4.750000 79.633 -109.2506
4.820000 79.748 -109.8380
4.870000 79.828 -110.2537
4.940000 79.936 -110.8195
5.000000 80.025 -111.3026
5.080000 80.141 -111.9261
5.150000 80.240 -112.4354
5.220000 80.337 -112.9416
5.300000 80.443 -113.5014
5.380000 80.548 -114.0350
5.450000 80.637 -114.5016
5.520000 80.727 -114.9391
5.600000 80.827 -115.4241
5.700000 80.951 -116.0188
5.800000 81.074 -116.5887
5.900000 81.197 -117.1523
6.000000 81.320 -117.6946
6.080000 81.418 -118.1310
6.150000 81.503 -118.5000
6.220000 81.588 -118.8825
6.300000 81.684 -119.3160
6.400000 81.804 -119.8555
6.500000 81.922 -120.4058
6.600000 82.038 -120.9559
6.700000 82.152 -121.5215
6.800000 82.263 -122.0887
6.900000 82.370 -122.6645
7.000000 82.474 -123.2365
7.100000 82.574 -123.8201
7.200000 82.670 -124.3988
7.300000 82.762 -124.9746
7.400000 82.849 -125.5368
7.500000 82.932 -126.0995
7.620000 83.026 -126.7563
7.750000 83.123 -127.4370
7.880000 83.215 -128.1025
8.000000 83.296 -128.6844
8.120000 83.375 -129.2395
8.250000 83.458 -129.8122
8.380000 83.539 -130.3587
8.500000 83.615 -130.8512
8.620000 83.692 -131.3278
8.750000 83.775 -131.8382
8.850000 83.839 -132.2343
9.000000 83.934 -132.8248
9.120000 84.009 -133.3067
9.250000 84.089 -133.8401
9.380000 84.168 -134.3809
9.500000 84.237 -134.8953
9.620000 84.303 -135.4158
9.750000 84.369 -135.9883
9.880000 84.426 -136.5609
10.000000 84.468 -137.0771
10.150000 84.508 -137.7536
10.300000 84.537 -138.3896
10.440000 84.556 -138.9436
10.600000 84.573 -139.5275
10.750000 84.586 -140.0230
10.900000 84.598 -140.4739
11.060000 84.616 -140.9447
11.200000 84.636 -141.3714
11.380000 84.665 -141.8990
11.500000 84.687 -142.2443
11.720000 84.731 -142.8816
11.800000 84.748 -143.1201
12.060000 84.802 -143.9499
12.200000 84.830 -144.4634
12.410000 84.869 -145.2544
12.500000 84.886 -145.5966
12.650000 84.915 -146.1679
12.800000 84.941 -146.7296
13.150000 84.984 -148.0112
13.200000 84.989 -148.1909
13.400000 85.005 -148.8692
13.600000 85.018 -149.4809
13.800000 85.032 -150.0270
14.000000 85.049 -150.5255
14.300000 85.085 -151.2798
14.500000 85.115 -151.7678
14.750000 85.156 -152.3821
15.000000 85.198 -153.0165
15.250000 85.237 -153.7267
15.500000 85.269 -154.4368
15.750000 85.291 -155.1186
16.000000 85.306 -155.7448
16.250000 85.318 -156.3356
16.500000 85.331 -156.8428
16.750000 85.349 -157.2725
17.000000 85.374 -157.6528
17.250000 85.408 -158.0437
17.500000 85.450 -158.4483
17.750000 85.496 -158.8867
18.000000 85.541 -159.3706
18.250000 85.582 -159.9212
18.500000 85.614 -160.4935
18.750000 85.638 -161.0607
19.000000 85.652 -161.6025
19.250000 85.662 -162.1279
19.500000 85.669 -162.6132
19.750000 85.676 -163.0660
20.000000 85.684 -163.5016
20.299999 85.695 -164.0535
20.600000 85.705 -164.6147
20.900000 85.709 -165.1813
21.200001 85.706 -165.7541
21.400000 85.701 -166.1240
21.799999 85.686 -166.8000
22.000000 85.679 -167.1070
22.400000 85.670 -167.7019
22.700001 85.669 -168.1344
23.000000 85.672 -168.5755
23.299999 85.675 -169.0474
23.600000 85.677 -169.5302
24.000000 85.677 -170.1736
24.299999 85.675 -170.6634
24.700001 85.671 -171.2980
25.000000 85.667 -171.7574
25.400000 85.659 -172.3591
25.799999 85.650 -172.9171
26.200001 85.642 -173.4391
26.500000 85.639 -173.8183
26.900000 85.639 -174.3201
27.200001 85.640 -174.7133
27.600000 85.636 -175.2526
28.000000 85.624 -175.7689
28.500000 85.602 -176.3340
29.000000 85.589 -176.7996
29.500000 85.594 -177.2981
30.000000 85.599 -177.9177
30.400000 85.588 -178.4742
30.700001 85.568 -178.8640
31.100000 85.534 -179.2910
31.500000 85.505 -179.6166
32.000000 85.493 -179.9810
32.500000 85.496 179.5319
33.000000 85.485 178.9280
33.500000 85.449 178.3608
34.000000 85.407 177.9520
34.500000 85.384 177.6222
35.000000 85.377 177.2265
35.500000 85.363 176.7272
36.000000 85.328 176.2476
36.500000 85.289 175.8831
37.000000 85.264 175.5942
37.500000 85.254 175.2494
38.200001 85.229 174.6255
38.700001 85.195 174.1977
39.500000 85.145 173.6548
40.000000 85.125 173.3063
40.599998 85.097 172.8248
41.200001 85.056 172.3692
41.799999 85.016 171.9886
42.500000 84.979 171.5559
43.099998 84.945 171.1735
43.700001 84.909 170.8304
44.400002 84.877 170.4464
45.000000 84.853 170.0349
45.500000 84.821 169.6394
46.200001 84.752 169.1757
46.799999 84.694 168.9547
47.500000 84.653 168.7819
48.200001 84.635 168.5006
48.700001 84.621 168.2136
49.400002 84.591 167.7694
50.000000 84.559 167.4006
50.799999 84.512 166.9434
51.500000 84.469 166.5909
52.200001 84.427 166.2861
53.000000 84.382 165.9592
53.799999 84.337 165.6447
54.500000 84.297 165.3940
55.200001 84.261 165.1408
56.000000 84.218 164.8104
57.000000 84.151 164.3909
58.000000 84.080 164.0517
59.000000 84.013 163.7525
60.000000 83.955 163.4766
60.799999 83.917 163.2181
61.500000 83.880 162.9512
62.200001 83.838 162.6964
63.000000 83.789 162.4490
64.000000 83.730 162.1406
65.000000 83.667 161.8755
66.000000 83.610 161.6487
67.000000 83.558 161.3591
68.000000 83.491 161.0046
69.000000 83.412 160.7409
70.000000 83.344 160.5891
71.000000 83.295 160.3970
72.000000 83.246 160.1336
73.000000 83.193 159.9057
74.000000 83.144 159.7148
75.000000 83.095 159.5402
76.199997 83.031 159.3547
77.500000 82.958 159.1843
78.800003 82.878 158.9637
80.000000 82.793 158.7310
81.199997 82.704 158.5733
82.500000 82.630 158.4564
83.800003 82.562 158.2593
85.000000 82.488 158.1628
86.199997 82.417 158.2352
87.500000 82.357 158.2821
88.500000 82.300 158.2499
90.000000 82.226 158.2321
91.199997 82.181 158.0424
92.500000 82.137 157.8186
93.800003 82.113 157.5695
95.000000 82.077 157.3286
96.199997 82.032 157.3375
97.500000 81.994 157.3901
98.800003 81.922 157.3159
100.000000 81.830 157.3665
101.500000 81.713 157.3854
103.000000 81.589 157.5653
104.400002 81.521 157.8646
106.000000 81.479 158.1325
107.500000 81.449 158.3974
109.000000 81.435 158.6761
110.599998 81.418 158.9499
112.000000 81.438 159.3132
113.800003 81.497 159.2000
115.000000 81.477 158.9663
117.199997 81.372 159.1806
118.000000 81.340 159.4100
120.599998 81.329 159.6215
122.000000 81.295 159.0833
124.099998 81.210 158.5107
125.000000 81.186 158.3867
126.500000 81.166 158.2885
128.000000 81.159 158.2648
131.500000 81.114 158.3810
132.000000 81.106 158.3871
134.000000 81.071 158.2582
136.000000 81.022 157.9242
138.000000 80.965 157.6644
140.000000 80.909 157.4532
143.000000 80.798 157.3849
145.000000 80.737 157.4316
147.500000 80.656 157.3646
150.000000 80.581 157.3878
152.500000 80.523 157.4947
155.000000 80.476 157.5865
157.500000 80.422 157.7005
160.000000 80.356 157.7625
162.500000 80.270 157.9247
165.000000 80.184 158.1512
167.500000 80.094 158.3394
170.000000 80.010 158.5127
172.500000 79.949 158.7494
175.000000 79.914 159.0715
177.500000 79.895 159.3120
180.000000 79.871 159.3968
182.500000 79.844 159.3921
185.000000 79.810 159.3171
187.500000 79.765 159.2563
190.000000 79.711 159.2302
192.500000 79.652 159.2154
195.000000 79.592 159.1987
197.500000 79.533 159.2344
200.000000 79.480 159.3039
203.000000 79.417 159.4061
206.000000 79.352 159.5311
209.000000 79.292 159.6633
212.000000 79.243 159.7743
214.000000 79.213 159.8399
218.000000 79.148 160.0380
220.000000 79.113 160.1354
224.000000 79.045 160.3278
227.000000 78.999 160.5006
230.000000 78.953 160.6659
233.000000 78.905 160.8197
236.000000 78.861 160.9906
240.000000 78.812 161.2271
243.000000 78.773 161.4025
247.000000 78.719 161.6431
250.000000 78.677 161.8203
254.000000 78.620 162.0681
258.000000 78.569 162.2909
262.000000 78.519 162.5419
265.000000 78.479 162.7349
269.000000 78.425 162.9893
272.000000 78.384 163.1810
276.000000 78.332 163.4441
280.000000 78.288 163.6898
285.000000 78.231 164.0289
290.000000 78.177 164.3759
295.000000 78.125 164.7075
300.000000 78.072 165.0073
304.000000 78.031 165.2524
307.000000 78.001 165.4539
311.000000 77.964 165.7217
315.000000 77.926 165.9850
