* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 4:49:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uudd R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.162 22.7905
1.015000 72.216 21.9237
1.030000 72.269 21.0432
1.044000 72.318 20.2075
1.060000 72.373 19.2341
1.075000 72.423 18.3016
1.090000 72.473 17.3462
1.106000 72.526 16.2931
1.120000 72.573 15.3316
1.138000 72.632 14.0362
1.150000 72.671 13.1380
1.172000 72.742 11.4259
1.180000 72.767 10.7836
1.206000 72.847 8.6376
1.220000 72.889 7.4504
1.241000 72.950 5.6369
1.250000 72.975 4.8498
1.265000 73.015 3.5279
1.280000 73.054 2.1962
1.315000 73.135 -0.9313
1.320000 73.146 -1.3788
1.340000 73.185 -3.1669
1.360000 73.220 -4.9483
1.380000 73.250 -6.7077
1.400000 73.274 -8.4481
1.430000 73.298 -11.0259
1.450000 73.306 -12.7217
1.475000 73.304 -14.8288
1.500000 73.285 -16.9523
1.525000 73.249 -19.0983
1.550000 73.198 -21.2558
1.575000 73.136 -23.4078
1.600000 73.064 -25.5397
1.625000 72.987 -27.6515
1.650000 72.906 -29.7356
1.675000 72.825 -31.7860
1.700000 72.746 -33.7983
1.725000 72.673 -35.7696
1.750000 72.608 -37.6984
1.775000 72.554 -39.5885
1.800000 72.513 -41.4453
1.825000 72.489 -43.2651
1.850000 72.481 -45.0621
1.875000 72.483 -46.8491
1.900000 72.496 -48.6230
1.925000 72.517 -50.3746
1.950000 72.546 -52.0953
1.975000 72.581 -53.7817
2.000000 72.621 -55.4313
2.030000 72.675 -57.3460
2.060000 72.735 -59.1851
2.090000 72.797 -60.9452
2.120000 72.860 -62.6250
2.140000 72.902 -63.7006
2.180000 72.984 -65.7566
2.200000 73.023 -66.7464
2.240000 73.105 -68.6671
2.270000 73.169 -70.0667
2.300000 73.237 -71.4282
2.330000 73.307 -72.7474
2.360000 73.379 -74.0208
2.400000 73.477 -75.6637
2.430000 73.551 -76.8390
2.470000 73.650 -78.3240
2.500000 73.723 -79.3757
2.540000 73.818 -80.6968
2.580000 73.910 -81.9491
2.620000 74.002 -83.1710
2.650000 74.070 -84.0565
2.690000 74.161 -85.1955
2.720000 74.229 -86.0167
2.760000 74.318 -87.0639
2.800000 74.407 -88.0847
2.850000 74.516 -89.2847
2.900000 74.623 -90.3937
2.950000 74.728 -91.4189
3.000000 74.830 -92.4079
3.040000 74.910 -93.1708
3.070000 74.969 -93.7209
3.110000 75.047 -94.4245
3.150000 75.124 -95.0938
3.200000 75.219 -95.9050
3.250000 75.313 -96.6730
3.300000 75.406 -97.3890
3.350000 75.498 -98.0607
3.400000 75.589 -98.7206
3.450000 75.679 -99.3557
3.500000 75.768 -99.9560
3.550000 75.855 -100.5207
3.600000 75.941 -101.0781
3.650000 76.027 -101.6140
3.700000 76.111 -102.1216
3.750000 76.195 -102.6063
3.820000 76.310 -103.2854
3.870000 76.391 -103.7505
3.950000 76.517 -104.4432
4.000000 76.595 -104.8681
4.060000 76.685 -105.3629
4.120000 76.774 -105.8355
4.180000 76.861 -106.2947
4.250000 76.960 -106.8346
4.310000 77.042 -107.2630
4.370000 77.122 -107.6623
4.440000 77.213 -108.1284
4.500000 77.288 -108.5067
4.550000 77.349 -108.8056
4.620000 77.432 -109.2265
4.680000 77.502 -109.5632
4.750000 77.582 -109.9141
4.820000 77.660 -110.2533
4.870000 77.715 -110.4812
4.940000 77.790 -110.7726
5.000000 77.854 -111.0142
5.080000 77.940 -111.3127
5.150000 78.015 -111.5353
5.220000 78.091 -111.7466
5.300000 78.178 -111.9604
5.380000 78.267 -112.1486
5.450000 78.346 -112.3211
5.520000 78.427 -112.4736
5.600000 78.522 -112.6368
5.700000 78.645 -112.8367
5.800000 78.770 -113.0358
5.900000 78.899 -113.2632
6.000000 79.031 -113.4964
6.080000 79.138 -113.7030
6.150000 79.232 -113.8858
6.220000 79.325 -114.0978
6.300000 79.431 -114.3558
6.400000 79.563 -114.7001
6.500000 79.693 -115.0750
6.600000 79.819 -115.4644
6.700000 79.940 -115.8848
6.800000 80.056 -116.3192
6.900000 80.169 -116.7653
7.000000 80.276 -117.2041
7.100000 80.379 -117.6517
7.200000 80.477 -118.0925
7.300000 80.572 -118.5261
7.400000 80.664 -118.9377
7.500000 80.754 -119.3427
7.620000 80.860 -119.8126
7.750000 80.975 -120.3023
7.880000 81.091 -120.7856
8.000000 81.199 -121.2253
8.120000 81.309 -121.6784
8.250000 81.431 -122.1823
8.380000 81.552 -122.7103
8.500000 81.664 -123.2406
8.620000 81.775 -123.8029
8.750000 81.890 -124.4453
8.850000 81.974 -124.9676
9.000000 82.090 -125.7831
9.120000 82.175 -126.4482
9.250000 82.257 -127.1665
9.380000 82.329 -127.8752
9.500000 82.389 -128.5083
9.620000 82.441 -129.0992
9.750000 82.491 -129.6982
9.880000 82.533 -130.2442
10.000000 82.567 -130.6842
10.150000 82.603 -131.2129
10.300000 82.643 -131.6769
10.440000 82.686 -132.0593
10.600000 82.742 -132.4797
10.750000 82.805 -132.8905
10.900000 82.877 -133.3327
11.060000 82.957 -133.9057
11.200000 83.030 -134.5155
11.380000 83.114 -135.3744
11.500000 83.160 -135.9921
11.720000 83.222 -137.1582
11.800000 83.235 -137.5779
12.060000 83.248 -138.8904
12.200000 83.239 -139.5406
12.410000 83.215 -140.3485
12.500000 83.206 -140.6210
12.650000 83.198 -140.9767
12.800000 83.201 -141.2298
13.150000 83.269 -141.6033
13.200000 83.286 -141.6593
13.400000 83.375 -141.9117
13.600000 83.485 -142.2808
13.800000 83.606 -142.8202
14.000000 83.721 -143.5442
14.300000 83.861 -144.9805
14.500000 83.917 -146.0372
14.750000 83.941 -147.3277
15.000000 83.922 -148.4640
15.250000 83.877 -149.3940
15.500000 83.827 -150.0305
15.750000 83.791 -150.4042
16.000000 83.786 -150.6103
16.250000 83.814 -150.8096
16.500000 83.869 -151.0540
16.750000 83.935 -151.3958
17.000000 84.000 -151.8322
17.250000 84.056 -152.3526
17.500000 84.102 -152.8746
17.750000 84.142 -153.3534
18.000000 84.182 -153.7826
18.250000 84.229 -154.2062
18.500000 84.284 -154.6375
18.750000 84.343 -155.1096
19.000000 84.401 -155.6429
19.250000 84.449 -156.2503
19.500000 84.482 -156.8708
19.750000 84.499 -157.4550
20.000000 84.504 -157.9554
20.299999 84.508 -158.4465
20.600000 84.522 -158.8053
20.900000 84.556 -159.1116
21.200001 84.609 -159.4884
21.400000 84.649 -159.8140
21.799999 84.719 -160.6462
22.000000 84.741 -161.1278
22.400000 84.750 -162.1204
22.700001 84.730 -162.7682
23.000000 84.701 -163.2800
23.299999 84.675 -163.6766
23.600000 84.660 -163.9855
24.000000 84.661 -164.3550
24.299999 84.673 -164.6663
24.700001 84.698 -165.1277
25.000000 84.722 -165.5068
25.400000 84.758 -166.0822
25.799999 84.797 -166.7375
26.200001 84.830 -167.4804
26.500000 84.848 -168.0654
26.900000 84.861 -168.8163
27.200001 84.871 -169.3512
27.600000 84.891 -170.0645
28.000000 84.915 -170.8531
28.500000 84.919 -171.9950
29.000000 84.865 -173.0887
29.500000 84.765 -173.8152
30.000000 84.676 -174.0591
30.400000 84.643 -174.0676
30.700001 84.639 -174.0692
31.100000 84.651 -174.1374
31.500000 84.669 -174.2889
32.000000 84.700 -174.5530
32.500000 84.744 -174.9816
33.000000 84.781 -175.6616
33.500000 84.778 -176.5258
34.000000 84.730 -177.3366
34.500000 84.663 -177.9465
35.000000 84.610 -178.4011
35.500000 84.572 -178.8387
36.000000 84.536 -179.2763
36.500000 84.504 -179.6562
37.000000 84.491 -179.9804
37.500000 84.498 179.6400
38.200001 84.509 178.9350
38.700001 84.499 178.4265
39.500000 84.476 177.8135
40.000000 84.471 177.5041
40.599998 84.467 177.1495
41.200001 84.463 176.8444
41.799999 84.469 176.5252
42.500000 84.471 175.9641
43.099998 84.434 175.4040
43.700001 84.367 174.9984
44.400002 84.299 174.7553
45.000000 84.268 174.5086
45.500000 84.244 174.1707
46.200001 84.187 173.6165
46.799999 84.126 173.2294
47.500000 84.072 172.9125
48.200001 84.052 172.5836
48.700001 84.052 172.2428
49.400002 84.042 171.6240
50.000000 84.013 171.1038
50.799999 83.965 170.6114
51.500000 83.934 170.2933
52.200001 83.902 169.9961
53.000000 83.860 169.7293
53.799999 83.823 169.4474
54.500000 83.774 169.1403
55.200001 83.709 168.9140
56.000000 83.649 168.7088
57.000000 83.582 168.2132
58.000000 83.486 167.7286
59.000000 83.413 167.3151
60.000000 83.341 166.8135
60.799999 83.279 166.4970
61.500000 83.232 166.2655
62.200001 83.186 166.0482
63.000000 83.131 165.8754
64.000000 83.077 165.7423
65.000000 83.036 165.5896
66.000000 83.000 165.5067
67.000000 83.005 165.4647
68.000000 83.029 165.1144
69.000000 83.005 164.6216
70.000000 82.950 164.4701
71.000000 82.927 164.4921
72.000000 82.909 164.2950
73.000000 82.861 164.0312
74.000000 82.805 163.7888
75.000000 82.747 163.5083
76.199997 82.683 163.1554
77.500000 82.622 162.7399
78.800003 82.560 162.3300
80.000000 82.489 162.0060
81.199997 82.410 161.8769
82.500000 82.340 161.7936
83.800003 82.269 161.6252
85.000000 82.191 161.4550
86.199997 82.102 161.4048
87.500000 82.013 161.5005
88.500000 81.950 161.6080
90.000000 81.866 161.7352
91.199997 81.800 161.7564
92.500000 81.744 161.8541
93.800003 81.737 161.9217
95.000000 81.756 161.7959
96.199997 81.765 161.6459
97.500000 81.773 161.5837
98.800003 81.772 161.4375
100.000000 81.750 161.2374
101.500000 81.703 160.9033
103.000000 81.647 160.5244
104.400002 81.598 160.1758
106.000000 81.538 159.9180
107.500000 81.489 159.8392
109.000000 81.432 159.7747
110.599998 81.362 159.7237
112.000000 81.307 159.6512
113.800003 81.255 159.4904
115.000000 81.227 159.3775
117.199997 81.186 159.2989
118.000000 81.174 159.2888
120.599998 81.113 159.0417
122.000000 81.052 158.8867
124.099998 80.963 158.7644
125.000000 80.934 158.7318
126.500000 80.890 158.6523
128.000000 80.843 158.5787
131.500000 80.734 158.5204
132.000000 80.719 158.5112
134.000000 80.666 158.4648
136.000000 80.618 158.3871
138.000000 80.567 158.3421
140.000000 80.506 158.3015
143.000000 80.406 158.3339
145.000000 80.345 158.3894
147.500000 80.276 158.4257
150.000000 80.216 158.4605
152.500000 80.172 158.5005
155.000000 80.126 158.5635
157.500000 80.047 158.7289
160.000000 79.960 158.9663
162.500000 79.883 159.0601
165.000000 79.818 159.2507
167.500000 79.776 159.5007
170.000000 79.736 159.7198
172.500000 79.704 159.9216
175.000000 79.683 160.0108
177.500000 79.649 159.9413
180.000000 79.603 159.8193
182.500000 79.552 159.6934
185.000000 79.499 159.6457
187.500000 79.440 159.6324
190.000000 79.376 159.5927
192.500000 79.311 159.5499
195.000000 79.249 159.5569
197.500000 79.192 159.6319
200.000000 79.139 159.7192
203.000000 79.077 159.8403
206.000000 79.018 159.9522
209.000000 78.959 160.0585
212.000000 78.904 160.1821
214.000000 78.870 160.2594
218.000000 78.805 160.4267
220.000000 78.772 160.5060
224.000000 78.707 160.6797
227.000000 78.661 160.8246
230.000000 78.617 160.9731
233.000000 78.575 161.1181
236.000000 78.529 161.2787
240.000000 78.469 161.5315
243.000000 78.429 161.6886
247.000000 78.374 161.9175
250.000000 78.333 162.0963
254.000000 78.276 162.3062
258.000000 78.220 162.5250
262.000000 78.170 162.7535
265.000000 78.131 162.9198
269.000000 78.075 163.1579
272.000000 78.035 163.3419
276.000000 77.987 163.6014
280.000000 77.937 163.8438
285.000000 77.874 164.0892
290.000000 77.814 164.3888
295.000000 77.759 164.6793
300.000000 77.707 164.9815
304.000000 77.667 165.2349
307.000000 77.637 165.4282
311.000000 77.596 165.6870
315.000000 77.555 165.9460
320.000000 77.506 166.2565
