* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 5:05:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uuud L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.207 13.7252
1.015000 70.273 11.9822
1.030000 70.342 10.2372
1.044000 70.410 8.6028
1.060000 70.493 6.7229
1.075000 70.576 4.9424
1.090000 70.664 3.1354
1.106000 70.765 1.1564
1.120000 70.859 -0.6459
1.138000 70.986 -3.0678
1.150000 71.075 -4.7402
1.172000 71.243 -7.9026
1.180000 71.306 -9.0777
1.206000 71.515 -12.9518
1.220000 71.630 -15.0555
1.241000 71.806 -18.2065
1.250000 71.881 -19.5488
1.265000 72.007 -21.7669
1.280000 72.133 -23.9535
1.315000 72.423 -28.8928
1.320000 72.464 -29.5768
1.340000 72.624 -32.2536
1.360000 72.779 -34.8319
1.380000 72.928 -37.2991
1.400000 73.069 -39.6628
1.430000 73.263 -43.0315
1.450000 73.379 -45.1706
1.475000 73.509 -47.7591
1.500000 73.622 -50.3096
1.525000 73.722 -52.8326
1.550000 73.809 -55.3110
1.575000 73.886 -57.7230
1.600000 73.954 -60.0511
1.625000 74.015 -62.2950
1.650000 74.069 -64.4481
1.675000 74.120 -66.5070
1.700000 74.168 -68.4707
1.725000 74.215 -70.3405
1.750000 74.262 -72.1193
1.775000 74.312 -73.8155
1.800000 74.365 -75.4393
1.825000 74.423 -76.9937
1.850000 74.485 -78.5077
1.875000 74.549 -80.0101
1.900000 74.614 -81.5017
1.925000 74.678 -82.9727
1.950000 74.743 -84.4127
1.975000 74.807 -85.8166
2.000000 74.870 -87.1804
2.030000 74.944 -88.7454
2.060000 75.017 -90.2247
2.090000 75.086 -91.6123
2.120000 75.152 -92.9039
2.140000 75.194 -93.7105
2.180000 75.273 -95.2026
2.200000 75.309 -95.9000
2.240000 75.375 -97.2395
2.270000 75.420 -98.2191
2.300000 75.461 -99.1749
2.330000 75.499 -100.0998
2.360000 75.534 -100.9869
2.400000 75.577 -102.1198
2.430000 75.607 -102.9102
2.470000 75.646 -103.8695
2.500000 75.674 -104.5106
2.540000 75.712 -105.2531
2.580000 75.749 -105.8880
2.620000 75.782 -106.4667
2.650000 75.804 -106.8609
2.690000 75.831 -107.3372
2.720000 75.850 -107.6571
2.760000 75.875 -108.0307
2.800000 75.902 -108.3707
2.850000 75.940 -108.7054
2.900000 75.987 -108.9257
2.950000 76.042 -109.0207
3.000000 76.103 -109.0165
3.040000 76.154 -108.9479
3.070000 76.194 -108.8625
3.110000 76.252 -108.7144
3.150000 76.314 -108.5383
3.200000 76.400 -108.3185
3.250000 76.498 -108.0996
3.300000 76.608 -107.8718
3.350000 76.731 -107.6001
3.400000 76.867 -107.2958
3.450000 77.013 -106.9715
3.500000 77.168 -106.6491
3.550000 77.330 -106.3567
3.600000 77.497 -106.1460
3.650000 77.668 -106.0140
3.700000 77.844 -105.9290
3.750000 78.028 -105.8571
3.820000 78.296 -105.8164
3.870000 78.492 -105.8301
3.950000 78.804 -105.9494
4.000000 78.995 -106.1261
4.060000 79.218 -106.4314
4.120000 79.439 -106.7983
4.180000 79.659 -107.2146
4.250000 79.909 -107.7785
4.310000 80.115 -108.2925
4.370000 80.312 -108.8426
4.440000 80.528 -109.5746
4.500000 80.703 -110.2522
4.550000 80.843 -110.8379
4.620000 81.028 -111.6970
4.680000 81.177 -112.4297
4.750000 81.339 -113.2603
4.820000 81.486 -114.1173
4.870000 81.583 -114.7472
4.940000 81.707 -115.6294
5.000000 81.805 -116.3811
5.080000 81.923 -117.3334
5.150000 82.015 -118.0972
5.220000 82.097 -118.8487
5.300000 82.176 -119.6828
5.380000 82.246 -120.4597
5.450000 82.301 -121.0916
5.520000 82.352 -121.6411
5.600000 82.403 -122.2047
5.700000 82.457 -122.8366
5.800000 82.510 -123.3649
5.900000 82.566 -123.7904
6.000000 82.623 -124.0995
6.080000 82.672 -124.2983
6.150000 82.717 -124.4344
6.220000 82.768 -124.5652
6.300000 82.832 -124.6824
6.400000 82.921 -124.7839
6.500000 83.017 -124.8841
6.600000 83.121 -125.0058
6.700000 83.232 -125.1611
6.800000 83.349 -125.3326
6.900000 83.469 -125.5503
7.000000 83.587 -125.8182
7.100000 83.706 -126.1449
7.200000 83.822 -126.5061
7.300000 83.933 -126.9047
7.400000 84.036 -127.3328
7.500000 84.133 -127.8003
7.620000 84.240 -128.3747
7.750000 84.343 -128.9899
7.880000 84.433 -129.6151
8.000000 84.508 -130.1645
8.120000 84.575 -130.6748
8.250000 84.640 -131.1875
8.380000 84.702 -131.6575
8.500000 84.760 -132.0571
8.620000 84.818 -132.4218
8.750000 84.882 -132.7986
8.850000 84.934 -133.0858
9.000000 85.014 -133.5045
9.120000 85.080 -133.8531
9.250000 85.153 -134.2545
9.380000 85.227 -134.6758
9.500000 85.294 -135.0956
9.620000 85.357 -135.5397
9.750000 85.421 -136.0471
9.880000 85.474 -136.5685
10.000000 85.511 -137.0487
10.150000 85.543 -137.6902
10.300000 85.562 -138.2907
10.440000 85.570 -138.8073
10.600000 85.572 -139.3368
10.750000 85.573 -139.7628
10.900000 85.574 -140.1273
11.060000 85.583 -140.4883
11.200000 85.599 -140.8059
11.380000 85.630 -141.1887
11.500000 85.657 -141.4388
11.720000 85.720 -141.9231
11.800000 85.746 -142.1180
12.060000 85.840 -142.8637
12.200000 85.893 -143.3791
12.410000 85.972 -144.2388
12.500000 86.005 -144.6360
12.650000 86.060 -145.3322
12.800000 86.108 -146.0544
13.150000 86.183 -147.8174
13.200000 86.189 -148.0721
13.400000 86.203 -149.0519
13.600000 86.200 -149.9376
13.800000 86.186 -150.7008
14.000000 86.168 -151.3297
14.300000 86.148 -152.0879
14.500000 86.148 -152.4529
14.750000 86.171 -152.8179
15.000000 86.222 -153.1655
15.250000 86.295 -153.6417
15.500000 86.377 -154.2402
15.750000 86.457 -154.9664
16.000000 86.521 -155.7886
16.250000 86.566 -156.6797
16.500000 86.590 -157.5292
16.750000 86.599 -158.2744
17.000000 86.602 -158.8941
17.250000 86.610 -159.4322
17.500000 86.630 -159.9064
17.750000 86.662 -160.3780
18.000000 86.702 -160.9005
18.250000 86.740 -161.5237
18.500000 86.767 -162.2047
18.750000 86.778 -162.8944
19.000000 86.771 -163.5370
19.250000 86.752 -164.1033
19.500000 86.731 -164.5502
19.750000 86.716 -164.8886
20.000000 86.716 -165.1621
20.299999 86.735 -165.5182
20.600000 86.769 -165.9469
20.900000 86.805 -166.4806
21.200001 86.829 -167.1123
21.400000 86.836 -167.5527
21.799999 86.832 -168.3826
22.000000 86.826 -168.7520
22.400000 86.815 -169.4278
22.700001 86.812 -169.8978
23.000000 86.814 -170.3762
23.299999 86.814 -170.8902
23.600000 86.807 -171.4072
24.000000 86.788 -172.0428
24.299999 86.772 -172.4655
24.700001 86.758 -172.9436
25.000000 86.759 -173.2784
25.400000 86.773 -173.7857
25.799999 86.789 -174.3881
26.200001 86.793 -175.0765
26.500000 86.785 -175.6063
26.900000 86.761 -176.2538
27.200001 86.738 -176.6737
27.600000 86.710 -177.1399
28.000000 86.694 -177.5322
28.500000 86.693 -178.0323
29.000000 86.705 -178.6191
29.500000 86.711 -179.3211
30.000000 86.699 179.9484
30.400000 86.678 179.4016
30.700001 86.660 179.0382
31.100000 86.638 178.6065
31.500000 86.620 178.1987
32.000000 86.603 177.6930
32.500000 86.585 177.1659
33.000000 86.560 176.6578
33.500000 86.531 176.1878
34.000000 86.505 175.7528
34.500000 86.480 175.3171
35.000000 86.456 174.8784
35.500000 86.430 174.4352
36.000000 86.404 173.9944
36.500000 86.376 173.5428
37.000000 86.347 173.0864
37.500000 86.313 172.6349
38.200001 86.263 172.0472
38.700001 86.230 171.6551
39.500000 86.184 171.0346
40.000000 86.156 170.6329
40.599998 86.120 170.1418
41.200001 86.080 169.6738
41.799999 86.039 169.2467
42.500000 85.993 168.7871
43.099998 85.958 168.4006
43.700001 85.924 168.0018
44.400002 85.879 167.5303
45.000000 85.838 167.1486
45.500000 85.804 166.8479
46.200001 85.759 166.4470
46.799999 85.723 166.1093
47.500000 85.684 165.7067
48.200001 85.647 165.2760
48.700001 85.617 164.9526
49.400002 85.568 164.5191
50.000000 85.523 164.2032
50.799999 85.470 163.8427
51.500000 85.430 163.5176
52.200001 85.388 163.1673
53.000000 85.331 162.7872
53.799999 85.275 162.4462
54.500000 85.229 162.1497
55.200001 85.181 161.8447
56.000000 85.125 161.5051
57.000000 85.059 161.0845
58.000000 84.993 160.6531
59.000000 84.924 160.2549
60.000000 84.859 159.9035
60.799999 84.811 159.6198
61.500000 84.769 159.3665
62.200001 84.725 159.1272
63.000000 84.676 158.8746
64.000000 84.617 158.5356
65.000000 84.555 158.2183
66.000000 84.499 157.8934
67.000000 84.440 157.5183
68.000000 84.372 157.1851
69.000000 84.308 156.8911
70.000000 84.239 156.6401
71.000000 84.177 156.4740
72.000000 84.124 156.2742
73.000000 84.065 156.0438
74.000000 84.001 155.8242
75.000000 83.934 155.6217
76.199997 83.856 155.4028
77.500000 83.775 155.1547
78.800003 83.699 154.9035
80.000000 83.628 154.6790
81.199997 83.563 154.5289
82.500000 83.496 154.2770
83.800003 83.410 154.0759
85.000000 83.332 153.9854
86.199997 83.265 153.9113
87.500000 83.198 153.7838
88.500000 83.148 153.6659
90.000000 83.066 153.5596
91.199997 83.019 153.5522
92.500000 82.980 153.4219
93.800003 82.926 153.1837
95.000000 82.864 153.0369
96.199997 82.808 152.8792
97.500000 82.740 152.6971
98.800003 82.672 152.5525
100.000000 82.607 152.4432
101.500000 82.535 152.3570
103.000000 82.463 152.2038
104.400002 82.389 152.1043
106.000000 82.311 152.0265
107.500000 82.237 151.9661
109.000000 82.170 151.9475
110.599998 82.098 151.8820
112.000000 82.030 151.8465
113.800003 81.946 151.8213
115.000000 81.892 151.8056
117.199997 81.791 151.8025
118.000000 81.756 151.8277
120.599998 81.651 151.8267
122.000000 81.589 151.7962
124.099998 81.492 151.7689
125.000000 81.451 151.7792
126.500000 81.387 151.8094
128.000000 81.328 151.8275
131.500000 81.184 151.8517
132.000000 81.163 151.8777
134.000000 81.084 152.0060
136.000000 81.005 152.1490
138.000000 80.921 152.2836
140.000000 80.840 152.4603
143.000000 80.735 152.9451
145.000000 80.677 153.3630
147.500000 80.617 153.9167
150.000000 80.589 154.2473
152.500000 80.588 154.4001
155.000000 80.587 154.3781
157.500000 80.572 154.3114
160.000000 80.535 154.2326
162.500000 80.481 154.2918
165.000000 80.414 154.3679
167.500000 80.328 154.3170
170.000000 80.248 154.2838
172.500000 80.184 154.3052
175.000000 80.113 154.4136
177.500000 80.032 154.5749
180.000000 79.963 154.6832
182.500000 79.898 154.7598
185.000000 79.829 154.9320
187.500000 79.756 155.0680
190.000000 79.689 155.2144
192.500000 79.635 155.3849
195.000000 79.576 155.5261
197.500000 79.505 155.6454
200.000000 79.439 155.7240
203.000000 79.377 155.8587
206.000000 79.323 156.0529
209.000000 79.262 156.2375
212.000000 79.200 156.4438
214.000000 79.161 156.5769
218.000000 79.089 156.8865
220.000000 79.054 157.0377
224.000000 78.988 157.3382
227.000000 78.943 157.5885
230.000000 78.895 157.7857
233.000000 78.842 157.9360
236.000000 78.790 158.0752
240.000000 78.727 158.3928
243.000000 78.688 158.6778
247.000000 78.630 159.0164
250.000000 78.585 159.2535
254.000000 78.528 159.5710
258.000000 78.475 159.8791
262.000000 78.421 160.1614
265.000000 78.381 160.3765
269.000000 78.326 160.6755
272.000000 78.284 160.9054
276.000000 78.234 161.2157
280.000000 78.188 161.5328
285.000000 78.133 161.9467
290.000000 78.079 162.3471
295.000000 78.024 162.7457
300.000000 77.966 163.1290
304.000000 77.924 163.4391
307.000000 77.896 163.6727
311.000000 77.862 163.9661
315.000000 77.829 164.2559
320.000000 77.786 164.6102
