* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 4:47:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uuud R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.991 -32.1656
1.015000 63.800 -33.0097
1.030000 64.572 -33.8759
1.044000 65.253 -34.7078
1.060000 65.977 -35.6901
1.075000 66.596 -36.6446
1.090000 67.152 -37.6325
1.106000 67.682 -38.7131
1.120000 68.111 -39.6598
1.138000 68.630 -40.8581
1.150000 68.957 -41.6407
1.172000 69.520 -43.0374
1.180000 69.714 -43.5331
1.206000 70.306 -45.0933
1.220000 70.602 -45.9011
1.241000 71.018 -47.0720
1.250000 71.186 -47.5594
1.265000 71.455 -48.3537
1.280000 71.710 -49.1267
1.315000 72.257 -50.8571
1.320000 72.330 -51.0969
1.340000 72.611 -52.0407
1.360000 72.877 -52.9632
1.380000 73.129 -53.8582
1.400000 73.371 -54.7367
1.430000 73.718 -56.0411
1.450000 73.943 -56.9077
1.475000 74.211 -57.9902
1.500000 74.449 -59.0628
1.525000 74.648 -60.1163
1.550000 74.813 -61.1469
1.575000 74.947 -62.1479
1.600000 75.056 -63.1151
1.625000 75.142 -64.0586
1.650000 75.212 -64.9803
1.675000 75.268 -65.8828
1.700000 75.315 -66.7690
1.725000 75.358 -67.6423
1.750000 75.401 -68.5065
1.775000 75.449 -69.3696
1.800000 75.504 -70.2399
1.825000 75.571 -71.1140
1.850000 75.646 -71.9988
1.875000 75.720 -72.8963
1.900000 75.791 -73.8006
1.925000 75.859 -74.7044
1.950000 75.924 -75.6010
1.975000 75.986 -76.4892
2.000000 76.046 -77.3689
2.030000 76.113 -78.3993
2.060000 76.177 -79.3999
2.090000 76.238 -80.3693
2.120000 76.297 -81.3077
2.140000 76.334 -81.9167
2.180000 76.406 -83.1068
2.200000 76.440 -83.6975
2.240000 76.505 -84.8865
2.270000 76.549 -85.7917
2.300000 76.591 -86.7001
2.330000 76.630 -87.6028
2.360000 76.665 -88.4921
2.400000 76.708 -89.6670
2.430000 76.738 -90.5200
2.470000 76.773 -91.6081
2.500000 76.796 -92.3835
2.540000 76.824 -93.3617
2.580000 76.848 -94.3065
2.620000 76.867 -95.2746
2.650000 76.878 -96.0061
2.690000 76.888 -96.9790
2.720000 76.893 -97.6978
2.760000 76.897 -98.6279
2.800000 76.896 -99.5425
2.850000 76.889 -100.6084
2.900000 76.877 -101.5648
2.950000 76.860 -102.4212
3.000000 76.834 -103.2634
3.040000 76.808 -103.9315
3.070000 76.786 -104.4186
3.110000 76.754 -105.0407
3.150000 76.720 -105.6211
3.200000 76.674 -106.2938
3.250000 76.628 -106.8729
3.300000 76.581 -107.3362
3.350000 76.531 -107.7060
3.400000 76.477 -108.0348
3.450000 76.420 -108.3115
3.500000 76.362 -108.5208
3.550000 76.309 -108.6541
3.600000 76.260 -108.7302
3.650000 76.220 -108.7238
3.700000 76.187 -108.6165
3.750000 76.157 -108.4131
3.820000 76.122 -108.0332
3.870000 76.105 -107.6970
3.950000 76.100 -107.0721
4.000000 76.114 -106.6675
4.060000 76.150 -106.1460
4.120000 76.206 -105.5409
4.180000 76.280 -104.8808
4.250000 76.386 -104.1314
4.310000 76.492 -103.5265
4.370000 76.613 -102.9964
4.440000 76.774 -102.4898
4.500000 76.931 -102.0775
4.550000 77.074 -101.7535
4.620000 77.286 -101.3979
4.680000 77.474 -101.1938
4.750000 77.694 -101.0912
4.820000 77.918 -101.1473
4.870000 78.082 -101.2474
4.940000 78.315 -101.4535
5.000000 78.515 -101.7128
5.080000 78.774 -102.1775
5.150000 78.991 -102.6894
5.220000 79.200 -103.3173
5.300000 79.432 -104.1268
5.380000 79.652 -104.9981
5.450000 79.834 -105.8192
5.520000 80.003 -106.6714
5.600000 80.182 -107.7201
5.700000 80.385 -109.1141
5.800000 80.566 -110.5091
5.900000 80.724 -111.8916
6.000000 80.858 -113.2927
6.080000 80.950 -114.4238
6.150000 81.021 -115.3704
6.220000 81.083 -116.2829
6.300000 81.143 -117.2770
6.400000 81.202 -118.4771
6.500000 81.247 -119.6119
6.600000 81.282 -120.6238
6.700000 81.309 -121.5295
6.800000 81.326 -122.3374
6.900000 81.341 -123.0515
7.000000 81.358 -123.6451
7.100000 81.376 -124.1328
7.200000 81.396 -124.5235
7.300000 81.423 -124.8451
7.400000 81.460 -125.0873
7.500000 81.506 -125.2630
7.620000 81.572 -125.4163
7.750000 81.662 -125.5563
7.880000 81.770 -125.6800
8.000000 81.883 -125.7979
8.120000 82.005 -125.9617
8.250000 82.148 -126.1838
8.380000 82.297 -126.4634
8.500000 82.437 -126.7970
8.620000 82.578 -127.1902
8.750000 82.728 -127.6776
8.850000 82.838 -128.0990
9.000000 82.995 -128.7904
9.120000 83.112 -129.3813
9.250000 83.228 -130.0457
9.380000 83.333 -130.7265
9.500000 83.420 -131.3570
9.620000 83.497 -131.9703
9.750000 83.568 -132.6171
9.880000 83.625 -133.2228
10.000000 83.665 -133.7260
10.150000 83.699 -134.3309
10.300000 83.723 -134.8311
10.440000 83.741 -135.2002
10.600000 83.761 -135.5217
10.750000 83.787 -135.7322
10.900000 83.821 -135.8763
11.060000 83.872 -136.0272
11.200000 83.930 -136.1908
11.380000 84.018 -136.4364
11.500000 84.084 -136.6399
11.720000 84.211 -137.1230
11.800000 84.258 -137.3433
12.060000 84.401 -138.2360
12.200000 84.468 -138.8487
12.410000 84.552 -139.8466
12.500000 84.582 -140.2872
12.650000 84.624 -141.0286
12.800000 84.655 -141.7513
13.150000 84.682 -143.3072
13.200000 84.682 -143.5103
13.400000 84.677 -144.2369
13.600000 84.669 -144.8311
13.800000 84.665 -145.3037
14.000000 84.672 -145.6964
14.300000 84.704 -146.2751
14.500000 84.738 -146.6621
14.750000 84.789 -147.1806
15.000000 84.842 -147.7515
15.250000 84.891 -148.4158
15.500000 84.934 -149.0842
15.750000 84.971 -149.7245
16.000000 85.007 -150.3178
16.250000 85.046 -150.9048
16.500000 85.092 -151.4573
16.750000 85.143 -151.9956
17.000000 85.199 -152.5447
17.250000 85.256 -153.1465
17.500000 85.312 -153.7757
17.750000 85.362 -154.4211
18.000000 85.405 -155.0728
18.250000 85.441 -155.7404
18.500000 85.470 -156.3802
18.750000 85.492 -156.9739
19.000000 85.510 -157.5118
19.250000 85.526 -158.0125
19.500000 85.544 -158.4580
19.750000 85.565 -158.8611
20.000000 85.593 -159.2436
20.299999 85.635 -159.7440
20.600000 85.682 -160.2914
20.900000 85.726 -160.9050
21.200001 85.759 -161.5930
21.400000 85.773 -162.0688
21.799999 85.778 -162.9707
22.000000 85.772 -163.3661
22.400000 85.756 -164.0258
22.700001 85.754 -164.4010
23.000000 85.767 -164.7308
23.299999 85.796 -165.0993
23.600000 85.835 -165.5448
24.000000 85.884 -166.2837
24.299999 85.909 -166.9285
24.700001 85.918 -167.7855
25.000000 85.910 -168.3612
25.400000 85.895 -169.0162
25.799999 85.885 -169.5535
26.200001 85.884 -170.0538
26.500000 85.885 -170.4314
26.900000 85.882 -170.9130
27.200001 85.877 -171.2395
27.600000 85.873 -171.6061
28.000000 85.880 -171.9227
28.500000 85.907 -172.3860
29.000000 85.937 -173.0031
29.500000 85.944 -173.7340
30.000000 85.930 -174.4364
30.400000 85.916 -174.9558
30.700001 85.907 -175.3370
31.100000 85.896 -175.8707
31.500000 85.878 -176.4424
32.000000 85.843 -177.1243
32.500000 85.806 -177.7107
33.000000 85.783 -178.2309
33.500000 85.774 -178.8035
34.000000 85.762 -179.4466
34.500000 85.739 179.9181
35.000000 85.715 179.3620
35.500000 85.700 178.8281
36.000000 85.687 178.2567
36.500000 85.660 177.6837
37.000000 85.624 177.2095
37.500000 85.596 176.8264
38.200001 85.575 176.2511
38.700001 85.551 175.7743
39.500000 85.492 175.1288
40.000000 85.465 174.7997
40.599998 85.442 174.3502
41.200001 85.412 173.8783
41.799999 85.389 173.4451
42.500000 85.380 172.7769
43.099998 85.341 172.0304
43.700001 85.254 171.5074
44.400002 85.185 171.4155
45.000000 85.207 171.2470
45.500000 85.228 170.7382
46.200001 85.174 169.8823
46.799999 85.089 169.5727
47.500000 85.059 169.5219
48.200001 85.081 169.1082
48.700001 85.072 168.5862
49.400002 85.016 167.9090
50.000000 84.962 167.4937
50.799999 84.900 167.0092
51.500000 84.846 166.6118
52.200001 84.795 166.2739
53.000000 84.746 165.9102
53.799999 84.700 165.5432
54.500000 84.660 165.2393
55.200001 84.621 164.9674
56.000000 84.586 164.6483
57.000000 84.541 164.1144
58.000000 84.475 163.5805
59.000000 84.411 163.0953
60.000000 84.345 162.6250
60.799999 84.299 162.3118
61.500000 84.267 162.0342
62.200001 84.238 161.7568
63.000000 84.210 161.4517
64.000000 84.171 160.9749
65.000000 84.097 160.5210
66.000000 83.995 160.3255
67.000000 83.911 160.4202
68.000000 83.868 160.4156
69.000000 83.815 160.1136
70.000000 83.731 159.8066
71.000000 83.653 159.6273
72.000000 83.602 159.4470
73.000000 83.567 159.1589
74.000000 83.535 158.7906
75.000000 83.493 158.3497
76.199997 83.417 157.9547
77.500000 83.352 157.6685
78.800003 83.270 157.1965
80.000000 83.171 156.9270
81.199997 83.095 156.7313
82.500000 83.020 156.4401
83.800003 82.951 156.1279
85.000000 82.878 155.8398
86.199997 82.806 155.6723
87.500000 82.743 155.5162
88.500000 82.695 155.3356
90.000000 82.604 155.0117
91.199997 82.511 154.8495
92.500000 82.414 154.7874
93.800003 82.316 154.7265
95.000000 82.232 154.7136
96.199997 82.160 154.6223
97.500000 82.087 154.4487
98.800003 82.017 154.2837
100.000000 81.966 154.1878
101.500000 81.911 154.1152
103.000000 81.855 154.1094
104.400002 81.793 154.1555
106.000000 81.725 154.2633
107.500000 81.677 154.1870
109.000000 81.614 153.9309
110.599998 81.528 153.7836
112.000000 81.453 153.7688
113.800003 81.342 153.9379
115.000000 81.274 154.1770
117.199997 81.160 154.5828
118.000000 81.128 154.7893
120.599998 81.077 155.2752
122.000000 81.054 155.5085
124.099998 81.038 155.8516
125.000000 81.041 155.9355
126.500000 81.056 155.8783
128.000000 81.068 155.6205
131.500000 81.062 155.0592
132.000000 81.057 155.0085
134.000000 81.013 154.7468
136.000000 80.920 154.6154
138.000000 80.839 154.5033
140.000000 80.772 154.2584
143.000000 80.694 153.9099
145.000000 80.634 153.8768
147.500000 80.562 153.9257
150.000000 80.467 153.9407
152.500000 80.376 153.9897
155.000000 80.300 154.0077
157.500000 80.248 153.9901
160.000000 80.170 153.9226
162.500000 80.065 154.0592
165.000000 79.966 154.2524
167.500000 79.884 154.3518
170.000000 79.809 154.4124
172.500000 79.734 154.5362
175.000000 79.660 154.7581
177.500000 79.592 154.9697
180.000000 79.524 155.1122
182.500000 79.456 155.2087
185.000000 79.393 155.3027
187.500000 79.332 155.3861
190.000000 79.269 155.4806
192.500000 79.204 155.5964
195.000000 79.136 155.7077
197.500000 79.066 155.8409
200.000000 78.998 155.9664
203.000000 78.926 156.1660
206.000000 78.864 156.4100
209.000000 78.807 156.6315
212.000000 78.754 156.8227
214.000000 78.721 156.9531
218.000000 78.663 157.2555
220.000000 78.636 157.3858
224.000000 78.579 157.5939
227.000000 78.532 157.7514
230.000000 78.482 157.9287
233.000000 78.434 158.1069
236.000000 78.388 158.2772
240.000000 78.326 158.5156
243.000000 78.279 158.7151
247.000000 78.219 158.9799
250.000000 78.170 159.1785
254.000000 78.107 159.4741
258.000000 78.050 159.7589
262.000000 77.988 160.0123
265.000000 77.943 160.2033
269.000000 77.889 160.5059
272.000000 77.849 160.7480
276.000000 77.797 161.0610
280.000000 77.743 161.3375
285.000000 77.676 161.6869
290.000000 77.613 162.0501
295.000000 77.557 162.4302
300.000000 77.502 162.8068
304.000000 77.459 163.0824
307.000000 77.427 163.2968
311.000000 77.384 163.5889
315.000000 77.341 163.9004
