* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 5:04:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uuuu L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.688 -107.3968
1.015000 72.769 -108.6047
1.030000 72.845 -109.7349
1.044000 72.913 -110.7188
1.060000 72.984 -111.7589
1.075000 73.046 -112.6521
1.090000 73.101 -113.4687
1.106000 73.154 -114.2737
1.120000 73.198 -114.9541
1.138000 73.254 -115.8195
1.150000 73.290 -116.3924
1.172000 73.353 -117.4343
1.180000 73.375 -117.8104
1.206000 73.444 -119.0135
1.220000 73.478 -119.6458
1.241000 73.525 -120.5672
1.250000 73.544 -120.9502
1.265000 73.573 -121.5698
1.280000 73.598 -122.1625
1.315000 73.645 -123.4163
1.320000 73.650 -123.5782
1.340000 73.665 -124.1755
1.360000 73.673 -124.6839
1.380000 73.673 -125.0803
1.400000 73.664 -125.3592
1.430000 73.633 -125.5390
1.450000 73.599 -125.4852
1.475000 73.537 -125.2268
1.500000 73.443 -124.8039
1.525000 73.315 -124.2465
1.550000 73.159 -123.5625
1.575000 72.980 -122.7505
1.600000 72.787 -121.8102
1.625000 72.586 -120.7549
1.650000 72.382 -119.5899
1.675000 72.183 -118.3221
1.700000 71.996 -116.9606
1.725000 71.827 -115.5170
1.750000 71.682 -114.0055
1.775000 71.569 -112.4466
1.800000 71.494 -110.8616
1.825000 71.462 -109.2515
1.850000 71.473 -107.5908
1.875000 71.519 -105.8451
1.900000 71.595 -104.0291
1.925000 71.699 -102.1784
1.950000 71.827 -100.3291
1.975000 71.975 -98.5179
2.000000 72.141 -96.7773
2.030000 72.359 -94.8067
2.060000 72.593 -92.9981
2.090000 72.837 -91.3777
2.120000 73.085 -89.9637
2.140000 73.251 -89.1413
2.180000 73.578 -87.7898
2.200000 73.739 -87.2429
2.240000 74.073 -86.2616
2.270000 74.341 -85.5722
2.300000 74.621 -84.9298
2.330000 74.911 -84.3480
2.360000 75.207 -83.8382
2.400000 75.606 -83.3062
2.430000 75.904 -83.0124
2.470000 76.294 -82.7649
2.500000 76.576 -82.6913
2.540000 76.934 -82.7432
2.580000 77.268 -82.9552
2.620000 77.586 -83.2723
2.650000 77.818 -83.5366
2.690000 78.118 -83.9164
2.720000 78.337 -84.2200
2.760000 78.619 -84.6486
2.800000 78.891 -85.1358
2.850000 79.217 -85.7971
2.900000 79.526 -86.5206
2.950000 79.819 -87.3169
3.000000 80.093 -88.2053
3.040000 80.300 -88.9537
3.070000 80.448 -89.5217
3.110000 80.637 -90.2788
3.150000 80.816 -91.0286
3.200000 81.030 -91.9708
3.250000 81.231 -92.9005
3.300000 81.423 -93.8156
3.350000 81.602 -94.7463
3.400000 81.767 -95.7271
3.450000 81.920 -96.7227
3.500000 82.062 -97.6996
3.550000 82.193 -98.6381
3.600000 82.317 -99.5518
3.650000 82.433 -100.4216
3.700000 82.541 -101.2592
3.750000 82.638 -102.0951
3.820000 82.760 -103.2921
3.870000 82.837 -104.1244
3.950000 82.948 -105.3559
4.000000 83.012 -106.0678
4.060000 83.083 -106.8568
4.120000 83.146 -107.5972
4.180000 83.200 -108.3079
4.250000 83.255 -109.1124
4.310000 83.300 -109.7311
4.370000 83.344 -110.2759
4.440000 83.395 -110.8484
4.500000 83.436 -111.2712
4.550000 83.468 -111.5830
4.620000 83.513 -111.9958
4.680000 83.554 -112.3085
4.750000 83.608 -112.6155
4.820000 83.668 -112.8823
4.870000 83.713 -113.0359
4.940000 83.781 -113.2050
5.000000 83.843 -113.3416
5.080000 83.932 -113.5251
5.150000 84.018 -113.6795
5.220000 84.111 -113.8376
5.300000 84.226 -114.0046
5.380000 84.346 -114.1783
5.450000 84.455 -114.3808
5.520000 84.566 -114.6112
5.600000 84.697 -114.9135
5.700000 84.865 -115.3438
5.800000 85.032 -115.8240
5.900000 85.194 -116.3843
6.000000 85.351 -117.0084
6.080000 85.474 -117.5518
6.150000 85.577 -118.0303
6.220000 85.675 -118.5313
6.300000 85.781 -119.1174
6.400000 85.905 -119.8754
6.500000 86.019 -120.6454
6.600000 86.126 -121.3861
6.700000 86.223 -122.1157
6.800000 86.311 -122.8276
6.900000 86.395 -123.5154
7.000000 86.475 -124.1526
7.100000 86.551 -124.7574
7.200000 86.625 -125.3259
7.300000 86.699 -125.8693
7.400000 86.774 -126.3746
7.500000 86.850 -126.8564
7.620000 86.944 -127.4127
7.750000 87.049 -128.0093
7.880000 87.159 -128.6119
8.000000 87.262 -129.1712
8.120000 87.365 -129.7588
8.250000 87.475 -130.4238
8.380000 87.582 -131.1095
8.500000 87.676 -131.7732
8.620000 87.764 -132.4579
8.750000 87.850 -133.2038
8.850000 87.910 -133.7757
9.000000 87.988 -134.6207
9.120000 88.042 -135.2708
9.250000 88.093 -135.9287
9.380000 88.138 -136.5373
9.500000 88.175 -137.0574
9.620000 88.212 -137.5204
9.750000 88.249 -137.9690
9.880000 88.284 -138.3724
10.000000 88.315 -138.6974
10.150000 88.352 -139.1048
10.300000 88.392 -139.4829
10.440000 88.433 -139.8190
10.600000 88.483 -140.2076
10.750000 88.534 -140.5975
10.900000 88.588 -141.0145
11.060000 88.644 -141.5287
11.200000 88.692 -142.0555
11.380000 88.746 -142.7592
11.500000 88.775 -143.2402
11.720000 88.813 -144.1182
11.800000 88.822 -144.4283
12.060000 88.838 -145.4078
12.200000 88.840 -145.9288
12.410000 88.840 -146.6357
12.500000 88.843 -146.9091
12.650000 88.850 -147.3262
12.800000 88.862 -147.7023
13.150000 88.906 -148.5122
13.200000 88.914 -148.6301
13.400000 88.951 -149.0938
13.600000 88.994 -149.5637
13.800000 89.040 -150.0564
14.000000 89.087 -150.5869
14.300000 89.154 -151.5196
14.500000 89.192 -152.1763
14.750000 89.226 -153.0045
15.000000 89.247 -153.8102
15.250000 89.257 -154.6107
15.500000 89.260 -155.3214
15.750000 89.262 -155.9293
16.000000 89.271 -156.4461
16.250000 89.294 -156.9473
16.500000 89.330 -157.4335
16.750000 89.376 -157.9467
17.000000 89.425 -158.5182
17.250000 89.472 -159.1812
17.500000 89.509 -159.8899
17.750000 89.533 -160.6049
18.000000 89.544 -161.2904
18.250000 89.544 -161.9381
18.500000 89.539 -162.5013
18.750000 89.533 -162.9755
19.000000 89.531 -163.3758
19.250000 89.536 -163.7515
19.500000 89.548 -164.1063
19.750000 89.565 -164.4609
20.000000 89.585 -164.8286
20.299999 89.610 -165.3241
20.600000 89.633 -165.8415
20.900000 89.652 -166.3739
21.200001 89.665 -166.9327
21.400000 89.670 -167.3105
21.799999 89.672 -168.0421
22.000000 89.669 -168.3865
22.400000 89.658 -169.0354
22.700001 89.652 -169.4662
23.000000 89.652 -169.8714
23.299999 89.658 -170.2988
23.600000 89.668 -170.7611
24.000000 89.677 -171.4428
24.299999 89.674 -171.9928
24.700001 89.656 -172.6806
25.000000 89.637 -173.1188
25.400000 89.618 -173.6133
25.799999 89.617 -174.0594
26.200001 89.631 -174.5748
26.500000 89.640 -175.0386
26.900000 89.639 -175.7120
27.200001 89.625 -176.2090
27.600000 89.594 -176.7841
28.000000 89.565 -177.2384
28.500000 89.545 -177.7441
29.000000 89.538 -178.2925
29.500000 89.523 -178.9063
30.000000 89.500 -179.4868
30.400000 89.484 -179.9198
30.700001 89.478 179.7508
31.100000 89.472 179.2598
31.500000 89.461 178.6953
32.000000 89.425 177.9902
32.500000 89.376 177.4016
33.000000 89.336 176.9609
33.500000 89.317 176.5381
34.000000 89.308 176.0312
34.500000 89.289 175.4573
35.000000 89.257 174.9306
35.500000 89.226 174.4890
36.000000 89.205 174.0861
36.500000 89.187 173.6540
37.000000 89.164 173.2054
37.500000 89.134 172.7865
38.200001 89.093 172.2864
38.700001 89.071 171.9398
39.500000 89.037 171.3225
40.000000 89.009 170.9105
40.599998 88.970 170.4281
41.200001 88.927 169.9841
41.799999 88.885 169.5670
42.500000 88.837 169.0926
43.099998 88.795 168.7080
43.700001 88.756 168.3467
44.400002 88.714 167.9217
45.000000 88.676 167.5412
45.500000 88.639 167.2291
46.200001 88.584 166.8523
46.799999 88.542 166.5786
47.500000 88.503 166.2381
48.200001 88.463 165.8271
48.700001 88.428 165.5211
49.400002 88.376 165.1419
50.000000 88.337 164.8555
50.799999 88.295 164.4214
51.500000 88.251 163.9914
52.200001 88.196 163.6213
53.000000 88.141 163.2935
53.799999 88.095 162.9636
54.500000 88.054 162.6617
55.200001 88.012 162.3738
56.000000 87.966 162.0421
57.000000 87.905 161.6163
58.000000 87.842 161.1931
59.000000 87.770 160.7826
60.000000 87.701 160.4842
60.799999 87.661 160.2458
61.500000 87.626 159.9674
62.200001 87.583 159.6776
63.000000 87.528 159.4166
64.000000 87.468 159.1223
65.000000 87.408 158.7900
66.000000 87.341 158.4836
67.000000 87.278 158.2206
68.000000 87.217 157.9623
69.000000 87.158 157.7138
70.000000 87.099 157.4723
71.000000 87.040 157.2571
72.000000 86.982 157.0359
73.000000 86.921 156.7961
74.000000 86.853 156.5686
75.000000 86.784 156.3940
76.199997 86.714 156.1815
77.500000 86.640 155.9060
78.800003 86.565 155.6534
80.000000 86.500 155.4584
81.199997 86.436 155.2603
82.500000 86.359 155.0389
83.800003 86.273 154.8715
85.000000 86.194 154.7791
86.199997 86.125 154.7120
87.500000 86.062 154.6092
88.500000 86.014 154.4942
90.000000 85.936 154.3691
91.199997 85.880 154.2913
92.500000 85.816 154.1674
93.800003 85.749 154.0703
95.000000 85.693 153.9456
96.199997 85.636 153.7885
97.500000 85.577 153.6415
98.800003 85.523 153.5114
100.000000 85.473 153.4022
101.500000 85.408 153.3324
103.000000 85.340 153.2747
104.400002 85.270 153.2151
106.000000 85.189 153.1557
107.500000 85.118 153.0788
109.000000 85.050 152.9891
110.599998 84.979 152.9362
112.000000 84.921 152.9368
113.800003 84.847 152.9298
115.000000 84.795 152.9164
117.199997 84.692 152.8894
118.000000 84.657 152.8877
120.599998 84.558 152.8065
122.000000 84.506 152.7673
124.099998 84.429 152.7925
125.000000 84.396 152.8232
126.500000 84.339 152.8817
128.000000 84.281 152.9340
131.500000 84.146 152.9984
132.000000 84.128 153.0053
134.000000 84.057 153.0413
136.000000 83.991 153.1056
138.000000 83.925 153.1889
140.000000 83.857 153.2736
143.000000 83.749 153.4662
145.000000 83.686 153.6252
147.500000 83.615 153.7797
150.000000 83.541 153.9474
152.500000 83.467 154.2103
155.000000 83.404 154.4252
157.500000 83.333 154.5479
160.000000 83.245 154.7265
162.500000 83.160 155.1079
165.000000 83.089 155.5223
167.500000 83.027 155.9599
170.000000 82.979 156.3679
172.500000 82.950 156.6769
175.000000 82.939 156.8435
177.500000 82.932 156.8457
180.000000 82.904 156.7836
182.500000 82.858 156.7662
185.000000 82.802 156.7417
187.500000 82.736 156.7236
190.000000 82.667 156.7468
192.500000 82.598 156.8265
195.000000 82.530 156.9247
197.500000 82.464 157.0457
200.000000 82.400 157.1785
203.000000 82.332 157.3801
206.000000 82.272 157.5700
209.000000 82.217 157.7457
212.000000 82.165 157.9264
214.000000 82.130 158.0424
218.000000 82.061 158.3322
220.000000 82.028 158.5008
224.000000 81.964 158.8255
227.000000 81.915 159.0239
230.000000 81.871 159.2271
233.000000 81.831 159.4557
236.000000 81.789 159.6829
240.000000 81.730 159.9774
243.000000 81.685 160.2311
247.000000 81.630 160.5671
250.000000 81.590 160.8054
254.000000 81.536 161.1140
258.000000 81.482 161.4302
262.000000 81.433 161.7733
265.000000 81.398 162.0219
269.000000 81.351 162.3394
272.000000 81.316 162.5721
276.000000 81.271 162.8690
280.000000 81.228 163.1743
285.000000 81.178 163.5805
290.000000 81.128 163.9780
295.000000 81.084 164.3566
300.000000 81.038 164.6985
304.000000 81.000 164.9778
307.000000 80.972 165.2110
311.000000 80.934 165.5048
315.000000 80.899 165.7794
