* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 25, 25 4:45:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zenith uuuu R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.018 80.2695
1.015000 71.988 80.4300
1.030000 71.950 80.5998
1.044000 71.909 80.7678
1.060000 71.853 80.9724
1.075000 71.792 81.1777
1.090000 71.724 81.3965
1.106000 71.645 81.6404
1.120000 71.574 81.8534
1.138000 71.483 82.1203
1.150000 71.421 82.2942
1.172000 71.304 82.6057
1.180000 71.260 82.7165
1.206000 71.107 83.0751
1.220000 71.018 83.2694
1.241000 70.873 83.5659
1.250000 70.806 83.6959
1.265000 70.687 83.9179
1.280000 70.558 84.1484
1.315000 70.214 84.7318
1.320000 70.159 84.8217
1.340000 69.923 85.2020
1.360000 69.661 85.6207
1.380000 69.369 86.0968
1.400000 69.046 86.6337
1.430000 68.496 87.5697
1.450000 68.081 88.2990
1.475000 67.485 89.3448
1.500000 66.755 90.5377
1.525000 65.883 91.8896
1.550000 64.894 93.4306
1.575000 63.815 95.2062
1.600000 62.678 97.2737
1.625000 61.510 99.6941
1.650000 60.343 102.5625
1.675000 59.205 106.0071
1.700000 58.129 110.2022
1.725000 57.143 115.3813
1.750000 56.281 121.8459
1.775000 55.573 129.9407
1.800000 55.052 139.9602
1.825000 54.748 151.9184
1.850000 54.673 165.2049
1.875000 54.813 178.6008
1.900000 55.142 -169.1473
1.925000 55.632 -158.7437
1.950000 56.256 -150.2636
1.975000 56.988 -143.4529
2.000000 57.800 -137.9775
2.030000 58.845 -132.7324
2.060000 59.923 -128.5533
2.090000 60.989 -125.1509
2.120000 62.001 -122.3231
2.140000 62.625 -120.6855
2.180000 63.703 -117.8710
2.200000 64.152 -116.6475
2.240000 64.941 -114.4473
2.270000 65.483 -112.9648
2.300000 65.991 -111.6041
2.330000 66.472 -110.3530
2.360000 66.927 -109.2024
2.400000 67.501 -107.8325
2.430000 67.912 -106.9070
2.470000 68.439 -105.7944
2.500000 68.823 -105.0444
2.540000 69.327 -104.1449
2.580000 69.819 -103.3376
2.620000 70.288 -102.5738
2.650000 70.621 -102.0059
2.690000 71.044 -101.2730
2.720000 71.347 -100.7531
2.760000 71.735 -100.1118
2.800000 72.109 -99.5713
2.850000 72.561 -99.0143
2.900000 73.005 -98.5904
2.950000 73.442 -98.2701
3.000000 73.866 -98.0002
3.040000 74.193 -97.7990
3.070000 74.432 -97.6590
3.110000 74.742 -97.4969
3.150000 75.043 -97.3727
3.200000 75.408 -97.3073
3.250000 75.762 -97.3393
3.300000 76.106 -97.4576
3.350000 76.438 -97.6287
3.400000 76.758 -97.8468
3.450000 77.065 -98.0934
3.500000 77.361 -98.3610
3.550000 77.646 -98.6535
3.600000 77.920 -99.0039
3.650000 78.184 -99.4023
3.700000 78.436 -99.8390
3.750000 78.678 -100.3062
3.820000 78.997 -101.0250
3.870000 79.213 -101.5520
3.950000 79.537 -102.3865
4.000000 79.728 -102.9245
4.060000 79.944 -103.5879
4.120000 80.146 -104.2757
4.180000 80.334 -104.9849
4.250000 80.536 -105.8340
4.310000 80.697 -106.5236
4.370000 80.848 -107.1707
4.440000 81.010 -107.9209
4.500000 81.136 -108.5580
4.550000 81.232 -109.0801
4.620000 81.356 -109.8070
4.680000 81.454 -110.3840
4.750000 81.561 -110.9756
4.820000 81.659 -111.5217
4.870000 81.722 -111.8881
4.940000 81.804 -112.3599
5.000000 81.869 -112.7362
5.080000 81.954 -113.1716
5.150000 82.028 -113.4657
5.220000 82.099 -113.7084
5.300000 82.179 -113.9211
5.380000 82.260 -114.0769
5.450000 82.335 -114.1990
5.520000 82.416 -114.2780
5.600000 82.516 -114.3227
5.700000 82.648 -114.3422
5.800000 82.790 -114.3646
5.900000 82.944 -114.4399
6.000000 83.112 -114.5289
6.080000 83.252 -114.6357
6.150000 83.377 -114.7589
6.220000 83.503 -114.9464
6.300000 83.648 -115.2159
6.400000 83.833 -115.6204
6.500000 84.014 -116.1095
6.600000 84.188 -116.6785
6.700000 84.352 -117.3474
6.800000 84.508 -118.0842
6.900000 84.652 -118.8697
7.000000 84.781 -119.6832
7.100000 84.897 -120.5491
7.200000 84.998 -121.4321
7.300000 85.086 -122.3037
7.400000 85.160 -123.1479
7.500000 85.220 -123.9880
7.620000 85.277 -124.9478
7.750000 85.325 -125.8861
7.880000 85.358 -126.7434
8.000000 85.380 -127.4402
8.120000 85.400 -128.0363
8.250000 85.418 -128.5733
8.380000 85.439 -129.0149
8.500000 85.465 -129.3521
8.620000 85.498 -129.6195
8.750000 85.541 -129.8622
8.850000 85.580 -130.0324
9.000000 85.650 -130.2523
9.120000 85.713 -130.4254
9.250000 85.790 -130.6225
9.380000 85.873 -130.8260
9.500000 85.954 -131.0375
9.620000 86.038 -131.2669
9.750000 86.131 -131.5385
9.880000 86.222 -131.8354
10.000000 86.302 -132.1225
10.150000 86.396 -132.5511
10.300000 86.487 -132.9995
10.440000 86.570 -133.4361
10.600000 86.662 -133.9620
10.750000 86.745 -134.4864
10.900000 86.827 -135.0398
11.060000 86.910 -135.6938
11.200000 86.979 -136.3365
11.380000 87.057 -137.1805
11.500000 87.101 -137.7494
11.720000 87.163 -138.7743
11.800000 87.180 -139.1324
12.060000 87.216 -140.2427
12.200000 87.226 -140.8123
12.410000 87.237 -141.5586
12.500000 87.244 -141.8344
12.650000 87.258 -142.2360
12.800000 87.277 -142.5736
13.150000 87.345 -143.2151
13.200000 87.357 -143.3026
13.400000 87.415 -143.6342
13.600000 87.481 -143.9655
13.800000 87.555 -144.3224
14.000000 87.631 -144.7284
14.300000 87.745 -145.5075
14.500000 87.813 -146.0916
14.750000 87.884 -146.8695
15.000000 87.934 -147.6719
15.250000 87.963 -148.5089
15.500000 87.969 -149.2678
15.750000 87.957 -149.8916
16.000000 87.935 -150.3329
16.250000 87.918 -150.6124
16.500000 87.918 -150.7074
16.750000 87.949 -150.6799
17.000000 88.017 -150.6410
17.250000 88.120 -150.7340
17.500000 88.247 -151.0297
17.750000 88.381 -151.5771
18.000000 88.504 -152.3734
18.250000 88.602 -153.3942
18.500000 88.666 -154.5257
18.750000 88.693 -155.6707
19.000000 88.687 -156.7458
19.250000 88.658 -157.7108
19.500000 88.617 -158.5163
19.750000 88.573 -159.1623
20.000000 88.534 -159.6722
20.299999 88.499 -160.1827
20.600000 88.480 -160.5975
20.900000 88.475 -160.9566
21.200001 88.485 -161.3096
21.400000 88.498 -161.5522
21.799999 88.540 -162.0793
22.000000 88.565 -162.3806
22.400000 88.616 -163.0926
22.700001 88.645 -163.6768
23.000000 88.663 -164.2636
23.299999 88.674 -164.8324
23.600000 88.682 -165.3531
24.000000 88.697 -166.0013
24.299999 88.712 -166.5156
24.700001 88.730 -167.2621
25.000000 88.731 -167.8514
25.400000 88.710 -168.6102
25.799999 88.674 -169.2173
26.200001 88.643 -169.6546
26.500000 88.636 -169.9225
26.900000 88.649 -170.3029
27.200001 88.671 -170.6755
27.600000 88.696 -171.3079
28.000000 88.706 -172.0321
28.500000 88.691 -172.9326
29.000000 88.663 -173.6923
29.500000 88.643 -174.3270
30.000000 88.639 -174.9160
30.400000 88.645 -175.4255
30.700001 88.650 -175.8394
31.100000 88.650 -176.4241
31.500000 88.637 -177.0099
32.000000 88.606 -177.6338
32.500000 88.575 -178.0969
33.000000 88.561 -178.4476
33.500000 88.565 -178.8248
34.000000 88.573 -179.3010
34.500000 88.570 -179.8588
35.000000 88.553 179.5838
35.500000 88.527 179.0578
36.000000 88.498 178.5614
36.500000 88.465 178.0777
37.000000 88.430 177.6195
37.500000 88.394 177.1879
38.200001 88.345 176.6127
38.700001 88.311 176.2054
39.500000 88.252 175.6003
40.000000 88.218 175.2751
40.599998 88.186 174.8950
41.200001 88.159 174.4440
41.799999 88.114 173.9369
42.500000 88.030 173.5462
43.099998 87.978 173.5371
43.700001 87.991 173.5654
44.400002 88.052 173.1320
45.000000 88.069 172.3973
45.500000 88.046 171.8031
46.200001 88.006 171.2420
46.799999 88.003 170.8331
47.500000 88.010 170.1480
48.200001 87.983 169.3377
48.700001 87.940 168.8435
49.400002 87.870 168.3710
50.000000 87.820 168.1316
50.799999 87.776 167.8935
51.500000 87.755 167.6238
52.200001 87.731 167.2308
53.000000 87.681 166.7102
53.799999 87.615 166.2609
54.500000 87.561 165.9269
55.200001 87.513 165.5691
56.000000 87.455 165.1529
57.000000 87.390 164.7168
58.000000 87.345 164.2428
59.000000 87.289 163.7231
60.000000 87.231 163.2837
60.799999 87.187 162.9157
61.500000 87.142 162.5747
62.200001 87.089 162.2702
63.000000 87.028 161.9971
64.000000 86.960 161.6956
65.000000 86.898 161.3814
66.000000 86.832 161.0515
67.000000 86.762 160.7737
68.000000 86.694 160.5164
69.000000 86.625 160.2289
70.000000 86.546 159.9494
71.000000 86.467 159.7069
72.000000 86.392 159.4448
73.000000 86.315 159.2032
74.000000 86.245 158.9706
75.000000 86.175 158.7103
76.199997 86.086 158.3950
77.500000 85.976 158.1403
78.800003 85.870 158.0579
80.000000 85.778 158.0327
81.199997 85.687 158.1313
82.500000 85.600 158.3471
83.800003 85.522 158.7062
85.000000 85.485 159.0992
86.199997 85.471 159.3017
87.500000 85.469 159.3649
88.500000 85.470 159.2576
90.000000 85.472 158.9872
91.199997 85.462 158.6366
92.500000 85.428 158.3249
93.800003 85.383 158.0975
95.000000 85.330 157.9557
96.199997 85.281 157.8346
97.500000 85.224 157.6950
98.800003 85.177 157.5303
100.000000 85.125 157.3849
101.500000 85.089 157.3733
103.000000 85.054 157.2428
104.400002 85.028 157.2121
106.000000 84.993 156.9761
107.500000 84.945 156.8112
109.000000 84.907 156.4812
110.599998 84.817 156.0942
112.000000 84.741 156.0348
113.800003 84.669 155.8071
115.000000 84.603 155.5892
117.199997 84.502 155.4768
118.000000 84.479 155.3471
120.599998 84.341 154.9510
122.000000 84.277 155.1243
124.099998 84.230 155.1923
125.000000 84.207 155.0781
126.500000 84.148 154.8288
128.000000 84.069 154.6304
131.500000 83.856 154.7253
132.000000 83.829 154.8188
134.000000 83.747 155.2091
136.000000 83.680 155.3368
138.000000 83.600 155.4195
140.000000 83.540 155.5414
143.000000 83.447 155.6918
145.000000 83.387 156.0732
147.500000 83.352 156.8063
150.000000 83.360 157.3376
152.500000 83.374 157.5018
155.000000 83.380 157.3490
157.500000 83.372 157.0354
160.000000 83.332 156.7016
162.500000 83.265 156.4929
165.000000 83.184 156.3971
167.500000 83.103 156.3520
170.000000 83.021 156.3222
172.500000 82.937 156.3305
175.000000 82.858 156.4124
177.500000 82.784 156.4789
180.000000 82.711 156.5264
182.500000 82.638 156.5629
185.000000 82.562 156.6240
187.500000 82.486 156.7231
190.000000 82.412 156.8598
192.500000 82.343 157.0234
195.000000 82.275 157.1714
197.500000 82.208 157.3235
200.000000 82.142 157.4657
203.000000 82.074 157.6383
206.000000 82.015 157.8000
209.000000 81.958 157.9830
212.000000 81.906 158.2309
214.000000 81.876 158.3628
218.000000 81.810 158.5865
220.000000 81.775 158.7110
224.000000 81.713 158.9959
227.000000 81.675 159.2188
230.000000 81.635 159.4244
233.000000 81.592 159.6229
236.000000 81.547 159.8111
240.000000 81.488 160.0736
243.000000 81.444 160.2821
247.000000 81.384 160.5545
250.000000 81.337 160.7635
254.000000 81.277 161.1029
258.000000 81.216 161.4415
262.000000 81.154 161.7470
265.000000 81.110 161.9651
269.000000 81.052 162.2489
272.000000 81.012 162.4536
276.000000 80.962 162.7486
280.000000 80.915 163.0593
285.000000 80.855 163.4223
290.000000 80.797 163.7876
295.000000 80.742 164.1530
300.000000 80.690 164.5068
304.000000 80.650 164.8005
307.000000 80.621 165.0246
311.000000 80.584 165.3185
315.000000 80.548 165.6223
320.000000 80.503 165.9832
325.000000 80.462 166.3274
330.000000 80.423 166.6679
