* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 21, 25 9:36:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zvx pro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.274 -51.5831
1.015000 67.032 -51.7385
1.030000 67.756 -51.9664
1.044000 68.395 -52.2418
1.060000 69.076 -52.6279
1.075000 69.660 -53.0564
1.090000 70.186 -53.5449
1.106000 70.690 -54.1154
1.120000 71.100 -54.6291
1.138000 71.596 -55.2880
1.150000 71.911 -55.7230
1.172000 72.455 -56.5101
1.180000 72.642 -56.7934
1.206000 73.218 -57.6983
1.220000 73.507 -58.1757
1.241000 73.915 -58.8794
1.250000 74.081 -59.1768
1.265000 74.346 -59.6674
1.280000 74.599 -60.1524
1.315000 75.143 -61.2676
1.320000 75.216 -61.4255
1.340000 75.497 -62.0554
1.360000 75.763 -62.6844
1.380000 76.016 -63.3043
1.400000 76.258 -63.9241
1.430000 76.605 -64.8669
1.450000 76.828 -65.5072
1.475000 77.092 -66.3178
1.500000 77.325 -67.1231
1.525000 77.521 -67.9132
1.550000 77.683 -68.6865
1.575000 77.815 -69.4384
1.600000 77.922 -70.1658
1.625000 78.008 -70.8798
1.650000 78.077 -71.5823
1.675000 78.133 -72.2756
1.700000 78.182 -72.9624
1.725000 78.226 -73.6454
1.750000 78.271 -74.3274
1.775000 78.321 -75.0154
1.800000 78.380 -75.7165
1.825000 78.450 -76.4250
1.850000 78.529 -77.1429
1.875000 78.608 -77.8675
1.900000 78.684 -78.5939
1.925000 78.758 -79.3170
1.950000 78.829 -80.0328
1.975000 78.898 -80.7419
2.000000 78.964 -81.4457
2.030000 79.041 -82.2708
2.060000 79.116 -83.0739
2.090000 79.188 -83.8544
2.120000 79.259 -84.6125
2.140000 79.305 -85.1062
2.180000 79.396 -86.0756
2.200000 79.440 -86.5582
2.240000 79.526 -87.5221
2.270000 79.588 -88.2466
2.300000 79.647 -88.9671
2.330000 79.705 -89.6783
2.360000 79.760 -90.3756
2.400000 79.831 -91.2986
2.430000 79.883 -91.9687
2.470000 79.949 -92.8246
2.500000 79.998 -93.4363
2.540000 80.060 -94.2111
2.580000 80.121 -94.9620
2.620000 80.179 -95.7261
2.650000 80.221 -96.2945
2.690000 80.274 -97.0408
2.720000 80.313 -97.5869
2.760000 80.362 -98.2891
2.800000 80.409 -98.9848
2.850000 80.466 -99.7996
2.900000 80.521 -100.5395
2.950000 80.574 -101.2101
3.000000 80.623 -101.8681
3.040000 80.660 -102.3835
3.070000 80.686 -102.7559
3.110000 80.720 -103.2296
3.150000 80.754 -103.6732
3.200000 80.796 -104.2012
3.250000 80.838 -104.6775
3.300000 80.882 -105.0871
3.350000 80.927 -105.4393
3.400000 80.970 -105.7724
3.450000 81.014 -106.0758
3.500000 81.059 -106.3400
3.550000 81.106 -106.5637
3.600000 81.157 -106.7732
3.650000 81.211 -106.9509
3.700000 81.270 -107.0819
3.750000 81.332 -107.1671
3.820000 81.423 -107.2623
3.870000 81.493 -107.3068
3.950000 81.613 -107.3438
4.000000 81.694 -107.3779
4.060000 81.798 -107.4131
4.120000 81.909 -107.4126
4.180000 82.028 -107.3919
4.250000 82.173 -107.3949
4.310000 82.302 -107.4088
4.370000 82.436 -107.4523
4.440000 82.597 -107.5652
4.500000 82.741 -107.6653
4.550000 82.865 -107.7509
4.620000 83.042 -107.9202
4.680000 83.194 -108.1025
4.750000 83.371 -108.3621
4.820000 83.547 -108.6973
4.870000 83.674 -108.9613
4.940000 83.852 -109.3514
5.000000 84.003 -109.7237
5.080000 84.198 -110.2691
5.150000 84.363 -110.7838
5.220000 84.522 -111.3595
5.300000 84.698 -112.0583
5.380000 84.867 -112.7771
5.450000 85.006 -113.4356
5.520000 85.137 -114.0966
5.600000 85.277 -114.8881
5.700000 85.437 -115.9176
5.800000 85.582 -116.9260
5.900000 85.711 -117.9075
6.000000 85.823 -118.8776
6.080000 85.902 -119.6498
6.150000 85.965 -120.2834
6.220000 86.022 -120.8891
6.300000 86.081 -121.5332
6.400000 86.143 -122.2884
6.500000 86.198 -122.9874
6.600000 86.249 -123.5925
6.700000 86.298 -124.1143
6.800000 86.344 -124.5582
6.900000 86.393 -124.9483
7.000000 86.447 -125.2725
7.100000 86.508 -125.5391
7.200000 86.574 -125.7610
7.300000 86.649 -125.9807
7.400000 86.732 -126.1946
7.500000 86.824 -126.4100
7.620000 86.943 -126.6960
7.750000 87.079 -127.0868
7.880000 87.222 -127.5676
8.000000 87.355 -128.0793
8.120000 87.482 -128.6825
8.250000 87.614 -129.4314
8.380000 87.735 -130.2452
8.500000 87.833 -131.0545
8.620000 87.918 -131.9108
8.750000 87.995 -132.8492
8.850000 88.041 -133.5633
9.000000 88.090 -134.6146
9.120000 88.116 -135.4108
9.250000 88.132 -136.1955
9.380000 88.138 -136.9004
9.500000 88.140 -137.4794
9.620000 88.141 -137.9678
9.750000 88.141 -138.4094
9.880000 88.143 -138.7781
10.000000 88.147 -139.0482
10.150000 88.158 -139.3640
10.300000 88.180 -139.6454
10.440000 88.212 -139.8932
10.600000 88.261 -140.1983
10.750000 88.317 -140.5402
10.900000 88.381 -140.9406
11.060000 88.453 -141.4787
11.200000 88.517 -142.0612
11.380000 88.592 -142.8806
11.500000 88.636 -143.4651
11.720000 88.700 -144.5802
11.800000 88.718 -144.9900
12.060000 88.759 -146.3380
12.200000 88.771 -147.0817
12.410000 88.782 -148.1486
12.500000 88.786 -148.5832
12.650000 88.792 -149.2761
12.800000 88.798 -149.9279
13.150000 88.800 -151.3333
13.200000 88.799 -151.5238
13.400000 88.793 -152.2313
13.600000 88.783 -152.8442
13.800000 88.771 -153.3563
14.000000 88.763 -153.7706
14.300000 88.765 -154.2915
14.500000 88.781 -154.5562
14.750000 88.821 -154.8517
15.000000 88.881 -155.1763
15.250000 88.957 -155.6551
15.500000 89.037 -156.2638
15.750000 89.108 -156.9966
16.000000 89.161 -157.8175
16.250000 89.192 -158.7029
16.500000 89.202 -159.5479
16.750000 89.196 -160.2948
17.000000 89.181 -160.9219
17.250000 89.169 -161.4653
17.500000 89.166 -161.9310
17.750000 89.175 -162.3690
18.000000 89.195 -162.8309
18.250000 89.219 -163.3755
18.500000 89.240 -163.9814
18.750000 89.253 -164.6248
19.000000 89.254 -165.2723
19.250000 89.244 -165.9065
19.500000 89.226 -166.4751
19.750000 89.207 -166.9631
20.000000 89.190 -167.3740
20.299999 89.181 -167.8224
20.600000 89.184 -168.2264
20.900000 89.199 -168.6228
21.200001 89.223 -169.0560
21.400000 89.242 -169.3688
21.799999 89.284 -170.0533
22.000000 89.305 -170.4348
22.400000 89.339 -171.3108
22.700001 89.347 -172.0273
23.000000 89.334 -172.7426
23.299999 89.296 -173.3920
23.600000 89.240 -173.8743
24.000000 89.168 -174.1785
24.299999 89.141 -174.2206
24.700001 89.167 -174.2563
25.000000 89.223 -174.4716
25.400000 89.305 -175.1985
25.799999 89.338 -176.3140
26.200001 89.293 -177.4911
26.500000 89.220 -178.1942
26.900000 89.119 -178.7523
27.200001 89.072 -178.9708
27.600000 89.065 -179.2753
28.000000 89.092 -179.8582
28.500000 89.098 178.9997
29.000000 89.032 177.8752
29.500000 88.946 177.1641
30.000000 88.912 176.7441
30.400000 88.923 176.3345
30.700001 88.932 175.9308
31.100000 88.925 175.3549
31.500000 88.897 174.9004
32.000000 88.874 174.6377
32.500000 88.905 174.4653
33.000000 88.966 174.0265
33.500000 88.993 173.2789
34.000000 88.954 172.5460
34.500000 88.879 172.1213
35.000000 88.819 172.0093
35.500000 88.800 171.9421
36.000000 88.803 171.6863
36.500000 88.796 171.2018
37.000000 88.762 170.6165
37.500000 88.709 170.0538
38.200001 88.630 169.3394
38.700001 88.574 168.7994
39.500000 88.450 167.9990
40.000000 88.361 167.7918
40.599998 88.305 167.8744
41.200001 88.337 167.8392
41.799999 88.391 167.2421
42.500000 88.358 166.1634
43.099998 88.258 165.5304
43.700001 88.165 165.2372
44.400002 88.074 164.9385
45.000000 87.976 164.7549
45.500000 87.897 164.8210
46.200001 87.864 165.0616
46.799999 87.904 164.8959
47.500000 87.937 164.0446
48.200001 87.892 162.9368
48.700001 87.823 162.2958
49.400002 87.724 161.7759
50.000000 87.674 161.5650
50.799999 87.657 161.2324
51.500000 87.639 160.8354
52.200001 87.604 160.5517
53.000000 87.576 160.3687
53.799999 87.551 160.0955
54.500000 87.504 159.7859
55.200001 87.430 159.5748
56.000000 87.351 159.5213
57.000000 87.299 159.3062
58.000000 87.226 158.6819
59.000000 87.122 158.1876
60.000000 87.041 157.7611
60.799999 86.977 157.4760
61.500000 86.940 157.3046
62.200001 86.920 157.0292
63.000000 86.876 156.6055
64.000000 86.797 156.2798
65.000000 86.741 156.0504
66.000000 86.677 155.7083
67.000000 86.603 155.4660
68.000000 86.542 155.2517
69.000000 86.482 154.9914
70.000000 86.416 154.7599
71.000000 86.352 154.6011
72.000000 86.300 154.4526
73.000000 86.252 154.2187
74.000000 86.195 153.9340
75.000000 86.134 153.6431
76.199997 86.056 153.2794
77.500000 85.968 152.9588
78.800003 85.887 152.7144
80.000000 85.818 152.4892
81.199997 85.744 152.2705
82.500000 85.661 152.0623
83.800003 85.581 151.8760
85.000000 85.509 151.7018
86.199997 85.441 151.5078
87.500000 85.364 151.2967
88.500000 85.308 151.1805
90.000000 85.230 150.9706
91.199997 85.163 150.8034
92.500000 85.092 150.6869
93.800003 85.030 150.5760
95.000000 84.973 150.4356
96.199997 84.906 150.2843
97.500000 84.828 150.1856
98.800003 84.753 150.1006
100.000000 84.688 150.0081
101.500000 84.615 149.8947
103.000000 84.547 149.7415
104.400002 84.484 149.6534
106.000000 84.410 149.5782
107.500000 84.351 149.5455
109.000000 84.277 149.3465
110.599998 84.183 149.2984
112.000000 84.117 149.3647
113.800003 84.048 149.2803
115.000000 83.989 149.2744
117.199997 83.897 149.0080
118.000000 83.843 148.8689
120.599998 83.700 148.8907
122.000000 83.639 148.8566
124.099998 83.544 149.0753
125.000000 83.516 149.1589
126.500000 83.465 149.1438
128.000000 83.403 149.0238
131.500000 83.248 148.8691
132.000000 83.228 148.8540
134.000000 83.131 148.9382
136.000000 83.056 149.3056
138.000000 83.003 149.3852
140.000000 82.929 149.3707
143.000000 82.802 149.4988
145.000000 82.730 149.7726
147.500000 82.653 150.2558
150.000000 82.596 150.8326
152.500000 82.570 151.3372
155.000000 82.570 151.3695
157.500000 82.551 151.1288
160.000000 82.500 150.9899
162.500000 82.422 151.0547
165.000000 82.328 151.0975
167.500000 82.222 151.0880
170.000000 82.125 151.1711
172.500000 82.045 151.2937
175.000000 81.965 151.3716
177.500000 81.879 151.4993
180.000000 81.799 151.6076
182.500000 81.719 151.7342
185.000000 81.644 151.9361
187.500000 81.570 152.1239
190.000000 81.498 152.2949
192.500000 81.434 152.4601
195.000000 81.376 152.6345
197.500000 81.317 152.8065
200.000000 81.255 152.9612
203.000000 81.185 153.1647
206.000000 81.120 153.3544
209.000000 81.056 153.5591
212.000000 80.993 153.7655
214.000000 80.951 153.8801
218.000000 80.871 154.1468
220.000000 80.836 154.2806
224.000000 80.770 154.5297
227.000000 80.719 154.7196
230.000000 80.668 154.9469
233.000000 80.622 155.2029
236.000000 80.581 155.3925
240.000000 80.503 155.6089
243.000000 80.439 155.9296
247.000000 80.364 156.2963
250.000000 80.314 156.5503
254.000000 80.246 156.8492
258.000000 80.183 157.1801
262.000000 80.121 157.5267
265.000000 80.077 157.7891
269.000000 80.014 158.0192
272.000000 79.969 158.2941
276.000000 79.923 158.6989
280.000000 79.875 158.9546
285.000000 79.802 159.2776
290.000000 79.734 159.7392
295.000000 79.671 160.2651
300.000000 79.596 160.6789
304.000000 79.545 160.9607
307.000000 79.511 161.2450
311.000000 79.464 161.6302
315.000000 79.418 161.9374
320.000000 79.365 162.3301
