* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 21, 25 9:43:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zvx pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.056 -22.2029
1.015000 68.231 -23.9918
1.030000 68.407 -25.7717
1.044000 68.574 -27.4272
1.060000 68.767 -29.3150
1.075000 68.950 -31.0836
1.090000 69.136 -32.8537
1.106000 69.339 -34.7438
1.120000 69.524 -36.3941
1.138000 69.772 -38.4978
1.150000 69.944 -39.8822
1.172000 70.270 -42.3698
1.180000 70.392 -43.2561
1.206000 70.796 -46.0535
1.220000 71.018 -47.5030
1.241000 71.354 -49.5979
1.250000 71.499 -50.4661
1.265000 71.740 -51.8733
1.280000 71.981 -53.2313
1.315000 72.533 -56.2136
1.320000 72.610 -56.6192
1.340000 72.914 -58.1933
1.360000 73.207 -59.6941
1.380000 73.488 -61.1164
1.400000 73.753 -62.4723
1.430000 74.117 -64.4020
1.450000 74.334 -65.6275
1.475000 74.574 -67.0996
1.500000 74.784 -68.5097
1.525000 74.965 -69.8580
1.550000 75.123 -71.1448
1.575000 75.260 -72.3664
1.600000 75.379 -73.5208
1.625000 75.483 -74.6194
1.650000 75.575 -75.6651
1.675000 75.658 -76.6611
1.700000 75.735 -77.6104
1.725000 75.810 -78.5163
1.750000 75.884 -79.3821
1.775000 75.961 -80.2153
1.800000 76.045 -81.0231
1.825000 76.136 -81.8007
1.850000 76.232 -82.5535
1.875000 76.329 -83.2848
1.900000 76.423 -83.9942
1.925000 76.515 -84.6798
1.950000 76.604 -85.3399
1.975000 76.692 -85.9771
2.000000 76.778 -86.5942
2.030000 76.879 -87.2972
2.060000 76.978 -87.9595
2.090000 77.076 -88.5808
2.120000 77.172 -89.1616
2.140000 77.236 -89.5266
2.180000 77.362 -90.2118
2.200000 77.424 -90.5370
2.240000 77.546 -91.1475
2.270000 77.635 -91.5753
2.300000 77.722 -91.9788
2.330000 77.807 -92.3588
2.360000 77.891 -92.7158
2.400000 78.001 -93.1784
2.430000 78.083 -93.5025
2.470000 78.192 -93.9010
2.500000 78.275 -94.1750
2.540000 78.385 -94.5073
2.580000 78.497 -94.8131
2.620000 78.610 -95.1035
2.650000 78.693 -95.2961
2.690000 78.805 -95.5256
2.720000 78.889 -95.6808
2.760000 79.001 -95.8685
2.800000 79.113 -96.0690
2.850000 79.254 -96.3081
2.900000 79.397 -96.5345
2.950000 79.543 -96.7440
3.000000 79.690 -96.9445
3.040000 79.808 -97.0897
3.070000 79.898 -97.1885
3.110000 80.018 -97.3125
3.150000 80.139 -97.4337
3.200000 80.290 -97.6133
3.250000 80.442 -97.8182
3.300000 80.594 -98.0400
3.350000 80.747 -98.2629
3.400000 80.902 -98.5002
3.450000 81.057 -98.7416
3.500000 81.213 -98.9843
3.550000 81.367 -99.2351
3.600000 81.520 -99.5285
3.650000 81.670 -99.8545
3.700000 81.818 -100.1994
3.750000 81.965 -100.5548
3.820000 82.168 -101.0989
3.870000 82.310 -101.5000
3.950000 82.532 -102.1492
4.000000 82.665 -102.5865
4.060000 82.820 -103.1379
4.120000 82.969 -103.7083
4.180000 83.114 -104.2973
4.250000 83.276 -105.0197
4.310000 83.409 -105.6254
4.370000 83.535 -106.2194
4.440000 83.674 -106.9406
4.500000 83.786 -107.5662
4.550000 83.875 -108.0870
4.620000 83.992 -108.8317
4.680000 84.088 -109.4493
4.750000 84.193 -110.1261
4.820000 84.291 -110.7974
4.870000 84.356 -111.2722
4.940000 84.442 -111.9175
5.000000 84.511 -112.4610
5.080000 84.599 -113.1455
5.150000 84.672 -113.6859
5.220000 84.742 -114.2068
5.300000 84.816 -114.7683
5.380000 84.888 -115.2871
5.450000 84.951 -115.7252
5.520000 85.014 -116.1168
5.600000 85.087 -116.5273
5.700000 85.178 -117.0050
5.800000 85.271 -117.4462
5.900000 85.371 -117.8752
6.000000 85.475 -118.2695
6.080000 85.562 -118.5848
6.150000 85.640 -118.8551
6.220000 85.719 -119.1508
6.300000 85.813 -119.4974
6.400000 85.932 -119.9412
6.500000 86.053 -120.4171
6.600000 86.173 -120.9245
6.700000 86.290 -121.4799
6.800000 86.406 -122.0624
6.900000 86.518 -122.6747
7.000000 86.623 -123.3044
7.100000 86.723 -123.9684
7.200000 86.816 -124.6421
7.300000 86.902 -125.3167
7.400000 86.981 -125.9793
7.500000 87.053 -126.6462
7.620000 87.132 -127.4234
7.750000 87.210 -128.2149
7.880000 87.280 -128.9727
8.000000 87.342 -129.6250
8.120000 87.403 -130.2328
8.250000 87.469 -130.8436
8.380000 87.536 -131.4203
8.500000 87.603 -131.9399
8.620000 87.673 -132.4428
8.750000 87.752 -132.9911
8.850000 87.815 -133.4293
9.000000 87.910 -134.1015
9.120000 87.986 -134.6637
9.250000 88.065 -135.3015
9.380000 88.142 -135.9606
9.500000 88.207 -136.5861
9.620000 88.266 -137.2151
9.750000 88.323 -137.8998
9.880000 88.368 -138.5663
10.000000 88.398 -139.1464
10.150000 88.422 -139.8738
10.300000 88.439 -140.5246
10.440000 88.451 -141.0590
10.600000 88.465 -141.5994
10.750000 88.484 -142.0453
10.900000 88.511 -142.4517
11.060000 88.551 -142.9101
11.200000 88.596 -143.3627
11.380000 88.660 -143.9885
11.500000 88.704 -144.4453
11.720000 88.779 -145.3597
11.800000 88.803 -145.7176
12.060000 88.861 -146.9616
12.200000 88.878 -147.6799
12.410000 88.886 -148.7176
12.500000 88.885 -149.1277
12.650000 88.880 -149.7559
12.800000 88.872 -150.3005
13.150000 88.855 -151.2592
13.200000 88.855 -151.3697
13.400000 88.866 -151.7379
13.600000 88.895 -152.0459
13.800000 88.944 -152.3522
14.000000 89.008 -152.7244
14.300000 89.116 -153.5341
14.500000 89.180 -154.2025
14.750000 89.239 -155.1241
15.000000 89.269 -156.0666
15.250000 89.272 -156.9876
15.500000 89.258 -157.7627
15.750000 89.240 -158.3660
16.000000 89.234 -158.8247
16.250000 89.248 -159.2524
16.500000 89.281 -159.6845
16.750000 89.325 -160.1854
17.000000 89.369 -160.7818
17.250000 89.404 -161.4853
17.500000 89.423 -162.2216
17.750000 89.425 -162.9290
18.000000 89.417 -163.5688
18.250000 89.405 -164.1487
18.500000 89.399 -164.6557
18.750000 89.400 -165.1228
19.000000 89.410 -165.5935
19.250000 89.424 -166.1257
19.500000 89.436 -166.7046
19.750000 89.439 -167.3141
20.000000 89.430 -167.9183
20.299999 89.405 -168.6088
20.600000 89.373 -169.1766
20.900000 89.345 -169.6100
21.200001 89.332 -169.9686
21.400000 89.335 -170.1993
21.799999 89.362 -170.7268
22.000000 89.382 -171.0572
22.400000 89.414 -171.8877
22.700001 89.420 -172.5912
23.000000 89.405 -173.2925
23.299999 89.373 -173.9386
23.600000 89.330 -174.4634
24.000000 89.275 -174.9477
24.299999 89.249 -175.1994
24.700001 89.244 -175.4727
25.000000 89.262 -175.7170
25.400000 89.305 -176.2166
25.799999 89.347 -176.9407
26.200001 89.366 -177.8610
26.500000 89.357 -178.6124
26.900000 89.312 -179.5666
27.200001 89.258 179.8174
27.600000 89.175 179.1913
28.000000 89.098 178.7896
28.500000 89.029 178.4901
29.000000 88.999 178.2851
29.500000 89.004 178.0275
30.000000 89.036 177.6096
30.400000 89.066 177.0896
30.700001 89.080 176.5991
31.100000 89.076 175.8757
31.500000 89.040 175.1921
32.000000 88.972 174.5950
32.500000 88.923 174.2727
33.000000 88.918 173.9858
33.500000 88.931 173.4835
34.000000 88.918 172.8073
34.500000 88.869 172.1852
35.000000 88.813 171.7764
35.500000 88.779 171.4858
36.000000 88.766 171.1395
36.500000 88.750 170.6758
37.000000 88.720 170.1802
37.500000 88.680 169.7289
38.200001 88.620 169.1980
38.700001 88.581 168.8761
39.500000 88.534 168.4013
40.000000 88.512 168.0444
40.599998 88.474 167.5564
41.200001 88.422 167.1545
41.799999 88.386 166.8505
42.500000 88.371 166.3423
43.099998 88.340 165.7233
43.700001 88.280 165.1437
44.400002 88.208 164.6116
45.000000 88.149 164.1697
45.500000 88.091 163.8446
46.200001 88.017 163.6025
46.799999 87.995 163.4079
47.500000 87.975 162.8450
48.200001 87.889 162.2314
48.700001 87.810 162.0770
49.400002 87.749 162.1532
50.000000 87.747 162.1003
50.799999 87.747 161.7137
51.500000 87.743 161.3032
52.200001 87.759 160.7502
53.000000 87.768 159.7178
53.799999 87.710 158.4421
54.500000 87.596 157.5211
55.200001 87.461 157.0616
56.000000 87.345 157.0287
57.000000 87.284 157.2228
58.000000 87.280 157.2894
59.000000 87.259 157.0747
60.000000 87.193 156.9893
60.799999 87.147 156.9653
61.500000 87.097 156.8296
62.200001 87.032 156.7034
63.000000 86.969 156.5493
64.000000 86.885 156.0443
65.000000 86.761 155.6033
66.000000 86.672 155.3886
67.000000 86.620 155.0063
68.000000 86.553 154.5201
69.000000 86.472 154.1972
70.000000 86.402 154.0182
71.000000 86.338 153.8380
72.000000 86.271 153.6762
73.000000 86.212 153.5216
74.000000 86.158 153.2773
75.000000 86.097 152.9675
76.199997 86.013 152.6604
77.500000 85.932 152.4677
78.800003 85.856 152.2934
80.000000 85.787 152.2087
81.199997 85.725 152.0491
82.500000 85.644 151.8563
83.800003 85.575 151.6096
85.000000 85.500 151.3107
86.199997 85.431 151.0641
87.500000 85.360 150.7859
88.500000 85.304 150.6104
90.000000 85.220 150.4536
91.199997 85.164 150.4554
92.500000 85.130 150.3975
93.800003 85.081 150.0951
95.000000 84.992 149.8606
96.199997 84.900 149.9402
97.500000 84.835 150.0092
98.800003 84.759 149.8507
100.000000 84.670 149.7481
101.500000 84.571 149.7220
103.000000 84.504 149.5961
104.400002 84.448 149.2632
106.000000 84.362 148.9149
107.500000 84.280 148.8732
109.000000 84.222 149.0736
110.599998 84.176 149.2411
112.000000 84.123 149.2609
113.800003 84.039 149.1714
115.000000 83.980 149.0030
117.199997 83.863 148.7852
118.000000 83.830 148.7910
120.599998 83.732 148.6904
122.000000 83.649 148.5596
124.099998 83.507 148.4894
125.000000 83.474 148.5452
126.500000 83.469 148.5054
128.000000 83.485 148.3670
131.500000 83.403 148.7258
132.000000 83.372 148.7794
134.000000 83.212 149.2758
136.000000 83.134 149.2423
138.000000 83.018 148.3930
140.000000 82.869 148.3285
143.000000 82.740 149.3410
145.000000 82.672 149.7188
147.500000 82.593 149.5693
150.000000 82.549 149.2079
152.500000 82.536 148.9744
155.000000 82.474 149.3624
157.500000 82.411 149.7986
160.000000 82.311 149.8493
162.500000 82.190 150.1205
165.000000 82.135 150.5981
167.500000 82.115 150.8002
170.000000 82.069 150.9492
172.500000 81.995 151.0680
175.000000 81.905 151.0633
177.500000 81.824 151.0026
180.000000 81.758 151.0618
182.500000 81.685 151.2192
185.000000 81.598 151.3857
187.500000 81.511 151.5103
190.000000 81.437 151.6564
192.500000 81.369 151.7994
195.000000 81.300 151.9050
197.500000 81.235 152.0597
200.000000 81.174 152.2838
203.000000 81.100 152.5700
206.000000 81.026 152.7730
209.000000 80.959 152.9816
212.000000 80.895 153.2440
214.000000 80.854 153.4126
218.000000 80.775 153.7301
220.000000 80.738 153.8818
224.000000 80.665 154.1871
227.000000 80.613 154.4181
230.000000 80.560 154.6400
233.000000 80.506 154.8897
236.000000 80.453 155.1545
240.000000 80.390 155.5290
243.000000 80.347 155.7914
247.000000 80.291 156.1370
250.000000 80.247 156.3809
254.000000 80.189 156.6916
258.000000 80.133 156.9848
262.000000 80.072 157.2687
265.000000 80.026 157.5101
269.000000 79.972 157.8167
272.000000 79.930 158.0081
276.000000 79.871 158.3054
280.000000 79.813 158.6555
285.000000 79.744 159.0808
290.000000 79.681 159.4739
295.000000 79.621 159.7904
300.000000 79.559 160.1650
304.000000 79.509 160.5342
307.000000 79.469 160.8500
311.000000 79.418 161.1855
315.000000 79.377 161.4504
320.000000 79.320 161.8325
