* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 8:13:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zvx pro m2 b R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.229 53.2378
1.015000 39.920 51.3252
1.030000 39.657 49.3123
1.044000 39.456 47.3193
1.060000 39.288 44.8646
1.075000 39.194 42.3306
1.090000 39.168 39.4704
1.106000 39.216 35.8184
1.120000 39.317 31.7277
1.138000 39.521 24.4397
1.150000 39.699 17.6711
1.172000 40.106 -1.0130
1.180000 40.278 -10.3258
1.206000 40.914 -45.9382
1.220000 41.301 -62.6530
1.241000 41.929 -80.1622
1.250000 42.214 -85.4290
1.265000 42.707 -92.2131
1.280000 43.218 -97.2810
1.315000 44.462 -105.3049
1.320000 44.643 -106.1802
1.340000 45.371 -109.2604
1.360000 46.097 -111.8425
1.380000 46.811 -114.0882
1.400000 47.505 -116.1015
1.430000 48.487 -118.8318
1.450000 49.091 -120.5212
1.475000 49.796 -122.5082
1.500000 50.487 -124.3198
1.525000 51.183 -125.9602
1.550000 51.882 -127.4625
1.575000 52.582 -128.8563
1.600000 53.280 -130.1656
1.625000 53.972 -131.4096
1.650000 54.655 -132.6037
1.675000 55.326 -133.7607
1.700000 55.982 -134.8909
1.725000 56.619 -136.0029
1.750000 57.235 -137.1039
1.775000 57.827 -138.2000
1.800000 58.391 -139.2960
1.825000 58.925 -140.3940
1.850000 59.428 -141.4877
1.875000 59.903 -142.5646
1.900000 60.352 -143.6193
1.925000 60.777 -144.6502
1.950000 61.181 -145.6574
1.975000 61.566 -146.6414
2.000000 61.934 -147.6034
2.030000 62.356 -148.7307
2.060000 62.761 -149.8312
2.090000 63.153 -150.9081
2.120000 63.535 -151.9648
2.140000 63.787 -152.6598
2.180000 64.285 -154.0319
2.200000 64.533 -154.7115
2.240000 65.015 -156.0629
2.270000 65.360 -157.0678
2.300000 65.692 -158.0616
2.330000 66.012 -159.0412
2.360000 66.320 -160.0042
2.400000 66.716 -161.2598
2.430000 67.003 -162.1787
2.470000 67.376 -163.3725
2.500000 67.648 -164.2443
2.540000 68.006 -165.3762
2.580000 68.355 -166.4803
2.620000 68.692 -167.5701
2.650000 68.936 -168.3801
2.690000 69.249 -169.4463
2.720000 69.476 -170.2331
2.760000 69.771 -171.2611
2.800000 70.057 -172.2617
2.850000 70.404 -173.4690
2.900000 70.744 -174.6242
2.950000 71.075 -175.7300
3.000000 71.395 -176.8012
3.040000 71.643 -177.6383
3.070000 71.823 -178.2544
3.110000 72.059 -179.0599
3.150000 72.289 -179.8466
3.200000 72.571 179.1978
3.250000 72.850 178.2744
3.300000 73.125 177.3845
3.350000 73.395 176.5289
3.400000 73.659 175.7035
3.450000 73.917 174.9018
3.500000 74.171 174.1177
3.550000 74.422 173.3460
3.600000 74.670 172.5826
3.650000 74.917 171.8259
3.700000 75.163 171.0823
3.750000 75.407 170.3587
3.820000 75.745 169.3692
3.870000 75.983 168.6670
3.950000 76.360 167.5281
4.000000 76.593 166.7972
4.060000 76.871 165.9033
4.120000 77.148 165.0069
4.180000 77.421 164.1089
4.250000 77.736 163.0470
4.310000 78.002 162.1129
4.370000 78.262 161.1482
4.440000 78.560 159.9841
4.500000 78.811 158.9638
4.550000 79.016 158.1017
4.620000 79.298 156.8773
4.680000 79.533 155.8104
4.750000 79.797 154.5414
4.820000 80.052 153.2400
4.870000 80.229 152.2912
4.940000 80.469 150.9463
5.000000 80.667 149.7873
5.080000 80.919 148.2440
5.150000 81.128 146.8938
5.220000 81.327 145.5288
5.300000 81.541 143.9556
5.380000 81.742 142.3939
5.450000 81.908 141.0556
5.520000 82.065 139.7455
5.600000 82.231 138.2618
5.700000 82.423 136.4313
5.800000 82.599 134.6678
5.900000 82.762 132.9978
6.000000 82.911 131.3981
6.080000 83.022 130.1658
6.150000 83.115 129.1311
6.220000 83.206 128.1441
6.300000 83.308 127.0747
6.400000 83.430 125.8125
6.500000 83.550 124.6199
6.600000 83.674 123.4916
6.700000 83.801 122.4329
6.800000 83.930 121.4315
6.900000 84.065 120.4585
7.000000 84.205 119.4983
7.100000 84.352 118.5576
7.200000 84.503 117.6230
7.300000 84.658 116.6690
7.400000 84.815 115.6861
7.500000 84.975 114.6813
7.620000 85.167 113.4407
7.750000 85.371 112.0375
7.880000 85.570 110.5757
8.000000 85.746 109.1924
8.120000 85.912 107.7822
8.250000 86.081 106.2234
8.380000 86.238 104.6613
8.500000 86.371 103.2322
8.620000 86.493 101.8128
8.750000 86.615 100.3077
8.850000 86.701 99.1846
9.000000 86.820 97.5512
9.120000 86.909 96.2964
9.250000 87.000 94.9979
9.380000 87.088 93.7571
9.500000 87.166 92.6591
9.620000 87.245 91.6063
9.750000 87.330 90.5110
9.880000 87.410 89.4515
10.000000 87.480 88.5003
10.150000 87.561 87.3410
10.300000 87.639 86.1993
10.440000 87.711 85.1444
10.600000 87.791 83.9442
10.750000 87.865 82.8172
10.900000 87.937 81.6884
11.060000 88.010 80.4822
11.200000 88.070 79.4252
11.380000 88.140 78.0732
11.500000 88.182 77.1785
11.720000 88.249 75.5660
11.800000 88.270 74.9926
12.060000 88.325 73.1903
12.200000 88.348 72.2704
12.410000 88.380 70.9645
12.500000 88.395 70.4350
12.650000 88.424 69.5928
12.800000 88.457 68.7965
13.150000 88.547 67.0882
13.200000 88.561 66.8551
13.400000 88.625 65.9363
13.600000 88.696 65.0120
13.800000 88.773 64.0577
14.000000 88.851 63.0550
14.300000 88.959 61.4526
14.500000 89.021 60.3319
14.750000 89.079 58.9135
15.000000 89.117 57.5231
15.250000 89.136 56.2159
15.500000 89.144 55.0255
15.750000 89.150 53.9613
16.000000 89.162 53.0068
16.250000 89.186 52.1212
16.500000 89.221 51.2617
16.750000 89.265 50.3895
17.000000 89.310 49.4861
17.250000 89.353 48.5536
17.500000 89.389 47.6096
17.750000 89.418 46.6797
18.000000 89.441 45.7852
18.250000 89.462 44.9379
18.500000 89.483 44.1361
18.750000 89.507 43.3663
19.000000 89.534 42.6100
19.250000 89.565 41.8479
19.500000 89.596 41.0689
19.750000 89.624 40.2703
20.000000 89.647 39.4586
20.299999 89.667 38.4861
20.600000 89.677 37.5407
20.900000 89.679 36.6454
21.200001 89.677 35.8129
21.400000 89.675 35.2926
21.799999 89.675 34.3180
22.000000 89.678 33.8513
22.400000 89.689 32.9261
22.700001 89.701 32.2196
23.000000 89.711 31.4962
23.299999 89.717 30.7630
23.600000 89.718 30.0357
24.000000 89.713 29.1045
24.299999 89.707 28.4471
24.700001 89.702 27.6187
25.000000 89.703 27.0145
25.400000 89.708 26.2001
25.799999 89.713 25.3579
26.200001 89.712 24.5015
26.500000 89.705 23.8721
26.900000 89.692 23.0776
27.200001 89.681 22.5217
27.600000 89.670 21.8209
28.000000 89.665 21.1362
28.500000 89.660 20.2668
29.000000 89.651 19.3858
29.500000 89.634 18.5312
30.000000 89.615 17.7265
30.400000 89.600 17.1122
30.700001 89.590 16.6613
31.100000 89.576 16.0679
31.500000 89.562 15.4829
32.000000 89.543 14.7649
32.500000 89.524 14.0596
33.000000 89.504 13.3658
33.500000 89.482 12.6891
34.000000 89.460 12.0312
34.500000 89.438 11.3817
35.000000 89.414 10.7351
35.500000 89.385 10.1094
36.000000 89.354 9.5306
36.500000 89.328 8.9941
37.000000 89.309 8.4575
37.500000 89.291 7.8835
38.200001 89.253 7.0513
38.700001 89.216 6.5093
39.500000 89.161 5.7789
40.000000 89.136 5.3517
40.599998 89.110 4.8146
41.200001 89.081 4.2631
41.799999 89.051 3.7269
42.500000 89.016 3.1125
43.099998 88.984 2.5765
43.700001 88.948 2.0475
44.400002 88.902 1.4676
45.000000 88.864 0.9963
45.500000 88.831 0.6154
46.200001 88.787 0.1038
46.799999 88.753 -0.3330
47.500000 88.710 -0.8688
48.200001 88.656 -1.3609
48.700001 88.619 -1.6360
49.400002 88.585 -1.9876
50.000000 88.565 -2.3792
50.799999 88.518 -2.9933
51.500000 88.457 -3.4122
52.200001 88.408 -3.6910
53.000000 88.373 -4.0079
53.799999 88.347 -4.4160
54.500000 88.323 -4.8578
55.200001 88.284 -5.3234
56.000000 88.231 -5.7561
57.000000 88.182 -6.2279
58.000000 88.122 -6.7749
59.000000 88.048 -7.0690
60.000000 88.017 -7.2664
60.799999 87.998 -7.6122
61.500000 87.960 -7.9558
62.200001 87.911 -8.2294
63.000000 87.857 -8.4542
64.000000 87.803 -8.6890
65.000000 87.769 -8.9916
66.000000 87.739 -9.4568
67.000000 87.688 -9.9685
68.000000 87.629 -10.2832
69.000000 87.595 -10.4255
70.000000 87.585 -10.5778
71.000000 87.578 -10.7943
72.000000 87.559 -11.0101
73.000000 87.537 -11.1231
74.000000 87.527 -11.2764
75.000000 87.506 -11.5140
76.199997 87.477 -11.7635
77.500000 87.452 -12.0903
78.800003 87.432 -12.3641
80.000000 87.439 -12.6512
81.199997 87.453 -13.0720
82.500000 87.463 -13.6014
83.800003 87.468 -14.1219
85.000000 87.481 -14.5956
86.199997 87.498 -15.1039
87.500000 87.525 -15.7025
88.500000 87.541 -16.2618
90.000000 87.548 -17.1200
91.199997 87.554 -17.8448
92.500000 87.557 -18.8149
93.800003 87.532 -19.9409
95.000000 87.484 -20.9009
96.199997 87.441 -21.7314
97.500000 87.404 -22.6689
98.800003 87.350 -23.7164
100.000000 87.271 -24.6770
101.500000 87.141 -25.8204
103.000000 86.985 -26.8195
104.400002 86.841 -27.6045
106.000000 86.682 -28.4430
107.500000 86.522 -29.1536
109.000000 86.354 -29.6656
110.599998 86.179 -30.1376
112.000000 86.027 -30.4836
113.800003 85.833 -30.9639
115.000000 85.699 -31.1720
117.199997 85.487 -31.3363
118.000000 85.420 -31.4147
120.599998 85.179 -31.6664
122.000000 85.049 -31.6395
124.099998 84.875 -31.6272
125.000000 84.803 -31.6557
126.500000 84.689 -31.7662
128.000000 84.570 -31.9388
131.500000 84.347 -31.6996
132.000000 84.325 -31.6553
134.000000 84.215 -31.4901
136.000000 84.067 -31.1704
138.000000 83.930 -30.7740
140.000000 83.824 -30.5938
143.000000 83.685 -30.6043
145.000000 83.583 -30.6820
147.500000 83.440 -30.7284
150.000000 83.302 -30.7406
152.500000 83.169 -30.7170
155.000000 83.035 -30.6540
157.500000 82.894 -30.6285
160.000000 82.745 -30.5166
162.500000 82.601 -30.3516
165.000000 82.455 -30.2037
167.500000 82.307 -30.0812
170.000000 82.148 -29.9789
172.500000 81.972 -29.8748
175.000000 81.791 -29.6874
177.500000 81.616 -29.3858
180.000000 81.441 -29.0012
182.500000 81.256 -28.5493
185.000000 81.070 -27.9907
187.500000 80.888 -27.3563
190.000000 80.706 -26.6369
192.500000 80.528 -25.8185
195.000000 80.368 -24.8672
197.500000 80.231 -23.8221
200.000000 80.111 -22.7050
203.000000 79.996 -21.2997
206.000000 79.918 -19.8547
209.000000 79.874 -18.4214
212.000000 79.857 -17.0849
214.000000 79.859 -16.2548
218.000000 79.893 -14.7480
220.000000 79.918 -14.1215
224.000000 79.963 -13.0483
227.000000 79.997 -12.3293
230.000000 80.037 -11.6630
233.000000 80.077 -11.0627
236.000000 80.109 -10.5492
240.000000 80.147 -10.0280
243.000000 80.173 -9.7177
247.000000 80.197 -9.3388
250.000000 80.206 -9.0855
254.000000 80.209 -8.7495
258.000000 80.205 -8.4251
262.000000 80.195 -8.1423
265.000000 80.187 -7.9399
269.000000 80.178 -7.6878
272.000000 80.169 -7.5045
276.000000 80.152 -7.2413
280.000000 80.129 -6.9516
285.000000 80.095 -6.5857
290.000000 80.062 -6.2725
295.000000 80.026 -5.9625
300.000000 79.985 -5.6060
304.000000 79.951 -5.2926
307.000000 79.928 -5.0638
311.000000 79.897 -4.7631
315.000000 79.864 -4.4618
320.000000 79.822 -4.0817
325.000000 79.781 -3.7021
