* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 25 8:13:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: zvx pro m2 g R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.530 -49.2399
1.015000 42.293 -53.4834
1.030000 42.095 -58.1150
1.044000 41.949 -62.7828
1.060000 41.834 -68.4953
1.075000 41.778 -74.1609
1.090000 41.779 -80.0438
1.106000 41.845 -86.4431
1.120000 41.957 -92.0409
1.138000 42.173 -99.0676
1.150000 42.357 -103.5606
1.172000 42.772 -111.2453
1.180000 42.946 -113.8379
1.206000 43.585 -121.4768
1.220000 43.970 -125.1004
1.241000 44.592 -129.9409
1.250000 44.873 -131.8145
1.265000 45.356 -134.6949
1.280000 45.856 -137.3008
1.315000 47.059 -142.4789
1.320000 47.233 -143.1300
1.340000 47.929 -145.5475
1.360000 48.616 -147.7003
1.380000 49.285 -149.6286
1.400000 49.927 -151.3659
1.430000 50.817 -153.6731
1.450000 51.350 -155.0443
1.475000 51.953 -156.5976
1.500000 52.518 -157.9895
1.525000 53.066 -159.2420
1.550000 53.599 -160.3777
1.575000 54.118 -161.4154
1.600000 54.622 -162.3702
1.625000 55.114 -163.2547
1.650000 55.593 -164.0791
1.675000 56.059 -164.8519
1.700000 56.515 -165.5804
1.725000 56.959 -166.2703
1.750000 57.393 -166.9267
1.775000 57.818 -167.5538
1.800000 58.233 -168.1550
1.825000 58.638 -168.7323
1.850000 59.033 -169.2836
1.875000 59.413 -169.8058
1.900000 59.778 -170.3009
1.925000 60.131 -170.7724
1.950000 60.471 -171.2239
1.975000 60.801 -171.6583
2.000000 61.121 -172.0782
2.030000 61.494 -172.5663
2.060000 61.858 -173.0403
2.090000 62.213 -173.5031
2.120000 62.563 -173.9571
2.140000 62.794 -174.2559
2.180000 63.254 -174.8455
2.200000 63.483 -175.1348
2.240000 63.932 -175.6901
2.270000 64.259 -176.0839
2.300000 64.579 -176.4627
2.330000 64.891 -176.8313
2.360000 65.197 -177.1940
2.400000 65.596 -177.6748
2.430000 65.889 -178.0374
2.470000 66.274 -178.5285
2.500000 66.560 -178.9054
2.540000 66.936 -179.4214
2.580000 67.308 -179.9461
2.620000 67.673 179.5402
2.650000 67.943 179.1648
2.690000 68.295 178.6712
2.720000 68.555 178.3015
2.760000 68.896 177.8027
2.800000 69.232 177.2911
2.850000 69.643 176.6248
2.900000 70.047 175.9209
2.950000 70.444 175.1844
3.000000 70.832 174.4409
3.040000 71.137 173.8467
3.070000 71.362 173.3990
3.110000 71.657 172.7961
3.150000 71.948 172.1825
3.200000 72.303 171.3949
3.250000 72.650 170.5784
3.300000 72.989 169.7305
3.350000 73.320 168.8601
3.400000 73.643 167.9779
3.450000 73.957 167.0869
3.500000 74.264 166.1873
3.550000 74.562 165.2785
3.600000 74.853 164.3590
3.650000 75.135 163.4265
3.700000 75.409 162.4776
3.750000 75.674 161.5132
3.820000 76.032 160.1480
3.870000 76.279 159.1709
3.950000 76.657 157.6174
4.000000 76.884 156.6563
4.060000 77.147 155.5071
4.120000 77.398 154.3499
4.180000 77.638 153.1891
4.250000 77.906 151.8476
4.310000 78.126 150.7224
4.370000 78.338 149.6287
4.440000 78.574 148.3853
4.500000 78.767 147.3324
4.550000 78.921 146.4647
4.620000 79.129 145.2749
4.680000 79.301 144.2883
4.750000 79.497 143.1855
4.820000 79.686 142.1317
4.870000 79.816 141.4018
4.940000 79.993 140.4080
5.000000 80.141 139.5823
5.080000 80.337 138.5212
5.150000 80.509 137.6343
5.220000 80.679 136.7889
5.300000 80.872 135.8624
5.380000 81.065 134.9589
5.450000 81.235 134.1740
5.520000 81.409 133.3932
5.600000 81.610 132.5186
5.700000 81.865 131.4365
5.800000 82.123 130.3204
5.900000 82.383 129.1423
6.000000 82.646 127.9227
6.080000 82.858 126.9142
6.150000 83.041 125.9951
6.220000 83.221 125.0326
6.300000 83.423 123.8794
6.400000 83.671 122.3738
6.500000 83.911 120.8091
6.600000 84.137 119.1848
6.700000 84.349 117.4886
6.800000 84.548 115.7367
6.900000 84.731 113.9650
7.000000 84.896 112.1837
7.100000 85.043 110.3737
7.200000 85.173 108.5592
7.300000 85.286 106.7841
7.400000 85.382 105.0527
7.500000 85.462 103.3490
7.620000 85.538 101.3790
7.750000 85.602 99.3907
7.880000 85.646 97.5383
8.000000 85.677 95.9576
8.120000 85.704 94.5285
8.250000 85.730 93.1440
8.380000 85.760 91.8988
8.500000 85.798 90.8663
8.620000 85.846 89.9398
8.750000 85.912 88.9993
8.850000 85.975 88.2949
9.000000 86.089 87.2644
9.120000 86.193 86.4157
9.250000 86.316 85.4336
9.380000 86.447 84.3893
9.500000 86.569 83.3578
9.620000 86.689 82.2487
9.750000 86.814 80.9727
9.880000 86.924 79.6420
10.000000 87.007 78.3692
10.150000 87.088 76.7395
10.300000 87.144 75.1203
10.440000 87.175 73.6306
10.600000 87.191 71.9925
10.750000 87.190 70.5550
10.900000 87.178 69.2155
11.060000 87.160 67.9150
11.200000 87.143 66.8853
11.380000 87.126 65.6826
11.500000 87.120 64.9489
11.720000 87.124 63.6905
11.800000 87.131 63.2452
12.060000 87.170 61.8000
12.200000 87.197 60.9893
12.410000 87.243 59.7175
12.500000 87.264 59.1497
12.650000 87.300 58.1755
12.800000 87.331 57.1826
13.150000 87.372 54.8688
13.200000 87.374 54.5488
13.400000 87.373 53.3132
13.600000 87.362 52.1682
13.800000 87.347 51.1264
14.000000 87.335 50.1770
14.300000 87.328 48.8789
14.500000 87.335 48.0477
14.750000 87.353 46.9912
15.000000 87.374 45.8800
15.250000 87.390 44.7055
15.500000 87.392 43.4965
15.750000 87.377 42.2982
16.000000 87.345 41.1653
16.250000 87.304 40.1403
16.500000 87.258 39.2444
16.750000 87.216 38.4761
17.000000 87.182 37.8100
17.250000 87.159 37.2126
17.500000 87.147 36.6492
17.750000 87.143 36.0947
18.000000 87.144 35.5374
18.250000 87.148 34.9761
18.500000 87.152 34.4164
18.750000 87.156 33.8652
19.000000 87.159 33.3281
19.250000 87.162 32.8081
19.500000 87.165 32.3073
19.750000 87.168 31.8273
20.000000 87.172 31.3696
20.299999 87.177 30.8493
20.600000 87.186 30.3539
20.900000 87.199 29.8683
21.200001 87.215 29.3732
21.400000 87.226 29.0300
21.799999 87.246 28.3101
22.000000 87.252 27.9415
22.400000 87.254 27.2239
22.700001 87.251 26.7306
23.000000 87.250 26.2844
23.299999 87.254 25.8688
23.600000 87.267 25.4502
24.000000 87.294 24.8285
24.299999 87.314 24.2957
24.700001 87.330 23.5254
25.000000 87.332 22.9496
25.400000 87.326 22.2500
25.799999 87.324 21.6477
26.200001 87.338 21.0898
26.500000 87.359 20.6469
26.900000 87.392 19.9756
27.200001 87.413 19.4150
27.600000 87.427 18.6447
28.000000 87.429 17.9216
28.500000 87.429 17.1363
29.000000 87.441 16.4149
29.500000 87.461 15.6423
30.000000 87.469 14.8094
30.400000 87.463 14.1651
30.700001 87.455 13.7240
31.100000 87.446 13.1838
31.500000 87.446 12.6478
32.000000 87.448 11.9029
32.500000 87.434 11.0873
33.000000 87.399 10.3221
33.500000 87.359 9.6950
34.000000 87.334 9.1528
34.500000 87.324 8.5731
35.000000 87.312 7.9131
35.500000 87.286 7.2443
36.000000 87.251 6.6510
36.500000 87.220 6.1425
37.000000 87.194 5.6743
37.500000 87.171 5.2194
38.200001 87.137 4.6227
38.700001 87.116 4.2237
39.500000 87.084 3.5675
40.000000 87.060 3.1425
40.599998 87.025 2.6481
41.200001 86.991 2.1620
41.799999 86.958 1.6418
42.500000 86.908 1.0036
43.099998 86.858 0.5045
43.700001 86.813 0.0697
44.400002 86.775 -0.4402
45.000000 86.744 -0.9250
45.500000 86.713 -1.3281
46.200001 86.666 -1.8237
46.799999 86.630 -2.1976
47.500000 86.588 -2.6128
48.200001 86.541 -2.9597
48.700001 86.511 -3.1538
49.400002 86.482 -3.4352
50.000000 86.459 -3.7496
50.799999 86.412 -4.1946
51.500000 86.368 -4.5118
52.200001 86.337 -4.8185
53.000000 86.309 -5.2649
53.799999 86.272 -5.7672
54.500000 86.235 -6.1593
55.200001 86.202 -6.4942
56.000000 86.174 -6.8769
57.000000 86.132 -7.3504
58.000000 86.093 -7.7371
59.000000 86.056 -8.1857
60.000000 86.001 -8.6099
60.799999 85.963 -8.9048
61.500000 85.932 -9.2302
62.200001 85.892 -9.5828
63.000000 85.841 -9.9178
64.000000 85.793 -10.2589
65.000000 85.762 -10.6137
66.000000 85.743 -11.0536
67.000000 85.714 -11.6251
68.000000 85.654 -12.1556
69.000000 85.587 -12.4955
70.000000 85.533 -12.7730
71.000000 85.482 -13.1195
72.000000 85.422 -13.4976
73.000000 85.356 -13.8620
74.000000 85.290 -14.2025
75.000000 85.227 -14.5239
76.199997 85.158 -14.9180
77.500000 85.073 -15.3584
78.800003 84.999 -15.6904
80.000000 84.912 -16.1880
81.199997 84.802 -16.3549
82.500000 84.723 -16.6515
83.800003 84.622 -16.9769
85.000000 84.549 -17.3526
86.199997 84.434 -17.8091
87.500000 84.296 -17.7485
88.500000 84.244 -17.4637
90.000000 84.208 -17.5276
91.199997 84.128 -17.7477
92.500000 84.019 -17.8468
93.800003 83.900 -17.8547
95.000000 83.803 -17.7140
96.199997 83.734 -17.5052
97.500000 83.685 -17.2651
98.800003 83.649 -17.0054
100.000000 83.621 -16.7097
101.500000 83.595 -16.3362
103.000000 83.567 -16.1007
104.400002 83.534 -16.0039
106.000000 83.499 -15.9496
107.500000 83.479 -15.9869
109.000000 83.461 -16.0166
110.599998 83.457 -16.0486
112.000000 83.445 -16.1547
113.800003 83.417 -16.2747
115.000000 83.398 -16.3541
117.199997 83.355 -16.6312
118.000000 83.336 -16.7374
120.599998 83.270 -17.0344
122.000000 83.243 -17.1898
124.099998 83.201 -17.5149
125.000000 83.179 -17.6613
126.500000 83.138 -17.8808
128.000000 83.098 -18.0743
131.500000 83.002 -18.4510
132.000000 82.988 -18.4741
134.000000 82.938 -18.4951
136.000000 82.897 -18.6326
138.000000 82.832 -18.8453
140.000000 82.782 -19.0359
143.000000 82.704 -19.3983
145.000000 82.649 -19.4871
147.500000 82.589 -19.6506
150.000000 82.511 -20.0930
152.500000 82.413 -20.4395
155.000000 82.320 -20.5880
157.500000 82.223 -20.8137
160.000000 82.104 -21.0869
162.500000 81.980 -21.2795
165.000000 81.857 -21.4183
167.500000 81.721 -21.5665
170.000000 81.574 -21.7077
172.500000 81.428 -21.8228
175.000000 81.278 -21.8638
177.500000 81.121 -21.7460
180.000000 80.964 -21.5485
182.500000 80.805 -21.3304
185.000000 80.641 -21.0361
187.500000 80.475 -20.6373
190.000000 80.309 -20.1398
192.500000 80.149 -19.5350
195.000000 80.000 -18.8005
197.500000 79.870 -17.9369
200.000000 79.760 -16.9851
203.000000 79.658 -15.7651
206.000000 79.597 -14.5049
209.000000 79.564 -13.3593
212.000000 79.550 -12.1611
214.000000 79.558 -11.3690
218.000000 79.596 -9.9679
220.000000 79.616 -9.3771
224.000000 79.669 -8.4935
227.000000 79.728 -7.9655
230.000000 79.786 -7.4260
233.000000 79.831 -6.9475
236.000000 79.870 -6.6104
240.000000 79.923 -6.2716
243.000000 79.957 -6.0361
247.000000 79.991 -5.7889
250.000000 80.011 -5.6393
254.000000 80.025 -5.4561
258.000000 80.029 -5.2737
262.000000 80.027 -5.0984
265.000000 80.022 -4.9726
269.000000 80.018 -4.8252
272.000000 80.009 -4.7479
276.000000 79.989 -4.5693
280.000000 79.972 -4.3287
285.000000 79.952 -4.0605
290.000000 79.913 -3.8074
295.000000 79.874 -3.6599
300.000000 79.848 -3.4218
304.000000 79.820 -3.2114
307.000000 79.797 -3.0656
311.000000 79.768 -2.8541
315.000000 79.740 -2.6188
320.000000 79.702 -2.2903
325.000000 79.661 -1.9716
